"username","rating","helpful","total","date","title","review"
"littlemartinarocena","9","112","127","1 February 2007"," Cinematic Theater Of A Remarkable Kind
","Beyond its compelling subject matter ""Judgement At Neuremberg"" revolutionizes the court room drama genre. The camera swings and swerves and dives between the lines of this exemplary Abby Mann script. Stanley Kramer conducts his orchestra of iconic stars with the precision of a Swiss watchmaker. The language barriers and the confinement of the action masterfully resolved. Spencer Tracy is simply magnificent and, as per usual, we believe every word that comes out of his mouth. His judge is an American monument of unsentimental humanity. Twentynine year old Maimilian Schell won the Oscar as best actor and his performance survived the test of time with the vigor of his conviction. Montgomery Cliff makes his short minutes on the screen, one of those memorable moments that nobody that has ever seen it will be able to forget. The man and the character merging into one chilling, shattering truth. ""I am half the man I've ever been"" Marlene Dietrich gives to her German aristocrat a legendary star quality. And Judy Garland, overweight and almost unrecognizable breaks your heart and gets her last Oscar nomination. My only troubles came with the stoic Burt Lancaster because I could never forget it was Burt Lancaster and with Richard Widmark's strident prosecutor. I have seen ""Judgement At Neuremberg"" more than a dozen times and it never ceases to amaze me that no matter the darkness of the subject it always manages to entertain and inspire."
"alexkolokotronis","10","71","81","28 January 2009"," ""My counsel says we were not aware of the extermination of the millions. He would give you the excuse: We were only aware of the extermination of the hundreds.""
","This quote is one of the most shocking and yet truthful quotes I have ever heard. It is one of many shocking and intense quotes in the movie. Furthermore Judgment at Nuremburg is one of the most absorbing movies I have seen. Even though most if not all of it is dialog it is very much a haunting film. This film is loosely based on the trials in Nuremburg in 1948. Right from the start the movie captures your mind and never lets it go. <br/><br/>The acting was collectively amazing. One of the best casts ever assembled which included Spencer Tracy, Montgomery Clift, Judy Garland, Richard Widmark, Burt Lancaster as well as international stars Maximilian Schell and Marlene Dietrich. It is not just the fact that this is a star studded cast that made it so great, it was the way everyone appeared to blend in together. Maximilian Schell gave the performance of his life in this film playing the defense lawyer for Burt Lancaster who give two superb narratives that will certainly stay in your mind forever. Schell's character use of logic is that of something which will mesmerize use you whether or not you agree or disagree with what he says. Richard Widmark playing the prosecutor gave the type of supporting performance that was necessary for Schell to shine. The way both actors fed off each other was a joy to watch. Then of course the tiny appearances of Garland and Clift were excellent and worth every second they spent on camera. I usually find myself frustrated with cameos and actors receiving recognition for them but this film used cameos the best way I have ever seen. Then of course Spencer Tracy and Marlene Dietrich provided such great presence were perfect for the lead.<br/><br/>The direction of Stanley Kramer was spectacular as the film intensified more and more as it wore on. It was always engrossing and never let up. The writing of Abby Mann was great, filled up with great material and narratives allowing every actor in the cast to give a superb performance. There were many memorable quotes as well. The writing carried the film forward and allowed all the potential and talent to push this film to another level.<br/><br/>Judgement at Nuremburg is not just another movie. It is a very thought provoking movie. More than that though it is haunting. Just thinking about the course of the events being talked about in the movie became subtly haunting in a way I really didn't expect. What was the most compelling though was the way we need to separate what we feel with what has to be truly done, with what is truly right."
"The_Fifth_Echo","10","78","91","14 June 2010"," ~One of the most Powerful Films ever made.~
","Judgement At Nurmeberg is a 1961 film about four Nazi Judges are in trial for crimes against humanity. Well let me just start out by saying that this is a very sad, powerful film. I was expecting it to be very boring and I guess I underestimated it. The film is also very well written, so well written that actually it makes you really think. I'm happy that it won an Oscar for writing. <br/><br/>The best quality about the film HAS to be the acting. Judy Garland, I think should of won a Supporting Actress. This is her finest performance ever, and I'm sad she didn't win one. Maximilian Schell gives the performance of a lifetime in his role as the defense attorney for the judges. He truly deserved his Oscar because he was very powerful. Spencer Tracy also gave a quite exceptional performance as he always had. (He isn't a Two-Time Oscar Winner for nothing. As for Montgomery Clift he deserved his Oscar Nomination. I am kind of ticked off that Marlene didn't get an Oscar Nomination for Best Supporting Actress. I always feel she is underrated.<br/><br/>As for Stanley Kramer (The Director) he had real talent and this film shows it. The 9-Time Oscar nominated Director should've of won an Oscar for Best Director for Judgement at Nuremberg. I hope his talent though will be remembered for many years to come.<br/><br/>My Overall Consensus is that the movie definitely succeeds due to the Extraordinary Performances and the Quite Exceptional Writing.<br/><br/>You Should see this Film. 10/10"
"Beaucoul","9","68","79","30 April 2007"," Would a film of that candor have a chance of being made today?
","I watched ""Judgment at Nuremburg"" on PBS the other night. I had never seen it before. I expected an empty-headed, Hollywood-style, quasi-melodrama, but I was pleasantly surprised. Even Spencer Tracy, that universally beloved actor whose appeal has always escaped me, gave an honest and heartfelt portrayal of a ""simple man"" who was also a deeply conflicted judge.<br/><br/>What I liked most about this movie was that it didn't pull any punches, in the manner of other ""controversial"" films of its time. The defense attorney, superbly played by Maximilian Schell, weaves a simple, but undeniable web of logic: <br/><br/><ul><li>Sterilization of ""undesirables,"" one of the charges against the Nazi war criminals, was at one time condoned by the U.S. courts, and encouraged by none other than Oliver Wendell Holmes. - Numerous leading industrialists in the U.S. contributed to the development of the Nazi war machine. - Encouragement was given to Hitler's expansionism by both Russia and England. - Churchill is quoted as having admired Hitler. - The Vatican actively collaborated with the Nazis.</li></ul><br/><br/>Correct me if I'm wrong, but it must have taken major cojones to present that kind of message to American filmgoers in 1961. Would a film of that candor have a chance of being made today?<br/><br/>I tend to doubt it. <br/><br/>One further note. The film describes how the Nazis went about stripping the German judiciary of judges who were known for their objectivity, and replacing them with judges who were appointed based solely on their party loyalties.<br/><br/>The mind boggles at the implications and yes, the prescience of this well-written, well-played masterpiece."
"stanford-4","10","139","173","6 October 2005"," When films like this can be made.......
","If this is not considered as one of THE great films of all time, then all of us film fans should pack up bags and go home I cannot fault anyone, any scene, anything in this film. The dialogue races along in its smooth yet supremely captivating style. You grab a film like this, see a whole host of famous actors, and wonder if such a mix could ever work. It does, believe me, it really, really does.<br/><br/>Tracy. He was given the most powerful of dialogues, he presents it to us in a way that does not shout at you, yet holds you in a vice like grip every time he comes on screen. With his characteristic method of looking down whilst talking, hands in pocket, that small sly look up that he does, vintage Spencer, just how you would imagine a judge to be, or should be.<br/><br/>The supporting cast, again, never lets the film down. Some have the opportunity to step up a notch, Snell, Widmark, and others play their roles in a more subtle manner, Garland and Dietrich. And others just wipe away the floor with their presence, Clift and Lancaster for example.<br/><br/>And the story by Abby Mann - incredible.<br/><br/>Shot in black and white, it makes you think, it makes you smile, it will make you sad, and in the end you will be all the better for having seen one of the greatest films ever made, you will be richer for the experience, and you will be wiser.<br/><br/>You will also be able to say that you saw what Hollywood can do, you saw what great actors can do when put amongst their peers and are not 'stars' of a movie but are part of a larger ensemble.<br/><br/>And you will also see why this particular group were, genuinely, the very best Hollywood had to offer, period."
"buckboard","10","157","200","25 February 2001"," Revelation of Horror
","This is a fine film by a fine director, but I can only hope that Stanley Kramer, in committing to full length film a television story, knew at heart the message his movie was trying to say. Because this is truly a message movie, for all mankind, but if the reviews I've read on this site are any indication, the message has been lost to some degree.<br/><br/>I've entitled my review ""Revelation of Horror"", but the horror revealed was not the Holocaust. That had already been revealed, although Kramer's film certainly lent its emotional impact. The revelation was a deep, true insight into how it happened, and the horror is that it happened in a civilized country. Few on this earth can imagine the true horror of Nazi Germany--I've read criticism of Widmark's Colonel Lawson as too preachy, but the character and the acting conveyed the mission of one who actually saw the horrors, beyond any scope we can identify with.<br/><br/>Kramer's achievement is that everything in this movie reminds us that the Nazi's used every facet of civilization, no matter how minute, to foster their extermination of their enemies, to inculcate it as an ordinary part of life. That was why judges were chosen to portray the issue of ""obeying orders"" versus ""human decency."" Herr Rolf is ""forced"" to defend the worst criminals imaginable, and yet his very defense and the principles behind it are abused in the process, used as a weapon against the very law they represent. Thus did the Nazis prevail with the willing acquiescence of the German people, and the abominable disregard of the rest of the world.<br/><br/>The other horror revealed in this film is the incessant excusing of it. Beyond the obvious pleas of the guilty (""We didn't know"", or as one judge says to another, ""Was it possible to kill like that?"") are the multiplicity of subtle excuses: the reminder of centuries' old German culture, Rolf's plaintive cry of ""unfairness"" at the showing of the death camp films because of their inflammatory nature, the invocation of ""Lili Marlene"" throughout the film, to name just a few. While the song evokes sadness, a guilty German society meant for it to invoke sadness. Long before Germany had its country destroyed by bombs, it had its soul destroyed by Hitler.<br/><br/>Because this is a courtroom drama, respecting the sacred role of the Rule of Law in safeguarding humanity, almost every scene, every line is a statement that Nazi Germany perverted the Rule of Law, as did the very defense of the war criminals. But what is principle on a small scale of a single man being judged by society becomes outrage when used to defend the indefensible on an impossibly massive scale. Tracy's character at the film's end has a realization that this is so, as well as an awareness that what happened in Germany during the Third Reich was an Aristotelian tragedy for anyone touched by it, even remotely, so that any personal considerations (such as Mrs. Berthold) are made utterly impossible.<br/><br/>Rolf's speech about the guilty responsibility of the rest of the world was valid--but he was indicting the world to save one man. Where have we heard that in our own time? This quality about ""Judgment at Nuremburg"" makes its message forever fresh--and its warnings."
"mianaliilyas786","10","73","90","9 October 2006"," One of the most thrilling and thought provoking movie of all times
","I have always been fond of Stanley Kramer's work , but this movie proved to be quite extraordinary and exceptional .The movie has every thing you can desire and human sentiments are at there level best. The plot is written by Abby Mann who won best screenplay Oscar from that and quite deserving one. The story based on Nuremberg trials held after fall of Nazi's in Germany but this movie is nice blend of history with fiction as the major characters were fictional but the evidences and indictments presented in the trial ever authentic and truly depicts the conditions of Nazi occupied Germany. The most intriguing thing of the movie was the true representation of aftermaths of Nazi's occupation in Germany and the feeling of German toward the trial and immaculate direction of Kramer made possible to convey these types of sentiment on cinema for the very first time. The cast was also fascinating with big names like Tracy and surely he did justice with his role as he was very compelling and humble as Judge Haywood. Maximilian Schell was at his best as a compassionate enthusiastic zealous and patriotic attorney to defend the dignity of Nation. He won best actor Oscar for his role. Montgomery Clift was also the one who made this movie special as he played a role of feeble minded sterile man who was nominated for best actor in supporting role though he only played for 9 min in the movie. Burt Lancaster gave one of the most extraordinary cinematic performances as Ernst Janning. This is one of those movies which provokes our mentality and also our morality and is a treat to watch."
"Lechuguilla","10","113","146","8 May 2005"," A Film Of Enduring Value
","They say that time heals all heartache. In the case of the Third Reich, I'm not sure that the old saying is true. Out of respect for the Holocaust victims, and as an important history lesson, there's something to be said for not forgetting the evils of Hitler. Fortunately, we have this great film to help us not forget.<br/><br/>""Judgment At Nuremberg"" is a dramatization of one of the many real life post WWII Nuremberg trials of high ranking Nazis. Most of the film focuses on the 1948 courtroom trial of four judges who helped to carry out Hitler's decrees. As part of the prosecution's case against the judges, real life, graphic film footage showing the horrors of the death camps engenders a gut level impression that is both powerful and persuasive. The film thus educates viewers in ways that a dry textbook of facts and figures never could.<br/><br/>But there's more to the film than the trial. In other parts of Nuremberg we see ordinary Germans trying to get on with their lives as best they can, three years after the war's end, in a bombed out and bleak city. One of these persons is Madame Bertholt (Marlene Dietrich), the wife of a dead German soldier. In contrast to the harsh and contentious trial, Madame Bertholt's kindness toward the tribunal's lead judge, Dan Haywood (Spencer Tracy), provides an example of the innocence and decency of ordinary Germans, and thus adds a softer, more contemplative perspective to the ordeal. In these non-courtroom scenes, the melancholy background music and the soft production lighting create a mood of depression and sadness.<br/><br/>I find very little to criticize in this three hour film. Perhaps the plot could have been clearer in identifying the legal counsel of three of the four defendants. And maybe in those scenes wherein the four defendants conversed among themselves, the dialogue should have been in German, not English. But these are trivial points. Overall, this is a film that is well written and directed, a film with credible actors giving stellar performances, and most of all, a film that assures preservation of that era's historic significance, with a political and social message that has enduring value."
"scottnyc","10","12","14","29 April 2006"," A great humanistic document, compelling and nearly timeless
","I am actually humbled by this film, and I am unusually grateful to have seen it, finally, 45 years after its making.<br/><br/>There are some superficial aspects of *Judgement at Nuremberg* that are dated: some of Stanley Kramer's camera-work is unnecessarily showy or gimmicky. Some of the sets are noticeably fake, and some of the dialog is stilted, especially in early scenes outside the courtroom. The music goes momentarily over the top in the climactic confrontation between the key defendant, played by Burt Lancaster, and the chief judge (Spencer Tracy) after the trial.<br/><br/>Much more striking, however, are the film's strengths, and how unusually well it holds up. I usually think of Kramer as an overstated liberal autodidact, but here the acting is, for the most part, admirably restrained and authentic. Even *William Shatner*--no kidding--is subtle here. After an unpromisingly sensational opening salvo by Richard Widmark as the chief prosecutor, this movie settles into a gravity, balance and rigorous honesty (both intellectual and emotional) that are utterly necessary for a serious treatment of a subject as overwhelmingly important as the origin and expression of Nazi evil.<br/><br/>Balance is a key to this film's greatness. It is not insignificant that it was Maximillian Schell, who played the Nazi judges' defense attorney not as a slimy shyster but as a powerfully rigorous advocate determined to hold the *world's* feet to the fire rather than let his clients become patsies for a vast breakdown of moral responsibility with astonishingly widespread implications. By looking courageously into the teeth of the reality of German society and politics leading up to and during the Second World War and the reality of American, European and Communist moral failings, Abby Mann's great screenplay creates an extraordinarily persuasive context for the extraordinarily powerful thematic statements against Nazi atrocities with which it concludes.<br/><br/>Two scenes near the movie's conclusion struck me most powerfully. First, I have never been more sickened, enraged and humbled by visual evidence of the Holocaust than I was when it was presented in the context of the trial at this film's center. Second, I was chilled--frightened in a very contemporary and immediate way--by the great speech of judgment given at the trial's end by Spencer Tracy's Chief Judge Dan Hayward. I urge anyone that is concerned about the erosion of civil liberties in America today to watch this film to better understand how insidiously evil may overtake a modern nation in crisis. More important, I urge anyone that believes that America is today in a crisis that requires extraordinary measures to watch this movie, listen with an open mind to this speech, and consider its implications for the direction of our own country today.<br/><br/>Stepping down now from my soap box, let me say more clearly: Do yourself a favor and watch this movie. Never mind how old it is or how long it is or how dreary the subject may seem. If you care about the fate of humanity, you too will be grateful."
"gbill-74877","9","14","17","11 September 2017"," Fantastic acting, script, and direction in a thought-provoking movie
","Outstanding film. Star-studded with several fantastic performances. Highly emotional given the subject matter, but presented in a very intelligent, balanced way. I was struck at once by that, and by how well director Stanley Kramer gives us both sides of the argument – and avoids simply paying lip service to the defense of the German judges on trial. Maximilian Schell is brilliant as the defense attorney, well worthy of his Oscar, and is forceful and compelling in his arguments. There are also so many brilliant scenes. Spencer Tracy walking in the empty arena where the Nazi rallies were held, with Kramer focusing on the dais from which Hitler spoke. The testimony of Montgomery Clift and Judy Garland, both of whom are outstanding and should have gotten Oscars. Burt Lancaster in the role of one of the German judges, the one tortured by his complicity, knowing he and others are guilty. The devastating real film clips from the concentration camps, which are still spine tingling despite all we 'know' or have been exposed to. Marlene Dietrich as the German general's wife, haunted but expressing the German viewpoint, one time while people are singing over drinks. Her night stroll with Tracy, as she explains the words to one song, is touching. It just seemed like there was just one powerhouse scene after another, and the film did not seem long at all at three hours. Heck, you've even got Werner Klemperer and William Shatner before they would become Colonel Klink and Captain Kirk! In this film, the acting, the script, and the direction are all brilliant, and in harmony with one another.<br/><br/>As for the trial itself, the defense argument was along these lines: they were judges (and therefore interpreters), not makers of law. They didn't know about the atrocities in the concentration camps. At least one of them saved or helped many by staying in their roles and doing the best they could under the heavy hand of the Third Reich. They were patriots, saw improvement in the country when Hitler took power, but did not know how far he would go. If you were going to convict these judges, you would have to convict many more Germans (and where would it stop?). The Americans themselves practiced Eugenics and killed thousands and thousands of innocents at Hiroshima and Nagasaki. The one small weakness I found was that the defense never makes the simple argument that these judges were forced to do what they did, just as countless others in Germany were, and would have been imprisoned or killed themselves had they not complied. Anyone who's lived under a totalitarian regime may understand, or at least empathize.<br/><br/>I'm not saying I bought into these arguments or that one should be an apologist to Nazis, but the fact that the film presented such a strong defense was thought provoking. How fantastic is it that Spencer Tracy plays his character the way he does – simply pursuing the facts, and in a quiet, thoughtful way. It's the best of humanity. How heartbreaking is Burt Lancaster's character, admitting they knew, admitting their guilt, knowing that what happened was horrible and that they were wrong, and yet seeking Tracy's understanding in that scene in the jail cell at the end – intellectual to intellectual - and being rebuked. Even a single life taken unjustly was wrong. Had the Axis won the war, I don't know which Americans would have been on trial for war crimes for the fire bombings of Dresden and Tokyo, or for dropping the atomic bombs, but the film makes one think, even for a war when things were seemingly as black and white as they could ever be. The particulars of this trial were fictionalized, but it's representative of what really occurred, and it transports you into events 70 years ago which seem so unreal today – and yet are so vitally important to understand, and remember."
