"username","rating","helpful","total","date","title","review"
"cukmere","9","104","108","14 January 2020"," Originality, Violence, Love
","You have to watch this film. It is beautiful, intimate, original., action-packed and no one is going to tell Mto not love her man. She just doesn't care for normal mainstream opinions. This couple is original!"
"bogdanion-52158","9","125","132","14 October 2019"," The Killer And The Lolita
","What a great film. This film is different, original and I love both the action and the theme that love knows no boundaries."
"hdmfsds","9","81","85","12 January 2020"," Sexy, Stylish And Violent - What Is Not To Like?
","This is a great movie.<br/><br/>Violent, original, emotionally affecting, effortlessly cool and plenty exciting within its small world. However, is it just me, or is the way Portman is shot so original and a smash in the face of those who are from a previous century?"
"genghiskhan-99478","8","77","81","24 January 2020"," Laura Ramsay Canada
","Beautiful movie with violence and professionalism, action and sexual tension, cool characters and amazing character development.<br/><br/>Am I a cliche if I utter: 'They don't make it like this anymore?'"
"wdxjaot","8","97","103","31 December 2019"," A Modern And Updated Lolita
","This is a modern and updated Lolita and as a bonus comes with action and violence too. Impressive.<br/><br/>It has the sexual tension, the modern and contemporary sensibility and also glorified violence.<br/><br/>Great film."
"naomi-seibt-Hure","9","39","40","1 March 2020"," Sensuous
","I am not always positive in my opinion. I am this time. First, the story. A professional killer falling in love with his acquaintance and breaking his own rules with positive consequences is depicted and done very well. How many times we have watched this kind of story in a movie? Not many times, I think, but certainly never with such charm or with such a fist shaken in front of taboos of mainstream society."
"Methos-7","10","656","734","16 May 1999"," Gripping story with well-crafted characters
","Luc Besson's movie Léon (The Professional) gives us an intense story which is maximized in potential by the casting of the movie done by Todd Thaler.  Every aspect of the movie delivers to the audience and makes an impressive overall package.  Jean Reno plays a character named  Léon who has learned to repress his emotions in order to perform his job as a ""cleaner"", or hit-man.  His secluded world is shattered by the young girl named Mathilda who lives on the same floor as he does in an apartment building. When she turns to him for help, he learns about living a normal life, even if the circumstances which unite them are far from normal.<br/><br/>The performance delivered by then twelve-year old Natalie Portman as Mathilda is nothing short of brilliant.  Her ability to relate to others with body movement and facial gestures is matched by few, she really brings raw emotion and believability to a difficult role.  Mathilda and Léon are unexpectedly thrown together, but learn to value life from their chance encounter, and how valuable a friendship can be.<br/><br/>Jean Reno as Léon gives us a solemn and calculated character who sets all of his energy on his assignments until her is given something else to care about.  Mathilda gives him the daughter that he never had, while Léon serves as a father and friend to her.  Gary Oldman, as the corrupt DEA Agent Norman Stansfield, offers the viewers an amazingly wired and electrical performance which pushes the envelope.  He moves the story along by his actions.  Oldman offers us a memorable portrait of a sadistically obsessed man who stops short of nothing to get what he wants.<br/><br/>The Professional is what movie-making is all about.  Without the overuse of special effects, a large shooting location, or a commercially star studded cast, we are given all that could possibly be asked for in a movie.  Portman, Oldman, and Reno, along with Danny Aiello as the hit-contractor Tony remind us that there is no substitute for great acting. There are elements of comedy, drama, and action, and great original music by Eric Serra adds to the energy the film already encapsulates.  The most impressive thing about the movie is its story which is basic but is maximized by all the other elements which go into the making of the movie. Simply put, an intense and impressive movie."
"hsneqovll","9","88","94","9 January 2020"," The One Movie That Needed A Sequel
","This film is fantastic from start to finish.<br/><br/>I love the intrigue and the circumstances. I dig the sexual tension. I love the violence and I certainly am amazed at the originality.<br/><br/>I would have loved to watch a sequel where they are an official couple travelling hand in hand or like Kill Bill she is now a house wife and in his absence slays. The one time I would have been interested in a sequel!"
"rehfvhn","9","53","56","27 December 2019"," I really like this movie, no buts..
","I am a sucker for action drama genre, so in general i love Leon. The plot made sense, the story line wasn't sterotypical. the action scenes give me exciting goosebumps. I see them as a loving couple in harmony... and Mathilda mentioned wanting to have sex with him. Talk about being cool, different and showing a middle finger to predictability.<br/><br/>So I enjoyed the movie, and every time the movie serves you this cool sexual tension between Mathilda and a father figure I feel extremely happy that it breaks through barriers
i think if Mathilda is a bit older or Leon is a bit younger, the falling-in-love part wont bother me as much"
"Insincere Dave","10","422","478","21 December 1999"," A shameful praise of a fantastic film.
","Leon (Jean Reno) is a tortured soul. He lives in squalor and misery, never truly happy or at peace with himself. After all, he is a hitman. He lives quietly from kill to kill, harming no-one whom he has not been paid to assassinate. He is a simplistic, childlike man who lives by his own set of morals but is troubled by them. The one thing he seems to fear above all else is change.<br/><br/>Mathilda (Natalie Portman) is Leon's neighbour. A young girl, she lives with her father, step-mother, half-sister and half-brother. As unhappy as Leon, she lives in awe of the dark stranger, unaware of his true profession. Beaten by her parents and sister, she has abandoned school and instead spends the day watching cartoons and trying to escape from the real world.<br/><br/>When Mathilda's family is brutally murdered by a drug crazed Norman Stansfield (Gary Oldman), her only chance for survival is to hide with her neighbour. When she learns of Leon's true identity, she becomes infatuated with both him, and the grim world he inhabits.<br/><br/>This stark portrayal of humanity and inhumanity is produced with the style and finesse that one expects from Luc Besson. In addition, the combined talents of Jean Reno, Natalie Portman and Gary Oldman provide not only an unmatched on-screen chemistry, but also three perfectly created characterisations, the like of which are rarely seen in today's cinema. This film has my personal recommendation of being the best piece of cinema that I know of. I have not seen anything that matches it in terms of intensity or emotion - and believe me, I've looked. I found myself caring for the characters involved, an unique experience in itself.  This is not the type of film for a night in with your mates, but nevertheless, it is an unforgettable piece of cinematic history."
"zaabgssu","9","50","53","9 February 2020"," Time for Leon To Return
","We need a follow-up to the original and intriguing story of an assassin who takes a young girl under his wings and she ends up providing him with emotional support.
I love action movies where people are not thrown a parsec into the air, land and are good to go.<br/><br/>In the follow-up Mathilda has given Leon a boy and a girl and only one of them is following Leon's path."
"jen-wang1999","8","58","62","2 February 2020"," Really Sexually Tense
","My family owns this on DVD and I watched it finally with my friends from school Saturday. Honestly we didn't know what to expect, but it was like interesting probably and different definitely.
A killer takes a girl under his wings and they become a support duo and she asks for sex and there is sexual tension and then it is all made bigger and more present because the man's first love is his job. That is why he is a professional and so the story cleverly mixes love and violence like sex and violence which are human feelings and the film becomes explosive. There is no sex in the film if you were wondering but the promise of it or feeling for it makes it tense. We liked it."
