"username","rating","helpful","total","date","title","review"
"Imme-van-Gorp","7","102","123","30 January 2019"," Unfortunately the ending ruined an otherwise great film.
","This movie is full of suspense. It makes you guess about what is real and what is not. It happens more than once that you have to wonder about what is the truth and who is lying.<br/><br/>Because you are just as clueless as the main character, Michelle, you really get to experience the same type of emotions and confusion as she is. This not only makes you feel closer to Michelle as a character, but also to the overall story.<br/><br/>They did, however, ruin this connection that they build over the course of the story by making this sloppy, rushed and just strange ending. If they had made a different ending, my rating could have been an 8 or maybe even a 9. Depends on how good of an ending it would have been."
"sonofocelot-1","5","385","500","10 May 2016"," ...oh dear Abrams. Again.
","I'll leave this review fairly concise. <br/><br/>This film was originally called ""the cellar"" the premise being what we see for the first 90% of ""10 cloverfield lane"": an excellent, brilliantly-scripted thriller set in an underground bunker, the tension lying in the ""goodie-or-baddie"" mystery that is the owner of the bunker, Howard. He is telling our hero, Michelle, that she cannot leave because the air outside is not breathable due to an attack, probably nuclear. She wants to leave because she suspects that Howard is insane.<br/><br/>That premise right there is perfect. Is Howard telling the truth? Is he a deranged kidnapper? Will Michelle eventually decide to leave? Is the air really breathable outside? The magnitude of that intrigue would have made for a brilliant film. <br/><br/>Would have.<br/><br/>This is when JJ Abrams and bad robot came in and basically did what they do with the end of every single project they ever take on. Ruin it. Ruin it absolutely horrifically. They have clearly seen monetary value in the name ""cloverfield"" and are insisting on making it a franchise. Do we expect monsters going into this film? Yes. Do we get them? Yes. Was it necessary? Absolutely one million percent no. <br/><br/>10 minutes from the end of what had been a gripping film, we finally see Michelle leave, and escape the bunker. She realises that the air is still breathable. Now, ""pre-abrams"" as I'll refer to it, this would've been an excellent ending. A bittersweet tale of abuse, of loneliness from Howard's point of view, of revenge, of victory. But with a huge psychological trauma to go home with. Honestly this film would be perfect had it ended here. But it wasn't to be.<br/><br/>This is when the aliens come. We seem to in the blink of an eye turn from ""the cellar"", a brilliantly told thriller, into an Abrams, overly-Hollywood, big budget cringefest. For me, it wasn't the moment the spaceship came on the screen, it was the moment our timid hero, portrayed brilliantly up until now, who'd just been crying uncontrollably with relief at the air still being breathable, suddenly turns stern action hero. She looks up and says ""you have GOT to be kidding me"", in the same emphatic way we've seen in 600 ""five out of ten"" films down the years. <br/><br/>I'm sorry, but you've just seen alien life. And that's your reaction? In what until now was a very realistic, well told suspense thriller? Not having it for a second. It was like we could see the moment Abrams took over. And it ruined what could have been a classic.<br/><br/>The remaining 9 minutes are nothing more than a glorified creature feature, culminating in our hero, who's suddenly lost all her emotions, driving off to help the ""human resistance"" fight against the aliens.<br/><br/>End of movie. What amazes me most is the number of critic reviews I've seen saying ""the aliens are a metaphor for what is outside a person's lonely bubble of abuse"" or some nonsense along those lines. Sorry guys but you're thinking WAY too much into it. This is a story of a money-grabbing company, who bought a perfectly good script, and ruined the ending with aliens. <br/><br/>I'm not entirely sure what I expected in all honesty. It's Abrams. I saw the ending to LOST and vowed never to make the mistake of investing my time in any of his projects again. Sure enough, I made the aforementioned mistake again and it's almost as bad as LOST was (minus the 5 years of my life id invested for the lovey-dovey, semi-religious, out-of- ideas cop out snoozefest that was the ending to LOST). <br/><br/>Abrams strikes me as one of those who inexplicably takes pride in disappointing his audiences, as if he feels he's somehow above them and that the negative reviews are just people who don't ""get"" him. I think in all honesty it's more a sign that he's just not very good at what he does. <br/><br/>My advice? Turn off when you see Michelle remove her oxygen mask. Pretend that's the end and you have your film of the year. Watch on for yet another example of ""how to ruin a perfectly decent project: by JJ Abrams""<br/><br/>5/10. 10 for the first hour and a half, minus 5 for the last 10 minutes."
"mhodaee","5","110","143","4 August 2017"," Fantastic, gripping, thoroughly enjoyable, until the final part ruins it...
","I give the 5/10 out of the credit I owe to the original writers of the fascinating psychological horror that takes place inside the bunker. The mystery is compelling: Is Howard telling the truth? Is there any real threat outside? Is Howard a crazy child-abusing maniac? Did he plan all this to own Michelle? etc. I could all go on pretty well had the film ended with the heroine's escape, but then, all of a sudden, what the? REAL ALIENS? Are you kidding me? Just how ""lost"" are you Mr. Abrams?! You turned the fantastic, gripping thriller about a deranged paranoid old man into a totally irrelevant tale of worm aliens taking over the earth? The ending ruins everything. The character of Michelle was well portrayed as a woman running away from problems instead of facing them, finally managing to ""grow up"" and learn to fight her problems. The ending, however, turns her into a completely different person. From a timid girlfriend, Michelle turns into an alien- smacking badass chick straight out of a classic sci-fi alien flick who blows up a giant alien invader with a bottle of liquor and a matchbox and, not frightened in the least, decides to take the fight to the aliens herself. The movie begins and proceeds as a psychological thriller/drama about paranoia, claustrophobia, and insanity and in a split second turns into the worst moments of the Resident Evil franchise. I literally thought I was watching a remake of the ending of The Thing, with the same actress and all. Great job uncle J.J., you did it again. Had I know he was involved in the plot, I would've thought twice before watching this film. You CAN enjoy this film, just turn if off as soon as the hero goes free. keep watching and it'll turn all the fun you had into utter disappointment, frustration, and resentment."
"fil-nik09","5","73","100","5 October 2016"," Hmmm...
","First of all, I must say that I was expecting 'something different' considering the 7.3 note here! Something really worth of that note, but this is not that great!<br/><br/>As many have pointed out, this film has a problem with ending. I would have ended the film when she sees the birds flying. But that alien / mars attacks ending was just totally out of the blue. Totally not connecting with the film ( though I admit it proves the story that something bad had happened). I mean... even if they really wanted the alien ending, it could have been more subtle. This was like you added a totally different movie to the one you are doing.<br/><br/>Good point is that you really DO NOT know if the guy who held the girl in the basement is good or bad. We do not know if he killed anyone before he took the life of the guy in the basement. Everything is up to you to decide. All in all, he is actually a good guy from what we were seeing up to the point when he shot the guy ( but only when he said he would take his gun).<br/><br/>All in all, this maybe could have a better note if it wasn't for such laughable ending. I did not like it.<br/><br/>5 from me."
"DVR_Brale","7","42","56","27 July 2016"," Slow building & plot alternating claustrophobic bunker movie with a sloppy ending
","I've always loved movies with strong atmosphere. Three people locked together in an underground shelter is a recipe for making a movie which is going to draw you in a rather small but peculiar world.<br/><br/>This is one if the rare non-crime movies that keep you guessing what might have happened and what's happening. No where does the plot release it's vents but on contrary it keeps building pressure.<br/><br/>There are little if any horror elements in this movie. Those of you who want to get scared are not going to be content. Those of you looking for a tense, slow building atmosphere are going to love this one! This is primarily a mystery movie.<br/><br/>John Goodman has done such a good job that he even succeeded in making me nervous like I was locked with him. There's nothing really strange about Howard. The conditions are guilty for making him looking wicked. Or are they?<br/><br/>While the main premise has been greatly utilized I don't think ending was sound or in some way contributory to a plot. It's as if writers didn't know how to leave some space open for a sequel. <br/><br/>You can enjoy this movie equally well watching it by yourself or with somebody else. Go and see it."
"jesussanchezfdez","9","242","371","11 March 2016"," Powerful and shocking mystery
","10 Cloverfield Lane gives all the development and the meaningful story that its blood relative installment lacked completely. This is not a spectacle full of screams and special effects. This is a spectacle of tension and suspense of epic proportions. This is a really feel-bad movie at certain points.<br/><br/>First of all, you have to take the leap of faith and go ahead watching without knowing anything of the plot. Don't worry because all the teasers doesn't reveal anything important, but don't try to search information. If everything were that easy, even Hitchcock or Nolan movies would lose all interest.<br/><br/>I was extremely hooked since the furious start to the eye popping and surprising finale. The direction is amazing and claustrophobic. The performances are great, looking up to a surprising Winstead and a unrestrained unforgettable turn by Goodman. The story is gleefully unapologetic delivering chills and full blooded twists (the biggest of all is the intense ending reveal) even thought it deviates from the monster POV storyline.<br/><br/>Secretly made, impeccably marketed, nicely developed and finally here along with us: 10 Cloverfield Lane promised thrills and delivered it and then some. I was expecting some things that I tasted but I was surprised by a complexity and a twisted sense of horror that I didn't see coming. 2016 has released the very first great movie of the year."
"brands42","9","278","431","9 March 2016"," 10 Cloverfield Lane
","Two months ago, no one knew that 10 Cloverfield existed, let alone was about to be wide released in theaters. One month ago, no one had any idea how, if at all, this film was related to the 2008 film Cloverfield except for the obvious title and produced J.J. Abrams. And now, all is revealed. Sort of. Here's my review.<br/><br/>One of the greatest things 10 Cloverfield Lane has to offer is that the audience really has no idea what to expect going into the film. Very much in the J.J Abrams way, the production for this film has been left completely under-wraps and the trailers have revealed next to nothing. That's one of the benefits for the movies, so I'm not going to spoil or give anything away in my synopsis or the review. I won't even tell you if this movie is indeed a Cloverfield sequel or if it's something different altogether. You'll have to find out for yourself, because I can tell you right now that you should spend the money to go see it in theaters.<br/><br/>I'll be brief. A woman we know very little about named Michelle (Mary Elizabeth Winstead) is involved in a car crash in a breath taking opening credit sequence. She wakes up a few days later to find herself in an underground bunker with Howard (John Goodman), a large and crazed eyed farmer standing above her. He tells her that she can't leave, because some sort of disaster has happened and it's not safe to go outside. Finding herself alone with Howard and another man named Emmett (John Gallagher Jr.), and I'm stealing their tag line here because it's a dang good tag line, they find out that Monsters come in many forms.<br/><br/>Obviously I had no idea to expect when I went into 10 Cloverfield Lane. No one did. But within the first five minutes they set the tone so you know what kind of movie they are going for, and I found myself instantly engaged. For the rest of the film, I was floored with what was going on. Director Dan Trachtenberg takes the reigns on creating a film that will hit you with the unexpected, and leave your jaw hanging.<br/><br/>The best word I could think of to describe this film while I was watching it was claustrophobic. For the scenes that takes place in the bunker (I'm not saying how much of the screen time that actually is) they create such an intense and nervous atmosphere that you feel yourself getting antsy along with the characters. <br/><br/>That's because for almost the whole film, we don't really know what's going on. We know what John Goodman is telling us and leading us to believe, but we have no idea if that's reliable or not. We discover things along with the characters, which is why this film is such a good build up. When the conclusion to the film finally comes, you leave more than satisfied. But don't ruin it for yourself by looking up online spoilers to see if it is a Cloverfield sequel. Spend the money. See the movie. Find out for yourself. It's worth it.<br/><br/>I've heard the argument and I've sited it a few times in past reviews, that the best way to bring out great performances in actors is to lock them in a single setting film where they having nothing to hide their performance behind. That's what happens here. Mary Elizabeth Winstead, an actress who deserves to get more work than she does, played the character so well as she captures the nervous ticks without acting completely helpless the whole time. In the end, she was pretty bad-ass. John Gallagher Jr., a character who could have been super annoying, ended up being great in the film too, and had really good chemistry with Mary Elizabeth Winstead.<br/><br/>But the stand-out of the film if John Goodman. John Goodman is in so many films every year that we sometimes take him for granted and forget how good of an actor he can be when he's not mailing it in (whatever Hangover film he was in. I forget) but rather commits whole heartedly to a role. That's what happens here. He could have easily over-cooked his performance where it came of as cartoon-y or unrealistic, but he hit just the right level of disturbing and off-putting where you are crept out by the guy but you can't be sure if he's in the right or wrong. It's a performance similar to Joel Edgerton's in The Gift.<br/><br/>ALSO just read on IMDb that Bradely Cooper's voice appeared over a cell-phone in one scene. I knew I had heard the voice somewhere but I couldn't put my finger on it until now.<br/><br/>At no point of 10 Cloverfield Lane does the film slow down or lose interest. It uses it's hour and forty five minute runtime, a surprisingly long one for this type of film, to achieve the best possible effects. The film flies by and I found myself never wanting it to be over. <br/><br/>10 Cloverfield Lane is a movie you should rush out to the theater to go see. Accept that you know nothing about it going in, and enjoy that experience. Because it's something that doesn't happen often and it's a rare gift when it does. 10 Cloverfield Lane has a lot to offer despite the fact that it's a very small film. In fact, regardless of the fact if they are in the same universe, I'll say I enjoyed 10 Cloverfield Lane more than I enjoyed Cloverfield itself. And I want to see the story continued in a sequel. 10 Cloverfield Lane gets an A-, it's one of my favorite films of 2016 so far. Go see it this weekend. "" - brands42"
"sipanu_alin","8","32","44","16 June 2016"," Annoyed by people who expect alien holocaust in this movie
","First of all, the film was more than good, in my opinion and, for the people who like to see a good or more than good movie, I recommend buying a ticket or the DVD release or just rent it. As a medium spoiler, I'd say that, plot wise, it reminded me of ""Law abiding citizen"", with the first three quarters of the movie full of suspense and plot twists, and the last act, a little rushed and over the top. And that justifies the two penalty points I gave to this movie, one of them just for the exaggerated use of a bottle of good brandy.<br/><br/>As for ""10 Cloverfield Lane"", I can say it offered just the things you would expect... from a movie you really don't know what to expect. A thin trailer, with little to no information about the plot was, in my opinion, was a clever move and made me watch it. And, to be honest, except for the final act, I was more than satisfied with the emotion, the tension, the acting (great for two of the main characters, kinda OK for the other one), the way the director played with my mind and feelings about the characters and the way it builds them. You expect them to be capable of doing the things they do in the movie. For once, a complete looser at the beginning of the movie doesn't become, inexplicably and over night, some kind of Macgyver/guerrilla fighter at the end. It's a movie you can't forget really easy.<br/><br/>Now, for the part that I'm quite annoyed with: the alien mayhem expectations that make this movie ""baaad""...<br/><br/>I've seen a lot of reviews and opinions about how bad this movie is, about how much of a mixed up plot nonsense is and about the fact that most of them where ""waiting for something to happen"". Well, as I mentioned before, a lot of things happen, just not the ones you would expect. And, as I've seen, the upset and disappointed moviegoers were, mostly, the ones that expected to see a sequel for Cloverfield. Well (spoiler alert) IT'S NOT! It's a movie that tells a story happening during the events of Cloverfield and that is the only connection to the original. It can be taken as a standalone film, for that matter. And, as I said, a quite good one.<br/><br/>In conclusion: if you expect monster aliens fighting military helis, explosions, guns and all that Michael Bay stuff, then skip this one. On the other hand, if you expect a good thriller (with some added Sci- Fi at the end), good acting and disturbing plot twists, then it's the kind of movie for you.<br/><br/>P.S.: I'm not saying anything about the plot, because, just as one reviewer said, ""the more you know about the movie, the less interesting it will be""."
"NonSequiturL","8","165","258","9 March 2016"," Great claustrophobic story with fine performances... and a twist
","Full disclosure: The year is 2007. A trailer hits cinema screens advertising a mysterious film named ""Cloverfield."" Nobody knows what it's about, except that it's riding on the wave of the found footage genre, and that it seems to depict a giant monster attack on New York. Speculation immediately breaks out all over the internet, but nowhere more fiercely than on the IMDb forums, with many folks being caught up in the genius viral marketing. I myself was one of those people, along with my wife. Yes, we met on IMDb's Cloverfield forum. She moved from the US to Australia a few years after, we got married, and we've lived together happily ever since.<br/><br/>Yes, that is the power of film; it can bring people together in the most unlikely ways possible.<br/><br/>So, it's with some excitement that we were blindsided by the brief and vague advertising campaign for 10 Cloverfield Lane. Does it have any connections to the original Cloverfield? What's JJ Abrams playing at here, exactly? Without giving too much away, it's not a direct sequel, but rather a sequel in tone. I'm assuming Abrams is going for an anthology style series here, with each entry being a different story tied together by their themes and science-fiction setting. It's clearly a marketing thing, but if that means we'll get more films like this, I'm certainly okay with it.<br/><br/>10 Cloverfield Lane eschews its predecessor's found-footage trappings, and immerses us in a classic style bottle thriller. The setting is limited and claustrophobic, and the cast small, but the story and tension will grab you and not let up until the end. The nature of the mystery means your opinion will hang very precariously on whether you like that ending, and I suspect it will be divisive. There's not a great deal of resolution, and if I'm correct in assuming this will be an anthology series from now on, I doubt we'll ever get any. But that's fine, because I don't think the story that would follow the film really needs to be told.<br/><br/>What matters are the performances. John Goodman is the real draw card here. He gives a stunning turn that is delightful, sympathetic and absolutely terrifying in equal doses. He's had so many great roles in the past, but he is unforgettable here. Mary Elizabeth Winstead is also very likable as the resourceful protagonist. Perhaps a little too resourceful at times, but for the most part we're with her happily throughout.<br/><br/>The film looks fantastic despite the cramped environs, with great use of color and shadow and some interesting cinematography. There are some nice designs and special effects toward the end of the film, even if they may be considered a little derivative. The score is tense and effective, and keeps you on the edge of your seat.<br/><br/>The script is great with very little flab, and if you like these kinds of stories which lock characters together in tight, paranoid spaces then you'll find a lot to enjoy here. Just don't go in expecting Cloverfield 2, because this is not it. It's its own beast, and has a brave ending that you'll either love or hate."
"Matt-Canalcon","9","130","212","15 March 2016"," The secrecy made everything better! (NO SPOILERS)
","First of all, if you want to watch '10 Cloverfield Lane', make sure to avoid any kind of spoilers on the internet. I will try to write this review without spoilers, even if it's a bit difficult considering the movie I just witnessed.<br/><br/>'10 Cloverfield Lane' is an amazing mystery/suspense movie that serves as a sequel to the 2008 hit 'Cloverfield'. I have to say, it's hard to tell if the greatness of this movie is going to hold up in 10 years because of how everything surrounding the movie made it better, but I really really liked it.<br/><br/>Me and my friend tried to avoid the spoilers on the internet and read as less as possible on the movie before we went to see it. Fortunately, the brilliant marketing campaign did not reveal anything about the story, and the fact that it was a sequel to 'Cloverfield' is going to make you constantly guess. Is it a traditional horror/suspense movie? Is it a monster movie? Where are the monsters? WHAT IS GOING? (Pretty much what I kept asking myself all along the movie)<br/><br/>John Goodman was incredible, definitely the standout of this movie. The soundtrack was great, some jukebox oldies and a thrilling score.<br/><br/>The movie starts with Michelle (Mary Elizabeth Winstead) driving off from her marriage and taking the road to leave her husband. This is made with a perfect montage, and there's no dialogue for the first 4-5 minutes of the movie. Then, things take a turn and we are transported to the bunker you saw in the trailers.<br/><br/>I will say it again, go watch this film, and don't read anything about it on the internet. I can't recall the last time a movie kept me guessing like this one. If you tend to get bored and tired by the usual clichés in movies, buy your ticket to '10 Cloverfield Lane' and enjoy your time at the movies.<br/><br/>Clever marketing, brilliant story, very good direction, great performance by the cast, it's hard to complain about this film!<br/><br/>9/10"
