"username","rating","helpful","total","date","title","review"
"chaswe-28402","10","442","491","1 March 2018"," Marvellous Ending
","The message of this film is that there is no symmetry to life. What goes around does not come around. The fall of the coin has no bearing on the way the cookie crumbles. There is no right or wrong to the fates of men. No justice. Opportunities seized may lead on to fortune, but they could just as well lead on to dusty death. Only children expect things to be fair. As things once were they need no longer be. Now that IMDb has decided to list reviews by date there is a slightly increased possibility that this effort will be read by someone. Performance reviews are absolutely not read by me for helpfulness, but for interest and entertainment."
"Sonic_Ocean","10","41","49","20 June 2013"," A Look into an Abyss
","I expect a film like 'No Country for Old Men' to be polarizing for some, especially if they're expecting a big finale with the good guy and the bad guy drawing their guns in the end to settle the score. 'No Country for Old Men' is a film that dabbles more in existentialism, despite all the crime that occurs. Basically, what I'm saying is that the film adapted from the novel is very unconventional not only for its genre, but also in its approach to storytelling. What the Coen brothers do best is combining altogether different elements and creating something with its own unique character. While there are subtle throwbacks to the old wild west, the story takes place in modern society where technology has advanced, society has advanced and unfortunately crime has too.<br/><br/>What are Anton Chigurh's true motives? Does he have a philosophical doctrine that we the audience are unaware of or are just unable to comprehend? What Anton does is create a lot of questions that arise from his actions and his interactions with the other characters. To watch a character as odd as him is fascinating and I cannot give enough credit to Javier Bardem in portraying such a character that is so enigmatic and just his presence alone is able to evoke so much mystery. Even though Anton is very incomprehensive, it is all made up for by being able to be somehow captivated by him.<br/><br/>How every character deals with Anton is interesting, to say the least and as the film progresses, the feeling of despondency increases gradually. The lack of heroes is what gives this film its sense of hopelessness and that feeling of hopelessness is basically set in stone from the first few shots coupled with Tommy Lee Jone's epic voice-over narration in introducing the story. It is the perfect introduction to what we will witness in the story and what it all means for a sheriff like him in comprehending these events. As the events occur, we the audience reflect on these situations just as much as Sheriff Ed Tom Bell. Tommy Lee Jones' performance in this role is impressive and is injected with a great sense of humanity. I commend his portrayal as Bell, in that he is the character who carries the weight of the story.<br/><br/>The acting is a huge fragment in bringing this film to life, but what also does that is how the visuals are executed and it is definitely utilized to a great effect. From its majestic shots to its beautiful lighting and color tones, the Coen brothers set a mood that permeates the whole film. Its barren settings really add a feeling of desolation that is at the same time hypnotic and surreal. While the film can be suspenseful and its suspense is definitely executed perfectly, the film still somehow manages to maintain an air of mystique. The non-existence of a soundtrack really gives the film a feeling of loneliness, all the while adding an even greater sense of sterility to its already barren wasteland.<br/><br/>I can go on and on about the great acting, its memorable shots and its great script, but what makes 'No Country' a great film is that it manages to be truly idiosyncratic in its execution just like how the Coen Brothers' other great films are. Even if a film like this leaves me more questions than answers, if it still manages to captivate me to a point that I'm willing to return to it, then that shows that it doesn't matter if I don't have any answers to my questions. There are only a few films that are able to pull this off naturally and 'No Country for Old Men' is definitely one of those special films that can do just that."
"motta80-2","10","1073","1568","16 May 2007"," Coens firing on all cylinders. Brilliant.
","If this doesn't end my year in the top two films of the year then we are in for one hell of an awesome year of movies.<br/><br/>The new film from two of the best filmmakers working today No Country For Old Men shows the talents of the Coen Brothers on top form. After a couple of disappointments (Intolerable Cruelty had flashes of Coen genius but felt more of a Coen imitation than the real thing; Ladykillers had the odd funny moment but was the blandest film the brothers ever made, and there's just no excusing Marlon Wayans!) they knock this violent western drama out of the park.<br/><br/>More in the vein of their superb early mostly-serious efforts Blood Simple and Miller's Crossing (my personal favourite of the Coen back catalogue) No Country For Old Men is a slow-moving, character-driven masterpiece about uncompromising and uncompromised characters. It is very violent and bloody and not always for the squeamish.<br/><br/>Shot through with moments of humour these come, as in life, from real situations and observations so don't be fooled into thinking this will be the serious film with goofy-characters Coens of Fargo. No Country For Old Men is a tough, gritty story.<br/><br/>The unrelenting pace may take its time but you are gripped every moment. This is a thriller that genuinely thrills.<br/><br/>Javier Bardem gives the best performance of his career. And, yes, I have seen The Sea Inside and he in superb in that but here he is simply extraordinary. It is a portrayal of unrelenting evil, of true derangement, of a human being with no shreds of humanity that ranks at the very top of studied film psychopaths. And I say film not movie because this is not a clichéd character. This is not a character whose lunacy you enjoy over popcorn. This is one of the most frightening performances ever committed to celluloid. I felt truly nervous of what was going to happen every time he walked on screen.<br/><br/>Josh Brolin essentially carries the bulk of the movie and he is excellent in a role that challenges him. I have never seen him perform to this level and if Bardem didn't steal the film you'd be talking about Brolin all the way home. As it is this gives him a showcase for his talents that should see him get a lot more attention.<br/><br/>Tommy Lee Jones is used sparingly but to great effect. Sounding more like Michael Parks than ever before his scenes pepper the movie with a wearied view on a world he doesn't really like or understand to great effect.<br/><br/>I did find Stephen Root a little distracting as i have never seen him in a serious role before and he just looks amusing but he is in very little.<br/><br/>Roger Deakins' cinematography is breathtaking as usual and the Coens' script is superbly crafted. There are moments, almost asides from the main plot, that would be superfluous in most scripts and excised in most studio films but which work perfectly in the overall context of the movie as only the Coens can achieve. One scene featuring Bardem in a gas station is up there with the best scenes i have ever seen on film.<br/><br/>I have not gone into the plot here because I saw this film having not read Cormac McCarthy novel and knowing little other than the basic log-line - a man out hunting comes upon a scene of dead bodies, guns, drugs and money on the Mexican border and comes to the attention of both those behind the scene and a local world-wearied sheriff - and i think that's the way to see this film.<br/><br/>Go in knowing as little as you can but knowing at least this: this is a serious, violent, slow-paced character piece from the Coens. This is not a Fargo. If you are squeamish don't see it. If you have a short-attention span don't see it. If you only love the Coens for their fantastic comedies like O Brother and Big Lebowski and the comedy/thriller Fargo don't see it. But if you want to see an intelligent, superbly acted, powerful, beautiful cinematic treat that will remind you of the true power of cinema see it, see it, see it. It's a masterpiece. Bravo Ethan and Joel."
"Lechuguilla","9","157","229","13 July 2008"," Some Interesting Characters
","While on a hunting trip, a sportsman (Josh Brolin) finds dead men and a stash of cash in the remote back country of West Texas, the result of a drug deal gone wrong. The greedy hunter takes the cash, but soon discovers that the resourceful criminal responsible for the drug deal, an outlaw named Anton Chigurh (Javier Bardem), has a way of tracking the loot. The hunter thus finds that he is the hunted. Meanwhile, an aging Texas sheriff named Ed Tom Bell (Tommy Lee Jones) is after both the sportsman and Chigurh. The story is set in the early 1980s.<br/><br/>To some extent, this film is a character study of Sheriff Bell, an honest lawman who is wise, observant, grounded in reality, and has a long memory. ""No Country For Old Men"" is really his story. He doesn't know quite what to make of the drug war that has crossed over from Mexico into Texas; it's something new (for the 1980s); and it makes a land that has always been hostile to settlers even more hostile and dangerous.<br/><br/>The film's premise is quite simple, and the story is straightforward with minimal twists. A lot of time and care are taken with procedural actions: loading a gun, dressing a bloody wound, constructing a pole to retrieve a package from an air vent, for example. Dialogue is minimal; there's lots of silence.<br/><br/>Overall casting and acting are impressive. I especially liked the performance of Tommy Lee Jones who seemed a natural choice for the role of Sheriff. Javier Bardem and Josh Brolin are also well cast. Several minor roles are extremely well performed, like the store owner who is asked to call a coin toss, and the rotund lady who, with a dour face, defies Chigurh's requests in a characteristic Texas twang.<br/><br/>The film's color cinematography is quite good; there are lots of sweeping, wide-angle outdoor shots. I really enjoyed the geographic setting, with that whistling West Texas wind, the silence, and the stunning vistas. It's a landscape that is starkly beautiful. Yet, despite its beauty and wilderness traits, it can quickly turn hostile and unforgiving for anyone unprepared for its hidden risks.<br/><br/>""No Country For Old Men"" is a fine film. I'd describe it as a chase story -- character study combo, with elements of noir, especially in the visuals. Violence may be a tad much for some viewers. But given the subject matter, it is entirely appropriate."
"jcbutthead86","10","6","6","15 January 2013"," A Brilliant,Flawless Masterpiece From The Coen Brothers And One Of The Greatest Films Ever Made.
","No Country For Old Men is a flawless masterpiece of cinema that combines amazing acting,great direction,a wonderful screenplay and memorable characters. This is one of the Coen Brothers best films,one of my all-time favorite films and one of the greatest films ever made.<br/><br/>Based on Cormac McCarthy novel of the same name and set in West Texas in 1980,No Country For Old Men tells the story of a hunter named Lleweyln Moss(Josh Brolin)who comes across a drug deal gone bad and finds two million dollars in a briefcase. Even though he has the money,Lleweyln knows he's not safe and has to find a way out while being tracked by a dangerous hit-man named Anton Chigurh(Jarvier Bardem),local county sheriff Ed Tom Bell(Tommy Lee Jones)and Mexican drug dealers all leading up to a violent and bloody chase and cat and mouse game.<br/><br/>NCFOM is a masterpiece that works not just as Crime Thriller,but,also works as a Coen Brothers film,character study,the study on the themes of life,death and fate and as a Contemporary Western. What I love about NCFOM is that while it is a Coen Brothers film,at times it doesn't feel like one because of the way the Coens approach the story. Unlike most of the Coens films,where violence and chaos are done with loud sounds and a music score,this film has a very quiet and somber demeanor,giving us a world of the Texas landscape where violence and chaos is almost silent and unheard and where no character is safe. The Action and Violence in the film are well-done with suspense and intensity and the fact that there is no music during the Action scenes adds to the film's greatness and puts you on the edge of your seat. The Action and violence in the film is bloody and dark and will disturb you to the core. The screenplay by The Coens is excellent,adapting McCarthy's dialog word for word right out of the book,with The Coens still bringing some of their signature style and sense of humor and wit to the script. The movie is a great character study as well,with the three main character Ed Tom,Anton and Llewelyn in the forefront. The three main characters are well-developed and memorable,each of them having great scenes on their own and as the film goes on you understand their motivations,who they are and who they're about,whether it's Llewelyn and the money,Anton Chigurh and his pursuit of the money and Ed Tom reactions to the things he sees all around him. What sets NCFOM from other crime Thrillers is the film's study of Life,death and fate. Life,death and fate seem to either effect or goes with the characters,with Anton Chigurh who is basically a physical representation of death and fate. Chigurh strongly believes in fate and uses a coin to find out whether you die or not,if you guess heads or tails,one or the other right,you live,if you don't you will die at the hands of Chigurh. The gas station scene in the film will show you. Where Llewelyn is trying to defend himself from violence and death,Sheriff Ed Tom just doesn't understand why there's violence all around and why the times are changing all around him,with drugs,guns and death in the air. Ed Tom represents the past where old time sheriff's didn't have to use a gun or deal with violence,the future in this film is drugs,guns,death and the real danger and Horror of violence,something that Ed Tom Bell doesn't understand and can't figure out why it's happening and there is a sadness and dread that hangs over the film with Ed Tom and the title No Country For Old Men refers to him. NCFOM is also a modern Western in many respects and while we don't see any stagecoaches and six-shooters,you will see characters riding horses and wearing cowboy hats and Roger Deakins beautiful photography shows viewers the dust and dirt of West Texas making look beautiful and nice during the day while making the film dark and eerie at night. The ending of the film will divide viewers and will fall into two categories people who love the ending or who will hate the ending,I fall into the former category because the Coens while staying true to their vision,also stay true to the vision of McCarthy's novel offering viewers a powerful and unforgettable conclusion that doesn't end with a bang,but with a whimper and one of the reasons NCFOM is a Masterpiece.<br/><br/>The whole cast is excellent in their roles. Josh Brolin is does a great job as Llewelyn Moss bringing a grit and toughness to the role. Jarvier Bardem is brilliant as Anton Chigurh,one of the best villains in movie history. Bardem is frightening,scary and menacing and doesn't try to be scary,he just is. Tommy Lee Jones is wonderful as Sheriff Ed Tom Bell,bringing a quiet,somber and sometimes dry humor to the performance. Woody Harrelson does good job as Carson Wells,an associate of Anton Chigurh. Kelly Macdonald does a fine job as Llewelyn's wife Carla Jean Moss and considering Macdonald's Scottish in real life does a good job with the Texas accent. Garret Dillahunt(Wendell),Tess Harper(Loretta Bell),Barry Corbin(Ellis),Stephen Root(Man who hires Wells)and Beth Grant(Carla Jean's Mother)give fine performances as well.<br/><br/>The Coen Brothers(Joel and Ethan)direction in the film is excellent and the Coens give the film great pace and timing,while giving film a great since of atmosphere and tone,always moving the camera. Brilliant direction Joel and Ethan.<br/><br/>The score by Carter Burwell is rarely heard in the film,but when in use is effective and fits with the mood of the film. Fine score.<br/><br/>In final word,if you love Crime Thrillers,Drama,character study's,Western,The Coen Brothers,Cormac McCarthy or cinema,I suggest you see No Country For Old Men,an absolute Masterpiece of cinema that you can watch again and again and is one of The Coen Brothers Best. Highly Recommended. 10/10.<br/><br/>j"
"littlegoldwoman","1","1722","2796","12 December 2007"," Wish I loved it (Spoilers)
","I have a plea out on the message boards for someone to please explain this movie to me. I love movies and I am not one of those who insist on only being hand fed obvious characters and plots. I enjoy movies that make you think and use symbolism. <br/><br/>But I honestly did not understand this film. Im not saying its horrible but I will say I don't think it deserves the ratings it is getting. I personally rated it a 1 because I feel compelled to balance out the absurd over ratings it is getting.<br/><br/>What I saw was two men fighting over the same two million dollars. One who is somewhat good and obviously poor and the other who is this maniac psycho killer. Im not even sure its his money, how he knows about it or why he even wants it. None of that was clarified.<br/><br/>The good guy is running with the money the bad guy is chasing him the sheriff seems like he is supposed to be chasing them but doesn't really want to and would rather be some sort of hillbilly philosopher about the whole thing.<br/><br/>Then the good guy suddenly dies. The bad guy escapes death by the skin of his teeth AGAIN the money disappears and the sheriff retires but not becoming so philosophical that the whole movie just ends right there at his dinner table with him rambling on about some dreams he had.<br/><br/>Again I would love to figure out this movie.<br/><br/>I am a 40 year old movie buff Academy Award trivia expert I own over 700 movies I've been a member here for 6 years And I have a college degree.<br/><br/>Maybe I ate too many milk duds or something but it went right over my head.<br/><br/>If you are looking for a Donnie Darko, Eternal Sunshine of the Spotless Mind MUST SEE A SECOND OR THIRD TIME TO FULLY UNDERSTAND kind of movie then go for it!<br/><br/>If you think you are going to see a Titanic, The Green Mile or Silence Of the Lambs kind of movie where the plot unfolds at a normal pace and doesn't make you search for answers and meaning then don't go see this thing. <br/><br/>Again, not a bad movie. Great acting, cinematography, pace.... the works... just incredibly difficult to understand after the first half.<br/><br/>In fact the first half is very good, suspenseful.. second half does not fulfill. Leaves you hanging and wanting more.<br/><br/>OK Im done. Thanks for reading."
"Danusha_Goska","1","1107","1837","16 December 2007"," Despicable Snuff Film with Pseudo-Intellectual Pretensions
","""No Country for Old Men"" is for the kind of film fan who remarks, ""Gee, wasn't that murder a clever mise-en-scene?"" and who asks, ""What kind of lens do you think they used in that strangulation shot?"" The skeleton of ""No Country for Old Men"" is a cheap, 78-minute, gun-monster-chase B movie. Javier Bardem plays Anton Chigurh, the monster. He is Frankenstein; he is Max Cady from ""Cape Fear;"" he is from your childhood nightmares. He may be death personified.<br/><br/>One of many completely implausible scenes: an arresting officer, defying any logic, turns his back on Chigurh. Chigurh, displaying the supple sinuosity of a Cirque du Soleil contortionist, or an orangutan, slips out of his handcuffs. This is done out of camera view, because for Bardem it would be impossible; thus the scene's implausibility. Chigurh then, in real time, strangles the young police officer to death on camera. This is an extended sequence. This is the payoff for ""No Country for Old Men"": watching one human being kill other human beings, in scene after scene after scene, using various weapons, including a captive bolt pistol usually used on livestock. Guess Chigurh couldn't get hold of a Texas chainsaw. This is a slasher flick for the pretentious.<br/><br/>Early on, there are well-done, if standard, chase scenes. A man outruns a car: not believable, but fun to watch. A pit bull chases this fleeing man down a whitewater river. The man reloads his gun at the very last moment (of course) and shoots the pit bull dead just as it is about to sink its teeth into the man. Later, in a hotel, a beeping transponder informs the killer where his prey hides. Your pulse may race and you may think that this is all leading up to something interesting. You will be disappointed.<br/><br/>Tommy Lee Jones, whose ear lobes appear to be metastasizing as he ages, wanders aimlessly through the film as Sheriff Ed Tom Bell, delivering cornpone, homespun, cowboy poet ruminations that are more or less opaque in meaning. No doubt the film's fans are even now feverishly compiling a companion volume that decodes Bell's dreams and conveys their depth.<br/><br/>Woody Harrelson, late the bartender of the TV sitcom ""Cheers,"" shows up for a completely pointless half-hour role that yanks the viewer right out of the movie. ""What is Woody Harrelson doing here?"" Some years back, some bored English majors decided that conventional narrative structure was not intellectual enuf, and decided to play games with narrative. ""No Country for Old Men"" plays these sorts of games. The viewer is invited to invest time getting to know characters who are eliminated from the plot in ways that convey no meaning and are not moving. The narrative flow is truncated and yet the movie keeps going; viewers ask themselves why the movie is continuing -- sometimes out loud, even in a movie theater -- this is supposed to be a deep, intellectual experience. It is not. It is merely annoying.<br/><br/>Other than bratty English major head games, pretty much the entire substance of ""No Country for Old Men"" is a series of murders and tortures committed by Chigurh, who may symbolize your high school's worst bully  a bully so terrifying exactly because he targeted English majors. His victims are often courteous; their likability makes watching them be humiliated and then murdered an uncomfortable, and, given the film's structure, ultimately pointless exercise. Not only are the Coen Brothers torturing their characters, they also torment their ticket-buying audiences.<br/><br/>Chigurh's nice victims are often poor, rural, Southern, whites, the kind of people often not featured as positive, lead characters in Hollywood entertainments. They are often villains  witness films like ""Deliverance."" Here they are murder victims. Chigurh is associated with Mexicans, part of a rising ""dismal tide,"" as one Anglo character puts it. No matter how you feel about immigration, you may find this association of Mexicans with a rising tide of evil to be offensive.<br/><br/>The film's boosters insist that the movie offers three deep and shocking lessons: life doesn't always follow a neat narrative structure; evil often triumphs; and the old days were more peaceful and, nowadays, things are getting really bad. In truth, everyone walking in to the theater already knows the first two ""lessons."" No one needs the Coen brothers to inform him that life doesn't always follow a neat narrative structure, or that evil often triumphs. We expect filmmakers, and all artists, to offer us a more substantial thesis. As for the third ""lesson,"" that the old days were more peaceful and things are getting really bad today -- have the Coens, or Cormac McCarthy, heard of Attila the Hun, or any number of other less-than-peaceful and courteous personages from our common human past? One might well be dubious about ""No Country""'s ""lessons."" Visit internet discussion boards devoted to this movie, and you will find fans asking, not ""What is fate?"" or ""What is the role of a good man in a bad world?"" but questions like, ""If Hannibal Lector and Anton Chigurh were locked in a room, who would come out alive?"" Given such reflections, one is safe in concluding that the appeal of this film is its emphasis on graphic violence, rather than on any more advanced intellectual or artistic merit."
"littlemartinarocena","10","242","388","4 March 2008"," Tangible Fear As Art
","I don't remember being so scared in a movie theater since ""Don't Look Now"" Here the Coen Brothers take everything a step further with exhilarating ease. The terror was genuine and not because we were rooting for Josh Brolin or anybody in particular. The terror was personal, Joel and Ethan Coen made that terror visceral and tangible. It has to do with our own nightmares. Josh Brolin was a perfect piece of casting because in a way he doesn't have many personal colors. He's one of the bunch, one of us and we could put ourselves in his shoes. That is the art of film narrative expressed in a way that we've never experienced before. I heard people old enough to have seen Hitchcock's ""Psycho"" in the theaters and what glued them to the screen was their own fear. Well, that's what I've experienced here. Javier Bardem is superb, considering that he's the reason for the fear. He carries a human/inhuman kind of strength and we know he'll get us, sooner or later and if we consider the ending of the film, he might still do. Worthy Oscar winners, all of it and all of them."
"Quinoa1984","10","761","1265","9 November 2007"," You need to call it. I can't call it for you. It wouldn't be fair.
","No Country for Old Men is as exceptional a mix of two creative talents- the Coen brothers, Joel and Ethan Coen, and author Cormac McCarthy (recent winner of the Pulitzer for The Road, his own masterpiece) as one could imagine, as they converge on a story that in lessor hands would be just a B movie. The story concerns an average Joe out hunting one day in Texas who comes across a bunch of dead bodies, heroin, and a satchel with 2 million in cash. He takes it, but without knowing that a true embodiment of a psychopath (Javier Bardem) is on his trail, and as he evades him it becomes more and more clear the fatalism that lies in store, as a weathered sheriff (Tommy Lee Jones) is also on the trail with perpetulally sad eyes looking on from his stolid demeanor. <br/><br/>More than this, it's also about as good a morality play as one could ask for, because it plays and tools and makes very serious questions about what is moral, or what isn't, or what is so ambiguous that it's all up to the toss of a coin or a chance ride out of town. There are a few interpretations to Bardem's character Anton that could be taken, but one thing is certain- he's less a symbol than a real presence, a ""ghost"" as Jones's sheriff calls him that can come around at the drop of a pin, usually in the dark, and strike the utmost fear (or confusion if you're a clerk) in the hearts of men and women. You'll never look at a coin toss the same way again. Or an air-gun. Or fixing a bullet wound in a leg. Or a hunt at a motel. Or even the aftermath of a car crash.<br/><br/>But at the same time it's the purest time of cinema, recalling Hitchcock and Leone and Welles's Touch of Evil and the best of noir and westerns. There are so many exceptional shots and lighting, so much depth to the perception of the characters through the mis-en-scene, so much tension, that through this it's all up to the actors to make or break the near-perfection that is the McCarthy source. Bardem embodies Anton like no other could- you can't look at his eyes, often steel-cold and horrifically professional (to what professional who can say), which occasional tear- and it's obviously worthy of an Oscar. And Josh Brolin and Tommy Lee Jones are also fantastic; we see Brolin often in the midst of an action scene, a moment of 'save-your-life' going on, and one can finally see an actor of his caliber completely breaking out in a role that doesn't require him to ever totally ""emote"". Jones, on the other hand, gives a compassionate turn in a film that's about the struggles of desperate men in a land without law and order. He's gone through so much that it comes out completely in his voice and eyes, sorrowful but holding back, and he reaches a level of connection with the character that makes the Fugitive look like simpleton TV. Kelly McDonald, who plays Lleland's wife, is also excellent when called upon, especially in a crucial scene later in the film.<br/><br/>It's gut-wrenching, bleak, violent, super-tense (I clenched many a knuckle during some scenes), surprisingly funny in a darkly comic manner not seen by the Coens in many years, and artistically fashioned to a beat that is meditative (watch the opening moments with Jones's voice-over), simple, and doomed. It's beautiful and terribly tragic, for McCarthy fans it finally strikes at what is truest to his material- even if you haven't read the book itself the Road will give an indication of the mood and atmosphere at hand- and at the moment I can't think of any other film that would be the best pick of the year- maybe one of the best films I've ever seen."
"Chilangojoe","5","266","430","12 November 2007"," Beneath the eye-catching photography and violence, and the good acting, there lies an empty plot
","Beneath the eye-catching photography and violence, and the good acting, there lies an empty plot<br/><br/>To call this ""film of the year"" is to ignore that the world is a big place, and full of films that are a lot better. <br/><br/>This film simply didn't live up to the critical acclaim it garnered prior to release. Yes, Tommy Lee Jones does a good turn, as does Josh Brolin and Javier Bardem is somewhat unusual. The bleak countryside is well filmed and one of the reasons I cannot forswear multiplexes, and the violence also grabs the viewer's attention, but even that artifice wears off as the violence simply becomes monotonous.<br/><br/>The critics have uncovered nuances that separate this film from the classic Hollywood blood-and-guts formula, the most notable of which is that the lawman doesn't get the bad guy in the end. The trouble is that beyond critics counting angels on heads of pins, the Coens have retained hackneyed Hollywood clichés aplenty, the most egregious of which is the psycho who comes from nowhere, a plot device that dates back to the devil featuring in mediaeval morality plays and was debunked by the time Shakespeare was a lad. Hitchcock famously explained why Norman Bates became a psycho, and his suspense was all the more masterful as Anthony Perkins didn't look like a killer, just the Mummy's boy he really was.<br/><br/>With Hitchcock, you know something very bad is going to happen; but the suspense lies in not knowing what, by whom or when. After the first few minutes with Bardem's character, however, you know he will do the killing, you know how and you know it will be sooner rather than later. The only time the evil Chigurgh acquires more than one dimension is when people tell him he has a screw loose, but he just doesn't get it. Otherwise, he's as predictable as Terminator. We also have no idea where he learned his Rambo or Jason Bourne tricks, or how he gets to be better informed than the cops, and that is just one of many plot holes. <br/><br/>Bardem has acted much better before, as when he diversified from tongue-in-cheek macho roles years ago in films like ""Carne Trémula"" or ""Segunda Piel"". He successfully masks his native accent, but ends up sounding a bit too machine-like.<br/><br/>We can see Chigurh is after a pot of drug money, but just who the hell is he? Who are the ""managerial"" guys who put him in the picture? We are left to guess that Woody Harrelson is a hired man, but told nothing about his background, who does the hiring, or why. And why is Woody's character stunningly efficient one minute, in tracking down Moss, while allowing Chigurh to sneak up on him the next? <br/><br/>We are also meant to believe that a full-blown drug war can break out with just a lone sheriff on the case, without the feds getting involved. Yes, there is a lot of disbelief to be suspended in seeing this picture.<br/><br/>And then there is the foray across the border, which is corny and stereotypical to any one who has ever lived for a while in Mexico. Since when do norteño bands dress like mariachis? Since when do they serenade blood-stained gringo vagrants, for nothing, and in the morning? Since when do foreigners with bullet wounds get admitted to hospital, no questions asked? This has as much to do with the real Mexico as nachos and chile con carne. Could the Coens find not one Mexican adviser?<br/><br/>OK, so maybe this is beside the point, that the film is really all about a man getting too old for his job, as the very title suggests, but even here the plot is full of holes. It is all very well for the sheriff's uncle to wistfully say that a lot of nasty stuff has always happened on the border, but that ignores the fact that drug trafficking entails a dangerous mix of grinding poverty and instant fortunes which has made things nastier, all along the supply and distribution routes; Mexican towns once known for little more than growing avocadoes now have severed heads rolled across dance floors, and the country's equivalent of David Letterman was wasted in broad daylight.<br/><br/>Even that hollow and superficial take on drugs violence fails to grasp the nettle of centuries of brutality, of slavery and killing Indians, in making the U.S. what it is. And yes, it is possible to cover all these bases in a two-hour film. I will certainly look for them, and for answers to all the plot holes, should I ever read Cormac McCarthy's original novel.<br/><br/>For a sense of just how disturbingly omnipresent drug-fuelled violence is, and how it ends up breeding more violence, ""La Vírgen de los Sicarios"" did the job far better, but with Spanish dialogue and being made in Colombia, it never came to the attention of the critics who heap undeserving praise on the Coen brothers."
