"username","rating","helpful","total","date","title","review"
"alannarmiller","9","88","117","30 July 2007"," I felt the need to just replace the previous ignorant comment
","The Piano is a beautiful film in many different respects. In terms of cinematography, I've seen few like it. It is dark and beautiful and compelling. The story seems, on paper, as a torrid love story without much originality. But the sensuous portrayal of Harvey Keitel and Holly Hunter and the complex acting of a young Anna Paquin allow this story to ring true. I was skeptical upon viewing a film so lauded by critics and film snobs, but found myself both moved and connected to the film that holds strangely relevant themes for modern times. It is rare that I love both a film's visual beauty and it's script as well. This is that rare occasion."
"sworden","10","32","41","13 September 2005"," A woman's idea of seduction, not a man's
","I wonder if an assessment of all the bad reviews of this movie would include almost all men. Although there are certainly men who enjoyed this movie, I can understand why a lot of men would fail to appreciate it, simply because so much of its sensual potency deals with what is inextricably feminine.<br/><br/>I just watched it for the the first time in ten years, and I was as wowed by it as I was the first time. If you told me I would ever find Harvey Keitel sexy, I would have called you crazy...but ooh baby! The man sees her inner passion and is transfixed, then reaches out to her with a graphicness that is somehow also tender, almost reverential. In contrast, Sam Neill is blindly reaching out like he would to a wooden doll, not seeing ""her"" at all. It's a delicious contrast and heightens the beauty of the very real connection that occurs between the lovers. <br/><br/>Ada (Holly Hunter's) response is to be wooed despite herself. She doesn't ""want"" to give herself to this man who is so contrary to her image of a lover, but she recognizes his identification with who she is. Willful as she is, once her heart is given, it becomes impossible for her to do other than to seek him out. This is truly an archetypal dance."
"namaturner","9","102","151","6 February 2001"," Amazing Film Making
","This is one of my all-time favorite films.  It combines masterful scripting, cinematography, performances, and musical score into a disturbing, erotic, and ultimately uplifting piece.  The movie's heroine, wonderfully portrayed by Holly Hunter, is mute (symbolic of the fact that she has no say in her own life), with her daughter (the astonishing Anna Paquin) and her piano as her personal obsessions.  Her conscripted husband, coldly played by Sam Neill, is trying to win her heart and her desire in all the wrong ways, while his crude tribal neighbor, sensually played by Harvey Keitel, understands her needs and ultimately captures her ... physically, intellectually, and romantically.  The film's message and its delivery are extraordinarily  powerful, the cinematic technique is rich ... the sequence shot with Hunt, Pacquin, Keitel and the piano on the beach is one of the best pieces of work I've ever seen.  Lasting impact."
"Nazi_Fighter_David","9","55","79","24 June 2003"," A break with the tragic, the Gothic and the sentimental...
","Director-screenwriter Jane Campion started at the movies in the early 1980s at the Australian School of Film and Television... She clearly emerged from her cultural heritage to become one of the world's premiere female directors...<br/><br/>Campion's films typically have a treacherous terrain of searing emotional intensity... We recognize ourselves in the ways her characters think and behave... Her work signifies a break with the tragic, the Gothic and the sentimental... <br/><br/>Her exquisite film which won three Academy Awards including one for Campion's screenplay, is not about sex, but about passion...<br/><br/>Jane challenges the viewer on many levels... Her film (literary inspired from 'Wuthering Heights') explores new territory in the delicious handling of female sexuality and pleasure with the ecstasy of a loving relationship... <br/><br/>In one scene Ada, with tears of anger, hits Baines hard across the face, as if she has spoken words of love... With each new breath, with every moment that their eyes remain locked together, the promise of intimacy is confirmed and reconfirmed and detailed... Only their feelings and emotions guide their instincts... <br/><br/>No woman artist had approached sex in such a direct and liberating manner... Campion's scenes shows Baines' face crumpling with the exquisite pain of his pleasure... Ada moving his head to her chest, and Baines struggling through her dress anxious to touch her skin... <br/><br/>Nominated for eight Academy Awards, the film tells the story of Ada, a strong willful 19th-century Scotswoman who hasn't spoken, since she was six years old... Ada has been set up in an arranged marriage to a British emigrant in New Zealand...<br/><br/>The film opens with Ada who is carried to shore on the shoulders of five seamen to meet her husband Stewart, a landowner who is without much emotion or real love... Her large Victorian skirt spreads across the men's arms and backs... On her head a black bonnet... Around her neck her pad and pen... <br/><br/>Campion manages to chose a cast to suit her purpose and style... Ada is not any easy role and Holly Hunter plays her without vanity... Her face is alight with facial expression, sometimes tender, sometimes sad, sometimes humorous, sometimes soft, while her hands and fingers are quick and neat...<br/><br/>Ada speaks through sign-language translated by her young daughter Flora, and through her beloved piano which happens to be the prime source of her expression... She takes great delight in feeling her fingers on her piano's keys... But in the way she eyes the illiterate, uncultured Baines, there is an insolence and lack of respect... We watch her stopping abruptly, indignantly, as he touches her neck... <br/><br/>Harvey Kietel plays the lonely neighbor George Baines, a depressive man who is everything Stewart is not... He has never seen a graceful woman behave with so much abandon... Ada moves to the piano... She wants to touch it, but she is torn by her feelings, wanting it, but not owning it... Baines views Ada totally absorbed in her piano music... He seems satisfied to watch... He finds himself edging irresistibly closer, magnetically drawn to the spectacle...<br/><br/>Baines enjoys her fingers moving on the keys and the small details of motion on her face... Twice he closes his eyes and breathes deeply... He is experiencing a strange sense of appreciation and lust... He feels powerless... He is desperate and romantic... He no longer admires her absorption with the piano... He is jealous of it... His attention finally focuses on her neck as it bends further or closer to the piano... Ada's long white neck proves irresistible... Baines comes across the room, kisses her, and asks: 'Do you know how to bargain, nod if you do. There's a way you can have your piano back.' <br/><br/>Anna Paquin has been proclaimed one of the best child acting roles ever... She gives a subtle and complex performance as the very cute little girl torn between her mother and stepfather... She looks over at the house suddenly aware that the piano playing has stopped suddenly... She investigates the mystery peeping through the various cracks and holes in the loosely built hut... Her venture is one of challenge and curiosity... Her complex portrayal of Flora won her the Best Supporting Actress...<br/><br/>Sam Neill plays the intense, moralistic and very-Victorian husband Alistair Stewart, who never understands his woman's nature... He surveys Baines' hut suspiciously... There are sounds inside which are worrying him... By wondering around the hut, he finds a hole where he can see the two lovers kissing, and undressing... He reels back angry, but just as we might expect him to burst through, he steps up to look again...<br/><br/>Jane Campion creates an unusual film, poetic and lyrical, complimented by a beautiful cinematography of the haunting woods, which by many critics has been named as a masterpiece... She is the first female director to win the Palme d'Or at Cannes..."
"movieman9","Null","79","117","27 June 1999"," Magnificent, symbolic film masterpiece plays beautifully, like a piano.
","There are very few female directors in the film industry that have been given proper acknowledgment or had their works introduced to mainstream filmgoers. Jane Campion is one of these precious few, a director who carefully paces and sculpts her works so that they magnificently flow like a musical interlude. ""The Piano"" is her ultimate masterpiece, a film of such simplicity, described with calm and tense complexity. Holly Hunter received an Oscar for her fascinating performance as Ada, a mute woman who is forced into an arranged marriage with a New Zealand landowner, played convincingly by Sam Neill, a native Australian actor himself. Ada journeys to New Zealand with her young daughter (Anna Paquin, also an Oscar-winner that year), few other possessions, and her treasured piano, a part of her that amplifies her voice that she cannot express through vocal communication.<br/><br/>I believe it would be wrong to assume that any of the characters are martyrs in this tragic story, nor would it be right to think Sam Neill's character a villain. You may think this is crazy, but I think the piano itself serves as both a good and bad omen for all that are involved. I would relate it to a ""Pandora's box"" of sorts, a treasure that exposes all the evil and sin in the world, but which also provides hope as well. The piano is Ada's sounding box, a tool that allows her to escape from a world that does not understand her, but that also threatens her moral compass, removing her from marital conventions and forces her to lose herself.<br/><br/>The performances in ""The Piano"" are particularly good, especially Holly Hunter's. It is interesting to note that all of Hunter's piano playing in the film is actually Hunter herself performing in front of us. You can visually and aurally feel the mood of Hunter's character through the music she plays. We the audience lose ourselves right along with her, lost upon a sea of music. We see why Keitel becomes enamored by her, and why Neill becomes overcome with jealousy and betrayal. Not many films would allow us to enter the emotions of all three main characters, but this film is truly an exception.<br/><br/>Rarely do we witness real beauty captured on film. ""The Piano"" is such a visually stunning film, it's almost intoxicating how its atmosphere sweeps across the screen. This landscape is equaled by the performances, bringing understanding and mystery to this wonder. Sometimes symbolism of this nature can be distracting to an audience. ""The Piano"" dares to follow this symbolic path, and hits a bullseye with full emotional force. Rating: Four stars."
"lib-4","10","49","74","9 November 1998"," The music of the heart
","The Piano is an amazing movie- the cinematography stunning- like the piano on the beach and the sinking piano at the end. There is no praise high enough for Holly Hunter's depiction of Ada. Ana Pacquin and Sam O'Neill also shine.  And Harvey Keitel- having gone native- by marking his body in the native style- gives a truly sympathetic and daring performance. This movie stays with the viewer long after it is over.  At times I actually felt the dampness of the scenery... most of all it explores the regions of the heart- through the innovative music and the body language of Hunter.  A film not to be missed by those who appreciate good story and good filmaking.  Thanks Jane Campion for this classic."
"didi-5","9","56","86","4 March 2004"," A sensual and surprising film
","Jane Campion's Oscar-winning movie follows Ada (played by Holly  Hunter), an immigrant to the New Zealand outback and an arranged  marriage, who has not spoken for years and lives her life through the  sound of her piano. Her husband (played by Sam Neill) is a man without  much understanding, who tries to break the connection between his new  wife and her piano; in contrast to him is the wild illiterate Baines  (played by Harvey Keitel), a tattooed loner, who reaches into Ada's  soul and helps her to regain contact with her emotions and ultimately,  her voice too.  The film is visually compelling, with its muted colours and wide open  spaces, and uses the soundtrack by Michael Nyman in such a way so all  the elements fit together. Keitel and Hunter give excellent  performances within a sensitive and sensual screenplay, while Anna  Paquin is impressive as Ada's wise daughter, always watching and always  aware. Campion managed to make the story touching, involving, and sexy,  and it well deserved the plaudits heaped on it."
"Covousier","10","41","62","21 September 2006"," the heart asks pleasure first...
","Can someone explain to me why ""The Piano"" ain't in the IMDb top 250 and, for example, movies like ""Sin City"" or ""Crash"" (!!!!!!!!!!) are????????????? This movie,is,by far, one of the most delicate and intelligent ever; it softly touches you, emotionally AND physically, for the filming and the photography are exceptional. Actors in it are troubling, beautiful and so... beautiful(again,i know)! Holly Hunter, who plays a mute piano goddess and manages with her not enough known acting skills to express more with her eyes,her grace and her tiny hands than 100 Gwyneth paltrows put together!!!(no offense,i much enjoyed Shakespeare in love,but,come on...)Harvey Keitel in this broken-hearted warrior/peasant role is more than touching;love embraces him as it embraces us,viewers. Still, Jane Campion avoids the unfortunately fashionable arrogant and tutorial directors touch (oscar for best movie, Crash?????? where the hell are we??????) and lets the viewer flow on his own in this huge ocean of naked and oh so true feelings and respects the pain and/or the anger (Sam Neil,probably the only role in his carrier that shows his great talent) of her clearly beloved characters.Landscapes,seashores,humid forests,mud,rain: nature, as well as human nature, are captured by Campion's eyes and heart in the most sensitive and unartificial way. And, of course, Michael Nyman's score,which, once heard, becomes a part of you. Yes, definitely, the heart asks pleasure first. So treat your hearts and eyes with this unique and sensual Chef d'oeuvre."
"Hitchcoc","9","54","85","9 March 2006"," Acting with the face
","If one wants to see true acting, just watch Hollie Hunter in this film. She does more with her facial expressions than twenty actors can with a thousand words. Her stature, her presence, her determination are so intense. One could feel sorry for her in places. She has been ripped from her world for reasons we cannot fathom. She has been deemed expendable. When she arrives she expects to be treated properly. Anna Paquin as her daughter settles into the new environment and begins to prosper. But it is not without sacrifice. The piano is the symbol of what was left behind. Her affair with the Maori is partly passion, partly payment. We never know how much of each. The performances are stunning across the board and, this time, worthy of Academy Awards. <br/><br/>There are some very sensual scenes and scenes of great danger. There is pain inflicted and selfishness and power. Hollie Hunter rises above it all and makes her way through this quagmire (the rainy muddy jungle in this case), and arises, victorious in her own fashion."
"victor7754","10","36","58","22 January 2006"," An original and extraordinary film
","Ada, A woman chosen to be mute, travels with her daughter and baby grand piano across the seas from England to an exotic land in New Zealand during the Victorian Era. This woman has been oppressed in her homeland and denied her womanhood. She has been arranged a marriage with a Landowner who is afraid of fleshly desire. She meets an exotic Caucasian male who seduces her into a world she can be herself in. She is able to release her oppression through their passion.<br/><br/>A film of intrigue. Why make such a story? It has a touch of magical realism. Jane Campion creates a mythical world and fills it with the human condition. Holly Hunter plays Ada with a fierce and graceful flowing note and deservedly won her awards. She plays woman's independence.<br/><br/>The Piano is a strange film and very effecting on it's story. The screen emits the mystery of the forest that surrounds and engulfs Ada's spirit.<br/><br/>Haunting and lyrical."
