"username","rating","helpful","total","date","title","review"
"colinrgeorge","4","37","49","30 January 2011"," Nothing Attached
","Romantic comedies need a good kick in the pants, and an aging Ivan Reitman ain't the guy to do it. ""No Strings Attached,"" the first of at least three 2011 films about non-committal sex (with ""Friends with Benefits"" and ""Hall Pass"" in hot pursuit), is only sparsely amusing and never insightful. Big surprise. Who would have guessed that a 64-year-old director would be the wrong choice for a movie about hip people half his age? ""No Strings Attached"" might have been a decent film had it followed through on its premise, but that it falls victim to just about every romcom trapping negates the most potentially interesting thing it has going for it.<br/><br/>Everyone involved has proved themselves elsewhere. Reitman directed legendary '80s comedies ""Stripes"" and ""Ghostbusters"" before churning out a string of stinkers, including ""My Super Ex Girlfriend"" in 2006. Stars Natalie Portman (Emma) and Ashton Kutcher (Adam) are similarly defenseless against the lousy script. For my money, Portman still put on the best performance of 2010 in ""Black Swan,"" and by comparison her turn here is particularly disappointing. Kutcher is the weakest link, but has consistently proved he can hold his own in otherwise lame duck comedies like ""Valentine's Day.""<br/><br/>But between the bad direction, worse script, and lazy performances, ""No Strings Attached"" is a triple threat. Its worst blunder is that Emma and Adam's relationship is unbelievable, and their chemistry is nonexistent. Fledgling screenwriter Elizabeth Meriwether posits a female lead that flip-flops her stance on monogamy every two scenes, and Portman doesn't even attempt to sell it. Emma comes off pragmatic one minute and off her rocker the next. It makes less sense still given that her relationship with Adam isn't anything special to begin with. The B- romance between Greta Gerwig and Jake M. Johnson, friends of our principle couple, is actually markedly more naturalistic and compelling. It's a shame they're on screen so infrequently.<br/><br/>Meriwether's script is also criminally overlong. Two-hour comedies need to die a slow and painful death; there's just no reason ""No Strings Attached"" should exceed the 100-minute mark. What's worse, the audience has little expectation for when the film will end. More than once, a picturesque finale will align only for Emma to inexplicably get cold feet. Or Adam's father to take ill. The bait and tease might work if the better-late-than-never conclusion defied expectation, but in all likelihood you already know exactly how it will end. The biggest surprise is how much melodramatic filler we have to wade through on the way.<br/><br/>""No Strings Attached,"" like last year's mediocre ""Love and Other Drugs"" articulates the pressing need for innovation in Hollywood's romantic comedies. Depicting a relationship built on causal sex isn't especially progressive, and Ivan Reitman isn't one of the directors I'm especially interested in seeing discuss sexuality. Then again, he barely clears his throat on the subject; for a film about sex, ""No Strings Attached"" is pretty much sterile despite its R rating. Intellectually, the film is a solid PG-13. Our characters generally don't behave with the nuance expected of two 30-year-olds, and Meriwether relies on decrepit genre archetypes rather than cause and effect to progress the plot.<br/><br/>All told, Reitman's latest is unworthy of recommendation despite falling short of being an outright waste of time. It does feature a few genuinely funny moments that help excuse its crippling formula, but it never asserts itself or challenges the classic romantic comedy blueprint as much as its premise might indicate. Reitman deserves a kick in the pants every bit as much as the genre."
"secondtake","4","25","32","14 March 2013"," A weak, weak light comedy with a wasted Portman in the lead role
","No Strings Attached (2011)<br/><br/>You expect more than you're going to get here. There are two strong leads, Natalie Portman at her finest relaxed self (seeming) and Ashton Kutcher in a slightly amusing, self-deprecating mode that is a little dulling but fits his part. But there isn't the necessary conflict here to make their attraction take on fire. They drift together, they push apart, they find each other again, and so on, all mildly engaging and a bit sleepy.<br/><br/>And don't expect much from Kevin Kline, either, mostly because his part is small and a bit canned, a caricature dad with too much to prove. The rest of the cast is frankly just functional, and you start to look harder at why the movie fizzles with so much apparent talent, especially Portman. And the only real answer is the director, who is more a producer at heart, Ivan Reitman. You can't fault the success of some of his movies, but it's an uneven bunch, from ""Ghostbusters"" to ""Kindergarden Cop."" Something lacks energy and imagination here, and the writing stretched a bit. <br/><br/>Enjoyable? Somewhat. Be warned, it's not funny, romantic, or energized enough to quite make it on any score."
"ctomkin","3","63","92","22 January 2011"," A romantic comedy that is neither
","How about this for a unique movie premise: Boy and girl accidentally get reunited after several years, decide to skip all the work that goes into a relationship and settle for a strictly sexual one. They end up falling for each other, tempers flare, and break up. Moderately dramatic event occurs that brings them back together again. It may sound like the outline of every Matthew McConaughey film, and now it's also the recycled theme of No Strings Attached.<br/><br/>Adam (Ashton Kutcher) is some unspecified assistant on a television show, whose father (Kevin Kline, in what surely is one of his more forgettable roles) happens to be an extremely famous actor. He's also completely irresponsible and hedonistic, and somehow we're supposed to believe that he'd even bother to get a doctor's note so he could buy medical marijuana. Adam finds out that dad is now dating his bimbo ex-girlfriend. Distraught over this, Adam goes on a drinking binge that ends up reuniting him with Emma (Natalie Portman), a gifted doctor in residency in a teaching hospital. They end up in a strictly sexual relationship, and you'll figure out exactly how things are going to play out before the wacky sex location montage scene has finished. Emma is fine with this arrangement as she doesn't want to get too close to anyone. Adam wants more. The falling out is inevitable, as is the reunion (spoiler alert, everything works out just fine!).<br/><br/>This film follows the rom-com playbook to the letter. Emma of course has several roommates, one of which is the required effeminate overweight gay guy. Token black guy? That role is played by Ludicrous, the friend of Adam that shows up occasionally to give the standard bro ""you should be banging her"" advise. And of course the other women in Adam's life are either extremely socially awkward, or lesbians. Despite taking place in Los Angeles, you'd think it was more like a small town in Iowa the way everyone bumps into each other at the coffee shop or just walking down the street.<br/><br/>The jokes tend to fall flat, with the funniest scene involving Adam showing up at Emma's apartment with a menstruation mix CD (i.e. Sunday Bloody Sunday, other blood related songs) to entertain her and her fellow suffering roommates, one of who remarks that her underwear resembles a crime scene. I should point out that this film was directed by Ivan Reitman who also directed The Ghostbusters. What made him read this screenplay and decide that he must make this film? Every scene goes on just a little too long, and some of them don't make any sense. Example: when Adam gestures to Lucy, the awkward assistant director of the show he works on to sit down, she looks at the chair and says ""oh look, a chair"", pauses and then sits down. What was the point of that? Ed Wood films had better editing that this. None of the characters are remotely likable and most are barely more than ugly stereotypes.<br/><br/>Unless you really need to hear some jokes about Ashton Kutcher's penis, pass on this one. This movie will be in the five dollar bin at Wal-Mart in six months. And at that price, you'd still be better off with a random McConaughey rom-com instead."
"illbebackreviews","1","11","13","22 January 2013"," GREAT SCOTT! What a crap movie
","I do not know why on Earth I ended up watching this pile of garbage or whatever it is, things were not easy. For 90 minutes, I was staring at a screen watching a movie that never made me laugh or enjoy anything about the story, whether its the characters or whether its the script.<br/><br/>The acting in the film is okay. I guess Natalie Portman was good in the movie although at times, she tries too hard to be who she was in Black Swan. Ashton Kutcher was alright in the movie. None of the acting took me by surprise so that was already not a good sign about the movie.<br/><br/>The characters in this movie are just so dull and so annoying. Ashton's character is a guy going after Emma for sex, not because he loves her, but for sex. Now that's just annoying. Emma is perhaps the only decent character in the movie but her emotions towards Kutcher's character continuously changes during the movie to the point its just irritating especially by the end, when she's all crying.<br/><br/>Now the biggest issue with the movie is that its being done over and over again. FOR HECK SAKES, there was another movie based on the same story in the SAME GODDMAN YEAR called 'Friends with Benefits' Remember that? What were these people thinking? It was also done by the romance classic 'When Harry met Sally' Now, I could accept the fact that the characters are dull and the story isn't interesting if the script was at least funny. This film tries too hard to be a funny movie. It really sucks.<br/><br/>For those people who've wanted to see this movie, DO NOT! IT SUCKS!"
"OompaLoompa8816","8","108","168","24 January 2011"," Cute!
","I gave this movie an 8/10 simply because it will keep you laughing the majority of the time. Sure the ending is predictable and a few of the background actors deliver lackluster performances but Natalie Portman and Ashton Kutcher fit very nicely together as the main characters, you could really tell they had fun working together.<br/><br/>I see a lot of other reviews criticizing Portman for ""stooping to this level"" and I'm not too sure why, maybe they didn't go see it in the right frame of mind...this movie is what it is, a romantic comedy about two friends who decide to take their relationship to the next level without having any of the commitments and ""duties"" of being an actual couple, that's what the trailers showed it as, that's what the actors described it as, nothing was a surprise...she did a cute, funny romantic comedy, it's not like she dove head first into the adult film industry.<br/><br/>Will this movie be nominated for awards, probably, will it win, probably not, but overall it was cute, it was funny, and I left the theater feeling like the $10 I paid for a ticket was well worth it."
"PanDemic","4","30","42","21 August 2011"," No soul
","Decent acting, sure. But the core, dialog and development offers very little to anyone older than 16.<br/><br/>The movie has one or two memorable moments. The rest was just bubble gum.<br/><br/>Given the outset, adding any delightful, surprising, thought provoking or interesting situations would be hard, but very possible. Though I obviously didn't watch this movie for depth, but when the brain is missing I do expect the heart to be compensated. This movie just simply failed to deliver.<br/><br/>If asked I wouldn't be able to pinpoint any particular reason to recommend this movie."
"vampyrecowboy","2","28","39","26 December 2011"," Boring and stupid and rude
","I gave it a 2.<br/><br/>This simply sucks for a movie.<br/><br/>It drags on far too long and the dialogue and characters are dull as beans.<br/><br/>Ashton sucks as a lead and the story doesn't help.<br/><br/>Totally unrealistic.<br/><br/>Totally uninteresting and a waste of my download on netflix.<br/><br/>I'm glad that this came as a monthly package in my bill and that I didn't have to actually pay for this.<br/><br/>How I long for real plots and stories that actually entertain."
"Sherazade","4","10","12","20 September 2011"," Maybe I've Seen Way Too Much of Natalie Portman Recently...
","I could barely get into the movie, let alone sit through it because I had a hard time buying Natalie Portman as the character she was playing. She's such an annoying over-achiever (and people rag on Kate Winslet for doing too much). Ashton Kutcher on his own was his usual self, not trying to out-act anyone or gun for an Oscar or anything. That coupled with the fact that this film seemed very similar to another terrible film I saw recently 'The Ugly Truth' starring Katherine Heigl and Gerald Butler. It's like we've run out of ideas and we're just coasting on the past ideas of others hoping something hits and works for the next set of coasters to come along and rehash our own copied ideas. The scary part is that this film was a hit people, so you can expect more like it coming to a theater near you sooner than you think. That said, I think Katherine Heigl should have played this role instead of Natalie Portman."
"coconutz2","1","16","21","8 January 2012"," I remember this movie when it was called Garden State.
","What's Ludicrous doing in this movie. I think maybe it's because this movie has to have that one token black guy who hangs around yuppies all day. What were the producers thinking. Ya, throw Luda in there. That'll make it believable. I have yet to see something where he shows at least a shred of acting ability. If you thought he was bad in this, you should have seen him host SNL. Plus I don't know what's up with Natalie Portman. She is actually an alright actor but she doesn't seem believable at all. I don't know about her breaking out a tennis racket on those bitches or what about the part where she's screaming or jumping on Ashton when she's upset at him. This chick just can't do comedy. She's safe doing dramas. I didn't laugh once at this film. SO PREDICTABLE. Even the one-liners. The lil wayne references, the whole ""this is your fault that I'm pregnant!"" The first girlfriend was too dumb to even be alive. I've noticed that there where a lot of F bombs in this movie. I think that's the new recipe. Throw some F bombs in there, it'll make the jokes a little more funny. This movie was crap. I'm just glad I didn't have to pay to see this since it's on Netflix."
"jonnyhavey","7","36","53","22 January 2011"," Strings of Awkward Romantic Comedy
","Natalie Portman comes out of award season on top with her numerous Best Actress Awards for her performance in ""Black Swan"" including the Critic's Choice Award, the Golden Globe Award and an Oscar in the near future. Now she takes on the romantic comedy genre for the first time since her 2004 hit ""Garden State"". Her costar Ashton Kutcher on the other hand is no stranger to the romantic comedy genre with most of his recent films falling into this genre (""Killers"", ""Valentine's Day"", and ""What Happens In Vegas""). Together they create comedy through the awkwardly realistic chemistry between their characters Emma and Adam. Their quirky relationship begins when they are both sexually frustrated teenagers at summer camp. This leads them to becoming acquaintances throughout the early years of their relationship until they are thrown into each other's lives for the last time. Emma is a successful doctor who works eighty hours a week and is not looking for a relationship, while Adam is an aspired writer looking for a break working at a ""gleeish"" television show. Their latest encounter leads the two into a sexual dilemma as they make a pact to enter into a relationship with ""No Strings Attaches"" in other words no commitment, just sex. However, eventually the strings have to be attached.<br/><br/>The best part of the film is the surprisingly accurate and realistic interactions that Emma and Adam together. They are definitely not faking it as they recreate relationship situations by acting weird around each other, which is exactly what you do when you are in a relationship. Their supporting cast was also very important to the entertainment of the film and the theme of differentiation between relationships. The most notable character being Kevin Klines portrayal of Adam's father Alvin as he dates his own son's ex-girlfriends. The film is all about comedy aspect of all of these relationships and leaves out drama for the most part without totally forgetting about it. This does not change the fact that the film has a very touching ending no matter how cliché it is.<br/><br/>If it wasn't for the great casting of Portman and Kutcher at the center of the film creating superb chemistry all would be lost among ever other rom-com. This is because the film isn't original at all. It is just a basic Hollywoodized picture perfect romantic comedy, but sometimes a movie just barely lucks out when a couple stars are able to salvage the overdone cliché storyline. <br/><br/>Many may say that the film is too similar to the recent release of ""Love and Other Drugs"" just a few months ago. However, no matter how similar the basic plot structure of these two films is, they are very different films. While ""Love and Other Drugs"" follows the purely sexual relationship of its two main characters in the same way that ""No Strings Attached"" does, it also delves into the realms of the genre of drama. On the other hand ""No Strings Attached"" avoids those depths and instead relies on the awkward comedy of romantic see it now bliss."
