"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","224","336","3 October 2015"," Finally yes Finally I have seen a good Action Film from 2015. Mad Max: Fury Road is the finest blockbuster of 2015!
","When I wrote this review 3 years ago I had no idea how many people hate this movie and they are preferring Mad Max 3 over this film. Claming Mad Max Beyond Thunderdome the third film is better film than this, really? Better than this? Listen folks it has no Mel Gibson so what? So what's your point? Gibson dropped out this film and he wasn't interested, it was in development for years, since in 2004 this movie was announced. George Miller did something different with this film and he got hate for it. I hate Mad Max Beyond Thunderdome to death! It is rated PG-13 family film and I wanted an action bloody rated R film not a boring stupid lame fu**** movie! I got an rated R bloody action film that I wanted in Mad Max: Fury Road. I was entertained and I enjoy it. <br/><br/>At least it wasn't so sick like was Beyond Thunderdome. Mad Max: Fury Road is my second favorite film in the franchise and this movie did it right and it correct that third film that it failed been an good action film. Like it or hate it, is your problem but in my opinion it is a good action violent movie and I love it to death I am an action junkie myself. Mad Max 2: The Road Warrior is my number 1 favorite film of all time. <br/><br/>I think Mad Max: Fury Road is George Miller's masterpiece. Finally, Finally after 30.years of fiasco Mad Max Beyond Thunderdome that completely destroyed the Mad Max Trilogy, George Miller finally come back and fix the mistake he did 30.years ago. Why wouldn't I love this film? This film is the best one in the series along side Mad Max 2: The Road Warrior at least for me it is the best film. It has action, high explosive and Tom Hardy been a real Mad Max unlike Mel Gibson was in Thunderdome. I am happy they made the 4th movie. Tom Hardy was a bad ass Mad Max. I didn't even noticed that we don't have Mel Gibson in here. Tom Hardy breaths life into Max Rockatansky and Charlize Theron is excellent and emotionally perfect as Furiosa. I love high speed and pursuit on a road which I seriously love this. The thing was more similar to Mad Max 2: The Road Warrior but much better, George Miller fix it, the film did not copy The Road Warrior the film has it is own story. All, the stunts and action sequences are SPECTACULAR. Immortan Joe was a fantastic villain in here he was really good. The film shows a real wasteland and the future which I am really happy about it. <br/><br/>NOTE: ""Don't waste your time if you have seen the original."" from a hater review my reply: Yes I will waste my time watching this awesome action flick! Yes I have seen the Original Film Mad Max with Mel Gibson so many times than you ever did! I love this film much more than Mad Max because sometimes the original is very boring and the film has so much Drama in it and less Action than it is in Fury Road. I wanted to have an apocalyptic action film like are Fury Road and The Road Warrior which this film fix it. Finally yes Finally I have seen a good Action Film from 2015 and It is finally the finest blockbuster of 2015! <br/><br/>Mad Max: Fury Road is a 2015 post-apocalyptic action film directed and produced by George Miller, and written by Miller, Brendan McCarthy and Nico Lathouris. The fourth installment in the Mad Max franchise, it is an Australian and American venture produced by Kennedy Miller Mitchell, RatPac-Dune Entertainment and Village Roadshow Pictures. The film is set in a future desert wasteland where gasoline and water are scarce commodities.<br/><br/>10/10 Awesome film I have seen it twice. I love this film to death I love it! Fury Road would be the second favorite best film in the franchise."
"isaacsuttle","10","218","329","14 May 2015"," An Action Masterpiece. Ridiculous In All The Right Ways. (9.5/10)
","George Miller returns to live-action filmmaking with one of the greatest action films ever put to screen. 'Mad Max: Fury Road' is ridiculous in all the right ways.<br/><br/>For those who have seen the original films and loved them, you'll fall in love all over again with this film. Tom Hardy takes the reigns this time around as Max - a man of few words who has been hardened by the world in which he lives. Along with him is Charlize Theron as Imperator Furiosa - a woman who seeks redemption by helping five young '""wives"" escape from the film's antagonist.<br/><br/>Leading up to the film's release, many speculated if this would be just another action film that lacks a solid narrative and motive, but I am happy to say that this is simply not the case. Yes, the film does fill 80% of its run-time with action sequences, but it never gets in the way of the humanity between these characters that Miller has brought to life. There are some emotional moments. Specifically, with Theron's character. Is the story something we haven't seen before? Not at all. But in a film loaded with action, it's nice to see a solid narrative.<br/><br/>Now, how about those action sequences? Incredible - exhilarating - jaw-dropping. George Miller has put together some of the greatest, most memorable action set-pieces ever. One thing that sets the action in this film apart from a good majority of mediocre action films today is that every action the character's make have an affect on them. For good and for bad. The action is not pointless. It's motivated. And it's glorious to behold thanks to the use of practical effects, incredible stunt work and stunning cinematography.<br/><br/>'Mad Max: Fury Road' has set a new standard for action films. It's arguably the greatest action film of the 21st century. It's that good. George Miller has brought back what we loved about 80's action films while also brining new ideas to the table. It's the best time I've had in a theater in a long time, and I couldn't help but laugh in appreciation of the ridiculousness that was unfolding before my eyes. The film left me feeling giddy, with a big smile on my face."
"MR_Heraclius","10","54","78","23 February 2020"," One of the greatest action films
","George Miller elevates action and violence to a true art form in this remake of a classic. The film is a gripping full adrenaline race across the desert of a post-apocalyptic future. The action sequences are mesmerizing and the work of a true master craftsman in action. What is perhaps the most enthralling part of the film is the absolutely absurd story and world building. Miller created a fantasy world where men playing flame throwing guitars and leaping through high speed chases on pull-vaults seems like a typical milk run. The movie keeps a relentless action pace that makes all of the absurdity seem so completely ordinary, which might be the real magic of this movie. This is only really possible because the action, filmography, set choices and music are so brilliant you cannot help but believe the insanity that plays out before you. You want to believe the fiction because of the quality of the production. The movie also features some surprisingly good performances. Charlize Theron being the real the star of the film, with the titular character really only acting as her support."
"confrank","10","260","435","16 May 2015"," Mad Max Fury Road: A statement to embarrass and destroy all other movies in the action genre
","Mad Max: Fury Road, starring Tom Hardy and Charlize Theron, is George Miller's attempt to reignite his long dormant Mad Max franchise...and my god does he ever. For the past decade or so, with exceptions such as John Wick, The Bourne Trilogy, and The Raid, action movies seem to be struggling to capture the excitement and enjoyment the genre once held; a tenacity that classics from the 80's and 90's had in spades. George Miller single handedly delivers our saving grace with Fury Road on the back of a spike covered oil rig with a blind zombie playing a fire breathing electric guitar.<br/><br/>Max is a man of few words, but Tom Hardy's talent for portraying strong, silent characters shines through in a gruff but sympathetic performance. He teams up with Charlize Theron's Imperator Furiosa to save the last 5 hot women in the world from the leader of a powerful cult with a terrifying breathing mask inspired by the Cheshire Cat from Alice in Wonderland. From there, the chase is on. <br/><br/>Using this simple plot as the setting, we are able to bear witness to one of the most beautifully shot films in years. The world of Mad Max looks absolutely gorgeous, combining awe-inspiring practical effects and landscapes with bold colours brimming from all edges of the frame. These are of course just bonuses in enhancing the primary reason people will love this film, the action itself. I'm happy to report these action sequences are damn near flawless. No shaky cam, barely a hint of CGI, and scenes where we actually feel like our characters are in danger (yes Furious 7 I'm calling you out). Total chaos relentlessly ensues for the majority of the film, but it's chaos you can follow clearly and marvel at. Whether it's one of the explosive car sequences, or one of the smaller emotional moments, Mad Max: Fury Road refuses to let up on tension for one second.<br/><br/>There's a reason this movie is sitting at 98% on Rotten Tomatoes. This is an action movie that will set a precedent for years to come, roaring ferociously at all who may challenge it. Hopefully, this is only the beginning of a genre revolution early in the making.<br/><br/>FINAL VERDICT: Mad Max: Fury Road is a beautifully chaotic display of masterfully executed action sequences with a strong emotional core, and a raw energy unmatched by nearly all of its action genre competition."
"CalRhys","Null","331","567","25 May 2015"," Oh, What A Day! What A Lovely Day!
","An action essential through and through, it's plain and simple! Since the days of 'Die Hard' and 'Terminator', the action genre has turned into a repetitive, over-the-top array of films trying too hard to create entertaining sequences that instead look too cheesy due to bad composition or an overuse of CGI, of course along the way we have had some fine exceptions in the style of 'Casino Royale' and 'The Dark Knight', but certain directors *cough* Michael Bay... don't seem to be able to use their knowledge of an action sequence to its full potential and instead have constant fiery explosions and over-the-top shaky camera-work among other things... oh but then there's 'Mad Max: Fury Road', talk about epic action pieces. It has been 30 years since the release of 'Beyond Thunderdome' back in 1985, and George Miller decided to return to the directorial chair for a Mad Max reboot, and my God, he truly is a mastermind of action. After creating the epic scale of an action film in the form of 'Mad Max: The Road Warrior' it was going to be hard to live up to the previous films in the franchise, but Miller didn't just do that, he excelled at it and instead beat his previous films. With Tom Hardy as the new face of Max and Namibia as the new backdrop for post- apocalyptic Australia, 'Fury Road' is an exhilarating action fest that goes beyond its boundaries in creating what might just be one of the greatest action films ever made. Hearing that nearly 90% of the stunts and effects were practical literally blew me away, the sequences are extravagant and complex with frequent fireballs and car crashes filling the screen. George Miller's 2015 vigorous tale blends emotion and brutality with drama and action to reignite Australia's greatest film franchise and create the epitome of the action genre."
"jethrotroll-30807","4","885","1630","29 May 2015"," Superficial action movie that lacks depth
","I'm not completely sure what I was expecting from Fury Road, but it was more than this. This is the latest example of Hollywood rehashing a successful and good movie franchise solely for profit. It's mindless, repetitive action sequences melded between horrible acting and overused clichés.<br/><br/>One of the allures of this series is seeing the outlandish road vehicles that are used, and in this the movie mostly delivers. You have the high-powered Warrior Rig driven by Furiosa. There's battle vehicles equipped with spikes, rigs with counter-balanced poles for launching warriors into other vehicles, and there's even a vehicle equipped with large bass drums and a stack of speakers that would make KISS jealous with a psychotic guitarist wailing away for our musical enjoyment. And of course, each vehicle comes equipped with more explosive arsenal than a battle ship. And it's put to good use.<br/><br/>However, once you get past the eye candy, you realize there's nothing else to it. The story is weak. The characters are weaker. And the acting is the worst. The movie never drew me in. Not even close. Whenever the movie 'tried' to add depth and be dramatic, it was painful and embarrassing to watch. The scene where Furiosa reacts to finding out her birth home is gone by taking off her prosthetic arm and dropping down to her knees may be the worst movie scene I've ever watched. And it says something when the most interesting character is Nux, a relentless slave/warrior who actually has a mind of his own and decides to help Max and Furiosa in their quest. Of course, one of Immortan Joe's wives falls for him, representing one of the many poorly executed clichés this movie is riddled with.<br/><br/>I can watch a superficial action movie and enjoy it for what it is, to a point. This one, however, is just generally so poorly executed that it leaves a lot to be desired. I didn't hate it, but I have absolutely no desire to see it again."
"Ma_MaMia","1","1264","2364","3 June 2015"," This is what passes for a great movie nowadays?
","It's hard to believe that the same talented director who made the influential cult action classic The Road Warrior had anything to do with this disaster.<br/><br/>Road Warrior was raw, gritty, violent and uncompromising, and this movie is the exact opposite. It's like Road Warrior for kids who need constant action in their movies.<br/><br/>This is the movie. The good guys get into a fight with the bad guys, outrun them, they break down in their vehicle and fix it. Rinse and repeat. The second half of the movie is the first half again just done faster.<br/><br/>The Road Warrior may have been a simple premise but it made you feel something, even with it's opening narration before any action was even shown. And the supporting characters were given just enough time for each of them to be likable or relatable.<br/><br/>In this movie there is absolutely nothing and no one to care about. We're supposed to care about the characters because... well we should. George Miller just wants us to, and in one of the most cringe worthy moments Charlize Theron's character breaks down while dramatic music plays to try desperately to make us care.<br/><br/>Tom Hardy is pathetic as Max. One of the dullest leading men I've seen in a long time. There's not one single moment throughout the entire movie where he comes anywhere near reaching the same level of charisma Mel Gibson did in the role. Gibson made more of an impression just eating a tin of dog food. I'm still confused as to what accent Hardy was even trying to do.<br/><br/>I was amazed that Max has now become a cartoon character as well. Gibson's Max was a semi-realistic tough guy who hurt, bled, and nearly died several times. Now he survives car crashes and tornadoes with ease? <br/><br/>In the previous movies, fuel and guns and bullets were rare. Not anymore. It doesn't even seem Post-Apocalyptic. There's no sense of desperation anymore and everything is too glossy looking. And the main villain's super model looking wives with their perfect skin are about as convincing as apocalyptic survivors as Hardy's Australian accent is. They're so boring and one-dimensional, George Miller could have combined them all into one character and you wouldn't miss anyone.<br/><br/>Some of the green screen is very obvious and fake looking, and the CGI sandstorm is laughably bad. It wouldn't look out of place in a Pixar movie. In the previous movies, there was occasionally a sped up frame rate that gave a nice homage to the silent era. Now,Miller has gone full Looney Toons and sped up the majority of the action, making many of the real stunts redundant. They're too fast to fully enjoy. <br/><br/>There's no tension, no real struggle, or any real dirt and grit that Road Warrior had. Everything George Miller got right with that masterpiece he gets completely wrong here."
"tannerbrown-97210","10","138","240","15 May 2015"," Response to punishable by death''s review
","Yo punishable by death just letting you know that this movie was shot using 80% practical effects and that's a fact on this web page so you're completely wrong when you say that it's full of cgi. But anyway this movie is a real crazy ride. From the very beginning it takes you straight into the action and never lets go. This movie is so incredibly filmed and the stunts are performed marvelously. Although this movie is said to star Tom hardy and Charlize Theron, the real star here is George miller. This man created a masterpiece and it was so beautifully put together. He managed to show the chaos and urgency without the constant shaky camera crap that we see out of action movies now. This is the best pure action movie that I've ever seen."
"stephendaxter","10","903","1697","13 May 2015"," An absolutely insane action film that will blow you away
","Mad Max Fury Road is George Miller's return to the franchise he started way back in 1979 with Mad Max. I will start by saying this movie was absolutely batsh** insane. It was filled right to the brim with continuous over the top bloody ridiculous action sequences that keep you on the edge of the seat and just amazed at what Is happening on screen. Now this film doesn't have much of a plot at all but seriously you're not going into this film for an intense plot, this is a film that almost didn't even need one at all. The one thing I was worried about going in was whether I needed to have seen the previous films to understand this one and thankfully you don't, the story is independent of the previous film which was really helpful. <br/><br/>The characters were all awesome and it did an amazing job to introduce them all almost instantly and get right into the action. Max (Tom Hardy? and Furiosa (Charlize Theron) were were great and extremely likable characters. Even the villain who I will just call Sweet Tooth was so great, he wasn't anything too special but was a great threat throughout the film. <br/><br/>I just absolutely loved this movie, intense action from start to finish and didn't slow down at all, that made it ridiculously fun to watch. The great characters and the performances are awesome on screen and we're always interesting to watch. If there was ever a Twisted Metal movie, this is what it would be. Nothing really let the film down and everything really worked, such a great time and the best cinema experience this year so far. - 10"
"donaldthane","1","1019","1941","24 May 2015"," On Par for Modern Hollywood Remakes (Meaning it Stinks)
","First off, this is another movie in which the action sequences last so long that you can go to the bathroom, get a soda, come back and still find the same people fighting the same fights you saw begin 15 minutes earlier. Personally, these type of action movies bore me to tears, because the story has to stop moving every time we watch one of these extended action sequences. In terms of story, the good guys and the bad guys meeting is a plot point. Then they fight, then one of them wins. As an audience member, I'm ready to know who wins as soon as they start fighting. And I really need the lead characters to have some logical reasons for doing what they are doing. <br/><br/>Here's my spoiler: They drive away from someplace for half the movie and then decide to turn around and go back. The only thing that happened was that they picked up a gang of old ladies. That's as deep as it gets right there. They're running away, fighting the whole way, they get away and then they decide to go back, so they have to fight the whole way. Nothing makes much sense, no characters are anything but as shallow as they could have possibly been made. If you like Avatar, you'll like this movie. If you liked Mad Max and Road Warrior, you're going to be angry about how that franchise was exploited in name and setting only. <br/><br/>This character isn't Mad Max. He doesn't have a dog, he doesn't eat dog food, he doesn't eat anything. Nobody in the film ever eats anything. Nor are people clamoring for gasoline, they all just seem to have it. There's an issue with water, but it makes no sense and the entire weak plot seems to depend on it. The movie ends with giant water valves being opened just like the air valves on Mars get turned on in the end of that Governor Arnold movie, I can't remember the name. The reviews calling this something new and different are absolute hogwash. This is nothing but things blowing up and cars crashing for two hours, which, by the way, is another egregious offense of these silly movies. They take a 90 minute movie with a great story line, and they strip it of plot and somehow extend it by 30 minutes. It's a scary trend, the kind of thing that makes one think Idiocracy was prophetic. The less the story and the more things blow up, the higher the ratings. Ridiculous!"
