"username","rating","helpful","total","date","title","review"
"Loving_Silence","9","229","303","18 January 2011"," Amazingly directed, Greatly Scripted, and Impeccably acted. What more can you ask for in a movie?
","I am a big of David Fincher's work, when I realized he was going to make a film about the creation of Facebook, I was really excited. I came in the movie with huge expectations, and hopeful that it would turn out great. I have to say, I was impressed, my expectations were not only met, but they were blown away. The Social Network easily rivals Fincher's previous works like ""Fight Club"" or ""Se7en"".<br/><br/>Aesthetically the film is very beautiful, its very ""Fincher"". It has a very perversely attractive appeal, a glimmering awfulness, as it was lit from within. David Fincher deserves an Oscar for Best Director, he is extremely underrated by the Academy. Hopefully this film will finally bring Fincher in a new light.<br/><br/>The actors did an amazing job, they should all be recognized for their work in this movie. Jesse Eisenberg did an amazing job playing Mark Zuckerberg. Hopefully he will not be known as the next Michael Cera anymore. With this film, he established himself as a serious actor and he will have a bright future ahead of him. Andrew Garfield also did an amazing job as the co-founder of Facebook and the best friend of Zuckerberg. He deserves an Oscar nom and I hope we'll be seeing more of him in the future. The rest of the cast did a fine job and also hoping seeing them in the future.<br/><br/>I recommend this movie to everyone, it deals with betrayal and greed. The movie definitely deserves an Academy award for Best Picture. It is extremely revalent for our times and many years to come. I consider this movie is a fine piece of modern filmmaking and probably will be considered as a classic in the future. So if you're not doing anything tonight, you should spent an evening in theaters to watch The Social Network."
"mwatt89","9","55","73","20 January 2014"," The Power Of Great Direction
","So there I was, sitting in the cinema waiting to see 'Inception' greeting every belated trailer with a groan, each one prolonging the time till I could finally see one of the most anticipated movies of the year and there it was, I turned to one of my friends ""my god..a film about facebook?!.."" To say I was skeptical for those few moments would be an understatement, I was almost angry, like a footballer who releases an autobiography 5 years after he starts his career I just didn't understand the timing of it, who cares anyway?<br/><br/>""I think this is Finchers new movie actually""<br/><br/>""DAVID Fincher? He's made a film about facebook?!""<br/><br/>Almost immediately 'Social Network' became a movie that I needed to see. David Fincher is one of the true masters of delivering some of the greatest films of the past few decades. The gritty 'Se7en' and the intelligent 'Fight Club' had been two of my favourite movies growing up, the latter of which I had the privilege of studying in college quite in depth and although I missed 'Benjamin Button' (only god knows why it took me until 2013 to watch!) I had thoroughly enjoyed the enigmatic 'Zodiac' as well.<br/><br/>'Social Network' became my favourite Fincher title almost immediately. It is one of those rare works that feels so effortless in its brilliance which is due to the incredible work from both Fincher and Sorkin in creating this modern masterpiece, the way I see it the film relies heavily upon three aspects which are executed with perfection.<br/><br/>First of all, the score for this film is sensational. I've always been a huge fan of Trent Reznor & Nine Inch Nails but with his partnership with Atticus Ross and his ongoing collaborations with Fincher (also see 'Girl With The Dragon Tattoo') I can only see them becoming the most formidable artists in the industry, every minor note resonates perfectly throughout the film and creates a beautiful texture on top of an already excellent piece of work.<br/><br/>Secondly, Sorkin's razor sharp screenplay is something a director can only dream of receiving, the dialogue never falters and it is always witty, sincere and hilarious all in one (which can also be attributed to the performances of the actors involved)<br/><br/>But most of all, the atmosphere that Fincher is able to create visually is stunning, huge credit must also go to long time collaborator Jeff Cronenweth, together their formidable partnership and undoubted perfect understanding of each other's work is clearly the factor behind this film being one of the best movies of the past decade<br/><br/>Great performances from Eisenberg, Garfield and Timberlake also help this movie stand head and shoulders above most and as one of the most promising young actresses in the business, Rooney Mara is given her first chance to truly show her quality in a small role.<br/><br/>It's difficult to say where 'Social Network' will stand when we look back on Finchers body of work but one things for sure, if it isn't seen as one of his truly great masterpieces then he is sure to become one of, if not the most powerful director in the industry for years to come."
"Monotreme02","10","416","683","28 September 2010"," A timeless story of friendship, loyalty, greed and betrayal
","I just want to get this out there right away and put the cards on the table so to speak: When I first heard about it, I had very little faith in this project. I was stupefied, confused by the thought of what attracted all this talent to this seemingly trivial story to begin with? Why would David Fincher and Aaron Sorkin possibly be interested in the story of the founding of Facebook? Surely they could have found something more important, more meaningful to apply their efforts to. After seeing the film, though, I realized that, of course, Fincher and Sorkin knew what they were doing all along. And furthermore that labeling this as ""The Facebook movie"" is really an insult to what Sorkin and Fincher were trying to and have succeeded in achieving with this film.<br/><br/>First and foremost, I have to take a step back and admire this film as a technical achievement. Despite seeming to be a departure for Fincher in terms of content and subject matter – which it is and then again isn't – the film is very clearly and undeniably a Fincher film. Re-teaming with his Fight Club director of photography Jeff Cronenweth, Fincher manages to create and capture that really unique look all of his films have. The cinematography is absolutely gorgeous – once again, Fincher proves that he is probably getting the best results in digital photography out of any other director working in that medium, and this film, shot on the RED One camera, looks absolutely beautiful, from the framing to the camera movement to the lighting and on to the look and the feel of the depth of field the RED captures.<br/><br/>Sorkin's script is also an impeccable achievement and showcases, once again just what a genius this man really is. From a structural standpoint it employs a very effective use of a framing device – the Zuckerberg lawsuit depositions, which introduce the various characters and lead into ""flashbacks"" of the events being discussed. It really lends the film a Rashomon air and intensifies the mystery behind the Zuckerberg character and what exactly transpired in the creation of this phenomenon, Facebook. Sorkin also demonstrates an acute awareness of character construction, and manages to create a loathsome protagonist we hate and are frustrated by but yet we still end up sympathizing with. Most of all, though, it's a showcase of Sorkin's impeccable writing style and knack for writing dialogue with a very unique sound and rhythm. I saw Fincher refer to it as ""Sorkinese"" in an interview, and this is a really good description – it is certainly very unique to Sorkin and the scripts he has written, and it is also certainly a completely unique language – one which normal people in our real world do not speak, but that just sounds great on screen. The rapid-fire, overlapping dialogue remains one of the highlights of the film for me, and the script is certainly a shoo-in for Oscar consideration.<br/><br/>The film is also a rare showcase of pure acting prowess, and features a very interesting and eclectic cast of young actors stepping out of their comfort zones and delivering some truly phenomenal work. The casting of the film is quite a departure for Fincher, who has enough clout to gather the biggest names working in the business. Instead, he opted to go for a cast of relative unknowns or up-and-comers, and really make stars out of them. First and foremost to be mentioned is Jesse Eisenberg, an actor I have personally been a fan of since The Squid and the Whale in 2005 and one whose work I have continued to enjoy since then. However, no matter how good he was in those previous films, none of his previous performances compare to his amazing achievement on this film. Stripping away his signature goofiness and neurosis, Eisenberg plays Zuckerberg as a cold, calculated and determined genius who knows what he wants, is very confident and forward-looking and will stop at nothing to get it. His counter in the film is Saverin, played brilliantly by Andrew Garfield, a name we will be hearing a lot more of of in the next few years: Saverin is a far more sympathetic character, more warm and inviting – these traits only increase the impact of the tragedy of Zuckerberg's betrayal of their friendship.<br/><br/>Many pundits and commentators have designated this to be the ""film that defines our generation"", and truly a ""product of its time"" in the most literal sense of the word. However, I'm not sure I like this designation, especially since once you watch the film, you very quickly realize that this isn't a story about the founding of Facebook; it's really a story of friendship, ambition and betrayal, a character study of this fascinating individual whose actions in the film happen to depict the invention of an online social networking site that gets out of hand and puts all of his relationships, especially that with his best friend and business partner, in jeopardy. All of the themes mentioned above are universal and can be applied to a number of fantastic films and works of fiction over the centuries, and that, I think, is the greatest achievement of the film."
"rogerdarlington","Null","115","187","20 October 2010"," It really shouldn't work
","This is a film which simply shouldn't work, but it does - magnificently. A story centred on a teenager who becomes the world's youngest billionaire, a web site that reaches a million users in two years, and a cast of real life characters with names like Zuckerberg and Winklevoss just shouldn't be possible. A convoluted tale of raw conflict on the origins of a new type of web site should not lend itself to an expensive movie as opposed to a television documentary. It succeeds because it is not about the technology but about creativity and conflict and about friendship and betrayal. It succeeds because of a magical combination of accomplished direction, scintillating dialogue and superb acting.<br/><br/>The direction comes from David Fincher who has had variable success, all the way from ""Alien 3"" to Se7en"", but here he is right on form with a flashy, but tightly structured, presentation that never fails to command your attention and interest. The all-important, sparkling script is courtesy of Aaron Sorkin who gave us ""The West Wing"" - the best television series ever - and yet apparently does not do social networking.<br/><br/>At the heart of the movie is a brilliant, Oscar-worthy performance from Jesse Eisenberg as the 19 year old Harvard student Mark Zuckerberg, the genius behind ""The Facebook"" (the social network), the unsympathetic anti-hero of the adventure, a borderline sociopath variously described by women characters as ""an asshole"" and someone ""just trying so hard to be"" one. Andrew Garfield is excellent as Zuckerberg's Harvard roommate and co-founder of the site Eduardo Savarin; thanks to the wonders of CGI, Arnie Hammer manages to be terrific as both the twins Cameron and Tyler Winklevoss; while singer Justin Timberlake is a revelation as the Napster founder Sean Parker. This is a testosterone-charged fable with room for women only in minor support roles - ironic in that getting girls was the impetus for the Facebook project.<br/><br/>The film opens in 2003 with a breathlessly wordy encounter and closes in 2009 with a poignantly wordless scene. In between, the story zips along at the frenetic pace characterised by the business itself. Adapted from Ben Mezrich's book ""The Accidental Millionaires"", the framework for the fascinating narrative is not one but two courtroom dramas or, to be more accurate, pre-trial hearings (both resulted in out-of-court settlements which tells you a lot). Clearly you shouldn't judge a book by its cover."
"roastmary-1","7","392","675","4 December 2010"," An Acceptable Form Of Horror
","Maybe I'm too old. No, not maybe, I am. I saw this characters as aliens of sorts. I know they represent today's landscape, brrrrr. The film as a film is one of the best of David Fincher but the universe it explores gave the chills. A world approaching its end, fast. The youth of the characters made it even more sinister. I couldn't detect their soul or any evidence of its existence. In a way they represent the worst of the previous generations. Roman Emperors or Wall Street. Profit is the name of the game and the ideas come out of boredom of longings to get laid. Love and friendship, loyalty and/or honor as obsolete as good manners. Jesse Eisenberg is chillingly perfect as the humanoid that started it all - or did he? - Justin Timberlake keeps surprising me. Good, very good and Andrew Garfield, the most recognizable of the characters is a victim of sorts and he'll be destroyed no matter how much money he gets. How I wish this was merely a science-fiction film."
"sug2763","Null","202","342","24 September 2010"," Excellent dialog. Superb directing job by Fincher.
","I went into this film with little or no hope. By the time the movie was over, with the Beatles' ""Baby, You're A Rich Man"" playing over the end credits, I had a huge smile on my face. I literally cannot wait to watch this again during it's wide release. <br/><br/>The lighting and camera work here is beautiful, every scene and sequence is a joy to watch. If Fincher hasn't already proved himself time and time again with his great films, this one might be the one to seal the deal for him. One sequence in the middle of the film features a boring rowboat race. Fincher sets up the photography so beautifully, that it feels like you're watching a painting come to life.<br/><br/>All the performances are excellent. Jesse Eisenberg plays Mark Zuckerberg as a fast-paced, nerdy, kind of jerk-ish attitude, and Andrew Garfield is his best friend, Eduardo, who at the beginning didn't mean much to me, but I found myself rooting for him by the end. Justin Timberlake is easily the weakest one of the three, but he still does a decent job.<br/><br/>And oh, man the soundtrack. Trent Reznor deserves some kind of recognition for this. It is amazing. A lot of people say the movie sounds boring. They cite ""The invention of facebook"" as an uninteresting topic. I say don't believe that talk, and check out this interesting, funny, thrill ride by Fincher and co."
"KennethWasHere","Null","133","229","11 October 2010"," Just as Fincher gave us the definitive Generation X film with ""Fight Club"", he and Aaron Sorkin give us a definitive Generation Y film...
","...and that's ""The Social Network"".<br/><br/>It joins the ranks of his best, and just like many of his his previous works, has been reviled before it was properly understood.<br/><br/>For months before it came out, it was the laughing stock of people who were off-put by the idea of a ""movie about Facebook"" (even though it's easy to look and see that it's about the founding of Facebook and the people behind it), just like ""Fight Club"" is dismissed as a violent film about people fighting, or that ""Se7en"" is just a serial killer movie.<br/><br/>Not to get sidetracked, though.<br/><br/>""The Social Network"" is filmmaking and storytelling of a high order, that shows the grand irony of a socially inept Harvard student named Mark Zuckerberg who ended up creating one of the largest social phenomena of the twenty-first century (and love Facebook or hate it, it most certainly is that). The story works as an engaging, fascinating character study; at the beginning of the story, Mark is a socially maladjusted reject, and even after several million 'friends' and a few billion dollars later, he remains pretty much the same.<br/><br/>The outstanding acting, style and direction, as well as the great script armed to the teeth with sharp dialogue is what people are likely to miss by dismissing it as a mere 'Facebook movie'.<br/><br/>Even if it were just a ""movie about Facebook"", why is such subject matter off-limits? Things that have become a large part of our culture shouldn't be reflected in our art? Or, is it because of that? That technology is such a scary thing and needs to be dismissed? The indisputable fact is that everything that's going on with social networking and the world of the Internet is incorporated into the ideas of a certain corner of history, this one, which will be remembered as such, and ""The Social Network"" may very well be remembered as a film to define that era.<br/><br/>So please, this is one of the films to see this year. Don't get hung up on the idea that it's just a silly ""Facebook movie"", or else you'll be missing out on an excellent picture."
"kindigth","Null","121","211","1 October 2010"," The Social Network
","Let's start with the script. It's great. Written by soon-to-be-best- adapted-screenplay-nominee/winner Aaron Sorkin, The Social Network's writing is intelligent and demanding on multiple levels: most obviously, the story is cleverly structured across dual lawsuits, but there's an equal amount of sophistication to Sorkin's character work--Zuckerberg is never quite capable of maintaining a dialog, Eduardo always stops just short of explicating his emotions. <br/><br/>Those two characters are wonderfully played by inevitable acting award nominees Jesse Eisenberg and Andrew Garfield--Eisenberg owns the brisk pace of the film while Garfield brings most of the humanity--who anchor a terrific ensemble--SAG best ensemble, perhaps? The film's score is a perfectly atmospheric concoction of electronica from edgy dark horse best original score nominees Trent Reznor and Atticus Ross, and it's all united under the name and vision of David Fincher, who did not win an Oscar for Fight Club or Zodiac or Benjamin Button.<br/><br/>All of this is to say two things: this is a really great movie from a phenomenal creative team, and also there are times when the film feels somewhat calculated for accolades--never in the repugnantly safe, crowd- pleasing, middle-brow Benjamin Button sense, but in the sweetly transparent sense of a kid who did all his chores and is suggesting that he might deserve a cookie. <br/><br/>You know what? Give David Fincher a cookie. The Social Network is thoroughly intelligent and engaging as a modern biopic and as an examination of evolving cultural currency, and it's also one of my favorite films this year. -TK 10/1/10"
"Stevendcravens","10","208","378","20 September 2010"," Fincher's best since Fight Club
","I have been a fan of David Fincher ever since I saw Se7en when I was 13. I saw all of his films the following week and not one of them disappointed me. That was back in 2003. I loved Zodiac and The Curious Case of Benjamin Button as well, but he really knocked it out of the park with this one. I was fortunate enough to see The Social Network at a screening on 9/16/10 for my college. Eisenberg, Hammer and Sorkin were there and did a Q and A after the film. It was a GREAT experience. All of them seemed excited about the film and rightfully so. The film brilliantly tells the story of college students who go through hell with each other over the credit for Facebook and the damage that comes to all of them because of it. The acting and dialogue were flawless. Eisenberg, Garfield and even Timberlake churn out performances that should get them serious attention come award time. Fincher's direction is also perfect. you can always tell a Fincher film when you see it because his visual style is so striking and The Social Network is no exception. When this is released, please go see it and watch a film that defines a generation and what the world has become."
"tedg","Null","34","54","15 October 2010"," Ungodly
","David Fincher is competent, clean. The writer here does simple, clean, dialog-laden plots for TeeVee.<br/><br/>They decided to go for an economical story, something that we can walk into with all sorts of questions about the world and how it is changing and come out believing we understand it.<br/><br/>The facts are intimidating. Soon, Facebook will have a billion users. It is already the most visited site in history. As an entity, it already is on par with the the top tier tech companies: Apple and Google. But far beyond that, far, far more significant is the way that the world is changing. Until now, friendship was absolutely anchored in physical proximity. All media allowed that to be extended, but only if it were well established by actually being together.<br/><br/>Now, this notion is being replaced by an entire generation. The compact is no longer on mutual support and emotional needs, but simply being paid attention to. Life is flattened while the numbers get larger. Shared abstract thinking is reduced to whether something is ""liked"" or not. Political movements exploit this and we are getting into trouble faster than we can imagine. So we enter a theater with a film about this phenomenon with dire worries. Social networking is the successor to TeeVee as the next possible disaster in the social experiment.<br/><br/>The filmmaker and writer decided to make a movie about this simplification of the social fabric by taking a story that is necessarily rich and human, and reduce it to a cartoon. We liked it not because the thing is well crafted, though it is. We embrace it because it explains things. In fact, it simplifies things so much that we can feel superior in knowing that we would have made a (slightly) more rich version.<br/><br/>The story presented here is no secret: emotionally weak geek type, Jew, Harvard undergrad has trouble making friends. Each of these three stereotypes is exploited shamelessly in the service of an unambiguous narrative. This guy will do anything to make friends and elevate his social standing. But the only thing he can do is program, so he finds what he needs in a website he creates. There is a clear calculus of sacrificing real friends for virtual standing. It is not something he can do because he understands people; it is something he has to do because he doesn't.<br/><br/>Turns out is what others need is similar so the thing takes off. Advisors, investors and lawyers surround the thing. Simple. Our hero ends up alone. The story marginalizes women as a necessity, deliberately allowing us to see them as Zuck does. More stereotypes.<br/><br/>But what has been done here is a type of narrative fold. The subject is the flattening of the human relationship to the trivial. The movie itself is the similar flattening of the story to the trivial. It is what it shows and implicitly criticizes. We walk out ""understanding,"" in that way we do after a political rally before we actually start thinking and seeing real people.<br/><br/>In the real world, what is interesting is not what happened with a girlfriend or some jock twins. What matters is the way that connection is changing, the way we form associations and indeed what an association means and what value it gives. This is not a fad. Facebook and Twitter may fade but something profound has started, perhaps changing the very nature of what it means to invest in societies. We likely are not yet past a tipping point in government and family units, but it is likely that we are well past the tipping point in narratives. We may never get richness back as a basic value. It will be relegated to a few who form a social network.<br/><br/>It is also interesting that Zukerberg, Dorsey, Canter, Mullenweg and Winer truly believe that what they are about amplifies life in all its dimensions. They believe they are doing good work. If this film is anything, it is evidence that the contrary is true.<br/><br/>And Zuck isn't cool enough to be an Emacs user any more, though he seems to have a genius in the opposite direction: finding the lowest common, scalable need.<br/><br/>(Written from the Starbucks two blocks from the original Facebook office.)<br/><br/>Ted's Evaluation -- 1 of 3: You can find something better to do with this part of your life."
