"username","rating","helpful","total","date","title","review"
"kristen87","10","281","371","6 November 2005"," brilliance took two decades to arrive
","before i start, i would like to say this. i can read, have read the book, and i read the title of the movie before watching, as should you all. quite disappointed in all the pompous idiots filled with prejudice about the movie.<br/><br/>I know that another version of the well-mined Jane Austen classic would need to be brilliant indeed. Such diverse and beautifully written characters and such a delightful plot, so deeply rooted in a profound understanding of human nature, are timelessly attractive to directors, actors and audiences alike. So give them a break. you couldn't do any better.<br/><br/>Lets start with Mr Darcy. Darcys embodied by Olivier, Firth and now Matthew McFadyen bring differently significance to enjoy in the proud and socially awkward leading male role. Where Olivier and Firth gave us an aloof, arrogant Darcy encased rigidly in a shell so impenetrable it was almost impossible to believe he had been moved by Lizzie's sardonic criticisms or attracted by her spirited independence, McFadyen shows a more accessible Darcy. He's vulnerable, even fragile behind his stiff manners. His aloofness is more believably from social inadequacy than arrogance, yet he is believably constrained by his social standing to regard decorum, fortune and propriety in a wife's family as significant in his choice of a bride. His capitulation to Lizzie is therefore more believable.<br/><br/>Similarly Garson, Ehle and Keira Knightley illustrate the lively intelligence, sharp-minded wit and wry humour of Elizabeth Bennet in equally shining ways that nevertheless bring out different aspects of the character. Keira Knightly's performance as Elizabeth Bennett is by far her best, as she sparkles in this role.<br/><br/>The two have a chemistry that i had yet to see on the big or small screen - one that mirrors real life romances. the dislike on both accounts is obvious, watching it grow to love was beautiful and stunning. the love story is heart-felt and sweetly, deeply affecting to a level that modern romantic comedies rarely achieve. I found this movie to be a a richly photographed, memorable ensemble production in which the romance is predominant over the drama but does not eclipse it. though my one disappointment - the ending?! of course i wanted to see them kiss, who didn't? but the shots of them arguing in the rain, and as they draw close with the sunlight shining between them was breathtaking.<br/><br/>Giving due significance to the rural environment which plays such an important part in the story, the cinematography captures wide frames of soft, misty fields, copses and winding country roads as an environment which underscores the gentle manners and passionately beating hearts beneath empire gowns and ruffled shirts. The surroundings both detract from the humans and function as appropriately natural settings for the dramas of human nature.<br/><br/>Keira Knightley's swan-like Elizabeth moves with energy and grace, hotly opinionated and profoundly moved by principles and prejudices, and magnetically drawn by the seeming arrogance, reticence and gallant behaviour, finally revealed, of Mr Darcy. For two centuries Elizabeth Bennet has been a heroine much admired for her self-contained independence within a culture more conditioned to female submissiveness. Knightley's portrayal is true to the original.<br/><br/>All in all, i must give this movie 5 stars, 10 out of 10, 100 % brilliance. The story itself, the characters, the actors, everything that was in the movie 'bewitched me body and soul'. i have never been more moved by a movie, especially not one where i found it to be as hilarious as it was moving."
"Peter-Adamson","9","365","502","4 October 2005"," Spirited Modern Interpretation of Austen's Classic Love Story
","A ""modernised"" version of Jane Austen's classic novel that should not be compared unfavourably with 1940 Hollywood Olivier / Garson version nor several BBC serials culminating in the most acclaimed TV series version from 1995 with Colin Firth & Jennifer Ehle-a personal favourite. <br/><br/>This 2005 film clocks in 127 minutes (UK / Europe)& 135 minutes (USA & Canada) -the extended version allowing audiences to share more of the timeless love story with the main characters -Elizabeth Bennet & Mr Darcy. <br/><br/>Director Joe Wright plus his screenwriters ( Oscar winner Emma Thompson contributed to the final screenplay) have chosen to emphasise Elizabeth Bennet / Mr Darcy plus Jane Bennet/ Mr Bingley story lines & reduce Mr Wickman, Charlotte & Mr Collins to supporting characters.<br/><br/>Austen's famous wit,satire & humour that forms the basis for her enduring appeal (Pride & Prejudice was finally published in 1813 & continues as an annual bestseller)is sidelined to open up this version as more emotional drama for modern audiences.<br/><br/>If you are open to a newer interpretation, can avoid comparisons to the nearly 5 hour 1995 TV version which allowed for greater depth & detail in telling all the characters story lines & accept some of the new film's rushed story lines-you are in for a treat .....<br/><br/>New British star Keira Knightley (Elizabeth Bennet))excels in her first real leading actress role ably supported by fellow Brit Rosamund Pike (Jane Bennet) as the sisters supportive of each other's & their Bennett family problems.Knightley at 20 is the right age for her character,this allows Elizabeth's girlish personality plus her character's pride, misjudgements & loving nature to shine through....<br/><br/>Great star turns from Brenda Blethyn as their mother Mrs Bennet plus Oscar winner Judi Dench as fearsome Lady De Bourgh (Mr Darcy's aunt)add depth to this film version.Claudie Blakley as Elizabeths's wise friend Charlotte Lucas & Simon Wood's amusing Mr Bingley are delightful supporting performers. <br/><br/>One major surprise is Canadian actor Donald Sutherland's touching performance as Mr Bennet -capturing both the humour of living in an all female household & five daughters to look after with the poignancy of seeing his eldest children's difficult relationships develop -easily his best acting performance in years. <br/><br/>In the difficult role of Mr Darcy rising British star Matthew Macfadyen (BBC's Spy series Spooks & Award winning New Zealand film ""In My Father's Den"" rises to the occasion.With the short running time, there is not enough time to allow Darcy's repressed & prejudiced personality to be fully represented -Macfadyen perfectly displays Darcy's social & class problems, his unfortunate attempts at gaining Eliabeth Bennet's interest & his painful adjustments to achieve their personal love story.Macfayden & Knightley's objectionable first dance,their embarrassingly moving Collins House meeting,the unexpected Pemberley encounter plus their two proposal scenes are highlights of this film. <br/><br/>Engaging acting performances with wondrous film photography,film locations at some of United Kingdom's most famous stately homes, marvellous film sets & costumes plus one of 2005's best original music scores add greatly to this new film version. <br/><br/>All in all one of the better films of 2005 -not perfect film making and not intended to be as subtle as Austen's novel -but a wonderful surprise with some changes to present a modern version of Pride & Prejudice for current audiences -do see this film as & when it is released worldwide....<br/><br/>And after seeing the film or re-visiting 1995 BBC TV series -read the original novel for its classic storyline, memorable characters & Austen's brilliant writing style,wit & humour.....<br/><br/>9 Out Of 10 for this different interpretation of an enduring classic"
"katiemeyer1979","10","405","564","17 November 2005"," Jane Austen for ever
","Jane Austen's tale of love and economics reaches us once more with the energy of a thorough novelty. ""Pride and Prejudice"" has been a favorite novel of mine since I first read it and I've seen Laurence Olivier and Greer Garson, Colin Firth and Jennifer Ehle and now Matthew MacFadyen and Kiera Knightly. Amazingly enough I've never been disappointed. The material seems to be full proof. Colin Firth's Darcy, in many ways, is the Darcy I've always imagined. He's been an actor I've followed feverishly since his glorious Adrian LeDuc in ""Apartment Zero"", Matthew MacFadyen was totally new to me but he managed to create that sense of longing that makes that final pay off so satisfying. Kiera Knightly is a ravishing revelation. I must confess, I didn't remotely imagined that she was capable of the powerful range she brilliantly shows here. The other big surprise is Joe Wright, the director, in his feature film debut which is more than promising, it's extraordinary. The photography, the art direction and the spectacular supporting cast, in particular Donald Sutherland and Brenda Blethyn, makes this new version of a perennial classic a memorable evening at the movies"
"shopper1952","10","475","689","11 November 2005"," Outstanding...MacFadyen is a worthy Darcy.
","Outstanding ... MacFadyen is a worthy Darcy and a darned good actor to boot! The scenery, backgrounds, and country folk were much more realistic than previous versions. The costumes and hairdos also seemed in keeping with the times. Another great addition is the priceless Donald Sutherland who, in a perfect world, would have had more scenes with Judy Densch. If those two can't chew up the scenery, nobody can. And, finally, Keira Knightly is a jewel. Her beauty is so apparent that it almost detracts from the fact that this is a very good actress who can hold her own in any room. This was a delight and I only wish that it could have been 6 hours long."
"mankindk","10","158","224","18 November 2005"," Acting is superb
","While I will say first off, that no movie production ever made will ever equal a novel, especially one of this magnitude, this movie is very well done. I read many reviews going either way, but I must say I enjoyed the film very much. Many are quick to criticize Mac's performance saying he didn't do a good job. I thought he was fine, but believe me he is no Colin. Keira Knightley was absolutely incredible in the film, I would go as far to say it is her breakout performance. Donald Sutherland was amazing, but as can be expected from him. Judi, like always is incredible at her role as Lady Catherine.<br/><br/>If you are a complete avid fan of the book as I am, you may or may not like it. My only complaint was that it was in fact short, but then again it is quite hard to make a 370+ page novel into a two hour movie easily. There is a phenomenal display of acting by the entire cast, and the score is perfect.<br/><br/>One warning though, the movie concentrates on the love story more than Austen's satire of society, so many Austen fans may be angry with that. But overall I thought it was a great film."
"Flagrant-Baronessa","10","170","247","4 August 2006"," A timeless adaptation of a timeless Jane Austen novel.
","The fantastic romantic world of Jane Austen again makes its way to the silver screen in Joe Wright's new adaptation of the classic novel Pride and Prejudice. It is the first feature film to be adapted from it in 65 years, and believe me when I say it does not disappoint. This adaptation is, for lack of a better word, a BRILLIANT achievement that keeps you actively involved from the first scene to the very last scene, just about consuming you with aching romance  and it is sprinkled with humour and intelligence.<br/><br/>Still taking place in the late 1700s and still interweaving its story with timeless emotion, pride, narrow-mindedness and love, Pride and Prejudice (2005) zooms in on the Bennet household in class-conscious, stuck-up England. In this household, we follow five spirited sisters under the idealism of their overbearing mother (a superbly neurotic Brenda Blethlyn providing for the comic relief) who desperately wants them all to marry and thereby secure the future of the family estate. But the standout sister and protagonist in the film, Lizzie (Keira Knightley) is clever enough to have other ideas, but alas too romantic to carry them out... *sigh*<br/><br/>When reviewing period films such as this one, one often focuses on the setting and costume design. I believe this is done because they are often better crafted than the actual story. But in Pride and Prejudice (2005), the stormy emotions of its charactersbottled up but bubbling to get outcompletely consume the entire film and places understated set designs in the backseat. Only when it was consciously put forward, like when Lizzie Bennet was admiring the beautiful architecture and Greek statues of Mr. Darcy's estate, did I ever notice the background  and it was, of course, extraordinary. A similar state displaying the dynamics of its central cast should be attributed to the grand dancing scene between Lizzie and Mr. Darcy  the two are so absorbing that when Wright purposely fades out the the rest of the dancing crowd, you do not notice a change. Your eyes are still solely Knightley and Macfadyen. It took me three viewings to realise this. <br/><br/>As for acting performances then, the unspeakably lovely Keira Knightley has finally done it. She has proved me wrong with a truly Oscar-worthy performance and she does it without crying, worrying, moping and sighing like the other nominees that year. Knightley is in fact all about sweet subtlety here, bringing a fantastic presence to her high-spirited character Lizzie. She is the type of character that every girl and woman in the world can identify with and with Knightley behind her to give her oomph, you will not find a more likable creature in films this year. MacFayden is completely satisfactory as Lizzie's love interest Mr. Darcy, but he is no Colin Firth  lacking in charm and is a bit too wooden. But no matter, because these two have the best on-screen chemistry I have ever seen. I'm not kidding, this was sensational. Such magnetism. It is highlighted from scene 1, playfully touching upon their sexual tension and gradually turning it into feverish love that sends chills down your spine.<br/><br/>Every last actor in the cast of Pride and Prejudice (2005) gets to shine in their characterfrom Dame Judi Dench as a cold rich lady to Donald Sutherland as caring Mr Bennet, all except Jena Malone whose all too Valley-girl American attitude was distracting and annoyingly anachronistic. But it is Knightley who is in focus and who propels the film with her warm charisma. It is impossible not to fall in love with the main characters, and I say this as someone who avoids romance-themed films and who does not care for period films. <br/><br/>This is a truly timeless story and this film will hopefully be remembered, celebrated and praised for breathing life into it with such passion.<br/><br/>10/10 (which is a rare grade for me)"
"lillianna66","7","257","396","12 September 2005"," Romantic, funny, well-acted, well-scripted - give it a try!
","Having watched a slew of special effects-laden trailers before this film I was reassured to discover that in the brave new world of CGI cinema there is still a place for a satisfyingly romantic story, well-acted and thoughtfully scripted and directed. <br/><br/>Comparisons with the highly-regarded 1995 BBC series are inevitable, but whereas that production had the luxury of time to unfold its plot and characters at leisure, the creators of this film had the unenviable task of reducing Jane Austen's book to just two hours. Yes, Austen lovers will mourn the absence or alteration of favourite scenes. Yes, we do lose some sense of the developing and changing relationships between the main characters (two examples - Wickham appears in only two scenes of any significance and personally I would have liked more time to savour Lizzie and Darcy's rediscovery of one another at Pemberley). Yes, there is occasionally a feeling of entering or leaving a scene partway through (where do Lizzie's uncle and aunt think she has gone when she apparently sets off from Pemberley to walk to Lambton without a word to them?) On the whole though, I think director Joe Wright, and screenwriter Deborah Moggach, are successful in retaining the flavour, the vital essence of Austen's original. <br/><br/>The film also offers some new perspectives on very familiar characters. Tom Hollander in particular, gives Mr. Collins something approaching dignity in his determined but usually unsuccessful attempts to ingratiate himself with those more powerful than him, and he provides some of the funniest moments of the film  witness his attempts to gain Mr. Darcy's attention at the ball. Mrs. Bennet too, who we all remember Alison Steadman playing with an enthusiasm approaching pantomime, is more sympathetic in the hands of Brenda Blethyn because we understand more clearly the reasons behind her desperation to marry her daughters off. Mr. Bingley though teeters a fine line between nervous hesitancy and simple-minded idiocy which made me question why Jane Bennet would ever consider marrying him. And who on earth thought of giving him Cameron Diaz's infamous ""There's Something About Mary"" hairdo? <br/><br/>Reviews for Matthew MacFadyen seem to have been mixed so far, the inevitable 'Firth Factor' at least part of the reason. Personally I think he has a sexy, brooding presence to equal Firth's and (dare I say it) his Darcy has a little more charm and humanity when he does let his guard down. The scene where he bursts in upon Lizzie at the Collins' parsonage, all glove-twisting nervousness and incoherent attempts at small talk, captures perfectly the bewilderment of a man trained since childhood not to express his feelings, and made vulnerable for the first time by the conflicting emotions Lizzie has stirred in him.<br/><br/>I do think his Darcy is oddly lacking in 'pride' though, his taciturnity attributed to having so many expectations to live up to that he never dares let down the facade of 'Mr. Darcy of Pemberley'. Nor do we get any sense, as in the book, that Lizzie's free-spirited influence alters his attitude or behaviour towards others, the explanation the audience is left with being that really he was a nice guy all along, just misunderstood.<br/><br/>Keira Knightley's Lizzie brings nothing really new to the part, but whilst too stunningly beautiful to be the girl dismissed by Darcy as 'only tolerable', she has an abundance of the playfulness and charm which quickly captivates him. She is also a good enough actress to show Lizzie's own growing confusion and then loss as she realises how she has misread her own feelings. <br/><br/>The chemistry between the two leads works well, their dance at Netherfield a key moment as their verbal sparring gives way to a growing physical awareness which neither of them is ready to admit. Other little incidents such as the touch of hands as Darcy helps Lizzie into her carriage keep the romance heating up, and it almost reaches boiling point in the first proposal scene. It does fizzle away disappointingly though in their final reconciliation, which promises much at the start with a heady mix of very slightly disarrayed nightwear, rolling thunder and smouldering gazes across a misty meadow, but, whilst tenderly played, it ends up being a little too coy for the 21st century. Come on Joe Wright, give us a kiss in the DVD version please!"
"evebay39","2","343","543","24 October 2005"," Minor errors? But Pride was constipation, they forgot Prejudice. And Austen come to that.
","Well Wright may have made a gritty depiction of life around 1800 - as he so repeatedly and anally goes on about because of when it was written as opposed to published - but it is HIS not Austen's and shouldn't claim to be an adaptation.<br/><br/>Mrs Bennett looks like a rural washerwoman. This is a pampered woman - they have servants (remember the book scene with the servant dressing the hair, etc)? But Wright portrays her with rough reddened skin all down her chest, rough hands and working in the kitchen. And the pigs wandering through! If he wants bucolic, he should try Tess.<br/><br/>Mr Bennett - the script makes too cuddly and modern and ignored the weakness in him. The scene where he stops Mary playing is supposed to make you cringe - not pass in seconds. If it doesn't - don't include it.<br/><br/>MacFadyen is very weak in the part and seems to be doing some kind of Pride by numbers acting. The first proposal he looks like a nervous schoolboy rather than a man overcoming his pride to make a proposal beneath his station. Most of his lines, he could as well be reading a shopping list.<br/><br/>Lydia is awful. Completely over the top with excessive shrieking and skipping. Indeed, Knightley plays Elizabeth more like the giggling inane character Lydia actually is in the book, at times.<br/><br/>And Elizabeth. Half the time Knightley is, clearly, mimicking Ehle's voice and intonation - close your eyes to see what a copy it is. And in her role you see Wright's major error - there is NO PREJUDICE.<br/><br/>From the first encounter with Darcy she clearly fancies him. When he comments to Bingley on the attractiveness of the women in the hall she initially looks hurt - not shocked and affronted. The latter should set up the prejudice side of things. And when she and 'caroline' are prancing round the room she comes across like a tease, obviously all over him. And by virtually cutting out Wickham you don't get Elizabeth invested enough there to set up the prejudicial aspects falling out of that relationship.<br/><br/>And apparently it is Caroline not Miss Bingley. And Mr Bingley happily wanders into Jane's bedroom. And and and - Wright can boast about how great he is with period all he wants. But a few panorama shots of rural life (which show the preference for Hardy) don't excuse him the glaring blunders all over the place.<br/><br/>The cinematographer - who clearly wants awards - should have been reined in. He veered between Bronte and Hardy throughout the film - and wasn't the last proposal shots/lighting from Tess? The need to see Darcy walk along through the 'scape with unkempt shirt was just dumb. But most importantly - when going between those 2 very different landscapes they forget the most important one - Austen. (She'd have laughed out loud at the Elizabeth = sad, therefore = rain, running through to picturesque folly, wet Darcy rubbish).<br/><br/>I admit I found it impossible the watch the film without using the book as context. I was prepared to give it some leeway as it had to provide the story in a short space of time. But to forget fully one half of the core of the book in prejudice and Darcy to continually look more constipated than prideful, made it almost unwatchable. I could only see it as a mess with generally poor performances (when Knightley wasn't aping Ehle she was gurning or skipping or both and only calmed down a couple of times to indicate she does have some promise - but faffing about on swings to convey emotion isn't a substitute for a poor script and poor direction) - although for some it was simply a case of bad script.<br/><br/>Tom Holland alone would escape censure. While he toned down the comic aspects of Collins, he did turn in a very interesting approach. Dench does superbly the schtick she can do in her sleep whether it be here or in Oscar Wilde - but this was supposed to be Lady Catherine De Bourgh NOT Lady Bracknell. She was just a little too sane.<br/><br/>The shortened length could have been handled by a competent screenwriter, surely? Not characters filling in story gaps and helping along the audience all over the place. Elizabeth couldn't have come up with the £10k figure. And while they wanted to cut time with her learning of Darcy's involvement in Wickhams marriage the lines didn't fit with Lydia. It was the worst case of incongruous exposition in the piece.<br/><br/>It really is appalling stuff. Anyone who reviews it saying it works well in the context of the book is someone I frankly don't believe has read or understood the characterisations in the thing. Wright seems to think his characters are in the 1990s not the 1709s from their behaviour. I'm not convinced he has read the book - he certainly doesn't understand it. He doesn't understand Austen's acerbic wit or lightness of touch - he certainly made a dull plodding film out of it.<br/><br/>What is possibly worse was the sad pathetic need of the chick lit lovers to need the 'I love you, I love yous' all over the place so they can sigh and get off on it. The fact that it has no place in a work by Austen is apparently irrelevant.<br/><br/>Anyone who reviews it as a film alone? Well, more difficult for me except I would note the poor acting, the weak Darcy, and the gurning skipping inane irritation of the whole thing. If you are going to adapt you can change a lot - but if it loses the spirit and key motivations, then don't insult the book by taking it's title."
"thingfive","10","201","319","12 November 2005"," Absolutely Perfect 2 Hour Adaptation!
","For years I have waited for a Pride and Prejudice that perfectly captured the wit, the intelligence, the passion and the romance of Jane Austen's classic. The 1995 mini is fabulous, and I have watched it many times, but I have always been frustrated that while it got so much of the dialogue and the detail right, it somehow fell flat on some of the more subtle dynamics of the novel.<br/><br/>Finally this movie adaption has captured what has before been missing! True, it took license regarding some of the verbiage and detail of the novel, but it ultimately completely captured the characters, their transformations, their strengths, their vulnerabilities and their passions. You simply cannot do a definitive work on Pride and Prejudice in two hours. And this film doesn't try. But what it does attempt--to capture the story and characters, it does beautifully. It is well acted, well directed and connects as the book connected. While it has to rush and skimp on scenes and characters, it is the most authentic and true to the spirit of the novel version that I have ever seen. You simply do not want it to end...<br/><br/>Well done!!!! It was about time!!!"
"mkazmierczak","1","477","783","11 November 2005"," Jane Austen is spinning in her grave.
","This film is one of the worst adaptations of Pride and Prejudice ever filmed and if Jane Austen were alive, she would demand that her name be removed from the film. Austen's novel is only superficially a story of the development of true love between Elizabeth Bennet and Fitzwilliam Darcy. It is also a commentary on the class structure of Regency Britain. This film focuses only on the love story, thereby disappointing viewers who hoped it would do justice to the novel.<br/><br/>There are numerous problems with the historical accuracy of the film. In the film, the dance at which Darcy snubs Elizabeth is not the refined dancing done by the gentry, to which the Bennet, Lucas, Bingley, and Darcy families belong, but is rather the dancing of the lower classes. The gentry would not have been dancing as if they were at a peasant barn dance. There are costume and hair problems, too. The custom of the period required married women to wear white cloth hats to cover their hair and for women to wear bonnets when outdoors. Women of the Regency period were not so liberated as to forego the bonnet requirements in public. The worst historical inaccuracy is the early morning meeting of Elizabeth (in her nightgown and coat) and Mr. Darcy (sans cravat and vest) at which they admit their love for each other. This is an unforgivable liberty with the novel. No respectable young woman or gentleman would venture out of doors in such a state of undress or seek to meet someone of the opposite sex at such an early hour. <br/><br/>But the worst thing of all with this film is the mangling of Austen's dialogue and the atrocious modern dialogue. Austen's dialogue needs no assistance from a writer who thinks he/she can write like Austen. The writer of the non-Austen dialogue not only lacks Austen's talent but also has no feel for Austen's style. The juxtaposition of the two styles is jarring.<br/><br/>As for the acting, the best is done by Judi Dench, who clearly understands the imperiousness of the aristocracy. Brenda Blethyn takes some liberties in making Mrs. Bennet less awful than Austen's portrayal. Her portrayal is interesting and seems to work. Donald Sutherland is miscast. His affected British accent is terrible and he portrays Mr. Bennet too much as a father of the 20th century and not a father of the late 18th century. Matthew MacFadeyn's portrayal of Darcy is flat. I can't imagine anyone falling in love with his Mr. Darcy. Keira Knightly is a pretty Elizabeth, but her portrayal of Elizabeth Bennet is far too modern. Knightly focuses on the Elizabeth's forthrightness, but her portrayal completely lacks an understanding of the social mores and conventions of the time. She would have done well to actually read the novel before attempting to portray Elizabeth and to do research on the behavior of women of the period.<br/><br/>If one is making a period movie, one must be true to the period. This film needed an historical adviser who actually knows something about the Regency period. It also needed a writer who has a better appreciation and understanding of Austen's text. I can only hope Emma Thompson decides to do a film of Pride and Prejudice in the near future to erase this abomination from our minds.<br/><br/>The best thing that can be said about this film is that it contains many pretty scenes of the English countryside. Chatsworth is well used as Pemberly (as it was in the 1995 BBC adaptation). But pretty scenery and pretty actors cannot save this film. True fans of Austen will rush home to watch their DVDs of the far superior 1995 BBC production with Jennifer Ehle and Colin Firth or to read Austen's text in order to wipe this version from their minds."
