"username","rating","helpful","total","date","title","review"
"roland-scialom","10","81","88","9 November 2009"," Grandeur and noblesse, when death is seen as a prolongation of life
","The human dimension of this film touched me. Some of these things touched me to tears. I list a few of them.<br/><br/>1. The job of the professionals who prepares the dead for their last contact with the family (wake) and their passage to eternity (cremation). In the film, the characters who perform this job, teach the spectator a true ritual of respect and affection with the dead. ""Respect and affection with the dead"": feelings that the modern life tries to banish from its practices. In the modern world, the dead are inconvenient and dispatched quickly in funerals where the majority of those who are present, entertain themselves with parallel talks, instead of focusing on the reason why they are there.<br/><br/>2. The nobility and grandeur of this job that, in the film, is not associated with any religion, and is directly associated with dealing with human beings. This nobility and grandeur reflects also on to the dead, in the sense that it reminds us that the dead deserve our respect and affection, because a new stage of our relationship with them is starting.<br/><br/>3.The way Daigo grows, as he learns this job, and overcomes (i)the social stigma that society imposes upon the contact with the dead and, also, the people who have contact with the dead, as well as (ii) his personal repulsion with repulsive material aspects of death (odors, rot, etc.)<br/><br/>4. The way Daigo grows, as he incorporates the nobility and grandeur of the job he was forced to do because of the circumstances (he was jobless because the orchestra where he played cello was dismissed). And, when his wife discovers in what consists his job, and tries to force him to quit, he has grown so much that he chooses to keep the job instead to yield to his wife menaces.<br/><br/>5. The way Daigo grows and which leads him back to play the cello and celebrate life more than ever, playing outdoors and playing at home as he used to do when he was a boy.<br/><br/>6. The way Daigo wife grows when she has the opportunity to look close to the job of her husband, and begins to admire him and love him more. Wife who have the opportunity to convince Daigo to take care of his dead father, when Daigo runs away when he gets aware of his father death. Wife, who, when the opportunity showed up, says with pride to the individuals of the funeral, that were almost doing a dirty job with the deceased Daigo father, ""my husband will take care of him, he is a professional""<br/><br/>7. The way Daigo grows when he encounter again the love for his father and forgive him for having abandoned the family, while he prepares his old man for the burial.<br/><br/>8. How death can be seen as part of life process, when it causes some people to become aware of how much love they missed, and how much they have been loved without being aware of it.<br/><br/>All this happens because Daigo goes back to his hometown, a small town. That is, the return to his origins helps to renew the ties with the traditions and helps the character to put himself together again.<br/><br/>I'm omitting many precious details that appear throughout the film. These details must be seen personally, because the film was made with great sensitivity and expertise, and deserves to be seen.<br/><br/>Roland."
"Gordon-11","Null","19","19","20 March 2010"," A very powerful film
","This film is about an unemployed man taking up a job as a person who prepares body before putting into the coffin.<br/><br/>""Departures"" is a beautiful film. It is about the last journey before a person is reduced to ashes, yet it never feels gloomy. In fact, it shows that all humans die one day, and it is how we view it and how those left behind cope with death that matters. Kobayashi treats the bodies with such enormous respect and dignity, which touches me a lot. ""Departures"" is a film to feel. It makes you think and feel about such a taboo topic which is not normally discussed. I commend the filmmakers for making ""Departures"". It's a must see."
"swang8688","10","41","44","24 February 2011"," Beautiful Movie- I disagree with reviews
","I have read many reviews on this movie and have been surprised by what I saw. I saw many reviews with comments such as this didn't deserve its Oscar win and that this movie was far from a masterpiece because it was too sentimental and exaggerated.One person proposed showing less scenes of him with the cello, speeding up the movie, and cutting out scenes with long stares. I disagree and believe that this movie is beautiful the way it is. This movie is not overbrimming with sentimentality; it has a good amount for such an emotional film. The scenes with the cello and the birds represent the passion and emotions he feel. We don't call Shakespeare's long poems sentimental so why do we call this work of Japanese art that? The more I heard the music I felt like the more I understood the movie. Western movies sometimes disregard time in movies allowing action to follow action. This movie was simply about the meaning of living knowing that we would die. The long, drawn out silences were necessary to convey emotions. If you have studied many Asian cultures, you know that they convey emotions not through words but through silence. The silences give us time to ponder and think about the questions raised, something we are often not given in bang bang action American films.As a musician, I feel like this whole movie is like song filled with much raw emotion."
"ethSin","10","106","120","19 March 2009"," The odd job
","""Okuribito"", literally ""The person who sees off"", is about a supposedly untalented cellist's new job. After returning to hometown as a failure in the music world, he applies for a job with vague description. It turns out to be a job posting for ""encoffiner"", a person who performs rites and rituals before placing the body into the coffin. A 'tainted' job in the eyes of the society, but he eventually develops pride and purpose in this profession.<br/><br/>The movie started with subtle humor that had me chuckling for first hour, but I was slowly drawn into the story. It turned out to be a very touching and deep film.<br/><br/>The acting in this film was superb. Motoki Tomohiro's performance was especially amazing, hilarious at times, and played the serious and professional scenes very convincingly. I also really liked his narration, which really sets the mood and tone of the following scenes. Yamazaki Tsutomu was also excellent as the protagonist's cool mentor. The film had incredibly nice flow and very well-directed. Music in this movie played a huge role, expressing the protagonist's feelings and harmonized with every scene. It was simply beautiful.<br/><br/>This movie gave me a glimpse of the profession of ""encoffiner"", as a very respectable job, as it requires absolute accuracy, professionalism, and the respect for the dead even though it is looked down by the society. It is the encoffiner who sees off a person's last journey after dressing them up. This movie successfully depicts the pride in one's job, and questions the meaning of death."
"Metin_7","9","103","121","13 April 2009"," One of my all-time favorite movies
","It had been years ago since a movie moved me so much that it had brought tears to my eyes, but I couldn't keep my eyes dry while experiencing Okuribito. The story, acting, music and photography are all very impressive.<br/><br/>I guess everyone can in some way relate to the emotions that are conveyed in Okuribito. In my humble opinion this movie is a classic in the likes of Akira Kurosawa's and Yasujiro Ozu's best work: subtle, elegant, serene, soulful, touching and timelessly beautiful. This kind of cinematic storytelling stands high above the usual formula-driven, soulless, commercial Hollywood crap."
"DICK STEEL","10","146","175","3 March 2009"," A Nutshell Review: Departures
","By now almost everyone would have heard of this Japanese film Okuribito (Departures), given its win in the recent Academy Awards, clinching the Oscar for Best Foreign Language Film, beating the likes of crowd favourite Waltzing With Bashir, and the Palme D'or winner The Class. And now after watching it, it's no surprise really, because if I were to go tongue in cheek, it's the novelty factor, given that the Academy would never have conceived upon the notion that a film coming from Asia and filled with death, corpses and coffins, would be anything but a horror film. Seriously though, Departures have Awards written all over it, with fine acting complementing a strong story to tell.<br/><br/>I suppose the equivalent of a ""casketer"" in local context, would be the embalmer. And it's without a doubt a profession most misunderstood, and shunned because of our innate fear of death. We choose to avoid death where it had gone, and being an embalmer would unlikely be on any kid's wish list of professions. Despite the stereotypical negative connotations, it is a profession that is quite dignified, because the professional is entrusted with the responsibility of helping the loved ones of the deceased cope with the passing on, and to help ease the pain in bringing some colour before the final journey to either the burial ground, or crematorium.<br/><br/>Departures demystifies this profession in the Japanese context. And like all things Japanese, the process comes with an elaborate ritual of preparation, cleansing and presentation, all done with great precision, skillful grace and utmost respect for both the deceased, and the family members. The profession depicted here in the film, is one of the highest order, where we see exactly how the casketers go about their job, and the separation of duties with the undertaker.<br/><br/>Masahiro Motoki (last seen in The Longest Night in Shanghai) stars as the lead protagonist Daigo Kobayashi, a cellist in an orchestra who dreams of going places around the world with his wife Mika (Ryoko Hirosue) in tow. Unfortunately for him, his orchestra folds and he is forced to sell his expensive white elephant since he doubts he could make his passion into a successful career. Dejected, he convinces his wife to retreat back into the small town he came from, living in the house his late mother had left behind, in order to start a new life. Little did he know when responding to a job classifieds that a typo had given him the impression he would be in a career that involves travel. The boss of the shop Ikuei Sasaki (Tsutomu Yamazaki) hires him on instinct, and as the saying goes, the rest is history.<br/><br/>For the curious, the film is an excellent medium to showcase the profession and to do so in good light. We come to learn the craft behind the job, and the necessity of it all, be it dealing with grieving family members, or taking care of bodies that are bound for autopsies. Departures paints through Daigo's experience, the varying spectrum of emotions that one as a service provider would have to face, as we journey with him from novice level. All's not doom and gloom of course, as director Yujiro Takita paced the film with well meaning humour  again never slapstick or disrespectful  throughout the narrative.<br/><br/>The story by Kundo Koyama also excellently portrayed Daigo's relationships with his wife and with his mentor, where the former was like a rubber band waiting to snap because of Daigo's deliberate attempts to not tell his lovely wife what he's up to for a career in order to shield her from the taboo. With the latter from whom he picks up the tools of the trade from, there's a surrogate father figure which he never had while growing up, resulting in some pent up hatred toward his dad who walked out on the family when he was young.<br/><br/>It's an extremely moving piece of drama that doesn't get bogged down by melodrama, and I thoroughly enjoyed its themes of reconciliation, forgiveness and best of all, being a professional and serving with pride. It's a fantastically crafted film with an excellent cast all round, and shatters all taboos that come with the profession of a ""casketer"". I know it's cliché to say this, but Departures will be a strong contender when I compile my list of top films for the year. It's been some time already where I'm equally entertained and moved by a film, and without a doubt, do not let this depart from our local cinemas before you get a chance to watch it on the big screen. Highly recommended!"
"CountZero313","8","78","91","18 February 2009"," the rituals that sustain us
","Almost three decades since starring in Juzo Itami's classic The Funeral, Tsutomu Yamazaki once more shines in a tale woven around the rituals, traditions and theatre involved in Japanese death rites. The irreverence that makes Itami's classic such a delight is present here. Daigo's first day on the job playing a stiff in a DVD for the funeral business comes back to haunt him in hilarious fashion later on. However, there is also reverence, the film respectfully pointing out that the people who do this necessary but thankless task do not deserve the disdain and revulsion that their profession often attracts.<br/><br/>Daigo loses his job as a cellist, returns to his inaka roots and stumbles into a job as an undertaker. Too ashamed to tell his wife, he slowly warms to his apprenticeship under the masterful tutelage of Sasaki. As he goes about his business, the inevitable traumas of a childhood long forgotten bubble to the surface as he goes about re-acquainting himself with the town. The conduit for the negative feelings towards his profession is Daigo's wife Mika, who takes punitive steps on discovering his new employment.<br/><br/>Screenwriter Kundo Koyama has to take credit for a script that moves along briskly, juxtaposing black farce with raw tenderness, all done seamlessly, and acutely observed. Lipstick on a corpse produces gales of laughter, and you are reminded that sometimes the best fun is had at funerals. Daigo moves towards a form of reconciliation and redemption through the promptings of those around him, and the comfort of his cello.<br/><br/>It would be all too easy for material like this to lurch into sappy sentimentality, but the film tugs at the heartstrings without overtly manipulating its audience. Motoki has to take some plaudits for this for a performance that amuses at times but hints at deep inner turmoil at others. Hirosue is less consistent, at times indulging in the head-bobbing, giggly, saccharine sweet girlishness that is the forte of the Japanese TV drama actress. She has one line in the climactic scene of such stunning obviousness I am surprised it stayed in, but for the most part she redeems herself in the tense interactions with Motoki over their differing views on his new career. Overall, she convinces as the supportive but put-upon wife.<br/><br/>From Kurosawa's Ikiru through The Funeral and now Okuribito, Japanese cinema has a rich vein of movies that exploit the rituals of death. How those rituals comfort us, enchant us, and see us through to a place where the pain still exists but might come to an end, is laid bare in Okuribito. It is an absorbing, moving tale, full of laughter and tears, that celebrates the intricate details of a Japanese rites of passage while laying bare their universal function. Best seen in the cinema, to get the full effect of the luscious orchestral score."
"Chris Knipp","9","23","25","6 July 2009"," The power of ritual in life and death
","Masahiro Motoki is a good comic mime, a useful talent for depicting a Japanese in distress. He plays Daigo Kobayashi, a young cello player who faces the end of his chosen career when the Tokyo symphony orchestra he is part of is dissolved by its owner. He doesn't think he has the talent to get into another orchestra so he sells his expensive cello (which he's still paying for) and moves back to his town in the country. His wife Mika (Ryoko Hirosue) assents to this with brave smiles. There's a house there for them that his mother left him.<br/><br/>And then comes the job. Daigo answers an ad that's promising. ""Departures,"" it says. He assumes something in travel. Easy hours, good pay. The boss hires him immediately and gives him a wad of bills. Only trouble: the work is ""encoffination,"" or putting dead people into caskets for cremation. (""Departures"" was a misprint for ""Departed."") This is where Motoki gets to make funny faces as he struggles with surprise, discomfort, and out and out nausea. The first corpse his boss Sasaki (Tsutomu Yamazaki) takes him along to work on is an elderly lady who was dead two weeks before she was found, and it's summertime. After this ordeal he can't face dinner without retching. He hides from his wife what he is doing. But the pay is good and the boss is a decent man and he needs work so he stays on.<br/><br/>In professional lingo Moviefone calls this movie ""a feel-good dramady about death."" Younger people, already sick of the Academy's easy Oscar choices, mocked its members for giving the Best Foreign prize this year to 'Departures' over the edgy Israeli animation about war trauma, 'Waltz with Bashir.' Yes, 'Departures' is softer; but it has depths and its subject is universal. I'd listen to the octogenarian wisdom of the veteran New York critic Andrew Sarris, who calls this ""the most moving film I have ever seen commemorating the bonds between the living and the dead."" <br/><br/>It's also a lesson in the beauty of Japanese tradition that expresses those bonds. Not so long ago, as Sasaki explains to Daigo, Japanese families prepared their own departed. Now the funeral agents and the casket preparers (Sasaki is the latter) have moved in. But the process still retains traditional honesty and grace. In a process both elegantly respectful and forthright, the body is prepared in front of the assembled family mourners by the funeral professionals. (Sasaki turns out to be a very good one.) In a series of graceful gestures. the body is wiped and cleaned, undressed, turned, and re-clothed, the face caressed, the hands smoothed and placed together just so, all with the deftness of motion that is the Japanese genius, and always discretely shielding the flesh of the deceased from the view of the watchers. Then, well wrapped, the body is gently laid in the casket. The mourners may come forward and say their goodbyes before the box is closed. Shortly thereafter it is taken to a crematorium. Daigo quickly masters the respectful drama of this process, particularly the way the face and hands are manipulated and the clothing is moved, and comes to appreciate the profound emotional meaning it has for the mourners. It's both a leave-taking of the person and an acknowledgment that the deceased is really already gone. Of course immensely complex feelings are involved. Daigo settles into the work. Nonetheless he continues to hide from Mika what he's doing.<br/><br/>When she finds out, she goes home to her mother, promising to return only when Daigo quits the job. But the way he enjoys playing his small but tuneful childhood cello again now shows he accepts his new circumstances and is not unhappy. Daigo's roots in the town are symbolized by the old bath house where he goes to cleanse himself after the dressing of the decomposing old lady on his first days's work. It is run by another old lady, Tsuyako (Kazuko Yoshiyuki), the mother of his former best friend. When she suddenly drops dead and Mika returns for the encoffination ceremony, she realizes the beauty and importance of the ritual Daigo performs for Tsuyako's family. Daigo's father ran a café in their house and went off with a young waitress when he was a boy, abandoning him and his mother. He hates his father and doesn't want to know anything about him. But when by chance -- or more accurately screenwriter Kundo Koyama's obvious arrangement -- he learns about his father's death, Mika pushes him to go and do the ceremony himself, with her at his side, and this time the ritual is a profound personal healing process for Daigo himself, whose tears pour down as he performs it. When a few months pass and winter comes Mika comes back to live with Diago after she discovers she's pregnant, even though she still wants him to quit the job. The film underlines how humble and traditional roles are essential to a society, even as it looks down on them, by showing the dignity of the encoffination process; of the man who handles the cremations; of old Tsuyako running the comfortable old bath house that her son wanted to close and turn into more profitable real estate.<br/><br/>This film is a tribute to the magic and comfort of human ritual. Hence the encoffination process is shown repeatedly, even behind the end credits. It's what the film is about: everything else is footnotes to this ceremony. Sometimes the mourners make it tumultuous, embarrassing, or comic. But it retains the beauty of a culture that knows the value of theater. Takita's movie is more than the sum of its sometimes sentimental or obvious parts. In the beauty of its most humdrum moments, with its focus on everyday family necessities (it celebrates food too), 'Departures' is not at all remote from the quintessentially Japanese quotidian grandeur celebrated in the film masterpieces of Yasajiro Ozu."
"ikhanh","10","74","93","1 September 2008"," Okuribito ""departures""
","easily the best movie i have seen in a long while. i just saw this movie during the 2008 Montreal world film festival. it is about a cellist(Daigo)who loses his job and must move back to his hometown. once back there he reconnects with his past, and comes to terms with his life, love and dreams.<br/><br/>desperate to find a job, he answers an ad listed under departures, which turns out to be misspelled. it was supposed to say the departed, the job pertains to dressing, washing, and putting makeup on the deceased before the funeral.<br/><br/>it is a job that most people look down upon because you earn money when someone dies. At first Daigo, does not like his job but little by little he comes to a new understanding of it. the process of prepping the corpse is shown in detail within the context of the story, and little by little we too as an audience get sucked in. it is an incredible ceremony to witness. the undertaker handles the corpse with the utmost reverence and care, every touch of the deceased is done with care and always with perfect precision. we realized as we watch that the deceased are shown the the utmost and ultimate respect before they leave us for good. it is a beautiful and solemn act that will make you cry.<br/><br/>there are many other subplots that all tie up at the end bringing everything full circle. watching this movie one does not feel like we are preached to yet it is powerfully effective in making us realize how every moment is precious and we should not take things for granted. so ironic, a new comprehension on life while communing with death...<br/><br/>this movie will not likely be shown in north America, but if you have the chance to see it i do recommend it strongly"
"khatake","10","113","151","25 August 2008"," Marvellous!!! One of the best movies I've ever seen!!!
","Probably the best movie I've ever seen. I have seen it at the 32nd Montreal World Film Festival and I hope it'll be well awarded! Even though the plot line is the ""death"", it's done with such kindness, softness and emotion (every little thing in the Japanese culture is made like a piece of art) and being able to make us feel so much emotions concerning the subject was really enjoyable. It's really a must see, the music is so captivating in every moment of grief. I had to hold my tears 5 times at least. I was also glad to see Tsutomu Yamazaki, I hadn't saw him since Tampopo... that was years ago (there are not a lot of Japanese movies to see in french theaters.)"
