"username","rating","helpful","total","date","title","review"
"gogoschka-1","10","180","208","17 December 2013"," One of the experiences that made me fall in love with movies
","I will never forget the first time I saw Jaws. I was glued to the seat from start to finish. I jumped, I held my breath; this was one of the experiences that made me fall in love with movies. This was probably the first film where I completely forgot everything around me. I was there, in that boat, in that gloomy cabin, with those people - everything seemed so real (and alas, the sea never looked the same again). When I watch it these days I still marvel: the atmosphere and the performances in this film are simply magical. Spielberg without the schmalz. He has never been better.<br/><br/>My vote: 10 out of 10<br/><br/>Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/<br/><br/>Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/<br/><br/>Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/<br/><br/>Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
"fairlesssam","9","60","74","23 May 2017"," A monster of a movie
","I re-watched this film recently and was blown away by the absolute suspense it invoked in me. My daughter (whom is 17) and I were both stunned at the quality and realism of a film made in 1975!! Our TV is 55 inches which showed the movie off to it's full potential and it certainly did not disappoint.<br/><br/>That iconic moment of the young lady going skinny dipping in the dark with her male friend is utterly haunting. You know the horror of what's going to happen, the buoy dinging in the background gives you the chills. Steven Spielberg captures pure terror in that scene.<br/><br/>Jaws completely absorbs you, as the trio of shark hunters venture off to try to snare the great white you begin to feel part of their adventure. You fear for them, get excited with them and dread what will happen next. When that fishing line starts spinning your heart starts pumping. This is pure class.<br/><br/>The dynamics of Richard Dreyfuss, Roy Scheider and Robert Shaw's relationship(s) work brilliantly. The differences in their characters persona's is such that they rub each other up the wrong way, disrespect one another and wind each other up but in the end they are there for each other and develop a bond that I think surprises them all.<br/><br/>As things begin to unravel your heart goes out to the trio and trepidation is the only way forward. They have the fight of their life on their hands, their bravery is boundless. You feel in awe of them. <br/><br/>An absolute legend of a movie which I am grateful to have been able to watch and enjoy."
"eht5y","Null","301","414","23 July 2004"," One of the Greatest Thrillers Ever Made
","'Jaws' is the original summer blockbuster, setting the standard by which all others are measured. It's the Michael Jordan of cinema: there will never be another 'Jaws,' simply because the film so profoundly changed the way movies are made and marketed.<br/><br/>Based on Peter Benchley's bestselling novel, 'Jaws' centers around the fictional North Atlantic resort island of Amity, which finds itself terrorized by an enormous great white shark. Our hero is Martin Brody, a New York cop who took the job as Chief of the Amity PD to get his family out of the city and then finds himself in the midst of an unprecedented crisis none of his prior experience has prepared him for. The remains of young Christine Watkins are found on the beach, the apparent victim of a shark attack(Chrissie Watkins' death scene at the opening of the movie is one of the most legendary in the history of film). Chief Brody wants to close the beaches, but is refused permission by Mayor Larry Vaughn (Murray Hamilton) and the Amity selectmen, all of whom fear that news of a shark attack off of Amity will threaten the summer tourist trade, on which the town depends for its very survival. The Mayor and his lackies persuade Chief Brody that such incidents are always isolated, and, inexperienced in such matters, he grudgingly agrees to keep quiet.<br/><br/>Consequently, the shark kills again (and again), and Chief Brody eventually finds himself dealing both with his own moral guilt for agreeing to hush up the first shark attack and with an enormous human and social catastrophe which appears to be his sole responsibility. Help comes first in the form of Matt Hooper (Richard Dreyfuss, in the role that propelled him to stardom), an icthyologist and oceanographer dispatched to Amity to lend his expertise. Together, Hooper and Brody struggle in vain against both the shark and Mayor Vaughan, who is certain that keeping the beaches open for the sake of the town's economy (and his own real-estate business) is worth the gamble.<br/><br/>Finally, Brody and Hooper charter an expedition with the enigmatic, vaguely malevolent Quint (Robert Shaw), Amity's most feared and respected shark hunter, to find and kill the shark and save the town from financial disaster. What ensues is an epic, archetypal man vs. beast quest that would make Herman Melville and Joseph Campbell proud. Our shark, it turns out, is way above average size, terrifically swift and powerful, and uncannily smart, to boot. Hooper, the scientist, is awestruck at having encountered the Bigfoot of the sea; Quint, the crafty fisherman with a serious chip on his shoulder against sharks, realizes he has met the ultimate test of his skills; Brody, who swims poorly and is afraid of water, must overcome abject fear and disorientation just to maintain his composure. <br/><br/>Robert Shaw's Quint is one of the greatest anti-heroes the movies have ever seen. He is funny and frightening all at once, and the famous soliloquy in which he recalls the tragic sinking of the USS Indianapolis--where, over the course of a week waiting for rescue, at least 90 US Navy personnel died from shark attack wounds--is one of the most chilling and unforgettable performances ever committed to film. <br/><br/>'Jaws' is the movie that made Steven Spielberg's career, and it's among his finest. It's easy to forget because of his enormously successful blockbusters that Spielberg is a phenomenally skillful and artful director. His timing is superb, he mixes horror with comedy to brilliant effect, he gets great performances out of his actors, and his love for special effects has never overwhelmed his understanding of the importance of story and character. <br/><br/>That said, the most brilliant aspect of 'Jaws' was a serendipitous accident.<br/><br/>The special effects team had yet to fully troubleshoot 'Bruce,' the mechanical shark, by the time filming was to begin. Under tight budget restraints and enormous studio pressure, Spielberg had no choice but to press on while his crew labored vainly to make the shark work in the cold and corrosive north Atlantic seawater. To compensate for the absence of the non-functional fake shark, Spielberg used shots from the shark's point of view and John Williams' famous two-note theme to create the illusion of the shark's presence in the early scenes. Fortunately the crew was ultimately able to get Bruce into operational status in time to film the big showdown, and some of the scenes are filled in with live-shark footage filmed by Australian underwater video pioneers Ron and Valerie Taylor. Consequently, the audience's fear is magnified by the fact that, for the majority of the film, they cannot see the shark, creating suspense towards the climax of the confrontation between man and beast on Quint's fishing boat.<br/><br/>'Jaws' succeeds on almost every level. It is terrifying without being grotesque, and spectacular without being unbelievable (if the shark looks a little fake, remember that, at the time 'Jaws' was released, 'Space Invaders' was on the cutting edge of computer graphics design and there was no such thing as 'Shark Week on the Discovery Channel'). Roy Scheider's Brody is a quintessential everyman, an average guy beset by fear and guilt who finds himself in extraordinary circumstances and rises to the occasion. Dreyfuss' Hooper is brash and brave enough not to come off as nerdy or self-righteous, and his friendship with Brody becomes the backbone of the movie (Spielberg and screenwriter Carl Gottlieb wisely deviated from the novel in regards to the character of Hooper, who was originally Brody's nemesis). Robert Shaw's Quint is a modern-day Captain Ahab, a worthy foe for the malevolent shark. The suspense is potent and the action thrilling, but the humor, emotion, and character development make this movie much more than a summer blockbuster."
"hitchcockthelegend","10","42","53","12 June 2008"," Jaws
","A man eating shark is terrorising the holiday island of Amity. Police chief Martin Brody, shark hunter Quint and marine biologist Matt Hooper set sail in the hope of killing the great white monster.<br/><br/>Jaws is responsible for many things, it's responsible for propelling director Steven Spielberg's career into the stratosphere, it was responsible for a downturn in the package holiday trade, and it was responsible for shaping the summer blockbuster release practise's. There are many other things which one doesn't need to bore you with, it's just true to say that Jaws is firmly ensconced in movie history, if one hasn't seen it then one surely knows about it, it is, even today, part of popular culture.<br/><br/>But is it any good? Is it worthy of a long standing reputation as one of the greatest monster movies of all time? Hell yes it is, one or two easily overlooked flaws aside, it busted the box office {world wide} and tapped into a primal fear that resides in the majority of mankind, the unseen that resides in the sea.<br/><br/>Jaws sets out its marker right from the start with a truly shocking and attention grabbing opening sequence, from then on in Spielberg {learning from Hitchcock for sure} tweaks the tension to have the audience living on their nerves, even as character building {by way of Brody's family arc} sedates the pace, we just know that it's all relative to an extension of fear and terror that is around the next corner. After the first victims remains are found Brody glances out at the ocean, Spielberg perfectly framing the shot to say so much that we are about to be witness to. Jolts and shocks pop up from time to time to help build the unease whilst Spielberg makes the audience wait before we even see what it is that so coldly and efficiently destroys man, and then the claustrophobic switch as our brave protagonists are out at sea on Quint's boat, unaware that the giant menace is now hunting them, eyes as black as death itself.<br/><br/>So many great scenes linger for all time in the memory, the entrance of Quint is a hum dinger, a mournful widow reducing Brody to a stunned realism, the Indianappolis monologue, the bigger boat! Just some of the reasons why I personally love cinema so much. The score from John Williams is as effective as any for the genre and Robert Hoyt's sound team's work furthers the dread unfolding. The cast are superb and uniformly excellent, casting aside technical problems {and genuine resentment at times} to portray this story with verve and genuine depth of feeling. Yet Roy Scheider {Brody}, Robert Shaw {Quint} and Richard Dreyfuss {Hooper} were from from original choices, Charlton Heston was wanted for the role of Brody, Sterling Hayden and Lee Marvin were both mooted for Quint, and John Voight was Spielberg's preferred choice for Hooper, whilst Jaws author {and co screen writer here} Peter Benchley was heading for the top by asking for Newman, Redford and McQueen!! Imagine that!<br/><br/>Still it all turned out well in the end because Jaws stands the test of time as one of the best films of its type to have ever been made. No amount of complaining about continuity and a rough looking mechanical shark will ever dim its appeal, even as I revisited it recently for the hundredth time I still got tingles all over my body, file it along side King Kong in the pantheon of Monster Masterpieces, 10/10 always, now go enjoy your dip in the ocean."
"Smells_Like_Cheese","10","201","286","13 April 2003"," If this movie scares you to the point where you can't go back into the water, then Spielberg has done job well done
","Jaws is a movie the I grew up with, it's like the first real horror film I ever watched. What a great one to start with, right? This movie not only scarred me out of the water, I was afraid to go to the bathroom! I thought Jaws was going to pop up out of the toilet and bite my butt! :D I know it was silly, but that was how much Jaws effected me. I know also that it has not lost it's effect to this day. I'm questioning, because it seems like all the terrific horror films came out of the 70's.<br/><br/>Jaws is based on the best seller book by Peter Benchley. Steven Spielberg, before he was STEVEN Spielberg turned this horrifying book and made it into a reason to hate sharks. He brilliantly took what could have been a cheesy movie and turned it into a classic that will never be forgotten. To this day, I still need a friend to hold onto, it's that score! Duh na... duh na.... dun dun dun dun.... Oh, my gosh, that music just scares the heck out of me! On such a low budget, Jaws not only turned into one of the greatest horror movies of all time, it turned into one of the greatest movies, period.<br/><br/>Jaws starts off with one of the most terrifying scenes in horror movie cinema, a young pretty girl goes into the water and is brutally attacked and killed by an unknown creature in the water. The next day Chief Brody investigates suspecting a shark attack, and urges the mayor, Larry Vaughn, to shut down the beach, but afraid of a panic and less tourists, Larry ignores the chief's suggestions and keeps the beach open leading to another attack on a young boy. Brody calls in Matt Hooper, a marine scientist to see if they can find the shark. But when another attack ensues and almost kills Brody's young son, Michael, he, Matt, and a cocky man, Quint go out to find Jaws themselves.<br/><br/>This turns into several of the greatest cinematic scenes of all time, like the ""Indianapolis"" speech brilliantly given by Quint, how he describes seeing his first shark was just so intense and you couldn't turn away from the screen. Then, one thing that is interesting about this movie, you do not see the shark until Brody is just chucking blood to attract the shark over his shoulder and Jaws appears roaring out of the water! ""We're gonna need a bigger boat!"" he replies to Quint. And then the scene where Jaws jumps onto the boat and Quint is trapped sliding into Jaw's, well, jaws! That's the scene that nightmares are made out of! Jaws is one of my favorite films of all time. It's one of those films that should never be missed, because it is so important. To many, including myself, the shark looks fake, but it's your imagination that gets with you. Spielberg embraced that and you could tell there was just something special about him. Jaws will scare you out of the water just like The Exorcist scared you to the church! <br/><br/>10/10"
"Idiot-Deluxe","10","37","48","8 November 2016"," JAWS = Timeless Cinema
","It's true, few movies tell a story better and in a more compelling way than JAWS - the original summer blockbuster, which was a world-wide smash-hit or ""phenomenon"" upon it's initial release in May of 1975. Forty-one years later it still stands as one of the best movies of all time and having seen it well over 100 times in the past 30 years, I can firmly attest to it's extreme longevity and at this point it would seem JAWS' ability to entertain me, myself and the masses is indefatigable. In other words: JAWS IS ETERNAL. An ageless, universally beloved masterpiece and due to the films great originality, it has always been easy for me to admire it.<br/><br/>The films great cast of Roy Scheider, Richard Dreyfus, Robert Shaw, Lorraine Grey and Murray Hamilton really pull together here and throughout the film they play off each other beautifully, the cast exudes a type of ""naturalistic chemistry"" that's rarely attained in movies. That's one of the key reasons why JAWS is such a cohesive and enduring movie and if you haven't noticed over the years, all of the scenes in this movie gel perfectly, with not a single scene being wasted or without purpose. Deftly directed by a 27 year-old Steven Spielberg throughout the course of mid 1974 to early 1975, the production was a troubled one (primarily due to malfunctioning mechanical sharks) and the budget ballooned to several times it's original estimate, but as the film resoundingly shows they succeeded in creating a gripping masterpiece of cinema - that's often mimicked in one way or another, but has certainly never been bettered.<br/><br/>Set in the fictitious locale of Amity Island (as most know, in actuality it was filmed in and around Martha's Vineyard Massachusetts) JAWS tells the story of a once-pleasant sea-side community, that suddenly finds itself being terrorized, by a huge Great White shark ""That's a 20-footer... 25, 3-tons of em'"" that's gone -rogue- and has staked a claim off the beaches of Amity Island. Naturally this causes confusion and commotion among the town folk, bounties are set, amateur shark-hunters recklessly take to the water and throughout the bloody-tension-filled affair, the towns various entities of local government are constantly clashing with each other; in other words lots of friction and stubborn, thick-headed resistance bubble up and the tension is at times so thick, you can cut it with a knife. Basically what it is, is enough people have to be eaten by the shark, before the mayor and his circle of cronies finally pull their heads out of the sand and come to the same obvious conclusion - that Martin Brody, the sharp-witted and instinctual sheriff had already concluded. So add governmental haranguing as yet another element weaved into this intricate, yet cohesive story.<br/><br/>The film is bi-sected into two distinctly different acts, with the first half taking place mostly on the dry ground of Amity Island, with a few boating and swimming excursions, but still largely land-based. However, in the second half, we find ourselves adrift at sea aboard Quint's boat, for the remainder of the movie - which most would agree is the more exciting part. The role of the shark-hunter ""Quint"" is BRILLIANTLY played by the late-great Robert Shaw and is, by far, the films most-memorable and most-colorful character. Rarely is a film character so vividly well put together and as memorable as the cantankerous Quint, with his voice being the key reason; plus he has some mighty colorful ""fisherman's tales"" to tell, as you will find out. You can thank the numerous other ""bigger names"" that, for varying reasons, turned down that role of which there were several, with Charlton Heston and Robert Mitchum being just a couple of them. The action and excitement are all cranked up several notches in the latter half of the film, with much tension between the three ship mates, Brody, Matt Hooper (a marine biologist) and the ever-salty Quint. This iconic film concludes with what's literally ""Smile you son-of-a!"" an explosive finale! That which has long stood as one of cinema's most memorable, if not improbable, endings.<br/><br/>The Music: As Steven Spielberg has said, the music of John Williams is half the movie and it easily ranks as one of the most memorable and effective film scores of all-time. A powerful and ingenious orchestral score, dripping with gloomy atmosphere and with much in the way of toothy serrated menace and of course JAWS has what's probably the best-known movie theme ever written. Williams' award-winning music for JAWS not only took his career to the next level, but in a very big way helped resuscitate a dying art-form; that of course being large-scale orchestral film scores, which had been in steady decline since the mid to late 1960's. Williams' score for Star Wars just two years later would yet further benefit that cause to even greater effect.<br/><br/>On The Oscar Front: JAWS took home three Oscar's (for, best sound recording, best score and best film editing) and damn well should of had another or two, Best Picture being one of them.<br/><br/>Ultimately JAWS stands as a grand and regal film classic - that only an idiot (or a heretic) would not like.<br/><br/>......and yes, because of this movie and it's infinitely lesser sequels, I shudder at the mere thought of being in the ocean.<br/><br/>**Update**: The wreck site of Quint's ship the U.S.S. Indianapolis was discovered on August 19th 2017, by a deep-sea search team lead by Microsoft billionaire Paul Allen 72 years after her infamous sinking. Her watery grave rests some 18,000 feet below the surface of the Philippine Sea.<br/><br/>Thanks Paul, it's been a long time coming."
"seandown2010","10","27","35","24 December 2010"," One Of The Best Films Ever!
","I wasn't alive when this film first was released. I wasn't there to witness the hysteria that followed in its wake. By the time, I was born it was already well-established in Western culture (and had spawned three atrocious sequels). Only films like Star Wars can match this movie for sheer cultural impact. Even today, over thirty years after it's original release, when people think of sharks, they think of Jaws.<br/><br/>Perhaps much of this owes to its realistic fright factor. Jaws reached people in a way very few films have because it seemed oh-so-plausible and, more importantly, it made people wonder 'Could that happen to me?'.<br/><br/>But let's look past the social impact of Jaws and at the film itself as a piece of entertainment/art.<br/><br/>I sat down and watched Jaws the other day. I didn't mean to. Somebody else was watching it, I came in and decided to sit down and watch a few minutes. I stayed for the rest of the film, loving every minute. That quality- that watchability (if that is a word)- is one of the things that make Jaws great and helps it to stand out even from its illustrious brethren in the IMDb top 250.<br/><br/>Some films, like Jaws, are fantastic. However, not all fantastic films are instantly and consistently watchable like Jaws. For example, Shawshank Redemption is a top movie but its not the sort of film you can sit down and watch at any time. Jaws is a top movie and you can sit down, watch it from start to finish and enjoy yourself no matter how many times you've seen it before.<br/><br/>What specifically makes Jaws good then? First off, the story- a small island community heavily reliant on the tourist trade finds itself menaced by a man-eating shark. Simple but effective.<br/><br/>The main character, Sheriff Brody (superbly played by Roy Schneider), is tasked with managing this crisis. However, he is continually hindered in his efforts by the Mayor (and other locals) who are adamant the rising body count should be no impediment to the summer trade that is their lifeblood.<br/><br/>Eventually, Brody calls in marine biologist Matt Hooper (another great performance, this time by Richard Dreyfuss) who helps him convince the Mayor (with the help of the growing number of dead) that there is a real danger to the island in the form of a great white shark. In a bid to end Jaws' reign of terror, they hire grizzled shark hunter/fisherman Quint- a brilliant character brilliantly portrayed by, in my opinion, the standout star of this film, Robert Shaw- and together, the three go off to hunt for the eponymous villain.<br/><br/>This triad of superb characters played by sublime actors is key to Jaws' triumph as a movie. The second half of the movie is simply these three men in a boat but with their chemistry (admittedly aided by a very strong script and good direction) who needs breathtaking scenery, romance, mind-blowing special effects (though I have no qualms with what is essentially a prop, I know people think the shark looks crap) and the like? I think the proof of the pudding- and perhaps one of my favourite scenes in all of cinematic history- is the scene where the three heroes are comparing scars. I have two reasons for saying this.<br/><br/>One, it shows the growing bond of respect between the two seamen in Quint and Hooper who, despite their differing methods and upbringings, find common ground and good laughs in the wounds they have suffered in their travels. At the same time, poor old landlubber and mild mannered Brody only has his appendix scar to reflect on- which is masterfully shown in a subtle piece of acting/directing.<br/><br/>Two, I think that Quint's 'Indiannapolis' speech is the best I have ever seen. Robert Shaw's impeccable delivery (plus the reaction of his allies)and the script itself help make this moment my favourite in the entire film. It's worth buying the DVD for this scene alone- believe me.<br/><br/>I've eaten up a lot of words with my worship of the characters and that particular scene but don't go thinking that's all there is to this film. There are other great elements- there's plenty of action, adventure and thrills and spills. The only thing that's missing is a needlessly tacked on romance- yay! As for themes and messages, Jaws has plenty of them too. You have man's struggle against nature, the value of money over life, Quint's Ahab-esquire obsession with gaining revenge for his fallen comrades and even the 'ever present in every Spielberg film' sub-story involving fatherhood.<br/><br/>As you may have guessed, I can't rate this film highly enough. If you've never seen it, you are missing out. Pure gold- 10/10."
"TacoBilly","Null","229","352","14 August 1998"," ""You yell barracuda, everybody says, 'Hunh, what?' You yell shark, and we got a panic on our hands on the Fourth of July.""
","This is the movie that started it all. I'm not talking about the Hollywood blockbuster, or the insane madness that sent thousands of misunderstood Great Whites to their deaths, I'm talking about the beginning of my interest in movies. This is the movie that did it. I couldn't tell you how old I was when I first saw it, but I do remember this is the movie I made my parents rent time and time again when we went to the video store. This is the movie that drove my parents and some of my friends nuts while I watched it day after day after day when my mom gave it to me for Christmas. This is the movie that made me want to turn a real interest in the movies from just a hobby and into a career. For that, I owe Spielberg, Benchley, Scheider, Shaw, Dreyfuss, Williams, Fields and everyone else a sincere and heart-felt thank you. I own this movie on every format in which it is available. I love it that much. I've probably seen it between 200 and 300 times. I guess you can say it is an obsession. A sick obsession. The plot, the pacing, the editing, the score, the acting, and, oh yes, the shark. Who cares that is fake? By the time we finally get to see it, do we care? Truly, a more suspenseful movie was never made. Several come close, but none quite reaches the primal level the JAWS does. No other film so effectively taps into our fear of the unknown, and then gives it a riveting score to boot. No other movie grips us so strongly with heart stopping suspense that we find ourselves nearly falling off our seats. And no other movie leaves us feeling so spent and wasted after a viewing. And the reason for all the fear, suspense and emotional withdrawal is not top-notch special effects. It was the mid-70's. You can barely apply top -notch to anything of that era. The reason the movie does all that to us is that it is a great story. It is filled with real people, who have real jobs, and who have real fears. And who must now confront a real shark. Can you think of anything more terrifying that getting on a rickety, leaky boat to kill a 25-foot shark when you already have a paralyzing fear of the water? I can't. And Martin Brody sure can't. And so, no matter what ranking JAWS may get on AFI's list of the 100 greatest movies, or TV Guides list of the top 50 movies, or any list for that matter, JAWS will always come in number one on mine. Steven, Peter, Roy, Robert, Richard, John, and Verna -- thank you. Not for just giving me a sense of direction in my life, not for just making me want to be a screenwriter, but also for making a movie that still thrills me as much now when I watch it as when it did when I saw it for the very first time."
"WehoSteve","10","185","298","23 September 2001"," Not your average fish story...
","Widely regarded as the film that began the ""summer movie blockbuster era"", JAWS (1975) was also rightfully one of the year's most critically acclaimed movies. It was also the recipient of an Academy Award Nomination for Best Picture and a winner of Oscars for film editing (Verna Fields) and music score (John Williams).  One of the reasons the film received no acting nods is that everyone involved is so good, how could one single out just one or two? (I personally feel Robert Shaw should have gotten a Best Actor nomination, however). Roy Scheider is wonderful as New York cop Martin Brody, who has relocated to a small coastal island town, only to have his bad case of ""aquaphobia"" put to the ultimate test. Richard Dreyfuss is perfectly cast as a shark expert and provides some truly funny comic bits along the way. Lorraine Gary (who director Steven Spielberg says was the first person to be cast for the film) does an excellent job of being the concerned wife and mother. Finally, there's Murray Hamilton, who gives one of the best performances of his career as Mayor Vaughn, who seems to be more concerned about the economy of the town than the safety of the residents. In a way, Vaughn is really the film's villain. Solid cast indeed. The screenplay (by Peter Benchley and Carl Gottlieb) is tight and well-written, as is Spielberg's direction. Whether it was the mechanical shark's failure to operate correctly or Spielberg's decision to simply see less of the shark until the end of the film, the ""less is more"" idea works perfectly, particularly in the opening scene, which is chilling to this day.<br/><br/>One thing I do want to add: if you choose to watch this film at home, do yourself a favor and rent or buy the WIDESCREEN version. The full-screen pan and scan version is a travesty that ruins the great camerawork that Spielberg and cameraman Bill Butler made. I always recommend the widescreen version but it is especially important for JAWS.<br/><br/>No offense to fans of ONE FLEW OVER THE CUCKOO'S NEST, but this is the film that should have taken home the Oscar gold. Grade:  A+"
"Tweekums","10","16","21","29 August 2016"," Spielberg's original blockbuster
","On the fictional New England resort island of Amity tourism is the main industry and each summer the beaches are backed with people hoping to swim in its beautiful waters the last thing the authorities want is news that a shark has killed somebody. When I girl disappears at sea it is first assumed she just drowned but when her body is found the Island's new Police Chief, Martin Brody, wants to close the beaches but the mayor is determined to keep them open and pressures the local doctor to certify that she was killed by a boat a second death, just off a crowded beach, causes a major panic and the mother of the victim offers a three thousand dollar reward to whoever catches the shark. This attracts everybody with a boat but doesn't impress local fisherman Quint, who demands $10,000, or shark expert Matt Hooper, who Brody invited to the island. After further deaths Brody, Quint and Hooper set of in Quint's boat, the Orca, to hunt down the great white shark that has been terrorising the island. Once they find the shark it becomes clear that catching it will not be easy.<br/><br/>This iconic film has certainly stood the test of time and is as gripping as ever. The story is relatively simple without any real twists and that is one of its strengths. It is very much a film of two halves; the first land based as Brody tries to get the town authorities to take the shark seriously and the second out at sea as Brody, Quint and Hooper hunt down the shark. These three, brilliantly played by Roy Scheider, Robert Shaw and Richard Dreyfuss respectively, are great characters and the scenes between then on the boat are a delight; sometimes tense, sometimes funny and, when Quint tells the story of what happened when the USS Indianapolis was sunk positively chilling. The shark effects are pretty impressive, only in the final scenes does in took a bit rubbery; of course it helps that we aren't shown too much of the shark early on. The music, by John Williams, is great not just the famous 'shark theme' but also the other music. There are plenty of scary moments throughout the film; some at least as frightening as horror films largely because of its familiar setting and the fact that even though shark attacks are rare we all know that they do occasionally happen. Overall this is a great film that can be enjoyed by most people if you don't mind a few scares. It is a must see for anybody who enjoys classic movies."
