"username","rating","helpful","total","date","title","review"
"MR_Heraclius","7","44","50","22 February 2020"," The First Avenger
","It wasn't that bad of a movie, but undoubtedly it had a few flaws in terms of screenplay. The story itself was fine, and I'm personally a big fan of Captain America's origin story so this movie was a nice watch for me. Maybe not so much if you don't care at all about superheroes such as CA."
"Baker-63","10","87","108","20 April 2012"," A review and a review of reviews.
","I loved this movie. Captain America has had 3 movies in the past, not counting some 1940s ones which can be excused for being good, that were so awful they make movies like Steel or Green Lantern look good. However, I saw a lot of critiques for this movie that were negative. Now I understand differing opinions and all, but they all followed a formula and each one seemed like griping to the point it was just getting stupid. If you'll indulge me here, I have a list of the repeated ones and a rebuttal to each.<br/><br/>1. The technology for WWII is too far advanced! This one was the most common and the stupidest in my opinion. It's called ""Fiction"", as in ""not real"". Every time I heard this one it made me think these people have no suspension of disbelief and would complain that Iron Man is a terrible movie because the technology to build a flying robot suit doesn't exist yet. People, it's comic books and it's in a fictional WWII setting. It's allowed to take liberties.<br/><br/>2. Captain America is too invincible! That was just stupid. Captain America is relatively weak compared to many other superheroes, he's just a perfect example of a human being brought about by the experiments in the film. Also, he's the main character. He's not supposed to die in a movie that is leading him up to be in a tie-in to all the other recent Marvel films that will lead to The Avengers.<br/><br/>3. Red Skull is a terrible villain.<br/><br/>There is no sense to this one. He's supposed to be the guy that's worse than Hitler and can get just as many people on his side to do his bidding. On top of that he can take Cap in a fight fairly evenly. Saying he's a bad villain is baseless.<br/><br/>4. Steve doesn't go through a character arc/get any back-story.<br/><br/>For one, he really doesn't need to. Steve was a good guy from the start, and he did go through an arc. It was subtle, but he did. He gained more confidence and become the soldier he is. He has a back-story but it's weaved in throughout. We know he was bullied a lot, we know he he is from a military family, we know he grew up with Bucky, we know he has had very few, if any, dates in his life, he's a childhood friend of Bucky, and we know he wants to be a soldier because he feels its his duty. I'd rather get it weaved in through the narrative of the story rather than get a huge text dump or just have characters talking for half an hour about everything they've ever done.<br/><br/>5. This movie just glorifies America! Not really. It's a good vs. evil story that happens to have a character named Captain America, which was given to him by a publicity stunt. I suppose you also hate movies like Saving Private Ryan because it tells things from the perspective of American soldiers but not the Japanese ones? <br/><br/>These were the most common arguments and they are easily refutable. Captain America is a great movie, showcasing one of the best Marvel has to offer and should be in the 7s or higher, not the 6s."
"drhuffman-17263","10","81","104","24 March 2019"," How is this movie a 6.9
","People suck, that's the only reason this movie is rated to low! I love this movie!"
"webspinner128","Null","157","210","4 August 2011"," A Super-hero Rightly Interpreted for the Big Screen
","Like many comic-book fans I was expecting the worst from this movie. This is not because the character has any less depth than other super-heroes, but I knew that it would be extremely difficult to transition Steve Rogers to film in a serviceable way. The guy is called ""Captain America"" for heaven's sake.<br/><br/>Any comic-book reader would probably appreciate the ironies and idiosyncrasies behind such ostentatiously patriotic code-name, mostly because in print Cap has challenged the assumptions behind his symbolism, becoming a more conflicted and universal figure.<br/><br/>But its hard to translate any of this idiosyncrasy successfully in 2 hours. Fortunately the film, instead of getting to political, is more old-fashioned pulp like Indy or ""Sky Captain,"" which thankfully never takes itself too seriously (which was one of the flaws of ""Thor"").<br/><br/>I had my doubts that Chris Evans could pull off the modesty and heart needed for the role, but I was wrong. As the Red Skull, Hugo Weaving was wonderfully evil in a nostalgic, serial-villain kind of way. Haley Atwell is a sidekick/love-interest with the rare quality of not being incredibly annoying, and Tommy Lee Jones is perfectly cast as Tommy Lee Jones.<br/><br/>The reason I found this to be a good movie was because I enjoyed it, plain and simple. It's well-photographed and well-acted. Like its titular hero, it modestly embraced its silliness, creating a charming B-movie experience."
"hbenthow","9","62","82","26 October 2011"," A great, old-fashioned adventure that towers above its flaws.
","As there's something about the the 1930s-1940s that appeals to me, I tend to prefer movies set in the era and made in its cinematic style. And being fond of the adventure genre, I anticipate movies like the Indiana Jones trilogy, ""The Rocketeer"", ""Sky Captain And the World of Tomorrow"", ""The Mummy"" (1999) and, of course, ""Captain America"".<br/><br/>When I first heard about this movie, my expectations soared. The director was Joe Johnston, who made my favorite superhero movie, ""The Rocketeer"". It was set during WWII, made in a 1940s style, and scored by Alan Silvestri. Alas, my heart sank after I found out that they were going to do the whole frozen alive storyline I've always hated. But, I reasoned, the only reason they are making it is because of ""The Avengers"". Without that storyline, they wouldn't even be making it. Beggars can't be choosers.<br/><br/>Well, after two years of waiting, I got to see the movie. And to my surprise, it surpassed my high expectations. I didn't even hate the ending, although I would have much preferred a happier one more in line with the original 1940s comics (in which Cap stays in his own era, then fights commies in the 1950s). So, here are my thoughts on the movie.<br/><br/>Acting.<br/><br/>Chris Evans was great as Captain America. He nailed the character. After watching him as Captain America, I can't see anyone else in the role. The special effects performed on him to make him look skinny for the first part of the movie were absolutely seamless. If I hadn't known about them, I wouldn't have been able to tell they were there. But those effects would not have looked nearly so great if it had not been for Evans convincingly ""acting skinny"". No matter what condition Steve Rogers is in, shrimp or super soldier, Chris Evans portrayed him flawlessly.<br/><br/>It was refreshing to see a non-angsty, pure-hearted hero for the first time in a while. Instead of portraying Cap with irony or satire, they took him seriously, and it really payed off. Cap, despite (or because of) his delightful simplicity and earnestness, comes across as incredibly deep and human, proving once again that the notion of the old-fashioned hero being inferior to his modern antihero counterpart is merely a haughty assumption.<br/><br/>Hugo Weaving's Red Skull was effectively menacing, darkly humorous, and overall deliciously like an old-fashioned serial villain. Haley Atwell was charming, feisty and classically beautiful as Peggy Carter. Stanley Tucci's Dr. Erskine was played to perfection, Tommy Lee Jones was a scene-stealer of the highest order, Toby Jones was very memorable as a sympathetic, almost lovable Arnim Zola, Richard Armitage was effectively despicable, Dominic Cooper was good as Howard Stark, and Neal McDonough made his presence known despite very little screen time. Sebastion Stan was also quite good as Bucky, although he wasn't quite as memorable as many of the others.<br/><br/>Visuals and Action.<br/><br/>My feelings on the visuals are mixed. I was hoping for a bit more of a photo-realistic feel, but it instead looks a bit too much like ""Sky Captain and the World of Tomorrow"" (a movie whose visuals I like very much, but would prefer to be a novelty, not the norm). That said, the use of wide lenses did help make it look more real than many other movies with such massive amounts of CGI. The color in many scenes is quite good, or at least by today's standards. I did dislike the muted color used in some of the winter scenes, though. I wish they had gone for more of a Technicolor look, but I'm pretty satisfied with the look of the movie, except for the winter scenes.<br/><br/>I didn't like the action montage too much, as it had some slow-motion effects, as well as giving off a feeling that you're being cheated out of some scenes. I also thought that the motorcycle-chase felt somewhat rushed. Other than that, however, I did like most of the action scenes. The Kruger chase, Cap's first mission, and the final fight with Red Skull were standouts.<br/><br/>I would have preferred that the HYDRA soldiers' uniforms look a bit more Nazi-like, but the look they have works well. Red Skull doesn't care about them as individuals. He is the Hydra, and they are merely his many identical heads. Thus, their faceless, almost robotic look works very well. <br/><br/>Music.<br/><br/>Silvestri's score is the best superhero score in years. His main theme unfortunately doesn't have the ""flow"" that some of his better works do, and seems a little clunky at first. But after you hear it a few times, it grows on you. It's now stuck in my head. Overall, Silvestri's score hits all the right notes, and captures menace, adventure, and every other mood required of it, while having actual themes. Media Ventures, eat your collective heart out.<br/><br/>Writing.<br/><br/>The humor was great throughout. The levels of ""heart"" were set to maximum. The romance, although sparse, was memorable. Everything was portrayed swiftly, without padding, The plot was very well thought out. Memorable lines and scenes abound. Overall, the writing was excellent. Some things that I particularly liked were Steve's journey from shrimp to super-soldier, the USO scene, Cap's first mission, the role-reversal with Bucky, and the romance. I also liked how Red Skull was his own boss. It gave him more menace. Plus, using HYDRA ironically makes it feel more historically accurate. Having Captain America defeat the Nazis would mess with history too much, and having him lose to them just wouldn't do. All I really disliked were Bucky's death and Captain America getting frozen alive. That could work well in some movies, but a 1940s-style adventure of this sort just cries out for a happy ending. Plus, the modern-day bookends detract from the overall atmosphere. Still, the final scenes were poignant, although out-of-place.<br/><br/>9/10."
"contractorjohn2003","6","423","680","23 July 2011"," Strong start, then quickly ran out of steam.
","Joe Johnston has done it again, managing to take what SHOULD be great action flick material and managed to make it, well, boring.<br/><br/>Don't get me wrong, the film started out quite well. The change from puny wimp to super hero was well done, as was the intro sequence with red skull. The whole nazi-mysticism mystique was done very well. But it seemed that after Joe Johnston filmed these two or three well thought out portions, the rest of the film was just filler.<br/><br/>I caught myself looking at my watch a few times, just sort of wanting the movie to end - and this was at the 1/2 point of the film. The action sequences are fairly average for the most part and I really never got that ""edge of my seat"" feeling as the characters faced peril.<br/><br/>All in all, an above-average film which could have been great if someone with better directing chops had been chosen.<br/><br/>6/10"
"OrsonLannister","5","347","556","25 July 2011"," Concerned: Did I watch the same ""Captain""?
","I had been looking forward to Captain America for about a year, and I decided to make it the first premiere I'd go to all summer. I got a group of ten friends and showed up hours early with Captain America merchandise and enough caffeine to stay up through Lord of the Rings in its entirety.<br/><br/>What happened?<br/><br/>Every single person in my group was disappointed. Needless to say, we still enjoyed ourselves, and I wasn't even expecting much, (Jumanji and Jurassic Park III at the top of the director's credentials), but, man, I couldn't help counting the flaws throughout the film.<br/><br/>Positive: Chris Evans was surprisingly convincing. Also, our hero was truly inspirational (if not corny). The sets were nice, and the other stars filled their roles well. I was well entertained, and the first half flowed nicely.<br/><br/>Negative: Oh, lord. I'll try not to nitpick. Most glaring was the absolute pathetic villain. Hugo Weaving (a great actor who manages to give his character some, well, character) plays a downright cheesy, sappy, crazy, and so un-menacing-its-not-even-funny chum nicknamed Red Skull. His back story is never laid out and only hinted at a few times, his followers are faceless drones with advanced weaponry but the brains and aim of stormtroopers, and his intentions are ridiculously stupid and unexplainable (his target is ""everything""? Oh, please). He was never threatening and never endangered our hero, not to mention his death was as anti-climatic as they come (Voldemort, anyone?)<br/><br/>Also obvious is the cliché invincibility of the Captain. He leaps twenty feet as flames engulf him, he fistfights scores of goons, blows up crap all over the place, and never once gets seriously injured. Suspense? Apparently, there's no need when you have patriotism!<br/><br/>The technology was just plain silly for its era. Leaving out the cheesy blue-shooting things (something to do with the gods? I don't know, it was kind of weird), there are spycraft, tanks the size of mansions, helicopters that look like spacecraft, single-person submarines, and (my personal favorite) manned bombers in the shape of bombs. Are they suicide bombers? Apparently.<br/><br/>There is no attachment to the characters (anyone blink when his best friend died?), there are loads of forgettable scenes (notably the war montage of which the trailer consists, which might have made a good movie, I might add), and clichés (love interest walks in on random kiss, etc.) and downright sloppy pacing galore.<br/><br/>I must stop here, but seriously, 8.0? Not even close. Enjoyable fare, but nothing to think twice about. Here's to hoping Joss Whedon improves upon Chris Evan's Captain in 2012."
"Al_The_Strange","8","111","170","8 August 2011"," ""A weak man knows the value of strength.""
","With the imminent ""Avengers"" movie coming next year, only one hero's origin story remains untolduntil now. Falling in line with ""Thor,"" ""Iron Man,"" and ""The Incredible Hulk,"" ""Captain America"" showcases the rise of Steve Rogers as the title character. Unlike the other films, which take place in modern times, this one goes way back to WWII, showing the Captain kicking Nazi butt! With a lot of ""Wolfenstein"" style occult mystique and a slight ""Indiana Jones"" sense of adventure, this movie has a number of solid action sequences, and plenty of imaginative special effects and setpieces. With its references to various characters and concepts of other Mavel movies, it fits into the franchise really well. It might take some stretch of the imagination to believe that Nazis could be this futuristic, but for a superhero movie, it's all good fun.<br/><br/>The story in this case is pretty solid. The main character shows strong development, and for most of the movie, you really root for him. There's nothing more thrilling than watching the underdog getting the upper hand. As it goes on, much of the character drama and story development gets pushed aside by the action, but it still works. By the end, voila, we have the lead-in for the ""Avengers"" film.<br/><br/>If there's any complaint for this film, it's that there could have been more. Whether it needs a stronger action setpiece or a more invoking sense of drama, I'm not sure, but something seems missing, and nothing really makes this film stand over any of the other superhero films that have come out so far.<br/><br/>The film is competently made, with decent (but never exceptional) photography. Editing is good for the most part, but I am not a fan of the montage in the middle of the film that makes the entire war campaign whiz by. A couple of action scenes seemed a little sloppily-edited, but it's hardly noticeable. Acting is swell; Chris Evans is surprisingly strong as the main character, and I enjoyed Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Stanley Tucci, and Hugo Weaving in their roles. Writing seems pretty good. Production value is high, featuring lots of good (if not overly-slick) sets, props, costumes and special effects. Music is appropriately upbeat and adventurous. In the end, I'd say the film met my expectations, but never fully exceeded them. But it, along with an all-too-short sneak preview after the credits, provide the necessary bridge to the ""Avengers"" film.<br/><br/>Recommended.<br/><br/>4/5 (entertainment: 4/5, story: 4/5, film: 4/5)"
"TourettesPersonal","8","214","372","29 July 2011"," Retro Blast
","Captain America: The First Avenger is a pretty decent film by its own merits. Showing the good old retro style and production design, since this film is directed by Joe Johnson who is capable of portraying the old times perfectly. Chris Evans did a great job as Captain America. Some of the action scenes are disappointingly unexciting but at least the CGI effects are eye candy. The movie ends with true patriotic heroism and full of heart. Definitely not new but it's still enjoyable.<br/><br/>The trope of Captain America: The First Avenger has been reused by so many superhero movies. A good guy who is a weakling became powerful then eventually saves the day. It's definitely not innovating even for the people who've never read the comics but it's a relic. Well made production design & the old fashion score. Most battle scenes are montages. The action scenes are large. It can be watchable but some of them are pretty bland and poorly directed.<br/><br/>The joys and the thrills mostly goes to the performances. Nothing goes wrong with Chris Evans. He did a decent job as Steve Rogers/Captain America. Hugo Weaving is fun to watch by his campiness and menace for the Red Skull. Tommy Lee Jones is the comic relief here. The special effects are everywhere. Skinny Chris Evans and the background of the 1940s. Well, they are good enough for this film.<br/><br/>Plenty of things worked in the end. Captain America: The First Avenger is a relic in its old fashion style but a little messy when it comes to the editing of the action scenes, but it's still enjoyable. Patriotic heroism, full of heart, Chris Evans, and decent production design. Marvel Studios and Joe Johnston really beats the awful 1990s version. The action could have been better but their flaws can be ignored. It's fun enough as a superhero movie."
"BiiivAL","8","108","185","8 June 2018"," ""Captain America - all hysterics"" ©
","For a long time I did not write reviews with sarcasm. So the skill is not lost for long ... And just then a worthy candidate came out - the concentration of Pathos in it is the same as the calories in the cake.<br/><br/>A bit about the previous set of pictures. When gangsters ravage America, masked people begin to clear the streets and return the money of depositors to savings banks. When in America there is a desire at least somehow to take part in the European military conflict - masked people make landing operations into the deep rear of the enemy, demonstrating that only the star-striped forces know how to fight. Actually, the original idea: we have a very correct morally and physically strong soldier, and you all hide behind his shield - safely migrated from the old comic book into today's movie.<br/><br/>It's fun to watch how the directors mask political agitation. Even the name removed the post with a residence permit. As if to the Russian spectator who is not in the tooth with his foot, what kind of ""Avengers"" are out there for 2012, it's not possible to reach the Wiktionary. No, in advertising materials it was necessary to move as far as possible ""Uncle Sam"", which in the film is so much that it becomes ridiculous. Eloquent posters ""I want you"", ten pieces of proud flags, a song and dance number in support of morale - but with emphasis on the strong will of the rickety ""simple guy from Brooklyn,"" he is recruited by the international (from the continent to the subject) , and the plot is torn down, before reaching May 45th. Why was it so easy to blame and reduce the degree of humor? Ideal picture for the final tape: SC, accompanied by a company of elite handsome Americans, thundering the Berlin bunker of Hitler and killing him, forcing him to listen to the US anthem.
Then the template story would fit perfectly: the evil nehrist finds an ancient and powerful artifact (the top of originality, right?) And tries to direct its power to the destruction of the old world. Massively stamps Tesla-guns, power tanks, mopeds, submarines, ""stealth"", the first tests are conducted on the sagging superiors, and all this for a couple of weeks at seven military sites scattered throughout Europe. The production is multi-purpose, since there is nowhere to screw the workpieces - the main hero attacks the bases, breaking everything down to the foundation, and, most importantly, the workshops are always ready to explode. But everything in the factory is environmentally friendly - it burns, it flushes, but no carbon monoxide is released, and the heroes breathe normally, they talk (super-people, yes, they can not).<br/><br/>The main villain has a clearly worked out plan based on a technology that no brain can comprehend. There is a legion of soldiers, whom I can only call ""stormtroopers"". So stupid and harmless for the protagonist of the Nazis was not even in the ""Indiana Jones"". Here, at the first appearance of the correct guys with guns, they pretend to be hoses and stacked in stacks. The first assistant is ready to pass strategic plans for a plate of food. Is not it brilliant idea that a bad supermund in his lair to his soldiers pushes a speech in English? After all, they will soon be imbued with those great ideals of their underground organization.<br/><br/>Generally funny inconsistencies in the movie car. A single submarine sailed behind a group of bad saboteurs (and logically, all but one were shot in advance). In the newspapers there is a picture of the hero with the door from the taxi, which, given that the cameras of the 40's is not a modern figure, but the tables on the legs, and the action-scene lasted about fifteen seconds, no one could do it, especially so clearly.Usually actors engaged in comic sets, even to praise for nothing - they just serve time in the frame. But this time a pleasant exception - the basic composition of familiar surnames perfectly rasproboval comedy stuffing tape and tried not to spoil it. Chris Evans was supposed to play a warrior with a code of honor and a sympathetic heart, and he qualitatively makes a frozen face in a heroic setting, but thaws with facial expressions and gestures during dialogues. Haley Atwell is responsible for the romantic component (symbolically arising after the acquisition of the hero pumped biceps), and in the romance the main thing is to look good. Therefore, the case is bright red lipstick and other mandatory make-up, successfully diverting the viewer's attention - it does not matter to him that in places the emotion is not reached to the level required by the stage.<br/><br/>Shikaren Hugo Weaving with his falsh accent, which, most likely, will disappear in dubbing. Yes, if it remains, the voice will still not be the same, but it was the voice of the Australian that ""animated"" Agent Smith from the ""Matrix"", Megatron from the ""Transformers"", ""V"" from the same neonoire ... The main villain will lose a lot when localizing, alas, this inevitably - we will only have to look at the red computer face (well at least only from the second hour of the film). Tommy Lee Jones noted in the role of a kind and adequate colonel, in the view of which there is always a sparkle ""yes, yes, I understand everything"". Stanley Tucci and Toby Jones appeared in the image of German geniuses, separated by the front line, and Stan Lee ... Well, he as always, somewhere in the picture appeared for five seconds.
Three-dimensional graphics ... Music ... It was all, but it was not created as a separate layer of glaze, but as a cellophane package - just like a package that does not deliver any pleasure. It's not necessary to go to 3D, except in scenes where a round shield flies along a closed path, it's not impressive. Understand where the good, and where the ""storm troopers"", you can and on a simple screen (thanks to the sane operator and sane editor). According to the stylistics, the stellar composition, the absurdity of everything that is happening in the frame, the tape is very close to the Cobra Brooch, and even closer to the League of Outstanding Gentlemen. So with the preliminary assessment (go / do not go) I recommend doing a retrospective on these pictures, and also not to lose sight of the fact that all this is a preparatory stage for the ""Avengers"", where already there will be solid berries ... Continuous cloudberry ..."
