"username","rating","helpful","total","date","title","review"
"wxid","6","73","103","21 September 2004"," Mildly amusing, but no bite.
","Shark Tale is doubtlessly going to be endlessly compared to Pixar's ""Finding Nemo"". It is unfortunate that Shark Tale comes out the lesser of the two movies, but truly comparing the two is generally a fruitless exercise.<br/><br/>Opening with a detailed dive into the city of the fish Shark Tale presents a world of sight gags and moderate puns. From the star fish walk of fame through the dolphin police, through to the shots of ""the top of the reef"", the sequence is a bustling hive of activity. At this point I would make one valid comparison with Nemo - the graphics. Shark Tale fails to really seem as if anything is happening underwater. Yes, there are fish in the shot and yes everything intellectually should be under the sea, but where Nemo oozed and flowed in a very fluid vista Shark Tale shows colour and spectacle, but without that organic ocean feeling. This is not to say Shark Tale's graphic work is bad, simply that it does not feel waterborne.<br/><br/>With that aside, the cartoon images in Shark Tale are well presented, with the anthropomorphic fish taking on the facial characteristics of their voice actors. Never has (or will) a fish ever look more like Wil Smith , or acted like him. This is Wil Smith in full Fresh Prince wise-cracking mode made piscine in Oscar. Renee Zellwegger is instantly recognisable in her fish counterpart Angie, as is the vampy Angela Jolie (Lola).<br/><br/>The story itself revolves around Oscar's passage from an unhappy, dreaming, nobody to a famous, unhappy, somebody to a happy nobody. It's a generic, oft-repeated tale, albeit set in a world full of mafioso sharks, vengeful shrimp, and whales with poor personal hygiene.<br/><br/>As such, the story itself is both predictable and can be safely ignored. You can feel each step of the way long before it hits the screen. It has no surprises, and so the movie resorts to banter and set pieces to amuse.<br/><br/>It doesn't often succeed with these. Of the set pieces the shark funeral is by far the best part of the movie. It is hilarious and somehow moving at the same time. Lenny (Jack Black) and Don Lino (Robert De Niro) make an amusing scene in a restaurant debating with the food. The remainder, including Oscar's big fight scene, are generally uninvolving unless you have an interest in keeping an ear and eye out for the multitude of pop references - many of which are simply thrown in for no reason other than that somebody thought they should be there. Oscar's non sequiturs at the end of the great shark fight are particularly pointless and unfunny.<br/><br/>Some in jokes and references do work - having Ziggy Marley solemnly tell Oscar (Smith) that he's singing reggae wrong is clever. Some gags also work - the pizza ordering Octopus is a gem.<br/><br/>But despite playing heavily on racial stereotypes the movie as a whole feels rather bland - as if it was designed by marketers and a committee rather than by people who had a funny tale they wanted to tell.<br/><br/>The actors supplying the voices vary in effectiveness. Wil Smith is effectively Wil Smith, love it or hate it. Zellwegger gives a decent, if shallow, performance as the love interest, and Jolie's Lola is barely on screen long enough for her to make an impact. De Niro makes the movie as Don Lino, shark godfather, and without his presence it would be fair to say that the movie would simply be too weak to sustain interest.<br/><br/>The music is very MTV, and the end song sequence is atrocious - though kids will probably love it, parents should bring ear plugs for the time when Oscar releases ""Missy and Christina"" until you leave the cinema.<br/><br/>Shark Tale offers an amusing hour and a half for the children but a rather predictable and only occasionally amusing time for adults. It lacks the magic, sparkle, and dare I say bite, that was so desperately needed.<br/><br/>Six starfish out of a possible 10."
"Avwillfan89","10","19","24","4 April 2010"," Awfully underrated
","This animated story is set down in the ocean with the main characters as fish and mollusks. The story is about a unsatisfied tongue scrubber, Oscar, who works at the whale wash, owned by a blowfish, Mr Sykes, who has connected deals with local mob boss Don Lino. Both of them are literally in deep with the sharks. Oscar owes a huge and overdue debt to them, and his co-worker Angie, secretly in love with him, offers him the money to cover it, but he blows it all on a seahorse. Meanwhile, Don Lino is concerned about the image of his son, Lenny, who refuses to eat meat. He sends his other son, Frankie, to teach him how to hunt. They spot Oscar being tortured by Sykes's jellyfish henchmen, Ernie and Bernie and Frankie sends Lenny after him to gobble him up, but he just can't bring himself to eat a fish. Enraged, Frankie speeds after Oscar and is stopped by an anchor that lands on him and fatally wounds him. Lenny, distraught with grief and guilt, swims away. Ernie and Bernie then find Oscar beside the dead shark and assume that he killed him. Oscar now realizes he can take advantage of this and makes up a story that instantly brings him fame and fortune, and winning the heart of a beautiful but shallow lion fish, Lola. However, Don Lino, angered over the loss of his son, vows to find a way to get to him and make him pay.<br/><br/>The message basically shows that Oscar, not knowing that Angie loves him, doesn't realize that he never needed to be at the top of the reef to feel good. Anyone who has good lives, making a good living and hanging out with friends, always want more out of life, and only once they loose the good life they had before, do they realize it. I think a lot of people can relate to that. This film has the best cast ever. The fact that all these brilliant actors are together in one film is what makes it worthwhile to watch. Robert De Niro, Will Smith, Martin Scorsese, Angelina Jolie, Renée Zelweger and Jack Black. I loved this film so much that I became obsessed with all the actors who appeared in it. It introduced me to Mafia films, which of course contained some of the best in all of film history. It also has an excellent soundtrack full of brilliant music, which in my opinion, is a thing a great movie has to have.<br/><br/>Unfortunately, this picture has now become terribly underrated, so much that people don't even want to hear about it anymore, let alone praise it. After Shrek, Dreamworks produced this great film, then a second Shrek (not as good as the first one, but better than the third) and Madagascar. The latter, though compared to Shark Tale, was a disappointment, it became one of the last last good movies that Dreamworks Animation released. They just seemed to have lost it now. Even the acclaimed How To Train Your Dragon, which was much better than some of the previous Dreamwork films, lacks anything exceptional. Only Kung Fu Panda and Megamind seems to capture the real essence of Shark Tale and the first Shrek. They always mention Shrek and Madagascar in their new films, but never Shark Tale, which is a real shame. When you look it like that, there's really nothing bad about it. It's a funny comedy that really lifts your spirits. Pixar often continues makes outstanding movies, but I'll always remember this one as the film that introduced me to the real masterpieces of cinema."
"hanik_1999","9","50","73","14 June 2005"," Those other reviews are bull; this movie is great!
","I have to confess my shock at seeing the 5.9/10 average rating for this movie and overall mediocre reviews. This movie is great! And I'm not a kid, either...I'm 26 years old and thoroughly enjoyed this movie at the age of 25. The soundtrack is unbelievable and fits in seamlessly with the action and comedy of the movie. You really have to hear Mary J. Blige's rendition of Cheryl Lynn's classic disco anthem, ""Got to Be Real."" Anyway, besides the fantastic soundtrack, every character in this movie matches beautifully with his or her celebrity voice. I particularly enjoyed Will Smith's and Martin Scorcese's characters; brilliantly done. Really, if you're looking for a fun, enjoyable movie that you can laugh and even dance along to, this is the movie for you. Young and old alike should enjoy this. I've seen it 3 times, and always have a good time watching it. Watch it!"
"baba44713","5","84","134","21 December 2004"," Not too bad, but not too good either.
","Round two of the Pixar/Dreamworks choose-a-theme competition scores once again for Pixar.<br/><br/>Remember when a few years ago there were two animated ant movies to choose from? I think they even came at the same time in the theaters in my country. One was AntZ, the other was A Bug's Life. The first one was rumoured to be more suited to adults, the other a kiddie movie. While that statement had some merit, at the end it turned out that A Bug's Life was a far better movie entertainment-wise, despite cuter characters and simpler story and all that kiddie-like appearance. AntZ were just plain dull.<br/><br/>Pixar seems to like choosing a simple story, one that a kid can understand, and than building upon it creating a wonderful movie for all ages. Dreamworks builds his scripts on pop-culture references and more adult themes, and while it works sometimes (Shrek was fantastic), at other times it just falls flat.<br/><br/>Some say it's unfair to compare Finding Nemo and Shark Tale, them being totally different movies with the only matching characteristic being antropomorphic fish, but it seems that the comparison is inevitable. It's the ants thing all over again. Finding Nemo was simply wonderful, great movie with a perfect sense of humour and memorable characters. Sure, they were cute and cuddly, but they had a soul.<br/><br/>Shark Tale, again, tries to appeal to the adults, but this time the results are even worse. The characters are not so important as the cast is, even so much that we are being sledgehammered on the head in who's playing who. A word to the wise - I don't care how big the names doing the voicework are, I want to immerse in the movie's story. When I saw Shrek, I didn't see Mike Myers and Eddie Murphy there, I saw Shrek and Donkey. Here I see De Niro, Smith, Scorsese and so on. At one point I even caught myself wondering why the other fish keep calling Will Smith ""Oscar"".<br/><br/>As for the story, it kind of drags along. I couldn't really sympathize with the lead character - he is at the same time stupid and so full of himself that I didn't care about his motivations or the messes he got himself into. Also, somehow the story didn't map so well in the underwater world. What is the Shark mafia exactly ? Are they supposed to be predators or criminals? Basically the mafia thing is here only to serve as a playground for mob-movie references, but it serves no purpose story-wise. Also, the entire world seems very unbelievable. Flahing electrical neon signs? Fire hydrants? It actually backfires, since instead of getting a kick out of fishes living like humans, mostly you feel like you're watching an alien movie, with the aliens resembling our world's fishes in some ways.<br/><br/>All in all, I did enjoy the movie, but only in the sense that I didn't feel cheated out of my money. A couple of the jokes worked, some pop-culture references were funny, the movie was not too boring. But when I remember that after Nemo or Incredibles I was smiling even a few hours after the movie, then I see that Shark Tale ain't what it possibly could be. It's just a popcorn movie, easily forgettable. And rightfully so."
"TheLittleSongbird","6","17","23","10 May 2009"," Nice to look at, but I have seen superior animated films...
","I did like Shark Tale, but there is a lot wrong with it. I did think the animation was very nicely done, and I liked the references to Jaws and Godfather. But I do think that Finding Nemo was much better than this. Shark Tale could have been a great film, had it not been devoid of humour and heart. My first problem with the film was Will Smith. He tries to be funny, but as the film progresses, he gets tiresome, and at times you feel like you want to reach into the screen and put a hand over his mouth. There were times when the script was funny, and there were some nice ideas, but the pace of the whole film was uneven. The characters could have been developed a lot more, particularly Lenny(a nice surprise from Jack Black), and whereas there were a number of nice visual jokes, there is some very over-familiar material in the script. Kids may find the sharks a bit frightening, and adults won't find much to enjoy, with the exception of the talented voice cast, such as Angelina Jolie, whose Lola(a very beautiful fish) was one of the better characters, Rennee Zellwegger, who deserved better than she was given and Robert DeNiro, whose shark was just a caricature of the Godfather. Though it is Martin Scorsesse who gives the most entertaining vocal contribution. And I did like the music score. All in all, it is nice to look at, but there are some parts of the film that aren't as interesting as intended. I did like the film, but I was kind of confused at who it was aimed at. 6/10 Bethany Cox."
"Boba_Fett1138","8","40","61","12 February 2005"," Adults will like this movie better than kids.
","It could be just me but I thought that the humor in this movie was perfect. I laughed lot's of times throughout the movie and was very entertained by it. I however think that this movie will not be loved by young children, they simply will not be able to understand most of the jokes and the movie also lacks some 'likeable Disney type of characters' for them.<br/><br/>I never was really interested to go and watch this movie since it got lot's of bad reviews and I thought that the trailer looked horrible and very unfunny. I however decided to pick up this movie nevertheless because I was interested in how the famous voice cast would pull off, Martin Scorsese in particular. I was pleasantly surprised when I watched the movie. the humor was spot on and I was entertained the whole time. I know lot's of people probably are going to hate me for this but I thought this movie was even better and more entertaining than any of the two Shrek movies.<br/><br/>The movie doesn't have a whole lot of story and is pretty average in every way. I however feel that this is one of this movies were the story really is secondary. The movie has your average love story, in which Angelina Jolie's character is really unnecessary and adds absolutely nothing, in my opinion but watching Robert De Niro's character scream and shout and giving orders to Martin Scorsese's character on the other hand was absolutely priceless.<br/><br/>Will Smith was a great main character and just as entertaining as Eddie Murphy in an animated movie.<br/><br/>I predict that the music in this movie will be absolutely hated in 20 years by now, just as much as I hate '80's music in movies now. No, I really didn't liked the songs in this movie mainly because in unlike the Shrek movies, they aren't any evergreens.<br/><br/>If you plan to buy this movie for your kids, think twice, you're probably better of watching ""Finding Nemo"" with them. If you're a adult or young adult that likes animated movies, this movie might be worth your time and money, although the humor in this movie is really a matter of taste.<br/><br/>8/10<br/><br/>http://bobafett1138.blogspot.com/"
"Victorious_One","9","33","50","11 September 2005"," Deserves a Higher Rating
","I just can't understand why ""Shark Tale"" is so underrated. I have watched this movie about 3 times and yet, I still can't get enough of it. The fact is that the characters were very entertaining, the animation was brilliant, and the story was great and was sending messages along with it, such as accept your destiny, be happy with who you are, accept others for who they are, and you don't have to live ""on top of the reef"" to be a ""somebody."" This movie also exposes us to the pop culture. What more does this movie need to to make it a good one? I mean this movie has it all: laughs and everything. Then why is it so underrated? I really don't know. I do know though, that ""Shark Tale"" is one of the best movie I have ever watched."
"Stampsfightclub","7","4","4","27 October 2006"," Predictable but funny and engaging animation for the family
","With an all star cast including Smith (bad boys) De Niro (Taxi Driver) Zellweger (Bridget Jones) and director Scoursese (Goodfellas) this 2004 was lined up to be a smash and despite its criticism I enjoyed watching the amazing effects, cheesy jokes and acceptable plot. <br/><br/>The cast lend their voices to the spirited sea creatures. The beginning of the story is really amazing. A typical animation move, taking audiences around the scenery. With many jokes as 'play on words' e.g. Coral Cola the audience are awarded cheap laughs and wonder how the producers come up with these ideas, its conventional but I believe its a technique that all audiences appreciate. <br/><br/>Its an inconsistent plot with many engaging scenes but many questionable scenes. After the beginning you wondered is Smith's cool character Oscar was being given too much camera time. Once Zellweger's conventional boy-fish wanting fish came into the story did a sense of predictability arise. <br/><br/>However its one of those films you know is awful but you enjoy it anyway. It is engaging because you wonder how the characters are going to fare with each other. The relationship between the under sea creatures is healthy and believable but always enjoyable to observe, despite maybe some people saying its predictable, clichéd etc. <br/><br/>It's a slow moving story with typical human like ideologies put forth by director Bergerson. Money, family loyalty, betrayal, friendship and trust are all encoded so audience's can appreciate the film. <br/><br/>There are a few twists used, perhaps in the wrong way but are still interesting to observe. The ending is atrocious. Never in my life have I seen a film end so badly. I was shaking my head and couldn't believe it. The soundtrack to the film is amazing. Upbeat energetic pop and reggae music are used for a variety of uses, mainly to encourage the scene to be enjoyable. <br/><br/>There is never doubting the effects which are stunning. If you want any proof then observe De Niro's shark character which looks exactly like him. <br/><br/>a film for the whole family - not the best animation but still enjoyable for cheap laughs and funny characters"
"filmbuff-36","4","118","204","2 December 2004"," Lifeless product of Hollywood groupthink, devoid of even the slightest inspiration
","Had ""Shark Tale"" had even an iota of the wit and charm that seems to have little trouble finding its way into Pixar's creations, the movie might have been more enjoyable. At the least the filmmakers could have snuck in some funny social commentary through the veil of animation.<br/><br/>What we have instead is an urban, glib, lifeless product that is market-tested and ready for consumption. An empty ghetto-fabulous morality tale loaded with pop culture references and plenty of bling-bling but no heart.<br/><br/>Under the ocean, Oscar (voice of Will Smith) is a tongue-scrubber at a ""whale-wash"" and part-time hustler. He wishes for a better life, hoping to swim his way to the top of the fish social ladder, though his coworker Angie (voice of Renee Zellweger) thinks he should be happy with who he is, and tries to subtly drop hints that she's quite taken with him.<br/><br/>Meanwhile, great white shark and local crime boss Don Lino (voice of Robert De Niro) is planning to turn his family business over to his two sons, Frankie and Lenny. But Lenny (voice of Jack Black) is harboring some serious issues concerning eating other fish, and the godfather is worried his weak son with reflect poorly on him.<br/><br/>Oscar has problems. In debt to his boss Sykes (voice of Martin Scorsese), he soon ends up in hot water. However, fate runs him smack into Frankie and Lenny. During the scuffle, an anchor accidentally kills Frankie and Oscar is mistakenly given credit for the kill. Now a media celebrity for being a ""shark slayer,"" Oscar rides his status all the way to the top, with Sykes managing his interests and the sharks fuming that their top spot in the food chain is quickly losing its power.<br/><br/>Situations soon escalate and Oscar and Lenny reach an agreement: if they fake a battle and Oscar emerges triumphant, he can keep his credibility as a shark slayer and Lenny can start a new life.<br/><br/>""Shark Tale"" openly references ""The Godfather"" and ""Jaws"" at every opportunity, which in and of itself isn't too bad except that so little is made of the main plot itself that the whole move feels like a patchwork of other, better movies, just with a meaningless hip-hop attitude. The special effects are up to par but there's nothing really special about them. The audience needs a story and characters, not just choreographed dance sequences and goofy product placements.<br/><br/>All this might have been negligible had the movie actually been funny. This, sadly, is not the case. I only recorded one good laugh during the screening I attended, and that involved a shark voiced by Peter Falk whose flatulence had the expected effect on a henchmen. When a fart joke is the best you have to offer, then you've got serious problems.<br/><br/>The story also steals shamelessly from the 1942 Disney cartoon ""The Reluctant Dragon,"" which featured a fixed battle between a loudmouth braggart knight and a pacifist dragon to keep the locals off both their backs. That story was at least short and cute, neither of which can be said about this debacle.<br/><br/>Along with the plot, voice acting is pretty lifeless as well. Smith gets to indulge his ego, playing his own persona on screen once again, this time in fish form. De Niro and Scorsese seem to be having fun spoofing their own tough guy roles, but that's about it from them. The biggest surprise is how much of a laid-back performance Black gives. His trademark manic desperation is nowhere to be seen, playing instead a shockingly normal character. Had he cut loose, the scenes he's in might have been more enjoyable. What's stranger is his hiding of his vegetarian leanings from his dad is handled like an allegory for a gay person coming out to his parents.<br/><br/>When is Hollywood going to realize it doesn't matter how many famous actors you get to do voices for your characters; if the story sucks, then no amount of acting talent is going to save it? There are three Academy Award winners in this cast, just don't use that as a benchmark for excellence.<br/><br/>This all amounts to another animated project from DreamWorks high on energy and low on inspiration. After ""Spirit: Stallion of the Cimmarron,"" ""Road to El Dorado"" and ""Sinbad"" all tanked, it's clear that the ""Shrek"" series is the only good thing the studio has going for it right now.<br/><br/>Of course, there's no escaping comparison to that other computer animated fish movie, either, and that's when this film looks most wanting. Where Pixar's ""Finding Nemo"" swam the full depths of the ocean, ""Shark Tale"" seems content to just tread water in the wading pool.<br/><br/>4 out of 10 stars. Pretty to look at, but any movie that tries to push this much ""coolness"" down your throat is just asking to be despised."
"The_Orenda","4","64","106","14 November 2004"," Something was missing.
","I can't explain why I didn't like Shark Tale too much. Visually there is a creative backdrop which is absolutely beautiful. I wonder if they just took pictures of New York, doused it underwater and worked around the scenery. Because with the exception of that imagery, Shark Tale has a very loud, very brash, in-your-face mentality that takes away from the movie. Other features like The Little Mermaid and Finding Nemo invite you to the paradise of being under the sea. Shark Tale throws you in the middle of the loudest club and tells you to get down on it. I don't buy it and with the exception of some visual gags, nobody else could neither. This is also another movie where Will Smith can get back into his Fresh Prince gear and get away with it and Jack Black could play a gender confused shark and be accepted for it as well. I wanted to enjoy the scenery and the sight of an underground New York. Shark Tale offered it but instead beat us silly with all the hoopla we see everyday on the television set. What a disappointment. Enjoy the humor and expect nothing more."
