"username","rating","helpful","total","date","title","review"
"Brambo","10","857","1255","11 September 2004"," Review: Ensemble cast delivers top-notch performances in reflective drama
","In a drama strikingly reminiscent in style and tone of P.T. Anderson's film Magnolia (1999), the narrative in Crash shifts between 5 or 6 different groups of seemingly unconnected characters, whose relationships to each other are only revealed in the end.<br/><br/>Not to be confused with the David Cronenberg feature of the same name, this Crash is the feature-length, studio-released directorial debut of veteran Canadian TV writer/producer/director and two-time Emmy-winner Paul Haggis. An in-depth exploration on the themes of racism and prejudice, cause and effect, chance and coincidence, and tragedy, ""crash"" is a metaphor for the collisions between strangers in the course of day-to-day existence. Set over a 24-hour period in contemporary L.A., it is a social commentary on the interconnectedness of life in the big city.<br/><br/>Crash features a top-notch ensemble cast which includes: Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, Brendan Fraser, Chris ""Ludacris"" Bridges, Loretta Devine, Thandie Newton, Ryan Phillipe and Larenz Tate. All put in superb performances in a tight script which is at once gritty, heartwarming, shocking, tragic and witty, and which will ring true with viewers of all demographics.<br/><br/>Centering around two disturbing car accidents, a carjacking, vicious workplace vandalism, and the suspicious shooting death of one police officer by another, the drama is set against the backdrop of a racist LAPD and Los Angeles justice system. Action shifts between the various characters, whose lives collide with each other in unpredictable ways as each faces their own moral dilemma, and tries to cope with the consequences of their resulting decision made or action taken. Each of the dozen or so main characters undergoes some type of a personal metamorphosis as the various story lines head toward a striking, common conclusion, which succeeds at being both cathartic and unsettling.<br/><br/>Crash is backed by a solid and varied, original soundtrack and excellent cinematography. Sweeping, wider shots alternate with disjointed camera angles which convey the chaos and confusion of the characters and the unpredictability of life. Occasional lingering close-ups -- on occasion without sound -- capture the actors' facial expressions, which suitably detail key moments of the characters' aching pain, fear, anger, bitter anguish, remorse or grief, far better than any dialogue could.<br/><br/>This breathtaking film is destined to be a critical smash and box-office hit. Five stars."
"mercybell","10","667","985","13 May 2005"," Volatile Redemption
","""Crash"" is a complex movie with a simple premise: set in Los Angeles it follows 8 main characters (and many, many more supporting) from all walks of life and races whose lives intersect at some point during one 24 hour period. These people are all different yet all alienated, to the point of breaking, so much so that when they come together, things explode.<br/><br/>The complexity of the film comes from the encounters between characters and their tangled lives and worlds. Haggis' screenplay is so intricate and delicately written I couldn't begin to try to summarize the actual plot line (which destines this article to be kind of vague), but everyone meets everyone else at some point in the film (and there are a whole lot of characters). Sufficed to say these meetings are variably intense, casual, fleeting, dangerous, but they all effect the participants in profound and provocative ways, causing lives to find enlightenment or swerve violently, and watching it all unfold is mesmerizing because Paul Haggis (Oscar Nominated writer of Million Dollar Baby) made the film meaty with messy characters and topics and stories to chew and hurtle along with.<br/><br/>The all-encompassing theme of the film is racism, and it is dealt with bluntly, honestly, and without reservation. Every single character participates in the perpetuation of the ugly cycle but also suffers because of it. Where racism makes for an interesting enough subject for an already provoking and fairly experimental film (I was surprised to see this get wide release), it's only the catalyst for a deeper, resounding story of redemption and the universality of our lonely situation which the movie becomes during its second hour (what you could call Act II). It switches from a somewhat depressing contemplative amalgamation of moments about racism in everyday life and how destructive it is, to a throbbing, intense web of choices and consequences -- life and death, vivifying or soul killing -- and the chance at redemption.<br/><br/>Following their actions in Act I, everyone meets a fork in the road or is given a second chance of some sort. Some take it, some don't, but regardless, by the end of the movie everyone has changed. This is what gives the movie wings during its second hour, makes it interesting, keeps you guessing and on knife's-edge. It also gives the characters depth and souls and shows that despite perceived and upheld differences, when it comes down to it we aren't different (which we see in a shattering scene between Ryan Philippe and Larenz Tate after Tate notices that he and Philippe have the same St. Christopher statue), in fact we desperately need each other. It's one of the few films I've seen where everyone is at fault somehow and yet there are no villains. It makes it hopeful, particularly with something as ugly as racism: everyone's fallible, but everyone has the capacity for good and nobility. That said, each of these character's inner struggles makes for all the conflict and resolution you need.<br/><br/>A talented ensemble drives the film, sharing almost equal amounts of screen time, but the folks who really stood out and had my full attention each time were Terrence Howard (plays a TV director), Matt Dillon (as a patrol cop), Sandra Bullock (a rich housewife), , Don Cheadle (a detective), and Michael Peña (a locksmith). These five gave deeply, deeply felt performances portraying a wide range of emotions and personal situations, giving souls -- alone, yearning, and searching in a world that doesn't seem to care -- to shells of imperfect people. But the actors triumph in little moments of human contact: a glance, an embrace, a pause, a smile, a wince, things that breath the film to life and with simple visuals give it profundity. This is beautifully illustrated in a small scene between the downward spiraling Jean (Sandra Bullock) and her maid after she's begun to realize all her problems may not be about the two black guys who car jacked her, but her own life.<br/><br/>Some closing notes: it's obvious it's a debut. At times the dialogue and acting can be stilted and unnatural; some of the initial ""racial"" situations seem forced; certain scenes could have used some editing or fine tuning, but by the end I didn't care. It also may be helpful to know that the first hour spends its time setting everything up for Act II, although it will seem more like a photo essay on racism than a setup. But by the time Act I ends you're ready for something substantial to happen, and at the perfect moment, stuff happens. I was entirely satisfied with this movie, I couldn't have asked for anything more. Still it's impressive, with his debut Haggis made a film that magically maintains a storytelling balancing act about people's lives that almost seamlessly flows, takes an honest look at racism with an understanding of mankind, a belief in redemption, and even hope. As I walked out of the theater into the rainy night it resonated with me and colored my thoughts as I made my way through the crowds of unknown fellow people filling the cinema. That's about all I can ask for in a film."
"Vitarai","10","676","1028","1 May 2005"," Roller-coaster of emotions
","Like Altman's classic Short Cuts, and Anderson's Magnolia, Crash, by writer/director Paul Haggis weaves a tale of multiple characters through the web of streets we have come to know as Los Angeles. Unlike those other two films this one has a very specific theme to explore. From the opening line uttered by Don Cheadle we know this is to be a film about how people relate, and from the interchange that follows between Jennifer Esposito and Alexis Rhee (pretty sure she plays the Korean female driver who rear-ended her) how people relate tends to be ruled by first impressions or prejudice.<br/><br/>Race is paramount in this film, and all our preconceptions of who people are get twisted and turned through the intricate plot. With each new additional character we find another assumption, another stereotype, and then watch as that preconception is obliterated as the character develops. It is a credit to the deftly written script, tight direction and exceptional acting talent that every one of these many characters is fully realized on screen without ever feeling one-dimensional.<br/><br/>I would love to discuss some of the details of what happens to explain how well it is done, but part of the magic of this film is allowing yourself to be taken on this ride. Mind you, this isn't a ride of pleasure. The first half of this film is unrelentingly in its ferociousness. I could literally feel my rage at some of the characters forming to a fever pitch. The fear and hatred I was confronting wasn't just on the screen, but in the pit of my stomach. And in one absolutely brilliant moment I was literally sobbing at the expectation of horror unfolding, only to be cathartically released in a most unexpected way.<br/><br/>Mr. Haggis was in attendance at the screening I saw and explained that the idea for this film came to him one night sometime after 9/11 at about 2a.m. when his own memories of a car- jacking experience from 10 years before wouldn't leave him alone. Clearly this film was his way of relieving those demons of memory, using the catharsis of his art to unleash them and in doing so has given to all viewers of cinema an opportunity to examine our own preconceptions about race relations and how we treat each other and think of ourselves. He mentioned in the discussion after-wards that he likes to make films that force people to confront difficult issues. Films that ask people to think after the film has ended and not just leave saying: ""that was a nice film"".<br/><br/>This isn't a ""nice"" film, and I would expect that it will provoke many a discussion in the ensuing weeks when it opens nation-wide. It's a discussion long overdue for this country, and it took a Canadian to bring the issue to the fore in this brilliant, thought provoking film."
"heymikey1981","4","182","266","7 March 2006"," Great acting ensemble but the movie left a bad taste in my mouth
","THE GOOD: The acting were great especially Terrence Howard and Thandie Newton. Terrence Howard should have been nominated for Best Supporting Actor instead of Matt Dillon.<br/><br/>THE BAD: I'm a visible minority (non-white) and I have experienced some form of racism in my life. BUT despite my life experiences and the movie's subject matter, I would definitely NOT say that this movie is the best of the year, in fact, it's FAR from it. I have problems with this movie both from a moviegoer's perspective and from a visible minority's perspective. Some of my problems with this movie are:<br/><br/>(1) Poor character development (or none at all). Just because we saw extremes in a character, for example, Matt Dillon being a racist cop and being a good caregiver to his ailing father, that does not mean in any way that the character is well-developed. Yes, I admit that in a big cast ensemble like in this movie, it is quite difficult for every character to be well-developed, BUT that does not mean that at none of the characters should be like that.<br/><br/>(2) The dialogue seems really contrived to the point that I'm really surprised this movie won for Best Original Screenplay. They should show this movie in a screenplay writing class NOT because it's good but to show students and future screenplay writers what NOT to do. I just felt like I've been hit by the head over and over again how bad racism is. I get it.<br/><br/>(3) The plot seems so coincidental, it is laughable. What are the chances of a black car robber running over an Asian guy who also happens to be a human trafficker while entering his van, and that same black car robber ended up carjacking that Asian guy's van several hours later after he brought him the hospital, only to find out that the several Asians being trafficked inside the van just to show you that the black car robber has a good side after all? Or, what about that scene where a prejudiced upper-class white woman who fell down the stairs and all her prejudice and hatred vanished into thin air? If it was THAT simple, why don't we throw every racist in America down the stairs so they will have a change of heart?<br/><br/>(4) I think my biggest misgivings about this movie is the unrealistic view of racism. As someone who has experienced racism in my life, the realistic view of racism is that it is hidden rather than in your face. I've been refused to enter a supermarket because I'm not white. Did the store owner said because I was not white? No, he said the store was closing even though there were a lot of people shopping inside. Did he yell racial slurs? No. Racism in America is more hidden. Some cab drivers probably won't stop to pick you up because you're non-white but that does not mean that they will try to run you over or get out and say racial slurs. If a Chinese woman rear-ended me, I won't be saying ""blake! blake! Learn some English bitch!"". On the other hand, if I was a Chinese woman and I accidentally rear-ended a Mexican woman, I won't say ""Mexicans are bad drivers"" in front of her face. That's not how things work. Instead, I would give out my insurance info, say sorry, and go home and tell my fellow Chinese friends and family that Mexicans are poor drivers and make fun of them behind their backs. That is the real racism. It's hidden and not in your face.<br/><br/>Anyway, Crash is not original unlike what some people may say. The interlocking and interweaving story lines, plots, and characters have been done before. ""Magnolia"" is a movie that does this much better than Crash did and yet, it was never nominated for Best Picture at the Oscars. It had a stellar cast -- Julianne Moore, William H. Macy, Phillip Seymour Hoffman (who won best Actor recently), Tom Cruise, etc. It really boggles my mind how Crash was even nominated for Best Picture."
"asbufra@yahoo.com","10","599","977","23 April 2005"," There is Good and Bad in All of Us
","There is good and bad in all of us. This movie explores this like no other. It will make you think about the nature of bigotry and stereotypes. The characters switch from heavy to hero in a way that is deeply moving and exhilarating. It is TV drama style writing where several different groups of characters and plots interweave (Paul Haggis) but with none of the limits of TV, it reminded me of ""Hill Street Blues"" which from me is a big compliment. I am a Don Cheadle fan and he captures the role. Sandra Bullock plays against character and pulls it off with ease. The most impressive performance to me was Ryan Phillippe's. Almost every nationality in LA was represented and they all were interesting and realistic. The ensemble cast and various plots blend together and keep your interest. Cast is great, music is haunting, writing is superb. Go see this movie."
"billkwando","1","383","629","19 October 2005"," Insults intelligence and cheapens the message, if there is one.
","I saw this ""movie"" partly because of the sheer number of good reviews at Netflix, and from it I leaned a valuable lesson. Not a lesson about ethnic diversity however...the lesson I learned is ""Don't trust reviews"".<br/><br/>Yes, racism sucks and people are complicated, but the people who actually need to see this movie are going to be the ones who are the least drawn to it and least affected by it if they DO see it. The only reason that I can think of for the number of good reviews is that it's being reviewed by people who aren't used to thinking, or who've seen their first thought-provoking movie and somehow think that Haggis invented the concept. In fact, he basically made this film, which should be called ""Racism For Dummies"", as emotionally wrenching as possible, seemingly to give people who don't spend a lot of time thinking the impression that they've discovered some fundamental truth that's never been covered in a film before. Zen and the Art of Motorcycle Maintanence it's not... An after-school special for the unthinking masses, cut into bite-sized overwrought ham-fisted pieces to make it easier to swallow without too much introspection.<br/><br/>It's as if they portrayed everyone as being the worst possible extreme, simply to make us happy that we're such good people because we don't identify with the characters. Let's face it people. NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes). It's well acted (even if the dialog is atrocious) and cleverly executed, so much that you don't think to ask ""where's the beef?"" until you can tell the film is winding down. The flaming car scene was well executed, like much of the movie, but went nowhere in the end. <br/><br/>The messages are very heavy-handed, and from the ""behind the scenes"" blurb, the producers were clearly watching a different movie, because there is very little to laugh about in this movie, even during the intended funny parts. I have to stress that this is NOT entertainment, more like a high school diversity lesson...call it the ""Blood on the Highway"" of racism. They could even show this in high schools if it weren't for the ""side-nude"" shot of Jennifer Esposito.<br/><br/>In this film, everyone's a jerk and everyone learns a lesson (except for Michael Pena who gets the best role, but the most predictable storyline).<br/><br/>This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.<br/><br/>Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things."
"tclark-5","1","564","941","2 May 2005"," Was I watching a different movie?
","I get the impression that I was watching a different movie to the majority of other people I know who have seen this film. It's not really that I found the film offensive or anything - just that the script was unbelievably amateurish for a film that had obviously had a bit of money thrown at it. I really respected Paul Haggis' work on the Million Dollar Baby script and was bitterly disappointed to see how bad this script was. It was clear to me that it was desperate to be the 'racism' version of Traffic, but I don't think Traffic was really a film worth ripping off in the first place. <br/><br/>The worst feature of thisfilm is the way it shamelessly spoon-feeds its audience. Does Haggisreally think we are so dumb as to require a shot of the blanks? Do wereally need to see the phone book sitting on Farhad's dashboard, withthe address circled in black texta? Can we not be left to make someleaps in logic for ourselves? <br/><br/>I also had a major problem with the dialogue which was so 'on the nose'. I have heard one critic say that the quality of dialogue is deceptively high, because even though people may not speak this way, they certainly do think this way. That is irrelevant. It is the job of a script like this to utilise dialogue in a way that helps add to the characterisations and believability of the (in this case highly implausible) situations that are set up. These characters all speak using the same voice and all they ever talk about is racism. <br/><br/>Surely the purpose of a film like this should be to promote the fact that race should not really be an issue in these situations, but by making it the sole focus of every scene, doesn't it become innately racist itself? Characters walk around spouting their philosophies and conveniently memorised statistics on race relations as though they're regurgitating extracts from the research essay they've just written. It's utterly unconvincing and obvious. <br/><br/>A film should reveal its meaning gradually, not slap us in the face with it in the opening scenes and then never let up. I can see that Haggis' intentions with this film were honorable, but dare I suggest that by directing his own script he has not been able to identify and, therefore, overcome its flaws. I really hope that writer/directors will be really careful in future when approaching this 'mosaic' style of narrative. It has been done well a number of times, but getting the balance between the personal and the political right is very difficult. And Robert Altman will not be outdone in that department."
"WriterDave","9","427","737","7 May 2005"," Bold and Compelling Treatise on Racism in Modern Society
","Take the pop-cultured infused socio-political discourse of a Spike Lee movie, the glossy grit of a Michael Mann LA crime story, and the compelling mosaic story-telling technique of a Paul Thomas Anderson film, and you'll get the ""feel"" for Paul Haggis' stunning directorial debut. To boil a film like ""Crash"" down to such terms, however, would do it severe injustice. Powerful and thought provoking, this is the most accomplished and compelling film since ""21 Grams"" premiered back at the end of 2003.<br/><br/>""Crash"" brilliantly shows through intertwining vignettes, that are often blazingly funny in their brutal honesty and fascinatingly gut-wrenching in their melodrama, how subtle racism (often guised in nervous humor) and overt prejudice (often exasperated by sudden irrational violence and an overabundance of readily available firearms) completely permeate our culture and everyday interactions within society. A hyper intelligent script showcases not characters, but brilliant representations of real people, people we know and pass in the street every day, people not unlike us. People who at first seem to be lost causes in the war against racism (witnessed in Matt Dillon's harried beat cop and Sandra Bulluck's spoiled District Attorney's wife) can often become the most unlikely solutions to the problem, while people who ride in on their high horse (witnessed in Ryan Phillipe's noble young police officer) can turn against the tide in the blink of an eye. No one is immune to it no matter how hard they try to rise above it (witnessed in Don Cheadle's quietly tragic detective).<br/><br/>In the end, everyone is flawed, the racism is inescapable, and the audience feels a twinge of sympathy for just about everyone. Perhaps that is what Haggis is hinting at to be our answer. Showing empathy and being able to relate even on the most remote level to every human being out there is the first step to that true brotherhood of man. Because the film offers no real solution, the discussion and discourse it creates in the minds of the viewers is the first step in solving society's ills. We can't tackle everything at once, but we can open a dialogue, and hopefully, one person conversing with another will be the first step to our salvation. It takes a bold film to raise such questions, and an even greater one to compel an audience to talk about the potential answers, and that is exactly what ""Crash"" accomplishes."
"cofemug","1","167","278","27 February 2006"," ...And Burn
","I wrote this as a two part review. Part two has spoilers.<br/><br/>Part 1: <br/><br/>No, this isn't that one about the sex with car accidents. This is the one about racism in L.A. You know, the one where everybody is a racist, and race is the topic on everybody's mind at all times. Race.<br/><br/>Its like the movie has a form of turrets syndrome where race is the constant theme. Race. Racist. Racism. Race Relations. Relay race.<br/><br/>Paul Haggis made a movie which took the structure of Magnolia, which was used to show the disconnect of people who are tangentially connected, and then screwed it into a 1'53"" mental vomit about racism in America. RACE. In the 24 hour period we have 7 stories running parallel all connected and about race. The first hour, people say ridiculous stuff and do absurd things in an effort to be real about racism in America.<br/><br/>For example, the story with Ludicrous and Larenz Tate provides the comic relief. Too bad, the first half of their story is lifted straight from The Bonnie Situation in Pulp Fiction. RACISM. Their section is the Quentin Tarantino section where, instead of being cool and talking about foot massages and religion, the characters talk about race and racism. CONSTANTLY. <br/><br/>The other good thing about it is the Mexican story when the Mexican guy is talking to his daughter. He gives her his invisible impenetrable cloak to protect her from bullets. Decent writing, but that's only because the writers have had daughters and know what they would say in his place.<br/><br/>The rest of the stories are extremely ludicrous. The Hindi does not act in any semblance of realism. The scene where he's trying to get the lock fixed and the Mexican tells him he needs a new door is abbreviated and stupid. Why would anybody act like that? Is it realistic? NOOO. It reminds me more of the convenience store clerk from The Doom Generation. ""Six Dollar Sixty Six Cents girly."" If i ever watch the second half of the movie, I hope his head is shot off and his bodiless head starts coughing up relish.<br/><br/>I haven't mentioned race in over a paragraph. RACE. RACISM. RACE FOR THE SUN. Better. Then, there is the black guy who wants to be white, Matt Dillon who has a chip on his shoulder against blacks, Ryan Phillippe who looks beautiful and does nothing, and various other bad actors acting badly with bad dialog. When Matt Dillon molests the black producers wife, could I help it if I was cracking up? When Philippe is second guessing his writing up of his partner for racism, can I help but crack up? The movie is so funny when it is being racist. Racist. RACIST I tell you.<br/><br/>Now, mind you, this movie was nominated for Best Picture, Best Director, Best Screenplay, and Best Editing, besides a nod to Matt Dillon who actually did attempt to do a decent job. Who was paid off for that one, I have no clue.<br/><br/>Don't see it unless you feel like being preached at about the racism in society through a bad and unrealistic script from 2 white men over fifty who have no semblance of reality or interaction with real society in any way shape or form.<br/><br/>D- <br/><br/>Part 2:<br/><br/>The second half of Crash takes any and all story lines in the first half...and spews them back out in a sort of redemptive, conclusionary, the world is a big coincidence kind of way. And it is in fact one of the worst ways to do it.<br/><br/>Take 1999's Magnolia. People weren't conveniently tied together over and over again. They were just connected in a strange way that happens more often than you think. You know somebody who knows somebody who did something that you knew somebody else was also involved in. Crash takes this wrapping into a serious extreme.<br/><br/>The stories are lined up so everybody meets again. Are there only 5 on the LAPD force? Aren't these people working weird shifts? Dillon and Philippe were a late shift then an early one the next day? And, why did Tate have to be the murdered hitchhiker? Wouldn't it have had more emotional tension, as well as realism, if it had been somebody we had not been following all day long? Like Phillippe just picks up a random hitchhiker and then freaks out. Everybody'd be freaking out.<br/><br/>Eventually, in the second half, the touching invisible cloak scene is used to get the Hindi to shoot the daughter. It ticked me off and made me feel dirty. Not that the Hindi shot the daughter, but that they created a beautiful touching scene and then had it be the direct cause of people tearing up. It really ticked me off. At the writers, not the scene.<br/><br/>The whole movie is fake and totally uncalled for. The coincidences are far too many and they require an extreme suspension of disbelief. Unlike Magnolia which was connected mildly, this had connections upon connections upon connections which were just so over-the-top. The only good part in the second half was when Sandra Bullock falls down the stairs. She doesn't die though. She should have. I cheered when she fell.<br/><br/>The worst part about the movie is it pulls a Magnolia. Not just in structure, but it has a montage over the song In the Deep where you see everybody being depressed. Magnolia took this and had post-modern commentary on it by having all of the characters singing along to Aimee Mann's Wise Up. Unfortunately, Magnolia came out in 1999, while Crash came out in 2005. Its hard to make commentary on a movie which won't be made for another 6 years, but it happened. Somehow.<br/><br/>Utter waste of my time.<br/><br/>First half: D-; Second half: lowest grade ever; Overall: F---"
"sweeneyle-internet","1","271","464","23 July 2005"," Disturbing
","I agree with what so many others have said about the shallow and offensive nature of this film's examination of racism. It is baffling to me that so many people seem to have been fooled by its pretentiousness. I want to comment on the Matt Dillon character as an example of what's most infuriating about this movie. Here we have a man who -- contrasted with the film's underlying message that ""we're all a LITTLE racist"" -- effectively rapes a woman in public, cruelly humiliating her husband and deliberately goading him to make a move that, as he well knows, will lead to his arrest or even death. He does all this after pulling the couple over without any legal cause but because, as we come to understand, they are black and wealthy and he is a hurt little boy who is now the police and can therefore do as he pleases. This behavior is not a LITTLE racist. This behavior is evil. It is disturbing to me that this extreme of racism is held up next to another character's behavior -- spouting her paranoid stereotypes about gang violence -- to illustrate that everybody's a LITTLE racist. Later, we're spoon-fed some tripe about Dillon's poor old dad and how black folks drove him into the poor house. Is this supposed to explain, or worse, excuse this behavior? And is Dillon's character meant to redeem himself by committing the utterly unmotivated and unbelievable, laughably coincidental act of saving the woman he sexually assaulted the very night before? Please. The fact that so many people seem to feel some kind of self-congratulatory admiration for this film makes me feel sad about the shallowness of our understanding of racism, and our apparent lack of commitment to condemning and ending it."
