"username","rating","helpful","total","date","title","review"
"blanche-2","8","76","82","26 July 2005"," Excellent '50s tale of reality TV that wasn't
","I was growing up during the Charles Van Doren scandal, and I remember his face on the front page of the paper and my mother crying. When I asked her what happened, she said, ""He told a lie."" He told a whole bunch of them, in fact, and was part of the quiz show scandal of the '50s, which Quiz Show so beautifully dramatizes. Robert Redford does a fantastic job of recreating the atmosphere in perfect detail, as well as the fascinating story of the '50s version of reality TV, the quiz shows, going awry.<br/><br/>Paul Scofield is absolutely mind-boggling as Van Doren Sr., and Ralph Fiennes is wonderful, handsome, and charismatic as Charles Van Doren. The rest of the cast is marvelous - John Turturro, David Paymer, Hank Azaria, and Rob Morrow.<br/><br/>Van Doren was a dream contestant - good-looking, educated, with a beautiful speaking voice - and captivated the country with his intelligence. Unfortunately, it wasn't reality at all, just fantasy. But, as Van Doren says while verbally sparring with his dad, ""It was mine own."" It sure was, and he went into oblivion because of it."
"kylopod","10","60","65","23 October 2006"," A colorful, well-written portrayal of a forgotten event in the history of television
","""Quiz Show"" is the type of movie that invites viewers to ask themselves how they would act under similar circumstances. If you were a contestant on a TV game show and the producers offered you a load of money to do a fixed show where you're given the answers in advance, would you do it? Or would you turn your back on the producers and walk away? In this film, Charles Van Doren does not walk away, but he does hesitate. As played by Ralph Fiennes, he's a bright, likable fellow who seems like a good man despite his willing participation in a fraud.<br/><br/>The film is smartly written, tightly plotted, and populated by interesting characters. It is also entertaining. It unfolds like a great detective story, except that no murder has taken place. There isn't even any crime. As shocking as it may seem, there were no laws against rigging a quiz show back in the 1950s, because no lawmaker had considered that such a thing would ever happen. When the scandal came to light, those working behind the scenes who engineered the fraud managed to survive with their careers intact, and the people who suffered the harshest consequences were the contestants, who were simply pawns. That says something about the distortions of television culture, but this theme, among others, is nicely understated in the film.<br/><br/>Director Robert Redford has a gift for finding the drama in seemingly mundane topics, but not in a contrived or manipulative fashion. The '50s quiz show scandal is the sort of topic that could easily have made for a preachy and artificial TV movie. It's a great credit to Redford's film that it doesn't contain any long moralizing speeches. Though the movie has many great quotes, the characters talk like real people, and the situations grow out of their personalities. We end up rooting for several characters at once. We want Richard Goodwin (Rob Morrow), the lawyer sent to investigate the show, to succeed in uncovering the scandal. But we also feel for Van Doren, who almost comes off as a tragic hero. We even feel a little for the pathetic and unlikable Herb Stemple (John Turturro), the whistle-blower who's been bamboozled and humiliated by the producers.<br/><br/>The movie works on the most basic level as simple drama, the high points being those scenes where Goodwin uncovers each new layer to the case. The first time I saw the film, I was put in mind of a detective story like ""Colombo."" There's no mystery, of course, since we know from the start who the perpetrators are, what they did and how they did it. But the labyrinth of corruption that Goodwin must probe is fascinating to behold.<br/><br/>Goodwin naively assumes he's practically taking down the network (the movie hints that the scandal goes to the very top) even though no laws were broken. The situation has the feel of a conspiracy, the people talking in euphemisms like they were mob bosses or something (""For seventy grand you can afford to be humiliated""). The contestants themselves are no dummies: they are smart, knowledgeable people who could very well have been used honestly on a trivia show. The producers simply wanted to control the responses to make the show more dramatic. What made this unethical was the amount of deception it required. It's one thing to have entertainment that everyone knows is fake (e.g., pro-wrestling), it's quite another to pass off something phony as something real. Of course now I'm getting preachy, something I praised the movie for not doing. But that's exactly my point. In a lesser movie, there would have been characters explaining the distinction. Here, it's left to us to assess the situation. That's the best kind of movie, the kind that invites further discussion.<br/><br/>Above all, the movie is about integrity and what defines it. Goodwin (in a classic reversal of our culture's typical view of lawyers) is the boy scout in the story, who says at one point that he would never have participated in the fraud if he were in Van Doren's shoes, and we believe him. But a large part of the film involves his relationship with Van Doren, a man he likes and doesn't want to hurt. His desire to protect Van Doren (but not Stemple) from ruin while bringing down the true perpetrators of the scandal leads to one of the movie's most memorable lines, when Goodwin's wife calls Goodwin ""the Uncle Tom of the Jews,"" because he's sticking up for a corrupt Gentile. We respect Goodwin and admire his reluctance to hurt Van Doren, but we, too, wonder whether he's handling the case with the proper objectivity.<br/><br/>The movie has some interesting subtexts dealing with the anti-Semitism coming from Jewish producers themselves. In one scene, producers Dan Enright and Albert Freedman basically explain to Van Doren, in so many words, that Stemple is too Jewish for the show. This is a phenomenon I've rarely seen dealt with in the movies, possibly because there aren't too many films depicting the history of television.<br/><br/>The film is often criticized for departing significantly from the facts of the case. For example, the real Goodwin actually played a minimal role in exposing the scandal. I can understand why those involved in the case may have resented these inaccuracies. But filmmakers do have dramatic license. Probably this film should have changed the names of the characters from their real-life counterparts, to reinforce the fact that it's not an exact account of what happened. The purpose of movies isn't to duplicate real life, but to reflect on real life, to gain fresh insight, and ""Quiz Show"" achieves that purpose with dignity and style."
"jlacerra","10","49","53","24 April 2004"," The End of Innocence
","As a twelve year old growing up in Brooklyn, I did not even know the name of the show I was watching every week; to me it was just a vehicle to see if hero Charles Van Doren could hang in.  He was handsome, articulate, witty, and all the girls thought him incredibly attractive (although their pre-teen minds did not yet understand sexuality).  Growing up in a Jewish neighborhood as I did, Herb Stempel did not come off so nerdy as he looks now in retrospect.  When it came out that everyone had cheated, us kids felt not only betrayed, but sleazily cheated personally.  The girls felt somehow violated!<br/><br/>Here Redford turns in an understated masterpiece.  He sets the stage and the standard, and gets fantastic performances from his actors:<br/><br/>John Turturro as Stempel is excellent, but a fine job by Johann Carlo as his principled wife, which may be overlooked in such company, is the rock upon which his family can really rely.<br/><br/>Ralph Fiennes, as the hapless Charles Van Doren, manages to get across his character's dilemma: a mere achiever in a family of ultra-achievers.  In any other family he'd have been prime, as a Van Doren he would always be an also-ran.  <br/><br/>Many have pointed out the great job of Paul Scofield as Mark Van Doren, Charles' father.  He is the epitome of the WASP-intellectual padrone.  And he has our sympathy when his son so sorely disappoints him and disgraces the family.<br/><br/>David Paymer is excellent and believable as Enright, the unsavory producer. He makes it almost seem disloyal not to cheat!<br/><br/>Bit parts are all little plums: Martin Scorsese as Martin Rittenhouse, the Geritol exec, smugly contemptuous of the public and the government.  George Martin as the network president, clearly Jewish, and just as clearly a ""Teflon Don"" in his own world.<br/><br/>The scenes at the Van Doren estate are designed to convey investigator Goodwin's (Rob Morrow) culture shock and outsider status, and they represent the academic WASP world of the time accurately and wonderfully.<br/><br/>All in all, a great movie."
"Smells_Like_Cheese","10","27","31","9 September 2007"," What can I say? That's show business!
","The other day when I was renting movies I passed this one called Quiz Show, never heard of it, wasn't too sure if it would be good or not, so I figured I would just wait and check it out on IMDb. When I saw the rating I was very impressed, not to mention how this was nominated for best picture of '94, considering it was up against: Forrest Gump, Pulp Fiction, and Shawshank Redemption, it didn't really stand a chance. But I rented this movie and I'm convinced that 1994 had to be one of the best years for films. Quiz Show is an incredibly impressive film by Robert Redford, which I didn't even realize that this guy could direct! The story is just a perfect one for any type of a debate conversation on what is right and what is wrong.<br/><br/>21 is a popular TV quiz show in the 50's where they ask very hard questions and the guests win lots of money, Herb Stempel has been the reigning champion for weeks. But he's not exactly what you would call the TV hunk, he's got the ""radio face"". Charles Van Doren is a huge fan of quiz shows, so he auditions, and when the executives see him, they go crazy over him, he's handsome, he's smart, he's charismatic, and his family is famous. They tell Herb to ""dive down"" and get a wrong answer so that Charles can take over as the champion. Everything seems to go smoothly, that is until Harvard grad government agent Dick Goodwin is convinced that there's something wrong. He is determined to prove that the show is rigged and that 21 is ripping of America's intellects.<br/><br/>Quiz Show is a great film, the acting, the picture, the editing, everything about this film is pretty much flawless. I couldn't believe that this film is not anywhere near the top 250, I don't see any problems with the film. But I know every film has a hater or two. But for me the film, acting wise, the film went to Ralph Fiennes, he did an incredible performance and was so touching during his statement to the jury. I just would highly recommend this film to anyone, this is a great film and Robert Redford did a terrific job.<br/><br/>10/10"
"FilmOtaku","8","42","51","20 November 2003"," Fantastic film, phenomenal performances
","It would be pretty surprising if Quiz Show, Robert Redford's film about the 1950's quiz show scandals was anything short of excellent.  The principal actors give phenomenal performances:  Fiennes' Van Doren is usually unflappable and cold, but manages to allow vulnerability to surface at times, and Turturro's Stempel is a study in almost sociopathic and manic behavior.  What allows both actors to transcend mere greatness is their ability to make the viewer both admire and detest their characters with something as subtle as a glance or body language.  Morrow's character of the `whistle-blower' is there as the moral fiber; the outsider who looks upon the situation both with objectivity and as the devil's advocate. <br/><br/>
Redford's direction is rich and well-paced.  There were not any slow moments in the film, and he did not have to adhere to rapid-fire editing to achieve the momentum of the film.  Perhaps the subject matter is a factor, but I have found that with the exception of `Ordinary People', the films I have seen under Redford's direction have been good in a technical respect but lean toward the maudlin.  With Quiz Show, he does what should be done when telling a true story  he does not resort to preaching, rather he directs with an objectivity that allows the viewer to come to their own conclusions. <br/><br/>Quiz Show is an excellent film that I highly recommend, especially to see the razor-sharp performances of Fiennes and Turturro. <br/><br/>
--Shelly"
"pollocka","10","53","66","11 November 2002"," A wonderful film
","I watched this film for about the fifth time last night. I first saw it a couple of years ago when my mum brought it home, she'd picked it out of the bargain bin at the supermarket, and what a bargain!<br/><br/>It is a superb tale, I notice some have said 'who cares it was just a dumb quiz show', well that is hardly the point, many films are made where, what was seemingly the subject is actually just a background for the real story to be told.<br/><br/>Quiz Show is a brilliantly told morality tale, but that is not to say it preaches. It can get away with not preaching because the consequences of their actions didn't harm anyone. It doesn't say, 'if you do something wrong you will be punished'. It says 'If you do something wrong, can you live with yourself'. ""It's the getting away with it I couldn't stand"" Charlie says at one point.<br/><br/>A classical tragedy of a man with the world at his fingertips who throws it all away at his own volition. As a classical Shakespearean actor Fiennes is perfect for the role.<br/><br/>A wonderful intelligent and literate script, the pieces between Charlie and his father in the Athanaeum and at the picnic are wonderful.<br/><br/>Subtle music and stylish presentation are the icing on the cake."
"Doylenf","Null","23","28","21 August 2002"," TV's age of innocence ended with Quiz Show scandal...
","Robert Redford's brilliant direction and a quartet of expert performances make QUIZ SHOW a highly interesting, thought-provoking experience. Unfortunately, the end of TV innocence in the '50s brought us other game shows in recent years and real life survivor series that are guilty of shortcomings just as egregious in other ways but not to be discussed here. Manners and morals began a fast decline in the late '50s and only got worse with each decade, in my opinion.<br/><br/>The real-life story of Professor Charles Van Doren (Ralph Fiennes), son of a famous scholar, Mark Van Doren (Paul Scofield) is told in a lively and detailed way with many sights and sounds of the '50s making the atmosphere look very authentic. When the less than charming winner of a TV show, Herb Stempel (John Turturro) is dumped in favor of the more charismatic Charles Van Doren, the story goes swiftly through a series of expertly written scenes in which all of the behind-the-scenes goings on are revealed and characterizations are sharply defined. In truth, the ratings game between Van Doren and Herb Stempel went on for many weeks before a showdown was reached.<br/><br/>An especially touching scene shows Charles wanting to reveal to his father the truth about his upcoming appearance before an investigative committee--relaxing as the two have an informal midnight snack in the kitchen, but unable to tell his father (played to perfection by Paul Scofield) who is a symbol of unwavering integrity. In fact, Scofield is so good in his supporting role that it's a pity the script didn't expand his role to give him more screen time.<br/><br/>John Turturro as Herb Stempel has the unfortunate task of appearing to be an obnoxious nerd, whose only redeeming moment comes at the end of the film when he realizes how destroyed Charles Van Doren is by the revelations. He never tries to make the character anything less than the boorish, self-absorbed fool he is and does an excellent job. Rob Morrow is sometimes less than convincing as the tenacious investigator.<br/><br/>Despite its lengthy running time, it all moves along at a brisk pace under Robert Redford's outstanding direction. Well worth your time, although I can't say television has raised the bar very much since its fall from grace, especially with regard to daytime talk or game shows. Are audiences any wiser today? Maybe only Regis Philbin knows..."
"Spleen","10","49","65","17 October 1999"," A study in ethics
","Although `Quiz Show' is entirely concerned with morality and the nature of moral choices, I can't think of a single moment when it isn't obvious whether or not a character is doing the right thing.  There are no moral dilemmas whatever.  And a good thing too - thorny ethical issues would only turn it into an episode of `Star Trek'.  If you think a film needs to be confused about right and wrong in order to be interesting, watch `Quiz Show' and realise your error.<br/><br/>Here's most of the ethics in a nutshell: the star contestants of a popular quiz show are cheating, with the connivance of the producers, the sponsor, and the network.  That they shouldn't be cheating is never in dispute.  The interesting questions are:  Why are they cheating?  and, What is it like for them, and how do they maintain dignity, when they're found out?  Of course, in an intelligent character study like this there are plenty of other questions.  I won't ruin your pleasure by giving away any of the answers. The best scenes, probably, are the ones in which a character must admit to someone or some group of people that he has cheated.  All these scenes are very good and each is handled in a different way.  But they're just cherries in a rich fruitcake.  `Quiz Show' is one of my personal favourites.  It was nominated for Best Picture of 1994 - an unusually fertile year - although the award went instead to some big dumb propaganda piece."
"sddavis63","7","9","10","11 August 2003"," An Interesting Study Of TV Corruption, But Strangely Lacking In Intensity
","In the late 1950's the TV game show ""Twenty-One"" was rigged. Popular contestants who could grab ratings were fed the questions and answers, and those who the network wanted off were told to take dives, all for the sake of keeping ratings up and selling Geritol. ""Quiz Show"" is the story of the scandal, and of the potential danger of the power of television. The movie focuses around two contestants in particular: Herbert Stempel (John Turturro), the reigning champ at the start of the movie who the network decides it wants to dump in favour of someone more glamorous who can pull in higher ratings: Charles Van Doran (Ralph Fiennes), a college literature professor. Stempel feels cheated of the glory that he feels was his due, while Van Doran is tormented by his desire to tell the truth, but also to cover up his involvement in the scandal.<br/><br/>This is an interesting film that gives a fascinating look at the inside workings of the TV game show of that era. And it does paint a fascinating moral dilemma. As Dan Enright (David Paymer) - Twenty-One's producer - says to the Congressional committee that investigates the scandal, this was after all just a TV show; by definition a piece of entertainment. The sponsor sold its product, the network got ratings, the contestants made money and the public got entertained. Where was the victim? And yet it WAS dishonest. It's a fascinating issue, this whole concept of a victimless crime. And the ultimate irony was summed up by Dick Goodwin (Rob Morrow), the head Congressional investigator: the Committee got Van Doran, but what he wanted was to get television. In the end, as he says, television will probably end up getting them.<br/><br/>All in all this was an interesting movie, although - strangely for a true story - I felt it lacked any sustained dramatic intensity. Remembering Jack Barry from the 1970's as host of the game show ""The Joker's Wild"" (he was also the host of ""Twenty-One""), I was very impressed by Christopher McDonald's portrayal of him. Although the role wasn't really that central to the movie, McDonald had Barry down pat, and I felt as if it really were Jack Barry I was watching.<br/><br/>All in all, this is a very good movie. I wouldn't run out and buy it, but it's certainly worth a rental.<br/><br/>7/10"
"nycritic","9","14","17","23 April 2005"," The Reality of Game Shows.
","A harsh look at a scandal that hit the TV industry while it was relatively still in its infancy, QUIZ SHOW tells the parallel stories of Herbie Stempel, Charles Van Doren, and Dick Goodwin, three people caught in a triangle of hypocrisy and appearances from opposite sides of the coin. The feeding of the right answers to both Stempel and Van Doren on the game show ""21"" did not bring the downfall to its paternal network, but made those who learned of this examine the prejudices concerning who should be on top and who should not and sadly did not exonerate those who were behind the scandal. That Stempel, one of 21's first ""victims"", Jewish, should not be of what would be considered a man of ""privileged"" upbringing but Van Doren, handsome, WASP-ish, successful -- a university professor -- should just hits harder even today to the kind of people network television prefers. When we see that Ken Jennings, a milquetoast white man, is allowed to make so much money on ""Jeapoardy"", we question the credibility of his win, and it extends even beyond game shows: ""ethnic"" groups are still looking for their audience on a television mainly ""white"" in nature, and only a smattering of shows have included all racial groups in ensemble shows that have managed, through some shrewd writing and marketing, to survive."
