"username","rating","helpful","total","date","title","review"
"thorr97","9","196","222","1 April 2018"," Dark Humor About A Truly Dark And Humorless Time
","This is an excellent film. And its treatment of the Stalin Era of the Soviet Union is both darkly humorous and actually very unflinching in its depicting the monsters and their monstrosities for what they were.<br/><br/>I was worried that, in an attempt to extract humor from the situation that they might've glossed over just how monstrous the key characters actually were. To Iannucci and Schneider's credit however, there was absolutely no glossing over at all. Beria, for instance, is portrayed as every bit the monster in human form that he was - this, even as that portrayal is also made darkly and delightfully humorous at times.<br/><br/>The whole cast played their parts well and played them ""straight"" - which only heightened the humor and the horror of what life was like under Stalin in the Soviet Union. Even the nominal ""hero"" of the tale, Nakita Khrushchev, is realistically portrayed as being just as conniving and callous and power hungry as everyone else. Buscemi would seem an odd choice for that particular role but he pulls it off with style and excellence. So too does Simon Russell Beale in his portrayal of Beria. <br/><br/>This is a nicely done film with excellent production values, a great script, fine acting, excellent pacing, and a compelling tale that is well told.<br/><br/>I highly recommend it!"
"AlsExGal","8","29","33","2 November 2019"," How difficult to make a parody built around the death of one of the worst men to ever live...
","... and yet this film does just that. It revolves around the power struggle that occurs at the death of Stalin in 1953, a man who had an iron grip on Russia for 30 years and enforced his will with terror, often randomly.<br/><br/>So when the sycophants who surround him are suddenly bereft of his soul, they are all jockeying for power while finding it very difficult to do the one thing that would get you tortured and killed as long as they can remember - independent thinking, or even making suggestions for that matter. A simple show of hands vote becomes a hilarious demonstration of group think. They all have a collective case of Stockholm Syndrome when it comes to Stalin, still afraid of a man who is dead.<br/><br/>Jeffrey Tambor is doing his character Hank from the 90s sitcom ""The Larry Sanders Show"", and Steve Buschemi, as Nikita Khrushchev, doesn't look like any picture of Khrushchev that I ever saw at any point in his life. Plus he's basically doing his ""funny looking guy"" schtick from Fargo, and yet it all works.<br/><br/>When Lavrenti Beria, head of the secret police and probably responsible for untold terrors, gently tells Stalin's daughter that she needs to leave Russia because people who are strange like she is don't live very long, it is practically a sweet intimate moment that runs counter to everything we know about the guy.<br/><br/>This is a bleak yet hilarious comedy built around real events. I'd highly recommend it."
"PipAndSqueak","8","167","229","21 October 2017"," Gallows humour with hollow laughs
","There's no avoiding truths rapidly passed over in this depiction of chaos following the death of an evil dictator. Stalin had charm...to those who were not his subjects and were never a threat to his authority. He fooled many so-called intellectuals in the West but everyone around him knew the truth, and, most managed to tip-toe over eggshells in order to stay alive. To thrive in such an environment requires a certain kind of callous ruthlessness...perfectly depicted with suitable crass humour here. The cast is perfectly chosen...each very accomplished actor adding their particular star dust. There's more than a single sittings' content in this film which deserves another viewing. Impressive and engaging story-telling based on real life events. Bravo all."
"TheLittleSongbird","9","191","271","22 October 2017"," One of the best films of 2017
","It must have been very daunting to make a film revolving around the period during the death of one of the world's most notorious dictators and mass murderers Joseph Stalin and its aftermath, and make it one that was entertaining, clever and beautifully produced and acted while not trivialising the horrors of the time.<br/><br/>'The Death of Stalin' embraced this challenge and fully succeeded in its goal. 'The Death of Stalin' was one of those films where expectations were high (considering there are some truly great actors here) and those expectations were only met but exceeded. It won't be for the faint hearted, it can be violent in a very gruesome sense. While it is very evocative and well-researched, it is history but not quite as we know it (kind of like a more sophisticated version of Horrible Histories). Some may have a problem with the film not having authentic Soviet accents, and instead a mix of English and US ones, to me this was not a problem as there are many adaptations of Russian literature that mostly don't attempt authentic accents and when they are attempted it has wildly variable results.<br/><br/>2017 has been a very hit and miss year from personal opinion for films. Some very good to great films and also some less than average to rubbish ones, as well as ones that fall somewhere in between. Some may say that for any year in film, but to me 2017 was one of the most hit and miss. 'The Death of Stalin' is a clear highlight. Didn't find that much wrong with it, the character of Svetlana is not as interesting and doesn't have the same depth as the rest of the characters perhaps but this is compensated by Andrea Riseborough still making the most of what she has. The occasional clunker in the writing too but they are vastly out shadowed by the rest of the script being so good.<br/><br/>Even with a couple of minor reservations, 'The Death of Stalin' as said succeeds in achieving a very difficult task and achieving an ideal balance. Despite how it sounds it is not even close to being as offensive as it easily could have been, making something funny out of one of the darkest (maybe the darkest though it's not in a particularly good, if nowhere near as terrible, state now either periods for Russia/The Soviet Union)on paper does not sound tasteful, but 'The Death of Stalin' splendidly works its way around that potential issue.<br/><br/>Visually, 'The Death of Stalin' looks beautiful. The settings and costumes are meticulous in detail and evocative, a lot of homework went into recreating this period, looking both sumptuous and atmospheric. The cinematography is fluid and natural and has the right amount of grit and audaciousness. The music has a mix of the rousing and understated.<br/><br/>Armando Iannucci directs with complete command and control of the subject, his trademark touches of political amorality and dark and sometimes broad but witty and offbeat humour come through loud and clear. He doesn't try to soften reality, nor does he try to make it one big joke, he could easily have done that but he doesn't and he deserves a lot of credit for that.<br/><br/>Further good things are a clever script that has genuinely funny moments and also some truly thought-provoking ones. As soon as the opening sequence begins and happens one knows they're in for a treat. 'The Death of Stalin' is never dull and is hugely entertaining but also has a darker edge in exploring the full terror of Soviet life during the Great Terror, struggle for power and the purge and not trivialising it, it's actually pretty harrowing and poignant.<br/><br/>One cannot talk about 'The Death of Stalin' without mentioning the uniformly outstanding cast, the standouts being Simon Russell Beale giving a performance of almost Shakespearean complexity and Steve Buscemi who bags some of the best moments.<br/><br/>Jason Isaacs steals scenes when he appears (and Paddy Considine delights in his), Andrea Riseborough makes the most of her role and Rupert Friend being this good was a pleasant surprise. Michael Palin is indeed more subdued form than usual but it suited the character and he does it perfectly, personally like that side to him. Jeffrey Tambor is great fun and Olga Kurylenko is expressive.<br/><br/>Summarising, really great and one of 2017's best films. 9/10 Bethany Cox"
"nphilip21","8","123","171","21 December 2017"," A great political satire
","Watched this at the cinema last night and although I was looking forward to it and was expecting it to be good I was still pleasantly surprised. <br/><br/>Firstly: the actors all put in very believable and impressive performances. A joy to behold. Secondly: the plot is as intruiging as it is funny and really keeps you glued to the screen. Thirdly: this made me laugh out loud at least five times during it's run-time. You know: the sort of laughs you just can't hold back even if you try.<br/><br/>In essence this is a very dark film that makes light of the crimes against humanity all these people were actually guilty of comitting. Some people might find it offensive that they are portrayed as quite funny and engaging characters. But I think Iannucci does such a good job reminding the audience of the nature of these people that he keeps a balance and really succeeds with this movie. <br/><br/>Very enjoyable. One of the best movies of the year. I really enjoyed this - and if you like whitty dialogue, good acting and an intelligently unfolded plot - you will too."
"GoRangers7","10","23","28","31 January 2019"," Absolutely brilliant and original
","I'm on my fourth time watching this film and I continue to catch so many little things that I've missed. The swings between dark humor and frightening drama followed by outright slapstick are brilliant. And having the actors keep their British and American accents just adds to the originality. If you're looking for something better than the same old formulaic schtick coming out of Hollywood, then watch this. Should get an Oscar nod."
"Sleepin_Dragon","9","119","172","26 October 2017"," Funny, scary, dark, take from it what you will!
","The Death of Stalin is one of those films you will either love or just not get at all. Being someone with a big interest in Politics, and an interest in the events of the Soviet Union this was always going to be must watch. <br/><br/>The material itself is almost frightening, some pretty horrific real life events happening, but performed in a way that you can't help but laugh at, albeit sometimes with a little dread.<br/><br/>Superbly written as you'd expect by Armando Iannucci, if anyone knows political satire it's him! Steve Buscemi and Simon Russell Beale shine particularly.<br/><br/>It's one of those films I want to see again. 9/10"
"neobateman","8","58","82","24 March 2018"," A crude, politically incorrect but also intelligent satire.
","'The Death of Stalin' saw a really limited release in 2017 with very limited reviews and opinions. It's wide release around the world was in March of 2018, which means I can classify this as a 2018 film. I can predict this is going to be one of the best films this year. The picture was directed by Armando Iannucci who generally directed TV shows, however has received critical acclaim for his 2010 project In the Loop. After the Soviet Union dictator Joseph Stalin (who ruled Russia for the past 29 years) unexpectedly dies. His cabinet made most notably of Nikita Khrushchev, Georgy Malenkov and Vyacheslav Molotov is falling apart trying to figure out what direction the Soviet Union is going to go in next. Steve Buscemi plays Khrushchev, it's great seeing Buscemi in a leading role for a film again. He plays Khrushchev with enough sympathy but also an over the top and xany behaviour. This clearly is a parody of who we assume Khrushchev was. The film boasts a very interesting ensemble which includes: Jeffrey Tambor, Andrea Riseborough, Olga Kurylenko, Jason Isaacs, Michael Palin and Simon Russell Beale. The majority of these actors are incredibly underrated and it's great seeing them get the opportunity to play unique and interesting characters. In particular I'm going to single out Simon Russell Beale and Jason Isaacs. Beale plays Lavrenti Beria, he is a member of Stalin's cabinet. His performance is truly diabolical, at first he is stone cold. He has no problem with sentencing people to death and laughing with it. He acts natural around horrible events which makes him very darkly funny. It is very obvious that he has his own ambitions. Isaacs is Field Marshal Zhukov, he is in charge of the Red Army. There is a sense of ruthlessness behind his eyes that makes him a force to be reckoned with. The film is really cleverly written, never afraid to drop f bombs and other curse words. What was interesting is that both Beria and Khrushchev are trying to paint themselves as the reformers. Their conflict is comical because they act like little children with constant bickering and no problem solving. A classic theme is when a leader dies the line between order and chaos disappears, anarchy arises within a land. The Death of Stalin offers an interesting spin on this idea as the afore order was the control of a dictator who was responsible for the death of millions. The camera work is fast and kinetic. It helps drawing the audience in and keeps them locked during the many conversation scenes. The biggest issue I had was with the character played by Olga Kurylenko. Without trying to spoil anything, there is an interesting character presented, however she doesn't seem to go anywhere. She is barely in the movie and didn't add much, this is my only flaw with the Death of Stalin. I highly recommend this film, however I must warn you this is not a drama. Many elements of this film that would generally be considered as atrocities are pulled for laughs here. If you're going to see this please keep the expectations on check. This is the closest thing we've had to a Monty Python's style of comedy."
"carsondlx","10","14","17","18 December 2018"," Great tragicomedy
","Can you really make a comedy about mass murder, torture, child rape among other not inherently funny things? Apparently the answer is a thrilling yes. This movie nails it coming and going. From the delicious musical prelude to the never tiring running joke about the accents to the evil Beria whose evil is only highlighted by the absurdities surrounding his attempt to seize power. Monty Python would have been proud but even the great python never dug this deep into human absurdity.<br/><br/>Yes. It can't help but be topical. Can't help but demonstrate the difference between an extremely ruthless tough rather power-mad, but ultimately competent leader (Khrushchev played brilliantly by Steve Buscemi) and the idiots running certain large powerful countries today.<br/><br/>But if you like black humor and dark comedies, this may be one of the best ever put on screen."
"michaeljtrubic","8","118","188","21 September 2017"," Imagine if the world's greatest mass murderer had a comedic puppet master in his court.
","Steve Buscemi leads an all star cast of characters in a keystone cop-esque replication of the confusion and anarchy that followed the death of Stalin.<br/><br/>Very dark and witty, but to those with knowledge of these events, so very intuitive.<br/><br/>This is about the steps taken by Stalin's court (The Central Committee) to secure power rather than have another strongman come in, and like Stalin did, clean house.<br/><br/>Listen for some very understated yet powerful lines of dialog here.<br/><br/>I can't wait to see it again. I am afraid of misquoting the lines that i liked so much. Many having to deal with revenge."
