"username","rating","helpful","total","date","title","review"
"gogoschka-1","Null","1333","1811","26 December 2015"," A stage play of a ""Who-Done-It"" murder mystery - with highly political undercurrents
","OK - if you've already seen the movie and hated it, my review won't change your mind, so move along folks, move along, there's nothing to see for you here, thanks.<br/><br/>Now for you, dear film fan, who is about to watch 'The Hateful Eight', but who is now slightly worried because of some very mixed critical reactions - for YOU I'm writing this 100% spoiler-free review.<br/><br/>Judging from many comments here on IMDb and other forums, I gather that many long-time Tarantino fans apparently don't like his newest film. I had feared such a reaction as soon as I had finished watching the movie. It's obviously Tarantino's least accessible effort yet, and there's a number of reasons for that, not the least of which being that this is simply not the film most people expected (or felt they were promised). So if you haven't seen it yet and you're a bit doubtful because of the negative reviews, let me tell you: you'll likely end up loving it - as I did - IF you prepare yourself juuuust a little. And because I really liked the movie, I would like to help you do that via a short list of recommendations. Ready? Here it goes:<br/><br/>1. Don't go watch 'The Hateful Eight' expecting a ""classic"" Western. It might belong to the Western genre, but if all that talk about Ultra 70mm Panavision had you thinking of lush outdoor scenery, vast landscapes or anything resembling a Sergio Leone movie, you'll end up disappointed. There are a few nice shots showing snowy mountains, but 95% (perhaps more) of the story unfolds indoors (in one single room) - which isn't to say that the cinematography isn't absolutely fantastic. In fact, it's more than fantastic: it's stunning and worthy of an Oscar.<br/><br/>2. Don't expect any exciting ""action"" scenes (for lack of a better word: I don't mean the 'Fast & Furious' kind of action scenes) every 10 minutes or so; in fact, don't expect anything other to happen between the characters than dialog for a loooooong time. Unlike in Tarantino's previous films where we got almost ""spoiled"" by unexpected over-the-top moments in nearly every scene (except maybe for 'Jackie Brown' and 'Deathprooof'), this film has a very, very slow build. But: that's not to say it ISN'T exciting (or that nothing does happen) - it's just that the excitement and tension result mainly from the dialog and the excellent performances by the cast (at least for roughly two thirds of the movie).<br/><br/>3. Best approach this film as you would theater; for that's what 'The Hateful Eight' really is: a stage play disguised as a movie. A stage play of a ""Who-Done-It"" murder mystery with a touch of Agatha Christie. But then again, that's also a disguise, for the murder mystery is just a ploy to cast a look at a torn society rife with racial tension after the civil war. Which, of course, again serves as an allegory for race relations in modern-day America and as the director's angry commentary on how hateful that situation still is today, on all sides. Now that sounds awfully serious, but don't worry; despite some hard-to-stomach ugliness and the highly political undercurrent, there is plenty of Tarantino's trademark humor throughout the whole film.<br/><br/>4. Don't expect to find a likable character you can root for. There's a reason for the film's title, and unlike in all his previous films, there is not a single person in Tarantino's latest movie you'll feel any real sympathy for. All the main characters have committed despicable, hateful acts, and they're all beyond redemption - but that doesn't mean they're not compelling to watch (especially given THIS cast: everyone is fantastic, but Jackson, Russell, Jason Leigh and Goggins are just a joy to watch).<br/><br/>5. Don't expect a complex plot. In my opinion, among Q.T's films this is the one with the most straight forward and most simple plot to date, yet at the same time it's arguably his most complex - and most ambitious - film.<br/><br/>So, dear film fan, that's it: adhere to these here 5 ""commandments"", and there's a big chance you'll end up loving Mr. Banana Chin's latest oeuvre as much as I did (mind; you might love the film just as much without taking any of the above advice). I admit, it took me a while to get into this dialog-heavy stage play and would-be Western, but once I did, I never looked back (and I can hardly wait to watch it again). 9 stars out of 10.<br/><br/>Favorite films: IMDb.com/list/mkjOKvqlSBs/<br/><br/>Lesser-Known Masterpieces: imdb.com/list/ls070242495/<br/><br/>Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/<br/><br/>Favorite TV-Shows reviewed: imdb.com/list/ls075552387/"
"MR_Heraclius","9","54","67","29 February 2020"," Great
","Everything you would come to expect from Tarantino, just on a more confined scale. The original screen play and acting both amaze, it is always refreshing to see some of the banter and slang he comes up with. Yes it is super violent but once again the director makes it so we really don't care, the music fits perfect as well."
"realtab","7","1036","1545","31 December 2015"," Don't believe the 1's and 2's or the 9's and 10's
","The film is too well crafted to get the really low scores, the cinematography is too good, the acting too high caliber, the direction too solid, the score too nice, and the flick too engaging for such ratings.<br/><br/>This also applies to the other end. The ""twists"" are unimportant and add no spice, the pacing just slogs along, the joy too nonexistent, the characters evoke too little emotion either way, the story too light on satisfaction, the story telling too inconsistent, the length too needless,the magic (other than on the technical side) too absent, and the rewatchability too minimal for me to see greatness but maybe a second viewing will change my perspective but it will definitely be on video for me, only the lure of a hot date fixated on going could get me into the theater again other than maybe just for the experience a 70mm screening.<br/><br/>I'm a pretty avid Tarrentino fan but I didn't overly enjoy this effort. I more appreciate it and can't say I wasn't engaged but I also can't say that I'm eager to see it again and worse for the first time I have little inclination to do so with a flick by Q.<br/><br/>A generous 7/10 (rounding up from 6.5) for me but I could see ceiling of 8 and a basement of 4 at the lowest."
"bkoganbing","8","106","153","10 April 2016"," Minnie's Haberdashery, where the elite meet
","You'd have to go back 80 years or so to the film adaptation of Sidney Kingsley's Dead End to find a film where the set qualifies as a living participant of the action. The house in the adaption of the Eugene O'Neill classic Long Day's Journey Into Night also qualifies here.<br/><br/>The action is set up when the stagecoach where bounty hunter Kurt Russell is taking his prisoner Jennifer Jason Leigh to the town of Red Rock to be hung. A couple of prairie hitchhikers also come on board another bounty hunter Samuel L. Jackson and Walton Goggins son of a former Confederate general who says he's the new sheriff in the town of Red Rock. Kurt Russell replete with full flowing beard and mustache is one suspicious man. He has those suspicions justified before the film is ended.<br/><br/>80% of the action takes place on set of the 19th century bed and breakfast during the time of a nasty Wyoming winter and does the dialog crackle. If you think you're going to see a western the kind that John Ford or Howard Hawks or Henry Hathaway did back in the old days, then don't watch The Hateful Eight. Hateful is the operating word with these characters, there's nothing really noble about any of them.<br/><br/>Besides the set of Minnie's Haberdashery to recommend it, Quentin Tarrantino selected a truly fine ensemble cast who play beautifully off each other. As the outlaw queen Jennifer Jason Leigh got a Best Supporting Actress nomination, but in my humble opinion she doesn't stand out any more than any of the rest of them. The Hateful Eight also earned Ennio Morricone an Oscar for the best musical score for 2015.<br/><br/>The Hateful Eight is a great western, but it ain't your grandpa's kind of western."
"tcrescenzo-08409","10","1024","1642","31 December 2015"," Everyone seems to be missing the point
","If your willing to jump on the bandwagon and avoid this movie just because a couple of thin skinned reviewers are complaining about all the blood and all the ""n-words"", then you might as well just shovel your money into Disney's pockets and see star wars because that's the movie for you. This is the first real piece of cinema that has come to the theaters this year; with all the audacity, the balls, and the fearless will to show anything on screen that real filmmakers are brave enough to commit themselves to. If all these negative reviewers would just look past the blood and the guts, they would find a truly masterful piece of cinematic art that reflects both the expertise and effort that went into making it. The storyline is a simple one, but it's told in a complex, interesting, and relatively unique way that is guaranteed to keep your eyes glued to the screen throughout the entire 3 hour run time of the movie. Tarantino's direction is unparalleled as usual, and the performance of the entire cast combined with the wonderful cinematography and deeply engaging dialogue make for a remarkably fun time at the theater, if your willing to sit through a lot of grisly violence and mean spirited subject matter. And although many people are complaining about the heavy political undertones of the film's storyline, to me that is one of the main components of this film that stands out the most. The plot of this film serves not only as a compelling metaphor for the racial tension amongst the American people immediately following the civil war, but actually manages to outline the visceral anger and unpredictability of the racial tension that the American people are facing today within society. In a world hell bent on purporting sensitivity and being politically correct, it's nice to see a movie that's willing to raise a middle finger to that social stigma so as to hold a mirror to the racial confrontations that are still plaguing the American people to this very day. Obviously this film is undoubtedly the most sick, twisted, and violent of Tarantino's filmography, and I'm willing to admit that it's not for everybody, but for those of you willing to toughen up, keep your trigger happy insecurities in check, and enjoy a mean, gritty, and badass film that offers no apologies for what it does best I highly recommend this film. And for those of you who are willing to let Tarantino's comments about the police force get in the way of your enjoyment of this film, like I said; Disney is more than willing to take your hard earned money."
"AvramSMH","8","167","258","5 March 2016"," 8/10
","Even tho i was expecting more action, I've found myself at the edge of my seat at times. The characters were nicely developed. The dialogue was as expected from a Tarantino movie. The story is 3 hours long, it takes place mostly in a one single room and it's still not boring. That's something not everyone can do. All of the actors we're perfect for their roles and the acting was great as well as the character design, all of the characters were memorable and well written. The movie is divided into chapters in most of which a small twist takes place that makes you more interested in the movie. I enjoyed the film but my biggest flaws were the length and the spontaneous introduction of a narrator mid- movie, that was a pretty 'out of nowhere' lazy way to develop the back story, but oh well, Tarantino is known for making risks and doing crazy sh*t"
"vaivhav","10","687","1194","30 December 2015"," Go for it. Ignore the haters. Tarantino entertainment to the core!
","This is a short review I am forced to write after noticing the critics and the haters. Hateful Eight is another Tarantino masterpiece. It may be similar to his previous movies, but great directors don't come often and in a single life they can make only so many films. Now if Tarantino decides to make another 'Tanrantino' western with all the fine work thrown in as in his other films, I am no one no complain. This guy is a legend and I am privileged to see the handful of movies he will make in his lifetime. Even if he makes similar movies a dozen times, I would still watch it, cause this guy knows filmmaking at its finest. Hateful Eight is a blizzard of fine acting, fine dialogue, humor, darkness, snow and that incredible eye for perfection and storytelling. <br/><br/>Go damn watch it and be prepared to be a told a western story Tarantino style."
"featheredsun","8","77","127","30 January 2016"," Theatric and Detailed
","This is a fine piece of storytelling - a mystery, western, and political drama - all artfully melded together by a seasoned crew and talented actors.<br/><br/>The action is set in antebellum Wyoming, in the heart of a raging blizzard, in a frontier bar. Setting is very important here.<br/><br/>The period is meaningful for the political currents that flow in nearly all the characters. Feelings about the American civil war are very up-front, with complicit atrocity present in nearly all the characters. The war brought out horrible things in these people, and we see how they deal with that shared knowledge, both personally and to each other.<br/><br/>The blizzard provides the necessary isolation to the story. These characters are stuck with each other, and this forced closeness is central to the story - they're all Hateful, and that hate reverberates among them, destroying peace and hope. Hate is what brings them together and hate is what tears them apart. The blizzard also provides some interesting incidental elements that are fascinating to watch, like the hardship of a simple task like preparing guidelines, or going to the outhouse, and the cold hell explodes inward at times (when the door is opened) with punctuating effect, providing some breaks to the narrative, and even some needed laughs.<br/><br/>And the bar... This film's action takes place primarily in one large room. It feels very much like a stage play (as another reviewer mentioned), allowing greater intimacy with the characters and their interactions, while providing us with an opportunity to witness multiple scenarios unfolding at the same time. This density of action is very cool. We are afforded third person omniscience without losing connection with the motives and perspectives of the players.<br/><br/>And the stage setting meshes very integrally with the acting. We see the principal actors doing top-notch with not only their primary motivational actions, but nearly every choice in blocking and busy action. The director and production team make a very wise choice in showing the small little details of what's going on here. Attention is paid to realistic procedural actions, and reactions, for these details. The result is that we see characters behaving in reasonable ways to their environments, pausing to disarm a stranger, or undo a shackle, not simply because the plot calls for it, but because it's a reasonable choice that they would make at the time. Very refreshing to see, actually.<br/><br/>On the negative side, Tarrantino's choice to use narration was weakly executed. I don't know if there would have been a way to do this without narration, but the actual usage detracted from the ongoing story. Also, there were a few points in the action where the characters seemed to be a little too accepting of the events that transpire around them. This is purely a fault of direction/writing.<br/><br/>But overall, a very watchable film, that is notably unafraid to portray some very dirty and uncomfortable bits of the human psyche. Some folks seem to have an issue with this last part. My advice to them is to loosen up a bit and accept art that hurts a little. That's one of the things good art can do."
"Randm-1","10","60","101","26 January 2016"," A matured Tarantino delivers social critic
","Finally some real social critic from Tarantino. Not for everyone, not even for all Tarantino Fans i suppose. You need to get and love his rhythmic prose to enjoy this movie. That is because you need to be hooked to this movie which will be the cause to have the desire to look deeper into it. There you'll find something ugly and beautiful at the same time, a critical view of society, justice and yes, humanity.<br/><br/>Spoiler: John""The Hangman""Ruth dies first, as one of the main characters, which is important. He doesn't fit in there, the character could have lived on but not his principle, this needed to be crushed to rise again later, at the end, with full meaning. Job is not supposed to be easy, hm? It's not supposed to be hard either! Well, this sums up living on our planet. On a daily basis you need to make a decision, at least moral people should do that, but it is quite clear immoral people do this as well the decisions just differs. You are able to change your own decisions, keep that in mind when viewing the character Chris Mannix(outstanding acting of Walton Goggins), who might be a sheriff or not, we will never know.<br/><br/>There really is a deeper meaning, but it won't be discovered by every viewer. The decision to have an original soundtrack speaks volumes about how Tarantino himself thought about this.<br/><br/>Technically this is Tarantino's best work till now, from my point of view, Kill Bill his second. But this is not the Tarantino most will expect, this is no Kill Bill or Pulp or Basterds, it's a neatly filmed theater stage play, an ensemble movie, which really defines the word ensemble. Soundtrack is fantastic, no not just that, it's near perfect.<br/><br/>The movie is long, some people will find it boring and i understand that as i said in the beginning you need to be interested, to be hooked perhaps by Tarantino's Style to look deeper. In my twenties I think this movie would not have the same impact as it had now, perhaps I matured with Tarantino. I like that about myself, I really do. Thank you for entertaining me the way i want it to be, Mr Tarantino.<br/><br/>The sad part about it is, that those who really should look behind the violence(which is an art form), behind the offensive speech(which is just a writer doing his job like he should) are not going to do it. <br/><br/>Regardless, I'm giving it a 10, cause the lyrics in this song, oh sorry movie, are phenomenal."
"Jerghal","7","210","388","6 March 2016"," Don't believe the hype, it's okay but Tarantino can do better
","So I've finally seen this much talked about film and I have to say I was a bit disappointed. The H8 is a 168 min long movie which is described as a sort of mystery thriller and a lot a noise was made (mainly by Quentin himself) when the script leaked early and therefore would harm the box office chances of this flick. The movie did indeed not make big waves money wise but that was mainly because the overly long movie does actually not amount to much story wise. In other words there is no real clue. The dialogue, normally the strongpoint of Tarantino films, is actually not that great. Conversations are drawn out without the characters actually saying anything. It does help a lot that we do get a great cast (Kurt Russel, Sam L Jackson and Jennifer Jason Leigh) because without them the movie would fall apart rather quickly. The film was shot on 2,76:1 70mm widescreen because retro elitist Tarantino thinks digital isn't good enough and I do have to say the snowy landscape shots look awesome but they make up only 2% of the flick. The rest of it is in a cabin where standard 35mm or even a digital camera could have perfectly captured the images. About the music I can be short: there is almost none. It' might have been composed by Moricone who unrightfully got an Oscar for it, but it does not add much here in this film. I'm glad I didn't see it on the big screen. It works just as well on the small screen, maybe even better coz you can pauze it to get more booze and a snack. So despite my rather harsh comments I would recommend it but know that this is far from Tarantino's best work."
