"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","110","122","18 October 2015"," Definitely the best Action flick in the series from 2011
","Fast Five (2011) is one of the best Action heist films of all 5. film series of all time. This film reunites all actors from the previous films. Vin Diesel, Paul Walker, Jordana Brewster , Tyrese Gibson , Chris 'Ludacris' Bridges, Matt Schulze, Sung Kang, Dwayne Johnson, Gal Gadot, Tego Calderon and Don Omar, the gang are all here! They are all cast from the previous installments. <br/><br/>
The Director brings all new actors in the cast crew: Joaquim de Almeida, Dwayne Johnson and Elsa Pataky. The script, the players, the action scenes, the story. Everything about this film is awesome! This film kicks ass. Is my second favorite best film in the series franchise. This film for me even beats Furious 7. Cause Furious 7 is not that good as this film is. The far of the highest best films ever. It's actually probably my favorite movie that I've ever seen. If you like any of the other fast and furious movies SEE THIS ONE!!!!! It's a Epic movie watch it till all the way to the end.<br/><br/>Fast Five picks up, literally, right where Fast & Furious left off. Dom (Vin Diesel) is on his way to prison when his partner, former undercover detective Brian O'Conner (Paul Walker), and his sister Mia (Jordana Brewster) stage a daring (albeit highly unlikely) prison-bus break. On the run from the police, the FBI and the media, the three hightail it across the border and head even further south, all the way to Rio de Janeiro. There, they decide to lay down, lay low and avoid any unwanted attention. Nah, I'm just kidding. They do what any international fugitives would do: rob a train, double cross a local crime lord named Hernan Reyes (Joaquim de Almeida) and his right-hand man Zizi (Michael Irby), put themselves on the radar of a ludicrously musclebound U.S. Diplomatic Security Service agent (Dwayne Johnson), and set out to steal untold millions from Reyes. That's right, it's One Last Heist for Dom and Brian. Not that anyone should be foolish enough to think this is the last we'll see of the led-foot duo; not after Fast Five revved up $600 million at the worldwide box office. (Be sure to sit through the first chunk of end credits for a nice little surprise.) Fast Five boasts incredible action scenes that are all varied and equally exciting. The film is full of clean, well choreographed shots that are easy to watch and the cast works great as a whole unit, making the film's running time breeze by. The heist in Rio De Janeiro was amazing An energetic, high-octane. The film was brilliant and smart it was action fun Entertained. The fight scenes between Dwayne Jonson and Vin Diesel was tremendous. I was happy that they put someone (Dwayne Jonson) in the movie that was so smart like Dom (Vin Diesel) was. Luke Hobbs as A Diplomatic Security Service agent to track down Dom and his crew was awesome! He did a brilliant job In this Action packed sequel film! Just Lin deliver us a high octane Action packed story filled with full of cars and shootings in his film.<br/><br/>Vin Diesel, Paul Walker and Dwayne Johnson lead this all-star all-action movie with outrageous stunts, incredible cars and beautiful girls that pushes the limits into the red and beyond! The legendary Dom Torreto (Vin Diesel) partners with outlaw cop Brian O'Conner (Paul Walker) on the opposite side of the law in exotic Rio de Janeiro, Brazil. Hunted by ruthless Agent Hobbs (Dwayne Johnson) and an army of corrupt cops working for a deadly drug kingpin. Torreto and O'Conner reunite the gang from previous Fast adventures to pull off one last job - an insane heist worth $100 million! <br/><br/>""Five Times The Action!, Five Times the Fury!"" <br/><br/>I love this film to death and I love how they were planning to rob a Police Station. The first half was a little boring, but the second half was fast paced entertained filled with action. I love this film and everything about it. I love that it is 2.hrs long so that it can tell the whole story.<br/><br/>When developing Fast Five, Universal Studios deliberately departed from the street racing theme prevalent in previous films in the series, to transform the franchise into a heist action series involving cars. By doing so, they hoped to attract wider audiences that might otherwise be put off by a heavy emphasis on cars and car culture. Fast Five is considered the transitional film in the series, featuring only one car race and giving more attention to action set pieces such as gun fights, brawls, and the heist of $100 million. The production mounted a comprehensive marketing campaign, marketing the film through social media, virtual games, cinema chains, automobile manufacturers, and at NASCAR races."
"tmm_8705","8","39","47","28 June 2013"," So far the best and most entertaining of this series.
","This is the film that single-handedly got me to give the rest of the series a shot, for better or worse. It's a nice change of pace from the previous films where it abandons the street race angle (how far could you have taken that anyway?) and goes into the direction of a heist action flick with cars. Dwayne Johnson is a great addition and really adds to the series embracing the goofiness of its premise. So yeah, still the best this franchise had, and that's kind of rare for a franchise on its fifth film. The action for the most part is really handled well and a lot of fun to watch. The cast as an ensemble are very charismatic which no doubt makes it more fun for audiences to see a cast that has so much diversity and it's not done with generic stereotypes but just a bunch of people with a common interest. Overall a very entertaining action flick."
"MR_Heraclius","8","46","58","23 February 2020"," Best Fast & Furious movie
","This is the best Fast and furious movie in my opinion. The franchise reinvented itself here and the series really benefited from it. This had a much better and believable plot and of course the Rock made the movie really good as well. 8.5/10"
"Terryfan","8","19","22","3 April 2015"," Back together for round Five
","Now when a long running series like The Fast And The Furious get sequels it is always a challenge to go out and try impress movie goers.<br/><br/>However the series always tops itself with the recent sequels and Fast Five proof that's anything is possible with the right minds.<br/><br/>The plot this time take place after Fast and Furious 4 left all with Brian O'Conner played by Paul Walker, Dominic Teretto Played by Vin Diesel, Mia Toretto played by Jordana Brewster head for Brazil to escape the law after a job with Vince Played by Matt Schulze went wrong. <br/><br/>Which leads to them being hunted by Luke Hobbs Played by Dwayne Johnson who along with Elena Played by Elsa Pataky begin to hunt them down. <br/><br/>Also returning are Roman Played by Tyrese Gibson, Tej Played by Chris 'Ludacris' Bridges, Han Played by Sung Kang, Gisele played by Gal Gadot. <br/><br/>Reyes Played by Joaquim de Almeida who serves as the Film Main Antagonist.<br/><br/>Story wise the plot is very good because it features the return of many of the characters from the series which is very good and moves the series along. Plus the film requires you to pay attention or you'll miss something. Plus you see the characters grow in this film from the last films.<br/><br/>What drives the film like the other films is that the stunts from start to finish that defines The Laws of Physic and why I love this series because the cast and crew are always driven to push the limits and hold nothing back, Fast Five is the example of it.<br/><br/>There is just a lot for this film that I recommend seeing for yourself where you'll be amazed and how you can do a sequel with the right minds.<br/><br/>With awesome stunts, great action and plot you'll be glad you watch this film.<br/><br/>I give Fast Five an 8 out of 10"
"mus_ne_17","10","401","579","23 April 2011"," I wasn't expecting much from this...but WOW.
","I enjoyed the movie so much, that I came onto IMDb and registered myself just so that I can post a review. <br/><br/>The movie was packed with jaw dropping, eye popping action from beginning to end. The drama had a mix of sadness, comedy and seriousness which were all mixed in together so beautifully to give a consistency to keep the viewer starring at the screen and being involved in the movie rather than daydreaming about other things. <br/><br/>In my honest opinion I would say that it is the best Fast & Furious movie to date. <br/><br/>I want to go see it again!<br/><br/>(by the way, I realise that this isn't the best review in the world or might even be an awful review, the point is that I enjoyed the movie thoroughly and felt I should contribute to it's high average ratings)."
"UniqueParticle","8","10","11","26 January 2020"," Definitely one of the best ones!
","Amazing action, cars, solid story, comedic, and very entertaining! What more could you ask for except for epicness! I love all the badness in it and Tyrees Gibson is always a delight so is everyone else. Great Fast and furious for any fan of the series or not. Exhilarating as well too!"
"lalitdevraj","8","13","15","2 February 2012"," A shouldn't miss for ""Fast and the Furious"" fans!
","Honestly, this is the third ""Fast and the Furious"" movie I have seen but by far was this the best one! With an amalgamation of genres, this movie would possibly appeal to all types of viewers except those who love ROM-COMs! I loved how everyone came together to do the job; the same people I loved in the movies which I saw together made my day as there was so much to relate to! Not much racing as the others, but what is there truly keeps you glued to your seat. Screenplay was interesting, locations eye-catching and casting, already stated! It's one of those movies which you like a lot while watching it and then later think about what happened within it at random times. Yes, you may not want to give it a second view immediately or even soon after, but you just may replay those highlighted scenes, for example, when Vin Diesel and ""The Rock"" face off. That fight was intense and boy, was it gripping!<br/><br/>Overall, an enjoyable movie but the 9-10 band cannot include this movie. Why? You'll agree with your own reasons after you watch it. Simply a great movie, but great to that extent, not really."
"eric262003","8","9","10","23 April 2012"," Sequels Are Getting Better Through Time
","Like a fine wine, ""The Fast and the Furious"" franchise just gets better and in ""Fast Five"" my theory reigns true. The first part of the installment was high-flying and vastly exciting. Then the sequel came out which was not up to hype as its predecessor was, and then I was starting to give up hope once ""Tokyo Drift"" was released, yes it was that bad. I really had lowered expectations when ""Fast and the Furious"" was released and to my surprise it rejuvenated my confidence in the franchise, but ""Fast Five"" exceeds all my expectations as one of the best movies of the bunch which is rare in the realm of tiring sequels and lazy remakes that the movie industry surreptitiously likes to promote. I mean ""Lethal Weapon"" has had very good sequels in its heyday and ""The Terminator"" not to mention ""Rocky"" as well. I never expected this franchise would survive the test of time; it's like an underdog in its own right.<br/><br/>The story on ""Fast Five"" is well above average. It's like a continuation from where we left off from the previous installment. The story involves Dominic Toretto (Vin Diesel) and the gang conjures up a way to escape the seemingly endless array of escaping from the law and family issues. There's another subplot that centers on a drug kingpin and a missing computer chip. If you have a DVR you could fast forward those scenes because they're really not worth mentioning. Which is all good, but the main purpose to see this movie isn't due to the brilliant performances or a scintillating script. The hell with that! You're here for the exhibition of colorful, high-energized cars, the endless nonstop action and the attractive ladies. That's why you come to see this kind of movie.<br/><br/>As I mentioned before ""Fast Five"" won't win any Oscars or Golden Globes, but you know what? Who really give a damn? The performers like Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster and Sang Kang are all out to have a great time. And the chemistry within the characters is quite mesmerizing.<br/><br/>Of course it's all about the action in movies like these, which will leave you breathless. Such memorable scenes include the one where gangs confiscate cars from a moving train. Who in their right minds would do something so stupid and dangerous? Another is an awesome foot chase in the condemned slums of Brazil (the scenery is postcard perfect). It's where The Rock and The Vin embark in a battle that was one of the rare moments that was not dependent on CGI. Let's not forget about the climax but I won't give any spoilers away. Also be sure to stay around for the end credits to know what the next installment will be about.<br/><br/>Overall ""Fast Five"" offers exhilarating action, backed up with scintillating visuals, with a compelling story to keep you on edge and great acting for those who love action flicks."
"cadillac20","8","109","165","29 April 2011"," The Summer Begins Now!
","Well, color me surprised. The Fast and The Furious has not been a series known for it's intelligence. Indeed, it's always been big, loud, and dumb. The original hit the right notes at the time of its release, appealing to many as a street racing film where few films has treaded before it. However, it's lackluster sequels failed to deliver. With the adrenaline rush of the original over and poor writing and acting all around, the sequels were nothing more than a series of poor imitations that could never recapture the thrills of the first film. So, it's with some surprise that Fast Five is arguably the best film in the series.<br/><br/>Fast Five ditches the street racing that made it's name in favor for being a heist film. In this particular case, we pick up right from where we left off, with Dom being busted out of his prison bus. They then flee to Rio where they take on a heist that goes haywire and eventually leads to the penultimate heist of the film. In the meantime, ruthless Agent Hobbs, who specializes in tracking and capturing people, arrives to catch out trio of outlaws. The film does a good job of not wasting any time and most of the serious moments are kept to a minimum in favor of heist scenes or action. And in the action department, the film delivers tenfold. Far bigger, louder, and more exciting than any F&F film before it, action junkies should find themselves thrilled by the impressive set pieces and testosterone-laced mix of car and foot action.<br/><br/>Now, don't get me wrong, this is still a F&F film. This means that the script is still pretty laughable and the acting leaves much to be desired. However, with that said, it's still a bit improved here. Vin Diesel still can't play up emotion very well, making his attempts at the more serious scenes here a bit laughable. Paul Walker doesn't fair much better and, unfortunately, even as a main character takes a back seat to Vin Diesel and Dwayne Johnson. As action stars though, these three do a great job. In particular, the eventual confrontation between Diesel and Johnson is fantastic, with it being a brutal, WWE-esque rumble. The climactic scene alone is worth the price of admission. Though laughable, it's still an exciting, eye-popping scene that will leave you a little stupefied. <br/><br/>Certainly, you have to suspend much of your disbelief with your film. If you can't do that, you'll just find this entire film laughable and of poor entertainment value. For those who can though, this is a very entertaining film. And for fans, you'll certainly enjoy the film, with a well rounded cast from throughout the entire series coming together to pull off the impossible. It's definitely surprising to see that the fifth film in the series is the best, but I suppose that it's merely the evolution of F&F. With enough money, talent, and by pulling out all the stops, the franchise has finally capitalized on the over-the-top aspects that they had always seemed to go for. Suffice to say, action fans with enough suspension of disbelief will enjoy this immensely."
"CMTiago","9","15","19","26 August 2013"," Fast Five: The Big Climax Of The Franchise
","Without a shadow of a doubt, The Fast And Furious Franchise reaches it's peak in this installment with breathtaking action and a sense of friendship and brotherhood shared by the lead characters. Vin Diesel and Paul Walker return and are joined by newcomer Dwayne Johnsson for the 5th Fast and Furious Movie, entitled ''Fast Five''. There's not much to say about this, the action movie of the year, except it's fantastic shots of Brazil, the heist plot that brings even more excitem«ent to the table and overall the continuation of the story of these characters we have come to love and support, as their bond streghtens over time.<br/><br/>In Conclusion, if you love the franchise then you can't miss it<br/><br/>9/10"
