"username","rating","helpful","total","date","title","review"
"wouterbrugge","8","233","279","27 April 2005"," Ominous
","There's something really special about this movie, but I can't put my finger on it. Maybe it's the combination of sci-fi and horror, which create a very distinct atmosphere that you can just feel throughout the entire flick. Maybe it's the idea of a hell-dimension, accessible through a black hole, something so far away yet so close-by that gives me the creeps. Even though you don't see anything of this don't-wanna-be-there-dimension, the effect it has on the crew just says it all. The plot maybe quite simple, but the film doesn't dwell too much on it, it does not imply it is a mind-blowing idea. You won't hear Laurence Fishburne saying: 'Oh, my God! A hell dimension! How is it even possible?!' Nothing in the movie is scarier than stuff I've seen before, still the scariness of Event Horizon isn't in the gore, nor in the shock and awe moments. No, it's in the atmosphere. It's in the ominousness which somehow grabs you and doesn't let go. It's in the gut-feeling. Event Horizon is a gut-movie. Maybe that's the thing I couldn't put my finger on."
"rparham","7","196","240","2 October 2004"," Effectively disturbing
","At first glance, Event Horizon would appear to be a science fiction film through and through. It's set in the future, features spacecraft and the men and women who fly them, and is about a rescue mission to another spacecraft. Yet, before long, it's quickly obvious that Event Horizon is, in fact, a horror film set in space, and a surprisingly effective one at that. While not a masterpiece, it is a reasonably disturbing film.<br/><br/>Event Horizon opens in the mid 21st century, where man has attempted faster-than-light travel. The vessel built for this was the space ship the Event Horizon, and it contained at it's heart an artificial singularity, a miniature black hole if you will, that will open a door to another part of the universe. Upon first test of the engine, the ship disappeared, not to be heard from again. Seven years later, it reappears in orbit over Neptune and a rescue ship, the Lewis & Clark, is dispatched to determine if there are survivors, and what happened to the Event Horizon. Along for the ride is the ship's designer, Dr. Weir (Sam Neill), whos going through a strong trauma in his life after his wife has recently committed suicide. The crew of the Lewis & Clark, commanded by Captain Miller (Laurence Fishburne), listen to Weir's explanation of what happened to the Event Horizon and then receive a transmission from the ship that is garbled but seems to suggest a not so pleasant fate for the crew. The Lewis & Clark crew dock with the Event Horizon and begin investigating the ghost ship, but find strange happenings occurring throughout, with different members of the crew seeing strange things: Miller sees a man he left for dead on an exploding vessel, medical officer Peters (Kathleen Quinland) sees her crippled son, and the ships engineer, Justin (Jack Noseworthy) looked into the singularity engine and is put into a state of shock and Weir begins seeing visions of his wife.<br/><br/>It quickly becomes apparent that the Event Horizon has been somewhere other than another part of the galaxy, and it has brought something back with it.<br/><br/>Event Horizon is not a groundbreaking entry in the horror genre, that's for sure. Many aspects on display have been utilized in countless other films. And yet, director Paul Anderson manages to give us the requisite chills and leave us on the edge of our seats. A primary element that helps the film is the Event Horizon itself. Designed with a very Gothic look in mind, the ship just looks and feels scary. It is place I can't imagine anyone ever being comfortable being in. The dark, empty hallways and rooms are menacing themselves, and that helps ratchet up the tension. Anderson also does a good job of crafting suspenseful scenes involving the character's visions. Almost every one of those sequences will leave you unsure of what you will see and that keeps the audience in a state of unease.<br/><br/>As the film progresses, there is an increase in make-up effects grusomeness, so I would agree that it makes it a difficult film to watch as it goes on. However, most everything in the last half-hour is payoff to the setup, so while it's not always pretty to watch, it makes it all the more effective.<br/><br/>Acting wise, Event Horizon is decent, but nobody will be well remembered for their work. Sam Neill is probably the most memorable as the slowly disintegrating Weir, tumbling to madness before our eyes. Laurence Fishbure is effective as the hard-nosed captain, and everyone else gets the job done.<br/><br/>A lot of people gave Event Horizon flack upon it's release, and again, it's not the most original horror film made, but it is one of the more disturbing I saw in the mid to late '90s, and I would give it a recommendation, just be careful watching it by yourself."
"ExpendableMan","8","269","340","24 May 2006"," A criminally under rated horror masterpiece
","Unfairly dismissed as a combination of Alien and Hellraiser, Event Horizon is one of those films that should be ranked among the classics of it's genre yet has somehow fallen by the wayside to be revered by movie geeks and horror aficionados but ultimately ignored by the mainstream. What's especially surprising is that this excellent film came from the directing skills of Paul W Anderson who was also responsible for such tragic misfires as Resident Evil and Alien Versus Predator and shows that there is more to Hollywood's Generic Director For Hire than first imagined.<br/><br/>Set in the year 2047 the story concerns the sudden reappearance of a prototype spaceship (the Event Horizon of the title) which vanished on it's maiden voyage seven years previously. A salvage ship called The Lewis And Clark is sent out to investigate and brings along Dr William Weir (Sam Neil), a physics expert originally responsible for the ship's creation. They dock with the Horizon but find no signs of life and as they set about making repairs, the crew begin to experience hallucinations and sense that they are not alone...<br/><br/>So far so very familiar but this is far, far more than a rip off disguising itself as a 'homage.' For one thing there is no predatory alien hunter on the loose and instead the horror is far more psychological. Not that there isn't a fair amount of violence and gore but the gradual sense of unease that builds up to it is crafted more on the crew's growing sense of anxiety and paranoia. Plus, there is no definitive explanation given for what they are experiencing. Just what are these Ghosts from their pasts doing on this ship? And what exists on the other side of the black hole? Another dimension where mankind was never meant to go or as the movie itself suggests but doesn't confirm, the very depths of hell itself? Couple this with the excellent set design - the ship is modelled on the Notre Dame Cathedral in Paris - and the pulse-pounding moments in the latter half when the chaos sets in and you have one tremendously enjoyable horror film. Best watched alone at night with all the lights off where you can properly get swept up in it's claustrophobic atmosphere, you'll never need eyes to see again."
"ctoguy","7","317","411","16 July 2006"," An intelligent scary ride.
","This is actually one of my favorite horror movies. It is smart, scary, and yes, even a little disturbing at times. While some of the ideas behind the science are absurd, that is why it's called science-""fiction"".<br/><br/>The cast does a good job in their roles, and the setting for the movie is dark, creepy, and perfectly done.<br/><br/>I have read several bad reviews in these comments, and I have seen basically two categories of such. One is that the science involved is ridiculous. This is a movie. A horror movie. A horror movie on a spaceship in the future. I think it's time to suspend your disbelief and enjoy the movie.<br/><br/>The second complaint I have been reading is even worse. That the movie is too scary and disturbing! I don't think I have EVER sat down to watch a scary movie and been upset that it was...scary. Perhaps the movie was accidentally placed in the children's section.<br/><br/>Regardless, the movie is fun and scary. Exactly what most people look for in a scary movie. I highly suggest renting this gem and enjoying it for what it is: One of the better horror movies of the late 90's."
"Agent10","7","225","303","7 May 2002"," A good mix of horror and sci-fi
","This film was a lot better than what most people gave it credit for. The cinematography was excellent, and the lighting gave the film a very eerie feel to it. Certainly better than the average sci-fi film. Not only did the film mix two mediums almost perfectly (sci-fi and horror), it completed the union almost flawlessly. Not a perfect movie, but then again, Sam Neill was amazing in this film. Virtually all of the technical aspects in the film were top-notch. While it didn't advance the film industry overall, it did make an impact in the sci-fi genre."
"Mash-the-stampede","9","105","141","2 June 2010"," ""Save yourself...from hell""
","To this day, ""Event Horizon"" is THE scariest horror science fiction film i have ever witnessed!<br/><br/>I was 14 years old when I first watched this film on video and to put it lightly...it scared the shiz out of me! I loved it!!! Now 12 years later a finally purchase the film on DVD (ordered from the states as I can't find it anywhere in New Zealand) and I watched it with a couple friends who have never seen it before. Suddenly I was 14 again! A scared child, too frightened to look away from the screen. Caught in an icy grip of fear and excitement! A feeling I haven't felt since the first viewing of 'Event Horizon'. Brilliant! I jumped in all the same scenes I jumped in 12 years ago and i was so absolutely absorbed in this film. My friends felt the same way i did and we all sat on the same couch with the lights off while this film quietly terrified us!<br/><br/>Now I'm not exactly a huge horror movie enthusiast as i find most horror films to be stupid, cheesy and just not scary in the slightest. Horror films now are especially ridiculous as that ""Saw"" series (when will it end?) is just silly and repetitive which is a shame as the first film is a pretty descent thriller, which seems to be another problem for horror films is that there are too many sequels with each film becoming further and further detached from the original making the whole premise and idea of the film pointless and boring.<br/><br/>Which is exactly the reason ""Event Horizon"" works. It is a stand-alone film. No sequels. No actual killer as such...it is the presence of an unseen evil which corrupts the characters into becoming warped and ultimately the cause of their own demise. For a horror film the kill count is surprisingly low and no one actually dies during the first hour of the film. It's the suspense of the film and the actual idea behind it which is so un-believable frightening that you find yourself absorbed and un-able to look away from the screen....gripped in fear. That's why this film is so brilliant. The cast is great. It's not overly convoluted. It's scary beyond belief. The story is good enough to keep the viewers attention and adrenaline pumping and the special effects have held up surprisingly well for a film that was filmed back in 1997.<br/><br/>I really wish there was a Director's cut edition of this film.<br/><br/>If you've seen this film and you were not frightened...you are either really warped, lying, or talked all the way through it. i suggest a re-watch by yourself with the lights off and all other distractions (laptop, cellphone) switched off as well and just sit and watch...I guarantee fear will gnaw at you eventually.<br/><br/>And if you enjoyed this film, you should also check out ""Pandorum"" as it is also fairly good, though not quite in the same league as ""Event Horizon"".<br/><br/>""Liberate tutame...ex inferis."""
"Maarten1985","7","76","101","13 August 2006"," Decent sci-fi/horror - Underrated
","EVENT HORIZON is a pretty good sci-fi/horror movie which you'll either love or hate. It's a very dark and depressing movie which completely justifies the 'terror' in the tag-line. Perhaps the continuing terror is why some people probably dislike it.<br/><br/>As far as I know, most horror movies lack a decent story or decent acting or character development. That's why I'm not into horror movies that much. But Event Horizon has an interesting story that is an ideal and most of all original environment for a horror movie. Even though character development is limited, as the film progresses you'll get to know most of the characters better. Especially Sam Neill's (Dr. Weir) and Laurence Fishburn's (Cpt. Miller) characters.<br/><br/>The acting was done very well by most of the cast, most notable Laurence Fishburn and Sam Neill who did a good job. The sets on the other hand are brilliant and creepy at the same time. I would not feel comfortable walking around in any of those rooms, especially the engineering room featuring the Gravity Drive (sphere with 3 magnetic rings within a room filled with deadly spikes on the walls and ceiling). This adds more tension than there already is to the movie which makes the experience only better and worthwhile.<br/><br/>The special effects in this movie are quite a treat. Ranging from an external view of the gigantic Event Horizon around Neptune to Dr. Weir and his 'HANDywork' with his eyes.<br/><br/>In my opinion, this is a good but underrated sci-fi horror movie with lots of freaky moments that will keep your heart racing. If you like the depressing endless terror, you'll like this movie quite a bit. If you rather have happy endings and laughs, you'll probably dislike it.<br/><br/>For the best experience, watch this movie in a dark room at night or even past midnight with the volume turned up a bit over the normal setting.<br/><br/>Rated 7/10 on IMDb, but I personally would give it a 7.5/10."
"Megn1","10","373","534","5 July 2005"," So brilliant its hard to believe Paul Anderson directed AVP.
","This is without a doubt one of the greatest horror films ever made! I wouldn't classify it as sci-fi even though it does pay homage (or some would say rip-off) to many of the greats, such as Alien and The Black Hole. This is a pure horror film and also has a b-movie charm. This is the kind of movie William Castle would be directing if he was still alive today, but much better! It is the best haunted house movie of the lot, but its set in a spaceship.<br/><br/>OK, the movie doesn't have the most complicated plot or character development, it works because of the atmosphere and Paul Anderson has pulled off a one-trick pony here. The atmosphere in this film is so friggin brilliant that you forget you're watching a movie and it physically affects you! James Cameron and Ridley Scott reached this level of brilliance in the Alien films and David Fincher with Seven.<br/><br/>I've seen this movie over 20 times. It is incredibly entertaining, with fine performances, amazing special FX, one of the best and creepy music scores ever, the best space production design ever, the best subwoofer explosions, the best cinematography, energetic and brilliant direction...I could go on....<br/><br/>It's also become a bit of a cult classic nowadays. I've loved the film since it was first released and every friend I show it to agrees and considers it a sleeper. It is also one of the only films I know that induces fear into the audience and provokes them to curse in awe. Every time my mates and I watch it, we are gobsmacked in its craziness! 10/10 - Easily in the top 10 horror films of all time! One of the most entertaining movies ever made. Paul Anderson has never surpassed this film and it will be the one he is remembered for."
"the_tewsons","8","188","266","7 August 2006"," Disturbingly Good
","I tried to remember the last time I found myself scared or disturbed by a movie. It was so long ago in fact that I simply couldn't recall. I was 35 when I first saw this movie; after it had finished I felt like I was 10 years old and had just finished watching an old scratchy B&W werewolf flick.<br/><br/>It had been so long since I had truly been disturbed in a scared way I'd almost forgotten what it felt like. Schindlers List troubled me, but not in this way, this was a true feeling of shock and horror. Four or five minutes after the screen had gone blank and the music faded, I'm still staring at the TV screen in a nicely terrorized state. I had to shake myself to snap out of it. Fabulous!!!!!<br/><br/>I love seeing peoples faces after I have told them to watch this film. They give me that, ""Oh my God!!!!!!"" look and breath in deeply at the same time. They too have been truly traumatized for a short while. When they discover the nature of the garbled video message is a great recoil moment within the film and one I can still remember some 5 years after seeing it. If you're easily scared don't watch this movie, you'll have a heart attack. If you haven't been scared in a while then be prepared for how marvelous that feeling is. <br/><br/>YOU HAVE BEEN DULY WARNED!!!!!!!!!!!"
"Chrysanthepop","Null","86","118","4 February 2009"," Hell's Horizon
","'Event Horizon' is very much an atmospheric sci-fi horror. It does not rely on gore (although there is enough of that) but rather it is the creepy atmosphere that engages the viewer. Andersen successfully creates a tense, depressing, and claustrophobic atmosphere. The suspense and pace are well maintained. It pays tribute to several movies of the same genre (like 'The Shining', 'Aliens' etc). Character development is slightly weak but the actors do a good job and the viewer cares for them. Sam Neill, Laurence Fishburne, Kathleen Quinlan, Joely Richardson, Richard Jones and Jason Isaacs do a fine job with what they're given. The sets look very unwelcoming and creepy. The special effects and sound effects are good. The cinematography is superb. The plot is a little complex and difficult to follow in the beginning leaving the viewer wondering with what exactly is going on but this becomes easier with repeated viewings. In my view, 'Event Horizon' is an underrated film and perhaps did not get enough recognition because it did not have any stars or enough 'monsters' and 'blood' or perhaps the subject was a little too complex for some to grasp."
