"username","rating","helpful","total","date","title","review"
"bob the moo","Null","129","151","8 April 2012"," A tad confusing in the telling, but excellent in the tone
","There is a certain snobbery with films that require more than a small amount of attention – an opinion that if you even ask about a small detail that you missed that you should then go watch Transformers and leave real films to the grownups. It is unpleasant superiority and it is mostly undeserved because to be honest this is a hard film to follow and it does demand attention. Those wishing to insult me via private message can do so, but I did struggle several times to understand how things fitted together and what relevance certain scenes had. This didn't limit my enjoyment of the film though and mostly I still followed the broad stroke of the plot, even if some bits of it did lose me.<br/><br/>I've not read the tome of a book or seen the BBC mini-series, so I can't comment how well it compresses down to this two-hour film, but for me it did at times seem to be cramming a lot into a small time and occasionally it felt like it was unnecessarily convoluted or confusing. If you stay with it as best you can, it is intriguing and rather dramatic considering that much of the film is people talking to one another as opposed to chases and gun fights. The success of this is mostly down to the atmosphere and tone created by director Alfredson, because there is a constant tension to the film – cold perhaps, but very tense at times, certainly not bored even if it can look that way from a distance.<br/><br/>This is not what he does best though, because to there was an aspect to the film that was excellent and this was the feeling of outdatedness, of an unnecessary function and a pointless ""war"". This feeling is in the characters, in the set-decoration and in every shot. The men we follow had the height of their import many years ago – now it appears they are mainly fighting their equal numbers on the other side simply because they exist. I really liked this overarching sense of smallness that sat across the film and I enjoyed finding it being employed in even the smallest detail – in the attitude of a minor character through to the cheap ""do not unplug"" text scrawled on the wall (those that work in older offices will know this feeling). Alfredson is bang on the money with this feeling, it is part of the story and it is brilliantly delivered throughout.<br/><br/>Speaking of brilliant delivery, the cast is deep in British talent and unsurprisingly they deliver. Oldman may not have won the Oscar but he is great here – working with restraint and doing so much. He does so much with minor reactions and movements and he is a great character. He is the lead here but alongside him is a cast that is hard not to just list – Cumberbach, Hurt, Jones, Firth, Burke, Graham, Hardy and so on; British all perhaps but it says a lot that almost all of the supporting players here will be recognised internationally. Everyone gives strong performances and everyone seems to understand what Alfredson is doing.<br/><br/>Overall, this is a great film albeit one that is not as easy to follow as those impatient snobs would have you believe. It is OK to struggle with some aspects and it is still easy to enjoy the film. The plot engaged me but what stayed with me more than anything else was how it all seemed so unimportant, how those involved were all working to ignore the irrelevance of their work and how very tired this world seemed – this aspect was very well done and made the film as much as Oldman's strong central performance."
"scunnered_again","8","296","358","16 September 2011"," Not everyone can be one of Smiley's people.
","It is true to say that Smiley is no Bourne nor Bond but Tinker Tailor Soldier Spy is a beautifully played and observed spy film. Should you expect car chases, spills, thrills, gadgets galore and closely-choreographed fight scenes then you WILL be disappointed. <br/><br/>Set in smoke-filled, sepia-tinged 1970s, the film centres around the uncovering of a mole 'right at the top of the circus'. The 'circus' is the British Intelligence Services and is made up of a who's who of British acting talent - Firth, Hinds, Cumberbatch, Hardy, Strong and Hurt. For the most part, the action takes place in the brown-suited and wall-papered world of England but we are given brief glimpses of the spy territory in Budapest, Paris and Istanbul. Smiley, played inscrutably by Oldman, is tasked with uncovering the mole and is ably assisted by Guillam, the ever-watchable Cumberbatch. <br/><br/>Admittedly this is a slow-burn of a film, full of meaningful looks, pregnant pauses and one that hints at deeper and more complex plot strands but it has an authentic air and it is a fascinating to observe a build-up of tension and cold-war paranoia which culminates in a dramatic if subdued fashion. Being slightly too young to have watched the original Alec Guiness TV series, I cannot make any direct comparisons and I imagine that a TV series allows much more time for plot and character development. The film must be judged on its own merits, and whilst I am sure that this will not be to many mainstream movie-goers' tastes, it is one for those who are looking for a film of a different type, time and pace."
"the_rattlesnake25","9","286","380","17 September 2011"," James Bond, this is not...
","Forty-six year old Swedish director Tomas Alfredson came to prominence three years ago when he directed the film adaptation of John Ajvide Lindqvist's novel 'Let The Right One In'. After the initial success of the vampiric romantic drama, Alfredson became attached to an international adaptation of John le Carre's espionage-novel 'Tinker, Tailor, Soldier, Spy'. Based on aspects of le Carre's (also known as David Cornwell) experiences during his time as a member of the British Intelligence service sectors MI5 and MI6 during the 1950s and 1960s, Alfredson creates a fine, absorbing picture which engrosses from beginning to end.<br/><br/>Control (John Hurt), the leader of an unknown sector of the British Intelligence service, is ousted along with his long-standing companion George Smiley (Gary Oldman) due to a botched operation in Budapest, Hungary which saw the officer Jim Prideaux (Mark Strong) murdered in public. Control was under the impression that there was a mole among the top ranking members of the service, referred to as the Circus by the other top ranking members due to its location in Cambridge Circus, London, and Smiley is drawn out of retirement to pinpoint the culprit after Control passes away. Alongside the young Intelligence officer Peter Guillam (Benedict Cumberbatch), Smiley has four primary candidates to focus his investigation upon; they are the last remaining members of the Circus, Bill Haydon (Colin Firth), Percy Alleline (Toby Jones), Roy Bland (Ciaran Hinds) and Toby Esterhase (David Dencik).<br/><br/>Utilizing an all-star, established cast, Alfredson allows the film to unfold at an almost flawless pace. Every sequence contains a small snippet of information which allows the viewer to conduct their own investigation alongside that of Smiley's. While the narrative is also driven along by strong performances from the primarily male cast, Gary Oldman, Colin Firth, Toby Jones, Ciaran Hinds, David Dencik, Stephen Graham and Kathy Burke all give strong, commanding performances. While the true artists of the piece are Benedict Cumberbatch, who plays the young, and somewhat naive intelligent officer assigned to assist Smiley. John Hurt as the aging, instinct-driven leader of the British service, and Tom Hardy, who is Ricki Tarr the dirty cleaner for British intelligence's most fowl operations. Their performances go above and beyond in their supporting roles, and at times eclipse Gary Oldman's subdued portrayal of a man drawn back into the murky world of corruption, betrayal and treasure.<br/><br/>Alongside the narrative and its cast, one of the more surprising aspects of the film, is Alfredson, Cinematographer Hoyte van Hoytema and Editor Dino Jonsater's use of stylistic nuances that further enhance the viewing experience. Lingering close-up shots of seemingly insignificant objects and shallow focus shots constantly evoke the nature of mystery and intrigue which surrounds such clandestine organisations. Alfredson never rushes any moment, instead he allows for the audience to become accustomed to their surroundings and appreciate their beauty. Wide angle shots and long lenses are used for interior and exterior locations, showcasing the breakdowns of their interiors, while close-up shots are used to examine objects and characters in their most frail states. During the opening sequence involving Prideaux's botched secret mission, a simple concoction of jump cuts and lingering static shots concentrating upon various characters within the vicinity creates a sense of the tension, suspense and vulnerability of the situation and this is how Alfredson constantly keeps the audience engrossed. By providing those observing the action on screen with just enough information that they themselves become entwined within Smiley's investigation as he moves forward.<br/><br/>Once the credits and a dedication to the films screenwriter Bridget O'Connor who passed away last year finish, the viewer is left with an overriding sense of satisfaction. Smiley's world is a far cry away from the glitz and glamour that the espionage genre has become accustomed to. There are no martinis in sight, but only reel upon reel of bureaucratic wrangling, childish bickering and greed-induced deal-making, where it seems everybody is working for themselves and their reputation rather than the nation's government that is employing them. Since its premiere at the 68th Venice International Film Festival 'Tinker, Tailor, Soldier, Spy' has been touted as an Oscar contender and it is easy to understand why, Tomas Alfredson has taken a solid source novel, utilized an established cast and infused the final concoction with elements from his own visual repertoire to create a wonderfully crafted film that does the original BBC televised series justice."
"kevdrury-1","9","290","397","17 September 2011"," Class all the way through
","I have been eagerly awaiting this production for a long time and have not been disappointed. Never have I seen such a compilation of such fabulous performances together. No way is this another James Bond, it is how the world of espionage was, and is today. No car chases in Aston Martins or gadgets but a world of seedy little offices and the grim reality of this genre. What had the greatest impact on myself was the slow deep menace conveyed by all. Difficult to single out any one performance as all were amazing but I particularly admired Gary Oldman, Mark Strong and Tom Hardy for their work. At times this film has some unexpected moments of shocking cruelty. Complex character portrayal is presented in a slow deep style that only inspires you to know more about the person. The story itself is a classic and known by many, yet this production introduces a few changes which work well. One of the most absorbing and classy movies I have seen and has left a lasting impact on me. Please, please, please, make Smiley's People now."
"petra_ste","9","12","13","12 November 2018"," The fanatic is always concealing a secret doubt
","Since I am a fan of both John Le Carré and Gary Oldman, this looked like a perfect match. For once I was not disappointed: Tinker Tailor is a fine adaptation and a masterful spy thriller.<br/><br/>(Now do Smiley's People, please, keeping Oldman and the same writers. The Honourable Schoolboy we can skip, as it's both harder to adapt and, to be honest, not quite as good as the other two Quest for Karla books).<br/><br/>Oldman, one of the most versatile actors around, is phenomenal as George Smiley. Smiley - Le Carré 's owlish, middle-aged spy who is essentially the anti-James Bond - investigates a Russian double agent inside the British Secret Service. Oldman perfectly captures both Smiley's wounded humanity and his keen intelligence - a quiet, unassuming man who, in the dangerous world of spy games, can turn into a skilled hunter.<br/><br/>The stellar supporting cast - including John Hurt, Mark Strong, Benedict Cumberbatch, Tom Hardy, Colin Firth, Toby Jones, David Dencik and Ciaran Hinds - is also excellent. I have to say Hinds is underserved by the otherwise perfect script though; his Roy Bland (nomen omen...) is the only significant character who remains a blank. Everyone else is so well-sketched, he sort of sticks out.<br/><br/>Director Tomas Alfredson crafts a meticulous, intelligent movie, one which requires attention but rewards it with a tense, compelling viewing experience, the thinking man's thriller.<br/><br/>8,5/10"
"timdiggles","Null","177","247","21 September 2011"," Brain not brawn
","It really is interesting to read the above reviews. I've just come back from seeing it and thoroughly enjoyed it, but I wondered if for people who hadn't read the book or seen the TV series it would make sense, and obviously it doesn't. It also doesn't fit the change in perception that the current generation have needing an edit at least every 5 seconds and a linear storyline, that's not ageist, just what we in a much older generation have left as our inheritance, sadly. I really enjoyed the film references whether they are intentional or not, they range from Rear Window to La Nuit Americaine to Mr Bean's Holiday to Godard. Gary Oldman as Smiley is very good, much colder that AG and as in the book a bit younger. It is also less of the feel of a group of Oxbridge Dons in charge rather ex servicemen as MI5 was in those days. I was in my 20's in the early 1970's and the general dullness of everything during that time comes through very well. I would think that after they edited it they wished they hadn't had some rather crass graffiti so prominent, but I remember it was all over London at that time. Good film with a plot that makes you concentrate and you have to use your brain, well worth seeing, but don't go if you want thrills and spills."
"Theo Robertson","6","101","138","9 September 2013"," The Fact It's Uncinematic Is A Major Problem
","John Le Carre is without doubt one of the literary greats of the late 20th Century . A master of complex story telling his novels are often composed of characters standing around discussing complicated geo-political situations and the human condition . This means that his novels are fundamentally uncinematic , a fact reflected that so little of his work has been adapted to the silver screen . With this adaptation of his 1974 novel I doubt if anyone was expecting a James Bond thriller and I know I wasn't but even so you're struck as to how a Le Carre thriller doesn't lend itself to mainstream cinema <br/><br/>You can't fault the film for its production values . It contains a who's who of prestigious big hitting British character actors such as Oldman , Hurt and Firth alongside up and coming peers such as Hardy and Cumberbatch . We also get a host of under rated actors in Strong and Burke and at a casting level none of this can be faulted . The look of the film is fantastic with the brownish dull hues reflecting both Communist Eastern Europe and run down Britain in the early 1970s and a day after seeing the movie my abiding memory of the film is the cinematography <br/><br/>The problem is that - and I'm afraid to admit this - is that I didn't have a clue what was going on most of the time . A British agent is shot and caputured in Hungary and MI6 believes he was set up by a mole . I understood this but then we cut to a character after character discussing who the mole might be , do we have a mole and we don't have a mole and very soon I was very lost . This film topped the film charts in Britain for a grand total of three weeks and one suspects by way of a backhanded compliment many people went to the cinema for a second and third time in order to unravel the plot . This is all well and good but illustrates the fact highly regarded novels often don't lend themselves to great cinema . Let's not forget two of the most memorable movies of the 1970s THE GODFATHER and JAWS were based on novels dismissed as trash"
"benxr","10","14","16","8 November 2015"," Masterpiece
","I have watched this movie 5 times, and I would love to do it 5 more times again; it will actually be my preference over anything I might have available to sit down to and don't quite feel like risking, any time I feel like doing it again.<br/><br/>It has that perfect mixture of a good old European crime movie flow, underpinned with some of the best contemporary music ever adapted for the screen. And then it adds some of its own mystery on top of that.<br/><br/>The cast is mesmerising, the plot just about difficult enough to figure out on the first watch, so the remaining four runs for me were simply pure indulgence in being able to watch a masterpiece again from four different perspectives and not be bored a minute each and every time.<br/><br/>In fact, I enjoyed it more and more, every single time I've seen it."
"imagiking","8","193","278","17 September 2011"," A Genuine Achievement
","Boldly announcing himself upon the stage of international cinema with 2009's Let the Right One In, the significant critical and commercial acclaim accorded director Thomas Alfredson clearly proved him a filmmaker capable of pulling off high quality adaptations of complex and dark literary sources.<br/><br/>Called back into service to uncover the identity of a Soviet mole at the height of the Cold War, retired British intelligence operative George Smiley is tasked with unwinding a vastly convoluted web of conspiracy, codenames, double agents, and deceit.<br/><br/>The movement from relatively low-budget foreign language filmmaking to helming star casts in comparably costly productions is one that, historically, holds significant risk for directorial careers. Add to the mix the danger of bringing a much-loved novel to life on screen, and Alfredson is certainly faced with a substantial task. An espionage thriller, Tinker Tailor Soldier Spy—based on John le Carré's book—throws an extremely layered narrative at its audience and insists they keep up, making little in the way of allowance for those accustomed to excess plot exposition. Concerning an approximate dozen key characters—most of whom go by at least two names—the film contains a considerable quantity of raw information to be processed, particularly considering its reserved pace; the camera scrolls slowly across the screen in step with the story's measured progression, constantly moving along yet never losing the integral tension of its hastelessness. Alfredson and screenwriters Bridget O' Connor and Peter Straughan demonstrate a keenness for the more tensely-oriented end of the genre, delving into an atmosphere of unease rather than one of brisk spy action. There is almost an air of claustrophobia to much of the film, the caliginous cinematography and mysterious score combining to evoke an aura of noir paranoia. Much like Let the Right One In, Tinker Tailor Soldier Spy boasts a thrilling visual panache; indeed, Hoyte van Hoytema's cinematography is oftentimes so remarkably involving that entire scenes may pass by without any absorption of the dialogical details disclosed therein—the brain is simply too overcome by the aesthetic bombardment of visual pleasure to decipher the explicit aural signals. One particular shot—an extreme close-up of Smiley's wearied face draped in shadow— affords the audience the time to study the furrowed ridges of his forehead and the weighted bags of his eyelids, giving us an entitled sense of knowledge of, and familiarity with, this character. It seems almost redundant to offer praise to the film's extraordinary cast; a brief glance at the list of exemplary names will disclose the sheer calibre of talent on display: a veritable dream team of the finest names of modern British cinema. From Firth to Hurt, Hardy to Cumberbatch, Oldman to Dencik, the phenomenal cast plays beautifully together, each actor inhabiting their character with award-courting flair. Where Tinker Tailor Soldier Spy really shines is in its characterisation—an all-too often underutilised aspect in this genre—each of them distinctly human rather than simply mouths through which the plot developments are channelled. Their primary concern may be with their espionage, but ours is with them: exploring their motivations; their private lives; their loyalties; and just how a career like theirs affects an existence. A recurring Christmas party scene revisited a number of times throughout the film reminds us regularly that these intelligence agents are not solely extensions of the government's facilities, but rather human beings with emotions, afflicted by the agonies of their toils, burying themselves in vodka-laced punch to just get away from it all.<br/><br/>Hitting all the right notes in its performances, script, and direction, Tinker Tailor Soldier Spy triumphantly infuses a challengingly multifarious narrative with a deeper humanity, questioning by proxy the way in which devotion to duty affects all aspects of our lives. Shot with unforgettable effulgence—committing to memory eternal every last contour of Oldman's storied brow—it is a genuine achievement in cinematic storytelling."
"katcoviello","10","13","15","12 September 2017"," Every time I watch it I see something new.
","I love this movie. I have found that everyone in my household also loves this film. This includes people from the baby boomer generation, Gen X, and a teenager. The hazy, monochromatic tone and slow pace gradually draws you into another time and every time I watch it I discover new details, hints and clues that were previously missed. Yes, it is a little confusing the first time you watch it, but ride it out. Watch it again. I guarantee you'll grow an appreciation for it."
