"username","rating","helpful","total","date","title","review"
"DonFishies","10","915","1277","19 September 2010"," A beautiful and nightmarish masterpiece
","There are not enough words in the English language to describe the praise Darren Aronofsky deserves for Black Swan. It was one of the most talked about and sought after films at this year's Toronto International Film Festival (which I managed to snag a ticket for), and for good reason – it is a masterpiece that is just as much beautiful as it is nightmarish.<br/><br/>Nina Sayers (Natalie Portman) has toiled for years within a New York ballet company, always pushing herself. The company has fallen under hard times, and director Thomas Leroy (Vincent Cassel) makes the swift decision to put on a new rendition of the classic Swan Lake. With the company's go-to lead pushed into retirement, Nina is quickly selected to be the lead in the new ballet. With competition arriving in the form of new dancer Lily (Mila Kunis), and the demanding desire for perfection from both Thomas and her overbearing mother Erica (Barbara Hershey), Nina begins a journey into dark uncharted territory.<br/><br/>Black Swan is an enthralling and visceral experience from beginning to end. Aronofsky has used what he has learned from making the raw and unflinching The Wrestler and the cerebral horror and incredibly disturbing Requiem for a Dream, and has crafted a film that you will simply not be able to take your eyes off of. He builds up rather slow, but right after that first moment of off-the-rails insanity, he delivers one hell of an incredible piece of cinema. One that is not easily able to be classified to any one genre.<br/><br/>While you may have read suggestions that Black Swan and The Wrestler are two halves of the same film, make no mistake at looking at it any further beyond the comparison of being about two people toiling within two very different forms of art. Black Swan is never a low budget character piece. It is a film that navigates between being thrilling and horrific at the same time. While the horror elements start to take more prominence in the second half (specifically the rather squeamish elements of body horror, done in a way that would make David Cronenberg proud), the film never lets one completely overtake the other. It manages to maintain this sense of dread, darkness and rather graphic wound/injury infliction throughout.<br/><br/>The visuals and editing are the drive of what helps make the film so well done. Contrasting blacks and whites so frequently give the obvious hints of good and evil, innocence and darkness. But Aronofsky likes to throw in hints of ambiguity at every turn, changing the colours for each character depending on the scene, and depending on what they may or may not be doing. Even the scenery and set design is in plain black and whites, always making the audience guess the true motivations and intentions of both character and creator. Adding in the element of reflection, both in others and the self (mostly through mirrors), only helps compound these feelings of ambiguity and confusion. It will consistently keep audiences thinking about what is being shown and what is actually going on. The subtle visual effects and astoundingly well done score only help add to the greatness.<br/><br/>Aronofsky also deserves recognition for the film's lean running time. When so many films are often far too long and dragged out, this film maintains a sense of momentum that never gets lost at any point. The film's slow points are never dragged out, merely well padded out for the shift from Nina being innocent to adrenaline soaked horror as she descends into the realm of darkness. Rather gracefully, Aronofsky manages to balance the goal of Mark Heyman, Andres Heinz and John McLaughlin's script to blend Nina's tale with the story of Swan Lake itself, and never loses sight or direction at any instance. This is bravado style filmmaking at its finest, and more than suggests that the brilliant direction in Requiem for a Dream was not a fluke.<br/><br/>Portman, who has shown her acting merits before in the likes of Closer, delivers a startlingly intense and beautiful performance as Nina. At once you can see the innocent, sexually repressed little girl who just wants to please her mother, and the sexually depraved fallen angel, inching closer towards independence and adulthood. She is very clearly not ""well"" in the beginning of the film, and as the film progresses, you can practically chart her 180-degree reversal in character. She is downright terrifying in many instances, and more than proves her worth as an actress. When she finally dons makeup late in the film, her transformation from a once promising talent to a full blown powerhouse talent becomes simply marvelous to watch.<br/><br/>The supporting cast only helps to further complement Portman's extraordinary performance. Cassel is amazing as always as the slimy and twisted Thomas. We never really get more than hints at his true intentions, but Cassel makes every moment on-screen simply amazing. Kunis delivers a level of depth I never thought was possible for her. She commands the screen with every new scene, and this performance will easily act as a starmaking role for her. Hershey is even better; practically stealing the screen away from Portman's magnetizing performance. She makes Erica into that monster of a character everyone loves to hate, and brings a level of intensity to every mere moment she appears in. If anyone is even nearly close to equaling Portman's performance, it would be her. Despite only appearing for a few minutes, Winona Ryder is amazing in her role as the former lead ballerina Beth. I just wish she could have chewed up more scenery.<br/><br/>Black Swan is an incredible film from beginning to end, and will not easily leave you. It is a masterpiece of unheralded success, and is easily the best film I saw at TIFF. Watch out for it at Oscar time – it just may steal the show.<br/><br/>10/10."
"colinrgeorge","9","548","771","18 October 2010"," A Swan Dive into Darkness
","Darren Aronofsky's ""Black Swan"" makes ballet cool—and if that isn't a Herculean feat in itself, I don't know what is. It also happens to be one of the best films of the year, featuring one of the best performances of the year. Natalie Portman will be nominated for her devastating portrayal of petite perfectionist Nina the ballerina or I'll pull a Werner Herzog and eat my shoe.<br/><br/>""Black Swan"" is cut from the same cloth as Aronofsky's 2008 film ""The Wrestler,"" if at the opposite end. Interestingly, before either project was realized, the director was reportedly mulling a drama about the relationship between a professional wrestler and a ballerina. Somewhere along the way, however, that concept was split down the middle—and thank God. ""Black Swan"" is brilliant, but it wouldn't necessarily play well with others.<br/><br/>Like its predecessor, the film examines a physically demanding and widely unappreciated art, and though thematically similar, the two complement each other via mutually exclusive cinematic vernaculars. ""The Wrestler"" is ultimately a safer film. Its emotional experience is directly conveyed via plot and dialogue. What Aronofsky attempts with ""Black Swan"" is riskier: he plays genre Frankenstein, taking established themes and transplanting them into that which feels initially least appropriate—horror.<br/><br/>Yet despite certain unmistakable cues, I'd hesitate to call ""Black Swan"" a horror film. Visually, maybe, but John Carpenter insists ""The Thing"" is a Western, and likewise there is more to ""Black Swan"" than is aesthetically obvious. It probably best fits the psychological thriller mold, but as Aronofsky suggests through his manipulation of mirrors, it is not a film that ever casts a clear reflection. For me, that dichotomy is what makes it so fascinating and rewarding.<br/><br/>""Black Swan"" strikes an immediate haunting note that seems to grow louder with reverberation rather than quieter. In the first half, the director lays track work; in the second, he runs right off it. Nina begins her journey receiving the coveted role of the Swan Queen in a modernist production of Tchaikovsky's ""Swan Lake."" Her practiced technique makes her ideal for the role of the goodly White Swan, but her lascivious director (Vincent Cassel) has reservations about her ability to portray her evil twin, the titular Black Swan—a character that embodies impulse and lust. Nina's process of unlearning takes her to increasingly dark, surreal depths.<br/><br/>The final act of the film comprises the most riveting 40 minutes I've seen on screen all year, though ""Black Swan"" is never the mindf**k some have improperly labeled it. Aronofsky deliberately builds atmosphere and anticipation toward a Kubrickian climax that is at once obvious and stunning. Tchaikovsky's score falls like an aerial assault, and that inherent theatricality collides with Aronofsky's narrative as they come to a dual boil.<br/><br/>Perhaps best of all, however, is that for all the audacity on display, the director knows when to dial it back as well. The casting of Mila Kunis (""Forgetting Sarah Marshall,"" ""That 70's Show"") was idyllic. She plays a comic relief of sorts, with a comely, down-to-earth veneer but viperous eyes. Her performance is fantastically calculated—she provides derisive, but much needed perspective on Nina's deteriorating sense of reality.<br/><br/>""Black Swan"" is a wholly effective work born from the shadowy underside of the mind, anchored by a career-defining turn by Portman. It is a quick, impulsive piece, but it explains artistic devotion and the consuming nature of obsession as well or better than any film I've ever seen. In hindsight, it feels more characteristic of the filmmaker responsible for ""Pi"" and ""Requiem for a Dream"" than ""The Wrestler,"" though the parallels between it and ""Black Swan"" run deep.<br/><br/>They may be cut from the same cloth, but the difference between the two is as stark as black and white. Hail Aronofsky, the Swan King."
"dpoll390","10","644","943","5 December 2010"," ""Perfect""
","I had the opportunity to see Black Swan in one of the 18 theaters that it opened up on this weekend, although I generally do not do so, I was compelled to write a review of the film.<br/><br/>From top to bottom, this film is at the height of what it means to be true art in cinema. The various elements of the film, the mise-en-scene, was so incredibly structured by filmmaker Darren Aronofsky that one need only sit back and admire at the fluidity of his camera movement, or the marvelous hue of colors amidst a film which has it's color scheme largely dedicated to the symbolism of black and white.<br/><br/>The performances where spot on, Vincent Cassel was terrific as the suspicious teacher, whose brilliance and lust for the dancers in his show are both quite reputable, one often beating out the other. And Mila Kunis truly shines in this one, bringing out a side of her many probably didn't know was possible. She is absolutely beautiful and aptly portrays the black contradiction to Natalie Portmans white, a terrific contrast of good and evil. Kunis, however, as many may assume, is not meant to be there to spark a general conflict of good vs evil, but to emphasize the side of Portman that we have not yet seen. A side that will drive her to the brink of insanity to obtain.<br/><br/>And therein lies the true theme of the film, obsession and physical strain over all else. Much like ""The Wrestler"" we have the main character dedicated to an unappreciated form of physical art. Here, it is Portman's obsession with becoming the lead of the ballet Swan Lake which drives her into madness. You enter her mind as her teacher pushes her to become perfect, pushing her to let go of her fragile White Swan and become the loose and destructive Black Swan. As you follow her through the stages of her audition leading towards a booming finale she becomes less and less aware of what around her is distortion and what is reality. As she loses grip, Aronofsky's ability to depict psychological deterioration shines through.<br/><br/>And make no mistake, this film belongs to Aronofsky and Portman. As stated, Aronofsky captures everything beautifully in frame, his movement of the camera is almost as fluent and beautiful as the very dancers on the screen. His use of behind the head vantage shots has been a bit of a trademark of his, allowing as to see what the character is. And his use of lighting is nothing short of extraordinary. But now comes the true star: Natalie Portman. She blew me away, from start to finish, she displayed her transformation for the sweet girl to the physically and psychologically obsessed, all the way through attempting to embody the white and black swan when necessary, literally trying to become them in her mind, driving her towards insanity in the pursuit of perfection. Words cannot describe Portman's performance here, to say it is Oscar worthy would be a vast understatement, as the depth of her character goes so deep it would nearly be worthy of playing two separate roles. So fragile at time that you fear for her life, and so corrupted at others that you hate her. Acting at it's finest, Portman deserves an Oscar.<br/><br/>All things considered the film is nearly perfect, one of the best dramas I've ever seen, and one that is as iconic and intense as it is horrifying at times. Just to mention a few other things, Winona Ryder, in the small amount of screen time she had, was spectacular, and truly terrifying during particular scenes. And as always, when Aronofsky and Clint Mansell team up, the score is both epic and eerie, somehow simultaneously. The overcasting score of a distorted and intense version of Swan Lake itself brilliantly compliments the atmosphere throughout the film as these two artist have done before. It could nearly work as a silent film, that's how brilliant it is. If you get the opportunity once this film undoubtedly expands to other theaters see it, it's harrowing and at times difficult to watch, but that combination of beauty and horror makes it impossible to turn away."
"moviemanMA","9","302","446","5 December 2010"," The price of perfection
","Darren Aronofsky's Black Swan is an examination of obsession. Obsession for beauty, fame, and above all, perfection. We are shown glimpses of its splendor, only to be consumed by the ugliness and harsh reality that is the world of professional ballet.<br/><br/>Nina Sayers, played by the talented Natalie Portman, is placed in the precarious situation of replacing the company's former star (Winona Ryder), the shining pupil of director Thomas Leroy (Vincent Cassel), in the production of Swan Lake. The role is a dual role, in which she must play both the sweet, innocent White Swan as well as her evil twin sister, the Black Swan. Though Nina is best suited for the White Swan, she must find a way to evoke her inner Black Swan.<br/><br/>Though all of the ballerinas in the company would kill for her role, the least jealous one, Lily, played by Mila Kunis in a breakthrough performance, has become Nina's biggest rival, catching the eye of Thomas. Still, Nina is set on perfecting the role.<br/><br/>It is Nina's obsession for perfection, a constant theme through the film, that is the root of her troubles. This obsession is passed down from her mother, played brilliantly by Barbara Hershey. She too was a ballerina but gave up her career to support Nina, living vicariously through her daughter. Her obsession for dance is shared by all dancers, really, but Nina takes it a step further, causing it to physically and mentally affect her.<br/><br/>The pain and suffering that Nina's goes through takes its toll early on in the film. She sees herself on the faces of strangers, the scratching and itching she inflicts on her back, yet we never see, and the scrapes and cuts that appear out of thin air, as if something inside of her is ready to burst out. As the film goes on, it becomes more clear that her thoughts and hallucinations are blending with her reality to the point where she can't distinguish the two from one another.<br/><br/>Here's where Aronofsky's obsession/passion for filmmaking takes over. He too seeks perfection in his work, finding the right camera angles, the right tempo, and the right composition. This film has some of his best camera work to date, thanks to the cinematography of Matthew Libatique, whose fluid camera movements are the glue that hold the film together.<br/><br/>Aronofsky is a director who tries to make his shots look as beautiful as they can be, while not blowing you away with CGI and special effects. The Fountain, though not a perfect movie by any means, had some truly outstanding photography (also partnered with Libatique) that wasn't heavy on the artificial special effects. Here he makes a similar attempt to create an incredibly realistic picture. It helps that both Portman and Kunis dedicated months and months of training and dieting to get the appropriate look for the film. That hard work paid off for sure.<br/><br/>Without those two ladies the film would be lost. Having seen the film I can't see another actress in either role. They were perfectly cast. Portman, though not afraid to show some skin for the camera in a film like Closer (and even Star Wars Episode II: Attack of the Clones), acts and appears so fragile and innocent in many of her roles. Kunis on the other hand, hearkening back to her days on ""That 70s Show"" has always been the pretty girl with a bit of attitude. Her eyes are almost hypnotic. These two women play perfectly off of each other, contrasting like the two swans in the ballet. I'm sure the talk of the movie will be the scene in Nina's bedroom (see it for yourself), but I enjoyed their night on the town leading up to the bedroom scene more. We see Lilly's influence and persuasiveness affect Nina tremendously.<br/><br/>Their performances are backed by a tight story. It's takes us places that we least expect to go, showing us beautiful and disturbing images that you would not expect from a movie about ballerinas, making Black Swan one of the more original psychological thrillers in the past decade. Like every good thriller, there needs to be good music, too. Enter Clint Mansell, whose score for Aronofsky's second film Requiem for a Dream has become one of the more beloved scores of all time. I am particularly fond of his work for Moon, but Requiem is just as good if not better. Here we have a great blend of classical and original pieces.<br/><br/>These pieces come together to create a portrait of a dancer whose demeanor gets in the way of her heart's yearning for success. When her dreams start slipping, her mind does the same. Passion leads to obsession. Obsession leads to transformation. The White Swan becomes the Black Swan, and she must pay the price."
"hypercube","10","328","496","21 December 2010"," Remarkable.. Aronofsky holds nothing back
","Yeah, it must be Darren Aronofsky, at it again. I'm certain I've just seen a brilliant piece of filmmaking, but at the same time I feel like I've just been run over by a convoy of trucks. It will be a while before I calm down enough to sleep, so here I am.<br/><br/>Not everyone is as big as of an Aronofsky's style as I am, but one thing that can't be denied is that he is great at working with actors. Ellen Burstyn, Mickey Rourke, and now Natalie Portman are all very accomplished actors who have found a new level and delivered transcendent performances under Aronofsky. In Black Swan, Natalie Portman's turn as Nina Sayers is, hands down, the best acting performance of 2010-- male or female. If you'll forgive the cliché, I completely forgot Nina was Natalie Portman about five minutes into the movie. As Nina goes deeper and deeper into her role as the Swan Queen, Portman only becomes more and more captivating. The entire cast is excellent, but Portman alone makes this movie a must-see.<br/><br/>Darren Aronofsky is at his boldest heading up Black Swan. His depiction of Nina's struggles as she succumbs to growing pressures from her director, her mother, her rivals, her physical ailments, her personal need for a perfect performance.. it is intense, thrilling, exhausting, and truly gripping throughout. Part of what makes it work is that we are completely along for the ride with Nina. We see what she sees, we experience what she experiences, and sometimes it is truly distressing stuff.<br/><br/>As great as the first 60-70 minutes are, man oh man, nothing can prepare you for the final 30. This finale takes you to places I can't even describe. I dare say it's on par with Requiem for a Dream's devastating third act. It's a masterfully crafted climax that only Aronofsky could deliver.<br/><br/>I am glad Aronofsky is able to do what he does. His brutal and uncompromising style is definitely not for everyone, and it's not box office gold, but for those viewers who connect with what he's doing, the experience is truly something special."
"mikelepost","5","569","911","11 January 2011"," Mediocre and immature
","Based on the commercials for Black Swan, I walked into the theater expecting to see a film about a career ballerina who is forced to access her repressed dark side in preparation for her role as the swan queen and cracks under the pressure. Instead, the film I saw was about a meek young woman who's possibly schizophrenic and certainly on the verge of a nervous breakdown from the opening reel. There's no real drama because Nina is already broken. All that's left is for the viewer is to watch her become increasingly unhinged.<br/><br/>Black Swan has a lot of flaws: The conception of Nina (Natalie Portman) is a major problem. No woman this childish and meek would ever last in an elite dance company, so it's highly improbable that the company director (Vincent Cassel) would single her out for the prima ballerina role. We keep hearing about how Nina is technically perfect but clinical and restrained, but we never see any evidence of this fact because Portman is filmed mostly in tight facial close-ups during these scenes, probably to disguise the fact that her dancing isn't so spectacular.<br/><br/>The film is utterly predictable in that Nina becomes increasingly unhinged to the point that we, the viewer, no longer know whether what we're watching is ""real"" of one of her hallucinations, which greatly resemble horror movie clichés: she's stalked by her doppelganger, her reflection moves with a mind of its own, she imagines mutilating herself, etc. None of these images are particularly inspired and they spell out the theme of the story in the most obvious way.<br/><br/>Black Swan was utterly derivative of other, better movies. I haven't seen The Red Shoes but so much of Nina's relationship with her mother was cribbed directly from The Piano Teacher that Michael Haneke could probably sue Aronofsky for plagiarism. Likewise, the whole angle of Nina's repressed sexuality leading to her breakdown was done better by Polanski in Repulsion, and that was almost 50 years ago. Black Swan is mostly a hodge-podge of better films.<br/><br/>Finally, the film is every bit as Manichean as its title, with only two poles for its characters: perfectly pure and virginal white or the sensual black whore. Nina has a few drinks, masturbates and tells her oppressive mother off, and we're supposed to take this as some sort of exploration of her ""dark side."" Her rival ballerina Lily (Mila Kunis) literally has black wings tattooed on her back. Could you get any more obvious? I'd suggest that Black Swan works best as high camp and there were some unintended laughs in my theater, but the film is so self-serious and artistically restrained that it's not even gonzo enough to be funny. Mostly it's misery porn that wallows in Nina's suffering without giving the viewer a credible rationale for watching.<br/><br/>Look, the film is well-directed, it looks great, the actors generally deliver good performances despite under-written roles. I've seen many worse films than Black Swan. But in this case the hype is so wildly overblown that I'm tempted to rate the movie even lower than it deserves. Truthfully, this is a 6 out of 10 picture and only slightly better than average."
"DirkesDiggler","10","434","699","28 October 2010"," Absolutely amazing.
","I was lucky enough to see this at the Austin Film Festival and was absolutely blow away.<br/><br/>Aronofsky is, in many ways, like Nick Cave. You know going in that you are going to get something gritty, raw, and real. You know that, even if it's good, it's going to be hard to process. But when he gets a hold of something, really gets a hold of it, you won't be able to look away, no matter how hard it is to watch. He is a singular filmmaker in the regard that he can create something that is both visceral and cerebral at the same time. Others can do this, but few as well. What he does is never hollow, shallow, or empty, it is always dense, deep, and rich with everything that makes film great.<br/><br/>""Black Swan"" is no exception. In many ways this is the most Aronofsky of his films. His style is spot on and works exquisitely with the world he is presenting. It's surprising because he normally shows the dirty, gritty, and ugly places, where as everything in this film is clean and polished. But don't let that fool you, he saved the dirt and grit for the characters. It's remarkable that the man who was able to show the sensitive, and vulnerable side of a wrestler is also able to show the brutal and hard side of a ballerina? For starters, this film looks amazing. The production design, specifically the use of black and white in contrast (don't spend time looking for this, it's everywhere and you will miss something if you do) does it's job without feeling invasive. The lighting is brilliant, as is the staging of the dance scenes. I'm still stunned that the same eye that brought the grainy subway bathroom of ""Pi"" to life is the same eye that brings all this rich and beautiful color so clearly to the screen.<br/><br/>He also does a brilliant job of creating the world that these characters inhabit. This film reminded me of all the terrible parts of my theater days. The backstabbing, the trash talking, and the two faced nature of that world is portrayed with a deft and brilliant touch. There is a constant fear that you are one mistake away from losing not only your part, but your future parts as well. You feel like you are a part of this world, that he pressure of it is part of your world.<br/><br/>The camera work is great, if a little typical of Aronofsky at times (we see the backs of heads quite a bit, it works, but you see it a lot), but it is very affective. The somewhat jittery, close hand-held shots are perfect and pull you deeper into this world than may be comfortable.<br/><br/>Then there are the name performances. Of the name actors you mostly get what you expect. Portman, Cassel, Hershey, and Rider are outstanding. The only real shock, for me anyway, is Mila Kunis. I know her as Jackie from ""That 70's Show,"" and nothing else. She damned near steals the show. That's right, in a move where she shares screen with Natalie Portman, AND Vincent Cassel she is able to not only hold her own, but walk away with some scenes. The interplay between her wild, unrestrained Lilly, and Portman's frightened, tightly wound Nina creates a brilliant external tension to match, and at times overpower, the internal tension that lies at the very core of Nina.<br/><br/>I have been a fan of Aronofsky's work since I saw ""Pi"" on it's original theatrical run ( I think I was the only person in the theater for that midnight show), and he has yet to disappoint. He has a definite point of view and a thematic core that runs through his work. Thematically, this is in keeping with most of Aronofsky's work. It's about control and the loss of that control. What happens when a perfectionist control freak is in a position where she HAS to let go of that control? What takes over when she does let go? In typical fashion, Aronofsky shows us that sometimes in striving to get what we want, we risk losing a part of us that we may never be able to get back, and don't realize how desperately we need.<br/><br/>Read more from me at www.thefilmthugs.com"
"bob the moo","Null","33","48","31 January 2011"," Engaging psychological horror despite not being as ""high-brow"" as the ballet frame suggests
","Esteemed IMDb writer Theo Robertson messaged me the other day about this film and, while I skimmed it for fear of having him influence me in terms of his opinion, I did read that several older people had walked out of this film, seemingly having expected some sort of high-brow film with its roots in ballet. One can understand why because with all the award buzz and the superficial subject matter (ballet) combined with the actress and of course the previous work of the director, this must surely be an intelligent piece to be ""appreciated"" and ""considered"". What one wouldn't expect would be a film that, with a bit more gore, could easily be just another trashy horror/thriller that is released on video and has plenty of sex, violence and jump scares to it.<br/><br/>Well, got news for you, this is what Black Swan is – albeit a superior example of the genre. Essentially our lead character struggles to get in touch with her dark side when she wins the lead in Swan Lake, gradually losing touch with reality and/or being hunted by those around her who wish her harm. This manifests itself through some painful scenes of self-harm, imagined doppelgangers, intense sexual discovery, shadowy figures and a domineering mother who keeps her controlling menace under a veil of vulnerability that only falls here or there. It is trashy stuff in a way but it is done very well so that it produces this genre material but does so in a way that feels slightly classy while also engaging more than it would thanks to a brilliant turn by Portman.<br/><br/>And she is brilliant. I understand the mother because of how well Portman plays – this is not a character she has worked on for a few months, this feels like a product of years under the influence of this mother. She is nervous to her core, frustrated by her own inability to be this ""thing"" that she has spent her life not being – wild, loose, imperfect. Portman nails it and while I don't think it is a brilliant film, her performance is little less than brilliant. In support Hersey is equally as good with less time to do it. The flickers across her face say so much and I was impressed that with so little I was able to understand roughly what had happened in the previous 20 years. Cassel is simplistic but effective in his predatory director turn. Kunis is unbelievably sexual and again she helps the lead role by showing us everything that Nina struggles to find in herself. Ryder is solid in a smaller role. Aronofsky's direction is strong but particularly impressive is the cinematography – the camera flows so well around the scenes (and yet appears in no mirrors). I think he knows he is making a horror movie so, although he embraces the ballet, he doesn't avoid the shock or the build of the horror.<br/><br/>Some have embraced this film as art and a thing of beauty – while others have come away disappointed because that is what they expected it to be but didn't find it. However Black Swan is an effective psychological horror movie that just happens to be set in the world of ballet. As such it is very much a genre movie even if the director etc lift it to feel like more. In particular Portman makes the film – I cannot think I have seen her better and her Oscar (can there be doubt?) will be deserved."
"Samiam3","8","182","302","3 December 2010"," An epic and nightmarish delight
","Natalie Portman lives a dream and a nightmare when she gets a chance to dance Swan Lake in Darren Aronofsky's new film<br/><br/>Black Swan is a very bi polarized film. Portman dances as the white swan flawlessly, but her 'brilliant' choreographer has doubts about her as the black swan. She needs to 'live a little' and be less mannered, but the closer she gets to that point, the more the walls start to close in all around her.<br/><br/>Darren Aronofsky, though he comes close to being heavy handed, has delivered a project which is fiery, spectacular and clever. He sells us ballet as something dark and off putting, starting from his decision to reveal what dancing does to peoples bodies. One mistake and you can crack a toe nail under your body weight, but I don't wanna oversell it. To look at Black Swan in another way, it is an operatic horror film, It has incredible style, but uses it not so much to dazzle but to confuse and intimidate. The paradox of Black swan is that it creepiness is kind of seductive, because it draws you in (much like the way vampires are supposedly romantic)<br/><br/>But style is only half the picture (not even). The rest is in the cast, and mostly in Natalie Portman. She is slow to get started, but she grows quickly and the result is arguably her best performance yet. I've never loved her that much. She's always struck me as more of a girl than a woman, but I guess all she needs is to get a little blood on her hands, and you have an award worthy performance. Vincent Cassel, though he gets some questionable lines, is also at his best. I would have almost liked to see more of him, because you get the sense that his role has a bit more room to grow.<br/><br/>Black Swan does quite a bit, but it's not for everyone. Do not go into this expecting to be emotionally enriched. From the beginning, it is staged to be a mind-twirl, delighting in playing tricks on the audience. Some might call it cheating, but that would be the wrong way to look at Black Swan. It's quite epic, and with year coming to an end, I think it's fair to say that it is among the best of 2010."
"gapodaca1","1","448","786","11 January 2011"," Is it just me? We get it, it's a competitive dance world and it can drive you mad.
","Thumbs down. I've compared this movie to Dr. Jekyll and Mr. Hyde, that is if Mr. Hyde went M.I.A. It was self-indulgent, over-rated and for my money, a waste of time. Sure, Natalie Portman deserves credit for losing 20 pounds and learning some dance moves, but, her acting was flat. Most of the film she played Nina as the Naive, frustrated woman the role required. However, where was the redemptive aggression of the Black Swan? That would have been an action challenge! It was reduced to a few scenes at the end. Wasn't that the whole point of the film? It felt like, ""OK, we're almost out of money so let's wrap this up."" And don't try to label the movie sophisticated or artsy. Please!!!! There's no more sophistication here than a skin-flick on Cinemax. Just because Nina grows wings on stage and her eyes turn red does not make an art-house masterpiece. And the tired lesbian scene is so gratuitous and, frankly, offensive. Yep, another gay predator trying to take the good straight girl to the dark side. I believe this story could have been told beautifully. And not all of it is bad. The music was good and some of the dance scenes were believable. I also liked the camera-work. But, somehow - let's blame the screenwriter and the director - it all turns into a boring cliché': resentful mother pushing her daughter to the brink, lesbian sex-scene, the older man/younger women love triangle, etc. Can anyone tell an original story anymore? Boring! As for Portman, she will win the Oscar for ""Black Swan,"" however, she should have won it for ""Closer."""
