"username","rating","helpful","total","date","title","review"
"subcmdr","10","940","1120","10 November 2019"," 10 Stars from 26-year Navy veteran
","If you want to bypass the quibbles and get straight to the meat of this review, please skip to my last paragraph.<br/><br/>The Battle of Midway is a story that's well known to most Annapolis graduates of my generation and earlier. The battle was a key inflection point in World War II, perhaps the pivotal moment changing the course of the Pacific War.<br/><br/>Although I loved seeing Henry Fonda as Nimitz in the 1976 version of ""Midway"" (Fonda was to play Nimitz in ""In Harms Way"" as well), unfortunately, I found that movie to be surprisingly dull, historically inaccurate, unnecessarily melodramatic, and generally not very good.<br/><br/>Because my experience is that more recent movie renderings of historical subjects usually don't improve the historical accuracy (I'm thinking of 2001's God-awful Ben Affleck ""Pearl Harbor"" vis-Ã -vis 1970's ""Tora Tora Tora""), I did not have high hopes for this new ""Midway.""<br/><br/>I was wrong.<br/><br/>In short, ""Midway"" is a terrific movie. Not only does it get the history (mostly) right, it's a tight, elegant, and superb rendering that does the historical figures proud. It succeeds to pack way more into its 2 hour, 18 minute run length than you can imagine. It covers the attack on Pearl Harbor, the PACFLT-Washington tension & dynamic, Nimitz's ascension to command of the Pacific, LCDR Layton's contribution to the intelligence picture, Joe Rochefort's robe-wearing genius, Yamamoto's soul-searching, Halsey's tenacity, the ascendency of naval aviation, a tiny bit of the submarine contributions to the battle, and-oh yeah-the actual battle itself, to include the incredible, unbelievable jaw-dropping (but true!) heroism of our Yorktown and Enterprise naval aviators. And it does all this justice, in a superb bit of moviemaking.<br/><br/>Can a 26-year Navy veteran like me find nits to pick on? Of course:
<ul><li>I saw a few collar devices that weren't pinned on right (I'm talking about you, Layton!)</li><li>At least one scene that is historical legend but didn't really happen</li><li>The substantially underrepresented submarine role in the battle (being a submariner, perhaps my biggest regret)</li><li>Some Annapolis grads wearing their class ring on the wrong hand (tradition has us wearing our rings on our left hand, not the right)</li><li>Sailors not ""squaring away"" their Dixie cup hats the way they would have back then</li><li>I wish the Pearl Harbor officers' club was as nice as they portrayed it in the movie!</li><li>They placed a non-existent cemetery on Pearl Harbor's Hospital Point</li><li>Kimmel didn't watch the attack from the Pacific Fleet headquarters, he watched it from his office on the Pearl Harbor submarine base (which later became my office and is on the national register of historic places)</li><li>They would not have worn their service dress khaki in the Officer's Club-- they would have worn service dress whites (chokers)</li><li>The band in the O-club would have been locals not sailors (they missed an opportunity to have somebody like Gabby Pahinui playing!)</li></ul><br/><br/>But the good stuff way exceeds the nits:
<ul><li>They got the Pacific Fleet headquarters right-- it's not the Pearl Harbor shipyard commander's building</li><li>They got the torpedo failures right-- torpedoes were terrible early in the war</li><li>They got the Yorktown repair in 48 hours in Drydock 4 in the Pearl Harbor shipyard right-- the shipyard rendering was near perfect</li><li>They got the code breaking room in the basement of the PACFLT headquarters right (when I was stationed there the room was being used to store furniture and I petitioned to get it on the national register of historic places)</li><li>It might have been a lot of CGI, but it was really good CGI. They rendered Pearl Harbor almost perfectly. I could even make out my Ford Island house from my time as commodore, as well as a historically accurate rendering of Pearl Harbor Naval Shipyard, the Pearl Harbor submarine base, and of course, the ships and planes.</li><li>Something I never thought I'd hear myself say: Woody Harrelson was superb as Nimitz. He's no Fonda, but he was understated and believable, the way I've always seen Nimitz in my mind. Not a casting idea I would have thought of, but it worked!</li><li>Except for the collar device issue listed above, the uniforms were exactly right for the period, from the flat shoulder boards that were being used in that era, to the beaten-up look the ship's laundry would have given Service Dress Khaki, to the way the sailors were dressed, to the way the pilots wore their wings, etc.</li><li>It even brought out the fact that movie director John Ford was on Midway doing a documentary when the battle went down. The fact that Ford volunteered for the Navy, saw battle, and was injured, while John Wayne remained (in his mind) safely at home, become a point of tension between the two men, with Ford being one of the few who felt comfortable belittling Wayne for his lack of service as the years went by.</li><li>I really liked the outtro mini-bios of the real characters at the end. I didn't learn anything new there, but thought they were extremely well done.</li></ul><br/><br/>In the end the 2+ hours flew by for me. It was so good, I plan on seeing it again next weekend. What a terrific way to celebrate Veteran's Day.<br/><br/>Of course, Roland Emmerich's prior movies have been, on the whole, simpleminded blockbusters. But this time he took a risk by doing something thoughtful, respectful, accurate, and artistic. The only way to ensure movies like this continue to be made is for the public to show we care about history and accuracy, and to make this movie a success. I very much hope it does well. Then maybe we have a chance of getting the right movie made about the Indianapolis.<br/><br/>A final thought: I've been disgusted by many of the cynical, snarky reviews written by professional movie reviewers, many of which sneer at the bravery of the warriors depicted. Yes, the dialog in this movie is sometimes simple, tired, and trite. A few of the characters are not well developed, particularly the women. It's perfectly appropriate for reviewers to criticize elements of moviemaking. One reviewer made fun of the line of dialog where Best says ""This is for Pearl Harbor."" There is nothing silly or unreasonable about that line. You can bet one of the pilots actually said something like that that day. As somebody who survived 9/11 attack on the Pentagon, when I later went to Afghanistan, you can bet if I had the chance to do so I would have said, ""This is for Gerry DeConto,"" one of my friends who didn't make it out that day. But many these sneering reviewers have gone on to say to readers that because of these weaknesses, they should not see ""Midway."" Keep in mind that there were similar elements of Spielberg's ""Lincoln"" that could be considered inaccurate and/or over-the-top movie-making (most of the scenes depicted in Congress, for example), but on the whole the events portrayed in that movie are important for Americans to understand. Same is true here. So the point I want to make is this: a movie can have elements of poor moviemaking, and yet be an important movie for viewers to watch. ""Midway"" is one such movie. It depicts a poorly understood event in American history, but one that Americans should be exposed to. The events depicted, and the people depicted, are real. They really did these things. The bravery was real. Americans need to know this, and reviewers who have likely never risked anything in their lives should have the good graces not to sneer at those who have."
"3xHCCH","8","390","524","29 October 2019"," Account of Crucial Naval Battle in Emmerich Style
","This film is a straightforward retelling of the events in the first months of the War in the Pacific beginning with Pearl Harbor and culminating in the Battle of Midway (June 1942). In between, it also touched on Doolittle's Raid on Tokyo (April 1942) and the Battle of Coral Sea (May 1942). The story was told mainly from the point of view of two American soldiers, namely pilot Lt. Dick Best (Ed Skrein) who led his dive bomber squadron at Midway, and intelligence officer Lt. Comm. Edwin Layton (Patrick Wilson) who with his code-breaker team predicted the Midway attack.<br/><br/>Along the way, we meet other famous American soldiers: Admiral Chester Nimitz (Woody Harrelson) Commander in Chief of the US Pacific Fleet; Vice Admiral William ""Bull"" Halsey (Dennis Quaid) who led the aircraft carrier USS Enterprise; Rear Admiral Raymond Spruance (Jake Weber) who took over the Enterprise for the Battle of Midway; Best's fellow aviators Lt. Comm. Wade McClusky (Luke Evans), Lt. Comm. Eugene Lindsey (Darren Criss) and Lt. Comm. Jimmy Doolittle (Aaron Eckhart); cryptographer Commander Joseph Rochefort (Brennan Brown) and Aviation Machinist Mate Bruno Gaido (Nick Jonas).<br/><br/>The side of the Japanese Imperial Army and their unique military culture were also given fair screen time in this film. Admiral Isoroku Yamamoto (Etsushi Toyokawa) of the Imperial Japanese Navy and the Commander in Chief of their combined fleet, was portrayed with calm and quiet dignity. We also get to meet other Japanese officers and their own brands of leadership Rear Admiral Tamon Yamaguchi (Tadanobu Asano) who commanded the Hiryu with nobility, and Vice Admiral Chuichi Nagumo (Jun Kunimura) whose controversial battle decisions had negative impact against the Japanese campaign.<br/><br/>The execution of the critical battle scenes are the main draws to watch this film. Director Roland Emmerich will always be remembered as the man who brought us ""Independence Day"" (1996) and ""2012"" (2009). Of course, there are big explosions and massive destruction here as well. The massive scenes showing fiery exploding seacraft and aircraft were rendered with crisp cinematography and meticulous visual effects to create impressive screen spectacles. The aviation scenes, particularly the dive bomber runs by Dick Best, were excellently staged, shot and edited to elicit an exhilarating rush.<br/><br/>For its 2 hours 18 minute run, the story of the crucial naval battles and the heroism of its real-life protagonists were front and center here in ""Midway."" There were no fictional characters or cheesy love stories like in the first ""Midway"" film or ""Pearl Harbor."" While seeing some popular young actors like Criss or Jonas can be distracting, the all-star cast generally rendered honor and respect to the heroes they portrayed. Focusing on soldiers of lesser rank allowed for some intimate personal drama in actual battle situations, perhaps with not much depth as possible. As this movie is rated PG, so do not expect to see graphic injuries at the level of ""Saving Private Ryan."""
"brian-carter-110-625553","9","328","460","10 November 2019"," Hollywood actually made a decent war movie without pushing a political agenda
","This is probably the first time in over 50 years Hollywood made a solid war movie without inserting a sappy, contrived romantic sub-plot, pushing some radical political agenda, or re-writing history.
The movie is good. The dialogue is believable, natural, and convincingly delivered in almost all cases.<br/><br/>While no movie is perfectly accurate historically - historians don't even agree on much, so who is to say - the few errors here are trivial and immaterial to the how events progressed. As somebody who is a buff on this period of the early Pacific war - reading every book by Prange, Lord, and many others - I was very impressed.<br/><br/>I went into this movie expecting the worst from Hollywood, but this was their best historical piece in generations. Even the casting seemed to echo the real people in looks and demeanor.<br/><br/>The Japanese point of view wasn't neglected either. While I can't say whether the Japanese dialogue was believable or well-delivered, by all outward appearances this acting was also top notch. The similarity between the real Admiral Nagumo and the actor was particularly striking. They made the right call in using solid Japanese actors speaking Japanese.<br/><br/>The accurate portrayal of the friction between the Imperial Navy and Imperial Army with Emperor Hirohito almost powerless to restrain the militarists was very refreshing. This was a very important, complex contributing factor to the war. Few outside Japan and some narrow historical circles ever learn about this dynamic.<br/><br/>About the worst I can say about this movie is the pace was too fast. Unless stretched into an 8 hour mini-series, I can't imagine they could have avoided this. With my background, I could fill in gaps and context the movie seemed to miss. Others might be left confused. Even though not well-read on this chapter of history, my spouse followed the storyline without issue and really enjoyed the movie as entertainment.<br/><br/>Kudos to the producers, writers, actors, and entire crew. This was a job well-done and a fitting tribute to heroes like Layton and Best."
"rbstern","5","212","303","18 November 2019"," Can't get on board with the positive reviews
","First, I'll agree that the filmmakers got a lot of details right: The timing of the U.S. attacks when the Japanese were caught in the rearming process. The poor performance of the Devastator TBD. Faulty torpedoes. The politics of the Japanese military. The fast turn-around getting Yorktown out to sea again. And lots more.<br/><br/>But the errors, embellishments and omissions were glaring: The Marshal Islands attack was ridiculously inflated. The Kamikaze hit on Enterprise during that battle (complete with Nick Jonas saving the day) never took place. The complete absence of American fighter planes on the American carriers. American attackers going in and facing anti aircraft fire without having first been jumped by Zeroes, and the missing dogfights via F4F fighter escorts. SBDs blowing Zeros out of the sky. Taking the time to depict John Ford as a brave movie maker on Midway, yet not showing Marine Fighter Squadron 221, flying antiquated equipment, going out to meet the incoming Japanese attackers against overwhelming odds and pretty much getting slaughtered. Yorktown's involvement in the battle reduced to one scene where she is burning, depicted from afar. The Nautilus getting depth-charged U-571 style. The ships in both fleets in such tight formations, it's more like a photo op than a battle formation.<br/><br/>So many worthwhile details that could have been made right in the same screening length, if they would have simply ditched the goofy Doolittle sequence. I love Aaron Eckhart, great actor, but his scenes in China had no place in a movie called ""Midway,"" if the price was cutting out major elements of the Midway battle.<br/><br/>Maybe I'm being picky, but when they go out of their way to glorify John Ford, while leaving out a squadron of Marine fighter pilots that sacrificed themselves so valiantly, it just strikes me as typical Hollywood b.s."
"rhease","10","257","374","9 November 2019"," GREAT WATCH!!!!!
","I am a veteran and this was a hit. The special effects were good and I don't understand why people were saying it was too much. The characters were evenly played out in the movie and there was no stupid romance part that was in the last Pearl Harbor movie. It told the story amazingly and it dived right into what it's all about. You don't need too much character development to tell a story of four people during that time. It was such a great watch and I Definatley recommend it. It ranks up there as we were soldiers! It's been a long time a good war movie came out and this was it. And when you see other reviews about it's a disgrace to veterans don't listen to those reviews. Obviously they haven't been through tough times such as how these people lived. I was in live fire so I can compare. Enjoy the movie is amazing!"
"sme3","5","205","296","27 November 2019"," Unbelievable
","Abundant, not-quite-realistic computer-generated images make Midway look more like a video game than a depiction of real-life events. The overuse of subpar effects is the most dominant - but hardly the only - problem dogging this film. Epic war stories are difficult to tell without focusing on a few characters. This film unsuccessfully juggles too many plot threads and too many characters to keep an emotional anchor to the simulated events unfolding. Woody Harrelson is outstanding, but other cast members cannot overcome the limitations of the material and the challenges of acting on computer-generated sets."
"atomsmasher3","10","241","353","9 November 2019"," Excellent Movie and Historically Accurate
","This is an excellent historical portrayal of the Battle of Midway, and some of the events that led up to it. There is a lot of intensity throughout the film, and it shows how some of the decisions on both sides were truly a gamble in that time. There were no satellites, gps systems, or sophisticated radar systems. The only missing pieces to this movie, as noted by others, is the lack of US fighter planes. Maybe it is intended to focus mainly on the Dauntless pilots.
I took my wife and kids to see this movie, as it seems much of the history of this country is being forgotten. I am so glad I did. The kids had no idea that any of this happened.
As for the critics that wrote negative reviews and trashed this movie, I think attributes to a lot of what is wrong with this country today. People who decided not to see this movie, on Veterans Day weekend, based on the critics reviews, are truly missing an excellent movie.
This movie is historically accurate, with no lame love story, or fictional substories."
"xhalonick","8","168","245","9 November 2019"," More than you'd expect
","Critics are trashing this film, I went into it skeptical. After, I'm not so sure why. They tell a simplified story of the events leading up to, and eventually the battle of midway. You get to see two sides of life, the Japanese and the American forces. The script is fine, acting is pretty good in my opinion as well (shout out to Dennis Quaid, he is a great salty kinda guy). CGI was not that bad, especially for fast paced scenes. Only complaint is it is a bit long, which I understand due to how much they wanted to include. But there were 2-3 times I thought it might end, but there were still a few minutes left. In the end, a solid war movie that, in my opinion, does a great job showing some brutality of war, in addition to brothership and slice of life of the time. A solid film to honor the brave men and women that died for a better future."
"mcsterg","9","123","198","12 November 2019"," ABSOLUTELY SEE IT
","I've read several of the critical reviews of ""Midway""; they seem to reveal more about the cattiness of the reviewer than any understanding of the movie, or its message.
I am part of the growing legion of American moviegoers who have pretty much given up on Hollywierd having any clue how to convince me to actually care enough about any of their offerings to part with the price of admission. I can wait a few months till they show up free on Youtube to confirm my suspicions that I haven't wasted my money.
I made the rare exception this weekend to see ""Midway"", because I'm a history buff, and the previews I'd seen showed promise that the story would be properly told. That said, I went in with the full expectation that it might fail my already low expectations.
Happy to say that it far exceeded my best hopes. Roland Emmerich has put together a gripping storyline that manages to get in all the important elements of an epic story in 128 minutes. For the story of the American victory at Midway is an epic tale that every American should become familiar with.
Few Americans today can fathom what dire straits the US found itself in in 1942: Our battleships lay in twisted ruins on the bottom of Pearl Harbor; we had four aircraft carriers facing a Japanese navy with twelve, equipped with aircraft which were far superior to anything that was then available to American fliers; those aircraft were piloted by experienced men who had honed their craft in four years of war in China. We helplessly watched as thousands of American soldiers, sailors and Marines in the Pacific Islands and the Philippines were made captive, beyond the reach of our aid.
All the Japanese had to do was to concentrate on Midway, overwhelm our inferior naval and air forces, and Hawaii and the West Coast would be wholly at their mercy.
The essayist Matthew Arnold once said, ""Have something to say, and say it as clearly as you can. That is all anyone needs to know about style."" Emmerich follows his advice. No actors involved in ""Midway"" will be nominated for an Oscar. Which is another way of saying that there are no star turns which detract from telling the story. I will say that the actors are very believable in their roles; as the son of a Marine who fought in the Pacific, I found their portrayals pretty convincing.
I'm firmly of the opinion that CGI effects are overused to distract from thin or non-existent plotlines. I credit Emmerich for using them to reinforce an already strong narrative. To those critics who found them overpowering, I inquire: How in hell do you think the shock of modern warfare registered on the men who actually faced it at Pearl Harbor and Midway? They called it ""shell shock"" for a damned good reason."
"ymyuseda","4","305","514","13 November 2019"," With Great Expectations Comes Disappointment
","Rating 4.0/10
I had high hopes for ""midway"" war between America and Japan, unfortunetly this movie goes to war of the bored. With the epic status that this movie was advertised with, it was a supreme disappointment. You will willingly sit through this movie but when it's over you'll feel like you wasted two hours. The action and special effect was okay. But the movie is somewhat claustrophobic. The acting was okay even if at times the script seemed daunted. In the end, If i had to describe midway in one word it would be disappointing."
