"username","rating","helpful","total","date","title","review"
"fezziwiggs","10","225","237","29 January 2007"," I wish I had known how sad this movie was going to be.
","I just watched this movie last night for the first time. I wish I hadn't. It was one of the saddest films I have ever seen. It bothered me to no end. I kept waking up all night thinking about it. I feel terrible.<br/><br/>The movie hit me especially hard because of my personal experiences. I spent several years living in the West and had a relationship with another man, who has since died. Watching this movie brought back many of the emotions I thought were long buried.<br/><br/>I feel like grabbing my coworkers and talking them to death about this film, but I know they don't want to hear about it. I feel this driving need to keep talking about it - maybe if I keep talking about it I can get the ending to change.<br/><br/>If I had known how this film was going to affect me - I wouldn't have watched it. It's too late now - I can't get it out of my head. I don't think I've ever been affected this much by a movie."
"magicmote","10","111","117","9 July 2006"," A jewel of a film.
","I love this movie. Really love it. Haunting score, stunning cinematography, gripping performances, timeless tale--everything. People quibble about non-essentials. I'm female, middle-aged, hetero, and I defy you to tell me that the average straight guy is any more expressive than Ennis or any less needy than Jack. Or the average gal, either, straight or gay. Deeper than their sex, their sexuality, their religious, educational, economic or historic backgrounds, Jack and Ennis are two human beings living in the world as they find it--beautiful and indifferent at best, and as they find themselves--beautiful and flawed at best. Desire is desire. The desire for warmth, for connection, for any echo at all in the vastness of time and space, is shared by every human being ever to have lived. For me, the issue is not how repressed or thwarted Ennis and Jack are, but how persistently they turn toward the light, despite all impediment. Brokeback Mountain lyrically retells a story thousands of years old: loss and grief are unavoidable; love is where you find it."
"aimeelee76","10","143","153","15 October 2006"," This movie broke my heart.
","For all of those who are holding back from watching this movie because it is ""gay"" or has love scenes between two men...oh! This movie has nothing to do with sex...and to be honest, I don't feel that it has much to do with homosexuality. This is the most beautiful and profoundly sad love story I have ever come across, and the fact that it is a love between two men is beside the point. It's about a love between two people who cannot be together, but if human beings were better at being human, and if the world was a better place, they would have lived out their lives side by side. I was so, so moved. AMAZING!!!! A must see."
"Rockwell_Cronenberg","9","29","29","28 October 2011"," Six years later, it hits even harder.
","I've always admired this film to a certain extent, but I think the thing that always kept me from loving it was that it never resonated with me emotionally. I would get attached while watching it, but all of those feelings would leave me fairly soon afterward. It had been about five years since I'd seen the film, and in that time I have grown up a lot, fallen in love, had my heart ripped to shreds and fallen back in love again and I think this growth personally has really opened me up to a place in my mind and heart to embrace this film more than most other screen romances that exist. Almost immediately it hit me harder than it had before and after a day since I watched it, the pain and heartache I experienced during it still remains at my core.<br/><br/>It's a love film told non-traditionally, but not because it's two men, that doesn't even factor into the depiction of it. It's nontraditional because it's two people fighting against the love and it's accuracy in this is startling. How there are times where you can hate the person you love, hate so many things about them and hate that you are in love with them, but you can't give it up at all. You can't walk away from it because it's like an addiction and I think this film more than any before it captures that remarkably.<br/><br/>A lot of this lies in the writing, but of course the performances from Heath Ledger and Jake Gyllenhaal certainly play a key factor in capturing it. Their characters take the love in different forms, Ennis fighting himself over it and Jack fighting the world because of it, but both actors capture exactly what they need to and bring this magnetism that really sparks. Gyllenhaal's openness is beautiful, his determination to make the love work and to just exist the way he wants to, he definitely provides the emotional anchor for the film and gives a heartbreaking portrayal.<br/><br/>It's Ledger, of course, who steals the show though, with a kind of transcendent performance that we're treated to maybe once a decade. He becomes this character in such a vivid way that you don't even recognize the actor inside the role anymore. Gyllenhaal is Jack and hits the surface notes expertly, but you can still see Jake Gyllenhaal in there. Heath Ledger is completely gone and from the very beginning of the film we have Ennis and we have him until the very end. This character is an incredibly difficult one to take on, he could have easily been someone who was hard to like or sympathize with due to his internalizing and his refusal to fully embrace the relationship and who he is, but that's what makes it hit even harder, thanks to Ledger's brutal work.<br/><br/>You see the pain in this person living a lie in every moment we have with him, with that turned in mouth and speech pattern that always sounds like it's hurting him to let anything out because he's afraid of how people are going to react. It's a performance unlike any other out there and in the end it's one that brings me to my knees. ""Jack, I swear,"" was always a line that floored me when I was watching it but now it's at a point where just thinking of the line and the way that Ledger delivers it brings some water to my eyes."
"marcosaguado","10","1050","1213","16 December 2005"," The Heart Of The Matter
","I didn't believe for a moment that the film could live up to the hype, or to some of the comments posted here, some of them read like love letters to the film, to the director and the actors. Well, now, after seeing the film, I feel like writing a love letter myself. The film took over my senses and transported me. The tragedy that envelopes the lives of Ennis and Jack is caused by an ancestral ignorance that is part of our DNA and if you don't believe me read some of the hateful comments posted here alongside the love letters. That's the heart of the matter. After the summer in Brokeback Mountain, Ennis and Jack go their separate ways and Ennis hits a wall with his fists crying, trying to destroy his longing, self loathing, guilt, horror. Imagine in a world without ignorance and therefore without hatred, Ennis and Jack could have celebrated their love and attempt an honest life together. Imagine also if things were the other way and heterosexuals were the dark minority, imagine falling in love with a girl and having to keep it secret, never been able to tell or to show publicly your love for her. Men like Ennis, and there are many, have to curve their own emotions and conform, entering and developing unhappy marriages and why? Read some of the comments here and you'll understand why. There is one that condemns the movie and what the movie may do for his kid and his vision of cowboys without actually having seen the movie! That's the heart of the matter. I will go and see the film again tomorrow, if I can get tickets, I'm taking with me a group of people that hate the movie already without having seen it. I won a bet so they will have to. I'm taking them to diner later to talk. I intend to report the results if you let me. But for the time being let me tell you, ""Brokeback Mountain"" is an extraordinary film. Jake Gyllenhaal, Ann Hathaway and the magnificent Michelle Williams give superb performances but it's Heath Ledger's film. He gives us something that nobody could possibly have expected because what he gives us is not only, honest and moving and powerful but totally and utterly new."
"nycritic","10","293","336","12 January 2006"," Finally A Film Which Gets it Right
","It was only time before a film about two men in love would get the treatment it gets in Ang Lee's BROKEBACK MOUNTAIN, since up to now, films had either skirted the subject, reduced it to a peripheral, sanitized version of itself or given it the eye-candy treatment only meant at making a quick impression in the ""Gay-Lesbian"" category. The simple yet deceptive story of two people who meet, fall in love, but are unable to fulfill their love has been done over and over again from the male-female perspective (i. e. IN THE MOOD FOR LOVE, THE AGE OF INNOCENCE, BRIEF ENCOUNTER), but never involving two men, and never this brutally honest.<br/><br/>Of course, the dynamic of male love is different than male-female love only in genitalia. Jack and Ennis' first encounter while waiting for work, their isolation leading to each other's arms, is the stuff of every restrained romantic drama. The mechanism of two men falling in love here develops along the lines of homo-masculinity dictating patterns of behavior which both Jack and Ennis obey whether they know it or not. It comes to me as no surprise when, following their first sexual encounter (brutally executed with undertones of sadomasochism but true to the style of love involving alpha males), they revert to ""not being queers"" but cowboys who excuse ""what happened"" to liquor and ""manly needs"". Which of course verbalizes society's impositions of men having to be ""men.""<br/><br/>Of course, things take a different turn and the heart wants what it wants. Once their work is done, Jack tries to keep their acquaintance alive but Ennis is so intensely closed and closeted to any possibility of emotions that he looks like he may implode at any moment and only once does he actually scream into his hat, bent over, as Jack drives away. The sound is a terrible, heart-rending puke of indescribable pain.<br/><br/>What follows is a series of brief encounters that become more intense as the years go by, but at the same time destroys two marriages and consumes then to the end. Love is an uncontrollable emotion, and when two people who belong together despite their gender cannot fulfill their dreams it's only a matter of time when things reach a head. Again, the constraints of time and space interfere: Ennis cannot see a life outside what he knows, again more a product of the trauma of seeing something horrible as a child, and Jack, not having what he wants, has to take to meeting other men in sordid locations and re-create a semblance of an affair with a man who resembles Ennis. In presenting these situations as they are and not trying to pursue change in its characters, BROKEBACK MOUNTAIN is the love story that transcends gender, space, time, and proves that love -- even when tragic -- is universal.<br/><br/>Even so, will straight people see the message behind the story? I believe straight women (and a few enlightened straight men) will be the ones drawn to view the movie over a majority of conservative idiots who still hold the idea of two men locked in intimacy as being repugnant and are ripping their feeble brains out over the quasi ""gay agenda"" that BROKEBACK MOUNTAIN is trying to ""convert people to homoesexuality"". Sometimes it takes a movie like this which dares to take the risk and tell an unforgettable story rife in visual and emotional power -- true poetry in motion.<br/><br/>All of the actors in BROKEBACK MOUNTAIN are flawless, and all of them have roles that in another story might have been bland stereotypes of predictable natures. Jake Gyllenhaal is smoldering longing at the beginning but becomes a broken man who explodes in rage when he realizes that twenty years have gone down the drain. Heath Ledger goes one better: his painful speech, furtive eyes, and inward body language expresses an overwhelming set of emotions which state that he'd never be able to be happy with anyone, and his final scene holding Jack's shirt comes more as an apology to Jack than an added moment of schmaltz. Michelle Williams plays a typical housewife who is witnessing something she can't understand. Linda Cardellini, who comes quite late in the film, initially appears to be just a waitress, but is the person who gives Ennis an advice about love. Anne Hathaway's role as Jack Twist's wife is much more tricky: is she aware of his gayness or is she really all about business and having a perfect home? I get the feeling her character knows more than she expresses, and her turning progressively blonde is a manifestation of her choosing to look the other way and live a life of bitter complacency, best expressed in her telling speech about how ""men don't dance with their wives."" If she only knew."
"whiteoutofthemoon","10","135","152","24 April 2006"," An Everlasting Gift for those who ""get it"".
","I saw this movie 3 months ago. Admittedly, I'm not really into these romantic/drama type movies. I'm a straight male and was persuaded to go by my girlfriend. I tend to think that I'm open-minded and the subject matter did not bother me too much.<br/><br/>What I experienced from this movie is well beyond the romantic storyline. Now, 3 months later, I am still in awe of this amazing work of film-making and storytelling. I am also happy to see that there are millions of others out there who have had the good fortune to have been transformed by this masterpiece. The movie has made me wonder about my own life and choices......this really has nothing to do with the ""gay"" issue, but rather, how I've chosen my career path, past relationships, what my future holds. Will I find myself at a point, like Ennis, where happiness has slipped by due to my own fears and caution? Am I doomed to a life of misery, just because I was afraid to take that one chance? Truth is, I'm terrified, absolutely TERRIFIED, that I may end up one day like Ennis at the end, looking out of that lonely window, trapped in a wasted life full of regrets, only because I missed out on my chance for happiness. <br/><br/>I've read some great reviews on this site, but I continue to be baffled by the level of ignorance of some of the reviews I've seen. I am not talking about the negative reviews...I can not expect everyone to like this movie. I'm talking about the reviews from people who have NOT even seen the movie.....I mean, what could you be possibly thinking to comment negatively on a movie you have not even seen, nor intend to see? I've read with great amusement those who have called this movie a ""gay agenda"", an attempt to ""homosexualize"" America, a travesty against the image of the ""American cowboy"". If you can just open up your feeble minds just one second to see that it is none of that at all. <br/><br/>This movie is based on a short story by a mature woman; adapted screenplay by a great American writer who wrote great westerns; and directed by a Chinese family man and master filmmaker. Exactly where do you see a ""gay agenda"" in there? What possible reason would any of these people have to ""promote"" homosexuality? Are you so out of touch with reality and paranoid that you would think that all the studios in Hollywood got together for a secret meeting one day, and decided that it was time to spread a gay agenda across the US and world, and that this was the movie to do it? And do you think that there were some marketing geniuses who created all the ""hype"" falsely, and therefore that is why there has been so much talk about the movie? I'm just frustrated with all the stupidity and sheer ignorance and intolerance that I have seen and read about this movie. It is a story, a great story, and an amazing act of STORYTELLING......that is all you need to know about it; no politics, no sacrilege, JUST A STORY, about two men, at this one time, in this one place. Can you understand that very simple premise? <br/><br/>I have a good friend who I used to consider ""sensitive"". She would cry when hearing a certain Mozart symphony, or be in tears when she saw a Botticelli painting for the first time. I mean, WTF, crying over music or a painting? I used to tease her about that, but instead of being embarrassed, she would look at me, really in pity,...""your loss"". <br/><br/>It was later that I came to realize that there was really something wrong with me, not her. She had the capacity and ""gift"" to feel the power of such masterpieces, and because of that, her life is more enriched. While I appreciate the mastery of classical composers or artists, I just did not ""get it"". <br/><br/>That's how it goes with this movie, and I'm happy to say I ""get it"". There are those who ""get it"", and those who don't. And those who do will have an impossible time explaining why to those who don't. It's not really your fault that you may not get it...you just don't, no worries. But I think it's funny if you are frustrated or poke fun at those who do. Because, in essence, we're not the ones with the problem. <br/><br/>I feel my life and outlook have been made better, and I'm a better person, because of this one movie, a masterpiece. Can a movie really do that? Crazy stuff, huh? And if you have a problem with that, do you really think I care? It's your loss, you know? I have nothing to prove to you; it's not my job to convince you. For those who ""get it"", we're the lucky ones, and it'll be our little secret. For the rest of you, I hope you find the inspiration for your life in some other form, before it's way too late; or else, like Ennis, you may quickly find yourself metaphorically shuffling around all alone in an old trailer....forever doomed to wonder what could have been."
"bethlambert117","10","1952","2346","3 September 2005"," Two Men In Love at the Venice Film Festival
","It was a real ordeal to get into the screening. The anticipation was palpable. The film arrived surrounded by a plethora of innuendo. ""A gay western"" ""Heath and Jake's hot scenes"" As soon as the film started every imaginable preconception flew out of the auditorium. This is a remarkable, moving and powerful love story. The setting is that of a modern western ""The Last Picture Show"" comes to mind. Ang Lee's attention to detail verges on science fiction. You can actually smell the place. Extraordinary. I'm not going to reveal anything about the story - Gian Luigi Rondi a legendary Italian film critic, revealed the ending to a television audience, what was he thinking?! - The film will be enjoyed much more allowing the story to unfold without having passages underlined and attention drawn to this or that particular. I felt compelled to write this comment because I'm overwhelmed. It has changed my perception, I must confess, about certain aspect of same sex love because I didn't think of same sex when I was watching it, I saw two human beings (amazing performances by both actors)I have the feeling ""Brokeback Mountain"" will make history, deservedly so."
"noonoosis","10","45","49","14 December 2006"," Haunts me still
","I couldn't get up the nerve to watch this movie and then I didn't want to watch it unless I was alone, no kids, no husband. Don't get that much alone time, but I was finally able to see it. All I can say is I put it off too long. I own it and will probably wear out the DVD. It haunts me still and I think it will for a long time to come. It deserves every award it won and the ones it didn't win, too. My heart still feels heavy and when I think of that last scene of the movie with Heath and that shirt hanging up....I get tears in my eyes. The acting in that movie was amazingly powerful. Will be in my top 5 favorite movies of all time...forever."
"gav_walmsley","10","16","16","28 April 2011"," The most beautiful Film ever made
","I have never cried in a film before. I have become weak in films before, but never have i actually been brought to tears. This film managed to do it on four separate occasions.<br/><br/>I found this movie on TV late one night and decided to watch it not knowing what to expect. It killed me inside. It haunted me. There was not a moment for the next week when i did not think about this film. It drew me into the complexity of Jack and Ennis' romance and the shear beauty and sadness of their relationship and it still hasn't let me go two months later.<br/><br/>The way in which Jack and Ennis express their love shattered me. The pure passion mixed with aggression, doubt, confusion and sadness drained me. So a huge thumbs up to Jake G and Heath L for outstanding performances.<br/><br/>The story is simple, but complex. Two straight men are sent off into the mountains where they are intended to managed herds of sheep and whilst there a romance forms between them.<br/><br/>FIRSTLY let me start off by saying this is not a feel good gay romance story. In fact the purpose of the film is not even to comment on homosexuality. The film uses the romance that forms between Jack and Ennis to express the sublimity of love. And it did it flawlessly. The film explains that love knows no sex or boundaries, that it is a force that emerges without warning.<br/><br/>Honestly, Titanic could learn something from this film. I only cried because it was so devastating to see how madly in love Jack and Ennis were with each other, and yet society forbid their romance. Okay so maybe the film does make a comment about homosexuality, but the side that no-one ever sees really. It explores the possibility of same sex relationships that ensue without warning, and how it entraps the two in a truly saddening relationship.<br/><br/>The camera work is beautiful and so is the soundtrack particularly in the opening scene. However, there was one technical fault as such, where the rule known as the ""180 degree line"" was ""broken"" and Jack and Ennis were walking away from each other and due to the camera work it looked like they were walking the same way.<br/><br/>Okay so the part you've hopefully been waiting for... the parts when i cried. Basically i cried at the parts when the true nature of their relationship was revealed e.g. when they made out passionately but almost frustratedly after not having seen each other for four years and when Ennis said (in the most amazing line i've ever heard) ""I wish I could quit you."" And of course when the most horrible thing in th history of film ever happens which i can't put in this review because it needs to be experienced.<br/><br/>If you take the time to dive further into the film, you realise just how sad the story is. The fact that they have to live false lives for twenty years because of what society says made me both depressed and enraged. The fact that they still maintained their relationship through the years even though it was evident that both were unhappy and needed each other hurt me on the inside.<br/><br/>This film hit far too close to home for me. It expresses love in the most true and devastatingly beautiful way imaginably. No other artistic piece describes love the way this film does. It doesn't matter if you are gay or straight, the movie isn't about gay people, it's about expressing the most complex part of the human condition through a relationship between two straight men in love.<br/><br/>It destroys me to think that there are people in the world whom are secretly in love and oppressed because of the one emotion that no person to date understands. And believe you me, this film would have been nothing had it been between two straight people. The movie was as powerful as it was because of the fact that it was between to men.<br/><br/>Thank the lord for this film. It is breathtaking. It will linger with you for days after watching it. This is something every person needs to experience. One of the best films i have ever seen, and by far the most powerful and beautiful film i will possibly ever see."
