"username","rating","helpful","total","date","title","review"
"Marc-49","10","7","7","17 December 1998"," Ah, the memories
","Why can't they make Batman films like this? This new Batman, ugh. Ditch the neon, the bad sidekicks, and ridiculous writing. No wonder there's no Batman film slated for this summer.<br/><br/>I say, bring back Keaton, Burton, and Elfman. THIS film screams Batman from start to finish. It's Dark, well acted, and the music is outstanding. I love it. There is no Batman besides Keaton."
"ocfam2","10","7","8","5 July 2002"," Burtons Best
","Movies such as this tend to get bad reputations for there grim nature, mainly because this is supposed to be a childrens genre film. But you must look past the red tape, and realize the sure brilliance of Burton's direction and style. This Batman represents everything Batman should be.I would recommend this movie to any movie goer who watches movies for what a movie should be, and not what a movie is supposed to be. P.S. Tim Burton is god"
"mpact75","10","233","419","19 June 2002"," The Dark Knight Returns
","Out of all the Bat-films, Batman Returns is my favorite.  This beautiful, dark, and funny film is one of Tim Burton's best work. Although it is much violent and darker, this is the Batman that creator Bob Kane envisioned many years ago.  Michael Keaton reprises his role as the avenger of Gotham City. This time he's up against two deadly foes, Danny Devito's Penguin and Michelle Pfeiffer's Catwoman.  With a great cast and film score by Danny Elfman, the movie takes us on an adventure as Batman battles the evil forces that are trying to take over Gotham City.  Christopher Walken makes a great appearance as Max Shrek, a shrewd businessman who has an evil scheme up his sleeve.  But of course, Michelle Pfeiffer is the one that steals the show. With all of these components, you have a film that will blow you away. This is the reason why you go to the movies.  It's got everything.  It's really a shame that Tim Burton didn't get to direct the other sequels.  If so I think the franchise would still be going strong today.  Batman Returns is an awesome experience for fans that like cool movies."
"chrisbrown6453","4","60","101","31 July 2000"," This is the one that should be forgotten!
","This time around, Tim Burton messed up.  With Michael Keaton returning to the title role of Batman, and adding Michele Pfieffer as the Cat Woman and Danny DeVito as the Penguin, you would think that this coupled with the hype from the first movie would be enough to propel this movie into the stratosphere.  Well, in my opinion, you will find yourself being disappointed. While Michele Pfieffer is as sexy as could be in a sleek, tight, all leather black suit, Danny DeVito strikes out as the least scary villain Penguin. This movie is a big disappointment to the Batman saga, and should be forgotten."
"donstamegna","1","169","306","30 March 2010"," Utter crap
","This movie is by far one of the worst super hero films ever, it's on par with Superman 4. Bruce Wayne just sits in his study waiting for the Bat Signal to call him (and what the heck is up with all those reflectors mounted on Wayne Manor? I guess the next time the house needs a roof repair the secrets out). Tim Burton has a way of making humanity look disgusting and he want way over the top in this stink fest. Here are some of the major issues. Batman punches through the floorboards of the almost indestructible Batmobile. He easily rips through his bullet proof outfit to, yet again, reveal his secret identity (and notice the lack of black eye makeup). I don't know what to say about the penguins other than WTF?!?! And a secretary who gets thrown out of a window, gets bitten by cats, and suddenly has the ability to perform acrobatics, is a great fighter, and is a master with a bull whip. This movie was supposed to come out at Christmas time, but in need of serious reediting in order to make it look like something beyond the level of a 3rd grader with a camcorder it was pushed to the following summer. They should have worked a little harder. <br/><br/>This movie was not a Batman movie. It was Tim Burton fixing something that was never broken. Thank God Batman Begins came out to show the world how Batman should be done. Realistically and serious."
"DDP-2","2","81","140","30 May 2006"," Worst Batman Movie ever conceivable
","Ever wonder why Burton was fired from the Batfilms? Watch this cinematic abortion. A penguin that drips chocolate syrup out his nose and eats raw fish. A ""circus gang"" that's campier than anything Adam West ever conceived of. A poodle lady and a batarang fetching poodle. Is Batman in this? Oh yeah, for like two seconds. Except this Batman is the worst hand to hand fighter in history...so he has to stick bombs down fat guys pants. An overly bizarre, pretentious script and storyline...that has no reason to be pretentious because it's about the most convoluted piece of hack-dom ever.<br/><br/>Michele Pfeiffer and the score were good...but not enough to save this movie. Keaton's sullen, middle-aged, nerdy Bruce Wayne is awful. At least Schumacher gives us a millionaire playboy Bruce Wayne, and a Batman that can fight in the follow up to Burton/Keaton's garbage film. Well, at lease I think it's garbage. If you like ridiculous puppet-Penguin pallbearers...yes, puppet penguin pallbearers...you might think this the greatest thing ever made."
"Golfshirts_And_BowlingSh","1","89","155","25 February 2007"," Holy Crap, Batman!!!
","Other then the disastrous Batman And Robin, this movie takes the cake. Batman is yet again just a secondary character to the villains, getting as much time as The Scarecrow did in Batman Begins. In this movie, dumb-witted Tim Burton re-designed the Penguin. He portrayed him very simular to the villain Killer Croc. The Penguin, instead of being a Rich, snobby Nightclub and casino owner, who often supplies Batman with information was turned into a sewer mutant freak puking black and white mucus from his mouth, with feces on his pajamas. Raised and learned English grammar by a bunch of NAZI marching penguins with rocket launchers on their backs who tries running for mayor. While Selina Kyle is pushed out of a window, killed brought back to life by a bunch of cats trying to eat her and becomes Catwoman. But in the comics Catwoman is an ally. Just a sneeky thief. Burton portrayed her as a terrorist. Blowing up buildings and killing everyone in her path. There was no use for even Batman being in this film, he was portrayed as a psycho murderer, Killing petty thugs in his twenty minute cameo scenes. It had no plot at all and was just overly dumb."
"aschachte","1","120","214","25 November 2006"," Oh, so very very bad!
","Spoilers<br/><br/>My brother woke me up out of a much-deserved nap to tell me how great this movie was and that I should go see it immediately. And by that he meant at the theater. When I finally did, I waited until 2:00 in the morning to call him up and tell him at length how much it blew. Penguins for pall bearers? I have never taken my brother seriously as a movie critic since then. Any time he says, ""Trust me,"" I bring up this movie and throw it in his face. <br/><br/>And do they have to kill off the villains in EVERY Batman movie? Go rent the Batman movie with Adam West where they dehydrate the United Nations guys. http://www.imdb.com/title/tt0060153/<br/><br/>It's better. Oh, can't find it? That should tell you how good Batman Returns is. Blegh!"
"alexanderdavies-99382","6","51","85","9 August 2017"," Inferior follow-up ""Batman"" movie.
","I remember when ""Batman Returns"" was released in the summer of 1992. The notices weren't overly positive. After seeing the film at the cinema, it isn't difficult to understand why. ""Batman Returns"" was issued straight onto video after the box office takings were disappointing. I was glad to see Michael Keaton, Michael Gough and Pat Hingle again and Danny DeVito was a reasonably effective Penguin villain. The film's drawbacks, are that the script is pretty moronic and the film sets are too restricted in that they are all within the confines of soundstages instead of being on location. The whole film looks artificial. Tim Burton's direction is good but it's hampered by the production values. Michael Keaton is less business-like this time as the Caped Crusader and that annoyed me. Michelle Pfeiffer is irritating more than alluring as Catwoman. She can't hold a candle to Julie Newmar's unique portrayal. Christopher Walken is over the top as business tycoon Max Schreck. There are some good action scenes which go some way toward redeeming ""Batman Returns"" but the negatives outweigh the positives for me."
"Jughead_Pwns","1","86","150","9 December 2006"," Will, can't blame Burton for trying...I think.
","I do not like this movie at all, actually hated it, and this is coming from a loyal Batman fan. Every time Tim Burton makes a movie he constantly tries to remind you that you're watching a ""burton film"" rather then just a movie, and for Batman Returns, it's just that. I stopped watching this after my love for ""Mask Of The Phantasm"" came to DVD. Batman is still a homicidal maniac who hasn't been locked up in Arkham yet, speaking of Arkham Aslyum, where is it? Burton just rathered to kill off the criminals rather then adding the influential mad house from the comics. Batman is yet again playing second fiddle to the villains, having the Dark Knight in only about 25 minutes of the movie. Anyways, I'll get to the point. There is a new nutjob running around Gotham...wait? in the sewers? Finally, Killer Croc is introduced to the movies. No, wait....that's not Croc...that's...the Penguin? Burton portrayed Oswald Cobblepot as a sewer mutant freak, with feces on his pajama bottoms, puking black and green mucus from his mouth with an army of penguins with rocket launchers on their backs, marching around the town like nazi soilders from the '40s. The Penguin has always been a sophisticated gentlemen, a rich greedy crimeboss and owns a local dance club. Oswald always only carried an umbrella with him because his father died of pneumonia when he was a kid, and his loving mother didn't want him to catch it. In Batman Returns, his parents hated him, disown him and threw him into a river. Catwoman was shown as a psychopathic terrorist, killing random strangers and blowing up everything in her path when she was thrown out of a window and revived when cats tried to eat her. This movie is poorly plotted. Burton disregards anything he sees in the comic book and makes it his version and to me; that is not the Batman I grew up to love."
