"username","rating","helpful","total","date","title","review"
"reallaplaine","8","113","156","3 October 2015"," A tough watch but a brilliant job by all concerned
","Child 44 isn't the movie you watch for light entertainment. It is gritty and tough, and I found myself feeling a sense of absolute disgust for anyone and anything connected with the old school communist state in the USSR. It really makes you look at just how bad that system was and how monstrous the people were who enforced it on the general populace. Nonetheless, the story is compelling, although sometimes the thread jumps around a bit. Tom Hardy's performance was his best ever. I think he warrants an Academy for it. Noomi Rapace was excellent - very authentic in her role. Child 44 is a dark thriller - and without giving anything away, the build up and hatred toward the serial killer really sticks you to this movie - you simply want the killer to get the most gruesome death conceivable for what he does. Apart from the Hollywood aspect, this film depicts reality. This is how life existed under Communism and I think that message is just as compelling and important as the rest of the story - because it really depicted the terror and the suppression that millions of people lived under in the name of some douche bag's idea of ""ideology"". May Stalin forever lay dead and remembered for only one thing - he was a murdering asshole. Watch the film folks - I notice that the ratings were low, and I think that is an unfair assessment about the quality of this production."
"luceruc","10","159","246","12 May 2015"," Lose Yourself
","Excellent opportunity to lose yourself in a brilliantly multifaceted, deftly crafted story about love, war, politics, serial-killers, violence, loyalty, betrayal, tenderness, and back again. And again. New every time. Fresh, like running water, the story keeps you guessing throughout, and yet at the same time it feels oddly familiar, a bit like seeing your own reflection in the mirror for the very first time. Acting? Seamless. The entire cast, not just the ever so captivating leads. Not one false note amongst the lot. I vote Child 44 should receive the much coveted Collective Oscar Award 2016. Direction? What direction? Surely, the story just went and told its spellbinding self. By itself. Daniel who? And as for the cinematography, the look and feel of this film was authentic and distinctive enough for me to actually look up the DP's name: Oliver Wood. Who's probably just another genius on board of Child 44. Could go on, but think this more than covers the IMDb's suspiciously lofty demand for a mini-essay. Hope you enjoy watching Child 44 as much as I did."
"matttrose","10","226","361","22 April 2015"," Do a great film justice & pay to watch it!
","Excellent, excellent film. How ""Furious 7"" received such great reviews and this film did not is beyond me. Definitely pay to watch it. Do a great film justice and don't let it die with Furious pissing on its grave.<br/><br/>44 Child makes you actually feel as if you were transported back to soviet Russia and gives you the feeling of helpless in an unjust government. It was banned from Russia for a reason. Tom Hardy gives an excellent performance and you find yourself feeling sympathy yet cheering for the success of this man who appears emotionless towards acts of monstrous brutalities and a moral compass."
"lnvicta","5","65","97","16 September 2016"," There is greatness here, muddled by inconsistency and superfluous subplots.
","This is a movie I've kept my eye on ever since it was revealed. Tom Hardy and Gary Oldman are two of my favorite working actors, and having them co-lead a Russian serial killer film seemed like a slam dunk. Unfortunately, Child 44 is not the slam dunk it could have been. It has the talent, it has the story (based on the best-selling novel); all the ingredients necessary for greatness are there. But it also has a plethora of baggage that bogs it down to mediocrity. <br/><br/>Tom Hardy is the star of the film through and through. It's a story about his family life and professional life clashing over the case of a dead child. The officials want to pass it off as a train accident, but witnesses swear that it was a homicide. As more and more bodies start turning up and the higher-ups continue to look away, it's up to Hardy to find the killer and bring him to justice. Again, the acting in this film is great, as is the story. The problem is the way it's presented. Half of the movie is focused on the serial killer angle and Hardy's character going through the loops of finding the right person to help him on the case, and the other half is about Soviet officials exiling his family and stripping him of power for his disobedience. The way these stories intertwine is messy and confusing, for a number of reasons.<br/><br/>For starters, the tone is all over the place. What should be a dark, gloomy mystery among the cold streets of Soviet Russia ends up as a haphazardly arranged domestic dispute due to political interference with a child murderer lurking around somewhere. There's no time for momentum to build when it's constantly changing course. Gary Oldman being billed a co-lead is a huge stretch. He's in the movie for about 20 minutes total and his character doesn't do much to further the story. Mind you, it's Gary Oldman so he gives a fine performance, but as someone who was looking forward to Hardy and Oldman sharing the scene for two plus hours, I was disappointed to say the least. <br/><br/>And then there's the practical aspect. Hardy and Oldman are accent chameleons, there's no doubt about that. I didn't even know Oldman was British until I saw him in an interview. But why on earth are these Russian soldiers speaking to each other in English? For a wider audience no doubt, but it's such a basic matter of common sense that it bugged me continuously throughout the film. It's also far too long. A serial killer hunt stretched over the course of two hours and 15 minutes is exhausting. The tension becomes less and less dire as the movie progresses until you're just waiting for it to end. <br/><br/>Child 44 isn't a bad movie, but its flaws are glaring. It's not the dark, edgy thriller you'd expect. In fact, to call it a thriller would be a misnomer. Child 44 is a tone-deaf political drama filled to the brim with wasted potential."
"wanbliwinyan","10","88","142","4 May 2015"," Extraordinary Movie
","We went to see Child 44 opening weekend. We were sent to a theatre in the back of the cinema. There were four people in the entire theatre. What a shame ~ and shame on whomever was in charge of promoting this movie. They truly fell on their face/faces. Child 44 was beautifully filmed ~ the scenery was breath taking ~ Sets were exceptionally well done...Tom Hardy was at his best as always...Another favorite of mine Joel Kinneman (sp?)was exceptional...as was Gary Oldman, though his screen presence was limited. All of the actors and actresses did a splendid job. I have little understanding as to why the promotion of this movie was so neglected. I seldom read reviews, but I read a couple and wonder if the reviewers actually watched this movie. Everyone did a splendid job ~ I highly recommend Child 44"
"lukefairbrother","10","144","240","19 April 2015"," Great from hardy once again
","Good film, great acting from the two leads, what more can you ask for. It's not a great book to film adaptation but if you forget the book it's worth a watch. I've seen a lot of criticism on the political and historical accuracy, it's a film not a documentary you wouldn't say gladiator isn't good because it's not accurate it's not meant to be it's purely fiction with the exception of the fact it's based on a serial killer from the same country. Summing up it's a good watch for those who like thrillers and tom hardy. The film itself is probably a 7/10 but tom hardy and noomi rapice were so convincing as the leads that I upped it to a 10. I was disappointed we didn't see much of Gary oldman as he is also one of my favourite actors but the small part he played was played very well. Everyone played there part to make an exciting story with a rather weird ending but oh well it was worth the watch anyway. :)"
"claudio_carvalho","6","24","35","28 July 2016"," There is no Murder in Paradise
","The Ukranian orphan Leo is raised by a Russian family and becomes national hero during the World War II. In the 50's, Captain Leo Demidov (Tom Hardy), his best friend Alexei Andreyev (Fares Fares) and the coward Vasili Nikitin (Joel Kinnaman) join the Ministry of State Security (MGB) during the political regime of Stalin and Leo marries Raisa Demidov (Noomi Rapace). When Alexei's son is found murdered completely naked near the railway, the official explanation is that the boy was hit by a train since there is no murder in paradise since it is a capitalist disease. But Leo finds other similar cases and proceeds investigating, falling in disgrace with the Party. He loses his rank and is transferred with Raisa to Volsk to work with General Mikhail Nesterov (Gary Oldman). When a body of another boy is found near the railway in the same conditions of Alexei's son, Leo convinces Nesterov that there is a serial-killer and he agrees that Leo conducts a further investigation. Meanwhile the ambitious Vasili tries to persuade Raisa to leave Leo and move to Moscow to stay with him. What will happen to Leo and Raisa?<br/><br/>""Child 44"" is a film with a promising storyline, great performances but not engaging. The political subplot is weird and raises the doubt whether it is true the premise that ""there is no murder in paradise"" or it is an anti-soviet propaganda as mentioned in the previous review. In a controlled political society by a dictatorship, it is expected low crime rates as consequence. But why not secretly investigate a serial-killer? My vote is six.<br/><br/>Title (Brazil): ""Crimes Ocultos"" (""Hidden Crimes"")"
"omnitek-94362","10","207","366","17 April 2015"," Just to counter the ones who downvoted out of pure grief.
","I'd say amusement-wise this movie is worth 7.5 out of 10. The story holds his own and apart from the accents that might perhaps now and then throw of some authentic feel the movie is certainly enjoyable.<br/><br/>Since the book in itself is superb, and by no means historically 100% accurate as the writer Tom Rob Smith also wrote in the last pages of the book, so no need for anyone to get their panties in a twist.<br/><br/>Of course the same goes for me, so I will try to be as little judgmental as possible. <br/><br/>That Stalin is responsible for the deaths of millions of Russians, is still today for many Russians a form of western propaganda.<br/><br/>Having had a Russian girlfriend a couple of years ago at her hometown somewhere in Russia (It's precise town is irrelevant) me, a few friends of mine and her sister were having a drink and a laugh in her apartment.<br/><br/>At some point we all had to name a historic person who was important to our country and someone we saw as role model, hero or whatever.<br/><br/>When my girlfriend's (19 year old) sister named Stalin I first assumed she began to develop a sense of sarcasm and I laughed at what I expected to be a joke. This infuriated her and so the game was suddenly over. Any arguments made in my defense by me and my friends mentioning some of Stalin's gruesome crimes committed upon his own people were received as US propaganda/Western lies.<br/><br/>What some people also here fail to realize is that this is no Hollywood propaganda. The sequel of the book is called Kolyma, are those gulag camps western propaganda also? For the purpose of exaggeration: I wonder if Nazi Germany had not been defeated during world war 2, would we see many people here at IMDb (in a post-NAZI Germany) 70+ years later commenting on movies like Schindler's List or The Grey Zone, only to paint them with the same brush of Western propaganda?<br/><br/>For some: please don't watch this movie if you have font memories of the Soviet Era.<br/><br/>For everyone else: It's a nice flick with a great cast, go watch it!"
"waynegavin1","8","4","4","20 January 2020"," A KREMLIN GREMLIN
","Tense murder mystery drama based in RUSSIA under the hammer and sickle,TOM HARDY delivers yet again and is now HOLYWOODS finest.this child murder mystery enrages as a brush under the carpet effort is applied when a child is murdered,the film chronicles the mind set of a RUSSIAN soldier and how it changes over the course of a chain of events,well worth a watch with excellent support again as the cast from LAWLESS reunite for this tense thriller"
"snnrx","9","52","85","19 September 2015"," Gigantic Movie
","O boy!!! Wow what a movie... if you're movie lover you better watch this movie.. Wonderful acting as you'll feel they are real characters.. <br/><br/>i know the title sounds little weird but you wont regret after watching the movie.. and ya its not a typical war movie or a drama thriller.. it has almost everything and you'll feel love struggle tragic and a message.. believe me its not a 6 rating movie its more of a 8+ or 9 rating movie..<br/><br/>Tom Hardy has done justice so as Noomi Rapace.. Gary Oldman and Jason Clarke played minor roles..<br/><br/>It's more like a movie u would love to see when you want something special to see..<br/><br/>compare the variance of tom hardy's acting and his skills of expression with his first scene when he was describing about his love of life how he met his wife with the last scene when he was trying to tell those children that he cant bring their parents back from dead..<br/><br/>boy that was something special by tom hardy.. never thought he could have done something like this esp after seen him as bane..<br/><br/>conclusion: MUST WATCH"
