"username","rating","helpful","total","date","title","review"
"MR_Heraclius","7","48","57","23 February 2020"," Delivers the action... Awesome plot!
","I found this thriller to be enjoyable. Lots of action - some of it pretty unbelievable - and some twists in the story. Very well acted on all parts. I really like Jolie much more in these action movies than the dramas she does."
"MarkusOctavius","8","53","67","29 January 2011"," Good action, good story. Bad image of Russians.
","Just watched the BlueRay of this movie and I really liked it. Good action, exceptional acting, good story. Not a mind blowing, but still interesting.<br/><br/>I've also listened to the director's commentary for the movie where he said that the Russian people had a negative reaction after watching this movie. In particular, that they were offended of the way Russians are shown in the movie. Well, I hope the director reads the reviews on this website and I would like to make a tiny remark. He completely missed the point of why they were offended.<br/><br/>It was not due to the fact that Russian government had (or has) spies in the US, but due to the image he gave to the Russians in his film.<br/><br/>1. Russians don't address each other as ""comrade"". Never did. 2. Russians don't drink vodka on every other occasion. And certainly don't carry a bottle on their person just in case. In fact, Russians drink more beer than vodka. 3. Russians don't kiss each other as a form of greeting. Only if they are very good friends (or would like to seem so) or relatives and either both girls, or of opposite sex. Russian men never kiss each other, even if they are best friends or relatives. Male relatives kissing is much more common in Europe and even US, than in Russia. 4. The Russian spies that were caught in the US last year were not observing the life of US. Any simple person can do that without being a spy. For example, I often talk to my relatives in Russia and tell them how I live in the US and how life in the US is in general. Of course, I don't tell or know any secrets; THAT is the spy's job.<br/><br/>Also, just a side note to others, who might only know about Russia by films such as this one: Russian people don't dream of attacking US (or any other country for that matter). They have problems of their own. So please, stop exploiting these beaten-to-death stereotypes in the movies. Otherwise, the cold war will never really end.<br/><br/>Other than that -- great movie. Enjoyed it very much.<br/><br/>Just to clarify: I am Russian and lived in Russia for 26 years."
"geekroad","7","302","436","27 August 2010"," Good Action Flick
","Many reviewers here have stated that this movie isn't realistic because 'Salt doesn't get bruised enough' or 'no one her size could...' Have these people ever been to an action movie before? NO ACTION MOVIE IS REALISTIC. They are all written to be over-the-top because that's what makes them entertaining. We suspend disbelief to enter the world of the action-hero (or heroine) and we go along for the thrilling ride that is sometimes so over-the-top it's ridiculous! But that's what makes it fun. If action movies were realistic, they would be slow and boring. This movie does not cross the line anymore than any other action movie.<br/><br/>Salt delivers exactly what is promised -- a solid 100 minutes of action. It keeps you watching, it keeps you guessing (even when it turns out you were right in some cases), and it entertains from start to finish. If you like the action movie genre, chances are you will enjoy this movie.<br/><br/>As for the reviewers who criticized the way Russians are portrayed, the action genre plays to comic book-like caricatures. The villains are no more realistic than the heroine! This isn't a documentary! <br/><br/>If you like action movies, give Salt a go. Angelina won't disappoint."
"EmilyMoulder","Null","58","81","19 December 2010"," Jolie proves she can play rough in Kurt Wimmer's Salt
","While I can't say that I was awaiting Angelina Jolie's latest outing with bated breath, I was intrigued by the fact that Salt was originally intended to be a Tom Cruise vehicle.<br/><br/>Tom's waning box office pulling-power aside, this sex-swap was a smart move by writer Kurt Wimmer (Equilibrium) as it gives Jolie the chance to prove that she can lay the smack-down on just as many henchmen as the boys can. Having her rather than him as the duplicitous CIA agent Evelyn Salt, Wimmer gives a fresh angle to a plot that could easily have been a boring instalment of the Bourne series. Salt also sees the welcome return of Russian villains to the cinema after a long period in which Middle Eastern terrorists were severely over-worked.<br/><br/>When a Soviet defector strolls into the CIA and announces that Salt is a sleeper agent who will kill the Russian president, she goes on the run. Fearing for the safety of her husband Michael, Salt sets out to find him before agents Winter (Liev Schreiber) and Peabody (Chiwetel Ejiofor) catch up with her. The question of where Salt's loyalties lie is the true source of tension and Jolie plays it cool, gaining and dismissing the audience's trust several times over.<br/><br/>Schreiber and Ejiofor draw the short straws in terms of dialogue and simply run after Jolie for the entire movie without doing anything of significance. Hopefully, if the proposed sequel goes ahead, Wimmer will be able to correct this glaring oversight.<br/><br/>The action scenes are sharply directed and Jolie finally gets her hands dirty, particularly in the opening exchanges where she's being tortured in a Korean prison. If that wasn't enough, she also flies down an elevator shaft by leaping from wall to wall – it was a silly effect but added a cheesy, fanciful element to what would have been an entirely too serious movie.<br/><br/>Consequently the first 40 minutes are fast and furious as Salt evades her fellow agents by any means necessary but not to be outdone, the rest of the film takes a left turn and continues to surprise with some serious fisticuffs, gun-play and high-speed car chases. Admittedly, for all its skill and enthusiasm, Salt's finale is a little over-the-top and it wanders into well-worn ground without knowing when to stop. Aside from this minor gripe, Salt is a well-directed action movie that delivers us a potential new franchise, an intriguing lead character and an exciting close to a lacklustre summer."
"mr-natural","10","71","102","27 March 2011"," Jolie plays Bourne
","I enjoyed this flick - it's a satisfying thriller with nonstop action, and Jolie does it proud. I would like to say that I'm surprised by all the negative reviews, all of which seem to take offense at the various ""illogical"" and ""unrealistic"" aspects of the film. These same folks no doubt LOVE films like Star Wars and Pirates of the Caribbean, films of the fairy tale genre with license to dismiss realism altogether. Not that there's anything wrong with that. But it is too bad they can't appreciate a fine little thriller like this that just fudges with reality a bit. Almost every James Bond film was at least as silly as this film, but I loved all them too, as did most of the world. Maybe these picky folks are just a bunch of chauvinistic men and jealous women. I say let them eat cake."
"alex-rosenkrantz","7","9","10","14 November 2016"," I liked it
","When I first saw the rating I passed over it, but finally after looking at it a few more times, I decided to watch it. I'm glad I did. The plot was quite good. Deep and broad themes. The action was also surprisingly good. The moves easy to follow and made sense. A lot of movies nowadays use shaky cam, also well as excessive editing and angles to the point you can't even tell what's going on. It's actually quite annoying and can sometimes turn me off to an entire movie because of it. The action in this movie was the opposite. The end didn't really make sense at first, but the more I thought about it, there is a counter argument. Not enough to outweigh it. Basically the end didn't make much sense, but I can see what they were doing, I mean its pretty obvious. Anyways, good movie throughout, but they could have worked the ending better.<br/><br/>In conclusion, its a smart, deep, broad, and exciting movie. I'm glad I got passed the rating on IMDb and gave it a try."
"drangerholt","8","19","25","4 November 2012"," Excellent fun
","People who don't like films like Salt are the type you wouldn't want at parties. No fun, and anything that is fun is frowned upon. This film has great over the top action scenes, an entertaining plot with some unexpected twists and a good looking star. There are some of us old enough who remember when action films used to be all of the above and were proud of it. There's nothing in this film I can really complain about. Some of the stunts were wild and the situations she overcome near impossible but so were Rambos and that is now a classic. For heavens sake people. Have some fun and enjoy this one. Ignore the bores."
"thatgirlmyra-9946","8","5","5","29 July 2019"," Good If You Don't Think Too Hard
","This is a typical action film, and a good one at that. The acting is well-executed, the storyline pretty good, if a bit confusing at times, and the characters keep you guessing.<br/><br/>Salt, a government agent who has been accused if being a Russian sleeper agent is a well rounded character by the time the film is up, despite not being necessarily likeable. All of the other characters serve a good purpose to further the story.<br/><br/>The storyline is actually very good, with twists I personally didn't see coming! Maybe they might be a bit cliche or predictable looking back, but most action movies now are.<br/><br/>So overall, if you're looking for a late night film to watch to pass the time, this is a good choice."
"chrichtonsworld","6","128","202","19 August 2010"," Popcorn entertainment nothing more nothing less!
","While I was expecting a little more sophistication in the plot department I realized that such a thing couldn't happen when US versus Russia is at play. (To my knowledge the Cold War is over and the spy business has become more complicated than ever. This oversimplification of old enemies and their wars is too much.) The plot is all over the place and realism is thrown out of the door. There are too many things happening in the movie that are too convenient and even impossible. Still it didn't keep me from enjoying this movie. It even managed to thrill me at occasions even if I was aware that most of the plot was nonsense. Jolie does an excellent job as the action heroine. The action is that makes this movie tick and that is almost the only thing that should count in a movie like this.Ignore the bashing and trashing of Jolie. This is pure entertainment!"
"jane10357","7","255","422","20 July 2010"," Entertaining for sure
","Was it realistic? No. Did all the dots get connected? Not all. Was it fun to watch? Yes. Was it predictable? Not entirely. Lots of twists & turns. If you don't mind people sliding down a banister with six-shooters out shooting 5 hit men with Uzi's, then you'll probably like it. (This didn't really happen, and I don't really know guns but you get the message.) I thought I had it all figured out but I was oh so wrong. I would like to see it again, knowing what I know now. There wasn't a lot of cursing and relatively little blood & guts considering this type of movie. I must say, sitting next to some women who liked shouting at the screen and throwing their own punches heightened the excitement for the audience."
