"username","rating","helpful","total","date","title","review"
"Lloyd-23","Null","321","454","3 November 1999"," Tense, unsettling, original, intelligent, short, cheap.
","This film is not a feature film.  For a start, it is not feature length, also, it is not shot on film.  More importantly, it does not have what feature films have these days: star actors, special effects, exotic locations, explosions.  Instead, seeing B.W.P. is seeing something else that a cinema can be: a place where people can share an intimate experience created by a few people on a tight budget.  I would be glad of its success if only for that reason.<br/><br/>The first section of the film appears at first to be amateurish and slow. In fact, it is very deft, and very efficient at what it does.  It tells the audience everything it needs to know about the characters and situation, and nothing more.  Also, it gets the audience into the habit of viewing the film's format: alternating between black and white (very grainy and poorly focussed) film, and the washed out colours of shaky pixilated video.  The film makers managed to set up a rationale for why the film is so cheaply made.  Three people hike into the woods for a few days to shoot a documentary, with borrowed equipment, and are in the habit of videoing everything for the hell of it.   They cannot carry tripods, steadicams, dollies, large lighting rigs, or the like, so everything we see is lit either by raw daylight, or by a single light fixed to the camera, which illuminates just what is within a few feet of the lens.  The film creates its own excuse to be cheap.  This is intelligent.<br/><br/>The acting and script are both excellent.  The well-cast actors are presumably playing pretty-much themselves, and are convincingly naturalistic, and neither too likeable or too dislikeable.  The slow route into hysteria is well documented.  Rather than simply having a character say ""We're lost!"", we see many scenes which show the trio getting more and more hopelessly lost, and more annoyed with each other for this.  By the time they are thoroughly lost, the audience shares the despair.<br/><br/>My friend and I, after seeing it, both felt a little sick.  I put this down to my having been tense for a hour, he put it down more to motion sickness. The jerky, badly-framed camerawork is hard on the eye and stomach, but I applaud the director for its uncompromising use.  Similarly, no compromise is made with the dialogue.  Some of it is very quiet and must be listened for, some is technical jargon, which is left realisticly unexplained.<br/><br/>One of the great strengths and weaknesses of the film is the editing.  It is good in that it does much to heighten the tension, with many key moments lasting just a little too long for comfort.  Each time the characters find something nasty, the viewer is made to want the editor to cut soon to the next scene, and the fact that he doesn't adds to the sense of being trapped, as the characters are.  The problem with this, though, is that one is left wondering about the motives of the fictional editor.  In truth, of course, the film is edited to create these effects, and to entertain, but the film's rationale is that these are the rushes of a documentary put together posthumously by someone other than the film's original creator.  Why, then, would an editor piecing together such footage, edit for dramatic effect rather than for clarity?  Why would he keep cutting back and forth from the video footage to the film footage, when neither shows any more information than the other?<br/><br/>The film is stark.  After one simple caption at the start, all that follows is the ""rushes"".  I wonder if the film might not have been improved with an introductory section which documented how the rushes were found and edited. A programme was made for television which did this.  Perhaps a portion of this might have been added to the film, making it more complete, and more believable (and proper feature length).<br/><br/>While I applaud the fact that young original film-makers have managed to create a mainstream hit out of a simple idea, well-handled.  I dread the possible avalanche of inferior copies which may come.<br/><br/>Most horror films these days are created not for the audience, but for the makers.  The departments of special effects, make-up, model-making, animation and so forth all try hard to show potential future employers what they can do.  The result is that nothing is left for the audience to do, since everything can be seen and heard, and the viewer's imagination can be switched off.  Today, it is possible to see pigs fly on the screen, and so film-makers show off and show us a formation of Tamworths, which is something which will look impressive in the trailer.  To show us less is to make our minds fill in the gaps.  This way, we create our own terrors, perfectly fitted to ourselves.  The ghastly face I see in my head, is the ghastly head which I find scary.  The ghastly face I am shown may be one I can cope with quite easily.  If I see a believable character screaming in hysterical fear at something I cannot see, my own brain creates demons for my night's dreams, demons far more mighty than anything CGI graphics or a latex mask could portray.<br/><br/>This film will stay in your thoughts for some while."
"deadkerouac","8","267","406","17 July 2000"," Generation Xers head into woods; we view excellent results
","I saw this film last night, LONG after all the hype and reviews were made about it. I settled in with the right mood for any film: no expectations. If you expect too much, you may be let down (take note for any Kubrick film). I watched the entire film without interruption and came out with a great feeling. ""The Blair Witch Project"" is one darn good movie.<br/><br/>Many critics and moviegoers complained about the film for its length, its amateurish photography/editing, and its lack of adequate acting. I feel these things MADE THE MOVIE. First, the film has to be at most ninety minutes long: any more, and it would be too long and boring. Second, the amateur video take gives the audience the feel that they are actually in the woods, listening to the rippling water of the creek, snapping branches under their boots, and hearing things go bump in the night. I greatly admire the use of two video cameras (one black-and-white, the other color) to denote which character is shooting the film. Lastly, the incessant screaming of whiny Heather, the constant complaining of average-joe Mike, and the Dudley-Do-Rightness of Josh make for great acting. Yes, these are regular people and up-and-coming actors from your local community theater, but YOU KNOW THEM. You've met people like them.<br/><br/>The biggest complaint, however, comes from the film's supposed ""lack"" of scary moments. This film reminds me of the classic horror film ""The Texas Chain Saw Massacre,"" and though not as gory and as shocking as that film, ""The Blair Witch Project"" shows just enough fright in the group's search for a way out of the woods, stalked by people and/or things they may never understand. In the older film, the long interval between opening credits and first gory act of violence is about thirty minutes long; it is even longer here, but the suspense/fright (just as in the older film) begins right from the opening credits: you just don't see it until the film's over. These are three people out to make a documentary in the woods with handheld camcorders--these are REAL PEOPLE. And GREAT ACTORS. Heather whines a lot and screams and reminds you of the girl you hate so much you fall in love with her. Her screams sound real, her cries are genuine, and she is DEEPLY DEEPLY sorry for bringing the others into the woods in order to film her documentary.<br/><br/>I really dig the beginning. It seems so real to me I may delve into my old home movies for nostalgia. Heather and Josh pick up Mike, then go to the store for supplies. This opening sequence really packs a punch. These are three Generation Xers out for a camping trip. We all know what happens to them, but we're glued to the screen, intent to know what actually happens.<br/><br/>The interviews give us some detail into the Blair Witch legend, but most of the audience is too busy thinking about the actual trek into the woods that they don't listen. This is wrong. Listening is good. The interviews, which also sound real and not rehearsed in any way, are like movie reviews: the critics tell you what they saw, but mostly they don't want to ruin it for you...unless they hated it.<br/><br/>And that's what I'll do. I won't ruin it for you. 8/10."
"blackheart","10","513","801","1 December 1999"," Sorry we couldn't supply the eye candy most of you are so used to.....
","I think I know why Blair Witch has generated as much negative as positive responses.  It FORCES YOU TO BECOME INVOLVED IN THE MOVIE GOING EXPERIENCE!<br/><br/>Wow.  What a concept.  Instead of sitting there like the passive sponges most of us become when going to the movies we are actually expected be become involved.  Take a leap of faith/belief or whatever and delve into this movie.  Without the overpowering F/X and music score most movies rely on to 'scare' you, if you still have an imagination left what is implied becomes a hundred times scarier than anything offered up by Hollywood in the last 30 years.  The hardest thing in movies is to scare you.  Not make you jump out of your seat with 5000 watts of sound blasting at 400 decibels (ever seen the 1999 version of the Haunting?  Event Horizon? - every potentially tense scene is preceeded by dead silence then the Blast).  Wake up people!  Blair Witch is the horror movies we have been needing for a long time and I'm glad someone finally had the guts to make it."
"steves97","8","133","198","21 June 2000"," Loved it, but you might hate it
","Like most movies, whether or not someone likes TBWP will usually depend on what they're looking for.  Many people enjoy horror movies because of the special effects, gore, shocks, and, in some cases, the high production value.  Since TBWP came from a small independent film company that cost less than a hundred grand to make, can a moviegoer really expect all that and have a good time?  I honestly don't think so.<br/><br/>Myrick and Sanchez had a terrific idea for a film: make a frightening mock documentary that was supposed to look like it was done by some amateur college students.  Some people seem to be under the impression that the movie was about the witch, when what it really was about the mental and emotional breakdown of the three film students.  I feel that once viewers could accept the low production values and the improvised script, only then could they deal with Heather, Josh, and Mike.  Until they do that, the film would never work for them.<br/><br/>I just put myself in their position:  I'm lost in the woods, I'm tired, I'm hungry, and I've got the added stress of returning borrowed equipment.  The weather is getting colder, it rains just enough to make life miserable, and something is waking me up each and every night.  Now, I'm exhausted, grouchy, scared, and I having troubles thinking clearly.<br/><br/>People might have hated Heather because they she was bitchy and annoying, but all three of them had their moments, good and bad. Many people might have also hated the fact that not everything was explained to them, and that they never got to see the Blair Witch.  Many other people may have resented Artisan Entertainment's marketing campaign, although they can't deny just how effective it was.  All the filmmakers and actors asked was that filmgoers understand the spirit that was intended; without it, they knew the film couldn't work for anybody.<br/><br/>As you might already tell, I thoroughly enjoyed this film.  What Haxan Films managed to do with what they had is not only revolutionary, but is also inspirational to independent filmmakers everywhere.  I found the backstory interesting, the plotline well thought out, and the characters extremely developed, considering the lack of structure and guidelines within the film. If you do decide to see this film, I think you'll enjoy it if you see it for what it simply is, nothing more; it might even scare the hell out of you!"
"robert-121","10","259","420","3 July 1999"," Gripping, stunning film, the absolute thriller!!
","Privileged to see a preview of this fantastically terrifying film, I found myself actually feeling the pain and mind-numbing anguish of the characters. At times in the movie, I would find myself trying to peer through the darkness with them, fully realizing that there was absolutely no chance of knowing what was out there.  I think that is the most effective aspect of this, the fear of the unknown.  I really can't think of anything more frightening than something that has no identity, and so you don't know how to relate or react, and you are forced to suffer through the unknown.  A key component also included in this film was the steady decline of human spirit that you witness first-hand.  You watch as the characters are broken down to small, scared, hunted animals, and you find yourself shaking your head at how pitiful and helpless they have become, yet you don't feel sorry for them, only agonizing hope that they will escape the fear with at least their lives.  Wonderfully created film that, at least for me, an outdoor enthusiast who used to enjoy wandering alone through familiar woods, will always haunt me to the core of my soul when I look around and see nothing but endless woods, unknown sounds, and things that are never seen."
"zombie65","10","183","297","19 July 1999"," Inventive and terrifying. Will spawn many imitations.
","With all the hype surrounding this new independent horror film, you might think it would be hard for it to live up to expectations. The Blair Witch Project is probably as scary as it's reputation. Feel free to read on, I do not intend to give away any of the film's secrets or surprises. The less you know about this creepy little chiller, the better.<br/><br/>Filmed on video and 16mm black & white, this film is exactly what the horror genre needs in a time reminiscent of the early 1980s slasher onslaught. The Blair Witch Project has no knife wielding maniacs, no DNA altered monsters, and no real bloodshed onscreen. We see what the three film makers see as they make their way through the deep, dank woods in search of a legendary witch. There are times when there is nothing but a black screen, and all we can do is listen to their scared voices and the unexplained noises going on around them. The true horror behind this film is the unknown, and those dark places where you know something is lurking.<br/><br/>If you are a seasoned veteran of the horror cinema, The Blair Witch Project may be less frightening than for someone who has not seen many scary movies. You will have to respect it's originality, and it's manipulation of our deepest fears. At times the film really makes you feel the sense of dread the film makers are experiencing. One thing I did notice about the audience in the theater is that everyone was very quiet. Except for an occasional gasp, the moviegoers were absorbed in this film. That's unusual for a modern horror movie. Most are full of fake scare tactics and multiple twist endings that keep the audience shouting and screaming at the screen. One thing for sure, you can expect many imitations of The Blair Witch Project in the future. Isn't that how it usually goes?"
"great_sphinx_42","9","86","136","1 May 2001"," An Experiment In Fear
","Hmm. Wow. What is there left to say? I've waited for most of the hype to die down to even add my comments for this movie to IMDB, and here they are:<br/><br/>This is really a movie that has polarized a lot of people. Many love it and consider it the best thing since sliced bread, and plenty more absolutely hate it and call it tripe, drivel, awful, wretched, the worst ever, etc. (NOTE: as far as I'm concerned, the opinions of anyone calling any movie the best- or even more especially, the worst- movie ever are to be immediately disregarded.) Highly innovative in its way, it spawned many parodies and an interesting but inferior sort-of sequel. In the summer of Star Wars: Episode 1, this was the movie that originated several cultural symbols.<br/><br/>
I saw this movie shortly after it opened in wide release. Sitting in a theater surrounded by my friends with popcorn in my lap and watching Mike and Heather run around some creepy old house, I felt for the first and last time in my adult life *real, creeping fear* when I myself was not in danger.<br/><br/>Many have complained about the shaky-cam, the cussing, how nothing 'really happens', and that it's not scary. By and large, the camera is not *that* shaky, at least to the point where you can't understand why- they're tromping through the woods and they're scared half to death. I must not get queasy very easily, as I had no problem with it. As for the cussing- the lines were ad-libbed, the actors are college-age, and all three sound exactly like every American college student I've ever known. So maybe people have a problem with young peoples' language, but what else is new? That's not a flaw of the movie- it's realism and part of why so many more young people found TBWP scary.<br/><br/>I think at least some of the dissention in opinions is caused by generational and cultural differences. My mother's friends told me it wasn't scary, but that 'Psycho' terrified them. 'Psycho', while interesting and a classic, is not the least bit scary to me. 'The Excorcist' has only a couple scenes that I find frightening, but my mom breaks out in goosebumps at the mere mention of it. The scariest thing I ever saw until I watched this movie was a reel in a collection of horror shorts: a woman walks into her house carrying groceries, drops her keys down her heating vent, bends down to try to get them, and something grabs her scarf. She struggles, but within a minute or two, she's drug down and strangled. The scarf goes slack, the woman is lying dead on her floor, and that's it.<br/><br/>TBWP is about what you *can't see*, about how your fear of the unknown is so much worse than what the unknown could probably ever be. The characters were not even necessarily likable, but they were *familiar*- Heather is the girl I sit next to in film class who thinks she has all the answers. Their mundane existence, captured in the beginning of the film, roots them in reality. What happens to them is terrifying because they are so every day, so interchangable with millions of other college kids. And, finally, you never know whether the Witch exists or not. Everything that happens can be explained away by coincidence, pranksters, bats, hunger, exhaustion and imaginations run wild with fear- or you can choose not to explain them away.<br/><br/>
Young Americans are not scared of much- school shootings can roll off us like water, the evil human beings inflict on each other is run-of-the-mill 6 o'clock news, we are raised in a culture that claims to worship a vengeful, elitist god while almost everyone is hypocritical and uses the power of spirituality as a way to abuse others. We are in information overload from birth. What we fear is not knowing. And in the Black Hills Woods of Maryland, just beyond the flashlight's reach, something is making strange and terrible noises- but we don't know what it is."
"Xophianic","9","34","50","6 February 2000"," Not ""scary as hell"", but still good
","I've never seen the tide turn on movie reviews before like I did in THE BLAIR WITCH PROJECT. First, I heard this movie was the scariest movie since THE EXORCIST, then I heard it was the worst movie of the year. When people thought it might be real, they loved it. Then, when everyone found out it was fake, I heard all sorts of bad things about it.<br/><br/>THE BLAIR WITCH PROJECT is about three young filmmakers, Heather Donahue, Michael Williams and Josh Leonard (actors with same names as their characters), go out into the woods of Burkittesville, Maryland to do a documentary on the mythical Blair Witch. They are never found, but a year later their footage is discovered, and it seems to indicate that there really was a witch and it was stalking these three filmmakers.<br/><br/>I did not find THE BLAIR WITCH PROJECT especially scary, although it was rather spooky. I did think it was good, with an excellent and very original plot. The acting in this movie by the three young kids was very good, especially if the rumors about how they improvised most of it were true. The character development was well done, and you will often find yourself waiting for daylight along with the characters.<br/><br/>Was this movie overhyped? A little, but I think if it wasn't that it wouldn't have been as successful, since the actors, writers and directors are relatively unknown. They did a very good job and I hope to see more works from them in the near future.<br/><br/>Sure, some of the realism could've been better. Even I knew that they should've followed the stream out of the woods instead of going deeper into the forest. And if this was happening to me, I doubt I'd pick up the video camera and tape it all instead of running like hell. But it still worked. I think the scariest part is how you don't see as much as you hear, because often the sound is 10 times worse than the thing making the sound.<br/><br/>This movie isn't too scary, but if you watch it in the middle of the night with all your lights off and alone, it will successfully freak you out. It's worth a rent or a buy, judge for yourself."
"Chasuk","1","128","215","16 February 2001"," Most Over-hyped Movie I've Ever Seen
","I've seen worse movies, but not many.  Yes, I like horror films.  Yes, I can distinguish cheap, sensationalistic splatter-horror from from the more chilling, show-less-and-frighten-more variety (and I prefer the latter to the former).<br/><br/>I still hated Blair Witch.  I don't lack imagination, but this movie certainly did.  I've seen Tampax commercials that filled me with greater fear.  The film lacked wit, style, story, plot, suspense, or verve.  I don't need expensive cinematography or stellar acting, but a film does need something to redeem itself (other than a sophomoric, if marginally clever, idea), and this film did not have it.<br/><br/>It is unfortunate that a bad movie has come to represent to many the epitome of independent cinema.  For a real horror masterpiece, see Ringu (The Ring), which, though it was probably filmed on a larger budget, worked because of talented direction and great storyline."
"Roo1i1","Null","122","206","2 February 2000"," Haven't you ever been to camp?
","This movie scared me in a way that no other has done before.  I remember going to camp as a child, and hearing things outside at night.  That was scary enough.  This movie recreated that entire scenario and then added some to it.  The fact that those things that go bump in the night outside your campsite were REAL in this movie makes it more nerve-inducing and frightening.  As anyone, the first time I set foot in the ocean after seeing JAWS for the first time, I was nervous.  Let me tell you in order to get from the movie theater to my house, I have to drive through the woods. After seeing this movie, that drive got SIGNIFICANTLY longer, more eerie, and scared the heck out of me.  I went about 90 mph all the way home in order to get out of the woods!  This is one SCARY movie."
