"username","rating","helpful","total","date","title","review"
"pyrocitor","10","518","567","14 January 2005"," Both uplifting and disheartening, sometimes both at once
","I went into this film with the knowledge that it had been the second film in history to win the 'top five' Oscars (for Best Picture, Best actor, Best actress, Best director and best screenplay) and has been praised as ""one of Jack Nicholson's finest roles"" and ""one of the classics of the 70's"". Naturally, after hearing all this, I had high expectations for One Flew over the Cuckoo's Nest. But nonetheless, I was surprised at how easily the film surpassed my expectations and easily led me to understand how it merited all that praise.<br/><br/>Based on the novel by Ken Kesey, the story follows Randle Patrick McMurphy (Jack Nicholson), who, in an attempt to get out of spending more time in prison, pleads insanity for his crime, and is therefore sentenced to time in a mental institution. This was McMurphy's intention, as he believes the conditions in a ""crazy house"" will be significantly easier to contend with than another harsh stay in prison. However, he quickly finds out that surviving the institution with it's desolate patients (including Christopher Lloyd, Danny DeVito, Vincent Schiavelli and an absolutely brilliant Brad Dourif as the stuttering Billy Bibbit) and the monstrously repressive Nurse Ratchet (Louise Fletcher, in a career defining role) is considerably harder than he imagined. McMurphy plays pranks, horseplay, and is generally defiant to the rules of the institution in an attempt to raise spirits. His constant optimism and reckless defiance to the out of date rules in the institution can be very uplifting, and often quite funny as well, but much of the movie can be very depressing - the generally decrepit state of the institution is a consistently (and intentionally) bleak background to a superb story with a truly bittersweet ending.<br/><br/>Jack Nicholson is at his best here, head and shoulders above other excellent performances such as in 'Chinatown' or 'As Good as it Gets'. McMurphy is an apparently unquenchable optimist, refusing to succumb to the defeated spirit of all the other patients. His livewire antics, inspiring the patients are generally uplifting, and when his indomitable spirit is finally broken, we really feel for him and his fellow patients. Nicholson conveys the essence of McMurphy to perfection, demonstrating his excellent understanding and interpretation of the character. When McMurphy announces that he is going to lift a huge stone fountain and hurl it through the window to escape, the other patients are so caught up in his intoxicating spirit of freedom that they honestly believe he can do it, despite the fact it would be impossible for a man much stronger than him. When McMurphy finally discovers that despite his best efforts, he cannot lift the fountain, he is so openly crushed that we can't help but feel for him. Beneath the frequent profanities and livewire antics, there are real human emotions, which come across as truly touching.<br/><br/>What can be said about One Flew over the Cuckoo's Nest which hasn't already been said? It has an excellent storyline, top notch acting, painfully bleak visuals, perfectly setting the tone for the movie, and alternates between being truly uplifting to devastatingly depressing. It features perhaps the most memorable film ending ever, next to a man on his horse riding off into the sunset, and leaves the viewer beaten down by the conflicting emotions, unaware what to think of the picture next to reveling in it's glorious entirety. It's hard to produce a final outcome any better than this.<br/><br/>-10/10"
"TBJCSKCNRRQTreviews","10","363","419","3 July 2004"," Touching and moving, a great cinematic experience
","Jack Nicholson is a great actor. No, not a great actor, a spectacular actor. This is a film from fairly early in his career, as well as it is for several other actors in this film, who later have had long, great careers too, including Danny DeVito, Christopher Lloyd and Brad Dourif. The film has some unforgettable moments... who could forget Louise Fletcher's icy stare, Jack Nicholson's smart-aleck remarks or Will Sampson's impressive, almost entirely silent performance? The film portrays the horrible truth about how patients were treated in mental institutions back then, and tells the story of someone who desperately wanted to break out, to rebel, to change things, for himself and for the others. I was compelled by this film, from the very first frame. I never took my eyes off it, and I will definitely be thinking about this film for a while. I thought it was great the way one of the very first frames depicted the institution as something far more similar to a prison than a hospital. Milos Forman did a great job of making that contrast very powerful to the viewer. The film is very moving and a truly beautiful cinematic experience. Every single actor gives a stellar performance, every single character is perfectly written, every single line, every single frame is absolutely perfect. I wouldn't change a thing in this film. It has a great pace, you never lose interest, but it never seems to be rushing to get through it, either. It's simply perfect. I have not read the original book, but if I ever come across it, I might check it out. I have only seen this film once, but I will definitely watch it many times in years to come. I recommend this amazing piece of great cinema to anyone who has at least a slight interest in the drama genre, or any fan of any of the actors, as they are all in their absolute prime in this film. 10/10"
"b1lskirnir","10","203","240","18 June 2005"," A great order vs. chaos tale that everyone can relate to
","Based on the amazing novel by Ken Kesey, Randall Patrick McMurphy is an antisocial and dangerous man no different than a petty criminal, placed in a mental ward to have his behavior studied. He makes friends with lunatics and starts his own circle of admiration within the hospital, much to the dismay of Nurse Ratched, the central authority figure in the story and one of the greatest movie villains ever.<br/><br/>The movie exists to show not only how corrupt and poorly-constructed society's approach to the ""mentally unstable"" is, but it creates characters that we have all met in life and shows how the McMurphy-like figure that we all wish we had fights for freedom of choice and basic human rights. In addition to the movie's great spirit, the acting is fantastic. Jack Nicholson is at his best and Danny DeVito can be seen in his very first acting role ( which he absolutely triumphs in ). And of course, there's the unforgettable Chief Bromden. The directing by Milos Forman is very well-done, as the camera-work is excellent and follows the pace of the movie perfectly in how it is used. What really impressed me was the editing, especially as far as the use of audio goes: some parts just made me go ""...wow.""<br/><br/>My only complaint is that I believe the movie could've been slightly more effective if it were based more closely on the novel at certain points, but the modified point of view of the film does make a great point; anyone who has ever hated their job, been accused of something, had some person so self-righteous and convinced of their own authority and dependency on order get in your way, or attended the American public school system at any point in their life should be able to identify with this movie."
"philip_vanderveken","10","182","215","14 September 2004"," ""What an excellent movie"" is all that went through my mind after seeing this masterpiece
","What a movie, what an excellent movie!!! That is what first went through my mind after seeing this masterpiece. I've seen many movies, but there aren't much movies which had such an impact on me. Nowadays almost all filmmakers believe they can only make a good movie by adding loads of special effects and lots of huge explosions ... This movie is so good, so convincing without them. The actors played their roles in such a convincing way that you would think these weren't actors at all, but real psychiatric patients.<br/><br/>This movie may be 30 years old, but it hasn't lost any of its relevancy. OK, we don't put our mentally ill people in that kind of prisons anymore, the bars in front of the windows have gone and now we call it hospitals in stead of nut houses. But the treatment hasn't changed all that much. I once worked in such a hospital as a volunteer and still saw things like forced feeding, giving people so much medication until they no longer know who or where they are,...<br/><br/>When the movie first came out, some people were shocked because when you watch the movie, you can't help it feeling more attached to the patients than to the doctors and nurses. This movie shows that cinema can make a difference. It can help to open people's eyes. If there is a movie that should be seen by everyone, this sure is the one. I give it a well deserved 10/10."
"Don-102","10","328","397","22 January 2000"," Poetic - Powerful - Simple: The Greatness of Cuckoo's Nest.
","The opening shot of ONE FLEW OVER THE CUCKOO'S NEST is a bleak  glance at an Oregon morning.  Stirring, haunting music plays gracefully on the soundtrack and a car approaches.  Inside the car is one of film history's most remarkable characters.   ""Randle McMurphy"" is about to bring hope, humor, and a glimmer of reality to some disturbed people in a mental hospital. Jack Nicholson as ""McMurphy"", is something of a paradox.  Is this guy crazy or is he really the lazy, conniving criminal most believe him to be?  That is the magical mystery and start to a journey into mental illness and the effect this man will have on some truly messed up men.<br/><br/>Milos Forman directs this all-time classic, which swept the Oscars deservedly, and holds up so well 25 years later.  It is a simplistic film about small people living in their own small worlds.  Manic moments are mixed with poignant acting all leading to an astounding climax.  Not before or since CUCKOO'S NEST has a collection of different characters had such an impact on me.  You could write a book report about each of the patients in the ward.  The two most important people here are, of course, Jack Nicholson and Louise Fletcher.<br/><br/>Nicholson has his greatest moments in this picture.  One brilliant scene has him doing an imaginary play-by-play commentary of the 1963 World Series to the group, who are not allowed to watch the game on TV.  It is a poetic sequence and Nicholson goes crazy with his delivery, describing baseball with colorful anecdotes and profanity.  ""McMurphy"" immediately makes an impression on the crazies and shows them how they don't have to stick to the ""normal routine"".  He knows their names right away, he sprays them with water, he makes impossible bets with them, he introduces them to fishing, and he even gets a suffering young kid (played well by Brad Dourif) a ""date"".  <br/><br/>Louise Fletcher plays one of the more reprehensible human beings in film as ""Nurse Mildred Ratched"".  She is a hardened woman, one who makes the daily meetings with the group a contest to see who will win.  Her stubbornness and lack of compassion for the poor guys is rather one dimensional.  That's perfect because that is exactly who she is.  Her strong will to keep things monotonous leads to a final showdown with the free spirited ""McMurphy"" in what is easily one of the most shocking and disturbing climaxes in recent memory.<br/><br/>ONE FLEW OVER THE CUCKOO'S NEST does not try to make a statement about mental illness or how the unstable should be treated.  Rather, it is a very simple portrait of the long days and hilarious scenarios that can come about when a mixed bag of suffering people are thrown together.  Mental illness is nothing to laugh about, but the fact that Nicholson is not really crazy (at least in my opinion) allows us to be amused.  He seems to love his compadres in the hospital.  He is mislead, however, into thinking he can do as he pleases.<br/><br/>There is no denying the power of CUCKOO'S NEST.  The two main powerhouse performances are golden, the cinematography is morbid and gritty like it should be, the ""Chief"" is great as Nicholson's right hand, ah, protagonist, and you care a lot about what will happen as the film moves on.  The famous, final shot ironically happens to be an exit of a major character into that bleak, Oregon morning. <br/><br/>NOTE: I have never read the book and I find it hard to believe author Ken Kesey has never watched the filmed version.  Comparing a book to a movie is impossible.  They are 2 distinctly different artistic methods of story-telling."
"Wuchakk","9","40","45","21 October 2012"," The spirit of freedom vs. the spirit of legal-ism
","Set in the early 60s, the story involves R.P. McMurphy (Jack Nicholson) and his arrival at a mental institution in Salem, Oregon (where the film was shot). He plays the ""mental illness"" card to get out of prison time, thinking it'll be a piece of cake, but he's wrong, very wrong. Everything appears well at the hospital and Nurse Ratched (Louise Fletcher) seems to be a benevolent overseer of McMurphy's ward, but there are sinister things going on beneath the surface.<br/><br/>""One Flew Over the Cuckoo's Nest"" (1975) is a film you'll appreciate more as you mature. I saw it when I was younger and, while I thought it was good, I didn't 'get' a lot of the insights the film conveys.<br/><br/>The movie criticizes the way institutions deal with mental illnesses. Their ""therapy"" is futile and only makes the patients dependent on the institution itself, thereby creating its need for existence (often at the taxpayer's expense). McMurphy is a threat to the establishment and therefore must be ""dealt with.""<br/><br/>A lot of people criticize the film by suggesting that Nurse Ratched ""isn't that bad"" or that ""she was only trying to do her job"", etc. I had the same reaction the first couple of times I saw it. This reveals an aspect of the film's brilliance: Ratched's malevolence is so subtle that the filmmakers allow the possibility for complete misinterpretation. Yes, from an administrative point of view, she seemingly does a good job, she's authoritarian without being sadistic, and she cares for the residents as long as they follow the rules (more on this below). Yet she is demonic as a robotized arm of a dehumanizing system. She maintains the residents in a state of oblivion and marginalization; they are deprived of their dignity because the system sees them as subhuman.<br/><br/>The filmmakers and Fletcher (not to mention the author of the book, Ken Kesey) make Nurse Ratched a more effective antagonist by showing restraint. Compare her to, say, Faye Dunaway's portrayal of Joan Crawford in ""Mommie Dearest,"" which pretty much turned her into a cartoon villain. Ratched isn't such an obvious sadist, yet she uses the rules to tyrannize the men and reduce them to an almost infantile state of dependency and subservience. Her crowning achievement is Billy Bibbit (Brad Dourif).<br/><br/>McMurphy, despite his obvious flaws, is the protagonist of the story. Although he's impulsive and has a weakness for the female gender, which got him into prison in the first place, he has a spirit of freedom and life. His problem is that he needs to learn a bit of wisdom; then he can walk in his freedom without causing unnecessary harm to himself and others.<br/><br/>Nurse Ratched, on the other hand, represents legal-ism, which is an authoritarian spirit obsessed with laws or rules. This is clearly seen in the World Series sequence: Even though McMurphy gets the final vote he needs for his ward to watch the Series Ratched refuses to allow it on a technicality. When McMurphy then PRETENDS to watch the game and works the guys up into a state of euphoria, Ratched reacts with sourpuss disapproval. That's because legalism is the opposite of the spirit of freedom, life and joy. Legalism is all about putting on appearances and enforcing the LETTER of the law (rule). The problem with this is that ""appearances"" are not about inward reality and, worse, ""the letter kills.""<br/><br/>Despite his folly and mistakes, McMurphy does more good for the guys in his ward than Ratched and the institution could do in a lifetime. How so? Not only because he has a spirit of freedom and life, but because he loves deeply, but only those who deserve it - the humble - not arrogant abusers. When you cast restraint to the wind and love with all your heart you'll reap love in return, as long as the person is worthy. A certain person hugs McMurphy at the end because he loves him. McMurphy set him free from the shackles of mental illness and, worse, the institution that refuses to actually heal because it needs mentally ill people to exist; it only goes through the motions of caring and healing (not that there aren't any good people in such institutions, of course).<br/><br/>No review of this film is complete without mentioning the notable character of ""Chief"" Bromden, played effectively by Will Sampson.<br/><br/>The film runs 2 hours and 13 minutes.<br/><br/>GRADE: A"
"perica-43151","10","23","26","20 July 2018"," A masterpiece
","The seventies produced some of the most interesting and worthy Hollywood movies. Before the era of blockbusters, and ever increasing dumbing down of the cinema art by the Hollywood power-brokers and greedy moneymakers, there was this short but truly amazing window of time that produced many of the timeless gems. A great portrayal of oppression, this gem should not be overlooked by anyone. Truly recommended."
"tfrizzell","Null","115","147","11 September 2000"," Jack Nicholson Finally Wins the Oscar
","Jack Nicholson had been nominated four times, he had lost four times.  Each time he probably should have won, but he never did.  Just when you thought there was no justice in the world, Jack finally came through with ""One Flew Over the Cuckoo's Nest"".  The film is exceptional in every sense imaginable. Nicholson stars as a prisoner who is sent to an insane asylum.  While there, Nicholson creates an atmosphere which gives his fellow inmates a sense of self-worth and a glimmer of happiness.  Throughout, it is never made clear whether Nicholson is truly insane or just acting crazy to get out of manual labor at the regular prison.  Whatever the case, Nicholson is creating a place that head-nurse Louise Fletcher (Oscar-winning) is finding unsuitable for the other patients.  She is quietly evil and amazingly cruel to those within the asylum.  Nicholson and Fletcher are getting ready for a head-on-collision that will prove to be the decisive factor at the end of the movie.  Will Sampson, Danny DeVito, Christopher Lloyd, and Brad Dourif (Oscar-nominated) are all great in supporting turns as Nicholson's fellow inmates.  An excellent film.  5 stars out of 5."
"Agent10","9","166","222","13 August 2002"," Jack Nicholson at his finest
","It's tough to really judge this movie. Is it Milos Forman's greatest directorial masterpiece or Jack Nicholson's best performance. Tough to say, but the marriage between both director and actor are quite phenomenal. From the first time we see Jack Nicholson to the sad, yet uplifting ending, one cannot escape the sheer power of the film. When a film is parodied as many times as this one has been, typically, greatness can be associated. Well, greatness was achieved, and let's hope this one never falls through the cracks."
"Quinoa1984","10","159","224","15 April 2000"," Best film of its era
","Milos Forman's One Flew Over the Cuckoo's Nest is a landmark (one of the few I might add) in cinema. Pretty much everything in this film is at or close to perfection. And rightfully so, it became only the 2nd (1 in 3 films in history along with It Happened One Night and Silence of the Lambs) film to win the top five Oscars- Best Picture, Actor (Jack Nicholson), Actress (Louise Fletcher), Director (Forman), and Screenplay (Bo Goldman).<br/><br/>The story (based on Ken Kessey's astounding, though not too similar, novel) focuses on a rowdy misfit named Randle Patrick McMurphy (Nicholson) who is put in a mental hospital with other people (some voluntarily in) who are not all there. Some of these guys include Danny DeVito (in his first role), Christopher Lloyd, Brad Dourif (in his Oscar nominated role) and the never forgettable Will Sampson who played the Chief. The film, It's actors and scenes will always be terrific achievements in cinema and is one of my favorites."
"ironhorse_iv","9","13","15","8 March 2015"," You have to be crazy to hate this movie! This movie is a masterpiece
","Put a straightjacket on me, because I think this movie is insanely good! Based off, Ken Kesey's novel of the same name and directed by Milos Forman, One Flew over the Cuckoo's Nest tells the story of Randle P. McMurphy (Jack Nicholson), a convicted criminal admitted to a mental ward, when he pleads insanity, to escape labor duties in prison. Once there, the rebel, wild-man, McMurphy bump heads against the authority figure, and head administrative nurse, the oppressive Nurse Mildred Ratched (Louise Fletcher) on the way, she treats her patients. McMurphy believes that they should be treated like real men with more personal freedom, while Ratched couther his argument by stating that any more freedom, would lead to chaos, anarchy, and death. In my opinion, while she play as the villain, she's in fact, she was somewhat, right and correct by her judgment, but the way, she enforced order on the mentally disable in highly crude and inhuman. In fact, by egging McMurphy on, she made things much, much worst. One might view this movie as anti-institution, anti-religion or anti-government. One Flew over the Cuckoo's Nest was written in 1959 and published in 1962 in the midst of the civil unrest. It deeply changes to the way psychology and psychiatry were being approached in America, while also challenging, how government should treat its people. By the end of the 1960s, the controversial movement towards deinstitutionalization has become, a real deal, while trust in government officials were in an all-time low. When 1975 came, most of the mentally ill found themselves, untreated and living in the streets and government being highly criticism for corruption and overused of power. The 1970's were bit anarchism at the time. It wasn't until later, that things became more balance and confinement. In a way, social institutions do serve a purpose; and the movie serves as allegory tale, showing how things like order vs chaos can become really off-balance. The movie really goes into deep detail on how different authorities, McMurphy and Ratched control individuals through subtle and coercive methods. A supporting character like the Chief (Will Sampson) talks about 'the Combine' in reference to the mechanistic way, both manipulate and process individuals. Nurse Ratched controls the inhabitants of the novel's mental ward through a combination of emasculation and subtle shame. While, McMurphy controls his fellow men by encouraging them to be wild men and challenge conformism. It was no surprise that both Louise Fletcher and Jack Nicolson won Best Actor/Actress at the Academy Awards that year, as both delivered such a gripping, gritty, and genuine performances. The movie has just as good, supporting cast with several unknown actors of the time, stars like Christopher Lloyd, Danny Devito, and Brad Dourif helping in. I like how the movie was shot. Forman's direction is dead-on, as he manages to capture the monotony of routine on the ward without allowing the film to drag. You get how eerily quiet it is. Order is impose on the patients with almost religious cult-like rigor. When the medicine is delivered. It's like communion. It's so zombie-like. The animal running along a man-made chain fence- representing wild vs civilize. The movie is full of hidden gem themes like those examples. Yet the movie was missing a few things from the novel such as the Fog which symbolize a lack of insight and an escape from reality and McMurphy's Moby Dick Boxer Shorts, which interpretation as a phallic symbol and blatant sexuality. It can also represents the pervasive evil that inspires Ahab's obsessive, futile pursuit. Both Ratched and McMurphy is trying to humiliation the other, by exposing the faults of each other's gender. A third interpretation is that Moby-Dick stands for the power of nature, signifying McMurphy's untamed nature that conflicts with the controlled institution. Although it's hard to find fault, it's certainly possible. Overpowering women are seem to evil by the writers and weak women are shown to act like sex object. It's somewhat noticeable that the movie is a bit misogyny. Another thing, is the movie's love letter message to society anarchy and black and white approach when it comes to, the hospital vs the patients. Another fault of the film is how the Chief was cut down as the narrator and put into a much smaller role. Much of his life prior to the hospital was not shown. You see a lot of Native-American themes throughout the film, despite that. The music by Jack Nitzsche, sounds something out of a western. It's represented the struggles of true freedom over confinement. Despite its dark and strong drama undertones, there were some comedic tendencies. It was a lot of fun to watch, as the drama slowly evolves into tragedy toward its conclusion. It's wasn't slow and painful. It was a very entertaining, well rounded film. The movie has aged well, with newer DVD copies, putting out the best quality for it. Overall: The film is powerful, and moving. It's a must-watch. I recommended it."
"Boba_Fett1138","9","115","167","6 August 2005"," A perfect mixture of entertainment and drama.
","Czech director Milos Forman seems to be obsessed with rebellious characters that don't like to go with the flow. Just think about Larry Flynt in ""The People vs. Larry Flynt"" or Andy Kaufman in ""Man on the Moon"", in the two most recent movies of Forman. The central character in ""One Flew Over the Cuckoo's Nest"" played by Jack Nicholson is also one of those characters, that wants to break the routine and even starts a revolt against the staff and nurse Ratchett in particular, in a mental institution.<br/><br/>The movie is perhaps more comedy and entertainment than heavy drama. Still that doesn't mean that the movie isn't filled with some powerful emotional sequences. The tension between the patients and the staff gets more and more notable and grows throughout the movie, which eventually leads to a 'wonderful' ending which I'm not going to spoil.<br/><br/>Yes, Jack Nicholson is truly splendid in his role and it seemed like he was improvising all his lines and actions during the entire movie. It was a really Oscar worthy performances, which he also received. Another Oscar winner for her performance was Louise Fletcher, which in my opinion is a bit too much credit. She plays her role well but nothing more than that. She did not deeply impressed me or anything. This movie also marks the debut for some today well known actors such as Danny DeVito (he looked so young and different!), Christopher Lloyd and Brad Dourif, who also received an Oscar nomination.<br/><br/>Really one of those movies that you must have seen at least once in your life.<br/><br/>9/10<br/><br/>http://bobafett1138.blogspot.com/"
"katarina-kristiansson","10","8","9","9 March 2018"," Best movie ever
","This was the best movie that I have ever seen. And I've seen many movies."
