"username","rating","helpful","total","date","title","review"
"ivo-cobra8","10","122","136","4 November 2015"," The best classic sport action film from the 80's!
","Rocky IV (1985) is definitely one of the best Sport action films of the 80's! It is my number one favorite best movie in the Rocky series! I love this movie to death and I don't care what anyone says. It was my first film I saw it as a kid, it is my childhood film and I grew up with this movie! Sylvester Stallone did gave us one of his the most best performances of the Rocky character ever! This film along side with Rocky III is very underrated, misunderstood, bashed and dissed off from fans and it's critics! I love this film to death and it has a special place in my heart. The film has everything that I love in a Rocky film. It is fast paced and Entertained from beginning till end.<br/><br/>The film goes very fast, is not boring, dull or lame, it is actually pretty good film, is not bad is actually good. The fourth installment of the Rocky series isn't the greatest film like, were his predecessors but it is still a good film. People: It's not that bad. In fact, it's really good. Okay, it isn't a classic like the first two movies were, and it suffers further by comparison to ""Rambo: First Blood Part II"" which came out six months before it. But ""Part IV,"" was still one of the best movies of its year (1985). That fight at the end was EPIC, just amazing. As for the music, Bill Conti is great but so is Vince Dicola! Vince is a genius on synthesizer music. The fight at the end was a literal clash of the titans level bout, and his music fit it so perfectly! Rocky IV remained the highest grossing sports movie for 24 years before it was overtaken by The Blind Side. It is the fourth and most financially successful entry in the Rocky film series.<br/><br/>As a kid Rocky IV was always my favorite best movie. It still is alongside with Rocky I,III and Balboa! It is sad that Apollo dies in this movie I hated that, but the rest was pretty fast entertaining, well faced paced entertained action movie. This is the first movie that place actually took in a different country and not in the US. I love when Rocky (Sylvester Stallone) fly's to Russia to fight the best undefeated champion Ivan Drago (Dolph Lundgren). The training sequences were awesome the fight sequences were entertained and very paced amazing. The soundtracks for this movie were pretty awesome and great. James Brown Living in America was awesome. The fight between Rocky and Drago was set on 25th December Christmas. This is the first Rocky film where the music is not composed by Bill Conti. The Fourth movie was one of the best Sport action movies Directed by Sylvester Stallone, he made such a great wonderful performance I love You Sly. Without you there wouldn't be Rocky.<br/><br/>I have heard a lot about this film: Carl Weathers as Apollo Creed and Dolph Lundgren as Ivan Drago really did not get along and got into an a real fight during filming. Lundgren threw Weathers across the ring before it was broken up. You can even see the scene during a press conference regarding the match, hostility is created between Apollo and Drago's respective camps. The fight really went out of hand. Carl Weathers shouted profanities at Lundgren while leaving the ring and announcing that he was calling his agent and quitting the movie. Sylvester Stallone forced and convince those two macho ego actors to comeback and finishing the film. The major problem with this film I have is killing the most best awesome character Apollo Creed. In Rocky sequel almost everyone dies. The killing one of the most favorite characters was one of the worst idea Stallone ever had. In Rocky III Mickey dies, in Rocky IV Apollo dies in Rocky Balboa Adrian Dies. Stallone kept killing our favorite characters but he memorized them. The movie wasn't filmed in Russia which that really disappointed me and I think Stallone should have visit Russia and film at least one scene there. I love sound effects and Rocky IV is one of the few sport movies that applies genuine sound effects from actual punches, bona fide training methods created by boxing consultants, and a bevy of other new special effects. I love everything that it is about this film, everything!<br/><br/>""When east meets west, the champion remains standing"" <br/><br/>Rocky Balboa,heavyweight champion of the world, is the trainer for Apollo Creed in an exhibition match against Ivan Drago, a ""superman"" boxer from the Soviet Union. When Apollo is killed in the ring by the brutal Drago, Balboa blames himself and promises to avenge his friend's death in the ring. That is the basic and simply plot of the most awesome sport action film of the 80's! Rocky IV is a 1985 American sports film written and directed by Sylvester Stallone, who also starred in the film. The film co-stars Dolph Lundgren, Burt Young, Talia Shire, Carl Weathers, Tony Burton, Brigitte Nielsen, and Michael Pataki. That is the basic plot of the awesome sport action film!<br/><br/>The rating I am giving a 10, I love this film to death, I grew up with it and it is my number1 favorite Rocky Film!"
"baumer","Null","169","212","22 September 1999"," Forget the politics and this is one of the most entertaining films ever made
","In 1976, a phenom was born.  By now we are all aware of the story of how Stallone wrote the screenplay for Rocky in three days after watching a fight between an extreme underdog and a highly favoured champ.  Stallone was a nobody back then yet he still stood his ground and didn't sell out to the producers until they promised him the title role.  The rest they say is history.  Well 9 years later, after three Rocky films, in my opinion comes the best one.  I realize that Rocky was all story and then a climatic boxing match and that is what won the film the Oscar.  And even though I can admit that this film is not as concerned with character developement as it is with training montages and bulging muscles, it is by far and away the most entertaining film of the 5.  And that is what I enjoy about the film.  I love that Rocky IV has some of the best training montages ever filmed.  I love that it has the heart of a lion when it shows Rocky scaling a mountain that you know damn well he shouldn't be able to.  And I absolutely love the boxing match at the end of the film.  This was completely choreographed by Stallone and he and Dolph Lundgren boxed for real for about 75% of the match.  Stallone felt that it needed some authenticity so that was the way to do it.  And if you think Robert De Niro is an impressive method actor, try this fact on for size.  When filming the boxing match, some of the scenes were so real that Stallone was rushed to hospital because his heart was actually pushed up and his ribcage was slightly shattered.  So when you watch that match at the end, just know that what you are seeing is not exactly choreography and trick camera work.  They did the best job they could to keep the look of the fight as real as possible.  And I think this is the best boxing match ever filmed, with all due respect to Raging Bull. <br/><br/>
Stallone was in the shape of his life in this year as he filmed Rocky and Rambo back to back and it shows.  I have never seen a more sculpted man in the movies than he was here.  And I think that added to his superman persona.  If you notice in all the Rocky films, he grows a little each time. And that also adds to the enjoyment of the film.  <br/><br/>Rocky IV is different than Rocky, there is no doubt.  And as much as I love the first one, it doesn't come close to entertaining me as much as this one does.  Rocky IV starts fast and it ends hard and in between we are blessed with a great soundtrack and a beautiful montage of all the Rocky films to Robert Tepper's ""There's No Easy Way Out""  And it is here that even though some will say that Stallone has substituted real human emotion with an MTV ersatz video, I think it works well.  There is nothing about this film that I didn't enjoy and if you forget what the experience of watching this one is like, I suggest that you rent it now and take a look at it.  And try to remember what it was like when you first saw this film back in the winter of 85.  I remember I was in Kokomo Indiana visiting family for Christmas.  My mom and I walked into a packed theater and you want to talk about a place erupting like a volcano, then this was the place.  When Rocky finally hits Drago to cut him over the eye and Duke yells "" he's cut, he's cut! ""  the crowd went into a frenzy.  And you can look no further than that as to why the Rocky films were so popular.  It doesn't matter if you are Canadian, American, Portuguese, Polish or Dutch or whatever, Rocky appeals to all of us.  Because all of us have been the underdog at some time in our lives and we love to watch him and perhaps live vicariously through him.  That is the beauty of Rocky.  If Rocky can do it then dammit so can I! <br/><br/>
When the movie ended on that cold night back in 1985, and people were filtering out to their cars for the drive home, I swear I could hear the crowd chanting his name, as did the millions..... and millions of the Rock's fans.  <br/><br/>"" Rocky! Rocky! Rocky!"""
"naughtyjimmy","10","26","30","30 January 2008"," Rocky IV has the most amazing soundtrack ever!
","We all know the plot of Rocky IV is awfully thin (Soviet boxer comes to USA. Soviet boxer kills Rocky's friend. Rocky goes to Soviet Union to avenge aforementioned friend. End of script). And this movie has very little dialog. Granted. This movie is actually a 90-minute music video. Absolutely. And it's full of stereotypes and clichés on the USSR and Russians etc. Logically, this movie is total trash, and by far the worst Rocky movie.<br/><br/>And you know what? Rocky IV is by far my favorite Rocky movie, and one of my all-time fave films. I know this defies all reason, but I'll tell why.<br/><br/>I'm a huge Stallone fan, and once again Sly remarkably directed and acted in this fourth installment of the Rocky saga; the others actors sincerely and convincingly played their parts as well; the editing is impressive too. But the real star of the movie is in fact one you certainly didn't expect. <br/><br/>As I said above, Rocky IV is a one-hour-and-a-half music video, and its real wonder is actually soundtrack author Vince DiCola. As much as I love and respect Bill Conti's work on all other Rocky movies, I must say that in my mind, DiCola's score on this movie surpassed Conti's and is the ""true"", the ""ultimate"" Rocky soundtrack. <br/><br/>DiCola managed to capture the essence of Rocky, i.e. overcoming one's fears, fighting against the odds, perseverance in the face of adversity etc. I'm referring especially to ""Training Montage"" and ""Heart's on Fire"" (wonderfully sung by John Cafferty): more than any other piece of music I've heard in my life, Vince DiCola's tunes are incredibly inspiring, unbelievably motivating... Just listen to them, they'll pump you up like nothing else. Whatever your occupation is (physical or intellectual), they'll instantly put you on a high and in the right mindset to achieve your goal. DiCola's music is so powerful, combined with the impressive editing of the training scenes, I would even be tempted to say it has a near-magical power to motivate you. It's definitely the ultimate inspirational music. <br/><br/>And the score in the rest of the film, especially ""War"" during the final fight, is equally terrific. It makes you root for Rocky from the beginning to the end and feel his emotions.<br/><br/>Stallone often had remarkable soundtracks for his movies (e.g. those by Jerry Goldsmith for the Rambo saga) and it's a shame and incomprehensible that DiCola wrote very few film scores (same for John Cafferty, why isn't he more famous?). I acknowledge that the first time I saw Rocky IV, I hated Vince DiCola's music because it was so different from Bill Conti's, but after watching the movie again, I came to adore it. In 1985, it was a score ahead of its time, and more than twenty years later, it still is. It hasn't lost an ounce of its power. Is it humanly possible to compose a more motivating soundtrack? <br/><br/>Watch (and above all, listen to) Rocky IV from this perspective and you'll understand why there are so many people who love it."
"ccthemovieman-1","8","82","112","24 June 2006"," No Credibility, But Sure Is Entertaining
","Here's another low-brained but very entertaining ""Rocky"" movie with one more interesting villain. Instead Of ""Apollo Creed"" or ""Mr. T.,"" we now have ""Ivan Drago,""(Dolph Lundgren) a giant Russian who is more like a machine. He's ""indestructable"" (and on steroids, too, and unlike some baseball slugger, he admits it!). He has the latest in technology, nutrition, etc., but you just know the much-smaller disadvantaged hero ""Rocky Balboa"" (Sylvester Stallone) will somehow find a way to chop this ""Goliath"" down.<br/><br/>Minute-for-minute, this might be the most entertaining of all the Rocky films, and looks good on DVD despite some graininess in the first five minutes. Rocky's wife ""Adrian"" (Talia Shire) never looked better: mature and pretty; the gruff and profane manager played Burgess Meredith is gone and the repellent obnoxious slob ""Paulie"" (Burt Young) has only a few lines. <br/><br/>This is the ultimate ""David vs. Goliath"" tale in every aspect and the final bout - held in Russia - breaks the all-time Rocky record for most punches ever thrown at two fighters. Of course, any real-life human would have been knocked cold about 50 times had they suffered the blows ""Rocky"" did in this fight! <br/><br/>This is a real flag-waving film with Rocky draping the Stars and Stripes around his shoulders. It's a totally unrealistic story but, all of these in the series were similar, credibility-wise, so just go along with it and enjoy the story. It's only an hour-and-a-half and story literally flies by."
"Darth_Guybrush","8","37","49","4 November 2006"," Dolph is the highlight
","The sheer effort Dolph (Ivan Drago), Sylvester (Rocky Balboa) and Carl (Apollo Creed) must have gone into training for this film must have been truly awesome. They all look amazingly fit and sculptured. I think more so than any current modern day boxer.<br/><br/>Kudos to Dolph who in almost his first major feature film (his first was View to a Kill) made, at least for me, a major impact. Despite his lack of dialog ""I must break you"" is right up there with Schwarzenegger's ""I'll be back"". He looked amazingly strong - a freak almost - just as the plot intended. Scary. He looked even taller than the 6 inch difference between him and Stallone (Lundgren 6'4"", Stallone 5'10"").<br/><br/>I would think that difference in height/reach would make him nigh on impossible to defeat if this were REAL. Of course it is a movie. Dolph is the highlight and was sad to see Apollo's demise (but at least it shut him up). The writers must have based Apollo's character on Muhammed Ali surely! Am currently watching Rocky V and is interesting so far!"
"oldgoldandblack","10","15","18","6 July 2018"," Best rocky film
","I love the rocky films. This is the best. So emotional, also has a great soundtrack. In 1985 they knew how to make good movies"
"gazzo-2","7","52","77","14 January 2000"," Popeye beats Bluto again....
","Oh Man I loved this one when it came out...the death of Apollo Creed, Stallone standing up for Reagan America in his quest to hammer the Evil Empire's steroided up UberMan Drago. You don't for a second actually Believe that Stallone could kayo Lundgren(Dolph is 6-5-220 plus, a kick boxing champ-Sly 5-9ish, 190) but who cares?! It was great to watch them whale away at one another in Russia like that, surrounded by 10,000 Red Guards, a Gorby lookalike and Brigette Neilson there....<br/><br/>Stallone really took to the MTV style of editing in III and does it again here, with the training montages, Survivor/James Brown/Robert Tepper tunes, etc. very well. I personally enjoyed the contrasts-see Stallone chop wood. See Drago pump iron. See Stallone run acrost a snowy field. See Drago run on an Olympic treadmill. See Stallone do crunches while half-suspended from a loft. See Drago bend every concievable advanced weight machine outta shape as he flexes and trains. See Stallone eat his spinach. See Drago take his Steroids....<br/><br/>Basically you know going in, Drago has no chance, the old David vs. Goliath thing all over. And you know when Stallone re-does his run up the Phillie steps thing again, this time up a mountain, losing the KGB in the process, that he is gonna win or die, plain as that.<br/><br/>The fight is as ratcheted up and brutal as they come, really overkill, over-done, I think that Stallone is knocked down something like 8 times, in truth he would have been TKO'd or put into a coma by the 3rd round. And Drago, too, woulda had to suck soup through a straw and filter for 5 weeks himself...Realism isn't the game here, though. Fun is, excitement, getting caught up in the moment, all of it. This film just could not have been made at anytime save the cold War '50s or '80s. Audiences to intuned to the grunge/ironic/'Whatever'/Friends crap of the first half the '90s especially would have laughed this off the screen or gone to bed. Audiences in '85-86...this is what they, WE wanted, and we got, big time....<br/><br/>Things to not worry about in this film, though are debits to the Rocky IV viewing experience--same old, same old performances/roles for Adrian and Paulie. They were brought along for the ride once again, same as Scottie and Bones were for the 19th time in the way too many Trek sequels. And you can't say Brigette got anywheres in Hollywood on her talent, ya know? Just can't see it. Camera loved her, but....<br/><br/>Anyways--as you can tell I ate this one up, and still like it, its my second fave Rocky film.<br/><br/>So, what is the Gazzo-2 rating?<br/><br/>***1/2 outta ****, Cartoony to the max, (Is Not Documentary!)-much fun."
"mmallon4","10","10","12","24 March 2018"," 80's: The Movie
","Rocky IV is one of the most entertaining movies ever made. If there was ever a movie I can turn to for just 90 minutes of pure, immense, adrenaline filled, inspirational entertainment, it's Rocky IV. The runtime is the shortest of the series, but those 90 minutes are perfect. The poster for Rocky IV is displayed proudly in my bedroom, and every now and then I look at it in all its majesty with Rocky sticking his glove up in the air while draped in the stars and stripes. I feel the Rocky movies had the ideal lifespan for a movie franchise; start off serious, goof out for some fun, but then end again on a serious note.<br/><br/>There's no question about it, Rocky IV is the most 80's movie ever. Case in point:
<ul><li>Synthesized rock soundtrack.</li></ul>-Cold war propaganda.
-Conservative, Reagan era values.
-MTV music video style montages.
-Larger than life villain.
-It's a sequel of a long-running franchise.
-There's a robot.
-Rocky drives a sports car.
-Display of decadence.
-Brigitte Nielsen, star of other very 80's movies Red Sonja and Cobra.
-Action movie revenge plot.
-Full of cheesy/corny quotable lines (""If he dies, he dies"", ""Whatever he hits, he destroys"").<br/><br/>Stallone's inspiration for Rocky IV came from the two fights between Joe Louis and Max Schmeling in 1936 and 1938 respectively; two fights which embodied the political and social conflict of the time - an African American taking on a supposed representation of Aryan superiority. Thus in Rocky IV we get Ivan Drago, the terrifying Aryan superman Rocky must challenge to avenge the death of his friend (could that sound more 80's?). Ivan Drago is a terminator; the strongest opponent humanly possible; however is Drago an interesting villain? I say yes; one of my favourite screen villains of all time as a matter of fact. In a memorable Siskel & Ebert moment, Roger Ebert described Drago as a ""moderately interesting villain"" but complained ""how come he never has a single scene alone with his wife"" and ""why does she have nine times more dialogue than he has?"". Drago doesn't speak for himself as there is no individualism in communism. I feel Dolph Lundgren gives a great physical performance, playing a character who is the opposite of Clubber Lang in that he speaks few words; succeeding in being an intimidating monster with his physical presence alone. I also love Drago's reaction to Apollo's entrance at the exhibition fight; that of a Soviet being welcomed to America.<br/><br/>Ivan Drago is a product of a state that sponsors his training as exemplified in the movie's two training montages. Drago's music theme is cold, intimidating and mechanical, just like his training. He is given steroids by his trainers and at a press conference an American reporter says ""There have been rumors of blood doping and widespread distribution of anabolic steroids in the Soviet Union""; feels like an eerie foreshadowing to the state-operated Russian doping scandal of 2016. Following the boycotts at the 1980 and 1984 Olympics, Rocky IV couldn't have come at a better time when sports and politics were going hand in hand. Drago's fit of rage near the end of the fight in which he proclaims ""I fight to win. For me! For me!"", is clearly a jab at communism as he wants to work for himself and not for the glory of the country. Likewise, when he lifts up and throws the Russian official who criticises him, it's a classic Frankenstein moment; the monster turning on its creator.<br/><br/>Apollo Creed's entrance, on the other hand, is one of the most capitalistic things ever put on film, with James Brown singing Living In America among Belly Dancers and Apollo Creed dressed in stars and stripes; and to top it all off, it's in Las Vegas. A stark contrast to the Russians who open the Rocky-Drago fight later in the movie to their national anthem (yet another awe-inspiring musical highlight in the film). Did Apollo's ego untimely kill him? Apollo's patriotic egotism clouded his better judgment and no idea just how strong Drago would be. The sheer power of Drago's punches during the fight with Creed (if you could even call it that) is exemplified by the sound effects. Also, why does Drago receives no punishment for throwing the referee aside, but if I was going to point out every little thing in this movie which makes no sense I'd be here all day. There's such brutality to Creed's death; such slow motion brutality. I'll never forget my mum's reaction the first time I watched Rocky IV, a gasping ""oh my God!"".<br/><br/>When I was studying for my GCSE examinations, the Rocky IV soundtrack was one of my primary sources of music listening. Whenever I have a stressful day of work I listen to the Rocky IV soundtrack when I need that extra bit of adrenaline to make me go on. Feeling down? Rocky IV soundtrack! Need inspiration? Rocky IV soundtrack! Having a workout? Rocky IV soundtrack! 20% of the Rocky IV or 23 minutes is comprised montages with songs which can make anything look epic in one of the epitomes of the 1980's soundtrack; everything you would expect from a score which won the Razzi for worst music score. The score by Vince diCola has been officially released but copies are not easy to come by. The actual Rocky IV soundtrack features different versions of War and Training Montage than those which appear in the film, although these variants are good in their own right.<br/><br/>If there is one word associated with Rocky IV, its montage. I can watch these montages over and over again and still be enthralled by them. The first training montage is heavy on its symbolism of nature vs. machine and showcases the beauty of the Russian wilderness. Ok, it's actually Wyoming but I can buy into it being a vast frozen expanse of the Soviet Union. But it's training montage number 2 which has to be my favourite training montage in film history. This is partly due to John Cafferty's Hearts on Fire - a motivating, pumping song if there ever was one. That synth, god I love it! In the spirit of everything in Rocky IV being larger than life, instead of running up the steps of the Philadelphia Museum of Art, the montage ends with Rocky climbing a mountain.<br/><br/>The editing of Rocky IV also contributes to the film's bombastic nature. The transitional shots of magazine covers and newspaper articles make the film play out like more of a comic book than it already is. Likewise, shots such as that of Rocky's Russian chaperone looking into binoculars gets repeated three times within a few seconds but zoomed in further each time and edited to the rhythm of the score; it's just so cool. On the other hand, I even recall a review I heard for Star Wars: The Forces Awakens refer the final shot of that movie as a Rocky IV shot, in reference to the aerial shot of Rocky on top of the mountain. Is Rocky IV a more influential than the history books say?<br/><br/>Rocky IV is incredibly distant from the first movie but this is appropriate as Rocky is out of his element and in a foreign land. This is the only film in the series not to take place in Philadelphia unless you include the scene in the Balboa mansion although it's never made clear where the mansion is located. The No Easy Way Out montage provides you with clips from the first movie, so it the film itself allows you to bask in the stark contrast between the movies; a man who used to be a not very intelligent nobody and made money from prizefighting and working for a loan shark is now at the center of international politics.<br/><br/>Even the sheer predictably of Rocky IV is wonderful, such as when Adrian shows up in Russia to support Rocky; it's all cliché but in the best sense of the word. The build-up to the final fight and the atmosphere is so immense; there could never be a Rocky film more epic than this. By this point, I'm actually scared for Rocky and fearful for his life, and Paulie's emotional outpour before the fight, it gets me every time. I don't care what anyone says, this is the greatest fight in film history. Rules don't apply and Rocky somehow lasts the 15 rounds and even wins over the crowd (""Suddenly Moscow is pro-Rocky!""). This isn't just Rocky against another opponent, this is Rocky against a superhuman, a hostile crowd, a Mikhail Gorbachev lookalike and an entire world superpower. Keep your superhero movies with their city-destroying battles; this is what I call a duel! Rocky's final speech is naive in the most wonderful way. The words of the speech are so juvenile, yet when I hear Stallone utter them in the movie; it brings a tear to my eye. Did Rocky IV really help end the cold war? Who knows? Oh, and the end credits provide us with yet another awesome montage!<br/><br/>Rocky IV embodies the essence of capitalism the American Dream; if you work hard, success is attainable. I know many would just look at the movie and scoff at it as a simplified look at the Cold War with an ""us and them"" mentality. But as a piece of propaganda does it work? Oh, you bet it does. Rocky IV, I salute you to your over the top, cheesy 80's perfection.<br/><br/>Rocky IV > Citizen Kane"
"The_Juggalo5588","10","14","18","6 July 2006"," One of Stallones best achievements.
","To start this film had many catching moments that really inspired me when i first saw this movie. without doubt my favorite of the rocky movies. no actor could have done a better job in this film. no actor could have made the role of Rocky more appealing to me than Stallone himself. i think it is ridiculous that a man with so much talent has been ridiculed by so many as the worst actor of the century. forget there comments on there ability to understand his voice, or there opinions on his direction in life. he has been beaten down physically in almost every major action film he has done to make it more than just another action movie. in this film he sees his best friends death at the hands of a soviet Juggernaut. falling apart knowing how much this friend had done for him he wants to avenge his fallen friend. he goes through hell and back to achieve this. he works harder than at any point in his life to avenge his friend. he gets the beating of his life, he takes blow after blow, one after the other by a raging Russian volcano but never backs down. He hits and hits him again and again relentlessly overpowered but never falters. he comes out on top and makes a moving speech of how faulty it was for the cold war to take place. i found this film as moving as any i have seen and the fight scenes make this truly a great action film. whats more of this film is how few people give this film credit or even recognize it as one of Stallones better films. i give this film a good word and i would watch this film any time i needed a little uplifting motivation. this is a good film...Hands down."
"TonyMontalbano","10","54","84","26 April 2007"," Inspiring!
","Its the foundations to who I am today. Had I never scene it I would of never been inspired to pick up the weights & become a World champion bodybuilder! This is my personal favourite but not the best movie of the series.I am undecided between Rocky 1 & 2. Sly Stallone's life has just as been inspiring as his legendary character. He's had many ups & downs in his career & always prevailed. When he fist wrote Rocky he wanted to play the character & the studios laughed & Sly proved them wrong. Then 30 years later he wanted to finish the series with Rocky Balboa & the studios laughed at him again especially at 60! Sly proved them wrong again. We all need a modern day hero & Rocky is one of them. Sly has inspired people in the 70's, 80's, 90's & now the millennium. What other actor has done that? I'm sure he will do the same again with John Rambo!"
