"username","rating","helpful","total","date","title","review"
"kengoogloo","10","125","133","5 February 2006"," Try to decode the story ...
","Probably many people find the story confusing. I felt the same way when I saw it in the theater for the first time! The story seemed arbitrary and I couldn't connect the pieces together (much like I saw ""Ashes of Time"" for the first time). But when I watch it again on the DVD, I realize the movie is probably about one thing: personal freedom.<br/><br/>Howl is a free person. He doesn't has a heart and even his home (which is usually characterized as a stable point in one's life) can move :-) He is disguised as different wizards in different counties, and when Sophie asks him how many identities he has, he said ""Enough to guarantee my freedom"". When Sophie confronts Suliman, she comments Howl as ""selfish and cowardly and unpredictable, but he's straight as an arrow. He only wants to be free."" But in Miyazaki's world, nothing is black and white. According to Suliman, Howl's power is too great for a person without heart, and he will eventually becomes a monster (some political figures come to my mind).<br/><br/>Sophie, on the other hand, is bounded by responsibilities. She is young, but her heart is old. She refuses the invitation from her friends and keep working at the hat shop. When her sister asks her ""Are you going to spend your life in that shop?"" She replies ""It meant so much to papa. Besides, I'm the eldest."". Even her sister asks her to ""look out for yourself"". When Sophie is turned to an old lady, it actually set her free because the good thing of being old is that one has ""so little to lose"" She becomes more adventurous and takes control of her life. She is very assertive as being the cleaning lady in Howl's castle and even tames Calcifer to cook her food. For Howl, his turning point comes when he refuses to move his castle anymore (I'll leave it to the reader as why he does that) By the end of movie, he regains his heart. He feels terrible because it is like ""trapped under a stone"". And Sophie says, ""Yes, a heart is a heavy burden"".<br/><br/>There are other wonderful things in the movie. For example, this is probably one of the few movies that tell me what it is really like to be old. But I do want to highlight the thread about personal freedom as it will help you to tie up the pieces of the story.<br/><br/>Since there are 1000 words limit in the comment system, I'll write more in by blog: http://web.mac.com/kenlaw/iWeb/Site/Blog/Blog.html"
"surenm","10","309","353","20 March 2005"," A wild and surreal trip into the mind of a master.
","I think this is possibly Miyazaki's most intriguing movie. All of his other films are very linear and even though their highly varied worlds may be visually stunning and highly creative, I feel the dreamy world of Howls Moving Castle is by far the most captivating, bizarre, and imaginative of all the worlds Miyazaki has ever envisioned.<br/><br/>What I love about this movie is that it's highly emotional without a great deal of logic or plot or story to get in the way. In this way the film is simple, pure, and extremely beautiful. It is as if the characters go from one emotion to the next, in a world that is as random as one's own dreams. Some people have complained about the lack of plot or story or serious character development, but even though the characters are fairly static, their emotions and the physical changes they undergo as they go through these emotions brings out a higher truth that is seldom given such artistic and natural freedom.<br/><br/>I think this is a very smart movie in many subtle ways and it's one that I look forward to watching again on the big screen and then on DVD. Although it flirts from theme to theme to theme with a kind of animated attention deficit disorder, the landscapes and utter unabated surrealism left me stunned and never bored.<br/><br/>Also, from a quizzical character design perspective, Howl is certainly one of if not the most beautiful characters that Miyazaki has ever created. Howl is an interesting departure from Miyazaki's more classical wabi-sabi anime style that most of his heroes and heroines are drawn in as Howl is definitely a very contemporary bishonen.<br/><br/>If you're looking for quaint settings, dynamic characters and a very involving character or plot driven story, you're not going to necessarily find them here, but you will find an equally stunning and pleasing movie if you let yourself go and enjoy this passionate, heartfelt and surreal Miyazaki dream."
"soanim8ed","10","267","309","6 June 2005"," This is art
","Howl's Moving Castle is as marvelous and magical as Miyazaki's other great work. Something in Disney's advertising or the description I read gave the false impression that it was going to be sub-standard work meaning it was still going to be better than anything DreamWorks Animation was doing (Madagascar was sooo pedestrian).<br/><br/>While not as awe-inspiring as Spirited Away or action-packed as Mononoke, it does work on the level of Kiki's Delivery Service as a girl is forced to be better than she thinks she can be (well, that's not a big surprise, that's all his films). And as with all Miyazaki stories, the story teaches without being preachy. And the lessons learned are represented in character changes and in the character's physical appearance as well. It's that same attention to detail that has made Pixar so great.<br/><br/>The animation is wonderful. The castle is itself is a mesh-mash of so many haphazardly arranged pieces that an engineer would have an aneurysm just sorting them all out and yet it works. Through magic, of course. The magic being Howl's and the authoritative hand of Miyazaki's direction. The airships (wow, airships in a Miyazaki film? Who would have thunk?) are great variations of one's he's used before and there are some rather dark and beautiful scenes of a world at war.<br/><br/>Most of the voice work was very strong including Christian Bale (Howl) and Emily Mortimer (as the young version of the heroine, Sophie). The voice that surprised me was Billy Crystal as Calcifer, the little flame that could. He's the heart of the castle and only annoyed at his first few scenes then becomes a very likable character.<br/><br/>There a few clunky moments in the plot line where transitions between story points weren't very strong, but overall it's another outstanding film from Studio Ghibli. Even my 40 year old partner, who had spent the day mountain biking, was dead tired and had never seen a Miyazaki film stayed awake for the entire 2 hours. When we left at 3:30 in the morning still jabbering away about all the imagery and meaning, we realized we had seen true art."
"cornishogre-1","10","105","120","10 July 2005"," For those who love the book  or wondered about it
","When I read some four years ago that Diana Wynne Jones had sold the rights for Howl's Moving Castle to a Japanese animator, I wondered. The book (one of my very favorites, which I re-read at least once a year) takes several fairy-tale conventions and merrily turns them upside down. Ms Jones refuses to allow her imagination be neatly pigeonholed as hard sci-fi or straight fantasy, juvenile or adult. This story (as all of her stories) revels in word play. I really wondered how it would all come out translated into Japanese.<br/><br/>I'd never heard of Miyazaki. Then I saw Spirited Away, Princess Mononoke, The Cat Returns, and Kiki's Delivery Service. Wow. I think Ms Jones and Mr. Miyazaki must be kindred souls. His movies share a lot with her novels  a whimsical sense of humor, impossible to pigeonhole into a category, magic and mischief, and a firm respect for the audience's intelligence. I began to pace the floor in anticipation of the movie.<br/><br/>I saw the movie today. I was not disappointed. The soul of the story is intact, Sophie and Howl and Calcifer are nearly as I imagined them. Yes, there are some plot adjustments. Think of it as the Series 12C version (for those who have read Ms Jones' Chrestomanci books.) The main elements are there, some re-arranged, some changed, yet with a full understanding of the original. Much like the 2004 version of Peter Pan  much was changed, but the soul is the same.<br/><br/>For those who wonder, here are the differences between the movie and the novel. I've tried to phrase them carefully to avoid spoilers for either fans of Ms Jones's work who have yet to see the movie, and those who have seen the movie and have yet to read the book:<br/><br/> Why the witch bespells Sophie<br/><br/> Where the door opens when the dial points to black<br/><br/>Sophie's sister Martha, and the plot line involving sister Lettie are not in the movie  Mrs. Pentstemmon, Miss Angorian, Mrs. Fairfax are also missing, but elements of each are woven into other characters in the movie  Michael (Markl) is a different age  The battles  magical and military  are quite different (but equally spectacular)  The dog appears at a different time, with a different, yet just as mysterious, agenda  The scarecrow's relationship with Sophie is different  Thelevel of technology is different. (I did miss the 7-league boots)<br/><br/>My advice: go see the movie. It's magical and beautiful and funny. Then, if you are a Diana Wynne Jones fan, check out the rest of Miyazaki's films. Now is a great time, as many of his films are available on home DVD. If you are a Miyazaki fan, hie thee to a library or bookstore try Ms Jones' books. (There is a sequel to Howl's Moving Castle  Castle in the Air.)<br/><br/>And enjoy!"
"WritelySo","10","143","171","23 February 2005"," My favourite Miyazaki!
","What an amazing achievement! This is by far the best example I have ever seen of animated characterization. The expressions and the nuances and the emotion captured in this film are truly breathtaking. I love all of Miyazaki's work, but in Howl's Moving Castle he has managed to take it to a level that to me sets the standard.<br/><br/>It has all of the classic stunning Miyazaki panoramas, rich settings, exciting and unusual machinery, and brilliantly conceived creatures that are often humorous and fanciful. The characters are all very expertly crafted and developed, but what really enchanted me were their expressions and the subtle but powerful ways that he chose to elaborate on their connections and emotions. It is very difficult to describe, but they come to life in such a powerful way as to seem entirely real and unique.<br/><br/>He achieves this within the medium - not by really imitating or parroting film or live action, but by artfully exploiting the medium to enhance and capture the subtle interactions that make up relationships. He shows his audience what his characters are thinking and feeling by carefully chosen gestures and facial expressions, rather than relying always on dialog, etc. I was completely swept away by this skillful use of animation - I have never anywhere else seen anything that begins to come close to it.<br/><br/>The story is fantastic - I haven't read the novel, but it had all of the elements I have come to enjoy in Miyazaki's work - there is the humour, the lighthearted moments, the strong, insightful, loyal, and honourable characters, the lyrical drama and action sequences. The pace is perfect - it flows nicely and is always exciting, suspenseful - I got very caught up in the characters and their struggles and hopes. The themes were expertly handled with Miyazaki flair - and always richly meaningful and perceptive.<br/><br/>I can hardly wait to see what this brilliant artist creates next!"
"life_on_screen","7","245","328","12 January 2005"," Terrific Miyazaki, although not his best
","""Howl's Moving Castle"" opened here in France on Jan. 12th (as ""Le Château Ambulant,"" natch), and I saw it at an avant-première. As a raving fan of Miyazaki and of Diana Wynne Jones, I feel lucky to be an American living in France -- I see there's no release date announced yet for the U.S. Sorry, folks, and blame Disney! <br/><br/>I understand the feelings of viewers who have criticized the movie as trite. I find it's less imaginative, in terms of character development and emotional profundity, than Miyazaki's best masterpieces. However, even a pedestrian Miyazaki movie is infinitely more rich, frightening, imaginative and humane than any six Disney films put together, and there's a lot to love in ""Howl's Moving Castle."" <br/><br/>I am glad I didn't reread Jones' book before seeing the film; even going on my six-year-old memory of the novel, I can see the movie's a very loose adaptation, and I think Jones fans would do best to try to take the movie on its own merits instead of looking for a faithful adaptation. That said, Miyazaki is surprisingly successful, at moments, in capturing the richness of the novel's characters: the peculiar co-habitation of charm and terror in Howl the sorcerer and his demon companion Calcifer, and the pragmatic strength of will that makes us love Sophie, the protagonist, who embodies both the fairy-tale archetypes of the young girl and the old woman at once.<br/><br/>Miyazaki's directorial trademarks are here in spades. Most of them lend strength and power to the film: his passion for open landscapes, his vision of the power and horror of war, the uncompromised way his movies work to empower children, and especially girls. A few of them are just Miyazaki quirks that fans will recognize with amusement (walrus mustaches, cobbled European squares, and flying machines for everyone!) Richer and stranger, though, are the very successful integration of two things that Disney animation never even approaches: the way even a children's story can blur lines between an enemy and a friend, and the cohabitation of the monstrous and the sublime. Enemy, ally, monster, beloved: Miyazaki gives both visual and moral weight to these disturbing contradictions, and certain scenes in ""Howl's Moving Castle"" evoke a frightening sublimity I have never seen elsewhere than in ""Princess Mononoke."" <br/><br/>I think the film suffers from a slightly hurried pace, especially with respect to the protagonists' character development, and the result is a loss of the subtlety that makes Jones' book such a gripping fairy tale. Her Howl is more ambivalent, and her story is a more complex investigation of adolescent heartlessness and the growth of the heart. The ending, which falls back too much on clichéd imagery and deus-ex-machina, also could have been better handled. All that said, ""Howl's Moving Castle"" contains lots of treasures and will, I think, stand up to repeated viewings. Miyazaki fans will be delighted, and kids around the world should be given the chance to taste this latest rich, respectful children's tale. (Be warned, though: there are moments as terrifying as those in ""Princess Mononoke,"" and younger kids will need their parents with them.) <br/><br/>On a final note, as few hardcore fans of Japanese anime will need to be reminded, the movie is doubtless best seen in its original version with subtitles. The Japanese voice acting is terrific -- although the voice of ""young Sophie"" doesn't strike me as anything special, the actors playing the aged Sophie, Howl, and especially Calcifer are fantastic. Calcifer is a magnificent creation and should delight even the most conservative fan of the novel. I have serious doubts that the inevitable English-language dub will do the nuances justice."
"Andrea_R","10","203","275","1 October 2004"," Thank you so much for this movie Mr. Miyazaki
","I Don't get words to express what I felt when coming out of the cinema, Howl's Moving Castle is an absolutely fantastic film and has even out Laputa and Totoro as my favourite Miyazaki film.<br/><br/>The story is amazing and the characters and creatures are as excellently crafted and fun to watch as ever. The voice actors and music are perfect Joe Hisaishi in my opinion is the best contemporary composer.<br/><br/>My only criticism (very little) is maybe the ending (last minutes) that rises suddenly, far from the habitual perfection of the catharsis final of the Miyazaki's films but nothing important<br/><br/>The movie has a really bad thing of the film: THE LONG WAITING TO SEE IT AGAIN!<br/><br/>ESSENTIAL"
"whitetigah","9","148","198","6 September 2004"," Another wonderful movie from Miyazaki
","(first of all: sorry if my English is not the best out there, but it's not my native language)<br/><br/>I was lucky enough to see the world premiere (at Venice Film Festival, September 5, 2004).<br/><br/>Not only the art and animation is breathtaking (with almost no CGI), but the story is also above Miyazaki standards.<br/><br/>The characters are wonderful, each one with his (or her) own personality. Among them the best is for sure Calcifer, the Fire Demon, who is actually an almost all-powerful being, but is often underestimated by the other characters (""If you don't obey, I'll pour water on you!"").<br/><br/>The music is one of the best parts of the movie. Even if you don't notice it, it is always there, always conveying the right feeling.<br/><br/>Bottom line: this is an excellent movie. If you liked other movies by Miyazaki (such as Mononoke Hime, Spirited Away, Laputa Castle in the Sky...) you cannot miss it."
"chsorley","9","27","33","27 September 2005"," They tried to save each other ...
","I saw this twice, because there was no way I could understand the plot (especially in the second half) after only seeing it once. The first time around I got too carried away watching the animation, but the second viewing helped me understand the story a lot better, as I managed to pay more attention to all the dialogues.<br/><br/>Honestly though I still don't know exactly what happened in the last half an hour or so. I'm going to read the book, and I'm sure I will enjoy it but don't know how useful it's going to be. The film's said to be wildly different from the original setting.<br/><br/>It really doesn't matter, because I don't seem to mind seeing the film once again (& again). The animation is so beautiful & I find the characters cute gorgeous, funny & very heart-warming.<br/><br/>*SPOILERS*<br/><br/>I figure that the face of the old Sophie changes & she instantly looks younger when she feels excited / happy / alive, even as a very old woman (she looks young when asleep, but I wonder if it's only in Howl's vision).<br/><br/>It breaks my heart that she looks sad & immediately turns back into the old Sophie when Howl tries to tell her sincerely ""you are beautiful"". But then both Howl & Sophie must fight the war to save each other & the rest of their newly-formed family incl. their old enemy & the dog. The curse is already gone by the time Sophie comes back to present from the past through the door, finds the wounded Bird Howl & kisses him. She won't look old any more.<br/><br/>Still, I also like the fact that earlier in the film, after the initial shock, Sophie was clearly able to enjoy herself being old. Think she was already in love with Howl when he came back to the Castle & found her, but she didn't have to be nervous or anything because she knew she was no longer a shy 18-year-old.<br/><br/>And Sophie's first encounter with Howl in the back street ... did he say ""There you are, SWEETHEART""? Has he actually been looking for Sophie ever since he (as a still very young boy) saw her & heard her cry FIND ME IN THE FUTURE. That's clever, and most romantic."
"deegola","8","85","126","23 February 2005"," I really enjoyed this film!
","It's hard to make any movie that follow after 'Spirited Away' So, when you watch, you have to try and keep an open mind....which is hard to do since the characters, and the whole feel of the film seems so much like his previous works.<br/><br/>But what fun this film is! And interestingly beautiful. I could watch most any of his movies, just to look at the beautiful scenery. I love some of the incredible imagination that goes into his works.<br/><br/>I could easily recommend this film. No, it's not the better than the rest, but I feel it's definitely worth your time.<br/><br/>I look forward to seeing the film again, maybe I will understand some things a bit better."
