"username","rating","helpful","total","date","title","review"
"backstabbing-vp-sales-nextopia","3","96","133","11 May 2019"," A silly homoerotic story
","It is too unbelievable and too lame. It is unfunny and like a cartoon that is on film.
Exaggeration is OK when it is interesting not when it is a spoof that takes itself seriously."
"jaziahjak","3","78","110","21 September 2019"," Nothing against homosexual tales
","It is just that this one was boring and stupid.<br/><br/>I am not interested in the characters and should not have watched or stuck it out.
It figures and I should have known because it is about ice skating."
"truettxzayvion","3","92","133","7 August 2019"," Gay Positive Movie
","Just not very funny unfortunately.
The jokes and occurrences were stupid."
"hzstzy","3","58","87","30 November 2019"," Which is the worst movie in history?
","Blades Of Glory?*<br/><br/>
The Force Awakens?<br/><br/>
Noah?<br/><br/>
Once Upon A Time In America?<br/><br/>
The Last Jedi?<br/><br/>
White Chicks?<br/><br/>
*I am not homophobic."
"snow0r","8","150","247","12 April 2007"," Fantastically Overblown
","Blades of Glory is the story of Chazz Michael Michaels (Ferrel) and Jimmy MacElroy (Heder), two rival ice skaters banned from competition after a podium brawl at an ""Olympic"" event. After Jimmy's stalker finds a loophole in the rulebook (yes, you read that right), the pair join forces to reclaim their rightful position at the top of the skating rankings.<br/><br/>While it follows the predictable rise, fall, and rise again pattern of most comedies, Blades of Glory is different enough to be memorable. The costumes are ridiculous, the set-pieces are brilliant (including a very awkward chase sequence involving a crossbow and an unfortunate mascot), and the performances, what these films hinge on, are excellent.<br/><br/>The Ferrel-Heder exchanges are drenched with homoeroticism, and their struggles to come to terms with each other's lifestyles (Ferrel: ""I'm a sex addict. It's my cross to bear"" and Heder: ""If you can dream it, you can do it!"") are funny enough to carry the film for large sections. The supporting performances of the Waldenbergs (Will Arnett, Amy Poelher, and Jenna Fischer) fill in the gaps successfully, their conversations charged with an unusual mix of villainy and incestuous desire. Then of course there are the skating scenes, which are quite a sight to behold, in all their spandex-and-diamonds splendour.<br/><br/>Overall, Blades of Glory is hilarious. Pretty much every aspect of it is fantastically overblown, and it keeps you laughing quite steadily for its 90-minute running time. Boom!"
"atliel","8","200","363","15 March 2007"," I'm happy to say that it is VERY FUNNY
","When I first saw the trailer for this film I didn't think much of it. It looked as if it were just trying to cash in on the popularity of Will Ferrel after the success of Talladega Nights. Well, I was wrong, big time wrong. First off, almost every scene in this film is hilarious and the trailer does it no justice. Don't get me wrong, I love Will Ferrel films for the most part but this one looked like it would be an exception. Instead this film fits perfectly with my taste in comedies like Talladega Nights, Zoolander, Anchorman, Water Boy, Old School and Billy Madison. If you like these kinds of films you will love this film."
"kelandis","9","132","248","28 March 2007"," Funny and worth a watch
","I saw the press screening of Blades of Glory last night, and I have to say...I haven't laughed so much at a movie for quite some time. Jon Heder shines in his role and portrays a character that seems carefully written to avoid any similarities with Napoleon Dynamite; I was actually surprised that there weren't any references to ND (that I noticed), since there were a few Ferrell lines that reminded me of Anchorman (which was just fine!). Ferrell and Heder work wonderfully together; the ice skating scenes are pulled off very well; and, of course, there are tons of quotable lines. Overall, a funny, satisfying movie (especially if you're into ice skating or Anchorman/Talledega Nights-type humor)."
"revadirchy","8","90","178","31 March 2007"," Pleasantly surprise, solid comedy throughout the whole movie!
","I saw the preview several days ago and figured it was just another case of, ""put the funniest parts of the movie in the trailer to hook the public and then be disappointed later"", but I was surprised and the comedic cohesion between John H. and Will F.. The dialouge was some of the funniest I've heard in awhile and the physical comedy was timed perfectly. This is not just another mediocre performance from Heder and Will that we have grown accustomed to. This movie really delivers and there were plenty of great cameos. Including Jenna Fisher from the office and even Nancy Carrigan. If you truly have an eye for good comedy, they you'll love this movie. I think it was the best comedy I have seen in awhile."
"Bloomaholic","10","112","227","31 March 2007"," Wonderful Film! I Loved It!
","I saw this movie last night and I have to say that I was impressed. I went with a friend to see this and I didn't think it would be that funny. The trailers were hilarious, but I thought they had used up all the funny jokes in the trailer and left nothing for the movie, boy was I wrong. If I went more than 5 minutes without laughing, there were very few times I did. <br/><br/>The story is quick and is fast paced, I was never once bored or wondering what time it was and when it was over, I wanted to go back and watch it again!<br/><br/>I have never been much of a Will Ferrel fan, but now I am, he was absolutely hilarious and it was a great match to put him with Jon Hede. They played off of each other wonderfully and just a random argument between them had you rolling on the floor with laughter. The movie stayed pretty fresh and I didn't feel like it was mindless humor and I even really felt for the characters. <br/><br/>It was a funny and interesting plot and unique and you couldn't really, entirely predict the ending, so it kept me guess. What was great,was that it started off really strong and ended strong as well and the ending left you pretty satisfied. For a comedy, it surpassed my expectations and I simply loved it! I recommend anyone and everyone to see this movie! I loved it!!! 5/5 stars!!"
"violentsociopath","7","88","177","30 March 2007"," Better than I expected
","I wasn't expecting much from this movie for two reasons: a) Heder hasn't done anything funny since Napoleon Dynamite and b) I thought Will Ferrel's shtick would start to run thin. Both actors played the type of character I expected from them. Heder gave something similar to the Napoleon Dynamite character and Will Ferrell was Will Ferrell. What I didn't expect was the humor. Ferrel carried the show and played the funniest character by far, but Heder didn't drag him down like I thought he would and the two worked well together. Heder was Jack Lemmon to Ferrell's Walter Matthau.<br/><br/>As far as the supporting cast, Poehler and Arnett were good as the Machiavellian doubles team that are the skating rivals to Ferrell and Heder's characters, but no one else really stood out. Jenna Fischer was lackluster as Heder's love interest and Craig T. Nelson did not make for a funny or interesting character either. Two people I thought would have been able to shine in larger roles were Andy Richter and Rob Corddry. Both are funny guys, much funnier than Nelson or Malco, and were underutilized in this film.<br/><br/>The humor was low brow to be sure, just like in every other project Ferrell does, but I happen to like that sort of humor, so I enjoyed it."
"Solipsisticblog","7","54","105","9 March 2007"," ""Blades"" is surprisingly funny
","Will Ferrell and John Heder (Napoleon Dynamite) as figure skating partners. Sounds like a bad SNL skit? Right? I wasn't expecting much from this comedy whose trailers looked dull and uninspired. It seemed sure to bore. So when I sat down in the theater, I went in prepared to hate this movie. But then the credits began to roll, I was pleasantly surprised by the roll of names: William Fichtner, Craig T. Nelson, Amy Poehler, Will Arnett (Gob on Arrested Development), Rob Corddry, Jenna Fischer (The Office), and Romany Malco (The 40 Year Old Virgin). So I knew that even if the movie stunk, it would be fun to see the actors together on the screen. Also surprising was to see that Busy Philipps (Freaks and Geeks) had a role in creating the story.<br/><br/>The story is simple: arch rivals Chazz (Will Ferrell) and Jimmy (Jon Heder) are forced to become figure skating partners after they are banned from competing in singles skating. With the help of their coach Craig T. Nelson--in David Carradine mode--the men try to put aside their differences and compete for gold.<br/><br/>Will Ferrell does another variation on his Ron Burgundy/Ricky Bobby character: clueless egotist full of machismo. But he does it incredibly well and this time adds the wrinkle of being an insatiable sex addict. Not surprisingly, he gets the movie's biggest laughs and successfully carries the movie. Jon Heder is okay. He doesn't get in the way of Ferrell and surprisingly, given his monotone acting, scores a few laughs as a cherubic man-child. Amy Poehler and Will Arnett compliment the movie well with their absurd comic turns as brother and sister skating partners and arch-enemies to Chazz and Jimmy.<br/><br/>The film has a surprisingly light touch and at times feels like a live action feel gooder from Disney. But Ferrell as sex-addled Chazz dispels any notion that Blades is family fare.<br/><br/>The movie is instantly disposable, but very funny. Audiences are gonna enjoy this one."
"IOBdennis","1","26","47","6 September 2007"," Sophomoric clap-trap
","Did I remember to laugh during this stupidly inane piece of trash? I don't think so! Nothing, absolutely NOTHING was funny. It was so inanely stupid that it was downright insulting. Here's the basic premise of the film: how many ways can you make homophobic jokes? Let's have them grimace at touching hands. Let's invert them so they have each other's crotches in their faces. And make sure that at every possibility, Will Farrell indicates his displeasure and disgust at homoerotic overtones with the same weary expression. It's almost as if the actor himself was saying: ""Here we go again. I have to register displeasure."" Lame! A terribly poor excuse for a movie."
"Rogue-32","8","72","152","6 April 2007"," This film actually warrants a sequel!
","From the very first second I laid eyes on the absolutely hilarious poster for this film, in my neighborhood multiplex a few months ago, I knew with extreme certainty that I'd be seeing it the very first week it opened. Caught it on Wednesday and I'm here to say the movie most definitely delivers on the promise of the poster, big time.<br/><br/>Jon Heder finally gets a role he can have some fun with for a change (which hasn't really happened since Napoleon Dynamite), and he's superbly cast as the sheltered and phobic Jimmy MacElroy, the perfect foil for Ferrell's sex machine on skates, Chazz Michael Michaels. Ferrell is fast becoming more and more adept at portraying genuine characters in his movies, not merely hollow caricatures, and he is clearly in his element here.<br/><br/>The beginning of the movie, the set-up, is wonderfully written, and the over-the-top tone that's established in these opening scenes is successfully carried throughout. The energy level stays high, the plot never gets tedious or bogged down, and, best of all, the routines that the two of them perform together as partners are truly hilarious and original. I was left wanting more, and that speaks volumes."
"tajna_rabota","8","69","147","1 April 2007"," Classic Farrell and Heder - which actually works out really well!
","What can I say? The whole theater laughed during this whole movie. There were a few cheap laughs and some very obvious jokes thrown in, but the delivery was par for the course as far as Farrell is concerned. In other words, if Farrell is your kind of comedic character, you'll love this movie. If, say, Hugh Grant is your idea of a comic character, you'll probably hate this movie. Will Farrell's character was essentially Ron Burgundy on ice skates, which is a great idea. Ron Burgundy was, of course, the embodiment of the so-called ""alpha-masculine"" persona of the '70s and '80s. - unabashedly proud, sexist, and narcissistic. Put him into a sport that in many peoples' eyes in inherently effeminate and you've got a sure-fire crowd pleaser.<br/><br/>Jon Heder was a little less Napolean Dynamite-ish in this movie. He is still the same innocent, ignorant, nerdy, awkward person as in his debut character. That said, he is a little more image-aware in this character, and as the movie progressed I saw less Napolean Dynamite (a major problem in his career until now, IMO), and I saw more of this ""other"" character. Heder's character is hard to describe other than to say it is Napolean Dynamite combined with Derek Zoolander - a lovable ignorant narcissist. Put that on ice skates opposite Ron Burgundy the figure skater and you have 93 minutes of great fun.<br/><br/>What really makes this film work is Farrell's willingness to do anything in a movie and Heder's reluctance to do such things. They are polar opposites as far as comedic actors and their comedic emphasis are concerned. But those two personalities really work well to complement each other on screen in this film. 8/10"
"khuniak","5","13","22","19 April 2007"," not as funny as i thought it would be :(
","Well a pretty cliché movie, was really looking forward to watching it and felt totally let down by ferrel. His acting seemed sub par and to be honest the whole movie just felt totally wrong.<br/><br/>The movie was very cliché, much of it seemed ripped straight from the movie ""Zoolander"" now that is a funny movie. Don't get me wrong there are a few really funny scenes and many that will make you cringe but overall the was for me below average and didn't quite pull it off.<br/><br/>This movie just seemed like ferrel tried to hard, and the entire movie seemed like he was trying to boost his own ego. My only recommendation is to wait for this movie to come out as a rental and save yourself some money."
"MVBarra1","9","66","144","30 March 2007"," Will Ferrell does not Disappoint!!
","This movie is a must see. If you enjoy Ferrell you will love this film. It is just a feel good laugh out loud comedy. There is not a bad performance in the movie. I didn't care for the Hector (Nick Swardson) story line. It was mildly funny in a sort of creepy/annoying way. That is the only blemish on this hilarious movie though. Ferrell and Heder play very well off each other. I am glad to see Heder play something a little different then Dynamite. Yes he sounds very similar but thats his voice. Poehler and Arnett make a great pair that you love to hate. Its great to see Craig T. Nelson doing what he does best, playing a coach. The end of this film rides the line of being either so stupid or comic genius, For my money its GENIUS!! <br/><br/>This film is a must see. Especially if you are a Ferrell fan. It is great. Full of new lines destined to become classics quoted by the teens of America."
"ziggystardust17","2","23","45","30 August 2007"," Unwatchable
","I just couldn't stomach it. It was incredibly dumb. It was boring. I'm amazed that people put up with this crap from Hollywood. I'd rather watch all the really funny, creative stuff that regular people are putting up on youtube. Maybe some day, if regular people ever wake up and realize how much they are collectively paying for the soul-numbing, pablum Hollywood churns out, they'll figure out how badly they are being ripped off. Reading all these glowing reviews about a crappy movie like this is like listening to someone raving about a gourmet dining experience at McDonalds. Make your own entertainment. Boycott Hollywood! Don't buy into the advertising and psychological manipulation that you need to be entertained by ""experts"". Free your mind."
"sonydude32","2","25","50","15 April 2007"," ""What the f**k was that?!""
","The summary perfectly sums up my thoughts about this sub-par comedy, which is more idiotic than hilarious.<br/><br/>There were some moments in the film that warranted a light chuckle. For the most part, however, the ""humor"" was largely unremarkable and relied more on shock factor than anything really smart and witty. Now, there's nothing wrong with shock factor in comedic context, but you can't rely on it virtually all the time as it seemed to have been done with this picture.<br/><br/>Couple this with the ridiculously overblown finale involving rockets (I won't go any further if you actually want to see this film) and it all makes for a film that ended up not being real satisfying nor truly amusing.<br/><br/>Getting up to leave the theater, all I could mutter was ""what the f**k was that?!"" Whatever happened to razor-sharp wit and believable situations in comedies these days?"
"jeff_forssell","3","12","21","6 June 2018"," Got too much time?
","Need something very silly? Prepared to ""suspend belief"" perhaps way too much? Hope you have something better to do! 
Not without some funny and touching scenes, but I felt deceived by a 3 of 5 stars review in a newspaper."
"Puritan77","1","30","62","10 April 2007"," How hard can acting be?
","Two skaters, Two bad actors, and 1 terrible script = Blades Of Glory. I have thought a LOT of times when I see a terrible movie, that it is definitely the worst movie ever made...well, after watching this, I now have a new #1. Will Ferrell's character does something out of the ordinary in this film, he likes to get drunk...wow who would have thought? Chazz Michael Michaels???, wow I'm thinking Will Ferrell came up with that all by himself. Everything he said was pure idiocy and far from funny, same goes for Heder. John, listen man, YOU ARE NOT FUNNY! <br/><br/>Most of the people in the theater left before it was half over, leaving only a handful of people who were mostly sleeping or passed out from boredom. I fell asleep once and had a nightmare that someone was throwing shards of glass in my eyes, then I woke up and the movie was still going, then I silently started weeping to myself because it wasn't a nightmare at all, it was a comforting dream, the real nightmare was on the screen in front of us. I don't see how people involved in something like this can make large amounts of cash, and just like this movie, it's pointless. To save everyone time and money DON'T SEE THIS! Or, you can have the same affect at home like you just watched it. <br/><br/>Go to the corner and stare at the wall for 2 hours, then take $10 out of your wallet and use it for toilet paper."
