"username","rating","helpful","total","date","title","review"
"MR_Heraclius","9","46","50","23 February 2020"," Johnny Depp's greatest movie!!
","""Sweeney Todd: The Demon Barber of Fleet Street"" is one of the best musical films ever made and probably the last truly excellent Tim Burton effort in directing. It's a romantic and enthralling vision of the dark perspective about life and death for the poor people controled by the privileged, cruel and envious society. It finds a inspired Johnny Depp in probably his best performance of this century. Helena Bonham Carter, Alan Rickman and Timothy Spall compelte this luxury cast, which is one of the most talented one assembled in a musical!"
"marcosaguado","10","205","259","1 March 2008"," Sublime
","As it happens more often than not, greatness is relegated to some obscure angle. In a year of brilliant opuses by the Cohen Brothers and PT Anderson, this Tim Burton film shines as the best from every angle. It's not just that Burton creates another superb, dark universe with Dante Ferretti's complicity or that Johnnt Deep breaks new ground, or that Helena Bonham Carter surprises us with a complex, marvelous realistic parody. The film touches visually a very private cord. Ed Wood managed that but Tim Burton with ""Sweeny Todd"" elevates it to the purest form of art. He will be punished for that, as Ed Wood was in its day. Disappointing grosses in a world that worship grosses will make it appear as a sort of a failure. My advise to you is run to see it wherever you can find it. Try to see it in a big screen with great sound. You will fly and dream and be taken away by the masterful hands of Tim Burton and the glorious faces of Johnny Depp and Helena Bonham Carter."
"malleyvoice","10","185","237","1 March 2008"," Gloriously Dark
","Tim Burton has gone beyond himself and anything he has ever done. ""Sweeney Todd"" is stunningly beautiful. Dark? yes, bloody? sure! but then we're in Victorian London where everything is what it appears to be no matter how turgid. The meeting of Mr Todd and Mrs Lovett is so scrumptiously conceived that I'm sure will be one of those film moments that are used whenever ""great film moments"" are compiled. Johnny Depp will never cease to amaze me. He is not just the beautiful boy with soulful eyes, but a great actor. How extraordinary that two talents like Burton and Depp should meet at the perfect moment in time. How lucky for us! Mrs Lovett is played by another extraordinary actor: Helena Bonham Carter. She is spectacular! Sacha Baron Cohen, Alan Rickman and in particular Timothy Spall add to the perfection of this film. Dante Ferreti, the production designer and Coleen Attwood, the costume designer, deserve all the kudos they are getting and will get. Glorious!"
"katiemeyer1979","10","104","130","2 March 2008"," Johnny and Tim forever
","What an extraordinary treat this bloody dirty tale of vengeance and gore is. The exquisite way Tim Burton presents it to us makes it so. Stephen Sondheim's stage masterpiece becomes a film masterpiece of unequaled stature. Everything about it reeks of genius of magic. Once again, Johnny Depp fills, Burton's macabre universe with overwhelming humanity. He can slash as many throats as he wants if we look into Johnny's eyes we see the struggle, the human winning in despair. I know I'm not making too much sense but I just want to urge you, if you love cinema, to rush and see it as God intended, on a big screen and Dolby surround sound."
"roquedog504","10","405","557","13 December 2007"," A refreshing and brilliant film
","Contrary to the many comments I have read and heard about the film thus far, I thought it was absolutely wonderful. After what some could term a ""dry spell"" for Tim Burton, it is such a breath of fresh air to see this new offering, Sweeney Todd. The movie showed Tim returning to his roots of the dark, the sinister, and the macabre. All were blended together in the setting he is so very well-known for, the dark streets of London.<br/><br/>In addition, I thought the fact that he maintained the musical aspect of the film/play worked in the movie's favor. I know Johnny Depp has said that he can't sing, but he sang rather well if you ask me. Keeping the cockney accent, whether singing or not, it made the film that much better. While I was surprised to see Danny Elfman not included in this movie, I believe the music was performed and carried out beautifully, nonetheless. Indeed, the accents can at times make it hard to discern what is being said, but that's not always a bad thing, considering the circumstances. Were they to all of a sudden not speak or sing with their cockney tones, it may provide a problem with consistency. Overall, I loved the movie and have no complaints. A very refreshing return to the realms and themes that Tim Burton is so very amazing at capturing. Top notch!"
"ShellyA227","9","380","536","5 December 2007"," Dark Humor Done Right
","Despite the grim expectations from the story synopsis, the film delivers gore in a surprisingly tasteful way. There are no screaming teenagers running from a lunatic; instead we get a somewhat British blend of satire, slapstick and just ""wrong"" humor. Although I'm not much of a Johnny Depp fan, I enjoyed his performance as well as Helena Bonham Carter's. Even the portrayal of the common clients was stunning.<br/><br/>Despite being generally familiar with the story, I fell into some traps expecting specific twists, yet something different (and better) being delivered. This is a model of how to do dark humor that filmmakers should and probably will follow. It is most refreshing. Don't read the story and don't read any spoilers until you've seen it."
"Boris_Day","9","285","399","17 December 2007"," Tim Burton's most dramatically satisfying film so far.
","I approached Sweeney Todd with trepidation, having been underwhelmed with most of Tim Burton's recent output and every screen musical of the last decade. The biggest problem I have with Burton's films is that his screenplays rarely manage to pull their disparate elements into a satisfying whole. Here, despite adapting the material to his own sensibilities and shortening the play by an hour, he adheres closely to Sondheim's book, resulting in the most dramatically satisfying film Burton has ever made. <br/><br/>I liked the adaptation of the off-off Broadway Hedwig and the Angry Inch, but have been left underwhelmed by all the recent big budget film musicals, so I'm glad to say that Sweeney Todd, wipes the floor with every major screen musical of the last decade, including the likable if over extended Hairspary. Most surprising is how shockingly gruesome the the film becomes in the second half. This must be the most blood drenched film since Shogun Assassin, with arteries spurting blood like like fountains as throats are cut, with the violence escalating towards the end leading towards a climax that is exhilarating, heartbreaking and satisfyingly bleak.<br/><br/>Unlike the dreary dirges Danny Elfman supplied for Burton's stop frame musicals, Sondheim's score is a joy to listen to from beginning to end, its dark romanticism sometimes reminding me of Bernhard Herrmann, perfectly fitting what is both a musical and a horror film in equal measures.<br/><br/>Depp and Bonham Carter are both excellent and it's down to their performances that I never quite lost sympathy with them in their descent into madness, blood lust and cannibalism.<br/><br/>Musical haters may not be converted as 75% percent of the dialogue is sung, but this completely dispatches any notion of cloying sentimentally the genre is often associated with."
"ArrestedDevelopee","8","183","252","21 December 2007"," Tim Burton Claims Sweeney As His Own!
","As a fan of the original stage version of this grimly Gothic tale, going into Sweeney Todd was bittersweet in my hopes and expectations. However, I'm pleased to announce that I did find Burton's latest effort impressive and intentional. Fans of the original won't be disappointed with a top-notch cast and the wonderfully dark overtures that haunt every minute of Sweeney Todd. Tim Burton, one of the masters of ambiance, sets his atmosphere in the grisly streets of a depressed London and his artistry punctures through every scene of screen time. I would have to clarify that, while Johnny Depp is a skilled actor, fans of the original will find it hard to believe that Depp has the ability to transform into the George Hearn ""Sweeny"" we've come to know. This is in fact true and recognized by Burton. In this respect, the character of Depp is not played as the same manner as the deep-voiced, towering Todd from the musical adaptation. Depp's is more of a less boisterous and thoughtful one. The vocal performances are great but have a different approach and feel to them. It was a refreshing adaptation and I feel a triumph on the part of Burton for making a stage-to-screen experience that captures you from it's bloody introduction."
"DramaQueenKate","10","65","85","17 December 2007"," Burton and Sondheim: a match made in heaven
","Yes, this is about a barber who kills people. Yes, this is a musical.<br/><br/>I have been excited about this movie since last December, when I first heard about it. Having been a Burton fan since my four year old self was quoting ""Pee Wee's Big Adventure"" and ""Nightmare Before Christmas"" and a Sondheim fan since middle school, I had faith that Tim Burton was the perfect director for Sondheim's masterpiece. So you can imagine how lucky I felt to be able to see a screening of this.<br/><br/>This movie is all I could ever hope it would be.<br/><br/>I walked in the theater with my best positive outlook. I had shed my mournful tears over the cut songs (the Ballads, Kiss Me) and wanted to be as optimistic as possible, and I was not disappointed at all.<br/><br/>Johnny Depp's performance in this is one of his best by far. He stole every scene he was in. He has toned down Sweeney for the screen, so those used to George Hearn or Len Cariou may have to get used to, but I think the important thing to remember is that this is a movie, not a stage show.<br/><br/>Helena Bonham Carter gives a great performance as Mrs. Lovett. Though she is different from Angela Lansbury, her portrayal still works marvelously, and she and Johnny make a great pair.<br/><br/>The supporting cast is all amazing. Alan Rickman could make ""High School Musical"" entertaining. He is so deliciously evil in this movie, and you can tell his sidekick, Timothy Spall's Beadle Bamford, is having a great time with his sniveling character. Sacha Baron Cohen is, of course hilarious as Pirelli. The three young supporting actors (and unknowns), Jamie Campbell Bower, Ed Sanders, and Jayne Wisener, are all perfect in their roles. I hope to be seeing them in more films to come. Another unknown to Hollywood but acclaimed London stage veteran, Laura Michelle Kelly, is chillingly creepy as the beggar woman (and gives a naive sympathy as Sweeney's wife, Lucy, in the flashbacks.<br/><br/>Now, for the blood. There's a lot of it. A whole lot. Just a warning. However, the blood is so immense that at times it is, as Richard Roeper said, almost Python-esquire. I think audience are supposed to laugh as fountains of blood gush out of Sweeney's unlucky costumers. It is also brutal the way they land on their head on the way down to the bakehouse.<br/><br/>All in all, this is an amazing film even if you have never heard of Stephen Sondheim (though you really should, but that's not the point.) I can't think of a better way that theater lovers' beloved Sweeney Todd could have been brought to the screen than in Tim Burton's own unique mind, and I know that I could not be more content with this film."
"Smells_Like_Cheese","10","63","85","27 December 2007"," The best musical in years!
","Sweeney Todd: The Demon Barber of Fleet Street is one of the year's most talked about films, it's getting big Oscar buzz and of course, what could be better than Tim Burton taking on this dark musical? With Johnny Depp starring along with beautiful Helena Bonham Carter by his side, this movie just screams terrific. My mom and I saw the movie today and Sweeney Todd: The Demon Barber of Fleet Street lived beyond to my expectations. Tim Burton hasn't exactly released a classic lately that would be remembered for all time, but Sweeny Todd is sure to make it's way into one of the most memorable films of 2007. Johnny Depp and Helena both have incredible voices, they were so hauntingly beautiful and magical together, it's like these roles were made for them. Along with an equally strong cast as Alan Rickman and Sacha Baron Cohen who were also incredible, Sweeney Todd: The Demon Barber of Fleet Street is a new memorable musical for years to come.<br/><br/>Sweeney Todd has come to London on a mission, a mission for revenge! His wife was taken by the evil judge for his own pleasure's with her and Sweeney's daughter. Now Sweeney's daughter is grown and is being held by Judge Turpin and he has been informed by his lover, Mrs. Lovett that his wife has died. ""At last my arm is complete!"" Sweeney says as he raises his faithful razor and wishes to kill the vermin of the world as well. Mrs. Lovett comes up with the clever idea to create a tasty meat pie of the victims and makes quite the popular business. But Sweeney is determined to find his daughter who is being wooed by his young friend, Anthony, and kill the judge who has taken everything from him.<br/><br/>Sweeney Todd: The Demon Barber of Fleet Street was so beautifully shot. The reason why I love Tim Burton so much is because he knows how colors and contrasts work in a film. He knew how dark Mrs. Lovetts and Sweeney Todd are, in a picnic scene where everything is supposed to be bright, Sweeney and Lovetts are the only dark figures in the lovely setting. The music is triumphant, the songs were so memorable and almost hypnotic, I felt like was in a real Broadway audience. Sweeney Todd: The Demon Barber of Fleet Street is one of the best films of the year, I guarantee it, this was a terrific musical that was a bloody good time! Tim Burton is back and he's better than ever with Johnny.<br/><br/>10/10"
