"username","rating","helpful","total","date","title","review"
"Rachel-20","Null","81","111","1 December 2002"," Probably one of the most quotable movies of the 80's
","Among my husband and his buddies, this movie is like Shakespeare -- they quote from it often and well, so often and well, in fact, that the quotes are just part of their vocabulary and the source is forgotten.  It does have more than its share of witty quips, even for me, a lowly female ;).<br/><br/>I really do like this movie.  It makes me miss the 80's, when it was still considered acceptable to be a patriotic American, and movies that glorified America and the military could be made without the felt need to apologize left and right.  And of course Clint Eastwood is clever and attractive as always, as the hardcore Marine lifer who's trying to discover his tender side in time to reunite with his ex when he retires."
"mccarthystuart","Null","31","40","21 December 2004"," one of the most HILARIOUS war movies ever!!
","I have to say that I really enjoyed watching this movie.<br/><br/>The grizzled, maverick war veteran, Sgt. Tom 'Gunny' Highway must be one of Clint Eastwood's more comedic roles (apart from the 'every which way' films) He had me bursting out laughing every time he even opened his mouth. One particular line that had me in stitches was when he was telling a cadet to put his Kevlar helmet back on by 1900 hours 'or he wouldn't have a head to wear it on'-pure class!! I've always liked Clint for his tough no-nonsense roles. This one is no exception! As a matter of fact, there were plenty of 'laugh-out-loud moments in this film to keep everyone happy-like the smart-ass remarks from the punk cadets.<br/><br/>The showdown between Highway and 'The Swede' was highly enjoyable, too.<br/><br/>'Heartbrake Ridge' is certainly a lot more lighter and easier to swallow than the similarly-themed 'Full Metal Jacket'.<br/><br/>This film certainly passes as perfectly adequate, undemanding popcorn viewing."
"djecatepec","8","47","65","4 August 2003"," Vintage Clint!
","Clint Eastwood is at his best in the role of ""Gunny Highway."" This is mostly a really excellent flick about patriotic values, military camaraderie and old grizzled military veterans. Gunny Highway comes across as the exact fellow you would want covering your ass in any tough situation you could possibly imagine. And Eastwood plays him perfectly with steely resolve, devotion, humor and a healthy touch of irreverence. Its great to see the transformation of Highway's squad, as well as the final moment of judgment for the totally hateful, obnoxious and bureaucratic Maj. Powers. (Oh, if only such b*****ds would get their deserved comeuppance in real life in such a manner, what a beautiful world it would be!)<br/><br/>The only real fault is the attempt to compare a minor police action in Grenada with Vietnam and Korea, ""I guess we're not 0, 1 and 1 anymore."" I mean, give me a break, Korea and Vietnam went on for years and killed millions! Grenada involved a couple of hundred casualties over a couple of days. Please! But I suppose in 1986 the American people were desperate for some kind of heroes. Its just that that kind of jingoism would have been much more appropriate after Desert Storm than Grenada. That being said, its still a very good movie with a fundamental message about values, loyalty and comradeship that we could easily have more of these days, besides, Clint is just great!"
"wrenster","Null","21","27","13 March 2003"," Clint's funniest
","I had forgotten how funny this film really is. Shown on British TV last night, I found myself laughing like a loon all the way through it. Being a big fan of Eastwood, it's been quite a while since re-viewing this mini classic. And although it does take a drastic turn at the end, with a slightly misjudged comment on war, this is by far his funniest movie.<br/><br/>I also found that his character is his most interesting. A hard, no-nonsense gunnery sergeant who looks for advice in women's magazine is a dream characterization. And the one-liners are perfectly attacked.<br/><br/>I did find Mario Van Peebles character a little annoying, but then I suppose that was the whole point, and it's always good to see Marsha Mason, who I think is totally underrated as a screen actress.<br/><br/>But this is Eastwood's movie, through and through and a real delight. See it, but don't take the ending too seriously."
"mhasheider","8","42","63","15 May 2001"," A sharp and ""very"" witty film.
","Watching Clint Eastwood work his magic on the big screen is something for a movie lover like myself to treasure and in ""Heartbreak Ridge"", Eastwood really unleashes it here.<br/><br/>Eastwood stars (and directed) the film as Thomas ""Gunny"" Highway, a very seasoned and highly decorated, but a troublesome U.S. Marine gunnery sergeant. Highway begins what may be his last tour of duty and along the way, he deals with a rowdy and undisciplined bunch of recruits (Mario Van Peebles being the most sarcastic and cocky one among the bunch) and turns them into reliable soldiers, Major Powers (Everett McGill), a higher-ranking officer who totally dislikes Highway, and tries to revive his relationship with Aggie (Marsha Mason), his ex-wife who isn't afraid to tell him about the misery that she has suffered.<br/><br/>The film runs at a brisk pace and Eastwood saves the best scenes for last when he guides the squad into Grenada to find a medical school where the students (mostly Americans) are held captive and the shootouts are well-done. Plus, the humor in this film is sharp and very witty although some of it may be offensive.<br/><br/>""Heartbreak Ridge"" does remind me of the one film that I've seen made by the late Samuel Fuller - ""The Big Red One"". There are a few differences that seem notable, but both films bear a strong resemblance and appeal."
"BIG MIKE-45","5","24","34","2 November 2001"," How about just a LITTLE realism?
","I normally don't complain about the realism of Hollywood's portrayal of the Armed Forces in it's movies, but this one is just too far out of bounds to let go. Marine recon units are the equivalent of Navy SEALS or Army Rangers. They are elite units, and discipline is strict. Back-talking your superior, whether officer or enlisted, is not tolerated a bit, and would not be attempted by junior enlisted men. Right away, you would have eliminated about half of the dialogue in this movie. Oh, well... They did get one thing right, though. Winners of the CMH (Congressional Medal of Honor) never have to salute anyone. They will always be saluted first, and will return the salute."
"EMC-2","9","21","31","28 October 1998"," Action and comedy in a military setting
","This is an enjoyable, if somewhat cartoonish, adventure. Eastwood plays Gunnery Sergeant Tom Highway, a career United States Marine who won the Medal of Honor at Heartbreak Ridge in Korea. As he approaches retirement, Gunny Highway takes on the task of transforming a bunch of misfits into a tough Reconnaissance Platoon in time for the 1983 invasion of Granada.  The film is uneven, with some moments that are brilliant and others that are embarrassingly bad.  The film does not contain an accurate portrayal of Marine Recon, but it does deliver excitement and a good dose of humor. Besides, Clint Eastwood as a salty old Gunny is something that had to happen!"
"kyraxe","Null","18","27","23 November 2003"," Good movie, who cares if its not 100% realistic
","I love all of the comments about how unrealistic this movie is...guys relax its a movie.<br/><br/>Apparently the movie industry should be putting big warnings up on the screen saying:<br/><br/>WARNING: The following movie may contain scenes that are not 100% realistic. If this offends you please stop watching the movie and order the documentary channel.<br/><br/>Think about what you are saying when you complain that this movie is not realistic... do you bitch and whine because the Matrix isn't real? Sit down, shut up and enjoy the movie for what it is... fiction."
"SMLA11","10","15","23","25 May 2002"," Excellent Eastwood movie
","When I first started to watch Heartbreak Ridge, I expected another Clint Eastwood kicking but in some war movie.  I was right, but I was wrong expecting this to be bad.  Clint Eastwood is great as Tom Highway, a gunnery who must train troops and prepare for Grenada.  He gives an excellent performance and he shows who his character really is and how good it is. Mario Van Peebles does really good as Stitch Jones.  He shows his character well and I enjoyed it.  The war part, which came mainly at the end, was cool enough.  The directing was really good and all of the other actors were good.<br/><br/>Overall this movie is very cool and I recommend it to any Clint Eastwood fans.  Rating 10 out of 10."
"freethrowguru","1","22","37","6 July 2010"," What a crap movie
","First off I am a big Eastwood fan ever since Rawhide and even his guest appearance on Mr. Ed. However this movie is trash. First off, I am a service brat and a veteran. Whenever, there is a CMH Winner (I know it's awarded and the holder is a recepient) on a base everyone knows it. A CMH recepient is saluted, without reguard to rank, by everyone on the post. A four-star general salutes a CMH recepient. The fact that the Annapolis major would disrespect him would never, repeat NEVER, happen. The other problem is showing FORCE RECON as a bunch of ne'er-do-wells is ludicrous. It would be like showing Special Forces troopers or SEALS as anything but elite and squared away. The fact that his own men who had seen him in uniform did not recognize the CMH in his fruit salad is unbelievable and that any member of a RECON platoon would raise his hand against a GySgt (which could net the perpetrator 10 years in the stockade) is beyond anyone's imagination. And lastly, to my knowledge there has never been a CMH recepient that has switched services. I have known one CMH recepient (I will not identify him) he was awarded the Medal as a lieutenant and basically had it made from then on. He retired as a colonel and always had great duty. They are taken care of with a capital ""C."""
"jackjack-2","2","33","59","10 August 2003"," Breaks the hearts of every Marine
","Another fantasy movie about Marines. Any resemblance to the truth is pure coincidence. First, recon platoons are not part of regiments or battalions. Recon platoons are part of the Division Headquarters. Recon platoons are made up of the best of the best and no recon platoon would have ever looked as sloppy as this one did in the beginning.<br/><br/>Second, companies are commanded by captains, not majors. When the major reported to the colonel as ""Graduated from the Naval Academy, 1971"" would never happen. The colonel already knows the major's background.<br/><br/>Also every Marine knows the Medal of Honor ribbon and every one seeing the Gunny with the ribbon would have immediately recognized that he was a Medal of Honor winner and would have immediately given him the highest respect, including the Major. The Major would have been so glad to have the Gunny in his outfit that he would been kissing his butt.<br/><br/>As for the Gunny firing an AK-47 at his troops to get them accustomed to hearing it fire - pure fantasy. He would have been busted out of the Marine Corps if that happened. What he would have done is take his troops to a firing range and under controlled conditions fired the weapon down range. This is done often with units to familiarize them with the sound of enemy weapons.<br/><br/>As for the accidental firing on the shooting range, unlikely. By the time a Marine is selected for a recon platoon, he is already highly trained in weapons and he is not likely to make a boot camp mistake.<br/><br/>
I could go on and on about what a crappy movie this is but enough is enough."
"mattgail","2","26","46","23 June 2006"," What a pathetic joke.
","As an active-duty Marine, from the moment I saw ""colors"" going at about 1630, with ""Taps"" being played (that goes at 2200), to the Company Commander screaming in a Gunny's ear (a CMoH winner), I knew this movie was gonna suck. Stitch Jones would never have made it out of Parris Island alive much less make it through a Recon indoc. Indeed, that Brig Rat would never ever have come back to his former Recon platoon after being busted down. Without Eastwood's acting, this movie would have been worse than anything Woody Allen ever made. Also, the portrayal of a Recon marine in the guise of Peeble's pathetic character was an insult. A careful check of the credits reveals that there was no military technical adviser and that is one of the biggest problems with this movie. A Hollywood writer is about as knowledgeable about the Marine Corps as I am of Nuclear Physics."
"fsg52","2","20","34","2 January 2011"," not a keeper
","Disappointed with this movie. I wouldn't put this on my top 200 list. The plot is thin. The storyline is so unrealistic. The result is a bit sophomoric. I expected better and unfortunately, didn't get it. I got tired of Clint Eastwood's gravely throat talk after the first 10 minutes. The script seems to be made up of a combination of terse, smart-ass and cute one-liners all strung together. I'm not sure what Marine Corps is being depicted here, but it sure isn't anything manufactured in the United States. I can't believe that the U.S. Marine Corps seriously considered using this movie as a promo for Toys for Tots (until they heard the language). I suppose it's worth remembering that this was produced in 1986. The only thing that Mario Van Peebles was missing were the perfunctory warm-up leggings when he was singing on stage. (Or maybe I just missed them.)"
