"username","rating","helpful","total","date","title","review"
"roylegato","10","1303","1652","13 July 2018"," Seen it twice and I now got it - a brilliant movie
","When I saw the movie for the first time, my reaction at the end was the same as the whole audiences. WTF??? I was mainly disappointed and felt like I was wasting time and money. The movie left scars behind and I couldn't stay alone at home being that scarred for many days - which was kind of a good sign as I hardly get scarred watching horror movies nowadays (I am nearly 47 and grew up with all horror classics... I've ""seen them all..."").
As said, I was super angry having watched this movie. Yesterday, I went to the cinema with my 20 year old son as he wanted to see the movie with me. As loving father I agreed. This time I figured out what is truly going on in the movie! <br/><br/>Caution - Spoiler !!:
The dear grandmom was a satanist. I knew that from the first time. Joanne, her ""girlfriend"" as well. I also got that one. But what was the electric impulse which you could see? This i figured out the second time. It was Paimon, the demon haunting the son of Annie. But Paimon needed the son to be dead first to be able to enter his body for good - which happenes just at the end of the movie when Peter jumpes out of the window. You can see Peter lying on the ground in front of the house when the electric impulse comes and enters Peters body. That was Paimon. Now Paimon has entered Peters body finally. The summoning was successful. And finally - Peter (now Paimon) makes that strange sound with his tongue, just like Charlie did before. Why? Charlie was the host of Paimon before. But her body was not healthy and it was a girls body, not the body of a man, which Paimon needed. Thats why Charlies grandmother wanted to her to be a boy instead of being a girl.
Makes sense now? 
And btw: Paimon is a real figure as well as the sign used in this film. It is one of the 72 demons from the Grimoire - some magic book also used by people like Aleister Crowley. 
Knowing that, the film has now become a real masterpiece. The tension increases constantly till the showdown at the end, when the movie suddenly becomes one of the most fearing horror movies I have ever seen. 
Well done A24 and Ari Aster! Great acting from the cast as well!"
"sportsmonkey1020","10","1590","2227","9 June 2018"," I never want to see this film again
","And I mean this in the best way possible. The spectrum of emotions you go through range from sheer terror to complete hopelessness and sorrow. The movie picks at the human psyche in all the right ways. It's both hard to watch and impossible to look away. Hands down the best horror films I've ever seen, perhaps one of the best films in general."
"ccamp89","9","935","1322","9 June 2018"," Showcases what horror is capable of when taken seriously
","In many ways, Hereditary is the horror movie I've been restlessly waiting to see for so many years. Despite my avid fandom for the genre, I really feel that modern horror has lost its grasp on how to make a film that's truly unsettling in the way the great classic horror films are. A modern wide-release horror film is often nothing more than a conveyor belt of jump scares strung together with a derivative story which exists purely as a vehicle to deliver those jump scares. They're more carnival rides than they are films, and audiences have been conditioned to view and judge them through that lens. The modern horror fan goes to their local theater and parts with their money on the expectation that their selected horror film will ""deliver the goods"", so to speak: startle them a sufficient number of times (scaling appropriately with the film's runtime, of course) and give them the money shots (blood, gore, graphic murders, well-lit and up-close views of the applicable CGI monster etc.) If a horror movie fails to deliver those goods, it's scoffed at and falls into the ""worst film I've ever seen"" category. I put that in quotes because a disgruntled filmgoer behind me broadcasted those exact words across the theater as the credits for this film rolled. He really wanted us to know his thoughts.<br/><br/>Like similarly fantastic and crowd-displeasing horror films of the past few years, The Witch and It Comes At Night, Hereditary is a film that largely deals in atmosphere and emotional horror. The Shining, which happens to be my favorite horror film, is a clear touchstone and I would go as far as saying that this is the first modern horror film I've seen that genuinely captures a similar tone and ethos. Much like that film, it delivers its horror through an intensifying sense of unease and dread that becomes nearly suffocating by its conclusion. Rather than startling you with cheap scares, it offers haunting and upsetting images which are often delivered without any of those overused sonic jolts. Perhaps most importantly, it anchors everything in an emotional core with nuanced characters who experience relatable family struggles and grief. And that is absolutely critical to what makes the movie effective and resonant: it works on a metaphorical level, using the supernatural story as a vehicle to explore the very real way in which a family can be absolutely ravaged by tragedy, and furthermore how trauma and mental illness are passed through the generations. I'd be remiss not to mention that Toni Collette gives a mesmerizing performance in this film that is absolutely unhinged and truly difficult to stomach at times.<br/><br/>For all that praise and as excellent as I think it is, Hereditary isn't quite a masterpiece. Despite the fact that I was very much invested and riveted throughout the length of the film, there were some detectable pacing issues. I feel conflicted in saying that because I'm very much a fan of the slow-burn horror style which benefits from a deliberate pace, but I did get the occasional nagging sense that things could've been tightened up just a tad without losing the effect. Some of the scares in the film, often the more ""traditional"" horror moments, also struck slightly the wrong note with me on a first viewing and were just a hair too campy or on-the-nose given how visionary and restrained the majority of the film is. And in its ending few minutes, the film really shows its full hand when a bit more ambiguity may have served it better.<br/><br/>The positives far, far outweigh the negatives here though and Hereditary is ultimately a remarkable debut horror film which showcases what the genre is capable of when it's taken seriously by a talented director. Here's hoping we'll continue to see more like it.<br/><br/>Light 4.5/5"
"momontherandom","6","1194","1877","8 June 2018"," Acting was amazing, ending left me feeling robbed.
","The acting in this movie was by far its redeeming trait. There was so much creepiness to go around and Toni Collette owned her role. I felt extremely uncomfortable at a couple points and almost regretted going to the theater alone.<br/><br/>That all changed with the last 10 minutes. The movie is a little over two hours, so that's a long emotional investment. But then you get to the ""twist"" and it starts to get hokey and lame. The spookiness up until that point had now turned into what felt like a last ditch effort for an end to the movie. At one point in the movie, my mouth was hanging open in shock and horror, when the end credits started rolling, my mouth was hanging open in disappointment. If you want to love the movie, leave 15 minutes before it's over and just make up an ending in your mind. You'll feel much more satisfied."
"MissSimonetta","7","65","93","15 September 2019"," Only the first 100 minutes are the great material everyone's describing
","I loved the first 100 minutes of HEREDITARY. Psychological anguish brilliantly acted by a superb cast. Visuals that feel like Wes Anderson gone wrong. An atmosphere of dread and despair that recalls the great psychological horror classics like ROSEMARY'S BABY.<br/><br/>And then, we get to the ""twist."" And what a lame twist it is. The moment Collette starts climbing the walls like Spiderman and gliding about like a Scooby-Doo ghost, the atmosphere was broken.<br/><br/>HEREDITARY is most compelling when the horror comes from the awful tragedy of the young girl's death or the emotional hell the family goes through in the aftermath, blaming one another. I spent much of the movie terrified the mother would break down completely and kill her own son.<br/><br/>The twist is such a conventional letdown. It felt so, so boilerplate, something you'd get from THE CONJURING.<br/><br/>The only reason this isn't lower than a 7/10 from me is because the first half was just so great. Too bad it couldn't make the landing..."
"spencergrande6","8","572","924","30 April 2018"," A genuine nightmare
","This is a bit of an old fashioned horror movie. Something that plays as a dramatic movie first and then slowly becomes something else. Like ""Rosemary"" or ""Exorcist"" but without the high profile clout of those directors. This is two hours of an exploration of family tragedy and grief through characters struggling to cope.<br/><br/>To say much of this film is to ruin it, so lashing praise onto certain aspects of it is the best one can do. Not to say this is a film with a big twist, it isn't. Toni Collette is fantastic as is no surprise at this point in her career. All the performances carry their own, including one I was unsure of at first but grew on me throughout -- Alex Wolff. The cinematography, rhythms and pacing, sense of place and space, and sound design are all superb and work in conjunction to create atmosphere and dread -- like a pit in your stomach that continues to grow and grow throughout.<br/><br/>It turns into a genuine nightmare that absolutely worked for me. See it blind, see it as a movie first and foremost (not as a horror show with jump scares), but just see it."
"andymcnair-97211","9","8","9","22 June 2020"," One of the best modern horror movies
","Great acting all round, great story and deeply scary moments that will leave you feeling haunted."
"mills71","8","218","354","31 August 2018"," Great slow burn uncomfortable horror
","Loved this movie, it wasn't hard to figure out once it peaked .. but getting there was great. I see people don't like this film and I can understand that. But it reminded me of Rosemary's Baby and that's saying a lot. As the story unfolds you see how truly horrifying this persons (Toni Collette) life has been.. the performances are spot on. This movie really ramps up in the last twenty minutes.. it's not fir everyone but it creeped me out and I watch a lot of horror. 
Give it a shot .. it's well worth it."
"akwsixers10","9","352","606","10 June 2018"," A new horror classic, tense and terrifying
","I rarely write reviews for films on here with the exception of two cases: when a movie is really bad or when a movie needs defending from a vocal minority that trash it. First, I'll review the film like I would any other and then I'm going to try and reason why audiences are reacting negatively to the film. I'm not sure if Hereditary is the greatest horror film ever but I certainly felt like I was watching my generation's Exorcist or Rosemary's Baby. The movie borrows heavily from those two films right down to the final scene. Despite this, it feels new and dangerous. I had no idea how the movie was going to play out which is a criticism I have with a lot modern horror/thriller movies. This in large part has to do with the marketing campaign but more on that later. I feel the term slow burn has a negative connotation associated with it and prefer to call this movie tense. It doesn't really on jump scares that plague a lot of modern horror and chooses tension and imagery to scare the audience with slow camera panning and fantastic cinematography, a nervous score, and great performances. Toni Collette gives and incredible performance as a manic mother who is mourning the loss of a parent. The supporting cast is fantastic as well and they all have a time to shine at some point in the movie. The movie is also challenging in its themes with relationships between parents and their children always in the forefront. The human drama of this movie far exceeded my expectations and is worthy viewing in its own right. <br/><br/>To try and explain why audiences are trashing the film through some mediums (not as much on IMDb, see CinemaScore, Rotten Tomatoes for example) I think it is important to understand that we live in an impatient culture. Many horror classics of the past like the two I mention earlier weren't fast paced and instead lingered on images and favored slow paced horror. I think the modern horror audience can get restless when presented with a movie like this. I don't think Rosemary's Baby or the Exorcist would review very well with broad audiences if they were released today. Secondly, I think the film has succeeded in making people uncomfortable by questioning parent's feelings for their children and how they are displayed. This movie is complex and has a lot to say. Comparing this film to another fantastic horror movie from this year, A Quiet Place, offers a great juxtaposition of this idea. One is very simple in it's premise that quickly gets to the scares while the other takes it's time to build to a climax that may or may not be worth the wait depending on the viewer. Overall, Hereditary offers plenty of horrific imagery and supernatural scares that work as a deeper examination of familial relationships rather than being a string a horror movie cliches.<br/><br/>9/10 - excellent"
"jtindahouse","7","284","495","7 June 2018"," Almost works better as a drama than a horror
","'Hereditary' is sort of like two films in one. Half of the time it is being what I expected it to be, which is a horror movie. The other half though it plays out much like a drama. I would even suggest it's a better film when it's in drama mode than it is when it's in horror mode. The film is over 2 hours in length which is extremely long by modern horror movie standards. The reason I believe for this is that it's trying to fit so much in and achieve so much in such a little time. It's a very ambitious film it would have to be said.<br/><br/>The entire cast were terrific, but Toni Collette absolutely blew me away. The emotional depth she is able to achieve never ceases to amaze me and she is captivating to watch in any scene she's in. I feel like she is one of the most under-appreciated actresses working today. As mentioned though, everyone is terrific and this is one of the best acted horror movies you are likely to find.<br/><br/>I sat in the cinema for a couple of minutes are the credits rolled just trying to work out how I actually felt about the film. I know I liked it, but I also know I didn't love it as much as I had hoped to going in. It certainly surprised me that I was more invested in the real-life drama side of things, and that the horror was almost like an unwanted distraction at times. The horror is almost always about atmosphere and visuals rather than any kind of jump-scare which I always like. What I didn't like though was how casually it jumped from seeming normality to outright suspension of belief. I feel like this could have been bridged a little better. Early on there's a lot of subtlety, then in one scene all of that is thrown out the window at once. I suppose at least the audience knows where they stand from that point onwards. <br/><br/>'Hereditary' is a film made with impeccable quality, of that there is no questioning. In fact it's made so well that I would suggest what story you picked to tell almost wouldn't matter because writer/director Ari Aster clearly has the skills to make it work. I can see opinions being very divided on the film (I even had a couple walk out of the cinema at one point in my showing), but I think the majority will like it on some level and for that reason I would recommend giving it a look."
