"username","rating","helpful","total","date","title","review"
"brian-toone","Null","31","37","11 May 2020"," Franchise
","And it has nothing to do with the comic books.<br/><br/>Bad and pointless<br/><br/>What is the point of this film? A big beefcake? Because that's literally the only storyline this mess has going for it. Pointless characters, horrible CGI for this modern time, bad acting, I could continue. If I had went to the theater to see this, I would be trying to get my money back. I gave it a 3 only because of the nostalgia I have for Aquaman. That's all that is good about this excuse of an action/family film."
"tvxeqw","3","16","18","15 June 2020"," They Got It All Wrong
","Look at the so-called Aquaman in this movie. Does he look like a prince to you? His mother was a queen?? Not at all.
I am not sure why they strayed so far from the Aquaman we all like and love.I guess the main actor looks like a bouncer or something so the loutish market can see him and like this film.
People who do not know Aquaman (comics or cartoons) may like it however. I dont know."
"shopping-277-112148","6","1663","2454","17 December 2018"," Is it just me?
","What's with the 10 out of 10 reviews? really?. Sure it's probably the best (or second best) DC Justice league era, but that's not difficult.
Like all the other offerings, it's overblown, wooden, one dimensional and over reliant on over the top CGI.
As a child I was always a DC fan and I want them more than anything to bring this thing together, but Marvel have certainly laid down a tough marker for how it should be and DC still haven't met that challenge.
The main thing missing from the film is charm and simplicity, sure Momoa just about saves the day and I think he can develop Aquaman into a loved character, and the film is a step in the right direction. But 10 out of 10 it most certainly isn't."
"Jack_C_","3","936","1394","15 January 2019"," More cheese than I can handle
","If you are a preteen, the story may work for you. If you have any common sense, the bad dialogue and blatant rip off of every sci-fi and fantasy movie cliche will drive you crazy.<br/><br/>Special effects are decent, and the story moves along at a decent pace. Momoa carries the film despite being surrounded by one dimensional characters with digitally botoxed faces. I would never watch this movie again."
"Seb-Alexander","2","67","91","3 April 2020"," A tattooed hillbilly
","I hate this story, but I just also learned of the things what the actress has done,I was so disappointed. Although she has done something wrong, I just wanna to say that the movie is pretty bad on its own and I hate the song especially Everything I Need. Also,the fight scenes are very boring ,just like real people fighting in front of you.The actors and director are the pits. I need another glass of wine."
"McLovin4420","2","1682","2572","16 December 2018"," Every superhero movie cliche you can imagine
","I have no idea why somebody would give this movie a good score, let alone 10. After 20 minutes I have decided that its for the best to switch my brain off and enjoy the show. But damn this movie is way too dumb. Character development is rushed and is given in a form of cringy and weak dialogues. Jokes feel like they are just out of place, but specific moments are created just for them to happen (which makes it even more ridiculous). There are some really stunning shots, but its more of an exception rather than the rule.
But the main issue, which makes this movie unwatchable without at least 4 cans of beer, is the fact that its linear as hell, there are 0 unpredictable plot twists, from the beginning of the movie (or even from trailers) you for sure know how its going to end.
Also the mood is unbelievably inconsistent, at some points characters are dead serious, while in 2 minutes they may be cracking jokes. Its not as bad as in Justice League, but black manta just looks pathetic with his constanty frowny or angry face.
WB, u evil corporate idiots, stop ruining your movies by trying to be like Marvel and making movies based on a formula which clearly doesn't work. It just looks like a parody and not a well done one."
"dhruvisias","Null","153","221","7 September 2019"," When Did Aquaman Become...
","A trashy tattooed thug smack talking and taking his shirt off on the beach as he practices for a future he doesn't know exists.
I was waiting for him to pick up his surfboard any moment and go get laid with some equally trashy Hep C victim."
"Aaron-harlow","Null","40","53","25 April 2020"," Was the director JJ Abrams?
","It was that bad.<br/><br/>Total character assassination and a complete lack of understanding of what Aquaman is all about."
"drapersukhman","3","146","216","9 August 2019"," If you have read the comics or watched the cartoons..
",".. Aquaman is quite classy and smart.<br/><br/>Here he is a thuggish beefcake that talks trash and spends his time topless on the beach.<br/><br/>No wonder humanity is in decline. Industrial pollutants??"
"dotard-does-stormy","3","73","104","18 March 2020"," If Aquaman actually swam
","He would be fit and a lot more slim than the impostor in this film.<br/><br/>By the way, what's up with sound being transmitted underwater like that?
Is Rian Johnson dropping bombs in space like The Last Jedi again?"
"borismk-38942","4","880","1390","6 January 2019"," The most overrated generic superhero film you'll ever see
","I don't know where the hype for this film comes from, because it can't be from the content. The dialogue and characters in this movie are often ridiculous in the least entertaining way possible. Silly can be entertaining, but it can also just feel stupid. The female characters only seem to exist to be Aquaman's conscience (because he can't think for himself, as he's boring), they have no flaws or vices (in other words no depth). The villain is a cheap charicature of the warmonger, with a few poorly expressed environmental ideas thrown into his perspective. The good points of this film fall mostly on the visuals. It is a stunning film in terms of the undersea beauty portrayed, a literal riot of colour across the screen. I would also say that action is pretty positive, the combat is intense and epic. Overral though, I wouldn't reccomend"
"ellisalias","2","247","377","13 July 2019"," Not An Aquaman Film At All
","Has anyone read the Aquaman comics? Does anyone know Aquaman's story? Does anyone care for Aquaman?<br/><br/>This film is the story of a weird tattooed trash amphibian thug who speaks like a hoodlum and who, for some reason, gets trained on the beach with his top off.
It is like the trashy beefcake anti-hero of 21st century or something.<br/><br/>what rubbish."
"ypejeq","3","106","156","26 December 2019"," Now we know it was Aquaman in the boat with Moana!
","Now that this mystery has been resolved I have no interest in this film.<br/><br/>It was boring and cliched. The main actor is probably another of those MMA meat heads with brain damage (if there were any brains to begin with) and the story defies physics.<br/><br/>Poor (true) Aquaman!"
"anneyiyu","8","26","34","19 May 2020"," I like the leading actresses
","I think she is very good-looking, yes, I am such a shallow person"
"vwjbrkgq","3","61","88","5 April 2020"," It's A Thugs Life
","Who cast this guy? I bet he is a WWE or MMA loser with the brain damage that goes with it.<br/><br/>How pathetic.<br/><br/>No wonder the film repelled me. Aquaman is an arbiter of justice not a Duck Dynasty extra."
"hhelper-82935","1","50","71","7 April 2020"," Yup it's laugh-out-loud bad
","When we saw it in the theatre we were literally laughing at it. It's so bad you can't help it. When will they stop making these?"
"jicewdoy","2","93","140","13 February 2020"," He is not the son of royalty
","Absolutely not.<br/><br/>He looks like a mob contractor who bangs heads not someone who dishes out wisdom and justice, which is the true traits of Aquaman."
"szouopj","2","109","167","14 December 2019"," Who Decided To make Aquaman Lowbrow?
","He looks like the kind of urban thug who shops at Wal-mart?<br/><br/>Yikes."
"ekleins","4","585","966","17 January 2019"," Aquaman vs powwerrangers, starwars, godzilla and many others, on steroids
","C'mon, 10/10 seriously? the director used every action figure/action movie ever created to fight with or against Aquaman, splashing on testosterone. The Atlantis guards are Power Rangers, the underwater fighter jets are from Star Wars, the battle with other underwater kingdoms looks like a battle from the Lord of the Rings, some personages are a version of the Street Sharks, even Godzila had a resurrection moment!. Do you remember the Disney's the Sword in the Stone? even the guy name is Arthur! Did you spotted the dinosaurs at Jurasic Park? I only missed a Smeagol-like scene with the trident... my prrrrecioussss.<br/><br/>Ah, and a very funny scene is watching Aquaman trying not to fall (and looking very scared) from the roof of one house in Sicily (two stories high) , when he'd just jumped from a plane thousand meters high with no parachute in the desert.<br/><br/>But Nicole Kidman was beautiful as always."
"mysterarrow","2","201","321","3 May 2019"," Crude
","Some trashy tattooed thug who looks like he is even more gross than the Rock trash talks and speaks rudely and crudely all over the place and they want us to believe he is the son of a queen and royalty.
No wonder the movie included rap 'music.'
Anyone who has read an Aquaman comic book will shake his head in sadness."
