"username","rating","helpful","total","date","title","review"
"MR_Heraclius","6","43","47","22 February 2020"," Alexander
","With such an epic story, you would think someone like Stone would produce an epic film. From the random accents of the characters (specifically, I have no idea what Jolie was trying to do), to some pretty atrocious acting from Farrell-he's capable of much better, but this was at the height of his grandiosity and ego. There are so many moments where it feels like the film is onto something, only to have it stop and spin off into another, pointless direction. Bottom line: a $155 mil film about Alexander the Great should have been iconic, but Alexander falls flat on its face from the weight of the egos involved."
"bolender-1","Null","744","1069","5 December 2004"," My take on this
","At first, I didn't feel much of a need to comment on the film, since so many others have written and have said so many things. But I think there are some really important points to made, and I haven't seen anyone make them. So here I am writing.<br/><br/>In my opinion, almost everyone misunderstood the relationship between Hephaistion and Alexander. In the modern world, especially in the West, two men are either very close to each other, sleep together, and have sex, or they keep a good comfortable distance from each other and, if they're friendly, might punch each other on the arm. In this film, we see a relationship that is hard for most people today to understand, namely a passionate love relationship between two men in which sex is not very important and possibly even absent.<br/><br/>Aristotle essentially explained the whole film near the beginning when he told the young couple something like the following, as best I can remember it, ""When two men lie together in lust, it is over indulgence. But when two men lie together in purity, they can perform wonders."" Or something like that. Given what I know of that culture, I am sure that ""in purity"" means no sex, or at least very little. That's why we never see them kiss. In the film, as in many older films, kissing is a metaphor for sex. Even when Alexander kisses his mother, it refers to the idea of sex. That's why Alexander kisses Bagoas, but not Hephaistion.<br/><br/>Now I'm not sure if the real historical Aristotle would have made that remark. That's not exactly what he says about homosexuality in the Nicomachean Ethics. But the remark is plausible enough since Alexander could easily have heard such an idea during his youth. Plato (before Aristotle) expressed that idea, and Zeno of Citium (after Aristotle) did too. So even if Aristotle never said this to Alexander, it is plausible enough that the idea was in the air and that Alexander heard it from someone or other.<br/><br/>Some have complained that the ""homosexuality"" (assuming that A's relationship with Heph. should even be called that) was thrown in their faces too much. But it's crucial to the plot. Stone is hypothesizing that Hephaistion was essential for what Alexander did. Further, it's a standard Hollywood convention to juxtapose a love story with some great political, military, or otherwise grand event. There are tons of examples. Titanic, Enemy at the Gates, Gone with the Wind, ... the list could go on forever. It really is homophobic to complain about Stone continually going back to this theme, because he has a perfectly good artistic reason to do it.<br/><br/>A few more details: Alexander's hair. I think that Stone was trying to make Alexander look like Martin Potter in Satyricon -- a nod to Fellini.<br/><br/>Alexander's accent and soft appearance. Another nod to a great director passed on, this time Stanley Kubrick. Farrel really looks a lot like Ryan O'Neil in Barry Lyndon. In fact, he really looks like a Ryan O'Neill / Martin Potter coalescence. I think it's deliberate.<br/><br/>The softness of Alexander's personality. In a lot of scenes it made sense. He was gentle enough to know how to approach Bucephalus and tame him without scaring him. He was open minded enough to adopt a lot of Persian culture and encourage intermarriage, while the other more ""he-man"" folks around him were less comfortable with the idea.<br/><br/>Yes, if you haven't figured it out by now, I do like the film. People's hatred of the film is hard for me to understand."
"mharrsch-1","7","157","223","14 December 2004"," Stone stumbles over Alexander
","When ""Gladiator"" stirred a latent interest in films about the ancient world I was so hopeful we would finally be able to enjoy some exciting cinema about my favorite time period. I have not been totally disappointed. USA Television network has given us Attila, Caesar, and Helen of Troy - not without flaws but solid efforts. Wolfgang Peterson's ""Troy"" did not resemble the Iliad I had studied but I appreciated the performances of Eric Bana and Brad Pitt. Brukheimer's ""King Arthur"" could have used more experienced epic direction but was loosely based on historical accounts of Sarmatian auxiliaries and their commanders in late Roman Britain and I liked the grittier result to the fairy tale legends of my childhood. Then I heard about Oliver Stone's production of ""Alexander"" and I was sure we would have a film of the caliber of ""Ben Hur"". Unfortunately, Stone managed to take what should have been a ready-made screenplay and solid performances by Angelina Jolie, Val Kilmer, and Colin Farrel and imparted as much insight into the character and charisma of the world's most famous conqueror and military genius as the images of shadowy figures thrashing about in the blinding dust of Stone's Gaugamela.<br/><br/>His opening sequence with Anthony Hopkins, as Ptolemy I, droning on about his memories of Alexander was more protracted than a prologue to a History Channel documentary. In fact, I heard a man behind me mutter something like ""I came to watch a movie not the History Channel!"" <br/><br/>Stone's next major error was to omit any scenes of Philip's military prowess. ""The Lion of Macedon"" was as much a military genius as his celebrated son but Stone leaves us with little more than an impression he was a drunken lout. The omission of the battle of Charonea was nothing short of a blunder since it epitomized the sharing of military experience between father and son with Philip masterminding the battle and Alexander, a mere 18-years old, leading the cavalry in a critical maneuver to assure the victory. Stone handles Alexander's tutelage by Aristotle clumsily as well. Instead of focusing on Alexander's insatiable curiosity about the world around him and how Aristotle nurtured his intellect, we see a brief scene where Aristotle is essentially defending Alexander's friendship with Hephaistion to a sneering Cassander. During Alexander's brief lifetime, Alexander maintained his relationship with his tutor for years, sending examples of plants and animals from the lands he conquered back to Aristotle for study.<br/><br/>Then to skip both the battles of the Granicus River and Issus totally left me aghast. I think the most damaging omission was the battle of Issus. It is at Issus that Alexander first confronts Darius himself and Darius flees from the Macedonian onslaught, leaving his wife and daughters to Alexander's mercy. When Stone depicts Darius running from Alexander at Gaugamela it is done in such a way that the audience doesn't perceive it to be a lack of personal courage but just an escape, especially without the knowledge that Darius had broken and run from Alexander before.<br/><br/>Furthermore, Gaugamela was not executed in a way that illuminated Alexander's strategy and daring. Stone should have watched ""Alexander: The Art of War"" produced by the Discovery Channel for better insight.<br/><br/>Stone treats us to only one last battle scene in India at the Hydapses River. Again, it looks more like a running jungle battle vis-a-vis Vietnam than a carefully strategized battle where Alexander had to execute a tenuous river crossing below the expected battle site to draw some of King Porus' forces away from the center and enable Alexander's infantry to be effective. <br/><br/>As for the near mortal wound, Alexander was wounded at the siege of Malia, a fortified town on the way back to the Indian Ocean. He dashed over the ramparts of the town before his main force could catch up to him and he wound up cut off and, with three other companions, cornered and fighting for his life. Two of his companions were killed and a severely wounded Alexander is protected by the last remaining companion bearing the shield Alexander had supposedly taken from the grave of Achilles at Troy - another missed cinematic opportunity!<br/><br/>As for Alexander's bisexuality, I objected to Stone's portrayal of Hephaistion as an eye-linered catamite walking around in billowing robes. Hephaistion was as skilled a warrior as Alexander and a successful commander in his own right. Maybe Stone could not bring himself to accept a deep relationship between two very masculine men.<br/><br/>Now, I can only hope that the vehicle starring Leonardo diCaprio is produced or HBO gives Alexander the treatment he deserves with a blockbuster miniseries like ""Band of Brothers""."
"sturdy_ram","10","887","1485","26 November 2004"," Out of the mindless masses.
","The audience is not being able to understand the difference between  ancient and modern morals, but to be honest I don't care about the  wider audience. Why should Oliver have to sugarcoat and alter his work  simply because the 'MTV generation' and mass TV watchers of the United  States don't know their history? I say he shouldn't. Their ignorance is  *their* problem, not Oliver's.  In a long shot, Oliver Stone chose to create a historically accurate  film around the life of a man, both fact and fiction, who created the  gateway for humanity's future path. Many will not appreciate this film,  because their minds are too stuffed with current calamity to realize  where their freedoms and dreams of equality originated from.   This is a brilliant film, which was portrayed correctly, from a  personable point of view, to create the character of Alexander in the  manner in which he lived; uninhibited by other influences save those  whom he loved and knew were trustworthy. This movie is about the  origins not only of the Western mind and intellect, but also plan  larger into the scheme of the man who saw and dreamt of the future- a  world which accepted each other and lived together in diversity in  harmony. This man was Alexander-- our Western father.   Like it, hate it; it doesn't really matter. The fact is, Oliver Stone  brought to his team of experts internationally respected historians to  make this film as accurate historically as possible. This should not go  without notice. Colin Farrell, a known Irish- now Hollywood loverboy,  does indeed display the heart and integrity of a natural born leader.  He has lead this cast in an epic performance, well past his personal  years and experience. He is worthy of praise in his portrayal of  Alexander.   The movie is fantastic;  Well done, Olivier, Colin, etc... Well done."
"kirangnsh","1","130","204","20 August 2005"," Utterly preposterous movie on the greatest king
","By Zeus, this movie is awful! The movie is not just scripted poorly, it is directed pathetically! Mr.Stone completely loses grip on story telling... and by at the end of the movie, is clueless about what he wanted to say.<br/><br/>What put me off was neither the director's *obsession* to prove Alexander's sexual orientation, nor the plethora of inaccuracies/biased opinions through out the movie. It was the complete lack of representing why Alexander was ""Alexander The Great"". I would have endured it better if it were a documentary, with its purposes stated upfront.<br/><br/>Great men are so few; and when somebody goes ahead and downplays such a great person with their frivolous 'research' and story writing, it is outright annoying. I strongly believe that our next generation should learn from the great souls of the past. And if a director, when has such an opportunity, makes a bum of himself/herself, it is very, very irritating.<br/><br/>I am from India, where Alexander appears in our history text books at various grades at school. The fervor that the name Alexander brought to me when I was in school, which is nearly forty years ago, is simply indescribable. We Asians love him, adore him. We call him Sikandar, and the word stands for 'the heroic', 'the majestic', 'the king'. Rather than making the movie focus on his greatness - valor, ambition, respect for a fellow human being, and ultimately success in so many aspects of life, the movie was made about the most unimportant aspects of his life. <br/><br/>And for the records, Alexander won against the Indian kings, the last one being Porus. Alexander gave back the kingdom to Porus, for the courage shown by him after Alexander captured and 'interrogated' him. After this last war, Alexander's army was tired, and did not want to take on the army of Magadha, and Alexander returned home. The movie from this point on, does not even deserve comments.<br/><br/>Alexander supposedly asked his hands to placed in display after his death, showing the people ""the one who conquered the world, after death, left empty handed"". Instead of the ending of the movie being something to that effect, it was the Ptolemy's soliloquy at the end, which was... AARGH! absolutely absurd."
"thunderzephyr","10","436","745","27 November 2004"," A Totally Different Viewing.
","Last night I saw the movie a second time, with my 20 year old son. The audience was of an entirely different demographic than the first viewing (which was an advance screening). The average age of the audience was about 35-45, with not too many teens in there. And guess what? Besides the fact that the entire theatre was PACKED, there was absolutely not a sound from the audience...like they were breathless. No snickering at blond hair, eyeliner, sultry looks from Bagoas, or any of the things that drew slight laughs when I saw it for the first time. It bolstered my hope that as time goes on and more people see it, there will be a more favorable opinion of it. <br/><br/>I myself liked the movie a whole lot more the second time around. I watched different things this time...paid more attention to the sets and the other characters behind and around whoever was the primary action of the moment. I listened to the narration more closely, and enjoyed the film much more this time.<br/><br/>Response from my 20 year old son, who wasn't just trying to be nice to his old mom, was very positive. He even thought that the assassination scene was fine where it was because it related better to what was going on in Alexander's head at the time. <br/><br/>I highly recommend a second (at least) viewing at a theatre with a very good sound system. I realized I had missed some of the dialogue and narration because the 1st theatre's sound system was horrible.<br/><br/>P.S. Kudos to Mr. Stone for his lifetime achievement award in Sweden. They don't give those out to just anyone, you know?"
"WChewIII","9","373","639","29 December 2004"," Hard to digest for hoi polloi, but true to history and Greek epic and tragedy
","Oliver Stone consulted Robin Lane Foxe, Oxford historian and the premier Alexander expert, before making this film. It shows. The film certainly ranks as one of the closest-to-the-real-story Hollywood historical mega-films. To viewers with any background in Aristotelian drama and the Greek epic, it will immediately become clear that Stone has tried hard to emulate the epic form while integrating the culture of the Greek tragedy into his film. There is plenty of fear and pity here and there are plenty of tragic elements. The aging Ptolemy as narrator even takes on some of the functions of the chorus/choir. Tragic destiny in a larger-than-life man plagued by doubts over his own decisions, his consuming passions, is the universal here; the gripping story of Alexander the historical incidental, as it were. Not surprisingly, characterization and character interaction must loom large. Which explains the numerous and lengthy monologues and dialogues. Bravo, Mr Stone. Those who can appreciate will. But I fear that hoi polloi will not appreciate. They will simply fail to understand. Postscript: If there were any episodes in Alexander's life I missed and would have liked included (at the risk of making this film even longer) it would have been the Gordian Knot and the Oasis of Siwa."
"pookey56","1","114","188","6 October 2005"," OK oliver
","i laughed out loud while watching this movie. i haven't enjoyed all of Oliver Stone's films so i'll give him this one. this movie left me wondering several things: 1) was Alexander's mother born before, or at the same time as her son?(and why did she go to a transylvanian voice coach?) 2) how much hydrogen peroxide was in the bleach Colin used? 3) did Val use plasticine on his face in the hopes of being unrecognizable? 4) did anyone go to the library to help with the pacing of this film? you know, those buildings with books in them? 5) was Bucephalous black, or white? did anyone care? (he was the best actor anyways) 6) if i had 9 figures to spend making a movie, would it have been this bad? (more proof that throwing money at a film doesn't do the trick) 7) did the people making this film know it was about Alexander the GREAT? did they know he was an extraordinary leader? or did someone tell them he was an angst-filled whiner? (see question #4) this film has my vote at the razzies this year for worst film. as i said i found myself laughing out loud. other leads turned the film down. if Alexander had been played by David Spade or Paulie Shore, i may have been more charitable of this mess of a film. please please, no more director's cuts or added footage...and by the way, i am a fan of most of the actors in this movie. what happened? but i stand by my statement about bucephalous. this animal didn't over-act, had a legitimate accent, and stood his ground with that poor elephant, who also gets a nod of approval from me. as far as i can tell, these are two characters who had no choice about being in this movie.<br/><br/>*arguabley ""not bad"" aspects of Alexander: 1)the desert/battle scenes, aka THE MUMMY 2)the blood looked real 3)employed a LOT of costumers for those thousands of outfits 4)the men looked better than the women (except Eva green) 5)mass carcass scenes post-battle, aka GONE WITH THE WIND, but not nearly as good. 6)not bad historical narrative by sir Anthony. otherwise, ""huh""? 7)by all accounts, Alexander was a progressive and compassionate ruler, compared to his brutal times. much like Alfred the Great was ahead of his time in this aspect. 8)many ""boys will be boys"" scenes, aka BROKEBACK MOUNTAIN, but not nearly in the same league..nor universe, come to think of it... 9)some great busts, murals, statues and other art scattered around in the back ground 10)a zebra!! 11)one can forgive the globally conscious and compassionate Jolie for just about anything...<br/><br/>you may want to give it a watch, if you can get past the first few minutes. i only gave it a one based on the economy-busting amount of money that Mr Stone had to work with...perhaps i should upgrade my rating to, 1.01."
"garlingmatthews","1","423","747","5 February 2005"," How is it possible to take one of history's most interesting figures and a huge budget and make possibly the world's worst movie, ever?
","I was saddened when Alexander the movie received criticism for featuring homosexuality. Besides being a neanderthalic prejudice, it distracted from the many valid reasons for criticism. This is a strong contender for worst movie ever made.<br/><br/>I will say first that this film has a marvelous cast. But it really doesn't help. Really.<br/><br/>It's almost totally ahistorical, but that's standard practice. It's irritating if you know something about Alexander's life and deeds (I studied him college), but the people I feel sorry for are the ones who walk away thinking they've been exposed to an educational experience. There is a small book in explaining how wrong this assumption is. It'd write it, but it would involve watching the movie again. But the rather liberal interpretation of the available information is a side issue in explaining why this is a strong contender for worst movie ever made.<br/><br/>The script is dreadful. Mind-bendingly dreadful. It's deficiencies take several forms. I shall enumerate them;<br/><br/>1) The dialogue is actually a series of monologues. Every-one is apparently reciting excerpts from their autobiographies, or treatises on whatever is at hand, letters to whomever they are talking to, letters to the editor, political speeches, self-help manuals... It's certainly not conversation.<br/><br/>2) It's portentous. I sometimes like portentousness, it can lend atmosphere. Here, it lends to the tedium. The tedium doesn't need adding to, it's already oversubscribed.<br/><br/>3) It never knows when to stop. Anthony Hopkins has a monologue at the end that goes on for several minutes. You keep thinking it'll end, hoping, praying it will end (this Anthony Hopkins! He could probably read the ingredients of soap and make it sound interesting), and it does, eventually, but by then you slipped even further into a coma and are in no fit condition to cheer. Colin Farrell seems to spend half the movie looking off into space and holding forth at length on, oh, whatever, but always passionately.<br/><br/>4) It's badly written. It's a bad series of portentous monologues that never know when to stop.<br/><br/>Aside from the script (perhaps) the film features other flaws that inhibit it from greatness. Such as?<br/><br/>Pointless time jumps. I have nothing against time jumps. Highlander, Once upon a time in America, Godfather part two, Once upon a time in the West, For a few dollars more, and probably other films that weren't by Sergio Leone... Many great films feature them. But usually they follow a rationale. Usually they aren't apparently random and unconnected. Here, it's like they put a couple of reels in the wrong order.<br/><br/>Sins of omission. While I said that the lack of adherence to historical accuracy was a side issue, not mentioning almost any episode that might actually have been exciting or interesting seems a dubious policy. Alexander, as the posters implied, was the stuff of legend made real. (I make no moral judgement here). Does it mention the phalanx? Any the innovative ways that he overcame apparently unassailable fortresses by looking at the problems from another angle? The political methodology whereby he kept a grip on all of the peoples behind him? The Gordian Knot? Does it hell. It does feature a couple of battle scenes, the second of which is shot in a vivid and pretty colour scheme, and both of which illustrate that he fought at forefront of his army. So that's something.<br/><br/>The most laughable sex scene ever committed to film. Alexander wins over his bride by making kitty-cat claws gestures and noises. There's more, but that's definitely the stand-out feature.<br/><br/>I could go on, but this film has already eaten enough of my life. The only thing epic here is the ineptitude. It actually made me feel nauseous."
"mgerity-1","1","109","181","20 August 2005"," I didn't know the Greeks were all Irish
","After reading the comments on here, I have to say that I am stunned that anybody liked this film at all. I don't lightly say that I rank this as the worst non-B grade movie I've ever seen--ever. To begin with, all of the ""Greeks"" in this movie have Irish accents. Well, most of them, that is. Inexplicably, Angelina Jolie has a middle-eastern-meets-Russian kind of accent, and some have no accent at all. This hodge-podge of ridiculously out of place accents was so distracting that it was hard to stay focused on the movie. I laughed out loud when one of the soldiers actually said ""aye"" when confronting Alexander--I almost expected him to follow up by asking for ""me Lucky Charms"". I kept wondering how it was even possible that nobody in the production chain ever caught this absurdity and put a stop to it.<br/><br/>Beyond that glaring issue, the movie was bombastic and melodramatic to the extreme, it was too long, and the battle scenes were incomprehensible. I almost turned it off about 10 times, but I kept thinking there was no way it could get any worse. It did. Horrible. Oh, and did I mention the accents?"
"s-s-lyall","1","74","120","10 October 2005"," Watch Michael Wood's series instead.
","You'd have thought given the amount of ancient source material which is still extant, dodgy or not, on Alexander's life that Stone could have cobbled together a story from the various accounts without resorting to simply making bits up (i.e Alexander being shot in battle with Porus), pointlessly attributing speeches from one character to another (i.e Darius's daughter giving a reply to Alexander which is actually that of Porus), having set designs which were simply ludicrous (i.e Olympias having the Ram on a tree thingy from Ur in her room)...I could go on, and on, and on...This film was simply awful on every level, the battle of Gaugamela just looked like a complete shambles, why did the Macedonians (Including non-Irish actors) put on Irish accents? A misguided attempt to mask the misguided casting of Farrell? Who was himself hammier than a pig farm but given that the script often stank more than the latter I loathe to blame him entirely.<br/><br/>Avoid this film at all cost, especially if you have any education in the Classics, it's not even worth putting yourself through it for a laugh.<br/><br/>Oh yeah and it was the 'directors cut' I just watched, have never seen the original release and if this was an improvement God help those of you poor souls who saw it at the cinema."
"jedblues1","1","366","648","29 June 2005"," You've got to be kidding me...
","I'm giving this film one star for the reason that it has absolutely no excuse whatsoever for its wretchedness. With a cast like it has, a budget ample enough for three good films, and a legend-centered plot sure to pique the viewer's interest well before the movie is even seen, it delivers a seriously despicable, laughable fiasco.<br/><br/>Of course it's set in ancient Greece. What's interesting is that Alexander sounds straight out of Dublin. And his mother? Why, it's Angelina Jolie, and she's...straight out of Prince Vlad of Tepes' castle in Transylvania. That's right, Vlad of the Dracul. I suppose miss Jolie spent some time watching Gary Oldman deliver his line, ""Leesten to Dem! Di tcheeldren ov da nyyaat; vhat sveet muzik dai mike..."" or ""Alexander, Oi know vat veemen vi-ll do in yore loif..."" Yes, it is that bad. So far no good.<br/><br/>As for Alexander's supposedly legendary tactical genius and indomitable character, here instead the viewer gets to watch the boy from Dublin with painfully obvious bleached streaks in his hair and freshly tinted eyebrows look at Jared Leto countless times with a facial expression that's half ""Mommy can I have another cookie?"" and half irritable bowel syndrome. Leto reciprocates, and captivates movie-goers with a luxurious dark mane of Paul Mitchell's finest work and eyes that make Dakota Fanning look Chinese.<br/><br/>Kilmer is wasted here, as is Hopkins. I didn't give a damn about either of their characters. Watch it yourself to see if you do.<br/><br/>As a boy I was fascinated by Greek mythology, Greek Tragedy and Comedy. I jump at any chance I can get to tack on extra elements of wonder to my understanding of these subjects. At least I learned something new by watching Alexander. His mother was a vampire wanna-be snake temptress and Alexander's horse had more charisma than he did. Yup, Alexander's horse gets my nomination for best actor. <br/><br/>JD"
