"username","rating","helpful","total","date","title","review"
"MR_Heraclius","8","53","58","22 February 2020"," This movie was pretty brilliant...right up to the end.
","The legendary book comes to life, in this Francis Lawrence adaption. A perfect decision in casting Will Smith as the main protagonist greatly improves the film. The movie's visuals are pretty good even though some people may say otherwise. All in all, it's a great adaption of a terrific novel."
"leoncielo","7","264","311","15 December 2007"," I Am Legend: The Movie With So Much Potential That Was Ruined
","Normally I have an opinion on a movie when it's over, I can reflect on it for a few minutes and then I'm done with. It becomes cataloged in my brain as 'awesome' 'pretty good' 'worst.movie.ever.' or a host of other standard issue classifications.<br/><br/>Not so with 'I Am Legend.' I can't recall the last time I was this frustrated by a movie.<br/><br/>It had so much potential to be so great, and then just fell apart in the last third of the movie with every summer blockbuster/zombie movie cliché known to man, run one after the other.<br/><br/>The movie creates a fantastic atmosphere of post-apocalyptic New York and requires your patience as Will Smith's character begins to unravel as the monsters around him begin to become more aggressive and intelligent. Before heading out to see the movie, I did some research on the book the movie is based on and the reason it is such a well known classic story is because of the twists, perspectives and grim ending. What you find out towards the book is that Neville really is the last man on Earth, and the rest of society are now these zombie/vampires, and Neville's ability to walk around in the daylight and kill them has basically made him the monster. He is the one feared by them, he is the villain, and they will stop at nothing to eradicate this day walker who preys on them.<br/><br/>Keeping that in mind, I was super impressed by how the movie seemed to be heading in that direction with that head Zombie guy's heated animosity towards Neville as if it were personal (and perhaps the zombie Neville captured were his significant other, thus lending the zombies an actual 'society), and not merely 'meee hungry for flesh.' The movie basically went right down the tubes when Will Smith decided after he had to kill his dog that he was going to go on a suicide mission at the docks playing Destruction Derby with his Explorer. All of the haunting, edge-of-your-seat suspense and fear created brilliantly with the scene in the abandoned bank, and with the zombie dogs clamoring for the last sliver of daylight to cede, and creepy subtle atmospheric effects throughout went right out the darn window and we suddenly found ourselves in '28 Days Later.' With some random chick coming out of nowhere to somehow scare off 100 angry zombies (who had just blown his UV truck to hell mind you; but apparently she had outfitted a better one than an incredibly resourceful Military Soldier/Scientist), carry Will Smith, who weighs twice as much as her, into her car, and somehow drive them to safety.<br/><br/>So we find ourselves in an incredibly uncomfortable scenario with the Brazilian chick and her creepy Columbine son, and some Bob Marley metaphors laid on top of terrible dialog. Then, instead of a suspense-ridden in-the-dark atmospheric climax, with heavy breathing, flashes of gore, heart pounding scene, we're left with cheesy CG explosions, zombies body slamming people, no one keeping a gun on them when there's about 50 scattered across the house, and other usual stupid horror/action movie miss-steps.<br/><br/>We finally find ourselves with Neville, back against the wall, Zombie leader separated from Smith's neck by a rapidly deteriorating inch of glass and I'm hoping the movie will be somehow salvaged with a great twist, a grim conclusion, or at worst, a convoluted piece of foreshadowing from the first twenty minutes of the movie being pulled out of the scriptwriters pie hole to be played out here. (I personally thought he could have awakened the zombie girl he was curing and seen if the reaction of the intelligent zombie would have caused a reaction, or if some communication could have been made between Neville and his antagonist who at this point we've come to realize is moderately intelligent). I'm an idiot for expecting anything but 'yo, hide in the chimney while i blow myself up.' Don't even get me started on the Utopian Vermont safe-haven, seriously. You're going to tell me 1 million zombies couldn't overrun some 20 foot walls spanning what would approximate 2 miles of land? Christ. I could have written a better ending in 20 minutes on the back of a cocktail napkin."
"rogerdarlington","Null","310","432","29 December 2007"," Should have been better
","The 1954 sci-fi/vampire novel ""I Am Legend"" by Richard Matheson has now been filmed three times: as ""The Last Man On Earth"" in 1964 originally scripted by Matheson himself (which I have never seen), as ""The Omega Man"" in 1971 without the vampire elements (which I have viewed three times), and now with the original title and expensive sets and special effects. This time the seemingly sole survivor of the worldwide pandemic Robert Neville is played by Will Smith who is an actor with real charisma and charm and considerable box office appeal who has beefed himself up for the role.<br/><br/>The main strength of this version is the location shots in a deserted New York City (a move from the Los Angeles of the book and earlier films) and, although the filming of these scenes apparently caused traffic chaos and much anger for local residents, they chillingly set the tone for this dystopian thriller. To see the silent streets around Times Square or South Street Seaport or the lone scientist fishing in the Metropolitan Museum of Art or playing golf on the ""USS Intrepid"" is to view this heaving metropolis as we have never experienced it before. The German shepherd dog who is Neville's sole companion deserves an honourable mention for showing greater thespian skills than most of the extras and stunt men.<br/><br/>The principal weakness of the movie, however, is the realisation of the surviving victims of the virus. The CGI characters are almost as silly as they are scary but, above all, they are presented as more animalistic than human. ""The Omega Man"" handled these characters much better presenting them as sad as well as scary. The other serious fault is the lack of clarity in the narrative - at times, it is simply unclear what is happening and why and a longer director's cut would be welcome. Finally the references to Ground Zero and God may play well with American audiences but will not be so resonant to audiences elsewhere in the world."
"atredbaron","5","197","286","13 December 2007"," A mixed bag
","Just finished a pre-screening here and I'm actually pretty disappointed. The first half of the movie was great and started to build something interesting despite the glaring lack of any background regarding the story. Yes, I realize that you get a few flashbacks but the writers decided not to include any flashbacks of how the disease started, no clips of people progressing through the stages of illness, in essence, everything that led to the point Will Smith ultimately arrived at. <br/><br/>*SPOILER ALERT* While this certainly was a drawback, it is nothing compared to the non-events that surrounded the relationship between Smith's character and what seemed to be the head of the vampire/zombie/darkstalkers. Just as the plot was beginning to develop between them, the film took an epic dive right around the time Smith's dog died. There was absolutely no further development and even though the darkstalkers seem to show some intelligence and evolution, the movie is concluded with their leader banging his head against the glass and screaming like an idiot. It all leads to an ending that seems like a cop-out and left me feeling wholly unsatisfied. *End Spoilers*<br/><br/>There were definitely some great parts, the cinematography was fantastic and the computer generated scenes of a dilapidated and ""uninhabited"" New York were amazing. It most certainly was scary and there were times that made me jump though the animation on the darkstalkers was not particularly impressive; in fact, it reminded me a lot of the movie ""The Mummy"" with Brendan Frasier. Smith once again proved himself a very capable and believable actor. The first half is great, though the second will definitely leave you with a bad taste in your mouth. My advice: leave halfway through and you won't be disappointed!"
"kergrease","9","476","727","14 December 2007"," Really well acted, well done film
","At first, I thought that this movie would be okay at best, abysmal at worst. But I was pleasantly surprised to see Will Smith, ""Robert Neville,"" give a spectacular performance, full of emotion and anger, and bordering a bit on the insane side. I take off points only because it seems like a film that's been done before (and it has, I know, but I don't mean literally). What sets it apart from the rest of the post-apocalyptic man made human killing virus that zombifies people films is the depth of Will Smith's character. With cross-cuts to dreams and the portrayal of Robert Neville's loneliness, the audience connects with him on both a deep mental level and a more surface level driven by pathos. You both laugh and cry with him, you jump out of your seat when he gets scared, and you cheer for him throughout. I walked in expecting a zombie shoot-em-up and settled into something much more thought provoking and intense. It wasn't perfect, but it certainly deserves a look, even if you're not into the whole undead thing."
"dkerwood","6","577","891","15 December 2007"," Surface is great, but...
","This film could easily have filled 2.5 hours of content. Why did it only last 1.5? I want more back story. I want more character development, especially toward the end. I want to know more about what happened, and how Will Smith's character is dealing with it. In short, I just want MORE.<br/><br/>All in all, this film left me feeling a lot like I did in Spider-Man 3: A lot happened, but none of it was really EXPLAINED.<br/><br/>It's a shame, really, because the concept is golden... and Will Smith's films usually feel quite epic and full. I'll definitely pick up the novel... hopefully it will give me the depth that I want."
"bob the moo","Null","57","79","17 February 2008"," Excellent until it starts moving the narrative beyond a concept and stumbles and falls badly
","Cancer has been cured by genetically modifying the measles virus to benefit mankind  the results are impressive. However the downside is that the virus mutates killing 90% of humanity, turning 9% into light-phobic monsters and leaving only 1% untouched due to natural immunity. Robert Neville is one of that 1% and also the military biochemist charged with stopping the virus but he has failed and now is the only person alive in what remains of NYC. Working on a cure in his basement and broadcasting fruitlessly into the sky, Neville spends his days surviving and his nights hiding.<br/><br/>Despite my fear of most zombie style films, I came to I Am Legend drawn mostly by the interest in the effects. Having been impressed by an empty London in 28 Days Later, I was curious to see what more money could do. In terms of impact the answer is ""the same"" but in terms of scale it is ""much more"". New York looks amazing and even those who only know it from films will feel the emptiness of the place. The irony is that, due to the sheer scale of it, visually it looks ""unreal"" whereas the smaller scale 28 Days Later was just plain eerie as it involved nothing generated by computer. This will sound like a criticism but it is not because I do think that this sense of emptiness is the thing that makes I Am Legend excellent for part of the running time.<br/><br/>The effects are only part of it but roundly the delivery makes this aspect work. The plot sits back and lets us just be with Neville in his isolation and semi-madness; talking to manikins, treating his dog as a child and so on. This is greatly helped by a performance from Will Smith that is close to towering; he is utterly convincing in his character and the film brings us an understand of his situation gradually. As we get used to his eccentric lifestyle, the reality is brought home in a moment where he goes from sun to a sweat soaked scene in a dark room, a brilliant moment where we the audience experience the fear he is living with first hand.<br/><br/>So why is the film itself not brilliant? Well, this comes down to the second half or so where the writers start to take steps to bring out a narrative that will go somewhere in the traditional sense rather than exploring the character of Neville as its sole reason for being. In doing this the script made many jumps that were convenient, illogical or just plain lazy and it is disappointing. Bear in mind that this is a film that had managed to convince me that the majority of humanity was dead due to Emma Thompson, the man responsible for finding the cure was one of the few left alive and that New York was completely empty  I never questioned any of this so how much of a dropped ball is it to suddenly introduce a narrative that has the audience looking at each other saying ""yeah right""? It is not as bad as I make it sound though because at this point the action steps up and provides sufficient noise and explosions that perhaps many viewers will find themselves distracted away from the problems with the story telling. However these are too obvious and too big and contrast badly with the patience and emptiness of the first half and, with the rush to a conclusion the film does really feel like the majority of the work was done on the concept and this plot was an afterthought. The writers don't help themselves with some of the dialogue anyway. Having got it so perfect with so little early on, a massive shoehorn is used to get Bob Marley in there  one of several things that conspire to undermine all the good character development that had been done in the first half.<br/><br/>Overall though the film is worth seeing. The first half is very impressive thanks to patience, special effects and a very strong turn from Smith. Sadly the second half lets it all down as the plot devices used to provide a tradition flow and ending are clumsy and unconvincing and the noisy action sequences that are produced didn't manage to distract me from them."
"tesnitaylor","8","552","862","14 December 2007"," An acting buffet of Will Smith
","If I could sum this movie up in one sentence, it would be this: Go Will. Will Smith is the driving force of I Am Legend. His performance as Dr. Robert Neville is impeccable. Living in a deserted NY city, his acting is reminiscent of Tom Hanks in Cast Away, but instead of a volleyball, he has mannequins and a faithful German Shepard named Sam. His basement, a retro-fitted, high-tech lab to find a cure for the disease that has turned the population of the entire planet into mutant, zombie-like, hive mind, blood-thirsty monsters, and, for some reason, Robert is immune. His days, spent hunting. His nights, sleeping with a high-powered rifle and hoping that the mutants don't find him. Keeping the movie flowing are well placed flashbacks that show what happened to Robert's family and why he is there. The movie falters a bit at the end, maybe at the last 5 minutes, but it doesn't ruin the plot or acting put forth. Containing wonderful cinematography and CG, I Am Legend is a spectacular film that I will be seeing again! PS - Shout out to my NY National Guardsmen in this film! Great job!"
"Brent_P","8","434","677","14 December 2007"," ""Legend"" really separates itself from all other post-apocalyptic films.
","Is it me, or does every movie that portrays the future, it's always some post-apocalyptic setting or the fall of man with man itself to blame? Not a lot to look forward to is it? Anyways, after years of being let down by so called scary zombie/virus movie genres and other blockbuster thriller debacles, ""I Am Legend"" really separates itself from the group.<br/><br/>Without giving too much way, Will Smith plays a sole survivor of a world dominating virus created by man that was originally created to cure cancer. Three years into the ""new"" world, Smith (who was a former doctor) dedicates his life to survival, finding a cure....and talking to mannequins. In order to find a cure he seeks out the infected, who only come out at night, and hoping to correct man's mistake.<br/><br/>""Legend"" was the first truly scary movie I've seen in some time. Realism is the main factor in scary movies in my opinion. If it can happen, than that's pretty scary. Also, Smith's portrayal of despair and borderline insanity of three years of seclusion added to the effect. With the exception of his dog, Smith had no live contact with constant failure attempts of his cure only leading to his insanity. It had a ""Cast Away"" feel to it with his dog as to Hank's volleyball and his house reminding you of that stranded island.<br/><br/>The action/suspense scenes coupled with superb sound direction were also heart pounding and unexpected which added to the ""scare"" factor. Whenever Smith engaged with the zombie-like survivors, there was that claustrophobic feeling that I haven't felt since ""Alien."" My only real complaint was the overuse of CGI over real actors for these characters, but with their speed and strength that these things showed if may have not been possible.<br/><br/>""Legend"" overall is one of the better movies of 2007 and a must see. Not Oscar-worthy by any stretch of the imagination, but it's certainly entertaining, realistically tense and maybe even thought provoking."
"Smells_Like_Cheese","4","132","200","14 December 2007"," I Am Disappointed
","I Am Legend was the best looking film release for early December; I was looking forward to it, like many others I am sure. So I saw I Am Legend tonite with my boyfriend, now after the movie we just looked at each other and had that disappointed look and then the audience just looked around and just walked out grunting and I heard nothing but ""that was a waste of money"". That's definitely not a good thing. I think the problem was definitely the script, the story was not explained well as well as the character development needed improvement. The way that I Am Legend was shot very well, it had a very isolated and cold feeling. Will Smith does a fine job of acting; his best though? Not so much. The story also took a strange turn from Sci-Fi to religion towards the end. Not to mention, was this a zombie film? I don't know, because it was never explained.<br/><br/>Robert Neville is a scientist who is the last man alive in New York City. A cure of cancer has gone horribly wrong and killed off almost 90% of the human population. The cure has turned people rabid and has made them feed on humans. Robert has lost his family in trying to get them out of New York during the evacuation, but he is dedicated to finding a cure for this virus. Along with his only companion, his dog, Samantha, he has to survive this scary and isolated world and try to find the last survivors before he goes insane or gets attacked by these creatures.<br/><br/>I Am Legend had good ideas, like I said, the script just needed major work. Like with Robert's flash backs, it seemed like they just stopped the story at that point and didn't explain how the rest of the population died out and how he was really the ONE and ONLY person who survived New York's virus. I know he said he was immune, but no one else was? Major spoiler: they killed his dog off almost in the beginning of the film which didn't seem right to me. I Am Legend is one of the year's biggest disappointments with me, I guess not everything Will Smith touches is gold. If you want to see I Am Legend, please just expect a lot of confusion and not much of a story, I am very disappointed.<br/><br/>4/10"
