"username","rating","helpful","total","date","title","review"
"amar280788","9","113","139","12 July 2013"," Farhan has done wonders
","Few critics, few including Rediff ones whom I look for some good writing, have rated low to BMB. The reason they give is that movie lacks coherence and clarity. Really? I think they should only rate Hollywood movies because whoever thinks this movie is no good does not know what Hindi cinema is. Farhan has done an awesome job, and if I say awesome then it is not for his physique and dialogue delivery but for the transformation, he has gone to become Milkha Singh. We as an audience witness the physical stress and labor that an athlete as likes of Milkha Singh undergo to become a 'flying Sikh'. Hindi cinema celebrates the life of this living legend with songs and drama and music. Rakesh Om Prakash Mehra has done a decent job, still; I fell he could have done a lot better especially in the scenes of Milkha's childhood memories. His attempt of giving the movie an epic convention seriously affected the narrative portion. However, all this can be sided by the grandeur of Farhan's effort. I would like to mention a statement of one of the rediff users who wrote against critics who are undermining the effect of this movie: ""note that 400mtrs is a very difficult race to run. it is at the border of quick races and long jogs. after partition India did not have either the experience nor the infra to produce runners for 400mtrs. So Milkha was a true champion in every sense. If critics pull films like these down for abstract reasonswe will forever have 20 goons flying in the air with one punch from one man. Grow up critics.""<br/><br/>So true."
"sankalpgarg17","10","66","80","12 July 2013"," ""Bollywood needs a better class of directors, Rakeysh Omprakash Mehra is gonna give you that""
","I know this film is criticized for being overlong, but there is not a moment where you will get bored. Based on the real life story of an awesome athlete ""The Flying Sikh"" Milkha Singh, the story solely revolves around the hardships and horrors of his life. The whole film in a sense, is perfect.<br/><br/>Director: Rakeysh Omprakash Mehra Now, i don't think i have to tell you about his past achievements. After delivering one of the greatest blockbuster of bollywood ""Rang De Basanti"", Mehra is back with a bang!!!!! Direction is superb with almost no loopholes left to be noticed.<br/><br/>Scriptwriter: Prasoon Joshi This National Awardee (Taare Zameen Par) needs no introduction. Script of Bhaag Milkha Bhaag has been beautifully transcribed and and more beautifully presented on the silver screen.<br/><br/>Actor: Farhan Akhtar yes, this is solely a Farhan Akhtar movie. This multi talented person has put his heart and sole in the movie. His talent can only be judged by his dedication. Farhan Akhtar's talent has been put to justice. And Pavan Malhotra's role as Coach Gurudev Singh also fits.<br/><br/>All in all, Bhaag Milkha Bhaag is a must watch for all movie lovers, sports lovers and Indian History lovers!!!!!"
"vaishvik93","10","81","101","12 July 2013"," Farhan Akhtar, an epitome of extreme dedication towards the character
","I would certainly be disappointed if this movie doesn't get nominated for the best foreign language film in the academy awards. Farhan Akhtar is like the epitome of dedication towards Milkha Singh's character. He was running like a pro. Cinematography was just amazing. Many shots were just breathtaking. Direction was just perfect and the casting was sensibly done. Parallel storytelling kept the movie balanced between Milkha Singh's life and his sports career. The trio of Shankar-Ehsaan-Loy did their job as always. <br/><br/>But one of all, Farhan Akhtar rocked. He has always given his best in every field he has ever stepped in to. Respect for Farhan Akhtar, respect for Milkha Singh, the true hero."
"graiker01","9","45","56","12 July 2013"," A commendable film on Milkha Singh's inspiring tale!
","The sheer joy of watching someones hard-work come to life on the screen is inspiring indeed. To portray Milkha Singh's struggle and achievements and his zeal to succeed at the world stage, required an equally earnest and dedicated effort by the filmmakers. This effort is reflected in Bhag Milkha Bhag, and is what makes the film commendable.<br/><br/>Farhan Akhtar's tough physical training for this role pays great dividends on screen. The races look pretty convincing because of Farhan's effort and soon you find yourself cheering for Milkha, if not loudly in the movie-hall then at-least in your head.<br/><br/>The non-linear narrative of the film keeps the movie engrossing, so although you know the basic outline of the story, you can't really guess what would happen next. The story is narrated by Milkha's coach Gurudev Singh played brilliantly Pavan Malhotra by who first recognizes the Milkha Singh's talent.<br/><br/>The women in Milkha Singh's life play a very important role, be it his elder sister (played by Divya Dutta)who single handedly brings Milkha up, or the love of his life (Sonam Kapoor) who is the reason why he changes his unruly ways. Although one must add, that the part where Milkha goes on a romp after a party with Stella(Rebecca Brooks) during the 1956 Melbourne Games does look a bit forced.<br/><br/>Some people may have qualms with the dance sequences but personally they were quite enjoyable and didn't jar the narrative. Keep an eye out for the song with Sonam Kapoor who plays Milkha Singh's love interest in the film. The shot with them both on top of a bridge with green, swiftly flowing water below was captured beautifully.<br/><br/>The director Rakeysh Omprakash Mehra has a signature style which is apparent like from his previous films- Rang De Basanti and Delhi-6. He can merge music and visuals to great effect. Although in some scenes a little bit of restraint in the stylistic details and drama could have certainly helped.<br/><br/>To emerge as a world leading athlete from India just after independence, when I suppose sports facilities weren't great, with the scars of the partition deep in his mind is some achievement. We salute you Milkha Singh! One must commend the efforts of the filmmakers to bring the story to us."
"andre_rox99","Null","64","83","12 July 2013"," Truly Inspiring... Bhaag Milkha!
","BHAAG MILKHA BHAAG is a biopic directed by Rakyesh Omprakash Mehra, starring Farhan Akthar and Sonam Kapoor.<br/><br/>The film revolves around the life story of Milkha Singh.<br/><br/>Everyone who is associated with this film has done a GREAT job. The directors... the writers... the actors... EVERYONE. When the first look of Bhaag Milkha Bhaag came, we were shocked how similar Farhan Akthar looked like Milkha Singh, and his acting has showed us that not only is he a GREAT actor, but he can mostly do any role by now. His portrayal of Milkha Singh was outstanding.<br/><br/>The film starts off a BIT slow, but you manage to keep with its pace. Inspite of the film being 3h10m, you never feel bored; instead, you find yourself stuck in the world of Milkhaji- poverty, love and speed.<br/><br/>The replay value of this film is very high. Its very entertaining.<br/><br/>The acting, as said above, is very good. Other than Farhan Akthar delivering an award-winning performance, every other actor did a great job. Sonam Kapoor didn't have much to do in the screenplay, but she did it quite well.<br/><br/>The film does depend on each person's likes and tastes. A person who enjoys watching the so-called 'masala' flicks, may not enjoy this film due to its different type of story compared to other films. Also, people who can't sit in cinemas for a VERY long time may get annoyed at the fact that its a 3h10m film.<br/><br/>But Overall, Bhaag Milkha Bhaag is an award-winning film. It shows us the life of Milkha Singh through his very own eyes and deserves a standing ovation for its performances, writing and direction. Truly Inspiring...<br/><br/>Bhaag Milkha Bhaag!- 10/10"
"abhishas_bhan-64-896825","10","12","13","16 July 2013"," Farhan Akhter deserves a National award for this!!!
","Well I was not excited enough for this movie, but when the trailers started coming and then the music, my curiosity began to flourish little bit. But the main reason I went to saw this movie was because I heard almost 50-60 review from my friends and not even single person had a negative review against it. And when I saw this, it really blew me away because it had many mixtures which made this movie work. First of all FARHAN AKHTER is at its best, no doubt its his best performance till date. It was like we were seeing real Milkha Singh on screen. Divya Dutta is awesome, Pavan Malhotra, Yograj Singh & Prakash Raj have really performed well. Sonam Kapoor is completely waste though her role was very little, so you won't miss her. Rebecca Breeds looks fabulous, Dilip Tahil as Jawahar Lal Nehru was not a master stroke. Screenplay was good, music was fabulous and the background score really kept the life in each and every scene. Rakesh Omprakash Mehra's best work till date also. YOU DARE TO MISS THIS ONE ON YOUR OWN RISK !!!"
"meenendrac","Null","42","53","12 July 2013"," Heroism, dedication and roar of an Indian wounded Lion....Bhaag Milkha Bhaag
","If Milkha Singh is a ""Hero"" this movie is Heroic! This Biopic have been excellently crafted by Rakeysh Omprakash Mehra, nicely scripted by Prasoon Joshi, storytelling is nice and sequence of events have been placed aptly. It makes you laugh, it makes you cry and it makes you feel empathetic for Milkha, his partition affected fellows and communities. Right from the word 'go' till finish this flick will keep you glued to your seats. <br/><br/>Brilliantly performed by Farhan Akhtar along with other co-stars, with a special mention for Pavan Malhotra (Gurudev Singh, Milkha's initial trainer & coach). Full marks to Farhan for his efforts, acting, dedication for the role, for getting completely into the skin of Milkha Singh and for being an authentic Milkha! To me, it would be no surprise if he fetches a National Award for this role! <br/><br/>Milkha Singh runs against turbulent times of his life and establishes world records; conquers not just medals for India, but Indian hearts too! A big salute and cheers for this national hero!<br/><br/>This is a true tribute to this Indian, Flying Sikh! <br/><br/>And, if you want to be inspired, motivated and get a going in your personal life then go for it!"
"saytosandeep","8","44","57","12 July 2013"," MY REVIEW: Run Farhan Run!!
","Bhaag Milkha Bhaag works for two basic reasons. One it is based on the story of a sports person whose personal life is dramatic enough to keep you engaged apart from its racing track achievements and second it is played by Farhan Akhtar who plays his role as if he is really Milkha Singh himself. Farhan Akhtar excels playing Milkha Singh like Ben Kingsley excelled playing Gandhi. Farhan Akhtar seems to be enjoying every bit of the movie. When he runs, he runs like a tiger. When he dances, he dances like a pure Punjabi. When he loves, he loves with innocence and passion. Farhan Akhtar can easily be given all best actor awards of 2013. All supporting actors give their best. Divya Dutta is excellent, Sonam Kapoor looks fresh, Pawan Malhotra and Parkash Raj's performance are heartwarming. Music by Shankar Ehsaan Loy is first rate and awe inspiring. Rakeyesh Omprakash Mehra like an expert captain provides movie its uniqueness, technical perfection, soul and purpose. Like an every fantastic experience, this also comes with its dull moments. Movie takes around extra half an hour before reaching to its finale. Rangrezz song could have been avoided and prolonged sequences of Milkha's achievements could have been shortened. Dilip Tahil playing Pandit Nehru looks like a missed stroke. At the end, you can safely say, you had a great time running with Farhan Akhtar for more than 3 hours. Run to your nearest theater now to watch this powerful biopic."
"uditsharma420","10","31","39","12 July 2013"," bhaag milkha bhaag will make u stun !!!!!!!!!!!!!
","wow wow wow ! what a movie BHAAG MILKHA BHAAG ! this movie is exceptional, the best biography that i have ever witnessed whether in Hollywood or bollywood! just watch it ! rather make it compulsory for the students of class 9-12 so that they could understand the anguish and agony of being motivated and in turn achieve what u actually desire! the movie is completely abt what MILKHA SINGH WAS ! he was an athlete ??? no ! he was something beyond we have known to him ! if i say that the best bollywood movie of all time then believe me i am telling the truth ! Farhan Akhtar is the soul of the movie, this movie completely revolves around him and his desire to achieve success and struggle in life ! he is my favorite after this one ! all the other cast have been great and done justice to their roles. sonam had a little to do but she contributed well ! from direction to screen play , cinematography to acting everything worth watching ! a 200 minute movie needs at least a time of more than 3.5 hrs to watch it , but one would not move from the seat after entering into the theater ! hats off to whole cast and crew ! **********(10 stars)"
"nairtejas","8","42","55","12 July 2013"," Milkha Singh Has Won. So Has The Biographical Film. Everybody Rise! ♦ 80%
","In less than ten minutes into the film, you get goosebumps all over your body. You get into high-spirits and then the story of The Flying Sikh begins...<br/><br/>It talks more about perseverance and how man can excel even in the worst conditions than the actual atheltic history. Milkha Singh, wonderfully portrayed by the talented Farhan Akhtar is one character that induces inspiration. Akhtar now has totally proved himself as a successful actor. His demeanor is appreciable and the film does showcase his hard-work. Supporting cast is very good as well. But, the actresses were sidelined which is very apt for a bio-film.<br/><br/>Most of the story is told in flashbacks and there is where the screenplay works. It grabs your attention. The childhood story MAY bore you a little, but every other biopic has to be honest. Much like last year's Paan Singh Tomar, BMB does have lots of surprises in store. The relation of every detail is astronomical and very well adapted. Fresh writing, inventive editing & below-average SFX/CGI makes me wanna give it a humble 8.0/10.<br/><br/>The songs & score are energetic which do cause an urge that we run with the athletes on-screen. That is the power of Rakeysh O Mehra and his crew. I was blown away by Akhtar's bod and his expressions. Humor touches the script at times, as well.<br/><br/>Overall, an entertaining biography which is well-written and well- executed. Only, the running time of 190 minutes COULD'VE... could've been shortened. Otherwise, everybody rise for this cinema of massive potential.<br/><br/>BOTTOM LINE: A very good entertainer with mentoring prowess. It feels good that the team has brought an epitome into reel. Kudos!<br/><br/>Can be watched with a typical Indian family? YES<br/><br/>Profanity: No | Nudity: Mild | Sex/Foreplay/Mouth-Kiss: Mild | Violence/Gore: Strong | Alcohol: Mild | Smoking/Drugs: No"
