"username","rating","helpful","total","date","title","review"
"mbbilbo","9","38","42","29 July 2007"," Fairly authentic and very much like Fort Polk in the early 70s.
","While it was filmed at a Florida National Guard site, ""Tigerland"" totally reminded me of Fort Polk, LA., firing ranges, maneuver areas, waist-deep water and all. The movie was fairly authentic and the characters similar to those same ones at my AIT in 1974. The difference between the Tigerland year, 1971, and mine of 1974 is all the drill sergeants and instructors knew they weren't going back to Vietnam, as it was pretty much all over, so training was very relaxed - not a challenge at all. That was the precursor to all our troubles in the 70s and 80s, which I know for a fact as I stayed in until 2004. I never heard anyone mention ""Tigerland"" but the Army did have realistic Vietnam training villages at different bases across the U.S. Vietnam Vets tell me that up to 1972 Basic & AIT could be pretty rough and rugged, because the trainers had been there and were mandated to train Vietnam-bound men those skills to make it, although that was not always the case. Both a drill sergeant at Polk and later one of my Vietnam Vet NCOs, when we had become instructors at a basic training brigade at Fort Bliss, told me there was nothing they could do to get anyone ready and people just had to find out and figure out for themselves. This movie rates high."
"Lechuguilla","8","25","29","21 January 2010"," Rebel With A Cause
","American military authority is the enemy for Pvt. Roland Bozz (Colin Farrell), a nonconformist trainee who, along with other infantry trainees, endures brutal, sadistic treatment in preparation for combat in Vietnam. Tigerland is a swampy, steamy camp near Fort Polk, Louisiana that is supposed to simulate conditions in Vietnam. The story is set in 1971.<br/><br/>The amount and severity of physical and verbal aggression displayed in this film may be a tad overstated. But the point the film is making is that many, if not most, of the young guys drafted into the army in the late 60s and early 70s absolutely did not want, or deserve, to be there.<br/><br/>Roland Bozz is one of those young men. He's angry at the war, angry at the army. The army won't release him because they know that's what he wants. If Bozz can't get himself out, the next best thing is to try and get other recruits out. That will be his revenge, his way to fight the system.<br/><br/>A fellow trainee shares his background with Bozz, who then tells the trainee: ""I know army regulations the way prisoners know the law. You're a hardship discharge, man, if ever I saw one. Okay. I'll get you out of the army"". Bravo for Roland Bozz, a young rebel with a mission, a cause, trapped like the others by an oppressive, controlling institution.<br/><br/>Acting is very, very good. Colin Farrell is terrific, at a time when he, and the rest of the cast, was largely unknown. No need for overpaid A-list actors. The film's acting style trends naturalistic, spontaneous, and emotionally intense. None of the acting seems forced.<br/><br/>With a hand-held camera, combined with grainy film stock, and using quick zooms and unexpected cuts, the cinematography and editing convey a documentary look and feel, which results in sequences that are quite realistic. Lighting is mostly natural. Sets are plain and unadorned. Background music is minimal.<br/><br/>Much better than I ever expected, ""Tigerland"" is a well-made film with an intense, anti-war theme. It's about putting others ahead of one's own selfish interest. That Hollywood largely shunned this low-budget film is all the more reason to see it."
"bob the moo","Null","37","46","13 March 2004"," Not exactly original but an engaging drama based on real life experience, gritty atmosphere and some good performances
","Tiger Land is a tough training camp for the US military.  In 1971 it is the final step before the squads go to the war in Vietnam.  In training before Tiger Land, one squad of young men is joined by troublemaker Roland Bozz, who continues his military trend of dissention and insubordination. However, his actions do not just affect him and he starts to change his ways slightly, but the stresses and the potential for death in Vietnam push all the men to breaking point.<br/><br/>Sold as a war movie, this film is more like the first half of Full Metal Jacket than a full on war movie set in a combat zone.  As such it plays more like a drama than any sort of antiwar movie or outright thriller.  The focus of the film is the character of Bozz as told from the biographical point of view of Paxton.  The events of the film are pretty predictable for anyone who has seen this type of film before - the internal fights, the crazy soldiers, the domineering sergeant majors etc.  However it still manages to be enjoyable and entertaining even if it never really feels original or new. It is a pretty nondescript film with no specific edge on it - and that is part of the reason I think it really didn't do that good business when it was released here in the UK.  It relies very heavily on the characters to keep the audience involved in the story and preventing it being seen as just a collection of old ideas; this aspect is helped by the fact that it is drawing on original material, experiences and people.<br/><br/>A much bigger part of the characters being engaging is the playing of them by the cast.  Farrell is the lead actor and is miles ahead of everyone else. This film is one of many that made him the star he now is, and he does deserve it off the back of this and he is really good here - coming across as likeable and difficult.  Outside of him, everyone plays well but are generally in their various stereotypes; aside from Farrell, Collins is the standout role - too often seen playing gang bangers and such on TV cops shows, he delivers a solid character and presents a believable breakdown over the course of the film.<br/><br/>Keeping my habit of never paying to see an Schumacher film since Batman & Robin took the last faith in his talent, I waited for this to come onto TV. I was surprised however to see that Schumacher managed to do the film without spoiling it - in fact he came across as rather able!  He uses mainly handheld cameras and delivers a gritty feel to the whole film that is fitting to the material.  I hate to admit it, but he actually did a reasonable job here and he has now done a couple of films that he hasn't ruined in one way or another!  I may have to change my mind about not paying for his films - well, maybe not.<br/><br/>Overall this is a rather undistinguished film but one that is enjoyable as a character driven drama, trading on the usual clichés of the genre.  It goes where you more or less expect it to but it goes there and takes you with it. Farrell makes a good leading man and on this evidence he is worthy of leading man status where he has good support."
"ERasmussen14","9","71","93","15 May 2005"," Not really a war movie.
","I thoroughly enjoyed this movie, but it is nothing new.<br/><br/>Everyone here is grouping it with other war movies, this movie has been miscategorized! Its not a war movie any more than ""One flew over the cuckoos nest"" is a asylum movie or ""Cool Hand Luke"" is a prison movie. This is a movie about individuality, nonconformity, self-confidence and the costs of that personality type.<br/><br/>The plot is the same as ""One flew over the Cuckoos nest"" and ""Cool Hand Luke"", its in GOOD company, and it holds its own. Its these movies it should be held up against and compared, not ""Apocalypse Now"" or ""Platoon"".<br/><br/>Eric"
"Libretio","6","27","35","31 January 2005"," Gritty Vietnam-era drama invites critical accolades
","TIGERLAND <br/><br/>Aspect ratio: 1.85:1<br/><br/>Sound format: Dolby Digital<br/><br/>Louisiana, 1971: During basic training, a rebellious army conscript (Colin Farrell) causes dissension within the ranks.<br/><br/>Given Joel Schumacher's reputation as a schlockmeister par excellence, most critics were caught off-guard by this low-budget drama, filmed without any of the frills and fripperies normally associated with Hollywood blockbusters, and headlined by little more than obscure (but hugely experienced) character actors and talented newcomers, including Farrell, whose bravura performance launched him to international stardom. Far removed from the extravagant Vietnam-operas favored by Francis Ford Coppola and Oliver Stone, Schumacher's film examines the contradictions of war and the dehumanizing effect of combat on ordinary men through the experiences of Farrell's anti-hero, a compassionate man who despises the self-serving patriotic nonsense peddled by his superiors, and who refuses to compromise his own ideals, despite the sometimes painful repercussions of his disobedience.<br/><br/>Though backed by a major studio, TIGERLAND has the look and feel of a low-budget indie production, using hand-held camera-work and grainy film-stock for documentary effect, and this uncompromising 'Dogme'-like approach allows Schumacher to focus his attention on the characters and their situation rather than the pyrotechnics which usually dominate such movies. Farrell may be the star of the show, but he's matched by debut actor Matthew Davis (BLOODRAYNE) as his closest friend and fellow combatant, an aspiring writer who volunteered for duty and who favors intellect and reason over Farrell's reckless bravado. Fine supporting cast, excellent technical credits."
"crisperidge","10","22","28","28 October 2004"," Amazing, touching, bone-chilling
","I had an uncle who committed suicide after serving in Vietnam because of mental problems he experienced after coming back. So when I saw part of this movie one night on a pay-for-view channel I was intrigued. I wanted to know what my uncle went through and felt as he got ready for Vietnam. I went out and rented this movie and I have to say it is the most heart-wrenching film I have ever seen. I bought the DVD immediately after renting it. The way it pulls you in so many different directions emotionally is something I've never experienced with any other film. As far as Vietnam subject films go, I think it is the best one, although Platoon runs a close second. Besides all of that, I think it is also Colin Farrell's best performance as an actor. I like him in most of his movies but in this one he was incredible. I gave this a 10 rating because it is one of my top five favorite movies."
"george.schmidt","Null","18","23","28 April 2004"," Schumacher's best effort thus far
","TIGERLAND (2000) ***1/2 Colin Farrell, Matthew Davis, Clifton Collins, Jr., Thomas Guiry, Shea Whigham, Russell Richardson, Nick Searcy, Afemo Omilani, James McDonald, Keith Ewell, Arian Ash, Haven Gaston, Cole Hauser. Filmmaker Joel Schumacher makes an audacious attempt to rekindle his directing juices in this low-budget semi-independent film about Vietnam with a cast of unknowns that works remarkably well. Set circa 1971 Louisiana in a special Army training camp for new recruits prior to shipment in the ongoing war and told in flashback by one of the survivors the film centers its bare bones plot around the able shoulders of Irish newcomer Farrell in a potential star-making turn as Private Roland Bozz (think 'One Flew Over the Cuckoo's Nest' in fatigues and you get the overall impression), a feckless troublemaker of his platoon whose antics have a method to his madness: keeping yourself alive despite the odds. Raw and uncompromising are best suited to describe the film's gist and in particular its focus of Bozz leading his comrades in arms through their hellish grunt duty prior to their fated dooms. Original and smartly written by Ross Klaven and Michael McGruther giving their characters a fresh spin on an all too familiar genre with humanity at its core."
"preppy-3","8","32","46","2 December 2002"," Very good
","War drama that takes place in Louisiana in 1971.  It follows a bunch of recruits through basic training and then Tigerland--an accurate portrayal of Vietnam on American soil, before they're shipped over.  It focuses on two men--Booz (Colin Farrell) and Paxton (Matthew Davis)...how they meet, become friends and deal with a corwardly squadron leader (Clifton Collins Jr.) and a borderline psycho (Shea Wingham).<br/><br/>A surprisingly non-commercial film directed by Joel Schumacher.  He uses a hand-held camera throughout most of the movie and uses digital video for the combat scenes.  It works very well--the film looks gritty (as it should) and uncomfortably realistic.<br/><br/>Farrell successfully covers up his Irish brogue and adopts a pretty convincing Southern accent.  His performance is just superb--he's an extremely talented young man.  Davis, unfortunately, is not that good.  He's tall, muscular, very handsome--and very bland.  The rest of the cast however is just great.<br/><br/>This film was thrown away by its studio.  It had no stars in it, a familar story and was considered ""just another war film"".  It only played a week in Boston!  It's well worth catching on video or DVD.<br/><br/>Also, Farrell and Davis have a lengthy nude scene."
"Movie-12","8","21","33","31 January 2001"," Another risky movie from Joel Schumacher; good technical qualities and great acting. ***1/2 (out of four)
","TIGERLAND / (2000) ***1/2 (out of four)<br/><br/>By Blake French:<br/><br/>	Throughout the years audiences have seen and understood war films with every point of view possible, and somehow producers and writers always come up with new and innovative methods of portraying various soldiers on the battlefield. Joel Schumacher (""8MM,"" ""A Time to Kill""), easily one of the riskiest directors currently working, has found resemblance with ""The Thin Red Line"" in the way his new drama ""Tigerland"" steps in an individual soldier's shoes. This movie, written by Ross Klavan and Michael McGuther, has more guts and irony than ""The Thin Red Line"" or even ""Saving Private Ryan."" Although the movie's dramatic impact is somewhat lessened due to the perversity of the material present, it certainly enlightens us on a new perspective of young men training for war. <br/><br/>	I would want to know Joel Schumacher's experiences with the army. Are the men really this unabashed and brutal? I am sure some of them are, but the movie views its uncompromising world through the eyes of a young man named Roland Bozz (Colin Farrell), who is rebellious against the ideas of war. His personality instantly counteracts with several other characters, one who becomes his best friend, Paxton (Matthew Davis), and another, Wilson (Russell Richardson), whose flamed temper often exasperates Bozz's tension with the idea of going to war. The war depicted in this production is not found on a battlefield, but on training grounds of a Louisiana-based instruction camp between conceptions and fears of the soldiers in training. This film is specifically about the preparation for war, nothing more nothing less. It ends when the soldiers finally go to war, kind of disappointing since witnessing the characters in action would have served as a supurb payoff. <br/><br/>	 Shot on location in about 28 days using 16mm stock and a minuscule budget, Joel Schumacher accurately displays a gritty, perverse, cruel, and unmerciful atmosphere using hand-held cinematography, unique lighting techniques and direct sound. Schumacher's grainy and blown-out images make the movie feel like a documentary feature. This unusual style of filmmaking only contributes to the hard core realism of the movie, quite graphic in its use of coarse language, perhaps a little too disturbing. Waves of four-letter words pound the audience, some in shock of what they are hearing. Even the extreme amount of vulgarism does not keep the dialogue from prevailing as heartbreaking, true, and emotional.<br/><br/>	If anything, ""Tigerland"" provides us with a minor appreciation of how much our soldiers go through for our country in the beginning stages of combat. Such bravery must it take to enlist in the army during times of war, knowing the hardships and risks that are being taken. Such thought-provoking ideas are made possible through the heartbreaking performances by the young aspiring actors who portray the various trainees. This movie is not for all audiences, but one that young men should take a look at before enlisting themselves in the army...and adult audiences should watch to appreciate the courage needed to do such."
"denryter18919","3","14","21","24 September 2009"," Not very accurate
","It's been awhile since I saw it and would not waste my time watching it again but as a Nam vet and NCO who went through Tigerland twice, once as a trainee and once as a training sergeant, this movie was very disappointing. Not real historically accurate on many fronts. Most importantly this whole deal about Bozz being such an individualist and non conformist is pure nonsense. The whole point of military training, especially for combat infantry is to eliminate individualism and get everyone playing on the same team. There is no room for non conformity in combat. Our combat units could not be effective if we had any doubt of what to expect from the guy or the unit next to us. Guys like the Bozz character depicted in this movie end up in the stockade or at least get run out of combat units. Although not technically a war movie because it covers only training for war, it is a movie whose central theme is about Vietnam and on that note I found it to be the second worst Vietnam genre movie behind only that miserable piece of garbage, Tunnel Rats."
