"username","rating","helpful","total","date","title","review"
"Jared_Andrews","8","169","198","24 December 2017"," Not a Mockery, It's a Celebration of Two Men Pursuing Their Dream
","Going into the theater, I was under the impression that this was a silly James Franco and Seth Rogen movie that made fun of The Room, a legendary bad movie. That's not what the Disaster Artist is at all. Instead, it celebrates The Room. It celebrates Tommy Wiseau, Greg Sestero, their passion, and their pursuit of a dream. <br/><br/> Sure, The Disaster Artist comments on how The Room bombed terribly; it had to acknowledge this. It comments on the utter lack of acting talent that Tommy and Greg possessed; it had to acknowledge this too. But it handles these details with such delicacy and care that I never felt that it was putting down the characters. Actually, it seemed that the film admired them. Even when the world told them to quit, they never gave up on themselves or each other. The message is surprisingly inspiring. <br/><br/> The movie becomes something more than mere mockery because of the way it handles the relationship between Tommy and Greg with such care and affection. The two genuinely liked each other and saw each other in ways that no one else did. Greg certainly did not understand all of Tommy's methods and decisions, but he understood Tommy's good intentions. Establishing this buddy connection is crucial later in the movie. <br/><br/>After Tommy writes The Room and they begin filming, Tommy expresses his idiosyncrasies in full force. While the film crew sees him as a confusing weirdo, we know there's something more. Despite his utter incompetence in directing and acting and all aspects of filmmaking, we still root him. And we still root for Greg, ever the supportive friend. Tommy makes absurd and confounding choices that don't make sense to Greg and they don't make sense to anyone else either. Even one of Tommy's explanations was simply ""people do crazy things."" Still, Greg remains loyal. <br/><br/>With as strange as Wiseau behaves, capturing his eccentricities would clearly prove challenging. Give James Franco credit for capturing Wiseau's weirdness in character without ever devolving into derisive mockery. Franco captures his gait, stiff shoulders, hunched posture, indeterminable and inconsistent accent, and his laugh. Watching The Room and hearing Tommy Wiseau laugh, I thought that it sounded completely fake. I chalked it up to another instance of poor acting. But after seeing Wiseau in interviews, I realized that it was his real laugh. To him, the laugh wasn't poor acting because that's what he thinks a genuine laugh sounds like. <br/><br/> Seeing and hearing Wiseau behaving as himself explains a lot about his behavior in The Room. He's just an interesting and very unusual guy. His acting and the acting of others in his movie is still atrocious, but it shifts from startlingly and confusingly bad to understandably bad. And more importantly, seeing the real Tommy makes his movie all the more fun. <br/><br/> You don't need to see The Room to enjoy The Disaster Artist. Would it help? Sure. Seeing The Room first makes many of the inside jokes made in The Disaster Artist funnier and gives a clearer sense of how confoundingly weird the movie truly is. Words cannot do it justice. To understand, you have to see The Room for yourself. I recommend seeing both."
"danielledecolombie","8","198","243","8 December 2017"," James Franco breaks new ground
","Ed Wood was Stanley Kubrick compared to Tommy Wiseau but James Franco treats him with such loving care that we can connect with his humanity without letting his eccentricities pull us away from him. That, I think, was the most moving aspect of this outrageous true life tale. James Franco is spectacular keeping it true and real in a character that lent itself for caricature. Dave Franco, James's brother in real life is the most believable instant soulmate of the James Dean wannabe. Seth Rogen is also perfect as the one knows that they're in for a major disaster and yet sees the whole thing to the bitter end. I must confess I hadn't heard of The Room but now it's on top of my list of films I want to see next."
"jackcwelch23","8","97","128","18 November 2017"," A funny, sincere and heartfelt story of chasing your dreams.
","Having been lucky enough to get tickets to the Australian premiere of The Disaster Artist with Greg Sestero himself in attendance, I was excited and eager to watch this amazing story. A comprehensive look at the making of what might be the most perplexing piece of cinema ever. I was not disappointed. James Franco is so spot on in his portrayal of Tommy's quirks and character its actually surreal. His first scene having him enter an acting class with the confidence of a rockstar but the talent of a fingerless piano player. Almost all of his endearingly strange lines had the audience laughing their heads off. I tip my hat to him and hopefully the Oscars come calling. He deserves to be nominated. <br/><br/>That presents a problem as well. He makes Tommy too likeable. While he was humanised to a certain extent and some solid insight was given into his motivations and feelings, it has to be acknowledged the real Tommy was far more obnoxious, manipulative and plain nasty. It was hard to present an accurate portrait of him as James Franco focuses more on his quirks and his charm and his tyrannical side was a bit glossed over. Nonetheless I gave him a pass and still loved watching him. And hey, you can't say Tommy isn't sincere. Other changes were made to the story and some plot points fictionalised, but that's the case in nearly every adaptation so that was to be expected. It did capture the spirit of the story and was never boring or slow paced, though it wouldn't have hurt to be a little longer either. Dave Franco does an excellent job as Greg, playing him a little more naive and optimistic than his real life counterpart (the real Greg knew he was not making a good movie, while this Greg seems a little more deluded.) but like the real Greg was so likeable and warm you just wanted him to succeed. <br/><br/>The film's supporting characters are perfectly cast as well, with Seth Rogen playing a straight man role as Sandy the stunned script supervisor along with several comedians and famous actors popping up left right and centre. The making of the movie is the most enjoyable part and is seriously funny. One of the biggest laughs in the cinema was Josh Hutcherson's first appearance as the room's most peculiar character, Denny, goofy haircut and shirt intact. It was also great to see that Ari Graynor and Jacki Weaver, playing Juliette Danielle's Lisa and Carolyn Minnott's Claudette from the movie respectively, are portrayed as strong willed and thick skinned people who nobly put up with some of the worst working conditions for an actor imaginable. No water or air conditioning combined with gratuitous belly button sex would have probably broken others but they soldiered on.<br/><br/>Overall it's a hilarious and genuinely moving account of an insane true story. It softens the darker edges a bit too much and I would have loved it to have included some even crazier parts of the book that didn't make the cut but what we're left with is still an excellent and enjoyable movie. OH HI MARK!"
"TwistedMango","8","75","102","28 November 2017"," Loving pastiche of a cult film catastrophe
","Greg Sestero and Tommy Wiseau met at a San Francisco acting class in 1998. A young, nervous model, Greg was amazed by the bombastic, crazed performances of Tommy. Greg agreed to be his scene partner and had soon moved to Tommy's LA apartment on a peppercorn rent.<br/><br/>As Greg started to find some success as an actor in Hollywood, a jealous Tommy decided to make himself a star, pumping six million dollars into a film he wrote, directed, produced and played the male lead. Greg was given a supporting role, and the cult 'best worst movie ever made' The Room was born.<br/><br/>Like many others, my experience with The Room began watching with friends, before cinema screenings and listening to audiobook The Disaster Artist written by Tom Bissell and Greg Sestero himself. This book is revelatory not just for its depiction of the massive tensions on the set of The Room as Tommy's behaviour cost him crew after crew, but in showing the strange, interdependent friendship of Tommy and Greg.<br/><br/>The Disaster Artist film adaptation plays off the ironic success of The Room, now played to packed midnight screenings in a manner akin to The Rocky Picture Show. It is also able to deftly pit the emotional core of the film Greg (Dave Franco), against the force of nature that is Tommy Wiseau (played by James Franco).<br/><br/>James Franco is able to capture some of the bizarreness of Tommy, most memorably in a scene where Tommy prances around naked while bellowing orders at an enraged crew. Franco has finally found the role where he can be as weird as he likes, thanks to Tommy's unplaceable accent, black locks, missing millions, and unwavering narcissism.<br/><br/>The script is a lighter version of the downright madness Greg Sesestro recalled, and while amusing before shooting of The Room starts it could have done with some more of that deranged bent. Seth Rogen also comes into The Disaster Artist at this point, and is a highlight as the bemused script supervisor Sandy.<br/><br/>What is an enjoyable film takes on a whole new level at the premiere, as the loving homages to The Room comes to life. Seeing James Franco do his take on 'you're tearing me apart!' and the many other classics is a reminder of what makes watching The Room so hilarious in the first place.<br/><br/>The Disaster Artist has huge fun imitating scenes of The Room, even showing their recreation side by side with the original (one with HD cameras and the other in 35mm, a nod to Wiseau's inexplicable decision to shoot in both formats simultaneously).<br/><br/>It's clear the Franco brothers love The Room and its cult fans. This film is unashamedly made for them, talking head celebrities opening The Disaster Artist by waxing lyrical about their own obsession with Wiseau's 'masterpiece'. As one of the converted to the 'so bad it's enjoyable' this made the film all the better, though I also questioned how much crossover appeal The Disaster Artist will ever have to those with no previous knowledge of The Room.<br/><br/>The most obvious comparison to The Disaster Artist is Tim Burton's Ed Wood, a biopic of the director who made the notoriously awful Plan 9 From Outer Space. While both are ready to mock their subject's failures, Franco and Burton also have a clear admiration for their subject's tenacity. We can all deride Tommy Wiseau, but what feature film have you made recently?"
"paul-allaer","7","60","83","9 December 2017"," ""I Do Not Choose To Be a Common Man""
","""The Disaster Artist"" (2017 release; 103 min.) brings the real-life story of how the 2003 cult movie ""The Room"" got made. As the movie opens, a number of current day movie stars, including Kirsten Bell, Adam Scott. J.J. Abrams and others gush about the virtues of this ""so bad, that it's so good"" movie. We then shift to ""San Francisco, July 13, 1998"" when Tommy Wiseau and Greg Sestero meet at an acting class and strike up a friendship. Later that year, they decide on w him to move to Los Angeles, where Tommy somehow has kept an apartment. Tommy and Greg pursue their dream of becoming an actor (inspired by James Dean, among others), but when it's becoming clear that nobody wants to do anything with them, they decide to make their own film... At this point, we are 15 min. into the movie, but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.<br/><br/>Couple of comments: this movie is a labor of love primarily by James Franco, who directs, co-produces, and stars as Tommy. His brother Dave co-stars as Greg. The real life story is so beyond anything believable that if this were a work of fiction, it would immediately be dismissed as just that. Let me state upfront that I have not seen ""The Room"" (although I see it frequently listed as a midnight listing at my local art-house theater). From everything we witness in ""The Disaster Artist"", Tommy is so incredibly inapt yet convinced of his own talent, it reminds me of those American Idol auditions back in the day where certain contestants think they are super good yet they were horrible. Another similarity is the Meryl Streep movie ""Florence Foster Jenkins"" (about a real life wealthy NY socialite who thinks she sings well and nobody dares to contradict her, leading to a notorious Carnegie Hall concert). James Franco does an outstanding job in the lead role, and I'm going to predict that he will get a number of nominations in the upcoming awards season. It isn't until the very end of the movie (when scenes from the original ""The Room"" are played in parallel with the recreated scenes for ""The Disaster Artist"") that one gets a sense how incredibly meticulous Franco has been in recreating them down to the last detail. Absolutely amazing. Last but certainly not least, the movie features a bunch of other well-known performers, some of them in very noticeable roles (such as Seth Rogen and Alison Brie), and others in ""blink and you'll miss it"" roles (such as Sharon Stone, Zoey Deutch, Zac Efron, etc.). In an early scene of the movie, when Tommy and Greg become unlikely friends, they head over to Tommy's place, and Greg notices a prominent sign on the apartment's wall: ""I Do Not Choose To Be a Common Man"". Whatever you think of Tommy, he certainly is not your ""common man""!<br/><br/>""The Disaster Artist"" opened this weekend at my local art-house theater here in Cincinnati on not one, but two screens (a rarity). The Friday evening screening where i saw this at was attended very nicely, I;'m happy to report. The audience roared with laughter on many occasions. The positive word-of-mouth this movie surely will generate makes it likely to have long legs at the box office (at least within the art-house theater circuit). If you are in the mood for something truly different, I encourage you to check out ""The Disaster Artist"", be it in the theater, on VOD, or eventually on DVD/Blu-ray."
"Jeremy_Urquhart","8","71","103","20 November 2017"," An absolute must-watch for fans of The Room
","So yeah, The Room is pretty well-known by now, becoming just about the most popular 'so bad it's good' film of all time over the last six or seven years, as has the story behind it- as detailed in Greg Sestero's book, The Disaster Artist.<br/><br/>So being a fan of both, I had a good idea of what I was in for, approaching the James Franco directed The Disaster Artist, but I'm pleased to say the film ended up meeting my expectations and then some.<br/><br/>First things first: James Franco's performance in this is incredible. His accent and mannerisms are a spot-on imitation of Wiseau's, and he manages to make you feel sympathy towards the character too. It's one thing to so directly portray such a unique individual and make doing so incredibly funny, but it's another thing entirely to make him feel (almost) like a real person, and to make you genuinely care for him. I'm not exaggerating when I say that I truly think this performance is worth an Academy Award nomination (fingers crossed).<br/><br/>Everyone else was good too. Dave Franco had a less flashy role than his brother's, sure, playing Greg Sestero, but he did a good job as the more grounded, 'straight man' type character. And some of the casting was genius too- I could list almost everybody, but special mention should go to Josh Hutcherson, Zac Efron, and Jacki Weaver.<br/><br/>Also worth mentioning is how well the cast and crew recreated the look of the original The Room- the mannerisms of the actors, the set design, the lighting, the camera-work- it's all perfect. It makes the film an impressive technical achievement in many regards; not simply a funny film with inspired casting and good performances.<br/><br/>As for downsides? There aren't a whole bunch. Perhaps the most significant is that this may not have a great deal of appeal beyond those who've watched and loved The Room already. I'm sure it would still function as a good film, but it might lack something for those who aren't already indoctrinated into the cult of The Room. Other nitpicks I could think of may be that the film is fairly conventional in terms of plot- not a ton of surprises here (other than maybe a few cameos throughout). And it feels a tiny bit longer than just over 100 minutes- but again, that's a nitpick. I am more or less struggling to think of too much that I personally didn't like with this film.<br/><br/>So as a long time fan of The Room, this is about as good as I hoped it could be. I hope I'm wrong in my views that the audience for this will be limited, and that it does have appeal beyond hardcore fans of The Room. And hey, if there's enough buzz behind it to allow for James Franco to earn an Oscar nomination, then that would be fantastic.<br/><br/>And deserved (in my opinion).<br/><br/>This is one of the most pleasant surprises of the film year so far, and second only to Tim Burton's Ed Wood in the (admittedly probably non-existent) sub-genre of films about making terrible movies.<br/><br/>If you've ever watched The Room, or even just watched some of its scenes on Youtube, make sure you don't miss this one."
"Jared9001","10","82","121","8 December 2017"," An incredible REAL Hollywood MOVIE
","The Disaster Artist is absolutely incredible. I don't want to go into detail because honestly this is one of those movies that is best seen relatively blind. What I will say is that the performances are great, the chemistry between Tommy and Greg is pitch perfect, and Seth Rogen and the rest of the supporting cast do an excellent job. The tone of the film is absolutely spot on. The last scene of this movie, and what comes after the end card, absolutely blew me away; this film is so much fun. I just saw this movie, and I already want to see it again. I rarely say this, but I can't think of literally anything this movie could've done differently that would've made it better. Everything it set out to do is done incredibly well. I highly, highly recommend this film. 10/10"
"TheJediWay9","8","72","107","15 November 2017"," A Hilarious Dramedy About The Art Of How Not To Make A Movie
","""The Disaster Artist"" is a true story based on the making of the notoriously bad cult film ""The Room,"" directed by Tommy Wiseasu. Wiseau is played by James Franco and Wiseau's friend Greg Sestero is played by Dave Franco. This was interesting, because I had heard so much about ""the Room"" and its cult status as one of the worst movies ever made. The trailer for the Disaster Artist was really intriguing, and I walked out pretty pleased.<br/><br/>This movie has the Franco Brothers and Seth Rogen, and we all know the reputation that comes with them. They make stoner comedies and basically all play the same characters in every movie they're in. That is not the case here. All of those clich̩s from those movies that we see from these guys are thrown out of the window. It was a nice change of pace and pleasant surprise for all of these guys after watching their work and seeing the same stale comedies delivered to audiences.<br/><br/>I also wouldn't ""technically"" categorize this movie as a ""comedy."" It's definitely more of a dramedy with comedic scenes mixed in, but this is because Tommy Wiseau, who is so magnificently played by James Franco in what is probably his best performance to date (yes I went there), is such a weird, mysterious, eccentric, and strange individual that his words and actions and his weird passion to make a movie come off as comedic. It's the more intense drama scenes that really work well within this movie. I will add that the comedic scenes shown the trailer are not the only funny scenes in the movie. There's definitely more humor in the movie aside from those scenes.<br/><br/>My issue with this movie really just comes down to pacing. It took a while for the buildup, and I get it, it's character development and you have to explain the relationship between Tommy and Greg, and that's character development, but it just felt a little too long. There were instances where I was checking my watch and thought to myself ""i thought Seth Rogen was in this movie."" I would also say that the character of Amber, played by Alison Brie, really didn't move the story forward all that much and I felt like she wasn't needed.<br/><br/>Overall, I enjoyed it. Laughed my ass off in some parts. Both Francos and Seth Rogen for that matter are really good in the movie, it's a behind the scenes type of movie that shows you how not to make a movie. I thought they did a really good job of capturing just how strange and determined Tommy Wiseasu was.<br/><br/>I am going to give ""The Disaster Artist"" a B+.<br/><br/>Check out my review of ""The Disaster Artist"" here on YouTube: https://www.youtube.com/watch?v=bT5-PfMK180"
"Joetampa90","6","81","130","17 December 2017"," Hollow
","There was an odd buzz surrounding this film, that in my opinion was totally unmerited. It just scratches the surface of the story and embellishes some things. I'm someone who is not a fan of The Room because, well it's really bad. That being said I really wanted to see what Franco had to offer here as far as unpacking what the hell caused the debacle of a film. Really Disaster Artist was an empty look and borders on biography and parody. I found the end to be very very overdone and from what I know, entirely fabricated."
"CANpatbuck3664","8","42","66","9 December 2017"," The Disaster Artist is a Funny and Informative Look at a Spectacularly Bad Movie
","The Room is one of those movies that is like a right of passage. If you're a fan of campy movies or you want to call yourself a movie lover, you have to watch it. I watched it just to prepare for The Disaster Artist. I thought there's no way its as bad as people say. Ya... it really is. I didn't fall in love with it as Franco and his friends obviously have but I wasn't angry while I was watching it. There are some moments where you can't help but laugh (I did naaaat! Oh hi Mark) and there were many times where I couldn't help but cover my face because of how awkward it gets (any part where anyone imitates a chicken). But it is the definition of awful film making. I just felt sorry for everyone involved, they obviously threw everything they had into it, they just didn't have the required talent to pull it off. Having seen The Disaster Artist, those suspicions are now confirmed.<br/><br/>The Disaster Artist is really Greg's account of how crazy the process of making The Room was and how his friendship with Tommy developed. I think you'll get the most out of this movie if you have seen The Room because with all the behind-the-scenes stories, it gives context to how the bizarre choices in the movie happened. This is effective because you can't help but ask yourself who thought making this movie was a good idea? after you've seen The Room. From Tommy's new style of on camera love making to why they replicated the alley from outside of the studio to film in rather than the actual alley, you find out why. I've seen movies that delve in deeper to the process of how to make a movie but I enjoyed this all the same.<br/><br/>The biggest surprise of this movie is they are so heartfelt when they really delve into Tommy's psyche and his relationship with Greg. I have to echo Seth Rogen when he said that it would have been really easy to just relentlessly mock Wiseau and call him a freak. There's a scene with Bob Odenkirk and a room full of acting students where they address that. But Tommy wants to be the hero so badly that you feel sorry for him. Although he isn't always the good guy, he really went for it and that is admirable. His friendship with Greg also is heartwarming. At the beginning of the movie, every time Greg was hanging out with Tommy I wanted to yell STRANGER DANGER! But you can see why these guys would be friends and when Greg consoles Tommy in the end, its a really nice moment and it highlights one of the big strengths of the film.<br/><br/>If you haven't seen The Room, the first thing that's going to grab your attention in the trailer is how wacky James Francos is playing Tommy Wiseau. If you have seen The Room, you know how close he is to Tommy as he nails his accent, his style and his weird mannerisms. Some people have suggested a Best Actor nomination but I don't know if I'd go that far. He gives a funny and engaging lead performance. Dave Franco is just as good as Greg Sistero. He's great at playing a very innocent and starstruck young actor who finds a kindred spirit in Tommy. Dave's a better actor than he's given credit for and he's both funny and sincere in this movie. Past those two lead performances, this movie is a parade of famous actors in supporting roles or cameos. Seth Rogen is really funny as Sandy, he's the one who calls Tommy out on his bizarre behaviour the most. Alison Brie is decent in her small role as Amber. Jacki Weaver and Ari Graynor were both amusing and sweet. My favourites of the cameos were Zac Efron and Josh Hutcherson as a way to intense Chis-R and a completely miscast Denny.<br/><br/>The hype around this movie was enormous and while I am generally a fan of the Franco brothers, Rogen and they're troop of friends, the only negative is that while this movie is funny, it still fell a little short in the comedy department. I got a couple of really big laughs but it was mostly just chuckles throughout. Almost all of the best parts are when they are directly skewering a specifically awful part of The Room so the parts exclusively dealing with Tommy and Greg outside of the movie can drag a little.<br/><br/>The Disaster Artist is a love letter to The Room and all the unintentional laughter it inspires. It gives you some insight into how this movie caught lightening in a bottle in delivering a horrific product that people could still enjoy. To add on that, you get some good performances, a laundry list of funny celebrities making cameos and a nice story of enduring friendship. The Disaster Artist isn't my favourite movie of the year but I enjoyed it enough to give it an 8/10. I'd recommend it to fans of The Room, campy cinema or the Judd Apatow stable of comedians."
