"username","rating","helpful","total","date","title","review"
"WindWoman3","10","198","225","5 June 2004"," A Classic
","""Glory"" is a modern film classic that highlights a little-known chapter of the Civil War.<br/><br/>I recently purchased the DVD, and was just as moved (if not more so) as the first time I saw it.<br/><br/>Broderick, Freeman, and Washington, along with a stellar cast play it faultlessly. I still remember the brouhaha over the casting of Matthew Broderick as Shaw, and I see that even now some IMDb posters single him out for fault in ""Glory."" Sorry, but I disagree. One should remember that the real Col. Shaw was a young man in his mid-20s - hardly a grizzled old veteran - despite his high rank. Broderick actually does bear a resemblance to Shaw, and shouldn't be criticized for his boyish looks. I felt every nuance of the burden he carried, and thought Broderick did a wonderful job.<br/><br/>Denzel Washington's powerful acting may never again have a showcase like it did in ""Glory."" His beauty, rage, and pride scream in every frame. His Oscar for this break-out role was highly deserved. Trip's character is really the distillation of what this film is all about: the black man's heart-rending battle for worth, recognition, and dignity. As far as I'm concerned no one BUT Washington could have played Trip. Thank God for Denzel!<br/><br/>Morgan Freeman is the film's human core. His quiet compassion and leadership keeps the soldiers focused. His one angry confrontation with Trip proves he has the goods to back up a field promotion to Sergeant Major.<br/><br/>Freeman (an appropriate reminder of where surnames come from) is the father figure the regiment desperately needs in a time of death and crisis. The men look to him for his calming wisdom and reasonable, fair demeanor.<br/><br/>Films like ""Saving Private Ryan"" raised the technical bar for battle scenes.<br/><br/>The fighting scenes in ""Glory"" are, unfortunately, it's weakest element. The staging and choreography are mediocre at best. And other than a scene where the 54th Massachusetts is given a hero's flanking onto the battlefield beaches of South Carolina, these shots don't emotionally engage the viewer. Still, in the end, ""Glory"" isn't about big, noisy battles. It's about the transcendence of the human spirit in the face of bigotry, bad treatment, and almost certain death. It's about a watershed moment in our bloody history that elevated us all and must never be forgotten.<br/><br/>""Glory"" is, indeed, glorious."
"4ize","10","128","147","22 April 1999"," Memorable and moving - truly glorious
","Easily the best Civil War movie ever produced, and among the front rank of all war movies. Filled with memorable and moving scenes - the look of sheer defiance on Trip's (Denzel Washington) face as his already scarred back is whipped, the men of the 54th telling their stories around the campfire on the eve of battle, Shaw (Matthew Broderick) turning loose his horse on the beach before Ft. Wagner. History is brought to life more vividly in this film than in any big-budget all-star cast epic I can recall. Most often , those films only succeed in collapsing under their own weight and leaving audiences more turned off about history. Glory brings the issues of the time - slavery, freedom and sacrifice - down to human scale. We can understand why the men of the 54th were willing to take up arms, and how tragic it was that they had to sacrifice their lives in order to be considered men."
"SteakSalad_101","10","81","92","9 March 2007"," This is the definition of a truly great war movie.
","To be quite honest, I had low expectations for ""Glory."" It was just another boring day at school sitting in my history class drawing random drawings in my notebook. Suddenly my teacher says we're going to watch a movie. I wake up from my dreamy state and I decide I'll give it a chance. He loads the VCR tape into the machine and I fix my eyes upon the screen.<br/><br/>I will put ""Glory"" into a few words--this is what every war movie strives to be and beyond. Glory tells the story of a Civil War colonel (Matthew Broderick) who leads the war's first all-black volunteer regimen into battles and discovers along the way he has to confront the moral question of racial prejudice within, and outside of, his regimen.<br/><br/>So as I'm sitting in history class watching ""Glory,"" I immediately begin to perk up. From the explosive first scene, I was fully awake. My luck skyrocketed when I discovered two of my all-time favorite actors in the film, Morgan Freeman and Denzel Washington. The movie progressed and I found myself becoming yet more and more drawn into the film--not just watching it, but actually EXPERIENCING every ounce of war, prejudice, and moral questions that face the characters in the movie.<br/><br/>What's even more, is that you find yourself becoming attached to ALL of the characters--every single black soldier--in some strange way, so strange, that when these men fall in battle you feel a jolt of power inside of you that is converted to emotional sadness in your mind.<br/><br/>The final scenes in Glory are mesmerizing. No, more than that--utterly spectacular. The final battle scene at Fort Wagner is so amazingly shot you will think you're actually there fighting along with the black regimen. You're not in your seat watching the film--you feel like you're there! The final battle scene is so spectacular, it will easily remain one of the most memorable battle scenes I've ever witnessed in all of film. After watching Glory, you will find yourself truly moved in all ways possible. You will almost feel like a new person.<br/><br/>All of this paired with a beautiful score by James Horner, Glory is simply one of the best war movies of all-time. Anyone who misses this film is missing out one of the most powerful, moving, and memorable experiences a movie can bring you.<br/><br/>I'm so glad I found myself in history this year."
"Agent10","10","123","149","9 July 2002"," A terribly underrated film which deserved better
","With one of the best ensemble casts of all time, this ranks as one of the best war films of all time. With a collection of great black actors like no other, everything seemed to work well in this film, from the cinematography to the acting. Edward Zwick created a masterpiece, which, in any other year, would have swept most of the major awards. Sadly, this did not even make the AFI Top 100 so inferior movies could squeeze in. In my opinion, the likes of Born on the Fourth of July and Driving Miss Daisy were vastly inferior to this film during the 1990 Academy Awards. I mean, how the heck were films like Dead Poets Society and My Left Foot nominated for best picture when  this one wasn't? (sure they were good films, but c'mon)<br/><br/>Matthew Broderick completely surprised me with his performance, as well as Cary Elwes. And one cannot forget the likes of Denzel Washington, and Morgan Freeman giving great performances as soldiers weary of being the Union's lackeys. While the historical accuracy may not be perfect, as least this was a tribute to those who helped emancipate the slaves during the Civil War."
"soapfan84","9","82","100","9 September 2004"," One of the most intricately perfect films
","This is an ambitious film and is successful in everything it sets out to accomplish. Glory does not rely on the visual aspects to accomplish its perfection, but rather it relies on the emotional to convey its message and humanity. This is a film that managed to get some of the best actors of our time, as well as, withdraw from these actors their best abilities. While the film does show the realities and horror of war, especially when it involves good people thrown in, it captures the viewers attention by making us empathetic, as opposed to simply sympathetic. The score of the film is done by the brilliant James Horner, which compliments the film, but at times envelops the film completely. Director Zwick shows the various levels of humanity, one scene can display the blunt bravery of these men, and yet the next scene reminds us how scared and how human these men are. I wish I could write a paragraph on each actor, but I must mention Matthew Broderick, Morgan Freeman, Denzel Washingtion, Andre Braugher, Cary Elwes, and Jihmi Kennedy. The characters of this film are wonderfully well-developed and the relationships between these men adds a dimension that is rarely seen in modern films. Each performance is Oscar-calibur, overall, this is a film that should now be ranked as a classic for all time. Simply amazing."
"solar_son","10","97","120","19 September 2002"," STILL The Best Civil War Movie To Date!
","This movie falls into the ""must see"" category for historical dramas.  Much like the films Saving Private Ryan and Last of the Mohicans, Glory stands as the war film to beat for its time period.<br/><br/>Glory arguably contains the most technically realistic and memorable Civil War reenactment scenes ever shot.  Who didn't wince and watch in horror when Shaw and his regiment were blown to bits during the Antietam scene (which I would guess it was the West Woods portion of the Antietam battle??)?  Who didn't feel uplifted when the 54th cuts down the Confederate cavalry charge which foolishly thought it would be no problem to break the lines of an inexperienced -and black- regiment?  And finally, who didn't watch with solemn pride the dramatic climax of the Fort Wagner assault.<br/><br/>This movie shows that even though the men were treated as (even below) second class citizens by their own country and army, they still had the integrity and honor to fight the best they could for the Union - and eachother.  That's why those men in the 54th and every other black regiment stood out from the rest.  They must have known of America's potential even before America did and fought to develop that and win black people the dignity and respect they always deserved but never got.  Glory puts that struggle on film for us to experience - and doesn't disappoint."
"Brad K.","Null","122","158","21 March 1999"," Stunning, the best war movie ever.
","My favorite movies to watch are probably war movies.  I've seen many great films.  From the Vietnam war (Platoon, Full Metal Jacket, Hamburger Hill, The Deer Hunter) to World War II (Saving Private Ryan, When Trumpets Fade, The Thin Red Line).  But the best war film comes from the Civil War.  Glory is an incredible film.  It's about the 54th regiment for the Union, the first all black regiment.  Matthew Broderick (Ferris Bueller's Day Off, Godzilla) stars as Robert Shaw, a white man in command of the regiment. Cary Elwes (The Princess Bride, Kiss the Girls) is his second in command. Denzel Washington (The Siege, Courage Under Fire) is magnificent as a runaway slave in the 54th.  The always-great Morgan Freeman (Seven, Deep Impact) is superb as a spiritual leader of the soldiers.  In my mind, the film has no faults.  Broderick has been the main criticism by some people. I have to disagree.  Broderick (though a bit young-looking) gives a wonderful performance.  Cary Elwes has been an underrated actor his whole career.  The same goes for Glory because his great supporting performance was widely ignored.  James Horner delivers a haunting score which adds so much to the movie.  A must see."
"eadaoin7","10","25","31","28 January 2006"," More Than My Words Could Praise, The History Glorifies Itself
","I find this one of my most difficult reviews to write. Even as I sit here for what must be the 206th viewing, I marvel, as acutely as I did in the very first viewing, that this tale has the compelling and overwhelming power to touch aesthetically, viscerally, profoundly and emotionally my sense of pride,injustice, soul. Even if this were not a true story, I would still recommend this movie to everyone with awe and reverence. And even as I watch, there is goose-flesh and damp eyes. As there always is...<br/><br/>Based on the letters compiled and only two reference books (including ""One Gallant Rush"" by Peter Burchard, which I proudly own), this tells the tale of the heretofore largely unknown 54th Massachusetts Infantry, the first Afro-American regimen in American history during the Civil War. Colonel Robert Gould Shaw was a 26-year old bright eyed Bostonian who was chosen by favor to lead the ""first colored regimen"" at the apex of the Civil War. Matthew Broderick portrays Col. Shaw as accurately as possible, bringing the youth and zeal of the real Shaw to grand light. He was truly overwhelmed by the thought of leading the troops, but idealistic and optimistic enough to give it everything he had and to make his family and title proud. Broderick never loses sight of the simple fact that Shaw was humble and grateful for every advancement he was given. Although in reality the 54th was compiled of mostly free black men from upper New England, Denzel Washington is cast as the runaway slave Trip who brings his grudges and injustices to the troop. He portrays a slave who is on a personal mission to hurt those who have hurt him (if you know about the history of slavery, one can hardly blame him), but in the process hurts himself all the more until by rote he learns to channel his hate into determination, and by his actions is humiliated and beaten down to the point that he can only rise up like a griffin and prove that he is as much a soldier as the rest of them. The 'whipping scene' in which you see him go through that exact process, every emotion known to a man culminating in a quiver of the cheek, a single tear escaping, and eyes that shred, plea, hate, mourn, haunt. That Denzel could convey that with a role that could have easily been a stereotype deserves more praise that I can type. Morgan Freeman is a man of quiet yet profound dignity that carries him in every role he plays, and this time as Rawlins is no exception. He is a victim of prejudice, but still carries his own as a man. He is there for his men as a leader even before being officially decorated, but he is not above reaching out to Shaw to help his men simply because Shaw is yet another white authority--he helps the cause, no matter the colors. And that cause is so much more than the War, which I will explain further below...<br/><br/>The score by the wunderkind James Horner is Majesty in every literary definition of the word. I know that if I'm ever stressed and need a release, all I have to do is pop in a CD of this score, listen for only a few minutes, and I will be sobbing. In my humble opinion he has yet to top himself with his work in this picture. From the subtle ache of a single horn to the swelling of the Harlem Boys' Choir and their keening voices that beg us to remember forever.<br/><br/>I won't break down the actors, directing or anything individually any more than I have because that's not the intention of this film. It's not a star vehicle, but rather hundreds of people coming together to tell a story they believe in. And as such, deserve to be praised as a whole, which only proves how well they've done their work. But some scenes cannot escape the psyche...The morning after they've been read a proclamation stating that they will be put to death, black and white, if caught bearing Union arms, and there they stand as a unit for roll call, not one man deserting, at attention for duty, prouder and taller than ever...The aforementioned Corporal Punishment scene (which, by the way, was the same punishment white officers would suffer if they deserted as well)...The charge on Fort Wagner--Shaw finally returning to the seashore he so loved all his life for what he knows in his heart is the last time, feeling home again and yet feeling already a walking spectre--Rawlins with a divine inner pride in his eyes marching toward the fort as Thomas looks to the others and Trip with no longer the mad lashing-out force to kill but the aggravated determination to win--the company as a whole marching into Fate with a gallant unified step...<br/><br/>The true meaning of ""hero"" is in the heart of a man who faces even death if it will prove himself a man, not only to others but to himself. This lies true for every person in that brave pioneering regimen, black and white. They didn't just die for their country or their rights, but for their own personal honors and faiths as human beings who are deserved of dignity. The likes of which this country will never see again, but must not fall into obscurity. At the heart, and in my heart, this is not a story of men, but what it means to be a man. And the sacrifice it sometimes takes to become one and prove yourself one. <br/><br/>We as a Nation, as Earth, should thank the 54th for that beautiful lesson. This pristine film will guarantee it so."
"reve_121","9","59","80","23 December 2004"," Emotional experience
","There are few military films which allow us, the viewer, to explore our feelings and emotions on the total war experience. Glory, Patton, The Longest Day, explore and create great emotional value. Many more try to cash in on our emotional appeal as a commodity. Yeah, we'll watch Braveheart, Saving Private Ryan, The Patriot, Black Hawk Down, etc.,, and i hate to blasphemy these good, visually effective movies, but Glory is not out to exploit those senses. I love a good blow up movie, except not the actual movie BlowUP. Regards to Antonioni.<br/><br/>Now take two anti-scenes as i like to call them. Denzel getting whipped. Kills me every time, those eyes of his, staring at Col. Shaw. Hate filled. The other ""colored"" soldiers are standing around watching not in acceptance as soldiers, but in acceptance as a sort of slave to the union. And we're wondering, will they be upset. Will the black soldiers try to leave again. Will they rise up in anger. There is a not only misunderstanding between the officers and the enlisted, but an absolute distrust. The officers are equal to the slave owners. <br/><br/>My anit-scene is much later in the film. The soldiers have gathered around a fire and are praying to God, before battle. No imagery, just total emotion. Praising the Lord they know. Asking and praying, But not a single dissent about serving in the white man's army now. The have formed a proud military unit. Something most of us will never understand. And there is my emotional experience. Something i never imagined was part of the Civil War. The truth is I am compelled to feel too many emotions while watching this film. I would recommend this to anyone. and especially to those in the south."
"walsh-22","10","14","17","2 August 2007"," Very emotional film to watch
","I find it sad that no-one really knew about the 54th Maschusetts till this film came out. I certainly had no idea about the 54th and never knew there were black soldiers fighting in the war which to me is shocking. Those soldiers may not have taken Fort Wagner but they were brave and didn't flinch from the duty they volunteered for, no matter the treatment they endured by their own side.<br/><br/>The film has many multi-layered strands that are explored in this movie. One, this had never been done before, black soldiers fighting in the war and they had a lot more to prove than the white soldiers. Totally unfair. <br/><br/>Two, they had death threats from the Confederate Army who said they would not capture them but kill them on sight. <br/><br/>Three, the racism they faced in their own army. The Northerners liked to think they were better than the Southerners because they didn't have slaves and they would never treat them the way the Southerners did but they were just as bad as the South and this is shown in the film when the black soldiers are denied boots, uniforms, they are used for manual labour and don't see any fighting and are given less wages than the white soldiers. <br/><br/>Then we have the stories of soldiers where we see them grow into completely different people to when the film started. The actors are in one word, brilliant. I can't stop raving about them. I wouldn't like to say more because I can't put into any other meaningful words how well they fit into the characters.<br/><br/>Colonel Robert Gould Shaw (Matthew Broderick) finds himself overwhelmed with the responsibility of getting the men up to the task but at times finds himself doubting his abilities. There has been made mention Broderick's age and acting in this film but he was the perfect actor to play the role. For one, he looks like Shaw and for another, he was about the age Shaw was when he was given command. He plays Shaw just right, not too understated and not too over the top.<br/><br/>Rawlins (Morgan Freeman) is the wise man who is like a father figure to the soldiers who rely on him and also Shaw looks to Rawlins for his advice on the men.<br/><br/>Trip (Denzel Washington) starts off defiant. He wants to fight in the war but he also is scarred by his past as a slave and doesn't trust Shaw or any other white man. I didn't think I would feel any compassion about him as he is nasty to some of his fellow soldiers but I grew to like him very much and you see a softer side to him near the end when he admits to his fellow soldiers they are the only family he has now. I like to think at the end, he trusted Shaw because he picks up the colours which he said he didn't want to do when asked by Shaw earlier in the film.<br/><br/>Thomas (Andre Braugher) is a free black man who has lived in the North for most, if not, all of his life. He has never been a slave but is well educated and finds himself an outsider in the regiment because he has had an easier life then his fellow soldiers but you see him grow up in this film, he starts off as a little boy but by the end of it, he is a man who can face anything.<br/><br/>Major Forbes (Cary Elwes) knows that there is no-way the Army will let them fight and you can see how he genuinely cares for these men. He and Shaw find it hard to establish a different type of relationship with Thomas then they are used to as before they were friends.<br/><br/>This is a very emotional film to watch. It has many highs and lows and you have these foreboding feelings in the pit of your stomach when Shaw volunteers his men for basically, a suicide mission to Fort Wagner. You know that these men you have watched from the beginning and have rooted for will die and it is hard to watch when it happens. The scene that particularly upsets me is when these brave, courageous soldiers are dead, they are just chucked into a mass grave and the most moving scene for me is when the dead bodies of Trip and Shaw are thrown together in the mass grave. That had me in tears the most.<br/><br/>The 54th got praise for what they did at Fort Wagner and after but they were treated very badly, they were not invited to the parades to welcome the soldiers back at the end of the war and there was no help given to them to recover from it either. It does highlight that racism occurred in the military, not just in this war but in other wars before and after the American Civil War where people of different colour were treated as if they were not even human.<br/><br/>Love the film but if you're a girl, you will need tissues by your side."
