"username","rating","helpful","total","date","title","review"
"burlesonjesse5","7","20","22","11 May 2014"," Hangover III wraps things up quite nicely
","Well I guess it's official, I'm eating my words as we speak. Yeah, I'm the guy who doesn't like sequels and yet here I am giving positive ratings to Star Trek Into Darkness and now The Hangover Part III. It's scary to think of what I might do next. If the new Fast and the Furious movie impresses me, I guess I'll just skip reviewing it and go straight into denial. But seriously folks, I went into the new Hangover with really low expectations. We're talking bottom feeder if you know what I mean. So from now on I think that's the key. I'm going to take this approach with every film I see. That way I'll stroll out of the theater as a movie critic that raves about everything and comes off as not so darn grumpy. Whoa, forget what I just said. I was merely kidding people!<br/><br/>Anyway, here's what occurs in part III. At the very beginning, we find mentally unstable ""wolfpack"" member Alan (Zach Galifianakis getting the most exposure he's had in any of the Hangover films) buying a giraffe, putting it in the back of his truck, and killing it on the freeway (I'm thinking you know how it happened). Upon doing this, he irritates his family and draws concern from the other ""wolfpack"" members (Bradley Cooper, Ed Helms, Justin Bartha). Everyone but Alan, stages an intervention on his behalf to get him to a treatment center somewhere in Arizona. He'll agree to go if his three buds will drive him there. As the four of them set out on a moderately short road trip, their car is rammed off the road, they are dragged out of it (held at gunpoint mind you), and one of the crew (Bartha of course) is taken hostage. This sets off a chain of events which leads everybody to venture back to good old Sin City.<br/><br/>Well let's get down to it. Right off the bat I want to let you know why I liked The Hangover Part III. I enjoyed it for the exact reason that some critics panned it. This flick doesn't try to be like the other two in the trilogy. In fact, it feels like a totally different animal all together. Yes there is a dash of the funny (something part I did effortlessly and part II attempted miserably), but there's also a hint of darkness that comes close to turning everything into a sort of black comedy with shards of mild violence. For me, this is an effective way to wrap things up (unless there is a part IV of course). You can tell that the director (Todd Phillips) wanted to avoid copping out and injected part III with a little more juice (this is the other reason I liked it and most critics didn't. They think Phillips went way over the top or felt he had to prove something). He did the film justice by avoiding the same tired plot line (everyone gets smashed and wakes up not knowing what the heck just happened) while making an effort to tie together loose ends from the other two movies (by way of flashbacks). This is done to effect in the first 15 minutes and it sets everything in motion.<br/><br/>The actors then promptly assume their personalities from the first two installments. Doug Billings who's never around for the debauchery, plays the happily married nice guy. Alan, plays the screw loose, borderline mental patient who nonchalantly goes about his business. Phil, is the smug, unhappily married school teacher who is calm under pressure, and Stu is the manic anxiety ridden dentist who thinks all hope is gone. Together they fit their roles like comfortable old shoes. Overall their performances are manically unhinged. You get what's required of them coupled with a fresher more potently nasty script this time around (part II's had lazy written all over it).<br/><br/>As far as supporting work goes, I thought John Goodman (gangster Marshall) was a nice little addition to the Hangover family (he riffs off his Big Lebowski character but just not quite as intense). I also like the addition of a love interest for Alan (someone besides man crush Phil) in Melissa McCarthy. She seems to make a cameo in everything these days and certainly is a hoot as a pawn shop owner who candidly berates her wheelchair confined mother.<br/><br/>The only setback for this Hangover is the blatant deviation from the focus of the four stars of the movie (the infamous ""wolfpack""). This exercise is bent on giving two supporting characters their own vehicle (Ken Jeong as Mr. Chow and Galifianakis). True these guys are funny and steal many a scene, but the other members of the cast don't get a lot of room to breathe. They get kind of pushed to the side and become sort of frowned upon (Bradley Cooper recently got nominated for an Oscar, give him some props for gosh sakes). And what's with always having Justin Bartha's character not present with the other members of the ""pack"" when the madness of their misadventures is going down. It seems predetermined and silly. What, is he not good enough an actor to occupy some precious screen time with his buddies (Bartha was in the colossal flop Gigli (2003) so maybe that's it, who knows).<br/><br/>When it all comes down to it, I found myself at ease with the way part III whisked by. It's darker than the first one, funnier than the second one, and more daring than both of them. I laughed, I winced, and felt confident in recommending this hot mess of a movie. It's a sequel all right, but it tries really hard not to be one. I admire that. With nothing to lose, you should go check out The Hangover part III. It's a solid time killer and a required ""hair of the dog"" if you will."
"ThePhantomMovieBuff","7","31","36","6 September 2013"," The Hangover becomes Mission Impossible
","Not so long ago in the year 2009, The Hangover exploded onto the scene and was praised as one of the funniest films of the decade, with its witty cast and the hilarious ""re-tracing our footsteps to find out what we did"" routine running as the main plot. The Hangover Part II simply changed nothing at all, and offered nothing new with the attitude of ""if it ain't broke, don't fix it."" What will please fan's the most with The Hangover Part III, is that is does not follow the same formula that the first two did. However, a lot of fan's will be headed into disappointment when they realize that this third instalment decides to take a completely different change in direction than that of its predecessors. And by completely, I mean very much drastically.<br/><br/>The story follows the Wolf Pack yet again as they try to help Alan (Zach Galifianakis) get back on track due to him being off his meds, and soon enough they get thrown into a Mission Impossible-esque mission to save their friend Doug (Justin Bartha, who yet again takes a miss on all the excitement) from Marshall (John Goodman), an angry gangster who wants' the Wolf Pack to find Chow (Ken Jeong, who has a much larger screen time in this instalment) and return to him to them with 21 million dollars in gold bricks that he stole. If not, Doug gets the offing. <br/><br/>A major plot point is the development of Alan. His friends Phil and Stu (Bradley Cooper and Ed Helms) are mature and grown men who have happily settled down, but he is still very much stuck as a spoilt rotten teenager within a man's body, and his life is going nowhere. Throughout the adventure, it really is a tale about Alan and watching him grow into the man he should have become years ago. Fans of The Hangover owe it to themselves to watch it, whatever their final opinion of it may be.<br/><br/>Whereas The Hangover Part III doesn't match the quality of its first part, it definitely doesn't deserve all the negativity it has been getting. The film does a good job of balancing the well known Hangover humour with the Mission Impossible-esque set pieces, and all the recurring stars do well reprising their roles. One of the biggest changes that The Hangover Part III entails is that there is no actual drinking/hangover sequence. There's also no wedding or no missing person (or a pot smoking monkey). Instead, it plays it much straighter and it knows what it wants to set out to do, which is to stray far away from the formula of the first two chapters. And by doing so, it makes the finale to The Hangover Trilogy one to remember.<br/><br/>My Verdict: The Hangover Part III is a fitting end to the trilogy, but despite its changes in directions fans will be divided, resulting in a love or hate for this final chapter."
"snapsnjays15","8","28","34","25 May 2014"," Do Not Listen To All these Negative Reviews!!
","I thoroughly enjoyed this movie!! While it was not as good as the first, It still was a very funny and enjoyable movie! If you Like the hangover series, you will like this film. Zach Galafinakis once again stole the show, and MR CHOW was also brilliant. Again I do not know why there are so many negative reviews. Of course this is no Oscar winner, but it was still a great comedy movie in my opinion. I enjoyed it a lot, and have watched it several times since first seeing it! Do not listen to all of these negative reviews, go and watch it! I have come on IMDb so many times to check a movie and see all then negative reviews, and almost pass on watching a movie. Don't let this happen with hangovver 3! Excellent film. 8/10"
"Jaylonpahsetopah2","9","30","38","15 May 2014"," What's all the fuss about?!?!?!?!
","Really?? Terrible?!?!?! it was amazing! If it was even about a Hangover, then you guys would be mad saying ""It's exactly like the first"" that's what the whine on number 2 was about! It has a great plot, a great story, great actors HILARIOUS ENDING AFTER THE CREDITS!<br/><br/>And a great ending to the wolf pack journey. It doesn't has a lot of sexual material, so it goes where the average R rated hit movie dares to go, with hilarious material without being fully sexual. And it has a lot of fresh new jokes that wasn't from the first (unlike number 2)<br/><br/>It's like 21 jump street! Just don't listen to what we think, watch it for yourself!<br/><br/>Then, you can fuss about it OR enjoy it, completely your mind ;)"
"Troy_Campbell","3","255","377","24 May 2013"," Almost completely humourless.
","I'm not going to sugar coat it: this movie stinks. After the gut-busting hilarity of the 2009 original, this comedy franchise has been struck down with a severe case of sequel-itis. The carbon-copy second instalment was stale for the most part yet still managed a handful of laughs thanks to the general funniness of Zach Galifianakis' socially demented Alan; this episode however, is almost completely devoid of humour. The writing has become increasingly reliant on the natural charisma of the headlining star trio - with the plot here being laborious and woefully lazy - and the irritating Chow (Ken Jeong), the weakest link in part one, inexplicably gets even more screen time to screech and make our eardrums bleed. If it weren't for an amusing set piece atop Las Vegas' Caesar Palace hotel and a best-for-last gag during the end credits, I would've given this the one star treatment. I was desperately hoping this series would regain some form and finish with a bang, but unfortunately the wolf-pack's last adventure barely makes a whimper."
"joeybachor","10","22","28","17 October 2013"," All the hate???
","I thought this movie was 2nd best possibly 1st in the trilogy. I hear the term ""no hangover"" that's why it sucked or it was lazy or unfunny but it was a serious drama/comedy the hangover series has a deep story in 3 it all comes together the movie was great I have no clue why people hate it but I recommend it. its a good time. also the hangover part 3 had a lot of original things from the first one so when people say it what out of plot or unoriginal then there Solly mistaken great movie though I hate all the hate on it doesn't deserve the hate it was well done. it even had done good at the box office and some decent reviews so are these hate reviews all from one spam mer or?"
"StevePulaski","3","60","88","26 May 2013"," Lazy, cynical, and mean-spirited - the end could've come sooner
","I watched Todd Phillips' original Hangover film in theaters under normal, unassuming circumstances and walked out believing I had just witnessed a comedic masterpiece. It had the luxury of appearing just funny enough from the trailers and the fact that it was released during the time where the Apatow-esque comedies began to take way after something of a comedy recession. I loved it and believed it was one of the strongest comedies of the last decade. Its sequel, released in 2011, was, to say the least, a colossal disappointment. It featured mostly the same premise, with slight location and plot changes, and wasn't assisted by creativity and curiosity in terms of where the plot was going to go, unlike its predecessor.<br/><br/>And now the inevitable Hangover: Part III is out, which is unworthy of bearing the franchise's name and certainly isn't good enough for the Roman Numerals in its title. This time the film doesn't amplify something that was done previously only significantly better, but instead makes this a cynical, mean-spirited follow-up featuring characters we grew to like in the original but now sort-of can't wait to see gone. The posters for the film boldly claim ""The End"" and my only response is ""You're Late."" The film reunites Phil (Bradley Cooper), Stu (Ed Helms), Doug (Justin Bartha), and Alan (Zach Galifianakis), the notorious ""Wolfpack"" who decides that after Alan's recent stint with a giraffe on a freeway that he needs to be taken to rehab and put back on medication. The four decide to travel to Arizona together, when they are run off the road by Marshall (John Goodman, in perhaps the strongest performance of the entire franchise), a gangster who has been robbed off $21 million worth of gold from Leslie Chow (Ken Jeong). Being that the Wolfpack were close with Chow, Marshall kidnaps Doug and demands that Chow and his gold be returned to him. Cue the barrage of silliness and misunderstandings now.<br/><br/>The main difference between the two previous Hangover films and this third installment is that this one takes an approach more in line with an action film than a comedy. I see something more reminiscent to a Bad Boys III rather than the final installment to a long-running comedy trilogy. Actions scenes evoke the quickest and most irrevocable kind of monotony and with a series that is already beginning to feel like it has been carried out way past its prime, this only cements it.<br/><br/>And if that doesn't turn you off, the belittling mental illness subplot and the animal cruelty will likely do the trick. With Alan being off his medication, the character is given the most screen time in the film. Not to mention, Chow is given much more as well, and if we learn anything, it's that these two characters were better in small doses. Alan's dim-witted comedy and Chow's drug-related witticisms were at one time fun and fresh, but now, stale and flavorless. Furthermore, this is by far one of the most aggressive Hangover pictures in terms of what it portrays as comedy. It must be something of record that a one-hundred minute mainstream movies features the decapitation of a giraffe, the smothering of a rooster, and the poisoning of two dogs in an attempt to create humor. It's a sick, deplorable tactic that Phillips, who has shown his talent for giving characters something fun to talk about, uses in order to drum up either controversy or laughs or both.<br/><br/>Had the original Hangover stood on its own, not possessing sequels of lesser quality leaching off its name, it could've very well become a classic in the next several years. Not only that, it could've been seen as a studio marvel, one that didn't need to ""push the envelope"" with sequels and redundant attempts to break taboos. Alas, it is too late and it's a shame the untold millions the previous sequel grossed and the final installment will inevitably gross are put to two lesser films. I end with the the encompassing hope that the taglines for this film prove prophetic.<br/><br/>Staring: Bradley Cooper, Ed Helms, Zack Galifianakis, Justin Bartha, Ken Jeong, John Goodman, and Mike Epps. Directed by: Todd Phillips."
"umer_uf","5","65","97","24 May 2013"," Only good for few Nostalgia-laughs.
","You know that one joke you tell at every party? It was hilarious the first time you told it. So you kept telling it over and over again. You told your mom, your friends, your wacky uncle and heck you even told it to your baby sister. Each time you tell that joke it lost some of its charm and you know this in your heart, but you keep telling it because it made you someone who was at least bearable at the office party. The Hangover Part III is THAT dreaded, self-destructive joke. <br/><br/>The first The Hangover was a surprise to everyone. It was a smart, engaging and an all-around funny move. It made the three protagonists into overnight stars, along with Mr. Chow (Ken Jeong). Since The Hangover these four guys have experienced great success; Bradley Cooper has been nominated for an Oscar, Ed Helms became a little more then Andy from The Office, and Zach Galifianakis (the funniest of the bunch) starred on HBO's Bored to Death and Ken Jeong is a recurring character on Community. It's no surprise then that The Hangover made these guys in demand, and had the audience craving for more. So what better way to give the masses what they want than bringing the Wolf Pack back together for two more subpar movies. The Hangover Part III brings the crew back together for yet another wacky adventure, this time getting them to go to Tijuana and back to Vegas. There isn't really much to tell you about the plot that you can't figure out yourself. So it makes very little sense to go in any further detail about it, and I can move on to things that worked.<br/><br/>By far the funniest moment during the movie for my money's worth was when some girl in the theater screamed out loud after seeing one of the main character dangle for his life. The whole theater roared, and it was a genuinely hilarious moment. Too bad the same can't be said about the rest of the movie. No doubt there were some funny moments and personally the best bits of the movie were when Melissa Mccarthy was on the screen. Some of the other funniest moments were throwbacks to the original. I found myself doing a lot of ""ooh I remember that from the first movie. Ha ha that reference is funny."" Unfortunately that is all this movie is, it's a reminder of how great The Hangover was and we should nostalgia- laugh (is something I just made up) because we once thought there was no one funnier than Zack Galifianakis. Other than that any original content was drab at best. <br/><br/>The best laughs came from all the supporting characters, and the 'Big 3' it felt like were just there to collect the pay check. Bradly Cooper was by far the worst of the bunch. It's hard to believe that this is the same guy who was nominated for an Oscar not very long ago. Ed Helms and Zack Galifianakis were at least trying.<br/><br/>It was the overall chemistry of the three characters that made the original so great. The Hangover was a perfect recipe of Mac and Cheese where you threw in random ingredients and IT WAS THE BEST MAC AND CHEESE YOU EVER MADE! You tried replicating the original time after time, and tasted nothing but cheese and disappointment. It was just another Mac and Cheese. Sure it was served its purpose of feeding your broke student ass, but you yearned for that perfect gourmet Mac and Cheese fit to serve Gordon Ramsay himself. <br/><br/>The Hangover Part III is not a movie for people who are looking for genuine comedy. There are some very funny moments but the cheap laughs far outnumber the good ones. If you're going in expecting a repeat of The Hangover then don't waste your time and money. If you were disappointed by The Hangover Part II this movie will only throw salt on your wounds. It's sad to see such an initially brilliant trilogy end like this. Hangover 3 was nothing but one last attempt at squeezing every last dollar from the franchise. The Hangover Part III gets 5 nostalgia-laughs out of 10."
"rkRusty","2","129","202","25 May 2013"," A waste of time
","You can't deny the success of the Hangover trilogy and its notoriety, and yet typical of many sequels before it, The Hangover Part III fails at almost every hurdle. From humble and I dare say somewhat original origins from the first Hangover, out is produced a loud-mouthed, vulgar and humourless successor. Little in this film captures attention in an admirable light. Abundant is the nonsensical, violent drive that paved the way for a series of good jokes in the first film, yet now no longer we see the laughs, merely the stupidity left in wake. There is no humour, no sense of longevity beyond a month or two, or even the mildest gesture towards good entertainment. Instead, a monotonous undercurrent of rushed scenes, placid dialogue and exaggerated violence carried throughout makes ""The End"" quite well a heavy thud into in-existence for the Hangover franchise.<br/><br/>Did anybody really expect brilliance? Likely not. Which is good, it should just make this final flick a forgettable yet entertaining encore to the previous films. But it's not. It's just a mess of too much money and a desire for more.<br/><br/>Nothing about this film appeals, nothing makes it worth seeing. Go to the park. Walk the dog. See something else. Just don't waste your time. One day everything will come to an end. Prolong your success with a final, exciting goodbye, or keel over into nothingness as one of the many forgotten films of Hollywood. The Hangover Part III likely won't dent the enjoyment most people think of at the first film, but it has formally announced that this, truly, is ""The End""."
"Michael_Elliott","Null","192","315","23 May 2013"," One of the Laziest Comedies in Recent Memory
","The Hangover Part III (2013) <br/><br/>* 1/2 (out of 4) <br/><br/>Man, if you thought things couldn't get any worse than THE HANGOVER PART II then sadly you were mistaken. The Wolf Pack are back and this time a gangster (John Goodman) are after them because Mr. Chow (Ken Jeong) stole forty-two million in gold. I'm really not going to waste anytime writing out everything going on here in regards to a plot synapses because why should I? It's clear that director and writer Todd Phillips along with stars Bradley Cooper, Ed Helms and Zach Galifianakis just made this thing either for the money or they had some sort of contract that required them to do so. While watching this thing it became rather sad because there simply weren't any laughs but what was worse is that it didn't seem the group were trying to make anything funny. This here is without question one of the laziest comedies I've ever seen because the filmmakers don't even bother to even attempt any laughs and what laughs there are are usually just winks to the first picture. It's really amazing to see how this series has fallen after a clever first film but the old saying that sequels usually end up poorly is certainly true. Cooper, Helms and Galifianakis fit their roles just fine but there's just no energy to be found here. Perhaps even they knew the screenplay was lackluster. Jeong is good in small doses but putting him into so much of this just made his character annoying. Goodman was good in his part but sadly he wasn't given much to do, which is the same for Mike Epps and Heather Graham. THE HANGOVER PART III claims to be the final in an epic series of films and lets pray that it really is. Bad movies happen sometimes even when everyone had their hearts into the project. There's just no evidence here that anyone cared about anything other than money. Part two proved that people would show up no matter how bad it was and the filmmakers got even lazier by delivering something worse."
