"username","rating","helpful","total","date","title","review"
"Holly26547","10","49","51","9 July 2005"," A Woman's Perspective
","This is one of my favorite movies, and the comments of fans on this site notwithstanding, I think it was underrated. From the first time I saw it, it exemplified a personal theory that women (until very recently) rarely see men at their very finest, and that is unfortunately often (obviously not always)in battle. The courage, commitment and humanity that this movie portrays, on both sides of the conflict, moves me to tears every time, and the humanity is key. I don't know enough about the battle to point out any glaring historical inaccuracies, but the acting was exemplary across the board, with Jeff Daniels outstanding. The battle at Little Round Top is one of the finest movie scenes I've witnessed. I particularly like the expressions of respect and awe on the faces of Chamberlin's men when he tells them to ""fix bayonets"". What's striking is that there was no ""good"" choice; there was a clear and compelling objective in a much bigger picture, and this schoolteacher rose to the challenge, and his men went with him. This movie conveys a lot-through the long philosophical discourses and the action-about how people behave when they are inextricably joined with other people, for a cause that they don't fully understand, charged with a responsibility that no individual should bear, and with the desire mainly to return to the way things were before. It conveys a lot about true leadership and sacrifice. It conveys that individual choices and motivations always impact others, sometimes on huge scales. Guys, I don't know if you can convince your wives/girlfriends to cuddle up with this film, but I would make the attempt; there are obviously very ugly things that people did to each other in this and any conflict, but if I ever got a sense of the nobility of men and their push in this world, it was from this film."
"vaughan.birbeck","Null","20","20","5 March 2002"," An amazing battle picture
","A film that runs longer than 'Lawrence of Arabia' and only covers three days of action sounds a long haul but it is not. As someone who is both British and interested rather than an expert on the Civil War I found 'Gettysburg' very satisfying. The prologue makes the objectives of the two armies clear and the 'updates' in the form of dialogue between the commanders mean the viewer doesn't lose sight of the course of events. The battle scenes capture the ""terrible beauty"" of combat, conveying terror, claustrophobia and violence without being too horrific.<br/><br/>More important, the film makes the most of the remarkably rich characters who took part. My only hope is that Col. Chamberlain was as intelligent, humane and courageous in life as Jeff Daniels's performance. This is just one example, and there are many men one would like to know more about as a result of seeing this.<br/><br/>The one question I was left with came from Martin Sheen's portrayal of Lee. I know Lee had been unwell before the battle but Martin Sheen seems strangely remote from events, with a glazed look in his eye and high-pitched 'other worldly' voice. Is this fair and accurate? At least Lee has the moral courage to say ""It's all my fault"" when he sees the result of Pickett's Charge. I don't remember Douglas Haig saying that after the first day on the Somme in 1916."
"glgioia","10","80","88","2 November 2003"," Gets Better Each Time
","Utterly superb dramatization of the turning point battle of the Civil War. A clash so enormous in scale that whoever won, was destined to win the war. Brilliantly directed and screenwritten with top notch moving performances by all. Almost makes you understand why so many people are into those reenactment things. <br/><br/>I think to fully appreciate the more intelligent war films, you almost have to know the battle in detail going in. The movie uses dialogue to try and explain whats happening, but its extremely hard to conceptualize without the aid of graphics. I'm not saying you won't enjoy this film without a firm grasp of the battle details, only that you will enjoy it much more if you are able to do a little reading beforehand. Either way, see it. I am truly amazed by the depth of feeling all these guys were able to put into this project. Daniels and Berenger, in particular, give Oscar caliber performances. A total home run."
"SnugglySoft","10","17","17","9 October 2002"," My favorite movie of all time!
","This is undoubtedly my favorite movie of all time.  Martin Sheen and Jeff Daniels give, in my opinion, the greatest performances of their careers. The music and cinematography is also excellent.<br/><br/>I have heard of complaints that this movie is too long. But to fully understand the story, it takes this much footage to make the movie complete.<br/><br/>
I think that Ronald F. Maxwell did an excellent job in taking ""The Killer Angels"" (the book that the movie is based on) and turning it into a movie. The trilogy of novels surrounding this story i.e. ""Gods and Generals"", ""The Killer Angels"", and ""The Full Measure"" are excellent reads for any war or history buff and I would strongly recommend them.<br/><br/>The battle scenes are also very realistic.  This movie was a dream for every civil war reenactor alive.  Thousands came from across the country to be in this movie.  They were not paid with money, but paid with the chance to reenact their passion for history on the same fields where their ancestors spilled there blood over 100 years ago.  That is a feat in itself.<br/><br/>In conclusion, this movie is a 10.  It makes me cry every time I watch it. The acting, cinematography, and music, make history come to life. Go and see it! Can't wait till ""Gods and Generals"" comes out!"
"shermatz","Null","94","108","23 November 2004"," Gettysburg: All Time Top 10
","I've been reading all the other comments pro & con with great interest, and I just have to add my voice to the ""pro"" side for this ambitious and stirring epic. Gettysburg is indeed one of my ""all time top 10"" movies. I was especially curious to see it on initial theatrical release because of the casting of Martin Sheen as Lee; were I to cast a civil war movie, the name Martin Sheen would NEVER have entered my mind as an appropriate performer for this make-or-break role. To my astonishment, Sheen was MAGNIFICENT in his portrayal of Lee; in appearance, demeanor, and aura of command, Sheen COMPLETELY sold me. A stunning performance from an unexpected casting choice. I agree that ""Gods & Generals"" would have benefited from Sheen's re-casting, though Duvall did his best with the more limited part he was given.<br/><br/>Yeah, I agree that the script tended to a lot of bloviation and speechifying by the principals. I do think we need to make allowance for the fact that in this pre-technological 19th century era portrayed, people DID communicate in ways that seem artificial and awkward by our standards. This was a time when oratory, whether in churches, politics, or general discourse, was valued both as communication and entertainment. So even if the dialogue got a bit overblown, I was more than willing to cut the production some slack. <br/><br/>The beards were a problem for me also, especially poor Tom Berenger's. Still, he (like ALL the lead actors) transcended the limitations and delivered what resonated for me as a credible interpretation of the time and situation. <br/><br/>MANY details of the movie can be nit-picked, and of course, those determined to hate ""Gettysburg"" can always find a reason, rational or not. I was BLOWN AWAY by the quality and passion of this movie from my first theatrical viewing and it was one of the very first DVD's I purchased. After multiple viewings (all 4 hours) I'm still impressed and grateful that Ted Turner had the desire and ambition to tackle such a BIG project that would be sniped at from all corners for eternity. My goodwill extends to the much weaker (but still defensible) ""Gods and Generals""; if they go ahead and produce ""The Last Full Measure,"" I promise I'll be first in line at the movie theater AND pre-order the DVD! <br/><br/>10 out of 10!"
"cariart","Null","60","69","14 March 2004"," Long, but Powerful Epic, Filmed on Location...
","GETTYSBURG, based on Michael Shaara's bestseller, ""The Killer Angels"", is a truly remarkable film, in it's clear, if long, presentation of the Civil War's bloodiest, best-known, yet least understood battle, in it's 'humanizing' of the almost legendary characters of the period, and, most amazingly, for being filmed at the actual locations where the actions took place, in Gettysburg, itself. From Little Round Top to Seminary Ridge, you see the events where they actually occurred, 140 years ago. It is a singular achievement, and Ted Turner deserves credit for making it happen.<br/><br/>Two characters dominate the film; Jeff Daniels, in one of his finest performances, is a likable, totally believable Col. Joshua Lawrence Chamberlain, the Maine ex-schoolteacher who would win the Congressional Medal of Honor; and Tom Berenger, sporting a huge, bushy beard, is a sympathetic 'voice of reason' as Confederate Lt. Gen. James Longstreet, successor to ""Stonewall"" Jackson as Robert E. Lee's field commander. Chamberlain and Longstreet provide the film it's focus, as honorable men attempting to fulfill their duty, while the carnage builds around each of them. <br/><br/>Other memorable performances include Sam Elliott, in a brief but memorable cameo as Brig. Gen. John Buford, the battle-hardened cavalry commander who initiates the battle after guessing the Confederates' objectives at Gettysburg; Richard Jordan, in one of his last appearances before his untimely death, as Brig. Gen. Lewis A. Armistead, facing his best friend in battle; Kevin Conway, as Chamberlain's gruff but likable Irish First Sergeant, Sgt. 'Buster' Kilrain; C. Thomas Howell as Lt. Thomas D. Chamberlain, Joshua's brother, who creates a sense of familial concern for Daniels; and Stephen Lang (who would go on to play Thomas ""Stonewall"" Jackson in GODS AND GENERALS), as an ever-confident, ebullient Maj. Gen. George E. Pickett.<br/><br/>In the pivotal role of Robert E. Lee, Martin Sheen is less effective, lacking Lee's well-documented charisma, and substituting constant world-weary gazes for characterization. Robert Duvall, who assumed the role in GODS AND GENERALS, would be far more credible as Lee.<br/><br/>The sheer numbers of the battle are staggering; over 150,000 combatants, with 53,000 dead, more in a single three-day engagement than were lost during the entire war in Vietnam. The armies of actors, extras, and recreators could not nearly match those numbers, yet the film effectively conveys the immensity of the conflict. The tactical errors (Lee's decision, on the third day of battle, to order Pickett's suicidal charge into the Union guns; Meade's decision, drawing the fury of President Lincoln, to allow the Southern survivors to return home without further slaughter, while a humane gesture, probably lengthening the war) are presented within the context of of the overall conflict, providing the viewer with justification for their decisions.<br/><br/>Director Ronald F. Maxwell presents a complex, fascinating tapestry in GETTYSBURG, and it is not a film you will soon forget!"
"twhiteson","8","12","12","20 October 2002"," Gettysburg and Re-enactors
","I just want to respond to the criticism of this movie's use of Civil War reenactors as extras. Yes, the average reenactor is a heck of lot older and fatter than was the average Civil War soldier. Reenactors are great at dressing as Civil War soldiers, but most of them don't LOOK anything like Civil War soldiers, who were very young men reduced to sinew and bone from physical exertion and poor diet. Also, reenactors are not professional actors or stunt men which is very evident in this movie. (In some scenes you can actually see some of them staring into the camera while everyone else is looking off in another direction. Also, their embarrassing attempts to recreate hand-to-hand combat during the finale of Pickett's Charge are just pathetic to watch. Not to mention the melodramatic ""deaths"" and the guys grinning like Cheshire Cats while they're supposed to be acting as in fear of their lives.)<br/><br/>However, there is NO way ""Gettysburg"" could have been made without reenactors. In order to give the movie's battle scenes an ""epic"" look, it needed several thousand extras and this film didn't have anyway near the budget to afford professional extras or travel overseas to rent-out a small European army as Hollywood films used do to. Heck, the production company couldn't even afford a decent make-up department (which is obvious from those awful, fake looking beards) let alone hire hundreds of professional extras, costume them, and train them. Reenactors, despite their faults, made this movie possible by working for free and by bringing their own uniforms, equipment, knowledge of Civil War tactics, and enthusiasm for this project. It was either use the services of reenactors or no movie about the battle of Gettysburg was going to be made.<br/><br/>While ""Gettysburg"" could not have been made without reenactors, I do feel director Ronald Maxwell could have done a better job of filming around some of the more ridiculous looking ones. Instead, he almost seems to revel in showing off the fattest and oldest of the bunch- the first Confederate soldier with a speaking part is a man over 60 yrs old who had to be at least 300lbs! Now how can anyone believe that this man marched 20 miles a day in June heat while carrying a 50lb pack? Supposedly, Maxwell has learned from his mistakes. While he is justifiably proud of ""Gettysburg,"" he was not deaf to the guffaws at all those chubby Rebs and geriatric Yanks. Thus, for the upcoming ""Gods and Generals"" his casting directors were ordered to be much choosier in deciding which reenactors will be in that movie. (In other words, they were ordered to cull out the fatbodies and oldsters.)<br/><br/>Despite being a big fan of this movie, I can recognize the weaknesses of using reenactors as extras in a period war film. However, anyone who applauds the fact that ""Gettysburg"" was ever made must also commend the dedication of those reenactors who made its creation possible."
"moviecat-6","10","12","12","19 September 1999"," An American will like it; a Yankee will love it
","Warning:  Somewhat of a spoiler on historical points.<br/><br/>
As a civil war buff, I can tell you that this is the best movie ever made of the civil war, perhaps the best war movie of all time, and possibly one of the best movies of all time.  I find it enjoyable to rewatch frequently.<br/><br/>The movie is surprisingly, historically accurate.  I have read over two hundred books on the civil war and I can tell you with at least a little authority, that the three main characters in the movie deserve their treatment.<br/><br/>The first character is Tom Berenger giving a superb portrayal of Lieutenant General James (Pete) Longstreet, a Confederate corps commander.  For the benefit of those who are not that familiar with civil war history, the monumental battle of Gettysburg occurred just past the halfway point of the war.  Significantly, it occurred after the death of CSA Lieutenant General Thomas J. (Stonewall) Jackson.  Longstreet graduated to General Lee's most trusted lieutenant.  The movie accurately portrays the tug of wills between Longstreet and Lee.  It is historical fact that Longstreet argued against invasion of the North, agreeing to it only after getting some vague assurance from Lee that the battle would be defensively fought.  It is fact that Longstreet argued for an attack around the Union's left flank (if there was to be an attack at all).  Finally, it is undeniable fact that Longstreet argued with Lee so vehemently against the final failed attack that he later wrote that he thought he had stepped over the military line and would be relieved of command.  I don't see how Berenger could have done a better job and I am still upset that he received no Academy Award recognition.  I would imagine that Americans from the South are a little uncomfortable about Longstreet being right and the supposedly lovable Lee being wrong.  But, history is history.  I should mention that Longstreet is my favorite Confederate Officer.<br/><br/>Martin Sheen does only a fairish job of portraying General Robert E. Lee. He seems to have only one facial expression, that of pain and worry. Perhaps that is understandable considering that Gettysburg was such a Confederate disaster, but I believe it was overdone.  What I do find interesting is that historians are coming more and more to the realization that Lee was not such a great general and perhaps not even a very good one. Looking at this movie unbiasedly, you can't help but get that impression yourself.<br/><br/>Jeff Daniels, playing the character of Colonel Joshua Lawrence Chamberlain, does a job that is every bit as good as Berenger's portrayal of Longstreet. Chamberlain was very much the Union hero as portrayed in this movie, so Northern Americans may especially like this movie.  Chamberlain did in fact win the Congressional Medal of Honor for his performance during the Battle of Gettysburg.  A non-regular military man, a non West Point graduate, Chamberlain went on to great glory even after Gettysburg.  Promoted all the way up to Major (two-star) General, Chamberlain was more than with Grant at the final surrender of Lee at Appomattox Court House, as pointed out by another reviewer.  He was given the singular honor of officially receiving the surrender and parole of Confederate troops three days after Lee's negotiated surrender, and well after Lieutenant General Grant had left for Washington.  He also won recognition for his dramatic salute to the defeated Confederate soldiers that both Union and Confederate people of the time appreciated.<br/><br/>The movie is beautifully choreographed with thousands of extras, many, most, or perhaps even all being professional re-enactors. It gave the movie a realism lacking in many other war movies.  The pathos of some of the Officers was palpable and made one sad whether of Union or Confederate sympathy.  The musical score was memorable.  I give it a ten out of ten and I, for one, enjoyed the length of the movie which is admittedly long at just over four hours.<br/><br/>Rent this movie.  You will learn a great deal of American history, and have a good time doing so."
"Hancock_the_Superb","7","42","48","10 July 2002"," Not the best, but a great representation of the epic battle of the Civil War
","All I hear is people griping about how long this film is.  That's not the point.  The point is it represents what is considered by historians to be the most important battle of the American Civil War.<br/><br/>I will admit that the length of the film kinda takes away from it, but it is nonetheless good.<br/><br/> Save a few historical gaffes (eg. Chamberlain and the 20th Maine at Picket's Charge - in reality, they were being held in reserve near the Round Tops with the rest of the V Corps), this film is very realistic, using thousands of professional re-enactors to fight the battle scenes, which adds to it.<br/><br/>Many battles and side notes were left out (eg. Vincent was mortally wounded on Little Round Top; or did they mention this, I don't remember), but that is okay, given the film focuses on Joshua L. Chamberlain and the 20th Maine, who saved the day at Little Round Top on July 2.<br/><br/> Skirmishes at the Herr Tavern, McPherson's Hill, Little Round Top, and Picket's Charge were all the fighting I remember.  But, again, this doesn't really take anything away.<br/><br/> The sweep and grandeur is helped by the superb cinematography (by Kees Van Oostrum) and great acting on the part of Tom Berenger (Longstreet), Martin Sheen (Lee), Jeff Daniels (Chamberlain), C. Thomas Howell (Tom Chamberlain), Sam Elliot (Buford), and the rest of the superb cast.  A standout is the late Richard Jordan  as Lewis Armistead, the brigade commander in Picket's division who was killed leading his troops ""over the top"" against Union artillery.<br/><br/> The battle scenes are excellent; Picket's Charge, in real time, is superb, but the furious battle for Little Round Top is one of the most desperate battle scenes ever filmed.  You can feel the fear and tension of the 20th Maine as the 44th Alabama (I believe this is correct) charges up the hill again and again.  When Chamberlain and his men finally sweep their opponents off the hill?<br/><br/> I think that it may have been good to portray the charging Confederates as well, since they had many interesting stories among them (e.g., the commander of the 44th, William Oates, had a brother, John, who had been ill with a fever and refused to stay behind, and was mortally wounded in the carnage), and the heroics of such people as Vincent himself, and Patrick O'Rourke (who led his New York regiment in a counterattack that saved Vincent's right flank and was killed in the charge) are neglected, but I'm not complaining.<br/><br/> Despite the length and a few overdramatic speeches, this is a great movie.<br/><br/> Seven out of ten."
"Doctor_Bombay","Null","31","35","7 May 1999"," Learn more about the Civil War than you ever knew.
","Wonderful depiction of the events leading to a pivotal battle of the Civil War, the battle of Gettysburg, with a focus on 3 key individuals: Confederate General Robert E. Lee (played brilliantly by Martin Sheen), Lee's second, Lt. General James Longstreet (Tom Berenger), and Union  Col Joshua Chamberlain (Jeff Daniels).<br/><br/>Truly classic storytelling beautifully presented. Each key event is intelligently and gently depicted leaving little of the battles, the personalities, and the actions to be misunderstood. I felt much closer to the unfortunate events that were our Civil War than I  ever imagined. I don't consider myself ignorant as a rule, but to tell the truth I never envisioned that the battles were basically fought hand-to-hand, face-to-face, long lines of fighting men falling, almost randomly, on both sides.<br/><br/>This movie, along with John Frankenheimer's ""Andersonville"" jump-started a serious interest for me in these historical docudramas, and the Civil War in particular. Thank you Mr. Frankenheimer, and Mr. Ronald Maxwell (director of ""Gettysburg"")."
"trpdean","Null","45","54","22 February 2003"," Vivid, well worth seeing, faithful to book,heartbreaking ending
","This movie picks up steam as it goes along - leading to its wrenching end, as did the battle.  <br/><br/>The performance of Richard Jordan as Lo Armistead must be singled out for praise - his anguish was very moving. I'd loved the actor in The Friends of Eddie Coyle and what a job he does. (It helps that he's given the best lines in the movie). Martin Sheen as Robt. E. Lee is not the first name that would come to mind - but I think he gave a fine performance - his accent was entrancing. Sam Elliott is perfectly chosen as (and wonderfully played) the western General John Buford. I also think Jeff Daniels was absolutely wonderful - conveying so well the different manner of someone who until a year before, had been a civilian professor, not a colonel. Unfortunately although I'm generally a fan of Tom Berenger, I wasn't particularly moved by any scene he was in - he kind of walks through it.<br/><br/>The movie is written so well - and its pace just fine. There are so many interesting scenes, touching on many different aspects of life and war - from the nature of man and race to the paradox of a general loving his army yet having to sacrifice it. Jordan brought home so well the closeness of the senior officers to those on the other side. <br/><br/>I loved how well they showed the varied purposes for fighting of the different armies, and the occasional reference to a perceived resentment by the Union soldiers over what they saw as Confederate pretensions to higher social class. (""They're so arrogant"", etc.). <br/><br/>The music is first rate - and definitely enhances the drama. The depiction seems quite authentic. <br/><br/>Some niggling criticisms: aside from the map at the start of the movie, there is none. Maps would definitely have helped to undeerstand the overall picture. People commonly refer to directions (from the norht, from the west, etc.) or ""we must flank them to the right"" and it's hard to understand if you haven't read about the battle.<br/><br/>The scene with the runaway slave is too abbreviated from the book - it doesn't have much impact in the movie. <br/><br/>Kevin Conway's dialogue and accent was a bit over the top, and the English military attache was rather clicheed.<br/><br/>For all that General Hancock is referenced, we see very little of him.<br/><br/>We see the diatribe by General Trimble against General Ewell - but without seeing anything of that battle (or Ewell ever), it just hangs there - rather than being part of any continuous story. (In the book, Ewell's and Early's conduct is more discussed - including a wonderful scene by the two with Lee). If they weren't going to discuss that side of the battle, they should have left Trimble's (well-played) trembling anger out of the story - it doesn't belong in this movie.<br/><br/>Gen. Longstreet is the star of the book and movie - yet I never sensed from Berenger the great brooding quality (and he wasn't given any reference to the fact that his thre children had just died) that he has throughout the battle - according to the book. Similarly, Gen. Lee's health (his heart and headaches, etc.) is a constant factor - not shown in the movie.<br/><br/>
Despite the criticisms, this is a wonderfully done movie - from a Pulitzer Prize winning book. It's long - but quite clear, and very deeply moving. I defy anyone to see the last 1/2 hour and not have tears in their eyes. I'd very strongly recommend this."
"dbborroughs","10","47","58","12 June 2004"," One of the Great War Films of All Time
","Its over four hours long,but doesn't feel it. Any while its not gory you do get a sense of the hell of war.<br/><br/>What can I say that hasn't been said already?<br/><br/>The film works mostly because at its center its the story of Jeff Daniel's Joshua Chamberlain, a well educated man who goes off to do his duty even though he knows he may end up dead. Daniel's gives a performance that should have been noticed by the Oscars but wasn't. Its through Daniel's interaction with all the other characters that we come to understand what the war was about.<br/><br/>Even if the odd facial hair makes you crazy, its a great film. I can't recommend this film enough."
