"username","rating","helpful","total","date","title","review"
"Chris_Docker","7","156","170","18 February 2004"," Unbelievably - does what it says on the packet
","A quick glance at the story or trailer tells you that School of Rock is probably the cheesiest, gratuitous, airhead excuse for a movie in ages, but if you thought that was a good reason to avoid it you'd be wrong. Jack Black plays the slightly past it rocker, stuck in a groove of 70s heavy metal rock and roll and refusing to move on  until his (more up to date) band fire him. Struggling to pay the rent, he takes a phone call intended for his schoolteacher flatmate and accepts a job as supply teacher at a top school. Soon he has the kids not only studying the history of rock and roll, soundproofing the room and playing rock instruments, but actually competing in a major Battle of the Bands' competition.<br/><br/>Unbelievable? Yes. What's more unbelievable is that somehow the whole thing works  Jack Black's over-the-top enthusiasm for his subject is contagious, the edge-of-disaster suspense is continued throughout the length of the movie, and by the end the audience is so desperate to see how the kids (who they all play their own instruments by the way) perform in the concert that seat wetting would probably go unnoticed. Joan Cusack, as the gobsmacked headmistress, delivers a performance that is worth the price of your cinema ticket in itself. Achieving such tears-down-the cheeks laughter and adrenalin-packed excitement for air guitar music is nothing short of miraculous.<br/><br/>School of Rock is a movie that promises entertainment and delivers. Everything is as it says on the packet. For sheer feelgood factor, this movie is unbeatable  and you can even take the kids!"
"ferguson-6","8","77","84","7 October 2003"," Jumpin' Jack Black, It's a Gas, Gas, Gas
","Greetings again from the darkness.  With so few good comedies these days, it was pure joy to laugh out loud a few times during this Jack Black showcase. Is he over the top? Absolutely.  Is his humor and delivery similar to the great John Belushi?  Yes, down to the arching eyebrows.  And I say SO WHAT? Jack Black is hilarious in this movie and director Richard Linklater (the underappreciated gem ""Dazed and Confused"") uses his spot-on observations of Rock music and school days to deliver a wonderful film going experience. Writer Mike White (""The Good Girl"") also plays Black's wimpy friend and former bandmate.  Although his acting is fine, it is White's writing that will make him rich in Hollywood.  The kids in the band are wonderfully cast and appear to be very talented musically as well.  Special recognition to Joan Cusack, who just nails the role of the uptight private school principal who is just itching to be unleashed.  I would have enjoyed a bit more of the Rock History tossed in for the sake of today's youngsters, but the tributes to Pete Townsend, Jimi Hendrix, Zeppelin and the Ramones are much appreciated.  Look for Nikki Katt in a brief role, but mostly just sit back and enjoy a pure comedy that truly ROCKS!!"
"hitchcockthelegend","9","17","17","15 June 2014"," You are not hardcore unless you live hardcore.
","The perfect vehicle for Jack Black, a film to show that given the right material he's a bona fide comedic actor of some worth. Plot has Black as Dewey Finn, a wastrel musician who has no job prospects and who spends his time mooching off of his best mate Ned Sheebly (Mike White). When Dewey is fired from his rock band he's left in limbo and in danger of being homeless. But when he answers a phone call offering Ned a job assignment, Dewey decides to take it upon himself to impersonate Ned and take the employment himself; as a schoolteacher!<br/><br/>So it's Jack Black in a classroom full of kids, it probably shouldn't work, and even might seem like some sort of cruel and unusual punishment to anyone with an aversion to Black, but this is feel good nirvana and a paean to rock and roll. It's perhaps unsurprising that it's crammed with clichés from the classroom splinter of moviedom, the kids a roll call of characters we have seen numerous times. The spoilt swot, the roughneck, the one suffering parental peer pressure, the weight issue one and on it goes, but boy can they play music when Dewey takes them out of classical mode and into rock central.<br/><br/>How nice to find that director Richard Linklater and writer Mike White have managed to rise above the clichés and avoid syrupy fodder, there's such a zest and earnestness to it all, and the kids acting is high in quality as well, led by the big kid himself, Black on full tilt. But most of all, even as the morals and life affirming threads come wading in with the pulsing rock soundtrack, it's a very funny picture, the gag quota enormously high. Be it Black trying to bluff the kids, the kids trying to bluff everyone else - or the wonderful Joan Cusack as the scatty stickler for the rules Principal Mullins – a laugh is never far away. Rock on! 8.5/10"
"babiedol12","10","184","214","18 December 2004"," Jack Black is Back! Better than Ever!
","Finally! Somebody has done right by Jack Black. Somebody has actually made a movie where Jack Black can be the man and show off his talents. This is Jack Black at his best and I feel privileged to be alive while this guy's star continues to skyrocket! <br/><br/>Dewey Finn (Jack Black) loves rock and roll. He is the consummate fan who knows every worthwhile group and song. He is a singer, songwriter, and guitarist in his own band called ""No Vacancy."" But other members of the group have grown tired of his immature stage antics, such as 20-minute solos and stage-dives. They vote him out and hire someone to replace him for an upcoming Battle of the Bands contest.<br/><br/>Downcast and distraught, Dewey doesn't know what to do. Plus, his usually patient roommate Ned (Mike White), a schoolteacher, is being pressured by his aggressive girlfriend (Sarah Silverman) to make Dewey pay the money he owes for rent or get out. When a call comes in to Ned asking him to serve as a substitute teacher at the prestigious Horace Green Elementary School, Dewey decides to assume his identity and take the job.<br/><br/>Of course, faced with a class of fifth-graders all nicely clothed in their school uniforms, this rocker doesn't have a clue as to what to do. So he tells them to chill out and enjoy some downtime. This scheme works for a little while but then Dewey visits the orchestra class. Lights go off in his head and bingo! -- the new class project is to form a rock band. He decides to teach them everything he knows about rock with lectures on its history, the evils of ""The Man,"" and the essentials of playing rock songs.<br/><br/>Dewey's spirits are lifted when he realizes that there are some talented musicians in the class including Zack (Joey Gaydos, Jr.), the lead guitarist; Katie (Rebecca Brown) on bass; and Lawrence (Robert Tsai) on keyboards. Freddy (Kevin Clark), the class rebel, turns out to be an eager learner on drums, and Tomika (Maryam Hassan) surprises him with her unusual singing talent. The smartest girl in the class, Summer (Miranda Cosgrove), gets her chance to excel as band manager while others serve as back-up singers, special effects wizard, head of security, and the official selectors of the band's name.<br/><br/>The humor quotient of the film is heightened by the funny performance of Joan Cusack as the uptight and unlocked principal of Horace Green Elementary School. When Dewey discovers that she is a secret fan of Fleetwood Mac, they are able to connect as friends. The rock fan gets his wish when he has the class entered in the local Battle of the Bands. By the end of this rollicking film, you'll happily be chanting, ""For those about to rock, we salute you!""<br/><br/>Overall: 9/10"
"AngusYoungBinge","10","128","148","11 December 2005"," For Those about to Rock, We Salute this Movie
","What can I say? I'm a rockaholic. I eat, breath, and dream of classic rock and it's glory days. I listen to only rock radios, and every other morning I go on an AC/DC Binge. Rock is pure, and beautiful.<br/><br/>Unfortunately, it's not the only music out there.<br/><br/>Pop culture today sucks, putting it nicely. All that stuff out there is ruining the minds of people of today. For a little while it seems like rock disappeared, hiding underneath everything else, being disregarded by fans today.<br/><br/>Then 'School of Rock' came along.<br/><br/>Dewey Finn (played by Jack Black) is a bum who gets himself kicked out of his own band because of his unruly antics. To top this off, his substitute teacher roommate Ned and Ned's girlfriend Patti begin to nag Dewey for rent money. Dewey can't pay it off. After spending some time trying to sell his personal belongings, a phone call from a prestigious prep school looking for a substitute teacher catches Dewey's attention and he parades around as Ned, hoping to just walk in, let the kids do what they want, get some money, and be gone like nothing every happened.<br/><br/>Until he finds out that the class of fifth graders he has been assigned to teach are musically and vocally talented.<br/><br/>This sparks an idea off in Dewey's mind, thinking that he can turn his group of fifth graders into a rock group so that he can win 25,000 dollars in a contest called 'The Battle of the Bands'.<br/><br/>This is a wonderful, classic - rock fueled movie. Jack Black is hysterical as Dewey Finn. The children are all talented, particularly the ones on instruments and vocals.<br/><br/>If you want to love rock music, go watch this movie.<br/><br/>If not, then you'll have missed out on something great."
"kennethraine","10","15","15","10 June 2014"," brilliant
","When I first watched this film I did not know what to expect. But was entertained and delighted by its content and spirit. My first thought was how come nothing quite like this has ever been attempted before. It had all the elements that go to make a great story,the enthusiasm of a yet to make it musician, a responsive youthful group of teenage, gifted but unrealised musicians, a controlling, misguided, but persuadable Establishment, and in the blend, the unauthorised teacher of the group nearly discredited. To top it all a contest was entered by this new group of hopefuls, and after initial resistance and disappointment, a final electric performance, gave them all the prize they deserved. There,s only one thing left to say, ""they stuck it to the man""."
"Wizard-8","Null","122","145","10 October 2003"," Maybe it's not intelligent - but it's funny and it rocks!
","Glancing at what other people have written about this movie, it seems that these individuals are taking this film a bit too seriously. Worrying about the ""messages"" this movie is delivering? Come on, there is no way that the con that Jack Black's character pulls off could ever get far in the real world! I don't think any sane person watching this movie would take this seriously. This is a comedy, for crying out loud, made to make us laugh!<br/><br/>I thought Black was fine in this movie. Sure, maybe his character is a little one-note with his proclamations of ""rock on"" and ""stick it to the man"", but Black somehow manages to do it over and over without being boring. He's unbelievably energetic AND versatile, delivering these same things in different ways each time that prevent the movie from getting into a rut. I think it's safe to say that only Black himself could have made this role work so well.<br/><br/>There is plenty of humor and great music. Even my senior citizen parents kept laughing, and told me after it was over that they enjoyed the rock soundtrack as well. It's a great movie for the whole family. Why was this rated PG-13? Sure, there are some references to stuff like alcohol and groupies, but they are not emphasized at all in their brief passing - and your kids will already have seen these kind of things treated much worse elsewhere! In fact, here in British Columbia, the ratings board gave it a ""G"" rating."
"Frettan","8","66","77","15 November 2004"," Great, hilarious performance by Jack Black
","Dewey Finn is a lazy freeloader and a guitarist in a rock band who plays gigs every night and sleeps every day, in his friend Ned Schneebly's apartment. One day as he shows up late for band practice he notices a new guitar player who is replacing him. Poor Dewey feels so bad about it and also about Ned and his girlfriend threatening to kick him out since he doesn't pay any of the bills. After a few days of trying to sell his guitars, which doesn't go very well, the head of a school calls and asks for Ned Schneebly, who is a talented substitute teacher with a good reputation. In a desperate attempt to getting money fast, Dewey impersonates Ned and conveniently finds himself the teacher of a third grade ( or something like that ) class for several weeks ahead. Yet another one of his crazy ideas strikes him and his plan to turn his class into a rockband to win the Battle of the Bands competition is set in motion. <br/><br/>School Of Rock is a great feel-good comedy, fun for just about anyone of any age, kids or adults. Jack Black does carry a lot of this film on his own but I won't be too harsh on the kids in the movie, they did very well also. If anyone else should play Dewey Finn rather than Jack, it just wouldn't be the same. Since Jack is actually in a rock band in real life, and has played a few characters in films before who are also into music, he just seemed to fit right into this film. His real passion for rock music helps a lot in this film, and makes Dewey Finn one hell of a good character. The plot to this film is really good I think and Mike White did a great job on the screenplay. As did Linklater on the direction of the film.<br/><br/>This comedy should not be ignored just because there are kids in it, I enjoyed it a hell of a lot and you probably will too. <br/><br/>9/10"
"claudio_carvalho","8","63","78","11 November 2005"," Tailored for Jack Black
","After being fired from his own band, the guitar player Dewey Finn (Jack Black) needs to raise some money to pay for his rent and his bills. When his friend and school teacher Ned Schneebly (Mike White) is called to a temporary work in an expensive private school, Dewey pretends to be Ned and accepts the job. He finds talented young musicians in his class, and he decides to form a rock-and-roll band with the students and win a competition called ""Battle of Bands"" to raise the prize and be recognized in the show business.<br/><br/>""The School of Rock"" is a very funny and politically incorrect comedy tailored for Jack Black. He steals the movie and rocks in the role of a rock-and-roll lover, who dreams to be successful as a guitar player. Most of the lines belong to him, and I believe this movie is his best individual performance in his successful career. Joan Cusack is excellent as usual, and Miranda Cosgrove seems to have potential and be a great promise as actress. The soundtrack is a great homage to rock-and-roll, with many classics including Led Zeppelin's ""Immigrant Song"". The DVD is full of worthwhile Extras, and in the end this film is an excellent funny entertainment. My vote is eight.<br/><br/>Title (Brazil): ""Escola de Rock"" (""School of Rock"")"
"braddugg","8","9","9","20 September 2014"," If there was an inspirational rock movie then here it is.
","If there was an inspirational rock movie then here it is. <br/><br/>All through my engineering that is from 2004 October (when I first saw) till the end of my studies and even today, this movie inspires me with its flamboyance of the JUST DO IT spirit. It's a well written tale and extremely well directed. To take this screenplay and bringing it to life and to extract such great acting from the kids is a serious director's job and kudos to Linklater for having done that so well.<br/><br/>It's a tribute to all those rock bands that have inspired over the years and this movie played a big part for my introduction to Rock music. A bunch of school guys form a band with the help of their teacher. Rather the teacher forms a band with help of school kids assigning them a job and its their journey from becoming a band to making songs. Passionate is how I would say the acting of Jack Black was as he lead the film all through bearing the weight solely on his shoulders.<br/><br/>There was no big star cast except him in the movie and this modest film budget did not allow the movie to explore may be. However, this movie is extremely well made in all departments. Production deign, editing must be given appreciation. editor for sure would have had a major job to have the unwanted and unnecessary things out. <br/><br/>The music selection is also top notch with apt songs coming at the right time.<br/><br/>It's 4/5 for one of the best musical movies ever."
