"username","rating","helpful","total","date","title","review"
"AvidClimber","9","15","17","2 June 2013"," Burn After Reading — What if you believed you were in a spy movie?
","Burn After Reading is a weird movie. It takes everything that makes a good spy flick and turn it on its head. You can't help but incredulously laugh at what happens. This is all about oddballs.<br/><br/>The good. Excellent acting. Totally off the wall characters, actions and situations, yet completely logical. Story with twists within twists. Well paced scenario. Solid dialogs. Nice action.<br/><br/>The actors. George Clooney, Frances McDormand, Brad Pitt, and John Malkovich play disturbingly crazy roles stuffed with delusion and heavily dosed with stupidity. While Richard Jenkins, David Rasche, and J.K. Simmons seem almost out of place as the standard bearers of reason.<br/><br/>The bad. Since it's so bizarre, it won't please everyone.<br/><br/>The ugly. Nothing.<br/><br/>The result. Offbeat and cooky comedy. Don't think you'll see your run of the mill kind of film and you'll have fun."
"UniqueParticle","9","11","12","21 August 2019"," John Malkovich is the best thing about this!
","This is one of the best dark comedies ever made! There is only one thing that rubs me the wrong way and I won't spoil that otherwise I love this Coen brothers quirky masterpiece. I originally saw this in the theater, that was fun, I still can't believe it's been 11 years now since 08. So beyond well written and very cool camera shots; Burn After Reading makes me feel so damn good! Also I absolutely love the music and excessive use of profanity!"
"ametaphysicalshark","Null","443","672","12 September 2008"," The Coens' funniest film since ""The Big Lebowski""
","I'm not the only one to notice the pattern in the Coens' filmography: ""Blood Simple."" was followed by ""Raising Arizona"", ""Fargo"" by ""The Big Lebowski"", and ""No Country for Old Men"" by ""Burn After Reading"". The main concern one had about this film is whether it would be an ""Intolerable Cruelty"" or a ""Big Lebowski"" for the Coens. Let's put it this way: the reviews have been mixed, especially from major mainstream media critics. Guess what other Coen comedy received mixed reviews and was accused of being a somewhat tired mess? Yep, ""The Big Lebowski"".<br/><br/>The Coens' sense of humor is very distinctive, and I'm not talking about stuff like ""Intolerable Cruelty"" (this one the mainstream media liked, go figure) and ""The Ladykillers"", which featured numerous commercial concessions. I'm talking about the vicious, cruel, misanthropic farce that gets self-important critics' knickers in a twist. Describing ""Burn After Reading"" as a screwball spy farce makes it sound much more ""Austin Powers"" than it is. There is a lot of silliness, but the sort of silliness one finds in a Howard Hawks comedy, not in most comedies that have been made recently. It's a screwball comedy but a pretty dark one.<br/><br/>This is most certainly an acquired taste. It is not going to go down well with people who can't laugh at murder, things going terribly wrong for innocent people, or the Cones' trademark dialogue that pops up even in 'serious' movies like ""Fargo"" and ""No Country for Old Men"". However, ""Burn After Reading"" was seemingly tailor-made for my cruel sense of humor, as I found it to be easily the most inspired comedy script in a long time. It's a conspiracy espionage thriller with no stakes, nothing to fight over, a bunch of complete fools and idiots caught in the middle of it (""a league of morons"" if you listen to John Malkovich's character), and disastrous consequences for just about everyone. Take out the jokes and you could have a tragedy but as it stands this is the funniest movie the Coens have made since ""The Big Lebowski"", if not the best, and that includes ""O Brother, Where Art Thou?"". <br/><br/>One really shouldn't know anything about the plot or how it unfolds prior to seeing it, as this is a film which is far more intricately-plotted than most critics are giving it credit for. The basic concept is that Frances McDormand and Brad Pitt's characters come across a disc they think contains top secret intelligence. What follows is, as described above, a thriller with no stakes and a bunch of idiots. It's one of those movies where you really shouldn't be laughing (for ethical reasons) but are, and it will have you laughing through your disapproval for basically the entirety of the film after the opening fifteen minutes or so, which are rough in comparison to the rest of the film, and to be honest the only thing that keeps this film from being absolutely brilliant and the Coens' best movie since ""Lebowski"". Just don't go in expecting a movie that looks as beautiful as many of their movies do- Lubezki is no Deakins, at least not based on his work here, and the Coens are very clearly attempting to emulate in many ways the look of the sort of thriller they're basing this on. It's functional, well-shot, and well-directed, but the writing and acting are the main attractions here.<br/><br/>Of course, ""Burn After Reading"" will be dismissed as having little worth and for being a disposable farce by many. Well, if only they knew how hard it is to do comedy well. I'd reckon this was harder to write than the (admittedly tremendous) ""No Country for Old Men"", which was adapted from a novel that might as well have been a screenplay if formatted correctly. The movie may not start brilliantly (not that it isn't good even early on), but once the Coens start firing on all cylinders they never stop, and the dream cast certainly doesn't either (Brad Pitt has a smaller role than most cast members here, but he is absolutely brilliant in the role), showing tremendous comic skill that few would have guessed most of them had. The final scene may very well be one of the best I have seen in a long, long time. <br/><br/>""What a clusterf-ck!"", indeed.<br/><br/>9/10"
"katiemeyer1979","8","311","473","13 September 2008"," A Bright American Farce
","Nobody is quite there in this new bright farce by the Coen brothers. The plot is a smart excuse for a movie about nothing but appearing to be about a lot of things. Going backwards and forwards at the same time. Talk about ""The Russians?"" or planning to write a memoir. Brad Pitt is priceless and the innocence of his character is so believable that I wondered how many more surprises this actor has up his sleeve. He is a joy. George Clooney is also terrific and the Coens move through their crossed purposes with speed and elegance. I was totally immerse in their universe even if I didn't quite care what was going on. John Malkovich, Frances McDormand, Richard Jenkins and the unnerving Tilda Swinton complete the package of this movie that feels as if it was made for the sheer pleasure of it."
"massimo-pigliucci","7","11","13","16 September 2008"," not their best, but pleasurable nonetheless
","This is by far not the most interesting production by the Cohens, but it is worth watching on a variety of levels. First, there is the pleasure of seeing a bunch of good actors working together with great chemistry, some of them (like Pitt and Clooney) certainly not in their ""traditional"" roles. Second, the story is actually wacky enough to hold up in terms of internal logic, as strange as it may seem. As usual with the brothers, do expect some unexpected turns, of the violent variety. And yet, somehow, the movie retains the character of a light comedy. Pay particular attention to the very last words spoken in the film, they may be the best summary of the whole thing I've heard so far."
"tomrito","9","289","472","14 September 2008"," Very funny adult comedy
","The point here is that this movie is for adults, with adult themes and adult situations. As with all Coen brother movies, there are going to be people who love it and people that hate it. There doesn't seem to be much middle ground. I loved this movie. It was entertaining, dark and very funny. I really liked ""No Country for Old Men"" but I have to say, ""Burn After Reading"" was a more enjoyable film for me. Some of the reviews here have said that the film rambles around pointlessly, without any clear direction; well I have to disagree, if you are paying attention and you are an adult, you should have no problem understanding what is going on. The best part of the movie is watching this great cast perform brilliantly with the odd-ball material they are given. They are all straight men for the Coen brother's antics. There is violence, bad language, and everyone is sleeping with everyone else, especially George Clooney. But the movie is very funny and while the rest of Hollywood seems to have lost there way, the Coen brothers continue to put out intelligent, entertaining and thought provoking material."
"sgtcupcake2","10","36","52","2 July 2009"," Great Movie, Full of Originality and Dark Humor
","I felt like I needed to review this movie because it has been largely misunderstood by many of the reviewers on this site. First off, this is not a movie that is going to show you everything and baby step you through the plot. (Children please leave now, this is an adult movie)<br/><br/>Part of the reason why I enjoyed this movie so much is because it engages you as the viewer by forcing you to consider all the event that are happening. Trying to piece all the randomness together and make sense of all the events unfolding in front of you is one of the best aspects of the movie. (shocking as it may be we are forced to use our brains!). Even though the majority of the characters appear to have nothing in common and no real relationship with each other, their true connections lie in their actions. George Clooney's invisible threads for instance touch pretty much every single character in the movie even if there is no real interaction between them. There is a deep underlying theme of betrayal and a ""big brother"" complex which many of the characters develop or exhibit throughout the movie.<br/><br/>As far as the acting goes each actor plays their role very well and I think that some viewers were disappointed because they were expecting a more developed Brad Pitt / George Clooney relationship as is the case with most of their movies. As for the humor, it lies in a darker corner underneath the character dialogue. This film makes best use of what I would like to call ""situational comedy"". (Like taking the ""classified information"" to the Russians (The embassy!) so that they could collect some sort of reward). The brief scenes with the CIA are quite amusing as they mostly sit on the sidelines throughout the movie and clean up after the mess which is left behind after the seemingly simple firing of one Mr. Cox.<br/><br/>I am always pleasantly surprised by how original this movie was and how it almost makes fun of all the stereotypical Hollywood bull**** that is filled with most movies today. One of the ways you can tell a movie is good is if you watch it multiple times and still find something new or amusing in the story each time.<br/><br/>Bottom-line: If you are looking for a story that is more than skin deep (which the Coen brother are notorious for) then you have come to the right place. For everyone else where thinking hurts your head, go watch the new Transformers Movie.<br/><br/>** On a side note** To the one reviewer who thinks Clooney shoots Brad out of no where, if you had actually bothered to pay attention during the movie you could see that when Clooney opens the closet the first thing he grabs for is his gun hanging on the wall. Then because of his yeeaars of service as an air marshal his training kicks in and out of instinct he shoots before he thinks. (This may be also partly due to his paranoia of being followed by spooks)"
"jackgdemoss","8","12","15","22 August 2019"," Maintained a dark comedy feel even through the darkest parts
","Burn After Reading is my first run in with the Coen brothers, so I am completely unfamiliar with their style. What they seemed to have on their side from the get go was a rockstar cast filling all lead and character roles. Even some of the unknowns gave fiery performances. This film felt most similar to Requiem for a Dream both in theme and story-telling. I look forward to catching up on more Coen films in the future."
"erica-224","Null","169","294","10 September 2008"," More ""Big Lebowski"" Than ""Intolerable Cruelty"" -- thankfully
","BURN AFTER READING is laugh-out-loud funny. It's more ""Big Lebowski"" than ""Intolerable Cruelty,"" though there are wisps of both, but ""Burn"" is not quite up to Lebowski's genius. Still, it is very, very funny and loads of fun.<br/><br/>From the opening moments, the Coens' latest movie -- a spy-thriller spoof -- hurls the viewer on a hilarious romp through Absurd-land. What better place to set such a story than Washington, DC?<br/><br/>The story involves a demoted government worker (John Malkovich) who finds himself the target of an extortion scheme by two gym workers, riotously played by Frances McDormand (a would-be gym bunny if only she could afford some plastic surgery) and Brad Pitt (a high-energy, arm-thrusting, hip-shaking fitness trainer-cum-""good Samaritan"" who lands himself way in over his head). The romp soon turns dark.<br/><br/>As usual, the Coens' dialog is a real treat. When a co-worker points to Malkovich's alcohol problems as a reason for his demotion, Malkovich retorts, ""You're a Mormon. Next to you we all have a drinking problem."" And as usual in Coen-land, there's a clash between high and low brow. Malkovich's pronunciations of ""mem-wahhh"" for ""memoir"" is a hoot, and his correction of Pitt's mistaken ""report"" for ""rapport"" propels a conflict between classes and types -- symbols of a society in trouble, whose priorities are askew.<br/><br/>As in the Coen brothers' 1987 box-office hit RAISING ARIZONA, obsessions fuel the plot, though this time it's body (not baby) obsession. McDormand is hellbent on getting expensive elective surgery to ""reinvent"" herself. Pitt is a workout addict, who can barely stop moving long enough to think straight. And George Clooney, who can only stop talking when it's time to go running or jump into bed with someone, plays a G-man fixated on sex. Notions of ""intelligence"" and all that the word connotes (along with its antonyms) mix into the film's dark comedic brew of unintended consequences.<br/><br/>Where does it go? I don't want to give away any of the twists to answer that question in depth. But I would disagree with the critics who claim it doesn't go anywhere. The movie and its over-the-top, needless violence show how secretive missions even by bumbling know-nothings (whose only knowledge of undercover ops seems to come from spy flicks) can have disastrous outcomes. Secrets in Washington? Sure sounds like a topic we should all be better versed in.<br/><br/><ul><li>Erica Rowell Author: The Brothers Grim: The Films of Ethan and Joel Coen http://www.amazon.com/Brothers-Grim-Films-Ethan-Joel/dp/0810858509</li></ul>"
"gary-444","9","81","138","17 October 2008"," An Intelligent. Quirky, Surreal Delight
","This film will not be to everyones taste, and I wholly understand the polarised responses.A star studded cast enjoy a knowing, wordy script, where dialogue counts, a Coen brothers trademark.However not very much happens, and the narrative is disjointed, so the pace of the story is very staccato.But once again the result is something very wide of the Hollywood mainstream and is all the more satisfying for it.<br/><br/>A 95 minute running time,, and several separate but interwoven plots, mean that screen time for individual actors is limited. Consequently each shines in their given roles, relishing the word play and eking the maximum out of each situation.No scene is dwelled upon, and the occasional bloody outburst of violence, or titillating appearance of a Sybian machine , is shown then moved on from before you have time to work out exactly what is going on.<br/><br/>The script is littered with double entendres, ""running gags (pun intended)and lines aimed straight at the audience from the screen. No-one knows what is going on, or what has gone on, or what is going to happen, and is all the better for it.A mini-masterpiece."
