"username","rating","helpful","total","date","title","review"
"dottyjyoung","9","230","337","16 December 2011"," What a relief! The trailers lied--it was awesome. :)
","We just got back from the earliest showing we could get a sitter for. I can say with confidence that my fears about this movie were totally unfounded, and I now hold Guy Ritchie and these writers in the highest regard. Without going into spoilers, here are the three concerns that were put entirely to rest: 1) After seeing the trailer, my biggest worry was the use of ""bullet-time"" type photography during a Victorian-era movie. I thought it would be completely anachronistic and pointless. However, they'd already established in this movie and the previous one that Holmes is hyper-aware of his surroundings. The bullet-time was used to convey how traumatic a couple of scenes were to someone with that type of awareness, and it worked beautifully.<br/><br/>2) Jared Harris looked so vanilla and soft in the promo pics and trailers that I couldn't imagine him as a fearsome adversary for Holmes. However, his Moriarty is so devious and cunning, and at one time downright sadistic, that I don't think they could have made a better choice. A couple of times I felt like he was channeling his father (the outstanding Richard Harris) without the warmth and empathy that the late actor conveyed. Can you imagine Richard Harris as a cunning, calculating perfectionist that's totally devoid of concern for human life? You won't have to after watching his son. It's freaky. And he sings.<br/><br/>3) Holmes' relationship with Watson (and in a small way, Irene Adler) is fantastically developed. Saying any more than that would be too spoilery.<br/><br/>So, watching this w/ my husband(who is a die-hard Sherlock fan, and used to read Sherlock Holmes aloud to me every rainy night, complete w/ voices) was a fabulous experience. We can't wait to see it again, and own it."
"jdesando","Null","146","216","16 December 2011"," Elementary Holmes
","Professor Moriarty: Are you sure you want to play this game? Sherlock Holmes: I'm afraid you'd lose.<br/><br/>In Sherlock Holmes: A Game of Shadows, my mind turns two ways: The first half is guns, gunpowder, and gymnastics. Sherlock Holmes (Robert Downey, Jr.) and Dr. Watson (Jude Law) contend with the salvation of civilization mostly through athletics, aided by director Guy Ritchie's considerable skill with the camera and graphics.<br/><br/>But in the second half, when the duo moves swiftly but intellectually to confront the arch villain Professor James Moriarty (Jared Harris), my mind is at equilibrium, renewing my love of Sir Arthur Conan Doyle's original brainy, eccentric sleuth. The chess game is a marvel of strategy, replete with revenge, intrigue, and just plain ingenuity. Director Guy Ritchie's visuals include delightful Downey disguises and lively speed ramping in a forest bombarded by bullets. Hans Zimmer's music leans heavily on the fiddle to lighten the load of a difficult plot.<br/><br/>Watson's marriage, rather than taking away from the bromance, adds unexpected color and creativity. So Ritchie has ramped up the intellectual content and at least balanced it with the athletic, which was a strength of his 2009 version, Sherlock Holmes. With Inspector Lastrade just a memory and Holmes's love, Irene Adler (Rachel McAdams), appearing briefly, we are left to enjoy not so much the interaction of Holmes and Watson but the explosiveness of Holmes and Moriarty.<br/><br/>After a first half of explosions, the second half satisfies traditionalists like me for the chess game of life and death—and that's the suspenseful fate of the world in those pieces. Director Guy Ritchie has improved on his 2009 version."
"remedy305","8","22","28","29 January 2012"," Sherlock at the movies
","Doesn't matter how you look at it, this movie is darn good fun. I loved it from opening credits to the close. So what if the acting is a bit over the top, so what if there are probably too many explosions and bullets and bombs. The end result is a thoroughly entertaining 2 hours at the movies with popcorn and Pearl and Dean ads. Moriarty is sufficiently creepy and played with restraint, Holmes is completely over the top but for me if its Robert Downey Jr there are no complaints. The story keeps moving and the action is terrific. The story is loosely based on the last book of the Conan Doyle's first series of Holmes stories ending with the famous Reisenbach Falls in Switzerland. It also gives a great image of early 20th century on the brink of the first world war. If you want to enjoy a good story with great imagery and costume then you will enjoy this, if you are looking for Sherlock ( wonderfully called Shirley by Mycroft ) as Conan Doyle intended then you may be disappointed."
"picklechann","9","272","446","16 December 2011"," Better than the first one
","This movie was absolutely fantastic. I have been waiting for it for what feels like forever now and it truly did not disappoint. The storyline was clever, the dynamic between Watson and Holmes was charming and beautiful, and the effects were incredible. Honestly, as much of a fan I am of the first movie, its sequel surpassed it and my overall expectation. Some the effects were unnecessary at times, but I really enjoy the style in which these movies are edited. It can be slightly confusing periodically, another reason to rewatch, still pay attention closely. Jude Law and Robert Downey Jr.'s chemistry was compelling and the supporting actors were on par. I laughed, I nearly screamed, and I even cried. Game of Shadows is gripping, exciting, hilarious,and even draws tears. You'll be cheering throughout and satisfied with the end. Too be honest, it is absolutely one of the best movies of this year."
"aakinz","10","156","254","23 December 2011"," NO disappointment in this sequel
","Talking about sequels, more often than not, they are disappointment compared to the original. But this team has done again. They brought back the sequel with quality. I enjoyed this film as much as I did in the first part. The action, thrill, intelligence, all are placed perfectly in this film. The screenplay and making pattern is pretty much same as the first part and story moving in good pace. The main characters did a fantastic job once again. Holmes and Watson chemistry is perfect and delivered a great performance. Here I really like the way how the hero and villain play their games, both are very clever and the equality was very interesting. Simply, if you liked the first part, just go for this one. This is perfect entertainment and No disappointments."
"aaronjbong","8","117","188","24 December 2011"," Honeymoon in Brighton? Not today.
","So what's been happening lately?<br/><br/>There has been a series of bombings and assassinations across Europe and if these activities continue, war will erupt and Europe will become a field of casualties and devastation. And our favorite detective Sherlock Holmes suspects Professor James Moriarty as the mastermind behind all these events. <br/><br/>Meanwhile, amidst the bombings and destruction which are ravaging Europe, Sherlock Holmes's partner, Dr. John Watson is finally getting married with his fiancée Mary. After being engaged in the first film, they are finally getting married and a short funny wedding scene has been reserved in the film. They're even going for a honeymoon in Brighton. Or they were supposed to go for a honeymoon. <br/><br/>The train the couple boarded was filled with Moriarty's henchmen and a loud, explosive battle ensues eliminating any hopes of an upcoming honeymoon. Even though Watson had been planning to retire from adventuring with Holmes after his wedding, he reluctantly becomes Holmes's partner one more time while his wife is taken care of by Holmes's brother, Mycroft. And the duo will receive an additional member to form a trio: the mysterious gypsy Madam Simza. Together, they try to stop Moriarty from continuing his cruel schemes and Holmes learns about Moriarty's plan to start a war in which he will personally benefit from.<br/><br/>There are lots of action scenes that keep the film exciting and keep the film running in a constant, fast pace. The action sequences are louder, much more explosive, and much more energetic than the ones present in the predecessor. They are very loud, operatic, and exuberant. But some of the battle sequences are surprisingly quiet, such as a simple chess game held between Holmes and Moriarty. While you think a chess game would be boring, Guy Ritchie filmed it as if it was a grand battle. The sounds, the atmosphere, and the dialog adds another layer of tension and makes the chess game scene more atmospheric.<br/><br/>Not only the action scenes, but the humor here is outstanding. Most of the jokes and humor come from the titular character himself. His bizarre behavior, regardless of his intelligence add a layer of comedy to the film. His trademark hobby, disguising into several unexpected people is just purely entertaining. If it weren't for Robert Downey Jr., the humor here would have collapsed and become a disaster.<br/><br/>And of course, the acting and performances by the cast were brilliant and outstanding. Robert Downey Jr. is just brilliant in portraying the titular detective. He is admirable and he is really a man of talent. Don't worry, Jude Law also plays the role of Dr. John Watson perfectly. Together, they form an excellent chemistry. Also worth mentioning is Noomi Rapace as the mysterious gypsy Madam Simza, who not too long ago played the role of Lisbeth Salander in the original version of ""The Girl With the Dragon Tattoo"". Stephen Fry plays the role of Mycroft Holmes to perfection.<br/><br/>I'd like to take some time discussing the character of Professor James Moriarty. He is a very compelling villain. His professional life as a criminal mastermind is hidden beneath his profession as a professor in the University of Cambridge. He is much more intelligent, much more cunning, and much deadlier than Lord Blackwood of the previous film. While Holmes seems to be a detective that can do no wrong in the previous film, here, he will make mistakes. Here, he will feel pain. Moriarty is just a very powerful villain and a very suitable opponent for Holmes. (And remember the slow-motion scenes where Holmes elaborates his fighting strategies in his mind, Moriarty can do it too.) And to further compliment this is the performance of Jared Harris. While he may not look suitable as an antagonist, he actually makes a perfect choice. <br/><br/>However, the film uses too much slow-mo effects. This is largely noticeable in one particular scene which has an extensive use of slow-motion. I know the effect is mainly used to make it look more stylish but there is certainly too much of them. Running at a duration of 129 minutes, it could have been shortened if some of the slow-mo effects have been removed. <br/><br/>Not only the slow-mo effects, but this film seems to have lost its trademark element of mystery that is present in the first film. Even though there are some mystery present here, they are not as mind- boggling as the ones present in the first film. In the first film, there are just so many questions that popped up and Holmes really has something to work on. But here, it's not mysterious. You know the full details immediately. <br/><br/>Nevertheless, ""A Game of Shadows"" is a pleasant experience and a whole lot more fun than the original film. Its operatic action scenes will entertain the audience and its comedic scenes will add a layer of laughter. With powerful performances from the cast, this film is one not to be missed in this movie season.<br/><br/>Final Verdict: ""A Game of Shadows"" is a stylish, fast-paced, yet comedic adventure which improves upon its predecessor in several aspects, and surely a highly recommended film.<br/><br/>Rating: 8/10 <br/><br/>Thanks for reading my review on ""Sherlock Holmes: A Game of Shadows"". I do hope this review is useful."
"jdkraus","9","143","246","16 December 2011"," A more action-packed Holmes
","""Sherlock Holmes: A Game of Shadow"" picks up where the prequel left off; Holmes is tracking down Professor Moriarty, a man he believes is responsible for a series of bombings and mysterious deaths around world. With the help of his pal Watson (off to be married soon), and a gang of gypsies, which includes The Girl with the Dragon Tattoo's Noomi Rapace, set out on a game of cat-and-mouse to find the schemes of the sinister Professor.<br/><br/>Though there is an element of mystery in this film, it is not as in-depth as the first film. Rather the focus is on the action sequences and clever humor. This is not necessarily a bad thing though; in fact it helps move the plot along. The first film suffered because the story was slow. In this Holmes though, there is not one second that drags. The story itself is not special, but its pace is what counts. Walking out of the theater, I felt refreshed and glad that I saw this movie. <br/><br/>Robert Downey Jr. and Jude Law are once again a true treat to watch as Holmes and Watson. Their chemistry and interactions are perfect; it's easy to tell that both had fun with the script and with each other. Jared Harris as Professor Moriarty gives a solid performance, as a cold, manipulative, power hungry villain. Unlike Mark Strong in the first film, he is a believable antagonist. Noomi Rapace is a nice flavor as Madam Sim. <br/><br/>The set and costume designs are exquisite, bringing to life of what Europe was like in the late 1800s. I smell Oscar for these departments. The sound and editing is crisply done, and the music is top-notched—Hans, you're truly the best. The visual effects are mostly good, but some scenes were a bit over the top and borderline ridiculous. One of many examples include a woman being thrown from a fast moving train into a river, without sustaining injury or even dying. This is impossible. Then again, it's Hollywood. The filmmakers aren't doing their job if a sense of the ridiculous is not thrown into an action flick from time to time. <br/><br/>""Sherlock Holmes: A Game of Shadow"" delivers as a great, action-packed, and a rather humorous, popcorn loving flick. Note: the dog dies again."
"aharmas","5","80","140","18 December 2011"," Style vs Substance
","Guy Ritchie has proved himself quite a stylish director. He has given us ""Rock'n'Rolla"" and the first of the Sherlock series before. Somehow, he has lost control of the material recently, and this is most obvious in the latest entry Holmes entry.<br/><br/>The film is a visual stunner, easily with ""The Tree of Life"" and ""HP VII/ Part II"", one of the best looking movies ever filmed. This film truly transports us back to the early days of the XX Century and makes us feel like we are really in the middle of the very polluted capitals of Europe, the exquisite photography immersing us in the world of shadows which was part of that society day and night. The film allows us to almost feel the torture of the upholstery, the lush velvet of the costumes, and the sumptuous decadence of the wealthy classes. Every aspect of the art direction should be recognized as the best of the best, and I wish the story would be allowed to reach those levels.<br/><br/>Doyle's Holmes and Watson are truly two of the most intelligent and fascinating characters in literature; as a pair, they might have no match, and Moriarty is the perfect villain, but the way these films treat the development of the story and the characters themselves is a shame, for Ritchie prefers to have slow motion takes to show bullets or flash editing to detract from the impact of a good action scene. He does redeem himself twice in the scenes with Moriarty and Holmes, but that is what makes the whole two hours truly frustrating because one yearns for more of what could have made the films great, and we get a lot of beautiful shots of violence and mayhem, but little of what truly matters.<br/><br/>This film takes us through the philosophical studies of what man's self destructive nature, and how evil geniuses profit from man's tragic disposition. As I mentioned before because of the film's truncated style, it is hard to truly appreciate the battle of the minds. It is a cat and mouse chase through some lovely scenery and it ends with the ultimate solution, the final solution, a chess move so diabolical, the audiences gasp, and in what could have an amazing cliffhanger, with a true open end, or not, depending on how carefully you have reviewed the clues along the way, Ritchie goes the easy away. Can we hear the audience papers results being read? Downey and Law do very well. Rapace is truly wasted, and it is hard to believe she gave the best performance of the year in 2010. In this film, we are in for easy laughs, little is explained as to why Holmes want to blend into the background or dress as a cheap slut. His mind is best asset but you couldn't tell from this film. You'll have a better time reading the short stories or checking out the old films. Now that would make sense."
"micksutton-1","2","104","186","28 December 2011"," Very Disappointing
","I lapped up Arthur Conan Doyle's works in my younger years and had recently begun re- reading them. However that is not to say that I am a Sherlock purist, far from it. I thoroughly enjoyed the BBC's recent take on Sherlock and am anxiously awaiting the beginning of the new series. Much the same can be said for Guy Ritchie's first exploit. I rated it as the best film of that year, enjoying the mix of the occult, to the back beat of Victorian London. Mark Strong portrayed a master villain who death and unease followed. There was then the balancing act that was Holmes and Watson. Jude Laws character being more than a blundering side kick and in some ways equal to Robert Downey Junior's Holmes. <br/><br/>Fast forward to two years later to this afternoon when I sat down in the cinema to watch A Game Of Shadows, full of hope, awaiting two hours of sterling entertainment, sadly I left somewhat disappointed to say the least.<br/><br/>All the negative reviews that I have read so far echo what I am about to write. If you are a small child looking for a film with multiple explosions and slow motion ""bullet time"" effects then you are in luck. However, if you are looking for a sequel that continues in the vein of the first film, regarding the worlds foremost detective, then you, like me, will be sadly disappointed. Gone is the ingenious Holmes analytical deduction, with a rich multi layered plot, only to be replaced with overly long fights sequences, more akin to Steven Seagal or John Claude Van Damme. The irony being that I am a keen martial artist and I was extremely impressed with the sequences in the first film. However, in the first film they were used sparingly, adding to the characters arsenal of brains and brawn, thus keeping the integrity of the film intact. Unfortunately this is not the case in this sequel. Holmes relying more upon his fighting prowess, as opposed to the art of deduction. <br/><br/>Characters on the periphery of the plot, such as Simza's Anarchist brother and the Anarchist leader are not seized upon and examined, leaving a thin plot, anorexic. But leads the way for a special effects 'fest' following our heroes through the forest, pursued by Moriaty's forces. <br/><br/>The only scene I did enjoy was the 'mano-a-mano' scene between Holmes and Moriarty towards the conclusion, however at the same time I found this frustrating as it was an insight into what A Game Of Shadows could (should.!) have been.<br/><br/>From the opening credits it was clear that this was going to be darker than its predecessor, especially when one the previous main characters is killed off. Although I liked the character, I was impressed by the bold move of the writers and was waiting for the emerging of a bold new character in Noomi Rapace's Simza. Unfortunately Simza is a one-dimensional character, who was easily forgotten and need not have even been there, save for the penultimate 'brother' scene in the film. <br/><br/>In Sherlock Holmes, Mark Strong gave a stellar performance as Lord Blackwood, the lead villain. However the seedling of Moriaty's character was always in the background, in some ways waiting to eclipse Blackwood as the ""villain of all villains"". Unfortunately Jared Harris's Moriaty fails to deliver on all counts. There is no presence and no conviction. A poor choice, with poor delivery. Another irony being the Mark Strong would have been one of the ideal candidates to play the character of Moriarty.<br/><br/>The domestic relationship between Holmes and Watson added to the charm of the first instalment and in my opinion Jude Law elevated Watson's character, however in this sequel, as some have already commented, it is bordering on homo erotic and as such the definition of the characters is lost. Doyle's original creation was fond of donning disguises to aid him in his investigations, however this is 'dialled up to eleven"" in the sequel, resulting in the cringe worthy 'seat' disguise at the conclusion of the film.<br/><br/>All in all an extremely disappointing sequel to one of the best films I have seen in the last five years."
"DonFishies","8","114","206","15 December 2011"," Entertaining and a lot more fun than the original outing
","As much as I loved the character interactions and insane chemistry between Robert Downey Jr. and Jude Law, I was very much let down by Sherlock Holmes when I first saw it a few years ago. It was a really stylish and well-made film, but the storyline bored me to tears. I came in incredibly excited to see it, and left wishing it had ended sooner. With the obvious sequel Sherlock Holmes: A Game of Shadows upon us, I figured I would go in with much lower expectations and brace for something along the same lines.<br/><br/>Europe is at the brink of war, with many little seemingly unconnected events occurring across the nations. Sherlock Holmes (Downey Jr.) believes it to be the work of the brilliant Professor James Moriarty (Jared Harris). He enlists the help of his sidekick, Watson (Law), to help him uncover the truth, before it is too late.<br/><br/>With less of a focus on the occult, a stronger plot and a significantly more interesting villain, Sherlock Holmes: A Game of Shadows outdoes its predecessor in many respects. It ups the thrills and the action, continues the fun, and delivers one of the better sequel going experiences this year.<br/><br/>Even though the story is a bit wonky in certain respects (more on that in a moment), I feel A Game of Shadows manages to feel a lot more grounded than the original. There is a clear storyline, and an even clearer path of where the film wants to go. It stalls here and there, as I imagined it would, but it never lingers like the original did. The art direction is just as incredible as it was, and the special effects seem to have been improved greatly. Where the first film flopped around, this film picks up the slack. <br/><br/>While Downey Jr. and Law are just as impeccable and well matched as they were the first time round, the film benefits greatly from the addition of Harris as Moriarty. The character's presence was felt throughout the first film, but the film noticeable lost its edge by simply referring to him in passing and hinting at what a sequel could have had in store. Bringing him into the fold, he immediately is tenfold better than Mark Strong ever could have hoped to be. Watching Harris match wits with Downey is simply astounding, and makes for the most wildly enjoyable parts of the film. There is never a dull moment when he is around, and instead of making the film drone on, he invigorates it with an immense amount of energy. Harris knows exactly how to look deceptive, even with a wide grin and dialogue that does not even hint at ulterior motives. His looks are downright terrifying in a lot of instances. This is his first major film role, and I can only hope filmmakers continue using his dastardly skills for antiheroes and villains alike. <br/><br/>I think the film's biggest hurtle, and the one that hurts it the most, is that there are simply too many characters and too many of them did not need to appear in the first place. Rapace's character is nothing more than a plot device, used to connect certain sections together and forgotten almost entirely all too often. The practically blink-and-you- will-miss them moments for Rachel McAdams and Eddie Marsan feel more like Richie peddling to the fans, as opposed to actually serving a real point to the film. It is fun seeing them show up again, but considering they have little to no effect on the plot, they could have easily just never showed up at all. But the far worst offender of not serving any purpose is Stephen Fry as Mycroft Holmes. He brings a ridiculous amount of humour to the film, and he is a welcome addition on the onset. But as the film progresses, it becomes clear he is merely there simply to make the film even more ludicrous and silly than Downey Jr. makes it. When the inevitable third film drops, I hope they actually use him effectively, instead of making his appearance feel like a mere tease.<br/><br/>What also hurts the film is Richie's incessant need to use slow motion in every action sequence. While it works insanely and surprisingly well for the film's centrepiece involving a foot chase through a forest, it feels like overkill in almost every other instance. We understand from the first film that Holmes likes to evaluate the moves of both his adversaries and himself before he makes them, but watching him plot it out helps drag the film out longer than it needs to be. It is fun and worthwhile when it is used sparingly, or used to draw attention to something specific. But when Richie is one-upping Zack Snyder in the worst possible way, it begs the question of whether he learned any mistakes from the first film or not. At just under 130 minutes, I feel like a good fifteen minutes of slow motion could have been sped up, and would have looked just as great. Hell, Richie potentially could have shown off a bit of his own style too, instead of just what he cribbed from everyone else.<br/><br/>While the film still has its problems, Sherlock Holmes: A Game of Shadows is an enjoyable ride from start to finish. It maintained my interest, where the first film had me counting the excruciating minutes before it would end. Richie still has a lot to learn about as a filmmaker (and even more as a man who creates his own style instead of Tarantino-ing from others), he does know how to make a crafty film. Now if he can stop hinting at future installments and just give us a film that sticks to being about the story at hand, then maybe we might just get the perfect rendition of this legendary detective.<br/><br/>8/10."
