"username","rating","helpful","total","date","title","review"
"SeminolePhenom","10","750","908","14 October 2005"," Words cannot describe the greatness of this movie
","A Terminator(Arnold Schwarzenegger) was sent from the future to kill the unborn son of Sarah Connor(Linda Hamilton) in the original. Now, that Terminator has been sent back again but with a different assignment: Protect John Connor. John Connor(Edward Furlong) is now about 10 years of age and must evade a new Terminator sent to kill him;The T-1000(Robert Patrick). Sarah, John, and The Terminator journey together on their quest to stop Judgement Day, with a trailing, shape-shifting Termiantor trailing from behind.<br/><br/>This is the greatest of the Terminator trilogy. I have watched three times in the past year and have not found anything that Cameron could have improved on. The move is a masterpiece in every aspect of film. Schwarzenegger's acting might not be incredible but this is the perfect role for him. He isn't supposed to show emotion or feelings. He is a machine. I hate almost every one of his movies besides this trilogy because he is a horrible actor but he works perfectly into this role.<br/><br/>The special effects are incredible beyond belief. The shape-shifting T-1000 is some of the greatest animation I have witnessed in cinema history. It absolutely blew my mind when I first experienced this visual extravaganza. The animation looked so real(remembering this was a good ten years). The movie included fast-paced action along with some clever sci-fi drama/horror. The idea of a vast army of machines taking over the world after sending off warheads to every major city should be scary enough. But the T-1000 has very little lines and is just creepy enough to make twitch when you see him.<br/><br/>Sci-fi movies can rarely be made in such way that can be looked at as works of art. This is one of the few exceptions. The prediction of judgment day with Hamilton watching a playground full of kids be burnt to the ground is an absolute brilliant portrayal of Armageddon. The theme that men will destroy themselves is also shown throughout the movie also and is even said by The Terminator"" It's in your nature to destroy yourselves"". This brings the movie to a whole new level of sci-fi.<br/><br/>Overall, Termiantor II: Judgement Day is an absolute must see classic. If you have not seen it, buy it! Because once you have seen it, you will want to do so anyways. It is fast paced and highly enjoyable for just about every audience.<br/><br/>I highly recommend this movie."
"851222","10","139","163","13 March 2008"," Movie that everyone should see!
","Greetings from Lithuania.<br/><br/>WOW! The best word that describes this movie is ""wow""! Not only to say that this is the best Action movie of all time, this is probably one of the greatest movies ever made . The people in my country watched this film when there where limited VHS cassettes at all. And again, my favorite Director did an timeless epic-masterpiece. Yes, an epic. Every scene in this movie is beyond the perfection. The timeless plot. Groundbreaking effects. Unforgettable ""Hasta la vista, baby."" .<br/><br/>Perfect direction for a sci-fix action film. When the action starts, you're in for the ride of your life. There never be the same movie like T2. What else I can say about this film? A Must see for everyone."
"ivo-cobra8","10","164","194","6 January 2018"," The best action sequel of all time and one of the best Schwarzenegger's movies my personal favorite
","Terminator 2: Judgment Day is (1991) is the best action sci-fi flick movie from the 90's ever made of all time. Terminator 2 is my personal favorite film I absolutely love this movie to death! Is my number 1 best movie ever till today the best of the best epic movie of all time. T2 was nominated for 4.Oscars the only movie of the franchise was nominated for an Oscar. If you watch T2 carefully and follow the story you never got bored and you are very entertained. This movie kicks ass! I love the hospital scenes mostly at night, the Cyberdyne building action sequences and of course steel mill action sequences are perfect for this film. This film deals with a lot of action, sci-fi and does involves a lot of paradox past travel. There is a lot of explosions and automatic weapons used in the movie and they are used well thousands of bullets are fired and explosive projectiles are fired at the police cars. <br/><br/>Arnold Schwarzenegger as the good terminator T-800 did an awesome Terrific real job, he acted believably as one of his best characters I ever saw on screen. Terminator walks to the front of the building and kicks a desk out a window. Than ignores the police's order to surrender and fires a M134 Minigun with Chainsaw grip at the police cars below, avoiding the humans. The helicopter pilot moves away. Terminator than uses a M79 grenade launcher to destroy two more vehicles. Its heads-up display indicates no human casualties. The film has a heart and is the best film in the world. <br/><br/>Robert Patrick as T-1000 is ""a mimetic Polly-alloy"" or ""liquid metal."" He can shape shift to match other people he touches, after first arriving in present time, he decides to have his base form be that of a nearby cop he killed and passes himself off as a cop in that form. The truck chase scene is awesome and the crash is also awesome. The truck that hit in to another column in the canal and explodes, T-1000 emerges as a shiny, featureless, liquid metal figure. Its features become more pronounced and its colors return to normal, returning to the form of the unharmed pseudo-cop is awesome. It shows what his character can do. <br/><br/>Linda Hamilton is the only Sarah Connor she acted her character perfectly here she played her character genius and very convincing and real, tough beyond all belief and completely focused on preventing the nuclear war and ensuring John's safety. Sarah Connor is her best performance ever in the both Terminator films. Little out of her mind with paranoia and anger: amazingly, you see actual character development (specifically, when John and T101 arrive at Dyson's house to prevent her from doing what she wants to). <br/><br/>Edward Furlong, is the only John Connor for me, is not bad himself as the extroverted kid who's confused by the fact that everyone except his mom told him his entire upbringing was based on a lie. The bit players all do their jobs well. Earl Boen plays the semi-sadistic mental hospital warden Dr. Silberman from the first film The Terminator (1984) that stands between Sarah Connor and her son (until the T1000 makes a chilling entrance).<br/><br/>Arnold Schwarzenegger, Linda Hamilton, Edward Furlong and Robert Patrick did there best acting performances, those actors who played there characters are beloved till this days and Terminator 2 has since been ranked as one of the greatest action, science fiction sequel films of all time. <br/><br/>Twin sister of Linda Hamilton also appeared as Leslie Hamilton Gearren as Twin Sarah in dream she was for real there wasn't no CGI in here. Twin brothers Don Stanton and Dan Stanton both of actors appeared in here one as Lewis the Guard the other as Lewis as T-1000 who kills lewis they were for real no CGI, except special effects for T-1000 knife. Terminator special effects were designed by Stan Winston R.I.P. who has done incredible job making those effects. <br/><br/>The film is absolutely filled with great, classic moments. T2 is James Cameron masterpiece. This wouldn't be an action movie without some action. James Cameron writes, produces and directs brilliantly this film. Brad Fiedel does a perfect music score to the film. American rock band Guns N' Roses wrote a single for this movie ""You Could Be Mine"" and Schwarzenegger appeared in the music video as T-800 in the music video for this movie. <br/><br/>The chopper scene that crashed in to a SWAT van and explodes was awesome. The CGI and special effects are awesome. This movie is what it is, a perfect 10, because it takes the vision of one of the most imaginative directors on Earth, and realizes them almost perfectly with all the tools that fit the task actors, stunts, puppetry, models and special effects designed from Stan Winston. <br/><br/>It is Rated R for strong sci-fi action and violence, and for language, it is a perfect film from the 90's that I have grew up with it. 10/10 Score: Bad Ass Seal Of Approval"
"red_core","10","796","979","23 February 2004"," the best action film of all time, and NOT due to the CGI
","Disclaimer: If you are a viewer that mainly prefers arthouse-type movies, then you might as well ignore this review. In addition, if you're not able to take a few sci-fi leaps of faith, ignore this review, as well. We'll both be better off.<br/><br/>This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1991!), with multiple huge explosions, with thousands of bullets fired, and scores of stuntmen used.<br/><br/>This movie is what it is, a perfect 10, because it takes the vision of one of the most imaginative directors on Earth, and realizes them almost perfectly with all the tools that fit the task -- actors, stunts, puppetry, models, and CG. Without the vision, this film would be nothing. Without the tools, this film would be nothing.<br/><br/>But, a little bit of background is due. This is the sequel to the Terminator (1984), whose premise was that a near-indestructible cyborg is sent by evil self-aware machines from the near future to destroy the mother-to-be of the military commander who would lead the humans to a victory over the machines. Oh, and this terminator machine would come from a time of war between men and machines which followed a nuclear exchange that left billions of people dead, first. In Terminator 2, John Connor (the commander-to-be) is about 12 years old, and his mother (Sarah) is feverishly trying to prepare him for his fate, even as she tries to stop the factors that will lead to the nuclear war and the entire terrible future that made all this necessary. The machines now send a superior, more intelligent, shape-shifting cyborg (T1000) into the past, to kill John himself. Meanwhile, future-John reprograms the ex-evil Terminator (T101) from the original film, and sends him into the past to PROTECT John against the T1000.<br/><br/>That's your basic plot. It does involve travel into the past, so it immediately presents a time-travel paradox which can't really be resolved. In order to even try watching this movie, you MUST LOOK PAST THE PARADOX. If you don't, this movie has zero credibility, and is not worth your time.<br/><br/>What happens after the two terminators appear in the past is a wild ride rife with macho action, dark reflection on the nature of man, and a few rays of hope, here and there. Schwarzenegger (the good terminator) and Patrick (the bad one) make for such effective foes that the times they meet on-screen are completely breathtaking (and odd, given that you repeatedly see the relatively slim T1000 through Arnie through a wall or two). Hamilton, as Sarah Connor, is a wonderful character -- tough beyond all belief and completely focussed on preventing the nuclear war and ensuring John's safety, yet clearly a little out of her mind with paranoia and anger; amazingly, you see actual character development (specifically, when John and T101 arrive at Dyson's house to prevent her from doing what she wants to) in her otherwise 2-dimensional character. And Furlong, as John, is not bad himself as the extroverted kid who's confused by the fact that everyone except his mom tell him his entire upbringing was based on a lie. The bit players all do their jobs well, particularly Earl Boen who plays the semi-sadistic mental hospital warden that stands between Sarah Connor and her son (until the T1000 makes a chilling entrance).<br/><br/>With these players set in motion, it's up to the script to deliver the real substance of the movie. (One often sees great performances in mediocre films... here the story transcends the performances -- an impressive feat.) The script delivers. The film is absolutely filled with great, classic moments (I counted TEN all-star ones during my last viewing), and they're evenly spaced through the movie. I mean, who doesn't cheer (at least inside) when Arnold steps out of the biker bar, fully clad in leather when ""Bad to the Bone"" music starts to blast? The guy absolutely bleeds coolness. And the T1000 absolutely bleeds evil. But, with so many great moments, you'd think the pacing would be a little uneven... not really! The film shifts from place to place with an ease that makes perfect sense, never giving you the time to start being a little nitpicking jerk, always driving forward, but always doing so thoughtfully and with attention to detail.<br/><br/>Of course, this wouldn't be an action movie without some action. There's plenty of it, and it's perfectly done. The CG effects for the shape-shifting T1000 were cutting-edge for the time, and still look great (whoever said differently below is simply incorrect) -- even if they're completely commonplace today. The stunts are completely insane in scale (at one point, a helicopter flies under a highway overpass; at another, a motorcycle jumps from the 2nd floor of a building into a flying chopper). (Probably, only the Matrix and the Lord of the Rings movies compare in terms of the level of stunt insanity.) And the gunplay is delivered in perfect Cameron-Schwarzenegger style (as opposed to the slo-mo John Woo-style) -- you'll see lots of heavy automatic and explosive weapons, and you'll see them used well. The film is violent, and somewhat bloody, but ALL of the mean-spirited violence is dealt by the evil characters, not the ones you root for (Quentin Tarantino fans: sorry). And then the truly amazing scenes that bypass acting are shocking and memorable -- just wait until the nuclear detonation sequence.<br/><br/>I'm not sure what else you would want in a movie. Probably moral content, and the movie has a very clear pro-human, anti-war message. The message is a bit stale, and the delivery IS, at times, a little heavy-handed (and some moments with the T101 seem just a bit unrealistic, towards the end), but the movie has heart, and that you cannot deny. Plus, it simply rocks. 10/10"
"Smells_Like_Cheese","10","345","419","4 August 2002"," This is the sequel that dreams are made of.
","Normally when people tell you about a sequel that was better than the original or just as good, Terminator 2 is always guaranteed to be in their list; why? Because this is THE action movie of all action movies, next to Die Hard, this is the movie that isn't just about the action as well, but has an incredible story and message behind it that will always stay with you. Terminator 2 like the first Terminator film has memorable lines, moments, and incredible effects. This is the film that made you believe in ""liquid metal"" machines. Robert Patrick's performance is flawless, to be honest I found him a million times more terrifying than Arnold in the first Terminator, because Robert looks like this normal average guy, but he's not like Arnold where he gets shot and you can clearly see he's a terminator, Robert goes back to human looking and won't stop. Not only that you don't know how to stop him. Linda Hamilton returns and gives a great performance as Sarah Conor who is no longer a meek little girl, she has turned into a strong woman who will do anything to protect her son and the future. Arnold is back and he's better then ever! No wonder in the future they made several terminators that look like him, he's great entertainment.<br/><br/>Eleven years after Sarah Connor destroyed the original Terminator that was programmed to kill her, two Terminators arrive in Los Angeles from the year 2029. The first is a Terminator identical to the one that Sarah first encountered, while the second is a new model which assumes the identity of a police officer. John Connor is now a 10 year old living with foster parents. Sarah's experiences have made her tougher and more vigilant, but also desperate to warn humanity about the coming apocalypse. After attempting to bomb a computer factory, Sarah is arrested and remanded to the Pescadero State Hospital for the Criminally Insane under the supervision of Dr. Silberman. Meanwhile, the Terminators locate John Connor in a mall. After John is rescued and a chase through the L.A. storm drain channels, the original Terminator escapes with John on his motorcycle. The Terminator explains that he is reprogrammed by the future John Connor to protect and obey John's younger self. The other Terminator is a T-1000, an advanced new prototype programmed to kill John. It is made of ""a mimetic polyalloy"", a liquid metal that allows it to take the shape and appearance of anything it touches. It can also form into knifes and stabbing weapons. Learning that the T-1000 will likely kill Sarah and then mimic her to lure John, John orders the Terminator to help free her. Initially, Sarah is terrified by the Terminator; but after seeing it fight off the T-1000, she accepts that they need its help. As they escape the city, the Terminator informs John and Sarah about Skynet, the sentient computer system that will nearly wipe out humanity in an apocalyptic nuclear attack on ""Judgment Day"".<br/><br/>Terminator 2 is one of the best films of all time, this is a film that I absolutely adore and if someone hasn't seen it, there's something seriously wrong. This story is a special one: humans, are we our own worst enemy? Arnold's line ""It's in your nature to destroy yourselves"" is something that always sends chills down my spine because it's true. I loved the relationship between Arnold and Eddie Furlong, interesting to see a terminator take the place perfectly of a father and you see the pain in Eddie's eyes of never wanting to let go of the terminator. Like Sarah Conor said "" The terminator wouldn't stop, it would never leave him. It would never hurt him or shout at him or get drunk and hit him or say it was too busy to spend time with him. And it would die to protect him."" meant a lot to me. Like I said, if for some odd reason you have seen this movie, do see it! I promise you that it's just an excellent film and one that will always stand out against cinematic history.<br/><br/>10/10"
"jamesqt","10","460","565","18 February 2006"," Best action film ever!!!
","This superb sequel surpasses the excellent original in every department and quite simply you won't see a better action film. Set 15 years after the original Arnie may return as the good Terminator trying to protect John Connor but he's a redundant piece of scrap metal compared to the T-1000.<br/><br/>The opening hour and the last half hour is absolutely breathtaking with action sequences that still remain unsurpassed. Their's also a wonderful piece of storytelling 3/4 of the way through where Dyson relises the terrifying consequences of the project he's neglecting his family for.<br/><br/>The performances are memorable particularly Linda Hamilton's Sara Connor and simply put, they'll never make a better action film."
"MovieAddict2016","10","417","514","5 November 2003"," He Said He'd Be Back...and He Certainly is!
","Who said sequels aren't any good? ""Terminator 2"" is the ultimate sequel, a big bad wolf ready to chomp the head off of anyone who crosses its path. It's dark, it's mean, and it's one tough movie. It's not as bleak as the first film, at least in terms of visuals, but rather has a new kind of bluish-tint that supplies a great backdrop to the ongoing battle between man and machine.<br/><br/>If there was ever a contemporary mainstream visionary director, it is James Cameron. Here we've got Cameron's real thoughts on the series, those repressed by a low budget in the original film. He lets loose here, filling every frame with hard-boiled action and special effects. He introduces a liquid metal Terminator that he wanted to use in the first film, but graphic processors and CGI were not advanced enough in 1984, at least not advanced enough to work on the low means he had to film the original. So his original dream is finally unveiled, and good golly, is it wonderful.<br/><br/>Yeah, he's ""back."" Arnold (like he needs any introduction?) returns as The Terminator, Series T-101, Model T-800, an indestructible cyborg sent from the future to assassinate Sarah Connor (Linda Hamilton) in the first film. Well, it's 1991. New film. New mission. He has to save the future resistance leader of mankind who will ultimately defeat the machines of the future, John Connor (Edward Furlong), Sarah's 11-year-old son. (Though his age has been switched from 11 to 13 and back to 9 over the years, with no help from the third film that takes place in 2003, yet claims he was 13 in 1991 though his age doesn't match with his age in the third. We'll just leave it at 11 in this film. Got that?)<br/><br/>Another model Terminator, the T-1000 (Robert Patrick), has been sent back to 1991 programmed to annihilate John Connor. Which explains Arnold's appearance. Arnold, an undoubtedly lesser opponent compared to the T-1000, has to help save the day and learn to appreciate humanity. It won't be easy. First, he has to find John Connor, who is a rebellious angst-driven pre-teen living with foster parents. Then, together they have to break into the local loony hospital and release Sarah from the clutches of Dr. Silberman (Earl Boen), who believes Sarah is delusional. (You may remember Silberman as the psychiatrist from the first film, too.) Then, they have to stop a computer chip designer (Joe Morton) from creating the first version of a SkyNet computer, modeled after a destroyed chip his employment company discovered at a large mechanical warehouse. (Which is, of course, the chip from the destroyed T-800 of the first film.)<br/><br/>Whew. On with the film analysis, right? Where to start? This isn't as fierce or brutal as the first film, but it's got plentiful action sequences, a large budget, great special effects (even compared to those gracing the screen nowadays), not to mention a great character study of the machine we loved to root against in the first film. Of course, this Terminator has no memory of the first film, since he wasn't in it--SkyNet creates hordes of the same version machines on a large conveyor belt and ships them off to fight in the war. Some are sent back through time. So, with that in mind, John Connor's resistance found an extra Arnold lying around in an abandoned warehouse, programmed him to keep John Connor out of harm, and sent him through the time portal.<br/><br/>Sarah doesn't trust him. In a deleted scene available on the Ultimate and ""Xtreme"" edition DVDs, Sarah says, ""You don't know what it's like to try and kill one of these things!"" It's an important scene that should have been left in the final cut. In it, Sarah is about to destroy the machine's central processing chip located inside his head, when John stops her. It's important because it focuses on the fact that Sarah still doesn't trust him, and came close to destroying him purely out of prejudice, without giving him a chance. As much as I don't like it when people go on about hidden meanings in films that obviously are not meant to have hidden meanings and are purely little flubs made by directors unrightfully analyzed for deeper meaning(s), ""T2"" clearly has an underlying message: One, don't judge a book by its cover. Read it first. Two, if an emotionless killing machine can learn to appreciate life, why can't everyone? And three, the most important fact of all: Never mess with a muscular man who walks into a bar completely naked and requests your clothes and means of transportation.<br/><br/>I suppose the question on most interested viewers' minds is this: Is ""T2: Judgment Day"" better than its predecessor? Well, in some respects, yes. In others, no. It lacks the fierce brutality and darkness of the first film, but makes up for it with spectacular visual effects and action sequences. It lacks the horrific central focus of the first film (futuristic, indestructible cyborgs with no feelings being able to unemotionally kill), but it makes up for this with a new focus of humanity, coming to accept your future, and how it would look if two colossal killing machines entered into an arena together.<br/><br/>In some ways, I like the first better. But then I think about the second film and I have a hard time choosing. I suppose if I had to choose I'd choose the first film. And let me just state for the record that I'm glad I don't have to choose.<br/><br/>5/5 stars."
"MR_Heraclius","10","44","50","6 March 2020"," Great
","A classic and belongs in the top tier of action films. The action sequences are exciting and plain awesome. Involving an arsenal of weapons, a Harley-Davidson and Arnold Schwarzenegger, action movies don't get better than this."
"athlynne81","10","44","50","27 October 2005"," A piece of cinematic genius...
","I adore this movie. I could never stand action movies, but T2 is so intelligent and moving that it stands apart from everything else.<br/><br/>First, the story - brilliant, smoothly making the necessary transition from T1. The dialogue runs the gamut from hilarious to heartbreaking, but always strikes exactly the right chord.<br/><br/>The cinematography and effects are stunning, especially the scenes filmed during ""magic hour"", when the pale gold of sunset casts a meaningful and lovely effect on the scene. Being the first $100 million movie naturally the effects are remarkable for their time, but they hold up wonderfully against anything made today.<br/><br/>It's the actors, however, who steal the show. Linda Hamilton can play insanity and despair like nobody's business, and she gave her all here. Robert Patrick was wonderful in the demanding role of the T-1000, creepy and threatening even during the funny finger-wagging moment. Arnold Schwarzenegger balances non-stop action with a machine's emerging humanity; frankly this movie cancels out every dumb action flick he ever made. New-comer Edward Furlong carried the film with seeming ease, giving an astonishing performance for his age and lack of experience; the ""We're not gonna make it, are we?"" scene is hauntingly perfect.<br/><br/>James Cameron and his team have given us a classic that has something for everyone. You'd never know that this is the guy who made Titanic."
"TOMASBBloodhound","10","28","31","30 August 2009"," Note to Hollywood: This is how you make an action film.
","And yes, I'd consider this more of an action film than Sci/fi since it takes place in contemporary times and locations. Nowadays, it can be hard to distinguish an action film from a video game. In fact there is one coming out soon that appears to be both. I guess studios these days feel that kids need something to see while resting their fingers after long days of playing their Nintendos/Playstations/whatever. So they come up with all of these PG-13 action films that are often mere meditations of comic books, toys, or old TV shows. Looking back at T2, one may find the action films of today sorely lacking in comparison.<br/><br/>The story of course deals with Arnold returning from the future to protect a boy who will some day lead the human resistance against a world run by machines. This time Arnold is the good guy (as per Schwarzenegger's request) and he's up against a lethal and much more advanced prototype sent to off the kid. The CGI used to create this new T-1000 terminator was jaw-dropping at the time this was released. Though technology to create such things is now infinitely more available, this has led to problems in my book. Now, there is too much done with computers, and stunts don't seem so wonderful if you know it was all done on a computer. Most of the stunts in T2 were live action and extraordinarily filmed using all types of vehicles and explosives. Director James Cameron really sold these stunts in terms of how he filmed them.<br/><br/>Not all directors are a good as Cameron. That is a given. But directors looking at making action films should take note of other strengths found in the construction of T2. First of all, you don't need shaky camera movements to sell to your audience that there is an exciting or crucial scene happening. Here the photography is crisp and detailed. You see everything clearly that you need to see. Right down to the little things. The action sequences are perfectly blocked and the spacing between hostile parties is easy for the audience to figure out. We know who is shooting at who, and how far apart they are from each other. Cameron also made sure his entire cast was proficient with the weapons they were going to fire in the movie. And guns run out of ammunition and need to be re-loaded at appropriate times. Nothing seems artificial in a shootout.<br/><br/>I could go on forever pointing out good qualities of this film. Just watching a bit of it on Bravo the other night reminded me why I saw it so many times in the theater. And this film was rated R! And it still made a fortune! That just proves if you make a good product, you don't have to dumb it down or tame it for the kiddies. If it's good enough, they'll find a way to see it! 10 of 10 stars. Unfortunately, the inspiration seems to have left this series with Cameron.<br/><br/>The Hound."
