"username","rating","helpful","total","date","title","review"
"alexkolokotronis","10","56","69","3 February 2009"," I Almost Died Of Laughter
","This of course is not a great movie but I just have to give it a 10/10. I have never laughed more in my life. Even the jokes that aren't funny are funny. This film's comedic build up is about the best you will ever see. It doesn't even matter what the punch line is, its how they get to it thats hilarious.<br/><br/>Now this cast was perfect. Anytime you have Randy Quaid in a film you just know the film is going to make you life just by looking at him. Kingpin couldn't have shown this any better as he plays an Amish man who just happens to be amazingly talented at bowling. Woody Harrelson plays a has-been ex-professional bowler who makes a comeback with managing through Randy Quaid. Together they go on a ride across the country making money left and right. Along the journey they are great supporting comedic performances given by Bill Murray and Vanessa Angel who certainly makes the look of the film more appealing.<br/><br/>The Farrelly brothers in my opinion give their best direction they've yet to have. Yet it is the writers who so perfectly set up one joke after another. It seems as if the script is so sharp that their are jokes within jokes. The Farrelly brother handle this material so well by virtual unknowns.<br/><br/>As I have said before this is not a great film but I would highly recommend this if your in the mood of watching something spontaneous. It may not be the most technically sound movie ever made or the deepest but I have never laughed so much in life and that in it self is what comedies are about."
"lambiepie-2","10","42","52","19 November 2002"," This film is rude, crude and very funny
","When this film first came out, I had no use for it. Then I was home sick one day and caught it on cable. I laughed my butt off. This is a crude, rude and down right funny film. It also helped that I grew up near the Pennsylvania Dutch and plenty of bowling lanes. Two seemingly safe areas that the Farley brothers attack it without mercy. Sometimes it gets down right disgusting and many cannot stomach, but overall, its very funny.<br/><br/>Bill and Woody were funny as anything. The Disco-era beginning makes me laugh like crazy. The commercial Bill Murray does is to die for. This film will offend alot of people, and many references played for humor may make folks feel uncomfortable, but I loved it. If you are easily offended, this is NOT the film for you. But for everyone else who likes rude, crude and deviously funny -- often at the expense of others kinda humor, this is a gem to see."
"mulhollandman","10","54","70","26 August 2006"," An abrasive comedy that is not for all tastes
","Kingpin should be approached with the same kind apprehension that any sane person would approach any Farrelly Brothers film. Expect a procession of jokes at the expensive of the main characters, fused with an simple storyline and that's exactly what to expect from a Farrelly brothers film.<br/><br/>Woody Harrelson plays Roy Munson a washed bowler that had potential to be a professional Bowler but his dream comes to an end when he encounters Ernie McCracken, played to perfection by Bill Murray who ends up costing Roy Munson his bowling hand. Cut to mid-90's Roy is now an alcoholic, in serious debt. A chance meeting with Ishamel Boorg, played by Randy Quaid, an naive Amish man at a bowling alley leads to the pairs cross country trip to save both their respective futures. Along the way they met Claudia, played by Vanessa Angel, a tough talking con woman with her own mission. Together the three form an unbreakable bond and come face to face with their adversary Ernie McCracken.<br/><br/>I like my comedy to be intelligent, and Kingpin is one of the few movies of its kind that actually makes me laugh. It made me laugh when I first saw it in 1996 it made me laugh till I was sore and now ten years on in 2006 it still makes me laugh. The cast are brilliant and it's their talents that really keep this comedy from dating. Randy Quaid is always solid, Vanessa Angel is devilish sexy and cunning, Woody Harrelson is suitably vexed and Bill Murray reminds us all why he has remained Hollywood's main comedy actor long since all his peers disappeared.<br/><br/>Kingpin is definitely for an adult audience and it is worth watching some night that there is nothing on the television or at the cinema. Not for all tastes but damn it is good and it is one of the Farrelly brothers better films in my opinion. 10 out of 10"
"ray-280","10","42","54","16 August 2005"," Now I Know Why I Quit Bowling
","I say this in a good way: this film captures bowling's underbelly, where even the pro stars sometimes have to supplement their income the old-fashioned way: by taking it directly from obviously weaker bowlers who somehow manage to be convinced to risk their money. Just as poker games are often won with guns, bowling for money has hazards all its own, something I learned even as a junior bowler hustling games after the league on Saturday.<br/><br/>Roy E. Munson (Woody Harrelson) is such a loser that acting like a total loser is actually called ""being Munsoned."" The term is named after an incident where some victims of a bowling hustle relieve Roy of his right hand in a gruesome manner which involves bowling equipment. Somehow, even THAT manages to be funny, which speaks to the quality of this film, a film smart enough to have its three main stars on screen for most of the time. The 1979 accident was the result of Roy taking the fall for the hustle engineered by legendary bowler Ernie McCracken (Bill Murray).<br/><br/>Fast forward to 1996, and Roy stumbles across an Amish bowler named Ishmael Boorg (Randy Quaid), the most talented bowler he's ever come across. He offers to coach Ishmael for a $1 million tournament in Reno, Nevada that can save his family farm, but Ishmael is conflicted (the deepest emotion of the film) because he has strayed from the Amish country. Ishmael's brother is the requisite family member sent to bring the stray relative back home, and Vanessa Angel is extra-hot as the love interest for almost every guy in the film.<br/><br/>If you think this is a parody of bowling, the joke may be on you. Hang around enough lanes, in certain places, and you just might see these guys or something very close to them. Just be careful if they look drunk and want to play for money."
"jotix100","8","29","37","25 August 2005"," Bowling anyone?
","Bobby and Peter Farrelly, the directors of ""Kingpin"" show a great flair for this type of comedy. Not having seen it when it first was released, we were lucky to catch it on cable the other night, and frankly, it proved to be a happy choice. The Farrellys had a good screen play by Barry Fanaro and Mort Nathan to work with, as they showed a talent for assembling a wonderful cast to make this a winning comedy the fun and exciting film it is.<br/><br/>The best thing in the film are Woody Harrelson and Bill Murray. Mr. Harrelson plays Roy Munson, the man who love bowling, but through an unfortunate incident, loses his ability to play the sport he was born to play. Woody Harrelson is wonderful in his portrayal of Munson. Bill Murray's role is much smaller, but he does wonders with it. Best of all is the way we see him at the bowling tournament in Reno with his teased hair in disarray.<br/><br/>The rest of the cast is good. Randy Quaid as Ishmael Boorg, gives a funny reading of his naive character. Also the attractive Vanessa Angel plays the woman who has an interest in the game."
"bat-5","7","25","34","10 July 1999"," Bill Murray at his best!
","Bill Murray pretty much steals the show every time he's on the screen. He's sleazy, he's smarmy and he's very funny.  With that comb-over going nuts at the big game, and his victory dance at the end makes Kingpin that much better.  That's not saying that the rest of the film isn't good, it is. Woody Harrelson, Randy Quaid and Vanessa Angel make a very odd partnership. An Amish bowling whiz, a one handed ex-bowler, and a very sexy hustler scheme and dream to make it to Reno, but of course they have to beat Big Ern."
"KUAlum26","9","26","36","22 July 2006"," I Haven't laughed THIS hard at the movies too often
","Young Roy Munson has been raised to be a bowler.It's what he does best. In 1979,at the age of eighteen,Roy(Woody Harrelson from here on out)is at the top of his game and a bona-fide star in his Ohio hometown. After he beats Ace pro Ernie""The Big Ern""McCracken(Bill Murray,smarmy and snarkly as ever)in a match,he is raked into Ernie's con game and pays a dear price for it.<br/><br/>Seventen years later,Roy is anything but the local hero he once was. He lives in a seedy apartment in small town Pennsylvania,does odd sales jobs and has to ""satisfy"" his decrepit landlady to avoid the rent. It's at one of the bowling alleys that Roy does routes to that he witnesses one Ishmael Boorg(Randy Quaid,backing his scene stealing performance in ID4 with this bravura turn),a sweet,gentle Amish man-child who has a natural knack for bowling. Needing money and smelling a chance at scoring big time,Roy decides to take Ishmael under his wing.<br/><br/>On the way to a Million dollar tournament in Las Vegas,Roy and Ishmael pick up a comely stowaway and ally in a gangster's moll(VAnessa Angel) and bond from mishap to mishap.<br/><br/>There's nothing particularly brilliant or especially sharp about this offering,the second from the brothers Farrelly,but its uniqueness and lack of restraint on the gross-out humor make this movie a very easy watch(for those who love that kind of stuff,of course). Harrelson,Quaid,Murray and Angel move effortlessly through this flick,which may explain why it's so good. Since this film,the Farrellys have steadily moved away from the almost merciless gross-out gags of their films and has made seeing their films a little less riotous and fun,so this movie is a healthy reminder of what a little imagination(I mean,honestly...a movie about Bowling AND the Amish?)and mischief can make. A great cheap rent or cable TV movie."
"FeastMode","5","5","6","26 July 2019"," my notes
","Good for a bunch of laughs including some really funny parts, but also pretty long with extensive amounts of unfunny time. i didn't like it overall, but i had a decent time with it. wouldn't watch it again (about 2 viewings)"
"AlsExGal","8","6","8","1 September 2019"," Roy was a great bowler...and then he got Munsoned
","In 1979, to the tune of ""Disco Inferno"", Roy Munson (Woody Harrelson) demonstrates that he is the greatest bowler in the world. Except nobody knows this but himself, his dad, and the rest of his small Iowa hometown. So he sets out on the open road to make his fame and fortune in the sport. And then he runs into HIM...Ernie McCracken (Bill Murray). Ernie talks Roy into running a scam with him on some other bowlers, basically a hustle, and when the scam goes bad, Ernie takes a powder and leaves Roy holding the bowling bag. And the scammed - including a preacher - do not take it well. They take revenge by putting Roy's bowling hand into the bowling ball return. You don't actually SEE the gore, but the next scene is Woody in present day (1996) stopping his morning alarm with his extremely fake looking prosthetic hand to the tune of ""It's a Beautiful Morning"".<br/><br/>Roy's fortune looks like it might take a turn for the better when he encounters an Amish bowler, Ishmael (Randy Quaid), who has an incredibly high bowling score average. He wants Ishmael to go with him to a one million dollar tournament in Reno. Ishmael won't go because the bowling hobby is a secret from his family, one that his family and the entire Amish community consider sinful.<br/><br/>So the rest of the film consists of a hilarious take on the Amish community - ever notice this is the LAST group of people that it is OK to make fun of?, a beautiful but unwanted passenger (Vanessa Angel), and another encounter with HIM - Ernie McCracken, now a successful pro bowler...who still has both of his hands.<br/><br/>With Bill Murray as, well, Bill Murray. He's always the same character. We wouldn't want it any other way, at least in a comedy. Also with Lin Shaye as the woman with patent leather skin, an oversexed landlady who is playing the same kind of gross-out role she had in ""Something About Mary"". And about Roy being ""Munsoned"", along the way he learns that his last name has become an adjective, meaning ""to have the world in the palm of your hand and blow it"".<br/><br/>Sure this film is full of juvenile jokes, but overall it is very funny, plays to the strengths of the cast, and is for everybody who feels like they blew an opportunity in life, which is just about all of us. It's a shame most of the critics at the time didn't get that."
"mapeoleaf","7","6","9","30 December 2003"," Long Live the Comb Over
","I thought this movie was great.  It has a fantastic cast made up of Woody Harrelson, Randy Quaid, and Bill Murray.  I agree with other users that this film has not been rated fairly.  You simply have to take it for what it's worth, and I personally think it's wonderful!<br/><br/>Woody Harrelson plays Roy Munson, a drunken, former pro-bowler trying with much difficulty to earn a buck.  He discovers a young Amish man who may be his ticket back to bowling prestige (if that actually exists).  The two bowling hopefuls proceed on a road trip to win the grand prize in a bowling championship in Las Vegas.   This movie is truly hilarious!  Woody Harrelson does a fantastic job in the role of the sad sack ex-bowler with a rubber hand.  He seems to have aged ten years in his portrayal of this character.  Bill Murray is his adversary, ""Big Ern"" McCracken, whose bad toupee seems to have a life of its own. Murray is wonderful in this role with his cocky and pompous attitude.  There are certain scenes of his character in a television commercial that are quite literally, marvelous.  Finally to finish off this stellar cast we have Randy Quaid as Ishmael, the NaÃ¯ve Amish man who could quite possibly be the next Bowling legend. I must also mention the gorgeous Vanessa Angel as Claudia.  Her character is under developed but she still has the charisma and sex appeal to ignite her scenes.<br/><br/>This movie must be viewed for what it is worth.  This means, it is not Oscar material but it is a very funny movie.  So watch the film with this in mind and enjoy all the hilarious scenes and great performances.<br/><br/> 7/10"
"ne12abaa3-1","9","21","45","12 June 2005"," one a hell of a movie
","this is a great movie , the jokes so smart , and very nice 60-70 sound truck , the movie is a combination of a road movie and self definition movie. bill Morey plays the bad guy and he adds his touch of comedy , Ishmael and his jokes are historical, especially one Ishmael end up working as a female striper, and when he discover a small tattoo one the chest not noticing the side to side tattoo at his back. some parts may be considered a bit racial , but all on all this movie is very funny. the scene where woody Harrison milks the bill is eternal. the end as always a happy end. in Iraq this movie was a hit , and still available at video rent shelfs.not much cgi, Vanessa Angel definitely plays a nice part and she is a very hot one, the scene of fight between her and woody was to much and you can see the sub performing."
"ccthemovieman-1","8","10","19","14 July 2006"," Bowling: It Can Be A Crude Sport!
","What a strange comedy this turned out to be. Of course, that's not a shock considering you have Woody Harrelson, Randy Quaid and Bill Murray starring. Now there's a stable, conservative trio!! <br/><br/>This actually has some very funny moments. At first I was afraid it was going to be too irreverent to the Amish - and there definitely was some of that with Quaid's character, who is made to look like a total dimwit, who has no knowledge of the Bible and is easily led - NO characteristics of an Amish person, BUT the film really isn't mean-spirited and it does show respect for the Amish in a number of scenes. However, it's still very much a sleazy film and the writers wouldn't have done this with any other non-Christian character.<br/><br/>All the characters in here, including the profane female lead played by Vanessa Angel (who?), are fun to watch. The most outrageous, in a minor role, is the female landlord who has to be seen to be believed.<br/><br/>Bowlers will especially like this film since a good part of it centers around that. A number of PBA members put it cameo performances. One scene, with the fake hand attached to the bowling ball as it returns from the ball rack had me almost in tears laughing, for some reason. Murray's take on the flamboyant bowler (and there have been a few over the years on the Pro Bowlers Tour) is hilarious.<br/><br/>Crude, but a funny film for the most part."
"peeedeee-94281","5","3","4","9 October 2019"," Entertaining But Falls Apart Towards The End
","I finally got around to watching this Farrelly brothers movie. I've seen Dumb & Dumber, There's Something About Mary, etc... I thought I had scene Kingpin, but as I watched it, it didn't seem familiar.
The story wasn't quite original. A star athelete who gets down on his luck and finds a protege to coach to greatness - its been done many times before. This one was set in the world of bowling.
For this movie, unfortunately, you have to set a lot of the logic aside to really find it funny. Like an Amish guy who is an expert bowler and is able to hide it from his family (strangely, they kept calling him a 'boy', Randy Quaid looked older than Woody Harrelson). Somehow they are able to travel across the country with almost no money, with the intention of arriving in Reno Nevada to enter a bowling tournament?
But where the movie really falls apart is the whole thing was a set up for Randy Quaid's Ishmael character to shine in Reno. But then he hurts his hand, and Woody Harrelson's Roy decides to bowl instead. Huh? So you think, hmm, how is he going to bowl with his left hand? Is he going to have time to practise?
No, the movie instead has him using his prosthetic hand to bowl. Now, throughout the movie, we've been shown how the hand is more like a glorified rubber glove. It's very flimsy, and can come off easily. The fingers have no support, so they're easily bent back. Yet, Roy suddenly is able to carry a 12lb bowling ball in that hand?!! That's where the movie really loses me.
Then you have Ishmael leaving without saying goodbye, so you think that Roy is mad at him, because Ishmael didn't even stay to see him win or lose. And even though Roy manages to earn some money (who pays a $500,000 advance for advertising?), he gives it all just to save Ishmael's Amish community. Seems a bit too generous, even if he did get the love of bowling back, kind of.
So while this comedy has some enjoyable moments, the way Roy is able to bowl competitively after not having bowled in 17 years, and with a soft rubber glove, doesn't really hold up. But I will say I did find the fly away comb-overs that Bill Murray and Woody Harrelson had in that final match was pretty funny.
Yes, I get it's a comedy, but come on, this isn't set in a fantasy world on a fantasy planet. Farrelly brothers should have come up with a better final 20 minutes."
"a_chinn","7","3","4","12 July 2018"," The crass breakout Farrelly Brothers comedy still holds up
","I saw this back in the day in the theater at a midnight showing and loved it. ""Kingpin"" was a box office disappointment upon it's original release, but it found it's audience on home video and became something of a cult classic. The set-up is basically ""The Natural"" except instead of a 1920s Robert Redford having his baseball career cut short, we have a 1970s Woody Harrelson's promising professional bowling career cut short. Harrelson resurfaces 20 something years later to mentor an Amish bowling prospect, Randy Quaid, in order to get payback against bowling star Bill Murray, who was responsible for Harrelson's career ending bowling injury. Suffice to say, it's not the story that made this film memorable. It's the many over-the-top hilarious gags and some surprisingly earnest characters that make this film still hold up today. Some of he best gags involve Harrelson's rubber hand, the foul mouthed Lin Shaye, Harrelson trying to pass as Amish, Quade getting some cold drinks, and an odd Indecent Proposal sequence involving a cameo by Chris Elliott, but it's really Bill Murray who steal every scene that he's in, whether he's mugging after losing a bowling match, doing a self serving infomercial, or something as small as his bad hair combover, he is absolutely hilarious in what might arguable be his best comedic performance (and that's saying something). It's really too bad Murray's part is a supporting role, but it may be his limited screen time that makes his performance so special. Writer/directors Bobby and Peter Farrelly had previously made the popular (and I believe critically underrated) ""Dumb and Dumber,"" but it was this film that helped pave the way for the slew of raunchy 90s comedies that followed, such as ""American Pie,"" the Farrellys own ""There's Something About Mary,"" all the way up to ""Superbad."" The 80s certainly had it's fair share of Porky's inspired raunch, but this new generation is a bit more story and character driven than their sleazier 80s counterparts. The main weakness of ""Kingpin"" is that the sappy maudlin elements of the story, which do certainly make the characters more empathetic, are often incongruous with the raunchy and absurd comedic elements. It's hard to go from Harrelson ""milking"" a bull or ""paying"" his rent to his hideous landlady to caring whether he finds redemption and self respect. However, ""Kingpin"" remains an enjoyably crass and rude comedy that although not be for all tastes is a hilarious treat if you can get into the spirit of the film. Vanessa Angel, Richard Tyson, Rob Moran, and Daniel Greene also appear in the film."
"andy stew","Null","3","4","27 October 2001"," Bill Murray in one of the funniest comedy scenes ever
","I enjoyed this film a great deal. There were many hilarious gags and some clever satirical sideswipes, and the main performers were excellent. Woody Harrelson and Randy Quaid made a superb team, and both were quite moving at times.<br/><br/>However, I must mention the extraordinary comic genius of Bill Murray here, as in this film he provided me with what must be one of the funniest scenes in the history of movies -- a very simple gag that was really bound to happen, yet I wasn't expecting it. It is the climactic scene where he and Harrelson are the finalists in the tournament, and twice involves his comb-over ...<br/><br/>I can't go any further. I'm laughing so much. My sister and I missed the rest of the film as we bust our guts in absolute hysterics as Murray performed little victory dances (one involving his shoulder-blades almost killed me) while totally oblivious to the state that his hair was in ...<br/><br/>
I don't want to spoil it for you. Just rent out the film, watch it with a friend, forget that I mentioned this scene, and when it happens it will catch you unawares and you will hopefully laugh yourself silly.<br/><br/>Ernie McCracken really was the biggest loser in the film, as he thought he was cool and suave, yet he had a terrible hairstyle (two, actually) and was a disgusting, selfish and unfeeling pervert. He plays a big role in the plot, but Murray's outstanding performance makes him so self-absorbed and bereft of any real humanity that he is almost completely separate from the movie -- there really is no point in him being there, apart from to provide us with enormous laughs and upstage everyone else and all the important things in the film. He just exists for himself and his own satisfaction, and everything about him is insincere. <br/><br/>When you watch it you will know what I mean when I say that he really seems to be one of the most unimportant important characters I've seen. Murray really is in a league of his own when it comes to cynicism and wry, dry and ironic humour; his gift is his ability to allow his casual arrogance to remove all pomposity and sentimentality, and mock everything that's important, so you can't do anything but laugh. <br/><br/>When he re-entered the film, I really couldn't care less what the outcome was going to be. I just laughed as he signed an autograph for a beautiful female fan and whispered to her what room he was staying in; and as he jokingly apologised for the appalling damage he had inflicted on Roy Munson (Harrelson), which had completely ruined his life 17 years earlier, and then selfishly began to make light of the matter, before avoiding a few punches from Ishmael (Quaid) and running off quickly while telling Claudia (Vanessa Angel) what room he was staying in.<br/><br/>And all the while, he has a hairstyle that is worse than Munson's and Ishmael's put together. <br/><br/>Man, that's some good tasting comedy."
"ajs-8649","10","4","6","24 December 2019"," Woody Harrelson's Best?
","I'm genuinely surprised to see this film rated at a 6.9? I do not personally know anyone who's watched this film and not laughed. It's dark/ absurd humor throughout, and it does that flawlessly. For what this film was trying to be, it's a 10/10. Though I suppose it's doubtful you're reading a review 23+ years later trying to decide if you should watch it. If that's you though, this random guy on the internet says that you should."
"johnson50","9","5","9","6 December 2003"," Eddie McCraken rules OK!
","What a totally mad fim! Woody Harrelson is just brilliant as the one handed Munson, Randy Quaid is excellent as the naive Ishmael, even if he does seem a little old for the role, and Vanessa Angel........enough said! But it's Bill Murray who steals the film as the lascivious, crooked and thoroughly revolting Eddie McCracken. What a tour de force.<br/><br/>If you're looking for a sophisticated, light hearted comedy, then this isn't it. To say the comedy is crude, is an understatement but it is typical Farrelly brothers and hilariously funny, non PC and very crude. It's one of those films which, when you explain the storyline to someone who hasn't seen it, sounds totally ridiculous, confusing and pointless and leaves them with a bemused look on their face - a sure sign of greatness!"
"danmccracken","10","4","8","9 November 2002"," very good
","this is one of the funniest movies i have ever seen. i recommend seeing it if your looking for a laugh or if you have never seen it before. i have watched it about 20 something times and it never gets old to me it just gets better and better every time i sit down and watch it."
"rejoefrankel","1","8","21","16 February 2000"," Pitifully unfunny gross-out film.
","Kingpin wants to be the film that people talk about and grimace with a smile.  It wants to be the ultimate in politically incorrect, tasteless, gross-out comedy, but it fails miserably.  There is virtually nothing in this film that warrants two hours of the discriminating viewer's time OR the usually gifted cast.  A waste of celluloid.  As forgettable as it is unfunny."
"peterdeluca-14183","5","1","1","23 February 2020"," Slapstick
","Goofier than I thought it would be. I'd recommend it, it was funny and easy to watch."
"lesleyharris30","6","1","1","8 April 2012"," Funny enough comedy,but slightly dry,
","Kingpin is a funny movie with some laugh out loud scenes,a well thought out storyline and some pretty good actors,but I feel the movie goes on a bit,being two hours long and most animated films would only be an hour and a half,and find a lot of the humor to be a bit dry,not the Farrelly brothers finest work.<br/><br/>A former bowler named Roy who hasn't bowled for over twenty years meets Ishmael,who is a natural bowler,Roy wants to get him to bowl for some professional games but it is hard to get him to take part because Ishmael is part of an Amish community,Roy eventually gets to Ishmael when pretends to be Amish himself."
