"username","rating","helpful","total","date","title","review"
"tinulthin","1","428","622","10 May 2014"," A Hero without Principles
","The Amazing Spider-Man 2 has technical merits. However, these merits are impossible to enjoy in a film drowned from beginning to end in the sickening narcissism of both its purported hero and supposedly tragic villains.<br/><br/>I give you The Amazing Spider-Man: a hero with no principles and no goals. He sometimes cares about a girl and sometimes wants to know what happened to his parents, but day-to-day he really only cares about doing what he wants to do--which happens to be helping people, it seems, because it gives them ""hope."" And what luck! He gives them this just by being himself. Not by being a better person. Not by sacrificing anything else in his life for the greater good. Just by being strong and smart and doing exactly what he feels like doing because that's how he feels. And look: by being himself, other people want to be like him. What a wonderful message for a self-obsessed age. And watching the box office dollars roll in, it would seem that this is just what everyone wants to hear.<br/><br/>Ah, but lovable doe-eyed Petey gives up Gwen for the greater good, right? No he doesn't. He gives her up because he can't face the guilt of having contributed to her father's death--his guilt, and his unquestioned inability to give up being a famous public figure, lead to his need to break up (And his principled stand on this issue is so strong that he will renege on it whenever he feels randy). We never see Peter torn between helping people and helping himself. We see him torn between two paths to self-gratification: the adulation of public heroism (and public vilification, which is a kind of adulation) and the love of a single woman. What about Aunt May? No, not her--she's just in the way of Spidey laundry.<br/><br/>This is the major problem with the reboot: The overshadowing death isn't Uncle Ben's. It's Captain Stacy's. And Captain Stacy didn't die because Peter was self-absorbed. Captain Stacy died because Peter existed. So the standard for Peter being a good person or bad person has nothing to do with his character--it has only to do with his presence. During an over-the-top car chase in the first act, rather than stop a massive truck from smashing through a set of cars (which Sam Raimi has shown us he could have done, assuming equivalence between a truck and a train), Spidey ducks out of the way only to come back after the carnage. This is a hero who says, ""I'm here for you--until it's inconvenient for me, then you're on your own.""<br/><br/>The long and short of it is that this Spider-Man is in no way heroic. Superheroes are heroic because, while they could decide that they are unconcerned with our struggles, they still feel a moral obligation to help the average Joe. This Spider-Man seems to feel obliged to help only because, as someone superior to everyone else, the world's problems must naturally fall on his shoulders. Not because someone died due to his inaction--because he's exceptional. And helping inferior people is what exceptional people do. Sometimes. When they're not busy dealing with exceptional-person stuff. Like obsessing about parents who unjustly abandoned them while feeling no responsibility whatsoever for the uncle they themselves abandoned.<br/><br/>Add to this a pair of villains who go from being apparently well-meaning if somewhat imbalanced individuals to homicidal maniacs due to a single rejection episode, and you have a two-hour cesspool of poorly justified destructive self-obsession. <br/><br/>Electro could have been a tragic Frankenstein villain. Instead, because a group of random people roots for Spider-Man over him in his first public appearance, he decides everyone should die. Yup--that's his motivation. You don't love me because I'm me? Well, I'll kill you all. Thank you, Columbine.<br/><br/>Harry's the same. After a five-minute meeting in which Spider-Man refuses give him his blood--which he truly believes, based on a single night's research on a single computer file, is the only thing that can save him from a horrible death that won't happen for another 40 years--Harry decides that Spider-Man needs to die right now. And everyone who dies in the process of saving his own old-age skin is perfectly okay. This despite Harry having been Peter's best friend only 48 hours before--though not because they have a long history together, but because they talked for a few hours and remembered how they were friends eight years ago. And it's not like either of them developed any other close relationships over their entire time in high school and college. (Let that be the only mention I will make of this film's preposterous set of causes and effects--and its Attack-of-the-Clones-inspired need to intellectually dictate emotional importance rather than meaningfully display it.)<br/><br/>The original Spider-Man had a single moment of narcissism. Count 'em: one. Only once did Peter Parker step up for glory, himself, and his own objectives, and he immediately paid for it with the death of one of the only three people he loved. This new Peter Parker steps up for himself every day as a part of his playground vision of a hero, and not a single screenwriter or billion-dollar audience member seems to care. This Spider-Man says the world should glorify you for being you, and if that doesn't happen, it's the world that needs to change, not you. And that is what truly terrifies me."
"MartinOnMovies","5","630","1010","25 April 2014"," Too much, too unbalanced and a waste of talent
","I can't say I went in to the theater with high hopes. I did enjoy the first installment of this unnecessary reboot, almost anything seemed like a step up from ""Spiderman 3"", and Garfield felt way more natural than Maguire, and Emma Stone is always welcome. But after seeing the first trailer I thought it seemed like a total mess, and I wasn't convinced by Electro one bit. Unfortunately I was spot on, I hoped to at least get an enjoyable time at the cinema with my friends, but ended up feeling quite uncomfortable and laughing throughout most of the film. <br/><br/>Garfield and Stone has their chemistry and does their best with the incredibly thin script and cheesy one-liners, but their potential quite beautiful scenes together gets lost in the over-full and messy plot. I can't buy an emotional scene that is interrupted by heavy dub-step and a blue electric guy.<br/><br/>Oh Jamie Foxx, how did you go from Django to this? Before he goes all CGI-Electro he tries to play the nerdy unseen scientist (with a worse comb-over than Christian Bale's 'Hustle'-look). As Electro it's hard to say how much is his fault, and what can be blamed on the rest, I'd go with the rest. You don't sympathize with him nor do you believe how fast he becomes this super-villain. <br/><br/>Everything that Dane DeHaan did so well in ""Chronicle"" just feels unnatural and (maybe not misplaced, but wrong) here. And his character development is way too rushed and quite unnecessary for this film, it just becomes another sub-plot standing in the way of what really matters. <br/><br/>Sally Field does good work as Aunt May, but leaves no lasting mark. Paul Giamatti's Russian criminal is just in the way and only gives a couple of dreadful and laughable scenes. And then there's the mad German scientist named Kafka and I rest my case. <br/><br/>The action and visuals isn't bad, but still doesn't make up for the low ""trying to be Marvel""-comedy and horrific soundtrack, a soundtrack that almost itself destroys the film throughout the exhausting 142 minutes. And sometimes it feels like the movie is taking us as an audience to be stupid, with pointers to what is going to happen. I would like to say that you might enjoy it if you just try and see it for what it is, but it's hard, but hopefully possible! It had an interesting start, with a glimpse inside the past and Peter's parents, but it's left underdeveloped, as is almost everything else, to make room for all its action and villains.<br/><br/>It's amazing how the difference between two big-budget superhero-movies can be so huge, if you put this against ""Captain America: The Winter Soldier"", a great and, opposed to this one, original film. <br/><br/>Oh how I wish that Marc Webb could have continued with a ""(500) Days of Summer""-esque movie instead, he could keep the sub-plots starring Garfield, Stone and DeHaan, and it could very well be a great film, and probably not such a waste of talent."
"lincolnpjones","9","66","101","22 May 2014"," Seriously underrated
","I really don't understand the hatred this movie gets. Let me start out by saying that I'm not really a Spiderman fan. My experience of Spidey came from the awesome PS1 Spiderman games, the 1994 Spiderman animated series and the Raimi movies. With that being said, Rise of Electro is one of the best superhero movies I've ever seen. I'd put it up there with Winter Soldier, the First Avenger, Blade and even the Raimi Spider-Man films.<br/><br/>Andrew Garfield does a pretty good performance as Spidey, balancing emotion with excellent comedic timing. Emma Stone is wonderful as Gwen Stacy. Jamie Foxx is an excellent and quite sympathetic villain, even if he is pushed to the sidelines a little by Harry Osborn. The movie actually makes you care for all the characters, even Harry Osborn. And I'd be lying if I said Gwen's death didn't knock me on my ass, because of how shockingly gruesome it is for a PG-13 movie and because I would've thought they'd let her live.<br/><br/>I really liked what they did with the source material, updating concepts like The Rhino and Electro without taking out too much. Plus, I genuinely feel that this movie pulls off the 'hero rises from the ashes' storyline much better than Dark Knight Rises.<br/><br/>Is it perfect? No. But is it a good superhero movie? Hell yeah, it is."
"marcossam2011","9","52","82","13 May 2014"," Great, Lived up to ""The Amazing""
","Strong movie, strong plot, excellent action, Andrew Garfield is an amazing Peter Parker and a more amazing Spider-man with his jokes. Still, the villains' development is too much fast, with no persuasive reasons to take down the Spidey. Furthermore, my favorite scene it's the one Peter fights Green Goblin on the tower, then try to saves Gwen by throwing the web, which in slow motion and forming a hand's shape was completely amazing. Her death was sad, but epic, very well developed and adequate. Also, the Rhino appearance in the end wasn't so amazing, leaving curiosity for the next movie, and this is a fact that I don't like: the understanding that will have a next movie, even we knowing that will have."
"wileyb9571","8","45","71","16 August 2014"," A Enjoyable Film
","SPOILERS!!! DO NOT READ IF YOU HAVEN'T SEEN THE FILM! YOU HAVE BEEN WARNED!!!!!! I have Never really critiqued film before but I have seen really nothing but terrible reviews for this movie and I thought that I would do it a Solid and give it a good review. Yes it does have its flaws and a lot of them, you can't just focus on its flaws because if you watch a movie for the flaws, then what is the point of watching that certain movie? Because I could not tell you that answer.<br/><br/>You can do this movie a solid with the Chemistry between Gwen and Peter, which I think is a ton better than Tobey Maguire and Kristen Dunst's Chemistry, In all honesty I never really cared for the original trilogy, Well the second one is good. Third is atrocious. But anyway.<br/><br/>The acting is halfway decent in this film, Dialogue is terrible at points but I can forgive that. Because of the such fun time I had in the theaters. <br/><br/>Downs of The Film: 1.) Jamie Foxx's characters dialog was complete Ass. 2.) Harry is not the goblin or shouldn't be the goblin but they waste potential with Chris Coopers acting capability with that one scene. 3.) They Kill Gwen. Look I knew that they were gonna kill her because I frequently read the comics and read the particular comic at which I was not disappointed in. But when they put it into film it sucked terribly I wanted to punch the screen. One it happened on a bridge not in the clock tower. PS: if you have seen the trailer it does spoil you by literally showing you that Gwen Is dead! I'm pretty sure that Aunt May didn't fall down the clock tower. 4.) They use Paul for literally 6 to 7 minutes through this film. Which I don't Get, why not just put him in the Sequel or introduce him in the ""Sinister Six"" Film that will be released when the 3rd installment was supposed to come out. 5.) No ending credits scene. With all of marvels films there's either a scene thats after the credits, such as, The Avengers, X-men franchise. There isn't a ending scene on this film or there was originally one at which they cut out. I would have rather gotten nothing than the X-men Days of Future Past Scene (Great Flick) Ups of the Film: 1.) Great popcorn fun. 2.) The Humor Works in my book. 3.) I thought this was the best roll Andrew Garfield has ever taken. its a great movie all and all. 4.) The ending Scene I thought was okay, it had moments, but in terms of a fight scene you really didn't get much as a viewer. 5.) Hans Zimmer's score of the film was magnificent. 6.) It made me leave the theater with a smile on my face and I am ready for the next two sequels."
"verndougall","8","47","76","18 May 2014"," Better than what I thought, but not as wonderful as possible.
","I went into this movie not knowing what to expect, only assuming the commercials had been far to revealing. Anyways...safe to say that assumption wasn't very far off. Anyways, now to speak of this in a more revealing light.<br/><br/>Fascinating visuals, wonderful eye opening colors. It felt almost like a comic book jumping onto the page. The portrayal of Peter Parker and Gwen Stacy were amazing. Needless to say there's a connection felt between them. However rocky it forms most of the movie though. this isn't much of a qualm, but it was one of the more enjoyable elements. Now, onto something a little distasteful. The villains as they were developing had me hooked. Drawn into them (At least the ones shown mostly,only spoiler here). One character in this is shown to be around more in the commercials, it was more an illusion. You hope for more and it comes up short. The villains when they fully descended failed to keep what was making them enjoyable before the transition. <br/><br/>Anyways, I hope you find this insightful. Through less of a bias side (Love Spider-man). I'd give this movie around more of a 7, or 6.7, give or take between them. Go see it and see what you think, it's worth the ticket."
"iconic-sr","9","55","91","13 September 2014"," The Amazing Spider Man 2
","Initial Review: The Amazing Spider Man 2 is definitely one of the best movies of the year! I also believe that it is the best Spider Man film to date. Marc Webb masterfully fuses action, romance and comedy into a film that is fun and moving for everyone.<br/><br/>The Positives: I liked the first ""Amazing"" that was released, but there were some problems I had with it. I think this film took these challenges head on. I felt like there wasn't much fighting in the first movie, but this was vastly improved. The romance was top-notch much like the first film, and the special effects went above my expectations. *(Spoiler)* I may be hated for this, but I thought it was a good move to kill off Gwen Stacy this go around for two reasons: it needed to follow the comics and it set a much darker tone for the rest of the franchise (which will be needed for future films like ""Venom Carnage"" and ""The Sinister Six."" Towards the middle of the movie I was really getting the vibe that this was mostly a kid-directed movie, but the death of Gwen brought it back to the tragic feeling of Spider Man that was so popular in the comics (God I'm going to miss her). I really enjoyed the villains which added to the fun of the movie.<br/><br/>The Negatives: Now this film wasn't all roses but it was exceptional. One problem I had was the little screen time provided for the Green Goblin (after transformation) and the Rhino. Critics often referred to the film as having three villains, but it really felt like one with two side battles to tease the next film. The character who dons the rhino suit has all but 12 minutes and the Green Goblin (once again, after transformation has like six minutes of screen time (approximately). However, I do agree with the critics that the back story for Harry Osborn felt awkward, and there was one two many story lines running through this movie.<br/><br/>Conclusion: I gave this movie 9 out of 10, due to the facts that it has so many positive aspects and with minimal negative issues (that are really more of a nuisance than anything else. I highly recommend this film for everyone."
"JohnnyPHreak","7","48","79","28 July 2014"," Spider-Man more on his plate than he can handle in this sequel
","I'm an unabashed die hard fan boy for Spider-Man. There I said it. You can call me a homer for anything Spider-Man. I wasn't a happy camper when I heard they were rebooting the films that I fell in love with. The first two Raimi films for me were great. The sequel still holding up today as one of the best superhero movies of all time. The first Amazing Spider-Man was a bit jarring for me. I walked out of the film not knowing what I thought about it. I enjoyed Andrew Garfield's Spider-Man but his Peter Parker didn't click with me. I also had some nit picky things about the film as a whole (Gwen instead of Mary Jane, lackluster villain). But watching the film a few more times I realized that I liked it.<br/><br/>I do research on films that I'm excited for. This film came out weeks earlier in the UK and Europe. And the reviews were mixed which was sinking my high hopes. I didn't like the fact that there were three villains (More on that later). But it seemed like they were choosing the right actors for parts and surrounding the film in talent. After much heart and headache reading people thoughts and reviews for me, I'm okay with saying I liked much of this second Spider-Man film.<br/><br/>Andrew Garfield is Spider-Man and it seems he's embraced the part much more this time than in the first film. His Spider-Man is having fun being the savior of the city. He's making the quips, the jokes and the all around energy of his Spider-Man feels directly out of the comic book. I am finally sold on his Peter Parker. Director Marc Webb finally lets the smart but dorky Parker shine in a few scenes that are hilarious and engaging.<br/><br/>I'm still not an Emma Stone fan but she is a good counter to Garfield's Parker. They have excellent chemistry. You can tell that these may be Webb's favorite scenes to shoot. When they are on screen this huge summer tent pole film because a small drama about two people with a unique love story. <br/><br/>The villains, there are three of them but not really. Let me explain. Rhino played basically as a cameo by Paul Giamatti is really only on screen to show Spider-Man in action at the beginning and end of the film. His main adversaries are Jamie Foxx's Electro who starts off as a man who is saved by Spider-Man. He then becomes a obsessed fan only to in perfect comic book fashion have a horrible accident that grants him superpowers. Foxx is okay, I wouldn't say he is awful. He has some good moments and contrary to what has been written I think he only has one cringe worthy line.<br/><br/>Dane DeHaan is one of if not my favorite actor working this moment. His method style works so well in many of the films he's in and here it's perfect. His Harry Osborn is less cartoon-y than James Franco's from previous films. He's creepy, spoiled, arrogant but dealt with a lot of adversity. His chemistry with Garfield feels genuine. It doesn't feel forced like it could have been. They are long time friends who have been distant but because of new circumstances are forced back together.<br/><br/>The action is fun, fast and so Spider-Man if that means anything. The way they use his spider sense was very cool. I want to see more of that. The small nods to the comic book are fantastic. There are nods here and there to the upcoming sinister six film which doesn't cloud the film. It's just there in the story that this is apart of a large story in the future. I was trying to count the nods to the comic books. The only issues I had with the film was Peter's search for what happen to his father was kind of just there to fill time. Also the great Sally Field as Aunt May got only a few scenes. She was great on screen but mostly wasted.<br/><br/>Because this film is dividing fans I think I've pinpointed the problem. I'm a fan of the comic books and this film feel like a few issues of the comic books aka a mini-series. There are multiple stories, with multiple villains and a lot going on. I'm okay with the finally product and eager to see the film again. For Garfield's performance, the chemistry with Stone and the action scenes this film is a fun ride for any fan of the neighborhood web shooter."
"A_Different_Drummer","6","99","174","4 May 2014"," OK, let's talk about HOPE..
",".... and, to be fair, this was not my idea but the screenwriter's, since the last few minutes of the film reveal that this was a topic very much on his mind when he penned this script.<br/><br/>OK OK, I get that the transition from comic book (graphic novel) to feature film is not easy, but art never is, really. And it has been done successfully. Look at Superman 2 with Chris Reeves. Look at Spiderman 2 with Toby MaGuire. More recently look at Superman Returns (flawed but still brilliant in parts) and even more recently than that, Captain America 2. <br/><br/>What do all these films have in common? Humanity. Hope. Decency. That difficult blending of superpowers with those same quirks and oddities which make us human. <br/><br/>What they lack -- every film above-named lacks -- is brutality for its own sake, gratuitous violence directed against the star (and, by analogy, the viewing audience) just to make them feel the pain. <br/><br/>Yet, astonishingly, this trend is becoming the ""new normal"" in superhero films and no one seems to care, the fans just keep lapping it up. MAN OF STEEL was an abomination, as if the intent was to see how many office buildings you can bang to bits with Superman's head. Ditto Thor 2, ditto The Wolverine (borders on torture porn, that one); and finally, this ""re-imagining"" of Spidey where everything that can possibly go wrong in his day ... does go wrong. Including saving his gf.<br/><br/>Is this entertainment?<br/><br/>Seriously. C'mon folks, wake up and smell the stupid before all superhero films end up like this."
"hunterhayes49","9","46","76","12 May 2014"," A Reason for Hope
","I was a pretty big fan of Raimi's original series when they were released, and the first two films still hold high among my favorite superhero movies. When the reboot was announced I was naturally skeptical; despite Spider-Man 3 and its flaws, I had confidence that Raimi could right the ship. Deep into production I began seeing trailers and clips from ASM, and it gave me some hope. After seeing the film in its entirety, I became a big fan. The story was similar to most origin takes on Spider-Man, but with some small changes to try and separate itself from the original film trilogy. Admittedly, a few of those decisions might've been less than stellar, but Raimi's version nailed the origin and that was hard to top for the new film. With the tale of how the hero came to be out of the way, the sequel could really decide where this series was going to go. It seems to be an exciting direction.<br/><br/>I was skeptical when the cast was announced and we met our new Spider-Man, which is a feeling I no longer have. Don't get me wrong, I thought Tobey Maguire played a great Peter Parker. For my money, he was a solid Spider-Man as well. But Garfield feels truly at home in the role. It isn't to say one performance is more accurate to the comic Spidey than the other; with as many different takes on the character as we have seen in comic book lore, both performances reflect different qualities in different versions of the character. However, Garfield's Spider-Man feels like the version of the character I grew up with. He's humble and soft-spoken at the right times and confident in others. I thought his performance in this film was one of the more defining performances of any Marvel film character alongside Downey Jr.'s Tony Stark.<br/><br/>Spidey's love interest, Gwen Stacy, is portrayed perfectly in not only this film, but in the first as well. I've been a fan of Emma Stone since she hit with Superbad, and she really gives Gwen some life. Her dynamic with Garfield is surprisingly one of the strongest portions of the film. They have such great chemistry that it's impossible not to feel like you're in the moment with them, and Marc Webb knows it. Dane DeHaan shines as well, giving Harry a unique sense of frustration and abandonment. He's dark and brooding, but also sly and cunning when necessary. Jamie Foxx holds well in the film as well. Admittedly the Electro/Max Dillon character is goofy and strange, but I like his motivation. In a world of so many it's easy to feel neglected, and it's clear he has a lot of problems that motivate his transition from bumbling Max to the powerful Electro. <br/><br/>As far as the plot is concerned, there is a lot going on. However, I felt this film did a markedly improved job on balancing the numerous subplots. I never felt as if the characters were fighting for screen time or that any of the plot points were necessarily rushed. Between Peter's parents and his love life and the growing problems arising from Oscorp, it would seem like there's too much happening. But Webb never lets the story lines stray too far before reeling them back in; each plot point directly connects to the finale and ultimate message of the film: Hope. Peter often tells others Spider-Man gives those around him hope, but the ultimate test of the film is how well Peter Parker can maintain that hope himself. Indeed being a hero has a cost, which results in one of the most powerful comic book moments in history coming to fruition on the big screen. Gwen's death is the turning point for our titular character, and one that will certainly drive his actions in future installments. <br/><br/>Ultimately, ASM2 is an ambitious film that does attempt to do a lot in just one film. However, Marc Webb keeps the story moving with enough confidence to tie the plot points together in one swift finale that will change Spider-Man forever. Amazing Spider-Man 2 ****1/2"
