"username","rating","helpful","total","date","title","review"
"PeteBDawg","8","284","312","9 November 2002"," A Quality Piece of Hard-Hitting Naturalism
","8 Mile probably isn't what you expect.  Given the cast and premise, you probably expect one of two things, either a silly excuse for self-aggrandizement or an overblown caricature of hip-hop culture.  You don't get either.  What you get is a brave film that is surprisingly culturally and intellectually rigorous and an aggressive film that is so emotionally intense that it seems to sometimes tear itself apart.<br/><br/>The plot is not a biography of Martial Mathers, a.k.a. Eminem, but it is very much informed and guided by the experiences of his early career as a rapper in blue-collar and no-collar Detroit.  Eminem gives a compelled, powerful performance that diverges just enough from his public self to inject the story with a strong sense of realism without sacrificing anything artistically.  The supporting cast also makes fine use of their considerable talents, carving the Detroit of this film out of the world itself, not out of fiction.  Even as they help communicate a hard, unforgiving time and place, they also give rise to deep and profound sympathies that don't come around in every film.<br/><br/>The naturalistic presentation doesn't stop there; most of the film is shot on location in Detroit, and the gritty, sometimes almost frenzied design and cinematography firmly establish that this is not just another Hollywood movie.  This is a movie that goes places movies don't generally go where, for good or for ill, many people do live every day.  For one, 8 Mile might have the most believable, most powerful representation of an automobile factory of any film in the last twenty years, and it still manages to use the location for sophisticated, plot driving drama.  Good stuff.<br/><br/>Of course, the film has its flaws.  It's very heavy and bleak, at times it skirts the boundary of cliche a little bit, and the villains, a rival rap group known as the ""Free World,"" are a little over the top, but, time and again, the solid acting and daunting camerawork keep coming back to seize the eye and command attention.<br/><br/>Oh, and, in case you were wondering, there is rapping, and plenty of it. The rapping is really top-quality, cutting edge stuff, for the most part, and it is integrated into the script so well that it is always clear that the characters choose to rap, not that the script forces them to do so.  The rapping happens because it must happen to these characters at this time, not because Eminem is a rapper.  In an industry where pop music movies are a dime a dozen, this is particularly impressive.  This film says something about rap and the human experience that hasn't been articulated this well many times before; it bridges the gap between rap and poetry in a big way, and makes that gap look a lot smaller.<br/><br/>All in all, the thing that really defines 8 Mile is how committed to this idea the cast and crew must have been in order to make this film.  Every minute and every second, the cast's intensity never gives up, and the camera never sleeps.  The film is detailed, finely crafted, and has a pounding heart the size of a boxcar.  If you don't mind the obscenity and violence (and there is a bunch), I'd definitely say this is a movie worth seeing."
"MissMill","8","200","220","28 November 2005"," So, rappers CAN be actors...?
","I was afraid of this movie. For a long time I feared that one day, Eminem WOULD make a movie - and that movie would suck!!!!<br/><br/>Along it came, and you know what? It didn't suck. Man, was I relieved. <br/><br/>I have never been able to put a finger on Mr. Mathers' rapping skills, I think his technique is amazing. His rhymes are sharp and intelligent and he always performs them with pure justification. But could he take this to the big screen? He succeeded. In his debut movie he managed to play it real and natural. He had good on screen chemistry with pretty much all the characters, but especially with Brittany Murphy (Uh, gotta love that sex scene... That was hot.)<br/><br/>The final battles in the movie, are the absolute climax. If you ever had any doubts about Eminmems talents - one way or the other - you definitely know his worth now!<br/><br/><ul><li>Some might say that it must be easy to play yourself, and it's not a secret that this movie is somewhat autobiographic. But it sure takes guts to put yourself out there like that, well done.</li></ul><br/><br/>So 8/10"
"haydenisticparadise","10","19","19","10 November 2002"," this is a movie you can really 'lose yourself' in.
","This movie was amazing! I was pleasantly surprised! I wasn't an Eminem fan going into the movie but I'm certainly one now. Seeing how different things are on the 'other side of the tracks' was a big eye opener for me.  I loved the script, the actors, the music - basically I loved everything all the way down to the lighting.  It's got everything for everyone in it! Comedy, drama, action, fighting, guns, drugs, sex, and of course - Bunny Rabbit. I loved the movie. I laughed so hard I cried at times and then I just flat out cried at others. I would HIGHLY recommend it to everyone whether they are an Eminem fan or not. Do be careful trying to get into it though. We had to go to four different movie theaters before my 16-year-old friend could get in. They're checking I.D.'s on this one BIG time. Anyway - go see the movie! You'll love it! I swear on my grave it's the best movie that I've seen in a long time!"
"FrenchEddieFelson","7","25","26","14 March 2019"," Yes!
","Rap is not my cup of tea.
But this movie is very well interpreted and perfectly holds water!"
"Chris Knipp","Null","121","145","11 November 2002"," Powerful silences
","Those who are saying `8 Mile' shows a vanilla-ed Eminem may have a point: this movie introduces him to a non-rap audience just as `Wild Style' introduced us to hip-hop.  But those who say Eminem is sanitized here for mall viewing have an odd notion of language.  Perhaps his CD's contain more inflammatory material than is aired in this movie, but what gets said here is most definitely not for any suburban grandmothers who aren't stone deaf.<br/><br/>It's surprising - admirable, really - how well Curtis Hansen and his crew keep track of the plot from scene to scene when not much of it seems to matter other than Rabbit's problems with his mother, Stephanie Smith -- Kim Basinger.  Bassinger is a blue ribbon southern white trash trailor park mom. You can't help feeling that with minor tweaking she could be the mother of a Grosse Pointe prep school boy, a lady whose problem was overspending instead of imminent eviction from a stinky trailor.  Bassinger makes trashiness look attractive, just as she made movie star decay attractive when Hansen directed her in `L.A. Confidential' six years ago.  Rabbit's problems with girlfriends aren't significant, though he has two of them, an ex and a new one. Both are delicious but primed for rejection.  Rabbit's closest relationships are with his emcee pal `Future' (played by an utterly charming and huggable Mikhi Pfifer) and his slightly retarded token white homie, Cheddar Bob (Evan Jones).<br/><br/>But his closest relationship of all is with himself, as is clear from the first scene, where Eminem is doing rap gestures in the competition shed men's room, looking in the mirror, hearing his music in his head --and this is fine, because it's what a young man has to do:  get on friendly working terms with who he is.  The movie is about his going off to be on his own and give up his rowdy playmates to become a winner, and he walks off by himself in the final scene.  The comparison with Shakespeare's Henry IV isn't out of place.  The Shakespearean parallel was used explicitly for Keanu Reeves' character in `My Own Private Idaho' but the theme is really more central here. Eminem isn't a cold personality like Keanu Reeves in Van Sant's movie. He is close to his mates and they're always touching hands and gently hugging each other.  The hands and the hugs are one of the main images that stay with you after seeing `8 Mile.'<br/><br/>Eminem as shown in `8 Mile' isn't totally motivated by his anger at all. His anger is very contained.  He seems able to turn it on and off at will and release it only when he needs it --  to trounce rap competition or throw out his mom's sleazy boyfriend.  It's his ability to control his anger that makes both Rabbit and Eminem winners.<br/><br/>Eminem does have an authenticity about him that makes for a strong presence on screen.  Paradoxically he projects a powerful inwardness, so that his turning away from everybody makes his face jump out at us.  His effect is of authenticity, because he doesn't put on a reaction to please the audience or suit the scene, but he is always there, moving with the scene and in fact creating it.<br/><br/>`8 Mile' isn't just a vehicle for Eminem.  It's too well made a movie to be that.  But without Eminem `8 Mile' wouldn't exist.  The only importance of the rapping contests emceed by `Future' is that first Rabbit shies away from them, and then he enters them and wins them.  You have to wonder how the rapper/actors feel who are in the movie only to be put down by Eminem.<br/><br/>`8 Mile' cannot escape from the limitations of the fictionalized star biopic.  There have been dozens of movies about emerging music stars and their families, their early sponsors, their first big breaks, and so on, many of them with more range and specificity of detail than this one. This movie only takes its hero to the moment when he walks away, having shown that he can be a star.  The whole focus is on his personality, and in particular his stillness.  The most important moments are those when Rabbit/Eminem stands with mike in hand, silent, waiting for inspiration to strike.  Even when he choses not to compete and hands the mike back, this moment is full of power.  In this movie Eminem carries the expression of sheer imminence, raw potential, to a new level of clarity and confidence.<br/><br/>This rapper is good just standing there."
"Chuckles11","Null","71","88","8 November 2002"," Dark but interesting
","I enjoyed this movie immensely. I thought it was a departure from the typical movies that star Hip-hop artists nowadays, which typically glorify the hip-hop lifestyle. Which is a very material lifestyle. This movie was pretty dark.<br/><br/>I thought Eminem did a good job acting. I mean he's not going to win any Oscars for this role, but he does a very good job acting. If not for who he is, then you wouldn't pay too much attention to his acting because that's how competent he does.<br/><br/>As most of you already have heard, this movie was based on Eminem's life, but none of the events are actually factual. His relationship with his mother (Basinger) is much more amiable than it is in real life, or at least how it comes across in his music.<br/><br/>Brittany Murphy acts as his love interest, but most importantly his muse.<br/><br/>There are some scenes that leave you scratching your head. One of which is the Eminem-Murphy love scene in the plant. It seems out of place and bad for the pacing of the film. Also Taryn Manning's role as the ex-girlfriend is almost unnecessary. The presence of her character is a key plot element that sets up the film, but the appearance of her character in the film by its end seems unnecessary due to the fact that it is underdeveloped. I wonder if there were more scenes involving Manning that were ultimately deleted via editing.<br/><br/>Overall I enjoyed the movie. Some may not enjoy it as much, but that's probably because they go into the movie with different expectations. If you're expecting something other than a hip-hop based film that subtly comments on social/economic/racial issues, and is a pseudo-rags to riches story, then you  might be sorely disappointed."
"dee.reid","10","198","258","9 November 2002"," A warm reception for Eminem fans everywhere
","""8 Mile"" is the new film that features controversial rapper Eminem in his first starring role.  The film itself is loosely based on his life growing up in Detroit.  Eminem plays Jimmy Smith, Jr. a.k.a. ""Rabbit"", a young man who is struggling to make things better for himself through ""battles"", which are freestyling rap contests that are usually held at a local nightclub. Rabbit chokes when it is his turn to take the microphone for the first time. His best friend, Future (Mekhi Phifer) is the host of these battles and strongly believes Rabbit has potential, but the problem is that Future often makes his decisions before consulting with Rabbit first.  Rabbit's home life is not much better.  He's broke, has no place to live, he's stuck in a dead-end job at a steel mill, and his girlfriend Janeane (Taryn Manning) has fooled him into thinking that she is pregnant.  Rabbit's mother (Kim Basinger), is on the verge of being evicted from her home and is slutting around with a man who is about the same age as her son.  Things in Rabbit's life take a turn for the better when he later falls in love with Alex (Brittany Murphy), an aspiring young woman who dreams of becoming a model and moving to New York to start life a new.<br/><br/>""8 Mile"" certainly is a moving and very touching drama.  Eminem proves here that he really can act and in fact may have a future in motion pictures. This does not mean we will be hearing him thanking his producer Paul Rosenberg next year at the Oscars, but we can expect to him to receive a lot of praise for future movie roles.  It's quite obvious that some people will not like ""8 Mile"", just because of Eminem's controversial history.  The film also has one of the best soundtracks I've heard in a long time.  Eminem's hit single ""Lose Yourself"" really does have a lot emotion put into it.   <br/><br/>
Eminem, since he burst onto the music scene in 1999 with his critically-acclaimed/lambasted album ""The Slim Shady LP"", he has been met with a lot of controversy, as well as praise.  Despite the often humorous content of his songs, there are many dark under tones in them as well.  In my opinion, too much has been made about his lyrics, most of which revolve around topics like homophobia, murder, and his failed relationship with his on/off wife, Kim.  Despite all of this, I think that people have overlooked the fact that he said the only thing that truly matters to him is his daughter, Hailie Jade.  Also, if people believed Eminem really was a homophobic, do you still think he would have agreed to perform ""Stan"" with Elton John?  <br/><br/>As a longtime fan of Eminem and his music, I try not to let such criticisms get to me, but sometimes you just have to say ""What the hell?  Are they really necessary?""  I don't think so.  The problem is that people today are just too biased when it comes to people like Eminem.  He's not another Vanilla Ice and ""8 Mile"" is not an attempt to cash in on his success like ""Cool As Ice"" was.  <br/><br/>I have a list of grievances that people need to realize about Eminem:<br/><br/><ul><li>First of all, do not disrespect this man.  I feel that many of the people who hate Eminem have never actually listened to one of his songs.  In my opinion, they have only listened to small clips that have been played on some discussion about his controversial lyrics.  If you actually listened to some of his songs, you'll realize that he is a very distraught young person with a lot to say.</li></ul><br/><br/><ul><li>Don't watch ""8 Mile"" with a predetermined mindset.  People who have already made up their minds about Eminem's talents are less likely to enjoy themselves much more than people who believe in him.  </li></ul><br/><br/><ul><li>To non-believers, if Eminem really did not have any talent, like so many people seem to think now, how is it that all of his records: ""The Slim Shady LP"", ""The Marshall Mathers LP"", ""Devils Night"" (with group D-12) and ""The Eminem Show"" together have grossed more than $12 million?  I think that it is a clear sign of TRUE TALENT.</li></ul><br/><br/><ul><li>Also do you believe had Eminem been black and rapping about such ""controversial"" subject matter, that he would be famous like he is now?  No, because most likely no one would dare even produce him.  That said, I'm African-American and I don't care that Eminem is white and is rapping about such things.</li></ul><br/><br/><ul><li>I think that too many people have made his race too big of an issue. Eminem knows that he is white and will be nothing else.  He does not display to us a ""thuggish"" image that some people think that any rapper should have. Also, he does not rap about the things that some people seem to think is destroying rap music.</li></ul><br/><br/>Eminem does have quite a future in store for him.  I'm sure that we can expect to be seeing a lot more of him later on."
"nicolasromeo","10","18","20","14 March 2018"," A piece of History of Hip-Hop
","8 mile is the best movie i have ever seen.
the story of this movie is about Eminem life and what he had done for become what he is now. from when everyone bully him to when everyone respected him and his music 
if you count Eminem is not an actor he done very well as a protagonist.
I recommend this movie because Eminem is one of the best artist in the work and who follow him have to see it for understand what he went through when he was younger."
"poetic_tyrant","Null","41","53","1 December 2003"," Ok, I need to say something.
","I was moving around IMDB just now trying to sort of fill in the blanks of some random credits that I'd missed in my movie catalog, and I ran across this review of 8 Mile from this college student in NYC. Now, I never really write reviews because everyone's opinions vary distinctly and it seems kind of pointless to try to show them the ""magic"" of a certain movie if they refuse to see it, or to tell them how horrible it was as though I think that I'm really that much better of a director, writer, or whatever. But after reading such lines as ""if you liked this film, you know nothing about film"" and so on, I simply couldn't contain myself.<br/><br/>First off, let me start by saying that I in no way respect Eminem as an artist. I personally despise rap and the ""culture"" that it creates in society full of pumped up punks trying to act tough or ""hard"", as they struggle in a societal structure that they perpetrate upon themselves. In fewer words: I hate listening to constant bitching and dated slogans about bitches and benjamins. And after hearing about Eminem's wife-beating and all around socially retarded mentality, I wanted less to do with 8 Mile on the probability that he may be receiving a percentage of the ticket sales. But, after a time, I ended up renting it at Blockbuster for the hell of it, at least to give it a chance. I popped it in, and I was all set and ready to hate every minute of it... but ended up sitting through a movie that actually left me with a smile on my face.<br/><br/>For those who've not yet seen the film, I'll give some background of the story. Eminem plays Rabbit, a struggling Detroit freestyle rapper trying desperately to make a name for himself in the bustling Detroit underground music scene. Kim Basinger plays his alcoholic mother, miserable and bitter of where her life has ended up (in a trailer park, barely able to make rent or take care of herself). Mekhi Phifer plays Future, Rabbit's best ally and, in some ways, his father figure; playing the role of the protective, guidance providing, loving role-model. Conflict stirs in Rabbit's life as, through his bouts with stage fright and homelessness, he begins to question his ability to make it in the world of music as he wishes to; nearly becoming content to simply abide life as he knows it. But through his experiences and how he works through his own personal problems, he starts to see his path better and more clearly.<br/><br/>Now, I grew up in a very small town. A farming community in the middle of nowhere, where my nearest neighbors where half a mile away. I hated every minute that I was there and felt trapped in a world there that I didn't feel welcome in or a part of. Aspiring to become a filmmaker when everyone tells you you're an idiot for even thinking of it isn't easy. Which is probably why I related so much with this film. Rabbit's own experiences as well as his mother's criticism of him and his life make him feel trapped within his station of life, feeling as though his own specific voice isn't being heard, and trying desperately to change that. Anyone who doesn't recognize this is someone that I would generally think was lucky enough to not be born into this type of community structure with ideals that conflicted with the generally accepted norm; as it's thoroughly developed throughout the story. And the story... the story develops nicely over time. It never feels rushed or thrown together hastily just to make a movie with the star power of Eminem. That COULD have happened, and it COULD have made a lot of money for everyone involved. Instead, a director was chosen who understands pacing of a story, importance of cinematic elements throughout a story (i.e.: not just putting actors on screen to say their lines and that's it), and who just understands the elements of how to tell a good story on film. They even gathered a supporting cast of actual actors who've proven themselves as true artists within their craft in the past, and didn't just hand off the part to one of the executive producer's nieces or nephews or whatever. Scott Silver's loose adaptation of the life of Eminem was tweaked just enough to skew from Eminem's specific life, and become more universal in it's ability to portray a struggle that millions of artists go through around the world. All of these elements, along with my surprise at the actual acting ability of Eminem, combine to tell a story that feels deeply personal while very universal, and can be related to by more people than simply myself. It tells a story of never settling for what you can get just because it's easier, and that hard work and dedication are the only ways to dig your way out of a perpetual cycle that you may find yourself a part of.<br/><br/>To close, this is by no means the best movie that I've ever seen. Not even close. But that doesn't mean that it's not a prime example of filmmaking at it's best. A movie doesn't have to be the best thing since disco in order to be any good... it simply has to have a purpose and a message, and portray those with clarity and honesty; which this movie accomplishes in spades.<br/><br/>See this movie."
"davidtkd-25249","10","14","16","28 January 2018"," 8 Mile (2002): A Hip-Hop Movie Masterpiece
","8 Mile is a 2002 hip hop drama film starring Eminem, Mekhi Phifer, Kim Basinger, Brittany Murphy and Michael Shannon. The movie is directed by Curtis Hanson. <br/><br/>The Plot: The year is 1995 in Detroit, Michigan, USA. Jimmy ""B-Rabbit"" Smith,
 Jr. (Eminem), a worker and a poor man, struggles with life. He has moved back north of 8 Mile Road to a run-down trailer home in Warren, Michigan. There he lives with his alcoholic mother Stephanie (Kim Basinger), his little sister Lily (Chloe Greenfield), and Stephanie's abusive boyfriend Greg (Michael Shannon). Jimmy is a rapper who his friends think that he is very talented. However, Jimmy has a lack of confidence about his ability. This anxiety causes him to choke and lose his rap battle at the hip-hop venue, ""The Shelter"", leaving the stage utterly humiliated.<br/><br/>Jimmy works at New Detroit Stamping (a car factory). When he asks for extra shifts, his supervisor laughs in his face and rejects his request due to Jimmy's lateness to work. Jimmy becomes friends with Alex (Brittany Murphy). Over time, Jimmy becomes a lot more responsible for his actions and behaviors in the directions of his life. After he gains much improvement in his work ethic and behavior, his supervisor grants his request for extra shifts that he gave earlier.<br/><br/>Stephanie receives a notice declaring that, because she and her family can not afford to pay the rent on her trailer, she and her family must vacate the premises immediately. Stephanie tries to keep it a secret, but Greg eventually finds out about it. Greg and Jimmy have a long and brutal fight, and when it's over, Greg leaves Stephanie for good. Jimmy has friend named Wink (Eugene Byrd), a radio DJ with links to a famous record label. Their friendship becomes torn after Wink does promotional work for Jimmy's rivals, ""The Leaders of the Free World"", a hip-hop group. Jimmy and his friends get into a brawl with the Free World and Jimmy's friend Cheddar Bob (Evan Jones) takes out a gun and accidentally shoots himself in the leg. He survives but is crippled and has to wear crutches.<br/><br/>On lunch break at work one day, Mike (Xzibit), a lunch truck rapper insults a gay co-worker Paul (Craig Chandler). Jimmy joins the battle, roasting Mike and defending Paul. Alex is impressed by his actions and they go out on a date. Wink arranges for Jimmy to have a recording of a rap demo done at JLB, but when Jimmy gets there, he sees Wink doing it with Alex. Enraged, Jimmy beats up Wink. Alex yells at him to stop and eventually he does. In revengeful style or retaliation, the Free World assaults Jimmy and Papa Doc (Anthony Mackie), the leader of the gang, nearly kills Jimmy before being persuaded not to by Wink.<br/><br/>Jimmy's beast friend and rap-host David ""Future"" Porter (Mekhi Phifer) encourages him to get revenge by competing against the Free World at the next rap battler at The Shelter. Jimmy's work conflicts with this, but Paul covers for him as a thank you for what Jimmy did earlier. Jimmy goes to the battle.<br/><br/>Jimmy competes against the members of the Free World in every battle. 1st Round 1 - Lickety Split - wins. Round 2 - Lotto - wins. After winning the first two rounds he has to face Poppa Doc, the gang leader and the defending Rap Battle Champion. Jimmy raps first and exposes both his and Poppa Doc's weaknesses. Embarrassed with nothing to say back at Jimmy, Poppa Doc gives the mic back to Future. Jimmy wins the battle and is declared the NEW RAP BATTLE CHAMPION!<br/><br/>After being congratulated by Alex and his friends, Future offers him a position as rap-battle host, alongside himself. Jimmy declines the offer stating he has to get back to work and make success on his own. He walks back to work with confidence and hope for the future. <br/><br/>A rap masterpiece. 10/10."
"Showtime840","9","88","122","11 November 2002"," Excellent Drama
","I don't care for too many dramas, but ""8 mile"" was an excellent movie. Eminem was a better actor than I could have dreamed for him to be. He put on a great show, and kept me interested throughout the entire movie. Mekhi Phifer did an excellent job and is definitely a rising star in Hollywood. Brittany Murphy could have done a better job, but I didn't like her character development at all. It seems that she flip flops around so much that in the end you really don't know which side she truly plays. Kim Basinger did a good job. I don't watch too many of her movies. The last movie I saw of hers' was ""Bless the Child"" and that was a major let down.<br/><br/>
As for the plot, don't go into the movie thinking that you're going to see the life of Eminem. This is not about Eminem's life. Eminem said it himself in an interview. Mekhi Phifer even said that he didn't want to do the movie because he thought it was about Eminem's life and that Hollywood was just trying to take advantage of a rising star, but this isn't the case. This is just as any other movie, but this is Eminem's acting debut. Even though there are certain things in the movie that relate to Eminem's life (ex. 8 Mile Road,) this is certainly NOT an autobiography. <br/><br/>If you go into ""8 mile"" expecting to see an action film with explosions and such then you're in for a let down. ""8 Mile"" is an amazing story about a white wannabe rapper trying to make it in the underground world of rapping. There isn't much action in this at all because it is a DRAMA, not an action. I hope you go see this movie if your in for a good story with some great characters!"
"malikona","8","64","88","10 November 2002"," 8 Mile will have potent impact on America's youth.
","It is rare that an established filmmaker and production company create something that young people are able to grasp the complete meaning of. Intellectual jargon or unnecessary vagueness of plot often take precedence over lucidity and appeal.<br/><br/>Eminem's ""8 Mile"" has managed to break this cycle, presenting in poignant audio/video style the nature of the life so many of our nation's youth live, and how despite it all there always remains the possibility to break through.<br/><br/>The film's meaning is largely overt, not subtle, and makes itself available to a much wider variety of viewers than most films with any sort of dramatic moral.  Just look at the box office reports for ""8 Mile""s opening weekend.<br/><br/>I won't attempt to speculate on the effect the film will have among our youth, but I personally believe it will be positive in nature.  It will be impossible for this film to become as transient as an action blockbuster or as esoteric as a cult classic.  It's depth and range of appeal are simply unparalleled in our time."
"reds_savo","10","23","29","13 February 2006"," Cool, refreshing
","This movie is something that really refreshed the Hollywood studio.It's preety different than the other movies because of it's really interesting plot and great cast(including Eminem).I have to say that Eminem did an amazing job on his debut and that he really was fascinating in a role that is maybe very autobiographical.Phenomenal soundtrack including 50 cent and Xzibit and of course ""lose yourself""-the academy award winner.I think that the rap contest scenes are the best part of the movie, because they were made so realistic.After all, a movie that is surely creating maybe even an another genre in something that i called movie industry and a great try !"
"daveym-649-444962","10","17","21","31 July 2017"," Great Film
","Watched this for the first time in 10 years recently. What a great film. A real statement of its time. Everything that was bad in the USA in the 1990's is perfectly illustrated, giving food for thought as well as inspiring empathy for a lost generation of young poor Americans. Living in Trailer parks, caught up in gangs - black against white.<br/><br/>All this is the backdrop for some of the cleverest wordsmiths around, creating Rap and Hip Hop music including one Oscar winning song<br/><br/>Won't be to everyone's taste - but everyone should watch it once in their lifetime"
"christianaugustatanacio","9","9","10","3 July 2018"," Great film
","I'm not really into watching this type of genre but this one is different I did not get bored while watching the film and Eminem can really act to think that this is his debut film."
"nightraven_Dk","9","9","10","15 February 2003"," I was SO surprised
","I don`t wanna say too much about this flick........only this...now i didnt have high expectations for this one and i was amazed by the acting by Eminem, this guy really rocks and so does this movie....do yourself a favour a go see this one....MASTERPIECE"
