"username","rating","helpful","total","date","title","review"
"littlemartinarocena","10","437","584","11 November 2012"," The Daniel Day Lewis Factor
","I remember fondly, Henry Fonda and Raymond Massey as Lincolns in ""Young Mr.Lincoln"" and ""Abe Lincoln in Illinois"" They gave remarkable performances. But, here and now in this extraordinary Steven Spielberg/Tony Kushner version, the illusion is complete. I was watching the president and not for a moment thought of the actor. That in itself is close to unique. I left the theater with the feeling I've just had an out of body experience. Everything around the central performance - and I call it a performance because I don't know what else to call it - falls into place in a miraculous way. The photography, the production design, the wardrobe made it possible to actually smell the period. Congratulations and thank you."
"LloydBayer","8","38","49","30 May 2014"," By its very making, director Steven Spielberg has written the greatest obituary for one of the greatest leaders of the modern world.
","The very mention of a Steven Spielberg project and everyone goes bug-eyed in excitement and curiosity; everyone from casual movie goers to mainstream critics to cinema house managers. Now reunite Spielberg with long standing producing partner Kathleen Kennedy, throw in a multi-award winning star cast lead by Daniel Day-Lewis and a story about one of the most revered Presidents in US history and you have an Academy Award nominated movie by default. Lincoln has all these fine qualities and a whole lot more. This is not just a great film for the reasons stated above, or because it is very easy to praise a film directed by Spielberg. This is also not just a masterpiece or a very important and powerful film for the sake of calling it so. From the drawing boards to its last take, Lincoln is every bit exquisitely fashioned filmmaking — an amalgamation of art, literature, politics, society, history, and most importantly, humanism.<br/><br/>Here's a brief re-cap to get you up to speed on the relevance of the American Civil War (1861 to 1865) as depicted in the film. The United States of America is divided as cotton rich states of the South refuse to phase out slavery. After Republican candidate Abraham Lincoln secures the Presidency, almost a dozen states in the South pull out of the 'Union' and become the Confederate States of America. As a bloody civil war rages between North and South, the film's story begins with President Lincoln's Emancipation Proclamation. This is the Commander and Chief of the armed forces calling for slavery to be abolished in all states by seeking a landmark constitutional amendment. For this to happen, Lincoln must procure enough votes through Congress for a stay order on making slavery illegal anywhere in America. Challenged with factions within his Republican party, Lincoln becomes his own worst enemy in a daunting personal crisis: save thousands of lives by ending the war or prolong the war in favour of ending slavery.<br/><br/>Running at 150 minutes, this film is a slow burner with extensive dialogues and frequent courthouse debates; but like the trudging power of a steam locomotive, Lincoln pushes forward with remarkable pace while never losing sight of its destination. Piloting this powerhouse of a film is Daniel Day-Lewis in easily his finest hour as a method actor. His Lincoln is tall and bent over with war-stressed fatigue and a shrill voice, but armed with a quiver full of wisdom and remedial anecdotes for when push comes to shove. Throughout the narrative Lincoln is torn within as he manages his duties as the President of a nation, as a father who has lost a son, and as a husband who must confide in his wife when decisions become complex. This is also when I must mention Sally Field in another fine delivery as First Lady Mary Todd Lincoln and the epitome of the phrase 'Behind every great man is a woman'. Field's Mary is a tragic character whose depiction of a bleeding heart is memorable in a scene where she confronts Lincoln as the father of their children, not a man with immense power. With strong characterisation forming the flesh and blood of the film, you can also expect riveting roles from Tommy Lee Jones and David Strathairn, besides a multitude of top actors.<br/><br/>This is one of the most important films of the year and perhaps even the times we live in. By its very making, Spielberg has written the greatest obituary for one of the greatest leaders of the modern world. Lincoln is to Steven Spielberg what Gandhi is to Richard Attenborough; the commonality being crucial moments in history, rather than a history lesson per se. If I have to nit-pick, I suspect there could be historical anomalies in the narrative if this film is solely considered a biopic. This is why I strongly recommend the film as a political drama rather than a componential biography. Is it safe to say that President Abraham Lincoln was a self-made man? That he was extremely intelligent despite dropping out of school? That he changed the future of an entire nation? That Barak Obama is the current President of the United States of America because Abraham Lincoln abolished slavery? If you said 'yes' to any of these questions then Lincoln is more than just an Academy Award magnet—it is a landmark film made by people reiterating that freedom is a birth right for people everywhere."
"StevePulaski","9","253","378","17 November 2012"," A capsule of a great president and a director's increasing maturity
","Daniel Day-Lewis is something of an unsung miracle; the man will come out of nowhere, select an unlikely role, knock it out of the park, then quietly crawl back into the ground for the next three or four years before repeating the same process. He is an underrated talent most likely due to his lack of a prolific career, somewhat like director Terrence Malick. Here, Day-Lewis teams up with one of Hollywood's most prolific men, Steven Spielberg, who is coming off a stellar 2011, where he produced both Super 8 and Transformers: Dark of the Moon and directed both The Adventures of Tintin and War Horse, two acclaimed pictures.<br/><br/>Spielberg mans the camera in one of the most exhilarating biopics in recent memory. Lincoln is a stunning humanization and coloring-book job of American politics, shedding a light on the skepticism and grayness of the government during that time. To simplify the story, Spielberg chooses to focus on the political interworkings of our sixteenth president's cabinet rather than the Civil War itself. It shows the long, grating process of amending the United States' constitution for the thirteenth time to abolish slavery and grant African Americans equality, and how that more than one men stood at the center of the action when the process was taking place, along with how he was incorruptibly confident that ending the practice of slavery will lead to ending the war.<br/><br/>While titled ""Lincoln,"" we get several other characters with a fairly surprising amount of screen time. Among them are Joseph Gordon-Levitt playing Lincoln's oldest son, Robert Todd, Tommy Lee Jones playing Thaddeus Stevens, the fiery Radical Republican leader who is strongly passionate about abolitionism, Sally Field as the president's devoted wife, Mary Todd, and David Strathairn as William Seward, the secretary of state. It could also be said that at times Abraham Lincoln is not writer Tony Kushner's (who also penned Spielberg's Munich, unseen by me) prime focus, as much as it is the backroom deals of the 1865 congress and the political battles and obstacles each member faced when their morals and ideology came forth in abolishing one of the most inhumane acts ever allowed in the United States.<br/><br/>Daniel Day-Lewis is mesmerizing here, never overplaying or shortchanging Lincoln in one of his most reliable roles yet. Here, he seems much more cinematic than his previous works, and seems to be smitten with Lincoln's character and persona as he embodies him for one-hundred and fifty minutes. His voice is not stereotypically deep manly, and guttural as many other works have made him out to be, but reedy and poetically satisfying, boasting not much more than historical records claim. Day-Lewis is only assisted by the wealth of invaluable talent he is surrounded by, yet some of the most powerful work of his career comes out when Lincoln is reciting stories or parables to a group of bewildered, yet fascinated individuals who recall and cherish every word the man is saying.<br/><br/>One requirement upon seeing Lincoln is you must commit to two and a half hours of dialog and monologues from several characters about several different topics. One challenge faced by the filmmakers that is inherently difficult to overcome is the wealth of information, history, and knowledge of the period, and we see the struggle they face at attempting to sum it all up into a structured, disciplined film. I could've seen this as an HBO ten to fifteen part miniseries, elaborating on smaller characters, extending the work of the amendment, and even showing Lincoln's impact on a still vulnerable United States. But such an action may have proved too heavy for even history buffs.<br/><br/>With this film, there is a lot going on in terms of subtleties and there is a plethora of weight that rests on the film's script that at times makes this a challenging picture to watch. I'm reminded of my recent adventure to see the Wachowski's Cloud Atlas, and how that film was beautiful, striking, and increasingly ambitious, but also maddening and occasionally tedious. I wouldn't so much call Lincoln maddening or tedious as I would challenging to stay in-tuned with.<br/><br/>But that does not mean I couldn't see thousands of people emerging pleased and delighted with the film they just saw. This is a richly detailed and unsurprisingly intellectual picture that will go down as one of the greatest cinematic endeavors to ever focus on American politics. Kushner and Spielberg have gone on to make quite possibly the best film we'll ever see about the passage of an amendment through congress and the exhausting compromises and deals that go along with the process. Finally, I must note Spielberg's top notch use of subversive elements from Lincoln's voice, to the focus of the picture from a narrative point of view, to the inevitable conclusion that still leaves us impacted and shaken.<br/><br/>Starring: Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, and Jackie Earle Haley. Directed by: Steven Spielberg."
"ketztx","10","151","224","29 December 2012"," Sigh. Daniel does it again
","I'm prepared to admit at this point that Daniel Day Lewis has succeeded to the title of most brilliant actor of his generation--and I do not say that lightly. But when I consider what he has done here--imbued the most sacred president in our history with such aching, gorgeous, complex humanity--seemingly without conscious effort on his part--I say give it to him.<br/><br/>His Lincoln is at once ordinary and divine, passionate and all too earthy...and he inhabits the role so fully that not beyond the first minute do you think to yourself that you are watching an actor and not the man himself. I admit, at the first speech, I rather expected the voice to be deeper and more commanding, but that wore off instantly, and Spielberg to his credit gets every scene note-perfect. The scene where soldiers on the field were quoting back to him the Gettysburg Address was heartbreaking--The big guns, to be sure, but everyone in the theater stopped breathing. Spielberg has the mood and light fine-tuned to the point that when the characters are donning shawls against the cold--this in the white house--you shiver. I can'think of a single actor who was not up to snuff, but James Spader as a rascally vote procurer stands out. Sally Field as the troubled Mary Todd Lincoln is a sympathetic gem, and her portrayal should go a long way towards explaining and perhaps inviting history's revision of that unhappy woman. The film focuses most on the nuts and bolts of legislative and presidential processes, and while that may be boring for some,it has such a ring of authenticity and research that it had me scrambling for the history books to check on things I hadn't known. This is the most difficult of all subjects to film, a dense scholarly work translated to popular culture, but it succeeds on all counts. See it, make your children go with you. You won't regret it."
"kentuckybob","10","292","488","30 October 2012"," I walked out of the theater wanting to go back in and see it again.
","It's seldom that I leave a movie knowing that I absolutely will go back to a theater to see that movie again rather than wait for distribution. As I walked out, I absolutely knew that I would be back. There are so many amazing actors in this movie that I need to go back to fully appreciate the story.<br/><br/>In my estimation, Spielberg's Lincoln will become the definitive movie on Abraham Lincoln. Daniel Day Lewis absolutely disappeared into this character and out gallumped Honest Abe - country lawyer, gifted orator and a man born more fully suited to the desperate needs of a nation than possibly any other man in history. This movie is not the shiny myth, but a portrait of an amazing man who inspired, cajoled and even bribed the Representatives of the People into representing ALL of the people. <br/><br/>If you go, and I hope that you do, go with ears ready to hear voices speaking out to us from our violent past, telling us that we can be better than we are, that some things should be done because they must be done and that we can sometimes accomplish the impossible."
"secondtake","7","62","97","3 January 2013"," Moving and important...with a mind-blowing performance by Day-Lewis
","Lincoln (2012) <br/><br/>A highly polished, restrained, important movie.<br/><br/>That doesn't make this an exciting movie. The acting is terrific, and filming excellent (including a color saturation pulled back to give it an old look without seeming affected). It is clearly expert in the way we expect from Steven Spielberg above perhaps anyone, at least in the mainstream conventional sense.<br/><br/>But there are two things that make this movie a must see. One is the content. It's about one of the two or three most important things ever to happen in this country--the fight to end slavery during the Civil War. This is such powerful stuff it will make you weep. (If it doesn't, you'll have to ask why.) It's laid out as clearly and emphatically as possible while still keeping accurate.<br/><br/>The second thing is simply the overwhelming performance by Daniel Day-Lewis. It is so good you forget it's a performance (unlike, for example, his intensity in ""There Will Be Blood"" which stood out as a work of acting above the movie). Here he is so woven into the fabric of things he is indistinguishable from the historic truth, somehow. It's really the magic of the transparency of movie-making of this kind. Amazing performance.<br/><br/>It seems sacrilege to say this but the movie isn't perfect. Because of its material--getting the anti-slavery amendment through Congress--it involves a lot of talk, and a lot of people that you have to keep track of. I think Spielberg did this as good as it could be done, so no criticism there, but it does mean a lack of physical and even emotional drama through much of the film. I don't mean it's dull, just that it's conversational. I also found shreds of Spielberg's Frank Capra quality of making the movies--and his subjects--a little simplified. He ties up loose ends. He makes it all a fine package, very fine. Maybe too fine for what I would call high art. At times.<br/><br/>I think we'll have an easier time judging it in six months, or six years. Also the subject matter makes it almost unassailable, since clearly most of us are all for the passing of any anti-slavery legislation.<br/><br/>See this for all the reasons you have heard. Don't miss it. Maybe down a coffee before you go, but see it no matter what. As I say, it's important. It reminds you of greatness, and that's not something to miss.<br/><br/>UPDATE over one year later: I see that I accepted a lot of decisions by the writer and director as their prerogative, like focussing on one issue and narrowing to a short period of time. I had no bones with the scope of the movie. But in retrospect I see how the limitations of time and scope and background also create a sense of mis-information. That is, if you want a bigger picture of Lincoln, this movie is not quite right. Its aggrandizement is also not unavoidable, like the somewhat insipid (and yet moving) recital of the Gettysburg Address at the beginning by soldiers. Overall, though, I stick to my main thought--see it, and soak up what you can, without expecting perfection. Yes, see it for what it is, nothing less."
"kmarlow-483-702066","10","173","298","17 November 2012"," ""Lincoln"" & Daniel Day Lewis Incredible.. Warning:not an action film
","Just read some of the ""bad"" reviews & simply just don't get how you can't like this GREAT MOVIE. Spielberg's ""Lincoln"" was AWESOME. The Director was able to take you ""Back In Time"" when things were much simpler & primitive, way back in the 1860's. And Daniel Day Lewis moved me in this film like no other actor has ever done. Mr. Lewis' performance was mesmerizing and spellbinding. He was ""Abraham Lincoln."" His acting in this movie is definitely ""Best Actor/Academy Award Worthy.<br/><br/>""Lincoln"" was not directed or produced with the main intention to deliver an Action ""Civil"" War Movie concentrating on horrific action battle scenes. If you want mainly entertaining action scenes then James Bond & ""Skyfall"" should be your pick. I'm sure it is also an awesome film. I want to see ""Skyfall"" also. But ""Lincoln"" was my first pick of the holiday blockbuster season.<br/><br/>Stephen Spielberg, designed this Movie to specifically concentrate on ""The Man"" Abraham Lincoln: Our 16th President of the United States. And how Mr. Lincoln helped end the CIVIL WAR and at the same time Abolish Slavery in our United States of America in the last few but Very Important months of this Great Man's Life. Daniel Day-Lewis helped show the truly human sides of Abraham Lincoln. <br/><br/>I Admire and Honor Abraham Lincoln even more so after viewing this Film."
"thepepperlanders","4","164","282","9 February 2013"," History written by Steven Spielberg
","Steven Spielberg visuals are excellent in movies and this one is no exception. He does a wonderful job recreating the time period that Lincoln was a part of. The difficulty I have is in believing some of the dialogue and the revisionist history that takes place in this movie. The opening scene is a bloody battle and it appears realistic. Unfortunately the following scene has two black soldiers chatting with Lincoln outside in a makeshift camp. He's sitting at a table while they discuss their observations with him. Listening to them you'd think they all grew up on the same block together. One soldier lectures Lincoln and interrupts him during their conversation, while the other is Lincolns best buddy. A soldier wouldn't ever talk to a president in 2012 in this manner. In 1865 if two black soldiers acted this way they would have been immediately been put in irons. Blacks had to be extremely deferential interacting with whites during that century because the law looked the other way when they were murdered by whites. The scene is ridiculous. <br/><br/>Throughout the movie Spielberg emphasizes slavery as Lincolns motivation for engaging with the South. Fact check: Lincoln goal was to preserve the union. He did not remotely believe in equality of the races. Like most whites at that time, he considered blacks inferior. He stated that he would free some of the slaves, or all of the slaves, or none of the slaves if it would preserve the union. The movie is sort of a Disney version of Lincoln and loose on the facts.<br/><br/>This movie is over rated (probably because Spielberg is so powerful in Hollywood) and if you know any civil war history you will be disappointed. Lincoln, like all presidents, was a mixed bag. He believed in that it was acceptable to pay $300 to buy your way out of the war (the Irish didn't like that idea). Lincoln seriously considered deporting blacks to central America or Africa after the war. There was a great deal of corruption during his administration. Like most elites he believed the war should be fought by others(he wouldn't allow his son to put on a uniform until the war was over). Spielberg paints Lincoln as a saint and it would have been better (and far more realistic) if he had been portrayed a man with faults. The movie is a disappointment, if you want real history, read a book. This movie is a fable for children."
"frezeframe","2","349","621","21 November 2012"," Should be Titled ""13""
","So what happened? <br/><br/>1. The first problem with this film is the script. The writer Tony Kushner is a Pulitzer winning theater writer, but other than ""Munich"" he hasn't done any motion pictures. The long drawn out dialogue between Lincoln's cabinet and the lengthy parliamentary congress sessions might play well on Broadway, but they linger on screen. It wasn't just Kushner's fault. Spielberg is one of the few directors who has final cut on anything he does, so ultimately it's yet another vast mis-judgment by the best known director and one of the wealthiest filmmakers in the world. He's currently slated to direct Indiana Jones 5, so I guess that tells you where his judgment is. We're all waiting patiently for him to retire with some dignity, but he's just Brett Favre'n it all the way. <br/><br/>It was a huge mistake for Dreamworks when deciding on the story, not to include Lincoln's childhood, his struggle with schooling, the severe poverty he faced growing up on the western frontier, and how he had to teach himself how to be a lawyer, family roots, his political career, and ultimately, his assassination. It's very clear from the beginning, that this film is not about Lincoln's life, but a very specific part of his presidency,(The Emancipation Proclamation). <br/><br/>90 minutes of this 150 minute film was spent on the 13th Amendment. So much so, that every single member of congress when voting, had their own screen time to voice that vote. It should have been called, ""Emancipation"" or ""ep13"", but not ""Lincoln."" Do not go into this movie expecting to learn about Abraham Lincoln's life. You will be hugely disappointed.<br/><br/>2. There was no sense of space. No aerial shots of Washington DC in the 1860s... no city shots showing how life was back then... just interior scenes, a few battlefield scenes, and a few outdoor speeches. And this coming from one of the greatest special effects pioneers of the medium- lame.<br/><br/>3. No secret service. The Secret Service was created by President Lincoln on April 14, 1865, the day of his assassination. Don't you think that would be an interesting thing to showcase in a movie titled ""Lincoln?"" One third of the US currency in circulation was counterfeit at the time. There was no mention of it. And also, at no point did you see ANY security around the president except for a few soldiers around him in wide shots. It just made it seem even more like a filmmaker trying to tell his own pretentious tale of history instead of what really happened.<br/><br/>4. To much cabinet delegation and congress discussion; not enough ""Lincoln."" Sure, the film made an attempt to show his affection for his son Todd, and you did see some private moments with his wife Mary, but it was all put there in a disingenuous way because the story wasn't about his family. It was hammering the 13th Amendment down our throats the whole film. Did the NAACP make this film? Lol. <br/><br/>5. The cast was too big. There's over 120 speaking roles in this film. 120! That's insane. Daniel Day Lewis was dazzling- his eyes just penetrated you, as usual. He projected the essence of Lincoln (at least from what legend suggests) through an indirect manner that can only be witnessed to understand. He will get the Oscar nomination for this, no question. My prediction- he will win the best actor Academy Award. Everyone else was very good, a few were great- Holbrook and Stratharin especially. Sally Field was good, but not great- and Tommy Lee was his old self- always brilliant, but never stretching beyond his usual.<br/><br/>6. The ending. Instead of showing the horror of what happened the night of April 14, 1865, Spielberg decided to leave out the Ford Theater altogether and instead show another theater during another play, in which a man comes on stage and makes an announcement that Lincoln was shot. Then Lincoln's youngest son Todd, who happens to be attending this ""other"" play, looses it. And that's it. Not only do you have to sit through 2.5 hours of boring film, but there is no pay off at the end (because we KNEW this ending was coming). To show it like they did was almost as tragic as the event itself. I'm not saying show the bullet rip through his skull, but show us the event as it unfolded- don't deny the audience of that emotion.<br/><br/>I understand not wanting to glorify Booth. I get that. But this is history now. It happened almost 150 years ago. And Spielberg didn't think twice to show civil war soldiers being brutally murdered in the beginning of the film, why not show the murder at the end and DE-mystify it for all of us? And if his argument is that this film isn't about that, then why even show that part of his presidency at all??? Why not end the film with Lincoln still living... insinuating that his efforts and spirit still live on? This Jewish filmmaker can make a film about Oscar Schindler and show atrocities of monumental proportion... he can make a film called Saving Private Ryan and re define brutality, but he can't show the death of our most beloved President from Lincoln's perspective? - there may not have even been a holocaust if Lincoln had survived. So Steven, please don't give me the ""we can't show that"" line because you showed it a hundred times in Schindler's list and you won an Oscar for it.<br/><br/>It saddens me a great deal to write this review. I never would have dreamed that I would be giving Steven Spielberg's ""Lincoln"" a 2 out of 10. My advice: Watch this film for a clinic on acting and cinematography- but wait for it on video. I might buy the DVD as a cure for insomnia."
"treeline1","Null","263","471","30 November 2012"," Boring
","The movie examines Abraham Lincoln's (Daniel Day-Lewis) efforts to pass the 13th Amendment in the last few months of his life. It is a detailed account of his strategy and the negotiations of the members of his cabinet, especially his Secretary of State, William Seward (David Strathairn). <br/><br/>The story deals with the minute details involved in making slavery illegal; conversations between pompous politicians are endless and dry and I found it boring. I would have preferred a biography of Lincoln's life; the nonstop speechifying was tedious in the extreme. None of the dialogue sounded spontaneous; each line sounded well-rehearsed with the result that it looks like a filmed play.<br/><br/>Day-Lewis certainly looks the part, but his Lincoln isn't very interesting or charismatic. His soft, high voice is particularly unengaging. I expected his voice to sound like Gregory Peck as Atticus Finch. <br/><br/>For me, the movie was too long and a crashing bore."
