"username","rating","helpful","total","date","title","review"
"IanAJohnson","8","110","125","6 April 2015"," This film was compelling and had emotional weight.
","The Woman in Gold is based on the true story about a woman, Maria Altmann (Helen Mirren), and her lawyer, Randol Schoenberg (Ryan Reynolds), as they attempt to reclaim ownership of an extremely valuable painting (along with a few more) form the Austrian government nearly fifty years after it was stolen by the Nazis. This film has three distinct parts that intertwine through the duration of the show. First, there is a family dynamic that focuses on the emotional stress of the current situation on everyone's personal lives. There is a strong connection between Randol and Maria that grows over time and is given time to grow in these segments. Second, there are flashbacks that dive deeper into Maria's past and emphasize the importance of the artwork as well as explore parallels between the past and the present. Finally there is the trial itself, which is where the action of the conflict lies. This is the least important, yet still necessary part of the story. The percentage of time given to these segments would be around 40/40/20, respectively. While you might be surprised how much of the story takes place in the past, it really does drive the plot. There are many white-knuckle scenes and heart wrenching moments that really add to the film. The past is just as important as the present in this movie, and that is exactly what the film is trying to say. Helen Mirren, as always, was amazing in this film. She was subtle and drove many of the scenes that required raw emotion. Ryan Reynolds was also very good and his role in this film might have been his best performance (from what I have seen). Actually, all of the actors did a fantastic job here. Everyone was on there A-Game and gave it everything they had. There was great chemistry between Mirren and Reynolds which made their characters' connection even more compelling. Reynolds was able to subtly change his character as the case slowly changed his motivations. While, yes, there are a few clichéd scenes that were put in there for emotional levity and drama, but they don't really take much away, if anything. This was an excellent film and I highly recommend it."
"ferguson-6","7","83","101","31 March 2015"," Blending art, history, justice, and identity
","Greetings again from the darkness. The responsibility of the filmmaker when the project is ""based on a true story"" is elevated when the story has significant historical relevance and blends such elements as art, identity, justice and international law. Add to those the quest of a remarkable woman whose family was ripped apart by Nazi insurgents, and more than a history lesson, it becomes a poignant personal story.<br/><br/>Helen Mirren portrays Maria Altmann, the woman who emigrated to the United States by fleeing her Austrian homeland during World War II, and leaving behind her beloved family and all possessions. After the death of her sister, Ms. Altmann becomes aware of the family artwork stolen by the Nazi's during the invasion. This is not just any artwork, but multiple pieces from famed Austrian artist Gustav Klimt  including ""Portrait of Adele Bloch-Bauer"". See, Adele was Maria's aunt, and the stunning piece (with gold leaf accents) has become ""the Mona Lisa of Austria"", while hanging for decades in the state gallery.<br/><br/>The story revolves around Maria's partnering with family friend and upstart attorney Randol Schoenberg (Ryan Reynolds) to take on the nation of Austria and reclaim the (extremely valuable) artwork that was seized illegally so many years ago. They are aided in their mission by an Austrian journalist (played by Daniel Bruhl) who is fighting his own demons. The seven-plus year legal saga is condensed for the big screen and we follow Maria and Randol as they meet with the Austrian art reclamation committee, a federal judge (played by the director's wife Elizabeth McGovern), the U.S. Supreme Court (Jonathan Pryce as Chief Justice), and finally a mediation committee back in Austria. But this is not really a courtroom drama  it's a personal quest for justice and search for identity. What role does family roots and history play in determining who we are today? It's the age old question of past vs. present, only this is seen through the eyes of a woman who has survived what most of us can only imagine.<br/><br/>Director Simon Curtis (My Week with Marilyn) uses startling flashbacks (with Tatiana Maslany as the younger Maria) to provide glimpses of Maria's childhood through her marriage and subsequent escape. We get to know her family, including some scenes featuring Aunt Adele (Antje Traue), and Maria's father and uncle (Henry Goodman, Allan Corduner). We understand this family's place in society and just how dramatically they were impacted by the Nazi takeover.<br/><br/>Helen Mirren delivers yet another exceptional performance and manages to pull off the snappy lines without an ounce of schmaltz, while also capturing the emotional turmoil Ms. Altmann endures. Director Curtis and writer Alexi Kaye Campbell round off some of the rough edges and inject enough humor to prevent this from being the gut-wrenching process it probably was in real life. This approach makes the film, the story and the characters more relatable for most movie goers  and it's quite an enjoyable look at a fascinating woman and a pretty remarkable underdog story."
"CleveMan66","10","110","145","11 April 2015"," ""Woman in Gold"" is a work of art in its own right.
","When I review a movie, I ask myself but one question: How entertaining is it? Of course, such a thing is always a matter of opinion and depends on an individual's personal background, personality, tastes, preferences, interests, experiences, and so forth. As a reviewer who likes all kinds of movies and hopes these reviews will be helpful to all kinds of moviegoers, I'm as objective and open-minded as I can be. Regardless of its genre, its subject matter or its background, all I expect from a movie is to enjoy it. This attitude allows me the freedom to like movies of any and all kinds, regardless of whether others think that I'm ""supposed"" to like them or not. Did the movie's comedy make me laugh, did its a drama draw me in and make me care, did its thrilling moments thrill me? Etc., etc. You get the point. I expect a film to entertain me – to make me FEEL something. But the best movies also inform, educate, enlighten and uplift. Oh, and bonus points for originality, creativity, and technical and artistic excellence. When you have the pleasure of seeing a film with all of those characteristics, it is a ""must see"". It is a treasure. It is art. ""Woman in Gold"" (PG-13, 1:49) is such a film.<br/><br/>""Woman in Gold"" is based on the true story of Maria Altmann, who, as a young woman (played by Tatiana Maslany of ""Orphan Black"" fame) fled her beloved Austria as the Nazi noose was tightening around the necks of her Jewish countrymen. Encouraged by her family and with her new husband by her side, she left behind the people, places and possessions she loved. One of those possessions was a Gustav Klimt painting of her dear aunt Adele (Antje Traue), a painting which would soon be taken by the Nazis and, after World War II, end up in a Vienna art museum where it became so revered that one character calls it ""the Mona Lisa of Austria"".<br/><br/>When Maria (played as an old woman by Dame Helen Mirren) loses her sister, she discovers some letters that, along with 1990s changes in Austrian law, make her think that she might reclaim what once belonged to her family. She enlists the help of Randol Schoenberg (Ryan Reynolds), a friend's son, to look into the matter for her. Randy is a young attorney who has just started a new job and whose wife (Katie Holmes) is concerned about the impact of a lengthy case on their growing family, but he becomes obsessed with Maria's cause. In Austria, Randy gains the assistance of a local journalist (Daniel Brühl), but this long and complicated bureaucratic and legal struggle may prove to be too much for any of them, or even all of them. If you ever start to think that this lengthy and emotionally taxing fight is merely about the extremely high value of the painting or even one woman's need for closure, you'll remember Maria ending a conversation about her motivations with ""and then there's justice."" ""Woman in Gold"" has something for everyone. It's an unusually dramatic history lesson, a riveting drama, an involving mystery, a fascinating legal thriller and a touching story of families and friendships. All members of the very talented cast bring their ""A game"", the writing is excellent and the editing is superb. All these factors come together in a narrative which transitions seamlessly between the story's present and its past, doing so as effectively as I've ever seen it done. The opening of the movie, a short scene involving the creation of the painting, effortlessly but effectively communicates how special the painting of the title really is. The film shows the plight of the Jews in Europe more personally than any film since ""Schindler's List"", but without being overwrought. It also sheds light on what it meant for a country to capitulate to the Nazis as well as the long-term effects of that chapter in history. Many scenes in the movie are dramatic and suspenseful, but the portion of the film in which Maria and her husband escape Austria is on par with the climactic scenes in Oscar-winning films like ""Argo"" and ""The Sound of Music"". Whichever genre or cubby hole that professional critics choose to place this movie in, it rises above most films to which it might be compared.<br/><br/>Like a great painting, a great film is a joy and an honor to see for yourself. I hope that ""Woman in Gold"" is remembered when all those gold statuettes are handed out this next awards season. The worth of the movie is, in the end, only my opinion, but this film informed me, educated me, enlightened me, uplifted me, and, as a wonderful work of art, it entertained me. ""A+"""
"rapan-2","8","87","114","27 March 2015"," Well done and entertaining on a serious subject
","just saw WOMAN IN GOLD and i must be of an entirely different demographic than some other reviewers, but i enjoyed it mightily. The audience obviously did also, as there was laughter and applause at various spots. The acting is wonderful and the story quite straightforward but done with both heart and a sense of humor. there is excellent use of flashback and lovely shots of Vienna. Angelenos will get a kick out of some of the recognizable LA landmarks. I have no idea of what the requested ten lines means, whether it is sentences or actual lines. It's a lovely movie. Not sophisticated but informative, entertaining and thought provoking with excellent acting from both the principals and supporting actors."
"Okonh0wp","9","7","7","23 February 2017"," A great film that fell through the cracks
","My original perception was that this was an indie flick that only played in the art houses because it was an artsy film. the truth is that it's a great film that simply didn't get the luck of the draw when it came with mass distribution. Woman in Gold would be at home with any of the Oscar nominees and contenders and would easily be considered more of an outright crowd pleaser than a film like Danish Girl (which got nominated in acting categories) or Brooklyn (which did make the final cut for Oscar). <br/><br/>The film is based on an eight-year-long quest by a California-based lawyer of Austrian descent and a longtime family friend from the motherland (the prior relationship between the characters is erased in the adaptation process) to reclaim confiscated art by the Nazis. <br/><br/>The film's main strength is that it's neither a holocaust story nor is it a standard courtroom drama, but it's a fresh new take on both genres. As for the former, the film feels fresh through its specificity to the Austrian experience and the specificity of a wealthy family. The film is more relatable to the experience of anyone descended of an immigrant who had to leave the old regime. As for the latter, the film's main challenge wasn't showing a guy having his flashy day in court but rather a long slog as it was taking a toll on his life. The film handles this challenge in pacing admirably. <br/><br/>More than that, the film flies on the strength of its central relationship. You never think of Ryan Reynolds (best known for subversive leading men or a smug action stars) and Helen Mirren as occupying the same universe but the chemistry between the two goes a long way towards making this film transformative. <br/><br/>The film is a powerful one about remembrance and loss. It teaches that one can't fix the past, but healing those wounds is a noble cause."
"rmart-46-626964","10","55","74","16 April 2015"," Perfection
","This movie is just flawless in any category; acting, cinematography, sound, locations, story flow. Helen Mirren is of course the star but everybody else involved were perfect also. Telling the young woman's life story, their hair-raising escape from Nazi occupation, and at the same time describing the red tape involved in trying to get back stolen family property by the Nazi's 50 years prior is just a stunning accomplishment. But, the icing on the cake, which they could have ignored, is how most of the population of Austria (and other European countries) colluded with the Nazi's.<br/><br/>This is such an incredible movie, it should be required screening in high schools, it should never be forgotten what happens when hate and prejudice team up with apathy. No graphic violence is required to get the message across - classy all the way."
"annfromflag","10","57","77","12 April 2015"," Justice is Done
","Before seeing Woman in Gold, I read three to four reviews, ranging from ""ordinary"" to ""extraordinary movie."" I was more than curious, since I am an historian and secondary ed teacher, always looking for excellent historical films that remind us ""why"" we study history. This film presents a WWII story with superb storytelling. Woman in Gold is about a survivor of World War II, named Maria Altmann, a Viennese who wants a famous family painting by Gustav Klimt returned to her possession since it was stolen by the Nazis. She enlists the help of a family friend, who also has a WWII connection, although he is quite inexperienced for the challenge of taking on the Austrian government. The painting of her aunt is famous for its size, the gold leaf, and its early twentieth century modernity. Even if you are ignorant about art history, this ""Mona Lisa"" of Austria, the Woman in Gold, is recognizable to almost everyone else. Maria Altmann's connection to this stellar painting by Gustav Klimt is that it reminds her not only of her aunt, but the family, friends, and life style that she lost forever when she fled Vienna with little more than the clothes on her back. The fight she and Randy Schoenberg, yes - grandson of Arnold Schoenberg - are about to wage is insurmountable if you have studied recent Austrian attempts to conceal its Nazi past. Think Kurt Waldheim. Woman in Gold is told in two stories, one about the pursuit of justice, and the other flashbacks before and after the Nazis occupied Vienna, showing Maria's lost life. Edited together, you get enough background into the Holocaust to understand Maria Altmann's motivation to seek long-awaited justice not just for herself, but all the other people who lost everything with little to no hope of restitution. The director, screenwriter, set designer, and all the actors did a fabulous job of finding a balance between humor and poignancy. Woman in Gold complements those other wonderful WWII movies, like Downfall, Lucie Aubrac, The Pianist, by showing that WWII history is not dead, that new chapters are being written in the 21st century."
"Qanqor","8","55","75","7 April 2015"," Well, *I* liked it!
","I just got home from seeing this film, and I very much enjoyed it. I've been reading some of the negative reviews and trying to understand what they're on about, but I just don't get it. I think it was a great film and I'm glad I saw it. OK, maybe following all the legal machinations gets a little dry at points, but I'm happy with this. It means that the film makers *respect* the story. This isn't one of those atrocities that claims to be based on history, but in fact plays so fast-and-loose with the facts that what you are getting is almost entirely fiction (yes, ""The Imitation Game"", I'm looking at *you*). While I don't know the details of the actual history in this case, from what I'm able to make out it seems like this film stays pretty true to the facts. I, for one, am glad they resisted the trend of schmaltzing the thing up."
"rogerdarlington","Null","6","6","19 September 2016"," Another golden performance by Helen Mirren
","The lady in question is Adele Bloch-Bauer who was the subject of a magnificent painting, deploying lots of gold, by the Austrian artist Gustav Klimt. Following the Anschuss of 1938 when Germany took over Austria, this painting was one of many, many artefacts seized by the Nazis from Jewish families in occupied Europe.<br/><br/>The film tells the story - a little fictionalised - of Adele's niece Maria Altmann who escaped from Vienna to live in California and, during the 1980s as an octogenarian, pursued an audacious claim to take back this painting and other Klimt works from the Austrian Government. Helen Mirren is brilliant as Altmann in another distinguished performance in a sparkling career during which she has played everything from ""The Queen"" to an assassin (RED""), while Ryan Reynolds is surprisingly good as her lawyer Randy Schoenberg in a role a million miles from ""Green Lantern"" or ""Deadpool"".<br/><br/>There's a lot going on in this film: legal battles over the art work with some classic courtroom scenes, flashbacks (in sepia colours) to Altmann's earlier life in 1930s Vienna, and an evolving relationship between the irascible Altmann and the idealistic Schoenberg, both descendants of famous Austrians. This is not the kind of film that was ever going to be a major box office draw but it is certainly worth a home viewing."
"krocheav","8","6","6","12 April 2016"," Compelling History
","'Woman in Gold' makes for a dazzling movie experience (even if at times it may leave you questioning it's authenticity). Having not been an admirer of Mirren's early screen work - she seems to have become better with age (well, for me anyway), I was taken with her portrayal of Maria Altman from start to finish (as also in 'The Queen'). Ryan Reynolds gives good support as the young Lawyer taking on a case above his station. Reynolds, whose style is somewhat reminiscent of a young Kevin Costner, plays the Randol Schoenberg part with conviction.<br/><br/>London born director Simon Curtis gives the proceedings an easy to watch style and with the help of documentary editor Peter Lambert, they keep the viewer engaged throughout. Curtis also gets to direct his American wife (in a guest style role) Elizabeth McGovern, who has since made England her home. First time feature screenplay writer Alexi Kaye Campbell has fashioned an interesting interpretation of the writings of Altman and Schoeenberg's own life experiences, looking back at yet another of humanity's all time low past atrocities - although as mentioned, for some, certain sections of the screenplay may not always ring true (?)<br/><br/>Cinematographer Ross Emery (Matrix) gets a chance to prove he's also good without the help of tons of big budget CGI. It's hard to tell who did what with the music score, credited to both Martin Phipps and Hans Zimmer but, it's pleasing in an unobtrusive manor. Design Guru's, Andrew Ackland-Snow and brothers Dominic and Giles Masters (Harry Potter) with the help of others, ensure it looks good - perhaps while also getting a chance to strut their stuff without being drenched in CGI. <br/><br/>As a minor point, some location settings in Austria seemed a little too devoid of people to give an accurate representation, still, it's an amazing human story, both informative and entertaining. It should please most sophisticated audiences, while letting us reflect on an episode from our dark past."
