"username","rating","helpful","total","date","title","review"
"steve-642","Null","292","315","7 April 2000"," An extraordinary, moving post-war film
","I first saw this film (one of my top ten favorites) in 1995 on the big screen, as part of the commemorations for the 50th anniversary of the end of WWII. It had an impact that was so strong that it's never left me--I've seen it many times since, and with each viewing the film seems to reveal new artistic richness and spiritual depth.<br/><br/>William Wyler's direction is breathtaking.  One of the most moving scenes occurs early on in the film, when Homer, the young disabled Navy veteran, arrives at his family home and stands for a moment on the front lawn.  For that one second there is an exquisite stillness that communicates a depth of emotion that can't be expressed physically.  Then, just as the tension becomes almost unbearable, Homer's little sister Louella comes to the front door and runs out to greet him.  In a similar way, the scene where Al Stephenson comes home to his wife and children is so finely directed you can almost feel that you're in the apartment with them--that it's your husband or father come home to you from the war--and you're experiencing the sheer elation of their physical nearness.<br/><br/>This aspect of the film--its portrayal of the joys and hardships of post-war readjustment and the veterans' experience--is what makes it so enlightening, honest and powerful.  As a young woman, I have never experienced wartime or had my father, brothers or friends go off to fight. The film moves swiftly but seamlessly from the initial joy of homecoming and reunion to the problems, anxieties and humiliations that the three veterans encounter as they attempt to build a new life for themselves and their families.<br/><br/>
I found it interesting how the film tries to give a picture of the different socio-economic backgrounds of the three men, and show the emergence of an affluent, market-driven economy.  While this in itself is not bad, different episodes in the film show how this economic approach can conflict sharply at times with enduring human values such as integrity and justice.  Al's dealings with the young veteran Mr Novak, who comes to him for a service loan to buy a farm, and his later (slightly tipsy) speech to a business gathering show this.  Al declares at the end of his speech that when the bank lends money to poor veterans it will be a financial gamble but ""we'll be gambling on the future of this country"".<br/><br/>The film's interweaving of the characters and their struggles never falters and is deeply satisfying.  Even as Al and Milly, Homer and Wilma gradually move towards a happy resolution of their difficulties this positive strand of the film is counter-balanced by the focus on Fred, the courageous Air Force captain who, in the eyes of the commercial world is ""unqualified"", suitable only for a job at a soda fountain, and in the eyes of his war bride, Marie, is only wonderful when he's dressed up in his officer's uniform.  Fred's situation seems only to deteriorate and at one point in the film, after he farewells his elderly father to leave town and look for work, the father finds the citations for Fred's medals and sits down to read them. As he reads the words describing Fred's bravery and dedication to duty while he was terribly wounded in his aircraft, Pat Derry's voice nearly breaks with pride and love for his son.  The film beautifully juxtaposes Fred's unselfish conduct and willingness to make the ultimate sacrifice with the cold indifference of a country in peacetime that does not want him and seemingly has no place for him.<br/><br/>The actors are uniformly impressive and really make their characters come alive.  Dana Andrews is especially outstanding together with two young actors making their debut, Harold Russell and Cathy O'Donnell, as Homer and Wilma.  Personally, I loved Homer and Wilma's story the best among those of all the characters,and the resolution is a simple, sensitively shot scene that lifts the whole film to a new point of happiness, gratitude and release.  Both Cathy O'Donnell and Teresa Wright are lovely, gifted actresses with a slightly understated style, that is perfectly suited to the film's restrained but powerful tenor.  This is demonstrated especially well in the tense scene where Wilma tries to talk to Homer in the shed, and in the scene where Peggy confides her heartache to her parents.<br/><br/>One feature that adds significantly to the film's quality is Hugo Friedhofer's score.  The music is remarkably fresh and undated, has a strong, classic sound, and is poignant without being too romantic or sentimental (a flaw often found in other 1940s film scores).<br/><br/>The producer, Samuel Goldwyn, reportedly said of this film: ""I don't care if it doesn't make a nickel...I just want every man, woman and child in America to see it"".  Although I'm not American (I am Australian) I found this film, with its universal human themes and its portrayal of post-war readjustment, speaks to anyone who shares in this heritage of WWII.  Tell others about this film--it is breathtaking, beautiful and brave.  See it and remember."
"GMJames","10","164","182","22 February 2005"," Over 60 years old and still a classic!
","In 2004, I wrote the following statements on an IMDb message board when a user wondered if The Best Years of Our Lives was a forgotten movie: <br/><br/>***** To me watching this movie is like opening up a time capsule. I think in many ways ""The Best Years of Our Lives"" is probably one of the more fascinating character studies and it holds up extremely well as a look at life in the US in the mid-1940s after WWII. I believe ""Coming Home"" and ""The Deer Hunter"", both released in 1978, were the most recent films that were closest in capturing the numerous issues of military men returning from war that were brought up in ""The Best Years of Our Lives"".<br/><br/>What really impressed me was watching the movie in its entirety when I was in college around 1980-81 and many if not all of the college students applauded at the end of the movie.<br/><br/>This movie still packs a wallop and I'm very happy to read in other posts other users feeling of a movie that will definitely stand the test of time. *****<br/><br/>I'm very happy to see the movie ranked near the top 100 movies on IMDb and AFI. Also, though it was in competition with what eventually became a Christmas classic, It's a Wonderful Life, arguably, The Best Years of Our Lives' Oscar wins, including Best Picture, were very well-deserved. <br/><br/>I've just seen the film again in 2005 and after almost 60 years, The Best Years of Our Lives is still a powerful, beautifully acted and well-crafted motion picture."
"bkoganbing","10","78","85","23 April 2007"," The People's War Veterans Return Home
","One of the great things about The Best Years of Our Lives that even though it dates itself rather firmly in the post World War II era, the issues it talks about are as real today as they were on V-E or V-J day of 1945. The problem of how to assimilate returning war veterans is as old as the written history of our planet.<br/><br/>And while we don't often learn from history, we can be thankful that for once the United States of America did learn from what happened with its veterans after the previous World War. The GI Bill of Rights is mentioned in passing in The Best Years of Our Lives was possibly the greatest piece of social legislation from the last century. So many veterans did take advantage of it as do the veterans like Fredric March, Dana Andrews, and Harold Russell who you see here.<br/><br/>All three of those actors played archetypal veterans, characters that every corner of the USA could identify with. They all meet on an army transport plane flying to the home town of all of them, Boone City, Iowa.<br/><br/>War is a great leveler of class and distinction. Bank employee March, soda jerk Andrews, and high school football star Russell probably would never meet in real life even in a small town like Boone City. But they do meet and war forges indestructible bonds that can never be broken.<br/><br/>March is the oldest, a man with two children and Hollywood's perfect wife Myrna Loy. He settles in the first and the best. He has some wonderful scenes, getting cockeyed drunk on his return and later with a little bit of liquor in him, tells the bank officials at a banquet off in no uncertain terms.<br/><br/>I also love his scene where another returning veteran, a sharecropper wants to get a bank loan for his own piece of land. Watch March's expressions as he listens to the man's pitch for money. You can feel him read the man's soul. It's what got him his Second Best Actor Oscar for this film.<br/><br/>Harold Russell was a real veteran who lost both his hands during service in the Pacific. He got a special recognition Oscar for his performance. Because of that it was probably unfair to nominate him in the Supporting Actor category which he also won in. His performance, especially his scenes with Cathy O'Donnell as his sweetheart who loves him with or without his hands, is beyond anything that could be described as acting.<br/><br/>Dana Andrews is the only officer of the three, a bombardier in the Army Air Corps. Of the group of them, maybe he should have stayed in. He also comes from the poorest background of the group and he was an officer and a gentleman in that uniform. That uniform and those monthly allotment checks are what got Virginia Mayo interested enough to marry him. The problem is that he's considerably less in her eyes as a civilian.<br/><br/>While Mayo is fooling around with Steve Cochran, Andrews has the great good fortune to have March's daughter Teresa Wright take an interest in him. They're the main story of the film, Andrews adjustment to civilian life and adjusting to the fact he married the wrong woman. Not all veteran's problems were solved with GI Bill.<br/><br/>Myrna Loy gets little recognition for The Best Years of Our Lives. My guess is that it's because her role as wife was too much like the stereotypical wife roles she had patented over at MGM. Still as wife to March and mother to Wright she really is the glue that holds that family together.<br/><br/>The Best Years of Our Lives won for Best Picture for Sam Goldwyn, Best Director for William Wyler and a few others besides the two acting Oscars it got. It was a critical and popular success, possibly the best film Sam Goldwyn ever produced. It remains to this day an endearing and enduring classic and will be so for centuries. It's almost three hours in length, but never once will your interest wane.<br/><br/>The best tribute this film received came from Frank Capra who had a film of his own in the Oscar sweepstakes that year in several categories. In his memoirs he said that he was disappointed to be skunked at the Oscars that year, but that his friend and colleague William Wyler had created such a masterpiece he deserved every award he could get for it.<br/><br/>By the way, the film Capra had hopes for was It's A Wonderful Life. The Beat Years of Our Lives can't get better praise than that."
"secondtake","10","25","26","4 October 2010"," Highly structured but flawless and really moving drama about returning G.I.s
","The Best Years of Our Lives (1946)<br/><br/>The whole point of this film when it was released still makes perfect sense today, though I'm sure it doesn't have the same impact it did in those first years after World War II ended. Returning servicemen, with all kinds of backgrounds before and during the war, hit a wall coming home: wives who no longer loved them, jobs that had dried up, a culture that was foreign to them and that found them, these men, to be foreign themselves.<br/><br/>It wasn't a crisis to take lightly. These were the guys who were drafted to fight the enemy, and in going overseas they lost some of the best years of their lives, if not their lives. The country knew its debt in the abstract, but it also knew it in sons and husbands who really did come home and who had to face it all. This movie was both a reckoning for the sake of national healing and a brilliant drama that would be beautifully pertinent and therefore successful. And what a success, then and now.<br/><br/>The consummate Hollywood director William Wyler shows in this fast, long movie just what a master he is at working the medium. With Gregg Toland at the camera, Wyler makes a highly fluid movie, visual and dramatic and weirdly highly efficient. With the three main plots interweaving and depending on each other, the drama (and melodrama) build but never beyond plausibility. Wyler knew his audience wouldn't put up with pandering or cheap mistakes. Casting Harold Russell as Homer, knowing the audience would hear about how Russell really was a soldier who lost both hands in the war, was a huge step toward creating both empathy and credibility. It even practices a key theme in the move--to go beyond your bounds to make a difference, to give these guys a break and help them assimilate.<br/><br/>It's interesting how singular this movie is, trying to show the truth in these kinds of situations. The other post-war films about army and navy men fall into two large and dominating categories--war films and film noir. And it is film noir that comes closest to getting at the problem of the G.I. not reintegrating well, making it a whole style, brooding and spilling over with violence. ""The Best Years of Our Lives"" has a highly controlled and even contrived plot structure, but it aims to be honest and representative. <br/><br/>That it's remarkable formally--the way it is shot and edited and acted, top to bottom--is not surprise, given the heights that Hollywood had reached by then, and given that Wyler is easily the slickest of them all, in the best sense. That the movie makes such beautiful sense and really works as a story, a moving and heartwarming story without undue sappiness, is a whole other kind of achievement. A terrific, rich, full-blooded, uncompromised movie."
"ottoblom","Null","143","168","10 October 2004"," Dana Andrews
","I saw the movie again recently. I always love it. It's touching, has great music, scope and complexity. The film is alive in its human details. But what especially stood out to me this time was how amazing Dana Andrew's performance is. His wife has cheated on him, he's suffering post-war trauma, and can't find a job--but he's still charming and funny. Even though his opinion of himself is pretty low, he keeps going ahead. I love how self-denigrating the character is, how he suspects he's pretty worthless, while his parents, friends and Peggy (but not his wife) see him as extraordinary. And Andrews does it all while being understated and real. Yeah, Dana!"
"bill_mcclain","Null","164","194","23 September 2004"," Forgotten now that it was mildly controversial in its day
","My parents were of that generation, and the movie was cathartic for returning veterans and their families and friends; it's small wonder that it eclipsed <i>It's A Wonderful Life</i>, which arguably is a better picture. But at the time, the movie had some shocking elements to it. In fact, my mother (roughly the character Peggy's age then) saw it against her parents' wishes.<br/><br/>Back in 1946, it was a jaw-dropper to have a character in a movie utter the word ""divorce"" or to aver an intent to break up a marriage -- such ideas just weren't voiced in films then. To modern audiences, they come across as melodramatic, but I'm told they elcited genuine gasps from audiences then.<br/><br/>Even more astonishing was William Wyler's decision to cast real-life amputee Harold Russell in the key role of a returning Navy veteran. Until <i>The Battle of Britain</i>, in which an actual, disfigured RAF veteran made a cameo appearance, directors didn't make those sorts of courageous gestures. The intimate yet innocent scene in which Homer Parrish (Russell) demonstrates his helplessness to his fiancé Wilma Cameron (Cathy O'Donnell) is beautiful, heartbreaking and uplifting; later, during the wedding scene, Russell stumbled over a line in saying the vows, and Wyler left the humanizing mistake in, God bless him for it."
"ss5921","10","58","68","31 July 2003"," An Extraordinary Picture
","Sometimes, but very rarely, a movie tells a story so well that it almost becomes difficult. This movie tells several stories so well simultaneously that it was the first few times a movie I could not watch to completion. It was too real....and the characters SO STRONG that watching it became a personal struggle. Seeing these three men and their families deal with their hardships, one in particular, often hit me too hard. Now, I have watched in its entirety without interruption several times, and I realize what I always suspected. This movie is a masterpiece. The writing, the acting, the blending of several stories without being even the least bit choppy, everything about this movie is exceptional. Seven Academy Awards? No wonder, it certainly must have deserved them."
"jackboot","10","17","18","18 January 2001"," Some of this film's greatest moments were scenes without a spoken word!
","There are several thoughtful reviews of this movie here already - most all of which I concur with.<br/><br/>I'll try to add a couple of unique comments about this most wonderful of films.<br/><br/>It occurred to me that some of this films greatest and most touching moments are told without dialogue:<br/><br/>The scene so many readers here have already mentioned - when Fred visits the boneyard for all those bombers waiting for the scrap heap. Through the camera work and Mr. Andrews' acting, we too are transported back to his harrowing missions aboard one of these planes. The urgency, the fear, the terror, the danger are all palpable at once as though we're in the cockpit too, flying over Europe against great enemy resistance, even though it's a sunny day somewhere in America in a lot  for surplus aircraft. When I watched that scene, I felt like I really knew what tremendous ordeals he had endured. I felt for Fred now that this plane, that had been so decisively important, just as he himself had been so important, risking his life in service to his country as part of the plane's crew suddenly no longer served any useful purpose.<br/><br/>The scene where Homer is just about to go to his girlfriend's, Wilma's, house as planned - but he stops and he watches her through the window as she works in the kitchen, and plainly, we see that she is dear to him. But instead of going in to see her, with great struggle he changes his mind and he goes home and to his room. What a sweet room it is! It's the room he left - just out of high school - to join the navy. It's a high school student's room, a boy's room in his parent's house, with his trophies and pennants on the wall. He looks around at his boyhood triumphs and - we see through the camera - he stops and looks at his posed portrait in his football uniform, his right arm cocked back holding the football, his left arm pointing towards the imaginary receiver his head up, proud, and his gaze confident and purposeful. And then he looks at an action shot of himself dribbling the basketball past defenders. I can't begin to assess what Homer could be feeling at that moment - feelings of loss? of uselessness? Is he thinking that he'll be forever a boy - dependent on his parents and that he'll never be able to be his own man? That sequence - all without dialogue - speaks volumes!<br/><br/>The kicker for me though, is the reminder that this is not merely a character in a story that has moved me, but this is also a real person who lost both his hands in service to his country. Those photographs of him holding the football and dribbling the basketball sure look to me like they are real pictures of the real person, Mr. Harold Russell, who plays Homer. What kind of courage did he have to look those things in the face for millions of viewers to witness? And how hard was it for Mr. Russell the person to make light of his character's and his own real life disability by playing Chopsticks on the piano with his ""hooks"" for everyone's amusement?<br/><br/>Those two scenes stick in my mind as the most powerful to me - but there are so many more in this movie. It's worth noting that they were so effective without any dialogue at all. An actor shares a soul stirring revelation and it is carefully captured and revealed for us with sensitive and skillful film making.<br/><br/>This is one of those movies that would go on a very short list of all time favorites. It's not perfect - when I can detach myself emotionally from the people in this story I can say that it could possibly be just a little heavy handed with it's message, but to watch this movie with all it's masterful performances from so many in the cast all assembled so lovingly and with great such great care by a great director - I have to think that it is very near perfect.<br/><br/>I read here on IMDB under Harold Russell's (plays Homer) bio that he sold his Oscar in order to pay for surgery for his wife!! He is still living, retired on Cape Cod. Someone, somehow should get his Oscar back to him. It seems so wrong!! He paid very dearly with flesh and blood and bone and then had to, while on display, stare his loss in the face for the benefit of the movie going public. Someone should return his Oscar to him - the Academy? Steven Spielberg? Tom Hanks? William Wyler's heirs? I don't know who, but someone should really do that for him. It seems like a small price to pay for what he gave."
"ceb59","10","11","11","12 August 2016"," Wanted to Hate It...Couldn't Help But Love It
","I disagree with those who only went so far as to call ""The Best Years of Our Lives"" one of the best movies about returning servicemen. I believe it is one of the best movies ever made, period. It alternates with ""Casablanca"" for my all-time favorite movie, depending on which one I have seen most recently.<br/><br/>The best compliment I can pay to this movie is that I hold it in such high regard despite having gone into my first viewing wanting to hate it. How dare this film win the best picture Oscar over my favorite movie (at the time) ""It's a Wonderful Life,"" went my thinking. But when I saw ""Best Years,"" I was blown away and I understood.<br/><br/>""Best Years"" has an unbelievable number of scenes that bring a tear to the eye or a lump to the throat, with only a couple of those being the result of sadness, and with most being caused by beautiful depictions of love, loyalty, pride, patriotism, or the overcoming of personal adversity. I only need to hear the opening strains of the Homer and Wilma theme music before the bedroom scene to start losing it.<br/><br/>What I enjoy most about the plot is how steadfast all of the lead women are, each in their own unique way. I know Harold Russell and Fredric March won the Oscars-- and they were great-- but for me, Dana Andrews as Fred and the wonderful Teresa Wright as Peggy are the standouts. I find Fred's statement that Peggy should be put into mass production to be very apt.<br/><br/>One final aspect of the movie that fascinates me is how it can be such a perfect time-capsule of 1940s America, yet still not feel dated in terms of its human interactions.<br/><br/>I am on the clock, waiting for my next opportunity to enjoy this complete and utter masterpiece!"
"smthrk","10","82","100","13 August 2003"," Refreshing To See
","Very glad to see that this excellent film gets such high marks from the users of IMDB.  The Best Years of Their Lives remains the finest cinematic statement about veterans returning from war that I have come across. Easily the finest performance by the often overlooked Frederick March.  In fact the entire cast shines, including music legend Hoagy Carmichael who treats us all with a subtle version of his classic Lazy River.   I would recommend this excellent film to anyone who loves movies."
