"username","rating","helpful","total","date","title","review"
"Chris_Docker","7","111","145","8 September 2007"," Enjoyable silliness
","Occasionally when editors send reviewers a list of new and upcoming films, a kind a war-weariness can set in: even more so when one's gut feeling suggests an obvious divide between worthwhile cinema and the barrage of rather missable comedy. Even more so when a film in question has not risked journalistic censure by having an advance press screening. I am not one of the many people who thrilled excitedly to Simon Pegg's efforts in Shaun of the Dead or Hot Fuzz. And I was even less impressed the last time he joined forces with David Schwimmer in Big Nothing. So it was with a feeling almost of self-sacrifice that I volunteered to sit through Run, Fat Boy, Run. Which doesn't even have car chases or zombies to recommend it.<br/><br/>The surprise was that it is actually quite good.<br/><br/>Simon Pegg studied drama at university but earned his spurs in working life as a stand-up comedian. Which perhaps explains why his timing is so split-second perfect. The gags in Run, Fat Boy, Run are not that remarkable. At times you can even see them coming. But the performance and skillful delivery is so polished that they are entertaining anyway.<br/><br/>Run, Fat Boy, Run uses a formula that has served Pegg and his growing fan base well: he is the nerd who eventually turns hero. We feel sorry for him, irritated by him, repelled by him. He's the well-meaning hopeless case we just want to 'fix'. So the audience is relieved and rooting for him by the time he makes good. We are fully behind him by the time he makes his resolve that he is ""sick of being a 'nearly-man'."" In this present incarnation, Pegg (Dennis) has an attack of nerves just before getting married. He runs out on his gorgeous wife-to-be Libby (played by Thandie Newton) - literally - running off as she stands in the road in full bridal dress. And pregnant.<br/><br/>Five years later, Dennis is working as a security guard at a women's clothing store. The predictable jokes are spoon-fed us faultlessly. Pegg rescues any situation that threatens to become too silly by a look of open sincerity (rather like Ricky Gervais does with political humour). But Pegg seems to have an instinctual grasp of cinema that enables him to extract the best results from his material. On a hot Saturday afternoon, and with strong competition from much publicised movies, the auditorium was fairly packed.<br/><br/>The second theme from the film's title comes from Dennis' decision to run the London marathon. This is mostly to 'prove' something to Libby (for whom he has now discovered undying love) but also to win a bet for his mates and to prove himself equal to Libby's super-fit, super-rich, super-handsome suitor, Whit. His five-year old son provides the magic glue to pull all the elements of the story together.<br/><br/>In a wise choice, the filmmakers avoid anything that might belittle the Marathon (given that many UK viewers may have a deep respect for the institution). But they also bring in much underused and very photogenic shots of London en-route - particularly the Docklands area.<br/><br/>With such a vanilla story line, Run, Fat Boy, Run is relying on Pegg's reputation to pull in audiences. I suspect that many of his fans may be occasional movie-goers who simply demand something light and untaxing. He has the ability to make a futile chase after stolen women's underwear amusing. When he seems to be rubbing himself off against a shop mannequin it could be a pathetic or tacky sketch in any other hands, but his wide-eyed expression and fast pacing move us from one joke to the next before we have time to analyse.<br/><br/>I wasn't bored. And I had expected to be. In fact I was laughing loudly. It reminded me of when JM Barrie had planted children in the audience of his first performance of Peter Pan. It helps to be in the company of people who see the joke. Run, Fat Boy, Run has not made me a convert to Pegg's brand of humour even if I enjoyed the film, but I have to admit that he is good at his job. Sometimes it is the difference between a sterile press screening and an audience of fans. On this occasion, marketing gets the benefit of the doubt."
"david-3651","8","59","77","6 September 2007"," Humorous retelling of film Running [1979]
","This was a great film and had me and the rest of the audience in stitches. Well worth seeing and for those that have seen Michael Douglas in the Running [1979] the tale will be somewhat familiar.<br/><br/>Simon Pegg delivers the comedic moments superbly (doesn't he always?) and yet also convincingly parts a warm touch to, well, those warm touching moments in the film that he shares with his son.<br/><br/>Harish Patel deserves a very honourable mention as Pegg's landlord-cum-mentor-cum-trainer. The only problem with the film was that all the way through I was waiting on Nick Frost to make at least a cameo appearance - talking of which the David Walliams scene will bring a smile to those Little Britaners out there.<br/><br/>Great film."
"kclambeth","9","78","106","11 September 2007"," Fat and Fantastic!
","I loved Shaun of the dead and hot fuzz so i knew i would like this but it was even funnier than i thought it was going to be.<br/><br/>A strong cast, the storyline was obvious but then i think that was the point, it was supposed to be a cliché, that's why it seemed funnier. The direction and writing were very good and generally the pace of the film was perfect.<br/><br/>I adore Simon Pegg in these roles, his ability to play the straight, flawed individual but make him the funniest man on screen is great and you're drawn to his story, no matter how ridiculous his predicament is. His best friend was hilarious, the setting of the London marathon was a great idea and Hank Azaria played his part well as the whole way through i wanted him to not get the girl and lose the race.<br/><br/>It's not as funny as Simon's other films but i really enjoyed it and it was well worth paying to see, in fact i'd watch it again tomorrow as there was so many laughs throughout to hold my interest.<br/><br/>Overall i love the Britishness of this film, the good guy and his basic life, it's not showy, or Hollywood it's just a simple film with comedy stars doing silly things and making us laugh, a perfect pick me up if you ask me."
"reeltime_69","8","65","88","7 September 2007"," This is worth a watch, no really it is......
","I loved this film from start to finish!!! The story, the cast, the acting, the directing all of these things are bang - on hats off to David Schwimmer i say !! This is isn't exactly the most intellectual storyline and it isn't going to change your life, but it is very entertaining Pegg at his best offering some of the funniest lines and on screen hilarity iv'e seen in a while. Plus Dylan Moran is excellent and usually i find that Stand-Up Comedians don't carry into films very well but this didn't seem a problem for Moran.<br/><br/>the film is also riddled with cameo's from famous British Comedians! That really put the cherry on top of of this film.<br/><br/>If you want to see and honest comedy with a very heartfelt and original script Run,Fatboy,Run is for you!!!"
"hellokristen","9","76","111","27 August 2007"," Enjoyable British Comedy -- but not as zany as you might expect
","Simon Pegg leaves his pregnant bride at the altar and 6 years later is regretting it -- especially when he sees her new rich, handsome, perfect suitor (Hank Azaria's comedic talents wasted in a straight role -- you know he does 100 voices on ""The Simpsons"", right?).<br/><br/>Simon loves his little boy dearly and fears the new guy might take his place in the boy's heart. So he's going to try to pull himself together before it's too late.<br/><br/>There were only 26 people at my noon-on-a-Monday (!) preview screening, but we all were laughing a lot throughout this film. I even found myself wiping away a tear at the moving ending.<br/><br/>This film was written by Simon Pegg (""Shaun of the Dead"" and ""Hot Fuzz""-- which I loved) and Michael Ian Black (edgy American TV sketch-comedy) and I expected it to be a lot wackier than it was.<br/><br/>But maybe they wanted to make something more mainstream to reach a wider audience. Or maybe it was the tempering hand of new movie director David Schwimmer (""Ross"" of ""Friends""), who does a good job.<br/><br/>A quite enjoyable movie to go see when you want some laughs. A good date movie too, I think."
"Chrysanthepop","Null","28","38","26 March 2008"," Fun Run With Fatboy
","Simon Pegg is back, this time as a fatboy, with a new gang, in David Schwimmer's 'Run Fatboy Run'. Schwimmer has already gained recognition as a very talented comedy actor in the famous (and one of my all time favorite) sitcom 'Friends'. He tried his hand in direction with a couple of episodes of 'Friends' and 'Joey' and a few films. With 'Run Fatboy Run' he proves that he's a very capable director and does a brilliant job here. Being an American, I wonder how he studied the Brit humour as he does a great job giving the film the right Brit charm (of course with good collaboration from the actors and screenplay).<br/><br/>'Run Fatboy Run' fits into a category which I have freely termed 'Little British Movies' (other movies fitting into this category include 'Kinky Boots', 'Calender Girls', 'Billy Elliot' etc). These movies are about people from an ordinary background facing ordinary problems and tackling them with extraordinary results. Unlike the other films, 'Run Fatboy Run' relies more on slapstick (just think of 'Shaun of the Dead') but the dialogues too have the sharp wit and smart humour that make this a charming film. The story pretty much follows a 'tested' formula where the goofy guy tries to win back his ex-fiancée (whom he dumped at the alter) after the entry of a rival and when means fail, he decides to take somewhat drastic measures like run a marathon. But, what makes turns this formula into something new is that it is cleverly parodied (again, think of 'Shaun of the Dead').<br/><br/>Pegg stands out doing what he does best. His comic timing is impeccable and his expressions will surely draw laughs. The actor prevents any of the comedy that might have fallen flat (had it been performed by a lesser actor) by making his scenes amusing and entertaining. It's great to see the sensational Thandie Newton play a Brit after a long time. Even though her character is pretty much the typical love interest, she does a good job nonetheless. Hank Azaria is fits the bill as the nice-guy-we-should-hate. He brilliantly spoofs up his part towards the end. Dylan Moran is spot on as the cynical goofy friend. Harish Patel is hilariously phenomenal as the landlord-mentor-friend. Watch out for the pleasantly surprising cameos.<br/><br/>The camera-work is very good and the makers make good use of the photogenic park locations in London by making them look colourful and beautiful. The whimsical soundtrack too adds to the light-heartedness.<br/><br/>Overall, 'Run Fatboy Run' is genuinely funny. It has all the ingredients finely put together to make it a successful comedy. It works as a great date movie, a fun family film and a cool comedy to watch with friends."
"intelearts","7","44","63","16 February 2008"," David Schwimmer directs Simon Pegg stars: and this has running power
","""Big Nothing"" was a decent collaboration, but lacked punch. RFBR is much closer the mark - classic British humour all dressed up as a good comedy sports romance movie.<br/><br/>It looks and feels like it got Ealing Comedy in its genes - or more recently The Tall Guy from the 80's, or Steve Coogan's The Parole Officer rather than class based comedies like Four Weddings - a good small low-key British comedy, with a nice parade of eccentrics - not high concept, not too low brow, rather good old fashioned heart which it absolutely wears its heart firmly on its sleeve.<br/><br/>David Schwimmer seems comfortable behind the camera - our favourite scene in terms of camera was the bin fight - but overall you know what genre you watching and it doesn't require too much effort to relax and enjoy.<br/><br/>The plot is a simple one - Dennis (Simon Pegg) gets cold feet and literally bolts on his wedding day from his pregnant fiancée, Libby (Thandie Newton). Five years on, and life has not been good to Dennis, he's suffering from middle-aged spread, working as a rent-a-cop for a lingerie store, and living below his Indian landlord (A wonderful Harish Patel, who deserves lots more work based on this).When his son starts bonding with Libby's new man Whit (Hank Azurius), whose everything Dennis is not, and American to boot, Dennis realizes the relationship with Libby is what he cares about and the only way to beat Whit is to run the same marathon as him. Needless to say Dennis is as fit as beached whale, but where the heart will, the body doth follow.<br/><br/>His best friend, and unrepentant gambler Gordon (A super cynical Dylan Moran at his absolute laid back best) urges him on, partly for financial gain, and partly, well, because he enjoys seeing Dennis flounder and succeed.<br/><br/>Like any competent sport movie we get the training etc; but here the emphasis is on the laughs.<br/><br/>Of course, like any romantic comedy the pay off is sweet, and uplifting.<br/><br/>It doesn't have enough bite to lift it up to the echelons of classic comedy - but it works well as a small comedy - there are lots of sweet touches that pay off - but not enough belly laughs to really satisfy.<br/><br/>We like it a lot - the camera tells the story really well - nothing too smart, just good narrative filming. David Schwimmer definitely knows his British films - this looks and fells straight out of the genre - and you'd never guess a Yank made it - all the nuances are there. Nice.<br/><br/>These guys obviously like each other and we look forward to seeing more from them in the future...<br/><br/>Recommended as a good small British comedy."
"CountZero313","8","32","46","17 February 2008"," strong debut from Schwimmer
","RFR hits all the right rom-com targets - I laughed, I teared up, I cheered for the little guy and boo-ed the buff villain. Pegg has some laugh-out-loud lines, especially in tandem with Moran as his Irish mate Gordon. Moran holds his own in the comedic moments - perhaps the funniest moment is when he appears in the dressing gown after some love drama, and asks, ""What did I miss?"". The fight between the two layabout friends is hilarious, the staging somehow reminiscent of a Friends episode (didn't Ross and Chandler once fight this way?). That's a compliment - Schwimmer has strong comedy pedigree and uses it to full effect. Also, good to see a US director move seamlessly through a UK film setting.<br/><br/>If you are in the mood for light, entertaining fare, Friday-night date stuff, then RFR won't disappoint."
"zebedee-6","10","61","94","11 September 2007"," Belly Laughing
","I saw this at the Toronto Film Festival (film not yet on General Release in Canada) and it was Funny with a capital F. The audience received it very well - it was both humorous and moving and Peggs everyday Joe with a big heart and very human foibles was believable while bumbling, entertaining and at times driven.<br/><br/>I don't know about most people but I go to the cinema to be entertained - I know there are problems in the world and I face them every day, and I like a bit of escapism - this is the best kind - humorous but dealing with real issues, things we don't like to admit we are afraid of - commitment, failure, our children's welfare. Well written, well directed, well acted, a really sharp film. Better than Sean, better than Fuzz :)<br/><br/>With a Q&A session straight after the film, David Schwimmer with Simon Pegg and Thandie Newton in tow entertained the audience with their little anecdotes, - I particularly liked Thandies improv!! Well done to all involved."
"warrenjr81","9","45","69","16 February 2008"," Perfect British rom com
","There have been many British rom coms in the past couple of decades, many of them including Hugh Grant and his slightly off putting foppish hair.<br/><br/>I have personally found that the Simon Pegg take on romance to be far more personable and less likely to make you throw up over other people in the audience.<br/><br/>Yes it was predictable, yes it wasn't original but the humour was spot on, the characters were believable and the directing was brilliant in my eyes as it captured the English town vibe without seeming like a low budget British soap.<br/><br/>Although it contained every cliché in the book from the genres of rom com and 'training to win something' movies it didn't seem forced to me and was light hearted and genuinely funny.<br/><br/>It also had some of my favourite actors from Bristish comedy in it.<br/><br/>Basically if you like spaced (one of the best series ever) and you don't mind the obvious plot and just sit back and enjoy the movie then you may find, like me, that this is just a purely brilliant movie."
"luke-346","3","15","24","21 April 2008"," Been here, seen it!
","Directed by David Schwimmer, Run Fatboy Run is a warm hearted comedy that does nothing new for the genre but merely follows in the footsteps of previous offerings. The film tells of how Dennis (Simon Pegg) runs away from his fiancé Libby (Thandie Newton) and his unborn child only to have a sense of resolve five years later (now that he's grown up). And, here's the twist, in order to prove that he is now worthy of ex-fiancés hand he embarks on an attempt at the London marathon.<br/><br/>Regrettably any negative preconceptions of this film are confirmed from the outset, for example, in sticking firmly to genre conventions and expectation the film quickly establishes David as an unfit wimp by him being outwitted by a shop-lifting transvestite (clearly only a transvestite to elicit a smile), it also stereotypes his Pakistani landlord to the point of it being cringe worthy and it reacquaints us with the clichéd ""smooth boyfriend"" character - brilliantly played by Hank Azaria.<br/><br/>The film concentrates on Dennis and the struggles and pitfalls he encounters on his quest to win back his ex-fiancé, but in doing so it tiresomely emulates the media's obsession with sporting underdogs and how they are always winners on some level. Its chosen plot is something that has been played out, many, many times in cinema and it is disconcerting to see a contemporary comedy with bright actors and a fresh director regress to such tedious story-telling.<br/><br/>In a nutshell the film parodies modern masculine anxieties, from the worry of marriage, commitment and fatherhood to the ever more popular and relevant... ""am I getting a belly"". In satirising these notions the film epitomizes the generic conventions of all those films that have preceded it, from Big Daddy to the more recent Knocked Up. Run Fatboy Run is a film that could have quite easily starred Adam Sandler and have been based around the New York marathon; it tells a story that has no real relevance to its cast or locations. In addition I could imagine Hugh Grant playing the ""smooth talking boyfriend"".<br/><br/>Fans of Simons Pegg's previous offerings will not enjoy this as much as Hot Fuzz or Shaun of the Dead, but will nevertheless gain some delight from the brief cameos of Stephen Merchant and David Walliams. Given that it centres around a marathon it is ironic that the film plods along at such a predictable pace, with the only sense of urgency evolving from the certainty that it has an end. There is no attempt at characterisation and the audience will not care what happens to the people on screen as no real empathy or identification with them is likely to occur.<br/><br/>Some scenes are funny, most notably his attempt to relieve himself of his groin rash, the moment he hits the wall and a blister popping in his friends face. The laughs are there (be them sparse), but given how they're executed and placed, it is clear they are gags that have been worked into the film to help make it funnier. Unfortunately the over worked idea and the clichéd plot devices take its toll on a film that would have been better if it the characters had been more distinctive, which is a shame because given the films short comings Schwimmer does manage to evoke heartfelt performances from his leads. Finally, the trait of predictability in a film will always pull an audience, as some viewers like well-worn ideas - the very notion proves they are a success. But if you're after something similar to Peggs previous work, that's inventive or off the wall, then this film isn't it."
"RogerBorg","3","14","23","16 April 2008"," Haven't we seen this film before?
","Not in sum, but every part seems familiar. It plays like a montage of previous rom coms.<br/><br/>There's nothing objectionable about it, but then again there's nothing memorable either. It's blurb, a schedule filler, one in the bank.<br/><br/>Pegg and Moran just sleepwalk through the same parts that they always play, not expanding their range on iota. Pegg's cringing everyman is getting quite tired now. Thandie Newton just has to stand in doorways and look pretty. Her character is a prize, not a person. The bit parts are played by the usual assortment of jobbing British actors, also on autopilot. Azaria is the strongest actor, but isn't given much of a part. His character development goes: good, good, good... evil, with no reason given for the sudden transition.<br/><br/>Everything about it, Schwimmer's direction included, is just... adequate. There's no snap, no pizazz, and no chemistry between any of the actors, something that becomes painfully obvious when listening to the awkward stilted commentary track. Film making by box ticking. <br/><br/>The whole is instantly forgettable, and dreadfully disappointing given the collection of talent working on it."
"missrljane","2","15","25","16 May 2008"," Take Everything Needed For A Funny And Heart-Warming Film, And Throw Them Away. The Nothing That Is Left Is THIS.
","The problem with Dennis, the 'fat boy' of the title, is exactly that. What is his problem? He's a loser, a scumbag and utterly unlikeable, and at no point in the film does he become a nice, likable, or sympathetic character. So it is very hard to root for someone this self-involved. At no point is he ever nasty or pathetic in a funny way, he's just a jerk. And no matter how many 'emotional' scenes are rammed in, it has been five years since he left his pregnant fiancée at the alter. FIVE YEARS of seeing her every day. How is it only NOW that he wants to do anything about it? And it doesn't matter if he does. It's been FIVE YEARS. It's too late. Luckily for him, the people he wants to win back, the dull Libby and their duller son Jake, are so flat, the audience can't care about them either. Especially Jake. And the lazy demonising of Libby's new love Whit is obvious and convenient so Dennis can worm his way back in to Libby's affections after five years of being the most detestable and unreliable jerk she could hope to meet.<br/><br/>So, Run Fat Boy Run isn't funny. There are a couple of jokes that possibly could have worked as part of a sitcom, but never in a one-off film, but just to make it clear, this isn't funny. The serious scenes are even worse, falling horribly, uncomfortably flat, and the painful dragging out of a heart-warming ending is not heart-warming. There is no character development or motivation, so basically there is nothing here that is needed to make a film. Dire."
"Lejink","5","7","10","21 December 2007"," Not so fast
","Fair to middling Brit-com, centring on amusing ordinary, average guy Simon Pegg's attempts to win back his improbably beautiful girlfriend, Thandie Newton, from a slick yuppie American. Of course it's ""The Full Monty"" (maybe this subliminally excuses two shots of Dylan Moran's bare behind!) in running gear but the movie never quite gets out of the starting blocks. As indicated earlier, it's hard to accept Pegg & Newton as a natural couple and the rest of the cast are a bit too eccentric and haphazard too, taking in prominently the afore-mentioned Moran as Pegg's best pal who in between dropping his trousers, flits in and out of a minor league gambling den and also Pegg's long-suffering Asian landlord who again somewhat improbably becomes his assistant coach. My problem is that the characters don't mesh together and the narrative is painted in too-broad strokes. ""The Full Monty"" worked because the characters were believable and the ensemble acting so good, even if the basic premise, like here, seems unlikely. Pegg does garner some sympathy and amusement by turns as he takes to the streets (he is a sight in his tight running shorts!) but by the time his ""Tough of the Track"" performance has won the hearts of the nation as well, of course as Newton's, you're left not quite caring enough nor do you feel you've laughed enough on the journey. But a fairly pleasant undemanding watch all the same."
"simon-1736","1","17","30","29 April 2008"," Rotten
","I have followed the career of Simon Pegg for a number of years from his stand skits on the Steve Coogan tour, to Spaced to Hot Fuzz and yes, he is a fine talent. But I will never forgive him for putting me through an hour and a half of unadulterated, mediocre dross that was Run Fat Boy Run.<br/><br/>Run Fat Boy is a poorly acted and directed Brit Com that only serves to perpetuate racial stereotypes and an abundance of clichés. The jokes are appalling and regardless of the fact that this is clearly 'a bit of fun' the standard of the writing was insultingly bad.<br/><br/>David Schwimmer should Schwimm all the way back to New York because if this blight on our culture is anything to go by his ambition to be a Director are completely misguided.<br/><br/>No surprises that this waste of time did not Run and Run."
"houndtang75","8","9","15","15 September 2007"," Predictable, but likable
","Yes, it is predictable as anything but 'Run Fat Boy Run' is an enjoyable comedy, with Simon Pegg basically playing Shaun again as the amiable loser who comes good and wins the girl. Pegg's range is not wide but he is a very likable performer, and I personally found this film preferable to the somewhat disappointing 'Hot Fuzz'. There's also a decent supporting cast, with Dylan Moran (also from 'Shaun of the Dead') amusing as Pegg's friend and trainer, although Hank Azaria's nasty Yank love-rival character is a bit stereotypical. Director David Schwimmer, who must have become buddies with Pegg on the fairly obscure 'Big Nothing', has a blink and you'll miss him cameo towards the end."
