"username","rating","helpful","total","date","title","review"
"nph19","9","127","133","12 October 2018"," Strangely satisfying
","One of the weirdest movies I've seen. Saw on video tape when it came out then recently watched it again 18 years later. Forgot how fun it is to watch. The absurdity of Bale's character Patrick Bateman's shallowness and preoccupation with superficial things like how upset he gets over a colleague having a better business card than him makes this movie comedic while he's slicing up victims. Still not sure about whether or not all of the things happening were all in his head. I guess that's up for anyone's interpretation of the story. Very well done and one of Bale's best performances as if he's ever performed badly."
"MovieAddict2016","9","679","815","1 July 2005"," Very good
","In 1991, Bret Easton Ellis' controversial novel ""American Psycho"" took the world by storm - women accused it of being misogynist, sexist filth and others were understandably shaken by its brutal and graphic depictions of unprovoked violence and torture.<br/><br/>Set in the 1980s, the book follows the story of a 27-year-old Harvard graduate named Patrick Bateman, who goes on a killing spree and murders ""twenty, maybe forty people."" It was originally slated for circulation in 1990, but Random House pulled out of distribution, fearing backlash. It was later released as part of a Vintage Series, and quickly sold over 250,000 copies, becoming one of the most popular (and, to some, important) literary works of our time.<br/><br/>In the movie, Welsh actor Christian Bale portrays Bateman gleefully tongue-in-cheek, whether it's confessing to manslaughter over the phone (""I just had to kill a lot of people!"") or dancing to Huey Lewis and the News' ""Fore"" album before hitting an associate over the head with an axe.<br/><br/>Patrick is a troubled guy. On the surface, he appears to be normal - he's a Wall Street broker with a secretary, an expensive apartment suite, his own limo and a fancy business card. But on the inside, he's a monster - complete with an insatiable blood lust and lack of empathy for fellow human beings. (If he can indeed be classified as one.) As a film and a novel, ""American Psycho"" is an attack on the absurdities of the '80s yuppie era - sometimes the satire isn't very subtle, in fact it's often made very clear, but I liked it. Because the movie is so eccentric and over-the-top, and Bale is so loony and maniacal, the satire needs to be equally strong - and it is. Whether it's business men drooling over each other's fetishistic business cards or Patrick discussing the nuances of modern pop music before killing more victims, ""American Psycho"" hits strong and hard - this is a great, overwhelming cinematic and visual experience. It cannot be condemned for being unsubtle - it never was.<br/><br/>The performances are wonderful. Bale is superb as Bateman, totally embodying the character. As a man bewildered by his environment, and wanting only desperately to fit in, Bateman listens to Genesis and ""Hip to Be Square""; finally we have proof that too much Phil Collins and Huey Lewis will turn you into the next Ed Gein.<br/><br/>Perhaps some fans of the novel will dislike Bale's performance (at times, it almost seems comical, such as when he murders his coworker Paul Allen, played by Jared Leto). But I thought it was the perfect mix of introspection, self-hatred, outer-loathing, lust, conformity and schizophrenia. Bale manages to capture all of this perfectly, and by the end of the film, I could not imagine anyone else in the role.<br/><br/>Willem Dafoe, Chloe Sevigny and Reese Witherspoon all have co-starring roles, but at the end of the day it is Bale who really drives this film home - he's the reason it's worth seeing, and in part the reason it exceeds beyond the typical restraints of its genre.<br/><br/>Since its release, many critics have accused ""American Psycho"" of being a watered-down version of the book, being both ""politically correct"" and ""lacking satire."" However, I don't recall the last time I saw a man beat a dog to death with the heel of his shoe in a mainstream motion picture. Or chase after a prostitute completely naked, wielding a bloodied chainsaw. Or hold a gun to a cat's head and threaten to feed it to an ATM machine.<br/><br/>In fact, when ""American Psycho"" was previewed before the Motion Picture Association of America, they gave it an NC-17 rating - not for its violence, as one might expect, but rather for its threesome scene between Patrick and two prostitutes.<br/><br/>Director Mary Harron cut footage from the film and finally managed to achieve an R-rating, but on a new ""Uncut Killer Collector's Edition"" DVD, you can see the film as it was intended to be seen - and it's a real fine treat. Now excuse me, I have to go return some videotapes."
"DanielStephens1988","9","29","31","15 July 2019"," American Psycho is not a story about murder
","The film looks to examine our own distorted points of view or detachments from reality. Like Patrick Bateman, we may be trapped craving the approval of others and denying ourselves the ability to distinguish fantasies from our reality.
People are obsessed with how the others perceive them likewise in American Psycho Bateman achieves no catharsis, he's trapped in his own personal hell because he requires the recognition of the other yuppies to confirm his identity as a murderer. The irony is that Feynman's real crimes may as well be fantasy. The lack of acknowledging his reality drives Bateman further into madness and existential despair<br/><br/>It's about yuppie culture, the melding of identity, and the craving to stand out from a superficial homogenized society. Bateman's interpretation of the world is skewed by his inflated ego and his evident psychosis as well as presumably multiple mental illnesses. Bateman is a killer, but still, he's not the killer he thinks he is, as he goes insane he can't distinguish reality from fantasy. His over the top chainsaw massacre style killings may be an aestheticized elaboration on partial truths, ultimately the film doesn't care. The more significant point of the movies absurdity is that within his society Batemans not the psycho at all he's just one more normal guy amidst a horde of uncaring detached from reality, secretly discontented American psychos. Bateman is surrounded by like-minded superficial people obsessed with all the wrong things like making impossible reservations at Dorsia and the tasteful thickness of their business cards. Within the homogenized upper-class elite identities blur as everyone strives after a generic yet highly specific image of success.<br/><br/>Everyone we see in Bateman's company appears to be the same person. It's no wonder that identity is mistaken continuously and swapped throughout the film. The lawyer has mistaken Paul Allen or perhaps Batman has killed the wrong person becomes not only plausible but also an expression of the general confusion resulting from the loss of individual identity.<br/><br/>Meanwhile, although Batman tries like the rest to fit in, the emptiness of his lifestyle also fuels a craving to stand out. To escape the conformity that he on some level despises Batman leads a second life as a killer, where he's unfettered from the bounds of society. Although he actually wants to be seen as a murderer as someone different from the rest of society Bateman is denied even the satisfaction by every self-absorbed yuppie he meets. When he's seen stuffing a body into the trunk of a car, the witness is only interested in the bag.<br/><br/>This is a great movie. Look for the subtext under the dialogue."
"grendel-37","9","783","983","13 October 2001"," A film that teeters between Miracles and Mania
","Having just finished American Psycho, I came to IMDB to get some clarification on the ending. And it seems I'm not the only one left vaguely adrift by the ambiguous ending.<br/><br/>I've browsed some of your comments, not all 400+ to be sure. But some of them. A good sampling I think, and this movie has three distinct cheering sections.<br/><br/>Those who consider it a masterpiece, those who consider it unredeemable, boring trash, and by far the largest segment, those who see it as a flawed masterpiece.<br/><br/>I fall into the latter category. And no, I did not read the book. But as others have stated any movie that requires you to read the book, to ""get"" the movie, is ultimately a failure as a movie.<br/><br/>So my review is based solely on the merits of the film. And contrary to what some have said, the film does have many merits. I found it brilliantly directed, and a superbly acted examination of excess, and boredom, and evil. An examination, satire, critique of a time, and type of thinking.<br/><br/>
Even before seeing the ending, I thought how much bateman lives in people. Found myself thinking, an examination of bateman is an examination of men by the name of Reagan and Bush. How American Psycho is an examination of our times, and our modern theologies.<br/><br/>I found the movie as a whole riveting, loved the restraint shown (and disagree with those calling for more gore, I think Mary should be applauded for her deft hand, the scenes have more power for what is not shown), and was captivated by nearly every scene, by scenes others have called boring, but I found profound.<br/><br/>Bateman putting on his makeup, or simply trying to get a restaurant, and the near apocalyptic importance, such minutiae makes in the lives of empty men. The right card, or the right cloth, or the right table, or the right watch, how these are the signposts of an empty age and an empty soul, and how these things have more value than your fellow man... or woman.<br/><br/>Bateman attains everything the materialistic times tells him he should want, but once he gets it he feels nothing. Emptier than before, less than before. It's only in the extremes of his addictions he begins to feel something, anything. He feeds to fill the emptiness, but the more he feeds the emptier he gets. He eats at his fellowman (woman) but in his bloodlust he eats at himself.<br/><br/>He is the American dream, taken to its cannibalistic extremes.<br/><br/><br/><br/>And never before has makeup, played such a mesmerizing part in a movie. Bateman's(Chris Bale's) face at times when he is under stress, takes on a plastic look, a glossy, sweaty sheen, and for all the world it looks like he's wearing a mask... and the mask, his mask of sanity, is beginning to run.<br/><br/>Simply amazing use of makeup. And incredible performance by the lead actor. I wasn't familiar with him before this, but everyone will be after this.<br/><br/>Upon first hearing about this movie, I had no desire to see it. I've grown up since the age of Hills Have Eyes and trash like The Beyond, watching people suffer no longer seems significant. I guess as we get older we ask more of our art than springer, or the WWF, or slasher flicks. We ask of our art to tell us something true. Something of ourselves, and our world.<br/><br/>I think American Psycho under the deft hand of Mary Harron becomes more than my prejudices, and exceeds my expectations. Rises at times to dizzying heights not unlike art.<br/><br/>Mary's restraint makes this movie. But I fear her restraint nearly sinks it as well. The ending is too ambiguous. Who is Bateman in the end. Is there a Bateman? And what did he do or did not do?<br/><br/>In the end,the movie will nag at you. Did he or didn't he? And in the end, now that I write this I'm thinking maybe the answer doesn't really matter, maybe in the end the answer is the same. In the end a sin of thought, or a sin of action, is still a sin. In the end we are left with a man, and a nation... whose mask is slipping.<br/><br/>
I think like the first Psycho, time will prove this one.... worthy. I now add Mary Harron to the small selection of modern directors I will tiptoe through broken glass to see. Directors like Dave Fincher(Seven, Fight Club), Carl Franklin(Devil in a Blue Dress), Johnny To(Expect the Unexpected), Ringo Lam(Full Alert, Victim), M. Night Shyamalan(Sixth Sense, Unbreakable), and Peter Weir(Fearless).<br/><br/>Recommended."
"atzimo","10","504","636","30 September 2002"," You can always look thinner
","'American Psycho' is NOT a slasher movie. It is a depiction, a fantasy if you will, of the life of modern man and his place in society.<br/><br/>Nothing is enough. Money, sex, social stature, there is always someone else who has more and everyone else expect from you to try harder for even more.<br/><br/>This movie is about eliminating competition the easy way. By killing your opponents. By eating your sexual partners. By destroying everyone around you.<br/><br/>'American Psycho' retains the balance between this psychotic state, a chilling thriller and a very funny movie.<br/><br/>The scenes that show Patrick playing music for his guests are absolutely hilarious, as he comments very seriously on records by artists such as Whitney Houston, Phil Collins and Huey Lewis & the News. The funny thing is that he chooses the most commercial or sold out records of these artists, to explain how much better they are compared to their previous, more artistic work. Another message of the state of the receivers of commercial art.<br/><br/>You can analyze 'American Psycho' for hours. It can be perceived both as a deep and a fun movie. Even if you don't like the story, you will love Christian Bale's excellent performance.<br/><br/>Enjoy.<br/><br/>10/10"
"albertodr07","9","184","227","6 October 2008"," Christian Bale the new Peter Cushing
","Now it all makes sense. Christian Bale was born to play horror characters. I couldn't understand why I was so , so, afraid of him even in films like ""Velvet Goldmine"" He is a poster boy for putrid souls in elegant wrapping. In ""American Psycho"" - a film that deserves much more attention than it's got - he is absolutely terrific. Totally believable. I could sense his delight in playing a monster of this kind. Interestingly enough this manicured monster seems to be asking for sympathy, imagine the nerve! But Christian Bale succeeds in showing us a face we (I) hadn't quite seen before and yet we (I) accept without question. He should have gotten an Oscar nomination but, fortunately, he didn't."
"movie-monster","10","46","56","5 December 2008"," 'I simply am not there...'
","Its interesting that Christian Bale's most critically acclaimed role, in this very movie, is as a cold, psychotic and shallow yuppie. He excels by playing a character who openly admits that his only identifiable emotions are 'greed' and 'disgust'.<br/><br/>Firstly, this film should not be misinterpreted as a horror movie. Those who have read the Brett Easton Ellis novel will already be aware of this. It is more a satire, or a harsh and uncompromising commentary on the material excess of Wall Street, or indeed America as a whole (hence the title), during the mid-to-late 80's. It works on both these levels and many more.<br/><br/>The film starts as it means to continue. Bale's character, Patrick Bateman, introduces himself, and, as in the novel, goes into absurd detail regarding his washing habits and exercise regimes. For the next hour and a half, the audience is invited into his world. A world in which vanity itself, it seems, is everything. His life is composed almost entirely of expensive meals out with his high-flying friends & disillusioned girlfriend(played adequately by Reese Witherspoon), and various random, sadistic acts of violence and mutilation.<br/><br/>Despite all Batemans' wealth, he is emotionally bankrupt. Love and relationships are as disposable as the world he lives in. For the entire film, Bale relishes the role and never lets it slip, talking as if he's in some warped commercial for a shallow and completely hedonistic eighties lifestyle. A lifestyle which leads nowhere. Bateman's character is also loaded with contradictions and hypocrisy. In one of the opening scenes, he wastes no time describing how he believes 'in taking care of himself', but days later will be snorting cocaine in a public toilet. Later, he describes how 'we need to provide food and shelter for the homeless', which is delivered as a speech to seemingly promote Bateman's morality in front of his peers. Shortly afterwards, he stabs a tramp to death in an alleyway. This speech acts as an omen or as a warning to crimes he will commit, or will imagine committing later in the film. His references to women in particular, soon become disturbingly ironic.<br/><br/>Authenticity is added to the movie in the form of music and reference to the AIDS epidemic, which was just starting to take hold of the American consciousness. Bateman's highly unstable and vacuous state of mind is relayed through several brilliant quotes and scenes in the movie.<br/><br/>One example is the scene in which he examines his colleagues business cards in depth, and becomes so obsessed and frustrated by the minor differences in colour and font that his hand visibly shakes. Upon seeing Paul Allen's card he whispers to himself in genuine horror; 'oh my god...it even has a watermark.' In Bateman's world, this could well be interpreted as the reasoning behind him murdering Allen later in the film.<br/><br/>Much of the movie is left open to interpretation by the viewer, and it should definitely be watched several times. Its often hard to draw the line between reality and Bateman's own fantasies. Indeed many, if not all, of his murderous acts, could be simply figments of his own twisted imagination. The character Donald Kimble could indeed be an illusion. He interviews Bateman several times in the movie, at times appearing oblivious to the possibility of Bateman murdering Allen, and then later effectively accusing him of it.<br/><br/>What the film really illustrates, much like the book, is a culture and an entire way-of-life, taken too a brutal, disturbed, and even demented extreme. It is a fusion of America's most beautiful dream, and its most hideous, blood-soaked nightmare. Money is no longer a barrier for Bateman. He can have all the women, sex, narcotics, technology and expensive meals he will ever desire. There is nothing left for him or his friends to aspire too. When every line has been crossed on a daily basis, he can only find satisfaction in the most depraved and barbaric of acts, and in the end, even this isn't enough.<br/><br/>While the book is considerably more graphic and detailed, I would have to say I prefer the film. All the important and relevant aspects of Bateman's life and psyche are featured and Bale's performance elevates it to true 'cult classic' status. His portrayal of Bateman creates, in my opinion, one of the most vivid, cruel, iconic and unforgettable characters in the history of film."
"perica-43151","10","37","45","27 June 2018"," Classic masterpiece
","This movie is a masterpiece, and it is so underrated. So many quotable moments, true perfect cult piece. Violence is measured, much milder than in the book, which is improved on. It shows the true side of Wall Street morality, of all the little Eichmanns that lived and still live in Manhattan. Dark comedy genius, with classic shiny ax scene perfectly in tune with ""Hip to be Square"" music, that Weird Al and Huey Lewis parodied in perfect meta homage. This movie works on so many levels, and although it was hated by the corporate elite and their paid hypocrite critics, time has shown that this movie is going to last. This is Wolf of Wall Street on steroids, wrapped in metaphysical, if murderous, clothing."
"ctcrmcou","8","36","44","28 March 2008"," It's all fantasy
","Finally saw the movie - it was one of five free blu-rays in a rebate with Sony Playstation.<br/><br/>Many comments wondered if it was real or not.<br/><br/>There are several giveaways that the murders were fantasies. Many times Bateman says things that are evil and violent to someone, but are heard by the recipient of the comments as something else.<br/><br/>The outright murders with no witnesses, blowing up the cops vehicles for an easy escape, dragging bodies and blood through lobbies, the cleaned up apartment with no dead bodies in sight, no investigators or police crime scene tape where there should have been, .... it goes on and on. Don't forget the final scene with his lawyer. The fantasies were manifested only in the notebook found in his desk by his secretary. I'm happy she was ""spared"".<br/><br/>I found the lack of pursuit by Willem Dafoe (the detective) to be a letdown. The initial questioning of Bateman was definitely right out of the original Psycho, and I found this confrontation as the start of a great ""gonna getcha"" in the end. But it never happened.<br/><br/>The only question is, why was a detective asking Bateman questions in the first place, or, was the idea of a missing colleague the spark for a fantasy, just shown after the fact.<br/><br/>I loved the business card one-upsmanship. It shows how shallow rich vice presidents (about a dozen were there?) are, and what losers they really are in life as people. Misery loves company, I guess. Reminded me a lot of the yuppies in Trading Places. Bored and prissy. Although they think they are living the ""good life"", but contribute nothing in the end.<br/><br/>It was a fun movie, probably sparks our fantasies about what we'd like to do with the scum of this earth - but that's why it's only a movie."
"Howlin Wolf","8","332","466","12 April 2002"," The majority of those who complain probably haven't read the book...
","... because with ""American Psycho"", Mary Harron and her screen writing partner have delivered the most faithful adaptation it would be possible to release without getting the film banned or revolting audiences so much that no one comes to see it. It would be IMPOSSIBLE to take some of the most extreme sequences from the book and commit them to film. What the movie instead does is to give us an insight into the stunningly fragile and insecure mind of Patrick Bateman, and to speculate whether his unstable nature would REALLY lead him to perpetrate vile acts, or whether he just fantasises about doing so.<br/><br/>I think it matters little in the context of this film whether Bateman's exploits are actually based in reality, because whether they are or they aren't, Bateman is still left in the grip of paranoia, brought on by the shallowness of the society that is around him. Bateman is less of a 'psycho' than a vessel for all the selfish evils of society to corrupt, and a sensible audience is more likely to be left reeling at how he has been turned into a 'robot', than by the discreet amounts of gore that do feature in the movie.<br/><br/>""American Psycho"" is fascinating to watch because Bateman is such a complex character. We feel revulsion at his violent tendencies, amused by his complete superficiality, and pity at his crumbling sanity. In order to evoke such diverse feelings from one performance, we need a superb actor. Bale's performance is right on the money. Never does HIS mask slip as does that of Patrick Bateman. He is completely believable in all his emotions.<br/><br/>There is NOTHING in the film that is not true to the book (although there are bits in the book that are not true to the film) Both the reading and watching experiences are valuable and rewarding ones, but what they share with each other is that while they're exploring somebody else's mental state, they are also probing that of their audience. Can we see the funny side in the fact that these murders were committed for very trivial reasons?<br/><br/>Can we ridicule someone with the knowledge that he is also a fantastically dangerous person? The film and book are constantly pushing boundaries, and if you don't fight that, but instead surrender to it, they will take you to many interesting places. Don't be afraid to give in to your emotions and laugh when you see something funny, because the movie shows us what emotional repression has done to someone like Patrick.<br/><br/>Kudos to Mary Harron for tackling a seriously difficult project and turning it into one of the cleverest movies of recent years. ""American Psycho"" is anything you want it to be; glossy and superficial, or deep and meaningful. The question is: Do you look at things from the same narrow angle as Patrick Bateman does? If so, then the movie is not for you..."
