"username","rating","helpful","total","date","title","review"
"EUyeshima","10","70","80","1 June 2006"," Still Stirring Wartime Adventure and Compelling Psychological Drama Exhibit David Lean at His Peak
","After years of more intimate British films and just discovering the joys of location shooting with 1955's ""Summertime"", master director David Lean made his first actual widescreen epic with 1957's ""The Bridge on the River Kwai"", an acknowledged classic that deserves attention from a new generation of viewers and another visit from the rest of us who love perfectly executed films by an unparalleled craftsman. Recently, this movie has been overshadowed by his 1962 follow-up epic, the comparatively more elaborate ""Lawrence of Arabia"", but this richly textured WWII-set adventure is special enough on its own terms. While it has its share of action and suspense presented in exacting detail, the film is even more resonant as a psychological drama about the test of wills between mission-driven officers amid the perils of wartime survival.<br/><br/>The plot takes place in 1943 when after surrendering in Singapore, Col. Nicholson marches his ragged British company into a Japanese prisoner work camp in the Burmese jungle (this is where the famous whistling of ""Colonel Bogey March"" is first heard). The erudite Col. Saito runs the camp and demands that the new prisoners build a massive railway bridge, a critical juncture between Rangoon and Malaysia. In a classic stand-off, Nicholson finally forces Saito to respect Geneva Convention and not allow his officers to do manual labor on the construction. Upon his ironic Pyrrhic victory, Nicholson slowly descends into the madness of seeing the completed bridge as a potential morale booster for his battle-weary men. Meanwhile, shortly after Nicholson's arrival, U.S. Navy Cmdr. Shears escapes from the camp only to be later blackmailed into joining a British commando mission led by do-or-die Maj. Warden and hesitant Lt. Joyce with the sole goal of blowing up the bridge. Through Peter Taylor's thoughtful film editing, the movie breathlessly alternates between the parallel story lines of the bridge construction and the jungle commando mission until the exciting climax.<br/><br/>Lean's accomplishments are many with this memorable film - the authenticity of the Burmese jungle locations (filmed in Sri Lanka), the seamless integration of the two story lines, the masterful handing of the final scenes, and in particular, the gradual metamorphosis of Nicholson from a by-the-book British officer to Saito's willing collaborator. A frequent participant in Lean's films, Alec Guinness gives his career-best performance as Nicholson providing all sorts of unexpected shades to his complex characterization. As Shears, William Holden does what he did best in the 1950's, concurrently exude natural bravado and a conflicted soul and then added a layer of cynicism that dares to challenge the viewer to support him. The 68-year old Sessue Hayakawa came out of retirement to play Saito and delivers a subtle performance of unbending discipline and pained humiliation. Jack Hawkins and Geoffrey Horne lend sturdy support as Warden and Joyce respectively. With the same expert eye he lent to ""Summertime"", Jack Hildyard provides the superbly expressive and composed cinematography. Michael Wilson and Carl Foreman, both blacklisted at the time, wrote the brilliantly developed screenplay. This is essential viewing.<br/><br/>The two-disc 2000 Limited Edition DVD set has a pristine print transfer with great sound making the entire experience feel surprisingly fresh upon viewing. There is a nearly hour-long documentary on Disc Two, ""The Making of The Bridge on the River Kwai"", produced for the DVD and full of intriguing insight into the production logistics. There are a couple of shorter featurettes produced around the time of the film's original release, the first is a black-and-white teaser for the film itself and the second a rather pedestrian lesson in Film 101 produced by USC grad students and introduced by Holden. Director John Milius provides a respectful tribute to the film in another short."
"Haplo-4","8","71","86","22 February 1999"," A movie about madness
","I have watched this movie several times and it is just getting better and better all the time. Why? Because this movie actually has a message built-in, this isn't a violent story, like ""Saving Private Ryan"" - also a good movie with a message - but it is still not a slow story.<br/><br/>When I last saw it, I realised that there was something in the movie that I had never understood, this isn't a movie about war, torture or how it was to be a prisoner of war; this is a movie about madness and pride. The pride shows both in Saiko and Colonel Nicholson, they are so full of it that it is almost impossible for them to come to a civil-conclusion with the problems they have with each other. The madness is shown in Colonel Nicholson and Holden's character - here they are, two prisoners of war and they don't want to help each other out, instead they try to reach separate goals, and they are both willing to die for it.<br/><br/>After you have watched this movie one is amazed by the performances made by Alec Guinness and William Holden and I must say that this is therefore one of the best War/Drama movies ever made My vote? 9 out of 10 naturally."
"bat-5","10","55","67","19 February 1999"," They don't make movies like this anymore.
","I recently saw The Bridge on the River Kwai at the Cinerama Dome, and it was quite spectacular.  Unlike some of today's grand adventure films, you get to know the characters along with seeing great scenes of acting and cinematography.  Alec Guinness is at the top of his form as the single minded Colonel Nicholson.  The scene between Nicholson and Saito in Saito's hut is remarkable.  Nicholson still will not concede defeat, he even takes offense that other officers of different armies gave in and worked alongside the enlisted men.  Saito can't understand Nicholson's acceptance of his punishment, and it drives him crazy.  The film's plot has two stories that are beautifully intertwined.  Shears' return to the bridge is his only way to escape the bridge.  In the film's final act, the tension is turned up as the British commandos try to blow up the bridge, and a train, and only then does Nicholson realise what the bridge really is.  The Bridge on the River Kwai is one film that is hard to top, the only film able to do that is Lawrence of Arabia, both directed by the meticulous eye of David Lean.  One director who could put intimacy in epic circumstances."
"jhclues","10","130","167","9 June 2001"," The Definitive Guinness Performance
","Within the Conflict that was World War II, there were many more smaller, more personal conflicts which, when added up, made a significant impact on the outcome of the War; though trying to explain them, or war in general, is like attempting to decipher the indecipherable.  In `The Bridge On the River Kwai,' director David Lean takes you deep into the Burmese jungle to examine some of these deeper conflicts, and the effects of extraordinary circumstances on some ordinary men:  British Colonel Nicholson (Alec Guinness) is a man of rigid principles and ideals, to whom acquiescence in any quarter is not an option; Japanese Colonel Saito (Sessue Hayakawa) lives by an inflexible code of conduct and is adamant in his adherence to it, through which he maintains his dignity and honor; American Navy Commander Shears (William Holden) just wants to make it through the war alive and get back home.  <br/><br/>	As an integral part of their war effort, the Japanese have ordered a strategic bridge to be built across the Kwai River to facilitate the transport of troops and equipment.  This monumental task has been given to Saito, the commandant of an allied prisoners-of-war camp; and not only must he build it, it must be completed by a specific date.  And time is short. Toward that end, Saito has pressed into service every prisoner, including officers, whom according to the Geneva Convention of 1864 (which established rules for the humane treatment of prisoners of war), are to be excluded from any manual labor.  When a fresh contingent of British prisoners arrives to bolster his complement of workers, Saito finds himself up against a formidable opponent, Nicholson, who immediately informs Saito that his officers will not work, in accordance with the rules of the Geneva Convention.  And it's the beginning of another war-- a war of wills-- between two men determined to win at any cost.  To Saito, this is more than just another assignment, it's an obligation, and failure is not an option. If he does not succeed in having the bridge built-- and on time-- he will be forced to take his own life, in accordance with his own moral code. Nicholson, on the other hand, is unyielding to the point of madness, and will die before he accedes to Saito's demands.<br/><br/>	Meanwhile Shears has managed by some miracle to escape and has made his way back to Ceylon.  And he's home free-- after some recuperation time at Mount Lavinia Hospital, he'll be on his way back to the states.  Or so he thinks. But unbeknownst to him, the British are aware of the bridge being built on the Kwai, and are planning a commando raid to destroy it.  And Shears has something they need:  First hand knowledge of the precise location, and of the jungle through which he made his miraculous escape.  Subsequently, the Navy agrees to `loan' Shears to the British, to aid them with their mission. So instead of a ticket home, Shears is faced with another arduous trek through an uncompromising jungle, all for a mission of which the odds against success are nearly incalculable.  <br/><br/>	From the beginning of the film to it's spectacular climax, Lean builds and maintains a subtle tension that underscores the drama, which makes this a compelling, unforgettable motion picture.  Lean is the Master of epic films such as this, filling them with sweeping visuals while integrating them with the emotional involvement of his characters perfectly.  Lean knows what he wants and how to get it, and he takes a terrific story (and this definitely is one) and tells it by using every bit of space--visually and audibly-- at this disposal.  And most importantly, he knows how to get the kind of performances from his actors to put it all across so convincingly and believably.<br/><br/>	Alec Guinness deservedly received the Oscar for Best Actor for his role of Nicholson, whom he embodies from the inside out, disappearing so utterly into the character that the actor is forgotten, leaving nothing but the real man in his stead.  It's a superlative piece of acting from one of the truly great actors of all times.  Holden, as well, delivers an outstanding performance as Shears, capturing that somewhat embittered, off-handed sarcasm and resignation of a man trapped by circumstances beyond his control, who nevertheless does what he can to make the most of it, while awaiting the first opportunity for escape that affords itself.  Holden's work here is Award-worthy, as well, but was destined to forever remain in the shadows of what is probably the definitive Guinness performance.  And what a rare treat, having two performances of this caliber in a single film.<br/><br/>	Other notable performances include Hayakawa, entirely convincing as the tormented Saito, and Jack Hawkins, as demolition expert Major Warden, the absolute personification of the undaunted British stiff-upper-lip.<br/><br/>	The supporting cast includes James Donald (Clipton), Geoffrey Horne (Joyce), Percy Herbert (Grogan), Ann Sears (Nurse) and Andre Morell (Green). Beautifully filmed and expertly crafted and delivered, `The Bridge On the River Kwai' is one of David Lean's masterpieces.  It's an emotionally involving, dramatic action/adventure that offers some real insight into the determination and tenacity of the human spirit.  This film (especially the ending) is one you will never forget; a classic in every sense of the word, it exemplifies the magic of the movies.  I rate this one 10/10."
"Wormtongue1","10","118","156","10 December 1999"," A powerful film experience
","I heard a film critic once say that there really aren't ""war movies""; there are only ""anti-war"" movies.  I'm still not sure what I think of that claim, but having seen - The Bridge on the River Kwai- enough times in the past several years, I think I'm persuaded that it's at least half right.  -Kwai-, I believe, is both a ""war"" and ""anti-war"" movie, and, in my view, it succeeds admirably at both.<br/><br/>There is almost no element of -Kwai- that is not praise-worthy.  David Lean's direction is tight and evocative.  The cinematography is great (even though the color seems increasingly drained in film versions that I have seen).  The acting is top-notch.  I honestly believe that this is Alec Guiness's best performance, and Sessue Hayakawa is also highly sympathetic and believable.  William Holden and Jack Hawkins round out the cast nicely.<br/><br/>The musical score is also right on.  Simply put, -Kwai- is an excellently constructed film made by people who obviously cared a great deal about it. As a result, the viewer comes to care a great deal about it as well.<br/><br/>Clearly -Kwai- is an anti-war film.  There is no glorification here.  War is brutal, period.  It's brutality is not captured here in terms of gory carnage or senseless battles.  Instead, the psychological dimension of brutality comes across clearly.  Yet, -Kwai- also shows the resilience of the human spirit as well as its complexity.  One is left wondering if participation in World War II not only psychologically brutalized the characters played by Guiness, Hayakawa, and Holden but also if it simultaneously uplifted them.  The paradox is striking to me each time I view this film.  War can act both as a positive and negative catalyst, and it can do both of these things at the same instant.<br/><br/>So, is -The Bridge on the River Kwai- a war movie or an anti-war movie?  I think Lean clearly preferred the latter, but the subject matter and his approach to it may have landed somewhere in between.<br/><br/>Regardless,  -Kwai- is a fantastic film experience and is not to be missed. It is, simply put, my very favorite film--bar none."
"Doylenf","Null","67","86","5 April 2003"," Nothing less than a masterpiece...
","About as Oscar-worthy as any film made in the '50s is David Lean's gripping BRIDGE ON THE RIVER KWAI. Based loosely on a real-life incident, it tells the story of an imprisoned British officer (Alec Guinness) who loses sight of his mission when forced to build a bridge for the Japanese that will enable the enemy to carry supplies by train through the jungle during World War II. Guinness plays the crisp British officer to perfection, brilliant in all of his scenes but especially in his confrontations with Sessue Hayakawa. William Holden has a pivotal role as one of the prisoners who escapes and enjoys his freedom for awhile before being asked to return with a small squadron to destroy the bridge. Jack Hawkins and Geoffrey Horne have colorful roles too and all are superb under David Lean's direction.<br/><br/>The jungle settings filmed in Ceylon add the necessary realism to the project and there is never a suspension of interest although the story runs well over two-and-a-half hours. The film builds to a tense and magnificent climax with an ending that seems to be deliberately ambiguous and thought provoking. Well worth watching, especially if shown in the restored letterbox version now being shown on TCM.<br/><br/>Some of the best lines go to William Holden and he makes the most of a complex role--a mixture of cynicism and heroism in a character that ranks with his best anti-hero roles in films of the '50s. He brings as much conviction to his role as Alec Guinness does and deserved a Best Actor nomination that he did not get."
"Nazi_Fighter_David","9","37","48","25 December 1999"," Winner of 7 Academy Awards...
","David Lean's ""The Bridge on the River Kwai"" like Jean Renoir's ""Grand Illusion"" is an anti-heroic war film, set in a prisoner of war camp environment... But there, the point of resemblance came to an end... <br/><br/>""The Bridge on the River Kwai"" is an adventure film in which the nature of World War II is explored... And if in ""Grand Illusion"" the characters were described by a great artist who treasures their common humanity, in ""The Bridge on the River Kwai"" they are forced to carry out their destinies by an officer who cannot bear to see his bridge blown up...<br/><br/>Escape is almost impossible from the Japanese camp located near the Kwai River in Burma... The prisoners are badly treated by cruel guards... The camp commander is a rigid psychopath... Conditions are hard to bear... Psychological state of the war British prisoners in constant alteration...<br/><br/>Into the presumptuous situation comes Colonel Nicholson (Alec Guinness in a fascinating performance), a strict, serene, dedicated British Officer, deeply concerned for the welfare of his men...<br/><br/>Nicholson is under severe pressure from the stubborn Japanese Colonel Saito (Sessue Hayakawa) for insisting on his attachment to the Geneva convention and refusing to allow his officers to be used on the construction of the strategic bridge...<br/><br/>Nichilson survives the oppressive punishment imposed on him, but his obsession has risen to near-madness... He agrees to help the Japanese build their bridge, and in his determination to find victory in defeat, he ignores that the bridge, which he insists must be a 'proper bridge,' will serve the Japanese objectives against the British troops...<br/><br/>In addition to the powerful rules of a prison camp picture, captors against captives and an interesting moral respect to a military code, a third element, in the story, is introduced: a small commando team led by Major Warden (Jack Hawkins) and an American sailor (William Holden) whose mission is to destroy the strategic bridge..<br/><br/>The film leads swiftly to a suspenseful climax: a Japanese train and a Commando force directed to a same goal, the Brige of the River Kwai...<br/><br/>Each character, in the motion picture, has a valid reason for what he is doing, and each elaborates a relationship to the bridge revealed to be obsession and insane...<br/><br/>""The Bridge on the River Kwai"" hits with 'war' in a compelling logic of events, the indulgence of self-destruction.<br/><br/>With a great visual beauty and terrific whistling tune March, ""The Bridge on the River Kwai"" is a great dramatic entertainment of the wills of men..."
"Sickfrog","9","100","142","14 August 1998"," Far Ahead of Its Time
","First off, what is so amazing about this film is that, for the time that it was made, how modern it looks. David Lean certainly had the eye of any modern director and managed to direct a visual masterpiece at a time when many films were still being shot in black and white.<br/><br/>   William Holden gives one of his finest performances as a cynic of warfare , citing for us the insanity and absurdity that the combatants often convey. And he hates the war, but he cannot avoid been thrown back into it again and again. We wish he could stay on the beach with his nurse lover, but he is a man destined for a tragic doom for his country, whether he wants to or not.<br/><br/>   Alec Guiness also delivers a fine performance as a bold general whose own pride is, at the same time, his most noble quality as well as his greatest fault. He is uncompromising, yet when the Japanese submit to his demands, he begins overseeing the construction of the bridge with great esteem. Eventually, for him, the bridge becomes a manifestation of his belief of the superiority of the British Army, which he follows like a religion. And in putting all his pride into this bridge, he loses sight of even the British's own true agenda. Truly, his sense of overwhelming honor is, at the same time, his downfall in a descent to a loss of morality, and a sense of good and evil. <br/><br/>   And yes, by the end of this film, we learn a great lesson of the horrors of war. Not only does it take the lives of many good men, but the utter failure and despair that accompany it make it an unbearable existence. And this message has only recently been re-evaluated with the also-brilliant masterpiece ""Saving Private Ryan."" But, keep in mind that it took forty years to regain the power that this film inspired so long ago."
"gcaplan","6","378","570","29 June 2002"," Good film, but a travesty of history
","I am normally an admirer of David Lean. But it is difficult to understand why he chose to base this film on a real event at the River Kwai, as it grossly misrepresents the real ""Colonel Nicholson"" and caused considerable distress to both him and the River Kwai veterans.<br/><br/>The Colonel Nicholson character is based on the allied camp commander, Lieutenant Colonel Philip Toosey, who was a remarkable officer by any standards.<br/><br/>Awarded the DSO for heroism during the defence of Singapore, he refused an order to join the evacuation so he could remain with his men during captivity. In the hellish conditions of the camp, he worked courageously to ensure that as many of his men as possible would survive. He endured regular beatings when he complained of ill-treatment of prisoners, but as a skilled negotiator he was able to win many concessions from the Japanese by convincing them that this would speed the completion of the work. Behind their backs, however, he did everything possible to delay and sabotage the construction without endangering his men, and also helped organise a daring escape, at considerable cost to himself. For his conduct in the camp, he won the undying respect of his men.<br/><br/>After the war, he showed great generosity of spirit by saving the life of Colonel Saito, second in command at the camp and a relatively decent officer, when he spoke up for him at the war crimes tribunal. He worked for the veterans all his life, and became President of the National Federation of Far Eastern Prisoners of War.<br/><br/>He refused repeated requests by the veterans to speak out against the film, being much too modest to seek any glory or recognition for himself. However you will find his achievements documented in a book by Professor Peter Davies entitled ""The Man Behind the Bridge"".<br/><br/>Toosey hoped that no one watching the film would believe a British Army officer could be so stupid in real life. But with the film being rated on this site as one of the top 50 movies of all time, this hope may have been misplaced. Enjoy the film by all means as a work of fiction, but it is surely important to set the record straight and recognise the heroism of the real man involved."
"ccthemovieman-1","10","48","66","25 April 2006"," Unlike The Bridge, This Movie Holds Up
","SPOILER: This film is long (161 minutes), is almost 40 years old, and yet still is terrific, still holds up and will forever, I suspect, be considered one of the greatest war movies ever made.<br/><br/>'Kwai' is particularly amazing in that there is very little action in it, yet it consistently entertains - during the actual movie and no matter when you see it. It entertained me when I saw in the theater as a 12- year-old as years later as a 50-something-year-old seeing it on DVD. I say this to encourage younger people to check this film out, and give it a chance. <br/><br/>Anyone who is fascinated with character studies might find this particularly interesting with Alec Guiness' role in here as Colonel Nicholson. He was mesmerizing in his role. William Holden, Sessue Hayakawan, Jack Hawkins and the rest of the cast are all excellent, with the four mentioned above perhaps playing the roles of their lives.<br/><br/>The gorgeous countryside of Ceylon is photographed beautifully. David Lean, one of the all-time great directors, did this film, too, so it certainly has good credentials. A winner of seven Oscars, this great movie has stood the test of time."
"Spleen","10","65","92","6 September 1999"," Ageless and all but perfect
","Of all war movies this is the one with the best idea behind it.  Think how easy it is to make a bad war movie.  A group of people must blow up a bridge, and this is the story of their quest ...  Actually, that DID serve as the premise for a film: it was called `Force Ten from Navarone', and it was dire.  Or how about this one: we see close up the brutalities of war. (Then we see them again.  Then we see some more of the brutalities of war. Then we see the credits.)  Or how about this: a humble American soldier, with the pragmatism native to his breed, rejects his superiors' highfalutin talk of honour and glory and asserts his basic humanity in trying to stay alive.  Or this one: we see English prisoners of war maintain their dignity in the face of Japanese brutality.<br/><br/>They're all present, in a sort of a way: but ALSO present is a magnificent, long, suspenseful, tight story, around which these apparent clichés wrap naturally.  If the clichés don't wrap naturally then they, not the story, are bent out of shape.  Just when we think that the American pragmatist will turn out to be the hero, we see him cut a rather shabby figure, and it seems that there really WAS something to that highfalutin talk of honour and glory, after all.  But then we discover that he has standards of his own, and they appear to be better ones.  But THEN it seems that ...  I could go on indefinitely, since there are many people here with something to be said for them, and it requires some thought to see who has the most to be said for him in the end.<br/><br/>There's almost no need to mention the excellent performances, photography and music.  The only thing one might have qualms about is historical accuracy.  Nothing like this ever happened.  Still, that makes the movie much less dishonest than those that base themselves on historical events, and then proceed to get them all wrong.  You can only be misled by `The Bridge on the River Kwai' if you don't know that it's pure fiction.  Well - you know now."
"Steffi_P","9","9","10","10 May 2008"," ""This is not a game of cricket""
","The Bridge on the River Kwai – David Lean's first epic, a genre he would later be associated with more than any other. Previously having made his mark as a director of deep and often psychological dramas, Lean's easy transition into bigger pictures reflects the change that was taking place in the genre itself, moving from the grandiose spectacle of De Mille et al, towards the ""intimate"" epic of the late 50s and early 60s.<br/><br/>We are also here seeing the development of the war, or rather, the anti-war picture. Prior to this most anti-war or anti-military pictures were small-scale dramas, whereas all the big war films were rousing flag wavers. Bridge on the River Kwai ticks both boxes, and is all the more effective for it. It is an anti-war film which prevents itself from becoming static or preachy, and an action film with a humanist edge.<br/><br/>The problem presented to David Lean, aside from the fact that he had never done anything on this scale before, is that Michael Wilson and Carl Foreman's multi-layered screenplay contains many different strands, with stories told from multiple points of view. Lean fortunately had dealt with such fragmentary narratives before – 1952's The Sound Barrier for example – and here he actually uses the trappings of the epic to keep the narrative focused. This was the first time he had used the cinemascope aspect ratio, but rather than employing it purely to show off the stunning landscapes (although he does do a fair bit of that too, and why not?) he also uses the width of the screen to cram varying elements into the frame. For example, in the scene where Nicholson (Alec Guinness) surveys the railway construction with his fellow officers, the figure of Saito (Sessue Hayakawa) can be seen on a hill in the background. This reminds us of his presence, and subtly keeps his story arc going.<br/><br/>Lean's use of colour is also remarkable. Of course, when your film is set in a PoW camp in the middle of a jungle, you have a fairly limited colour palette anyway, but Lean's crafty choice of camera angle and positioning is calculated to show off different tones at different times. In the opening moments, highly reminiscent of The African Queen (which, like Kwai, was produced by Sam Spiegel) he begins with the greens of the jungle – a fairly cold colour. As we descend through the trees, Lean gradually turns up the heat with those dusty yellows and browns. For the middle section of the film, he cools things off again with more lush greens and even some vibrant shades, before returning to the stark hot tones for the tense finale. Again, this is all very subtle director's work, but these touches do create little shifts in mood and influence the way we view each scene.<br/><br/>Lean's handling of the larger canvas was however not yet quite up to best showing off his actors upon it. That's a shame with such a good cast, although Alec Guinness in one of his earliest non-comedic roles shone through enough to garner an Oscar. William Holden was also deserving of at least a nomination, but didn't get one. To my mind though the best performance of the picture was that of Sessue Hayakawa. Hayakawa was an incredibly powerful silent film actor – check him out in De Mille's The Cheat (1915) – and it's great to see him at the top of his game again here.<br/><br/>Bombarded with awards, Bridge on the River Kwai is typical Oscar-winning fare, particularly for the conflicted political climate of the 1950s. It can be read as a damning critique of war, but also enjoyed as a gripping action film. This broad appeal, the depth of the screenplay and Lean's assured direction made it a hit in its day and allowed its popularity to endure in the generations since."
"theowinthrop","10","15","19","1 September 2006"," ""Madness, Madness""
","Let's face it - war is organized madness, and although the stakes in World War II were tremendous for whichever side lost, the individual effects of the war on the men and nations involved caused madness on several levels.<br/><br/>Pierre Boule's short novel brilliantly discusses the madness in the crazy situation that sweeps up Colonels Nicholson and Saito. Under normal circumstances, the two men might never had been friends but they might have had a degree of respect for each other. Both come from nations that have long histories and traditions, and whose officer corps prided themselves on leadership and withstanding privations. The Japanese formalized these traditions in the code of Bushido (which was twisted, unfortunately, in World War II). It included sharing privation with one's men and was similar to the concept of noblesse oblige that the aristocratic officers of Britain's army tried to maintain. Nicholson's stoicism when put into the isolation box was as much in his tradition as Saito's tradition would have included willingly reducing his own share of his rations for the benefit of his men in a siege.<br/><br/>The situation that develops is a racial rivalry. The Japanese, in 1943, have won so many of the campaigns, and witnessed the surrender of Allied (i.e. Western - American, British, French, Dutch troops) that they really have a contempt for them. As we now know was true, the Japanese soldiers frequently fought to the last man (think of Saipan and Okinawa in the last stages of the war, where flame throwers were frequently used to force Japanese soldiers and civilians out into the open). Westerners could do this too, but traditionally the western states saw no shame in surrendering after putting up a hard fight. Not so the Japanese military.<br/><br/>Saito is identifying with this tradition. In the novel, he is also disappointed that he is in charge of a prisoner of war camp - he'd prefer to be back in the fighting. But they need the prisoners to build the railroads throughout the new Japanese empire (as mentioned on another comment, the ""Greater East Asiatic Co-Prosperity Sphere"") that can have men and material race from one end of the empire to the other.<br/><br/>In reality this frequently ended up more like slave labor than what Boule arranges (or what Saito probably had in mind). Nicholson insists on treatment under the Geneva convention for P.O.W.s, but Saito thinks it's typically Western and wimpish. As punishment for his presumption he puts Nicholson in a hellish underground cell in solitary. But Nicholson's men refuse to cooperate until he's released, and when he is he sneers at the Japanese engineers and their mistakes, and insists on the English army engineers taking control of the building - and this works well for the Japanese Army but not for Saito, who seriously feels like he has lost face and should commit suicide.<br/><br/>Director David Lean wisely shot the film on location, capturing the heat and disorientation of a humid jungle war front. His wide screen film manages to make the locale of the prison camp and the Kwai River (and the bridge) look like it is the entire world, and that escape is impossible from it (indeed the one man who escapes - Holden - has to return eventually). <br/><br/>The novel does not include the character played by William Holden, one of his typically laconic Americans who retain a clear sightedness when compared to the British. Holden's ""Shears"" sees the prison camp as a massive graveyard (he's on the burial detail) and hates it to the point of escaping. He reaches safety in a recovery hospital in Ceylon, but he's forced by Jack Hawkins to return to the campsite to destroy the bridge.<br/><br/>Hawkins' too seems a realist - he is trying to destroy an enemy target that is nearly completed, and will make the enemy's war effort far easier. But his resolve to do this involves blackmailing Holden into assisting him, and forcing himself to continue on his mission after being seriously injured. At the end the mission kills hundreds of men. Hawkins has succeeded, but the local natives who assisted him look at him like he is a mass murderer.<br/><br/>Guinness' Nicholson is one of the most myopic soldiers in film (or fiction for that matter) totally forgetting the purpose of himself and his soldiers even in a P.O.W. situation but thinking solely in terms of oneupmanship and morale. It was a splendid performance. One might make a case that he behaved like a man who was hallucinating after an illness, and indeed he does (accidentally) get back to reality at the eleventh hour - too late to save himself, but in time to save his military honor.<br/><br/>Sessue Hayakawa had a film career in Hollywood that went back to the silent period (even appearing opposite Gloria Swanson in a Cecil B. DeMille movie), but the coming of sound and the deterioration of Japanese-American relations caused him to leave American movies. Like Swanson's sound comeback in Wilder's SUNSET BLVD., Hayakawa's appearance as Saito, a harsh foe but ultimately sympathetic given his code of behavior and how he is humiliated, brought him belated recognition and an Oscar nomination.<br/><br/>Finally there is James Douglas, a highly useful, plain looking British actor who frequently brought dollops of common sense to his films. His P.O.W. Major Clipton tries to rouse Nicholson's sense of reality, but fails (in fact he soon sees that Nicholson's unreality is far more catching with the rest of the British P.O.W.s than he imagined). He sees natural foes, British and Japanese, joining together building a bridge of friendship in a time of war. And the final result is just destruction, confusion and death from that war. Is it any wonder that at the end, he mutters the two words in the ""Summary Line"" as the story's conclusion."
"calspers","8","5","5","9 September 2019"," ""It's a matter of principle"" - timeless direction by David Lean
","""The Bridge on the River Kwai"" is a prinoner-of-war drama at its best, masterfully directed by David Lean.<br/><br/>Amazing direction, and the whole approach to making this film is timeless - a study in being ahead of its time. Stunning set pieces and production design - such and effort was put into this. Fantastic cinematography, filled to the brim with pitch-perfect pans, wide-shots, and tracking-shots. Intense and dramatic score, deservedly receiving one of the total of seven Academy Awards. Brilliant cast and in particular Alec Guinness, who perfectly portrays a man of honour.<br/><br/>What is a big shame is the way Colonel Philip Toosey - the original colonel, portrayed through Nicholson - was misrepresented, in that he actually acted very differently and much more courageously than in the film.<br/><br/>Nonetheless, as a look into the historic event that took place in 1943 Burma, it is absolutely brilliant, and although the film does not carry loads of emotional moments, it is technically excellent, and greatly entertaining.<br/><br/>Highly recommended."
