"username","rating","helpful","total","date","title","review"
"dirty_chords","8","453","611","6 October 2018"," A lot more than just a standard biopic
","This is my interepretation of a film I wasn't ready to love. Boy, was I wrong.<br/><br/>Based on the book ""First Man: The Life of Neil A. Armstrong"" by James R. Hansen, director Damien Chazelle and writer Josh Singer took the chronicle of an American triumph and emphasised on the personal story behind it. Through Armstrong's stance, the film makes a clear point: Determination, struggle, sacrifice and most of all failure are key ingredients to someone's eventual success. But in order to achieve success you've got to risk everything, albeit success is never guaranteed.<br/><br/>In one scene, Janet Armstrong (excellently played by Claire Foy) claims that she only wanted to lead an ordinary life with her husband. On the contrary, Neil has made a clear choice: He will try to accomplish his great mission, knowing that it is quite possible his kids will never see their father again.<br/><br/>Whenever signs of arrogance, conceit and complacency are shown, they are an omen of failure. On the other hand, Armstrong's attitude is the epitome of how success is to be achieved. He is quite commited to his mission and never behaves immaturely when it comes to it. He is focused on his goal. Family and social life, well that's another story (we often see that Armstrong is incapable of communicating or expressing his feelings to his dearest ones).<br/><br/>Portraying such an introvert character, Gosling has a sole major moment to shine, in a very important scene which proves to be pivotal in terms of what the movie tries to communicate: USA went to the moon to win the Cold War, while Armstrong, after being marked by tragedy, went to the moon in order to find peace (and by the time his daughter's old memento reappears, we assume he has found some). The film is about him; it doesn't care that much about the US agenda. In fact, I thought that it only showed subtle contempt towards the nationalistic celebrations and the passionate political speeches aimed at boosting the spirit of the American people.<br/><br/>Moreover, First Man is one of those biopics where you know what is about to happen, but can't help but get caught up in the rising suspense of its great scenes. At their most exciting, these scenes reach a very satisfying climax, rewarding the audience's patience. Directing and cinematography deserve every accolade they have gotten so far."
"daniel-dippel","9","440","610","20 October 2018"," Thru the eyes of the first man
","I now laugh when I reread some of the negative reviews - to summarize: it made me have motion sickness so I left, didn't develop the orher characters enough, too somber and brooding, didn't cover all of the events of Niel Armstrongs career, etc. Well, most of these individuals missed the point of the movie or don't understand this genre of storytelling. It is a first person account basically told through the eyes of the first person to walk on the moon. I found this refreshing and not your typical Hollywood approach of trying to fit too much, too thinly for such an epic sweeping story that covers decades and dozen of key figures. It could have been 3-3.5 hours long. Yes, it could have been a TV mini-series or two (or more) movies. I love that it was told through the eyes of one central figure. Told through the eyes of the man that all of the accumulated effort of thousands of people and billions of dollars spent to accomplish one goal before the Soviets and for humankind - having a human step foot on the moon for the first time. I cannot remember a cinematic experience that got me as close to experiencing what it was truly like to be there first hand, in the drivers seat if you will, or better put, insabely strapped into a coffin fixed atop a massive liquid fuel explosion. How any person would be brave enough to face this, be able to perform well while in the thick of it and want to do it again and again is beyond words (or sanity). With death and fear all around no wonder there was a dark cloud hanging over everyone. I am sure all of us have marvelled at what has been accomplished by the NASA space missions especially Apollo. The movie Apollo 13 was a very good story that I thought put me as close to being an Astronaut as i could get. I was wrong. So, go and see First Man. Go and let yourself become THE astronaut. THE first human that was there at the very top of a giant pyramid of people because many before had made the ultimate sacrifice to make possible one giant leap for mankind. i will never look at another manned space vehicle, past or present, or astronaut again the same way,"
"fallyhag","6","541","797","14 October 2018"," It felt genuine but left me bored
","The attempt to make it all feel dated and real worked well. There were no glossy space scenes. Add some interesting sounds and a lot of shakes can and the overal scene approach works. <br/><br/>But then there is the story. We all know what happens. So it was just about the angle they approached it at. Unfortunately they picked the boring angle. <br/><br/>The struggle with grieving was irritating. The lack of substance in the characters was disappointing. The frame was non existent. The length too long. The outcome underwhelming. The ending an anti climatic relief. <br/><br/>I will remember this film for the dirty toilets, great acting and my repeated checking of my watch. If you want to learn a tiny bit then watch it. But it is sadly no masterpiece. Let down but the story telling...<br/><br/>Recommend? Yes. On a Sunday..."
"brianjsmith-86408","6","648","986","13 October 2018"," One of the most momentous events in history, turned into a depressing drag.
","If you are thinking this is going to be a fun, great movie like Apollo 13, well, just rent Apollo 13 and watch that one again.<br/><br/>I've been a 'space-nut' and an aficionado of NASA and the space program since I was a kid in the 70's. I'm not sure how they could have made a movie about Neil Armstrong and the first moon landing more sobby-eyed or depressing. It managed to capture none of the majesty, grandeur, or scope of the undertaking- it was just a wet-blanket of constant angst.<br/><br/>The close ups were so close-up that they made you want to back right out of the theater, and were shot in a way to make them resemble shaky-handed home-video footage shot on a hand-held. The camera just refused to hold still for anything in this movie, and it was infuriating. <br/><br/>I'm sure, at least at a few points in his life, Neil Armstrong cracked a smile. You wouldn't think so from watching this. I know he shunned public attention, but I find it impossible to believe Neil Armstrong could possibly have been as lifeless and wooden as he was portrayed in this film. Foy's portrayal of his wife came across even colder and less joyful than her depiction of Queen Elizabeth. <br/><br/>Sorely disappointing. 6/10, and I feel that's being fairly generous."
"bobzmcishl","7","450","682","3 October 2018"," Good, Not Great
","I saw this movie at a sneak preview, and I had high expectations given the hype, but sadly, this was no ""The Right Stuff."" The problem may lie in the main character on which the movie is based, Neil Armstrong. He is portrayed as a colorless technocrat, who is somewhat cold to his family. The movie focuses mainly on his family relationships, and the landing on the moon is somewhat secondary, therefore the movie lacks a lot of drama. This is unfortunate since Armstrong led a very charmed life as a fighter pilot, test pilot, and astronaut. The movie covers three of his serious incidents while flying, and he had at least three more, that could have been covered in a miniseries. A miniseries would have allowed for more in-depth probing of how Armstrong became the man he was. The main characters all suffer from superficial once overs. The astronauts were all household names but you wouldn't know it from this movie. The movie also had a hard time capturing just how terrifying some of the events were. Apollo 13 did a far better job of recounting the terror of that flight. Claire Foy as the wife was ok but she also had a degree of coldness about her. The movie also glosses over the misplaced disdain military pilots had for their civilian counterparts. The complaint was that civilian pilots by virtue of their engineering training were too mechanical and not true flyers. This was not true of Armstrong who got his pilots license at the age of 17. The movie should have started there. He was considered a brilliant engineer by his peers, and he was rightfully selected to be the commander of Apollo 11. That brilliance is not captured on screen. By the end of his career he had flown over 200 different aircraft. He was a giant. I think the movie should have brought that out."
"gibbo-77205","5","297","453","14 October 2018"," It's a good thing I'm not a director
","Having read ""First Man"", the Armstrong biography, I was looking forward to the movie immensely. I personally found it bizarre that it started with Karen already gravely ill. There was no emotional attachment at all. There was no mention of Armstrong's fascination with flight, no mention of joining the navy in order to attend Purdue, leading to his near-fatal Korean war flight experience with the missing wingtip. 
If I was directing I would have started with his childhood fascination with flight, his scrimping and saving to pay for flying lessons, the fact that he obtained his pilot's licence before his car licence and then I would have built an emotional attachment with Janet and Karen.
During the lunar descent, when the very dramatic 1202 and 1201 programme alarms occurred, I would have built the dramatic tension instead of drowning out all the drama with loud music. I would have built the drama with the 30 seconds of fuel remaining and showed the relief at Mission Control when the Eagle touched down safely.
I would have showed the discussions concerning crew positions in the lunar module, resulting in Commander Armstrong exiting prior to Buzz and thereby becoming the first to put his boots on the lunar surface. I would have showed the aftermath of reaching his childhood dream, where he was required (along with Buzz and Mike) to tour the world ceaselessly, spotlighted in the limelight and hating every minute of it.
It's a good thing I'm not a director because that's probably what everyone expected, whereas this film is a very different treatment. Some great visual effects and good acting and I liked the way Apollo 1 was handled - it was very respectful. However, I felt the film missed a lot of what made Neil tick - it was hard to engage."
"Jared_Andrews","8","129","197","16 October 2018"," Excellent Understated Biopic
","The opening scene will take your breath away. I don't think a single cell in my body flinched for a solid five minutes as I watched Neil Armstrong (Ryan Gosling) fight to keep his craft from floating away into space. The scene is spectacular visually and in every sense of filmmaking execution. It's also a bit misleading. <br/><br/>The rest of the movie, aside from the moon landing, is remarkably tame. It's quiet. There are virtually no loud outbursts or emotional speeches. This story is about people doing their jobs, completing their missions. Gosling understands this and plays to Armstrong's stoicism perfectly. He is often an understated actor, choosing to let his subtle facial movements and glints of the eyes do as much talking as what actually comes out of his mouth. Neil is much the same except even less outwardly expressive. He clearly comes from a generation that did not display emotion. They suffered in silence, which no doubt frustrated many family members, especially spouses. <br/><br/>Armstrong's wife Janet (Claire Foy) is a classic case of a spouse desperate to glimpse beyond his emotional shield. She restrains for the most part, but her building frustration is apparent throughout. When she finally does unleash her emotions, it's startling. Her outbursts stand out in such stark contrast to the silence that we see from the other characters. Foy is smart and measured with every choice she makes, and she never comes across as unhinged or overly supportive to a point of unbelievability. She's strong as a quiet devoted partner and strong when she senses the need to speak up. Look for her to add another award nomination to her resume come that time of year.<br/><br/>For as great as Gosling and Foy are, Damien Chazelle is the star of this movie, just like he has been the star of every one of his movies. I don't mean this as a bad thing. They guy is simply so skilled at what he does that his impact stands out among all the other standouts in his movies. He doesn't take the conventional approach to a space movie, which is to hammer viewers with showy visuals and action sequences. He's careful not to overdo it those areas, instead focusing on Armstrong's psyche and life outside the space shuttle. Chazelle crafts a personal, intimate film and shoots it in a creative way that uses a variety of framing choices so the closeups never feel stale.<br/><br/>This is a giant story told on a deliberately small scale. The choice to focus on Armstrong's objectively less captivating homelife rather than the moon mission is risky. Only the most talented of filmmakers, which Chazelle is, could pull it off. ""First Man"" is another showcase of Chazelle's mastery. He's one of the best directors currently working. The fact that this film may eventually be considered Chazelle's 6th or 7th best and is still this excellent, is a tribute to his talent."
"ozjosh03","4","314","505","16 October 2018"," Over-long, over-hyped, over-rated
","The only real distinction of First Man may be that it's the first over-hyped and over-rated film of next year's Oscar crop. It's a film that is dismally defeated by its own subject matter at every turn. First it wants to be an illuminating, insightful study of Neil Armstrong. But on the evidence of everything it offers, Armstrong was simply not that interesting. If the most startling discovery about your hero is that he was sad about his infant daughter's death, then you're already in deep trouble. Nor is it hugely surprising that a guy who is dedicated to preparing for a mission to the moon isn't exactly a well-rounded, socially adept human being. But many a fascinating film has been built around a cerebral, emotionally-distant, socially awkward character, right? True enough, but it takes an actor with a much greater skill set than Ryan Gosling to make such a character interesting. First Man is essentially two hours of Gosling mooching around trying to find some way of making Armstrong's interior life compelling. That he fails isn't entirely due to his own shortcomings as an actor, but to a screenplay that does little more than rely on his good looks and the ""glamour"" of the space race to make Armstrong interesting. But the second big fail of First Man is that it doesn't offer us anything particularly new or interesting about the moon mission. Chazelle's strategy is to eschew the cliches of space movies - the focus on technology and the astronaut's eye view - and stay close on his heroes through interminable sequences in juddering space capsules. There's nothing new about this, other than it being the main, sometimes sole focus. Unfortunately, it becomes tedious long before we get to Apollo 11's trek to the moon. Even the ultimate moon sequence offers little that we don't already know from the grainy footage of the real event that everyone has seen hundreds of times. In short, the term ""epic fail"" could have been invented to describe First Man."
"phil-160-338997","4","246","393","16 October 2018"," Way too slow and untidy camera work
","Came watching this with high expectations but was kinda bored by it, actually my wife did literally fall asleep in the cinema. <br/><br/>As many have said there were too many facial close ups and too much shakiness, a lot less would have worked.<br/><br/>The story made Buzz Aldrin out to be very dislikable and totally put Mike Collins into the back ground. Whilst this film is about Neil Armstrong these guys also went to the moon (apparently) too, so a little bit more respect with their characters would have been nice.<br/><br/>This film had great potential but it focussed to heavily in many wrong areas and this was it's ultimate let down.<br/><br/>Save your money and wait for hit to hit the internet."
"cliff_bd","4","226","373","23 October 2018"," I understand what the movie was trying to achieve but....OMG it was so boring
","I really liked the idea and I kinda liked the movie but I found it to be disjointed and slow...... I loved the part of the movie when Neil Armstrong was on the Moon and he dropped his dead daughters braclet into the crater .... to let her go<br/><br/>The rest of the movie was good and at times challenging to watch...."
