"username","rating","helpful","total","date","title","review"
"rgblakey","7","96","114","12 October 2012"," Kevin James brings the Boom
","Whether you find him funny or not, Kevin James has been racking up the hits since focusing on movies. While not all were hit with the critics, he has managed to garner a following. The trailer for his latest Here Comes The Boom looked like a mix of the same old fair that he normally delivers, but does it have any chance of working to deliver a funny comedy or will it end up being just another forced goofy addition to his resume.<br/><br/>Here Comes The Boom follows a biology teacher who is determine to save the music program from being cut in their school by becoming a mixed-martial arts fighter. While the premise is a bit out there and some of the scenarios are a bit far-fetched this movie works surprisingly well. There are plenty of laughs here that work on numerous levels, but depending on how big a fan of James you are will determine how funny they are. The real surprise here was the fact that there was so much more here than just a stupid comedy. The story is a typical underdog tale with comedy, but enough heart to keep you rooting for James throughout the whole film. Gone is the usual over the top bumbling funny fat guy, in its place was a cooler everyman that works perfectly for this story. James steps up to really deliver more than he has to date. He shows not only a good range with some different emotions, but is pretty impressive with his ability to carry the fight scenes. It was nice to see that while this was a comedy, they still took the fighting side of it seriously to deliver something not only believable but entertaining and will suck you right into the action. The rest of the cast do a great job of bringing everything together, with the real highlights being Henry Winkler who is a spitting image of the band teacher in the Simpsons and former MMA legend Bas Rutten. Both of these guys never take themselves seriously and deliver some funny memorable and likable characters.<br/><br/>This movie was a real surprise on almost every level. It delivers an almost Rocky like underdog tale with some over the top funny moments to create something completely unexpected. Kevin James really knocked it out of the park here and hope he sticks to these kinds of roles and continues to stretch his acting range."
"padraig_power","8","103","124","12 October 2012"," Very funny feel good movie
","I had low expectations for this given the plot (which you can't take seriously) and figured the best parts were shown in the trailers. I must say I was pleasantly surprised. <br/><br/>The plot is all very predictable but really who cares for this type of movie. The dialog is not that sharp (Seven Psychopaths it is not) and while some parts are a little corny, the film is light hearted, does not take itself too seriously and is excellent entertainment if you want to switch off your brain at the end of the week.<br/><br/>This film moves at a good pace, is funny throughout, with some real laugh out loud moments, and leaves you with a good feeling at the end."
"actionlad","8","40","51","29 October 2012"," Finally, a Kevin James film I enjoyed all the way to the end.
","I loved ""King of Queens"" and I think Kevin James is a very talented comedic actor, but until this film, he hadn't made a film where he was the star that I could really get behind. Each of his past flicks had him in some unlikeable loser role with a problem nobody cared about. This one figured some things out in how to make him likable and fun to watch. I don't want to give away too much on this film as you may see some of the plot points coming from a mile away, but this is just a nice feel-good comedy. It's not trying to be something more than that. By the way, former professional MMA fighter, Bas Rutten steals every scene he's in. Way to go Bas!"
"intelearts","8","37","48","18 January 2013"," 525th Review: Huge surprise -James finally makes very good indeed
","This has real charm, motivation, comedy, and a superb Henry Winkler and Selma Hayek - and a very good Bas Rutten as the coach who will be getting a ton of work based on this - all in all this is a surprise from beginning to end - and James finally seems to have learnt to rein it in and learnt that OTT all the time is just deadening.<br/><br/>So, a confession - Mall Cop, not my favorite movie, just OK, the one at the zoo, definitely not my thing (or my kids), so I had very low expectations indeed going in to see Boom - but what a difference! The plot is simple: loser teacher seeks to raise school funds by becoming a MMA fighter. And it works. The surprise is how inspirational this is - the school aspect is a really smart move - and totally lifts the movie.<br/><br/>If you want a pizza movie you could do much much worse, this is a well-made, well-judged, and fun movie. One strongly suspects that James found a character he could totally connect with and it gives him what he does best - heart."
"Treyroo","7","27","34","6 December 2012"," Kevin James scores
","You've been doing the same job for most of your adult life and stopped making an effort a decade ago. Then you hear the news that someone who's been doing the job even longer and still makes an effort is about to be fired. Do you let it happen?<br/><br/>Scott Voss (played by Kevin James) is a 42 year- old biology teacher. Ten years ago, he was given a Teacher of the Year award but when we join the story, he's sleeping late, making little or no effort in the classroom and seen as an embarrassment by the principal, Mr. Betcher (played by Greg Germann). When Betcher (Germann) catches him sneaking into class late via the classroom window, he gives Voss parking lot duty and strips him of a vacation day. Rather than accept more work that he's in no way interested in doing, he tries to find someone to fill in for him. His colleague, Marty, the music teacher (played by Henry Winkler) is more than willing to assume the responsibility but also a little shaken by the news that his wife is pregnant. Later, at a school board budget meeting, he's given the even more troubling news that thanks to budget problems, the music program is in jeopardy. Voss, despite his long-standing apathy, offers to raise money to save the music program and his colleague's job. He resumes the job of teaching citizenship classes in night school but sees that the wages would make it near-impossible to earn the money in time. One of his students, Niko (played by Bas Rutten) asks for additional tutoring and Voss agrees, reluctantly. It is during a tutoring session at Niko's apartment that Voss, who wrestled in college, sees a mixed martial arts match, learns that the loser was paid $10,000, and decides he can raise the money by joining this very punishing sport.<br/><br/>Now, the last Kevin James movie that I saw in theaters was Zookeeper. I wasn't impressed. I won't say that Here Comes the Boom was impressive, but it was easily a step up from Zookeeper. Also, naming the movie after what would eventually become the main character's theme song isn't particularly creative. Still, I was entertained. Watching an overweight 42 year-old enter the ring and take serious punishment over and overand over was hilarious and watching the effect his decision to make an effort had, not just on him but on the entire cast of characters, was bizarrely uplifting. I don't imagine James or any of his co-stars will receive awards for their work in this film, but I liked it and you might too."
"DUKEJBM","Null","43","58","12 October 2012"," What A Pleasant Surprise! Capraesque Feel Good Film!
","High art this is not but anyone that expects high level stuff from a movie with this premise is not watching it with the right frame of mind. It's a good old fashion feel good film with a message. Dare I say Capraesque? I wouldn't even classify this as a comedy. It's a fantasy of goodwill film that induces plenty of smiles and packs heart. Kevin James is perfect in the lead and his common man qualities play extremely well here. They lean on the Rocky formula a lot but that's not necessarily a bad thing. One thing is for sure, Salma Hayek is the hottest ""Adrian"" type love interest to ever play in this type of film. She's amazing throughout. A warm shout out to Henry Winkler who is also perfectly cast as the somewhat eccentric music teacher with the heart of gold.<br/><br/>A wonderful surprise that I enjoyed very much."
"Deepfried-Egg","9","96","141","2 October 2012"," Great clean comedy-drama and The Fonz stole the show!
","The King of Queens is at it again and he hit this one out of the park! Salma Hayek also put in a fun performance as did Henry Winkler. Kevin's real life brother offered up some of the funnier moments dealing with domestic realities. Every character in this film made me laugh until it hurt. This film is a sure crowd pleaser as it has the Asians, Hispanics and the white crowd both old and young covered quite well. Most of the comedy is from the older actors in this film so I think the older crowd will appreciate this film as much as teens will. At times you know you are watching a comedy. At other points you know there is good heart touching drama added in with a comedic touch. And then when the fighting kicks in you feel like you are watching a real fight. If you have a heart for music studies you will cheer these characters on! If you enjoy the UFC/MMA fighting then you'll have a blast watching Kevin James dive into this world and get/give a good whooping! A lot of the real players/announcers/refs from UFC are in this film adding to the feel of a real UFC match. It's a smart film in it's comedic moments. On the other hand, as contrived and predictable as many elements in this story are, you will still find yourself cheering the players on and maybe even feel your eyes water due to feelings from either end of the emotional spectrum. I had given up on comedy films in recent years as most of them our just way too raunchy. But the PG rating on this film...I applaud all those behind this production. This movie works and it will make anyone laugh!"
"Deshawn-raimey","10","99","147","27 September 2012"," Best Feel Good Comedy of 2012 So Far!
","This move was much better than expected! At first I gave it 8 stars, but then I thought about it and could not think of anything this movie was missing for a PG film! Many adults look away at PG films because maybe they think the movie will have their type of entertainment. This flick will definitely give adults and children a lot of comedy, more comedy, action and even inspiration!. This is the best feel good-comedy I have seen all year. Kevin James has always had his own type of unique comedy, which was funny to me. His chemistry with the supporting case was wonderful. This is Kevin James's best film to date. Give this movie a chance if your looking for a movie to watch with the family, date night, or just want a great laugh and a little inspiration."
"remotePortal","10","69","110","12 October 2012"," Here Comes the Favorable Review! My Favorite Movie of 2012!
","My wife and I really enjoyed this movie! It's a must see if you've been waiting for a quality family movie and provides a full spectrum of Friday night entertainment. Even though it won't win any Academy Awards it's my favorite movie of 2012 because it just made me feel good.<br/><br/>Good Points: Perfect casting; all the characters were very believable and enjoyable to watch. I really liked Henry Winkler's performance. He stole the show. The movie is genuinely funny with many out loud moments. It's a family movie with a clean positive message. It was also touching at times. The screenplay was well-written. It's didn't contain too many original ideas but you know it really didn't matter--it was satisfying. It wasn't a cheaply made movie; it showed a quality production and was the pacing was perfect--I was thoroughly engrossed from beginning to end and it never lagged. Salma Hayek provided both eye candy and a lot of substance.<br/><br/>Bad Points: There really wasn't anything bad about the movie. Perhaps it was slightly corny but I didn't care. It contained violent and bloody fighting scenes, so exercise caution for children under 8 years old. The title of the movie is odd and I wish they had chosen a better title.<br/><br/>10/10 rating; well worth a full price ticket!"
"TopDawgCritic","9","7","9","3 May 2020"," Best UFC fight: UFC179 - Scott Voss vs. Ken ""The Executioner"" Dietric!
","Impressed how great and funny this was! I seriously can't remember having so many actual LOL moments watching this film. Kevin James was amazing, and was the rest of the all star and supporting cast. Great to see some celebrity cameos as well. Great story, pacing and directing. A must see funny feel-good entertaining movie! Shocked at the current low rating."
