"username","rating","helpful","total","date","title","review"
"alexkolokotronis","10","435","544","15 March 2008"," The Truth Hurts
","People did not like this movie for a simple reason: too negative. I can understand that this movie is so depressing in so may ways. <br/><br/>What it shows that Big Fish eats Litte Fish and none of us want to think about that anymore than most of us experience it in our daily life. It shows the battle between the evangelicals and the corporate business man. Or maybe even the battle between evangelicals of today and the non-religious people or atheists of today. Even worse is that this movie shows that religious people, priests are or can be as bad as a corrupt oil man. Maybe why people did not like this movie is because it might have offended them. Especially Paul Dano playing the priest. Both Daniel Day Lewis and Paul Dano are wrong and too extreme on their opinions. People are able to accept this. What people cannot accept is though that these same extremities and same misguided opinions from both characters are very much true in that they are heavily believed still today. Not all Christains are like Paul Dano's character and not all business man are like Daniel Day Lewis's character but many are like them. That is the world we live in.<br/><br/>Now is their any alternative or positive side? The answer is yes and that is H.W. the son of Daniel Plainview(Daniel Day Lewis). He epitomizes hope. He shows that despite being deaf and having a father who uses him as a ploy for better business he can still break free of the chains that he is being tied down by. What separates H.W. from the residents and evangelists of Little Boston? The difference is that he and his father are educated and they are not. That is how Daniel Plainview is able to manipulate and cheat them the Sunday family, even Eli Sunday(Paul Dano) the priest and preacher of Little Boston. From what H.W. sees and experiences he sees that much of what is around him is just wrong. He uses his experience that he had gained as a kid to break free of the corruption and chaos that could have taken over him. That is one aspect of the education I'am talking about: our experiences and understanding of what is happening around us. <br/><br/>Now to get to the technical aspects of There Will Be Blood. It is just truly spectacular in every way. First off the acting was amazing. Daniel Day Lewis gave arguably the best performance of his career playing Daniel Plaiview or ever since movies began to be made. He freaked me out and probably shocked many people. His thirst for power and money was at such a high level that it made me wonder about what people are really capable of. The deceiving, the greed, the thirst for power and the every man for himself attitude actually looked more real than ever to me. Without Daniel Day Lewis I don't think this movie could have achieved what it has. Paul Dano gave a great performance as Eli Sunday though people tend to disagree. I think he gave a great portrayal of an extremist evangelical priest of how he himself had his own thirst for power and how he was more blasphemous then respectful and gracious to god then how you would expect a priest to be. How could people not be shocked by these two characters, I was myself.<br/><br/>Why was the music for this movie not liked. I thought this was among the top five musical scores I have ever heard. The music perfectly gave you the feeling of the corruption and deception setting into the movie. It perfectly intertwined with the rest of the movie as the movie itself was ever growingly becoming more and more chaotic and surreal. Probably too shocking though.<br/><br/>Paul Thomas Anderson I believe gave the best directing job of the year. He was able to show the oil fields and its processes, the rise of an oil man, the way everyone can be bought even a priest and the hope that H.W. represented. This movie was never boring and it was as stunning of a directing job as Daniel Day Lewis gave as a performance for his role in this movie. The intensity of this movie was as high as a movie could possibly be and some of the credit for this has to go to the director. The cinematography and the music seemed to intertwine perfectly like the rest of the movie. It gave the sense of the time period and as said before the greed, deception, etc. The cinematography did not just give you a negative feeling but a feeling as if what you are watching is real.<br/><br/>You should not like this movie just because of the great technical achievements as you should not for any movie but for what it says and how it says it. I'm not even sure if you should enjoy this movie in general but you should not be blinded by your opinions. I applaud you whoever out there who can somewhat understand this movie and get past the lying and deceiving we do to ourselves. This movie really shows the humanity of human beings. Why is this rated-R?It has so many intense scenes that if you get inside this movie it is truly haunting. Now maybe this movie was too powerful for many people, it was probably even shocking for realists. Maybe though its not that surprising that so many people don't like this movie because the truth hurts. Not the truth about corruption or about people but the truth about ourselves."
"murtaza_mma","10","76","103","29 September 2009"," There Will be Praise
","The world of cinema has seen and marveled a plethora of phenomenal performers, who over the years have entranced billions of viewers globally with their guile, grandeur, subtlety, eloquence and idiosyncrasy, but I dare say that none of their performances can match Daniel Day-Lewis' portrayal of Daniel Plainview in There Will Be Blood, for sheer ruthlessness, panache, eloquence and cheek. Being the chameleon that he truly is, Daniel Day-Lewis incredibly musters up all his prodigious talent as an actor to conjure up his misanthropic alter ego, Daniel Plainview, whose perpetually smirked face bolstered by his malice filled eyes makes him one of the strongest and the most fascinating characters ever caricatured on the silver screen. Daniel Day-Lewis is at the top of his game and virtually unstoppable as Daniel Plainview, a portrayal that not only resuscitated him as an actor, but also established him as someone who wouldn't leave a single stone unturned to bring his character to life and perhaps it is this very attribute that has helped him in his endeavor to be the absolute best at what he does. <br/><br/>Paul Dano is absolutely brilliant as Eli Sunday and has complimented Daniel Day-Lewis in every sense of the word in spite of the fact that he barely had a week to prepare contrary to Daniel Day-Lewis, who had a whole year to prepare. Eli Sunday is ambitious, enigmatic, placid, pesky and pusillanimous and despite being highly contrasting to Daniel Plainview, ironically has many similarities to him, especially the uncanny demeanor that helped them both to inveigle others. It is the chemistry and the ever growing tension between them that makes the movie haunting and spectacular. <br/><br/>There Will Be Blood is a morbid tale of greed, betrayal and obsession adorned by some great performances, visually stunning cinematography and masterful direction. Plainview owns a mine with potential silver deposits and his assiduity finally pays off when he discovers a silver ore. He sells it to acquire a crew to help him with the subsequent diggings in the mine. After the mine runs out of silver, oil is discovered in it and hence begins Plainview's journey of insatiable greed and morbid obsession. In order to acquire more oilfields and to strike out further deals easily, he adopts a young boy and names him as H.W. to help build a facade of a benevolent family man for himself. It almost takes him a decade to establish himself as a minor oilman, but this moderate success further intensifies his avarice. Subsequently, a young man named Paul Sunday (Paul Dano) visits Plainview's camp and offers to sell information about his family's ranch, which he claims to have an ocean of oil underneath it. Plainview and H.W. travel to the Sunday Ranch pretending to be on quail hunting while hiding their ulterior motive of verifying Paul's claim. Being as perspicacious as he was, it didn't take him long to find the vestiges of oil in the cracks formed due to the recent earthquake. He tries to inveigle the Sunday patriarch (who almost cried with rapture on hearing the offer) to sell him the land at a moderate price (which he calls quail price and not oil price), but is stymied by owner's ambitious son, Eli Sunday (also played by Paul Dano), who asks him to pay an additional ten thousand dollars towards the building of the Church of Third Revelation. Plainview reluctantly pays him five thousand dollars as advance and promises to pay the remaining amount once the drilling starts. Plainview assembles his crew at the Sunday Ranch and builds the first derrick. He also buys almost all of the land surrounding the Sunday Ranch so he will have not only those drilling rights but also the right to build a pipeline to the ocean to circumvent the railroads and their shipping costs. Eli wants to bless the derrick before drilling begins but Plainview rebuffs him. Using the money given by Plainview, Eli builds his church projecting himself as a preacher, faith healer and prophet. Soon the church has many followers, most of whom are Plainview's workers. Eli's increasing influence on the people and his display of false divinity starts pestering Plainview, who is further flummoxed by congregation's frequent gatherings (the daily prayers prevented the workers from taking desired rest, thereby decreasing their efficiency). Plainview beseeches Eli to make them less frequent, but Eli dismisses him with disdain. Plainview's ruthless ego is badly jolted by Eli's stubbornness and he brutally assaults him and even threatens to kill him when Eli asks him for the remaining money. Eli returns home all covered with mud after Plainview's assault and takes out his frustration on his myopic father, blaming him for acquiescing to Plainview's naked ambition. H.W. is deafened during an oil rig incident and starts behaving as a brat. Disconcerted by the change in the mannerisms of his son, he sends him away. Eli soon gets his revenge when a fellow named Bandy forces Plainview to get baptized at the Church of the Third Revelation (as a penance for a murder that Plainview committed and of which only Bandy knew). While baptizing him, Eli humiliates him by repeatedly slapping him and calling him a sinner for abandoning his hapless child. This incident further intensifies the hatred in Plainview and sets the tone for a deeply haunting finale when they meet many years later. <br/><br/>P.T Anderson once again proves his mettle as a director and manages to pack a punch with this poignant and a deeply disturbing masterpiece. The movie incredibly succeeds on every level and entertains immensely, while still delivering a strong message. It was undoubtedly the best picture of 2007 and one of the best of the decade. In fact, it was very remiss of the academy to keep up with its long earned notoriety and prefer a relatively mediocre 'No Country for Old Man' over this truly haunting masterpiece. <br/><br/>P.S. 10/10"
"DSampson612","9","868","1294","14 January 2008"," Remember Those Hollywood Studio Epics? Me Either. But We're Covered.
","The year I was born was the same year Predator and Robocop came out. When I was finally old enough to appreciate films, Little Nicky was in theaters. I know, believe me, I know; rocky start. And often I would watch older films, or specials on older films, and be dazzled. You know the ones. Remember when they made Spartacus? Remember sitting in the movies and watching Gregory Peck play Atticus Finch in To Kill A Mockingbird? Remember the first time you heard ""I could've been a contender"" through theater speakers? Well I sure as hell don't. But I'll tell you what, now I feel somewhat caught up. Let's begin with the obvious. Daniel Day Lewis. No one's arguing about this. The man is a veritable God among ants on the screen. He takes his role by the reigns and I don't doubt him for a second. In fact, at times, I was downright afraid of the man. Lewis gives what is easily, EASILY the best performance of the past five years. But let's get serious about it. Lewis' Daniel Plainview is the most convincing, awe-inspiring, and downright mortifying character to take the big screen that I can remember. Here, perfectly in his element and at his best, Lewis could go toe to toe with Brando and Kinski, playing a part that oozes enough skill and pathos to earn him a place among Hollywood's, and perhaps the world's, greatest performances of all time. He gives those of us who missed out on the craft, depth of character, and technique of classic cinema a chance to admire a tour de force portrayal of a memorable, identifiable, and completely despicable character, and it's so damned refreshing that I can't stop singing the man's praises. Paul Dano has been taking a lot of fire for this whole thing. People continue to spout their disapproval of the film's casting, saying that Dano has no business rivaling the seasoned Lewis on the screen. Listen, lay down your swords a minute and consider the obvious. The guy was cast opposite the performance of the decade, he's not going to outshine Lewis and you'd be crazy to expect him to. In fact, I think that he and Lewis' back-and-forths are the films highlights, as we see the juxtaposition not only in the characters themselves, but also in their acting techniques. And the cinematography? Welcome to the old days of film. The glory days of Hollywood. Anderson gives us one of the most beautifully shot and directed films in recent memory, truly at the top of his craft on this one. Every moment feels more epic than the last, until the film becomes such a towering cinematic spectacle that the end leaves the viewer exhausted. It's truly an experience not to be missed. Yeah, we missed out on A Street Car Named Desire. And Casablanca isn't gonna be in theaters again any time soon. But in the meantime, There Will Be Blood is just about as good, and will likely haunt our generation as much as the Hollywood studio epics of the past..."
"lamoreauxba","10","60","81","11 January 2011"," One of my top five of all time, For Film viewers not movie goers
","There Will Be Blood. Chilling, Sublime, perfect.<br/><br/>First I must say the Soundtrack is amazingly disturbing and sets the tone of the film from the first scene. Many forget the amount of mood that sound sets. <br/><br/>The film held me enraptured from first to last second.<br/><br/>The story is perfectly displayed. Ever thing is laid out before the viewer in an intentional pace. <br/><br/>The film is for viewers with imagination and foresight who can see through the shams of modern movie plot and into the realm of literature.<br/><br/>The acting is simply stunning. Daniel Day Lewis can portray lines with a single expression and does in this film.<br/><br/>I'm sure many will not enjoy this movie and all I have to say to them is go watch Transformers 2 again."
"helenkirkwood07","Null","229","356","18 February 2008"," Unapologetic Tour de Force
","PT Anderson's name already means something, or I should say something else. His self assuredness alone gives me shivers. A modern artist with such clear and severe vision of the world. Boogie Nights, Magnolia, even Punch Drunk Love have an Wellesian disregard for what's in or out. His films are landmarks that may infuriate some, confuse others and mesmerize the rest of us. Here, with the rigorous tale of an impervious oil man, PT Anderson outdoes himself. He has Daniel Day Lewis as his accomplice in a performance that would be as difficult to match as it is difficult to describe. There is a monstrous beauty here that not even a broken nose can disguise. The saga is filled with long silent moments of tension that take place in a cinematic canvas and an actor's head. PT Anderson must have known that this was going to be, not only not a mainstream opus but a hard pill to swallow. I for one stand up to applaud his daringness."
"toolfan-hess","10","561","942","6 November 2007"," A film that will leave film-goers pondering for a long time
","PT Anderson delivers perhaps his best work with ""There Will Be Blood"". Unlike ""Magnolia"", the film's daunting runtime is not very daunting whilst watching it. All acting in the film was solid, even the work of the child actors. Daniel Day-Lewis in particular delivered a truly phenomenal performance, capturing the power of greed, fear, insanity, and comedy simultaneously, at many points throughout the film. At no point does the time period distract from the power of the film. Sometimes period pieces cannot be appreciated because they delve too deep into historical details -- turning the experience into more of a documentary than a narrative set in the past. This is not the case for ""There Will Be Blood"", as human interactions are the focus of the film. Johnny Greenwood's chilling score is very strong, benefiting from the elegant minimalism that he show's in the band Radiohead. The cinematography is also spectacular. Robert Elswit beautifully captures the essence of the environment and the tension amongst the characters. All in all, this is truly a perfectly crafted film."
"tranquilbuddha","Null","382","636","27 December 2007"," Stunning
","This film raises the game for everyone out there. I have loved all of Paul Thomas Anderson's work, including his greatly underrated Punch-Drunk Love, but this is a huge leap from any of the previous movies into a realm, as others have said, inhabited by classics such as Treasure of the Sierra Madre - and then some. Every element of this film is astonishing, from the opening twenty minutes, which feature virtually no dialog, to Jonny Greenwood's score, which I have heard criticized as too imposing but which seems just about perfect to me (and brings to mind the non-Blue Danube elements of 2001 at its most experimental). Daniel Day-Lewis' performance is in a league of its own: his voice, his mannerisms, his physical movement, his stunted emotions, are flesh and blood, and hauntingly so, in a way that even Tommy Lee Jones in In The Valley of Elah (which I thought was a pretty staggering performance) can't quite attain. I will watch this film again and again simply to see something so raw and so moving and so gut-wrenching. This is why I love movies; this is what made me want to make movies when I was fourteen years old."
"pacific-oconnor","9","220","362","16 February 2008"," A Powerful Blow
","Who is Paul Thomas Anderson? There is something about him that does't belong to this earth. That could be a compliment or not, it's all up to us. That's what make his cinema so damn unique. At the end of the day it's all up to us. But the abrasive way in which he visits universes and throws his views to us is so powerful, so arrogant, so enthralling, so infuriating that the experience leaves you baffled and suspicious. but also enchanted, transformed. Here, Daniel's saga could very well be the saga of a Hollywood maverick. So little time for sentimentality. Daniel Day Lewis seems to understand it all and he adds his unmistakable humanity to another monster, after his butcher in Gangs Of New York. His performance goes beyond anything we've seen recently anywhere. From Upton Sinclair to Paul Thomas Anderson via Daniel Day Lewis an unmissable work of art."
"blake-91","10","383","670","27 December 2007"," Revitalizing, masterful, and utterly terrifying.
","What is evil? What is hate? How low can an individual go with one's actions and still be considered human....? These, quite possibly, are the biggest questions raised in There Will Be Blood.<br/><br/>Paul Thomas Anderson and Daniel Day-Lewis, the tycoons at the helm of this dig for moral oil, tell a story that takes the archetypal anti-heroes of 'Citizen Kane' and Travis Bickle of 'Taxi Driver' to a whole new, 21st-century level. The film, using Lewis's character Daniel Plainview, walks through incredibly dangerous cinematic territory that questions religion, plays with the nature of greed and hate and evil, and with it all, draws terrifying parallels to the world we live in today. The film and its main character claw so deep through the limits of humanity and the landscape of hell, that you'll be thanking the Good Lord for the silver screen that divides you from this horrible world Paul Thomas Anderson has portrayed. But despite how safe you may seem in your cushy seat, you will undoubtedly walk out of the theater with all kinds of new demons and ghosts buzzing in your head and ripping away at your subconscious. In this way, Anderson has abandoned his primary previous influence of Robert Altman to take more of a Stanley Kubrick direction, creating moral allegories that creep into your psyche and don't ever leave. You should be scared. Very Scared."
"Smells_Like_Cheese","10","51","81","27 January 2008"," Truly a piece of work
","A few months ago I saw the trailer to There Will Be Blood, at first I was a little put off, it looked very strange and a typical drawn out drama. But then a little later, I saw a different trailer that was much better and looked more interesting. So now it had all this hype and is now nominated for 7 Oscars, including best picture, finally it came to theaters in my home town and my mom and I just saw it. Now, I'm just going to get a complaint out, I think this movie was still a little drawn out, it kind of took on a Kubrick type of feel with the first twenty minutes that had no dialog. But that was the only thing that threw me off. While I'm not as in love with this movie as much as everyone else is, There Will be Blood is going to be a sure classic down the line. The direction, the acting, the script, the sets, everything about this film was done beautifully and shows the utter greed and madness that can turn men into monsters.<br/><br/>Daniel Plainview is an oil man, he's in the business with his son, H.W., and he goes around buying land very cheaply, and makes thousands and thousands of dollars when he strikes oil. But when he comes a town called Little Boston led by the tip of a boy named Paul, he buys the land promising the church that he will donate five thousand dollars to it. Eli, the leader of the church, claims he is a prophet and goes to the extreme to prove so with his followers. When Daniel's team is draining oil, his son is blasted away from an explosion of oil and looses his hearing, Daniel at this point just goes mad and meets a man who claims to be his brother, but he later finds out that this man lied to him. He abandons his son and is loosing all sanity, but when the church comes back to him, he claims he is saved. Years later though, he goes from business man to monster and is going to ""drink Eli's milk shake"", you'll see what I mean when you see the film.<br/><br/>There Will Be Blood is a film of utter perfection, the reason why I'm rating it so high is because it is a perfectly made film. There's nothing wrong with it, when I said it's a little drawn out, it's just my opinion. But Daniel Day Lewis pulls in a flawless performance and became Daniel Plainview, especially the end, he pulled in such a chilling side and didn't over do the dialog, which I'm sure any other actor would have done. But one performance I am particularly impressed with is Paul Dano's as Eli/Paul, Eli really got to me and was incredible during his sermons, he held his own up to Lewis. He's come a long way since the silent rebel in Litte Miss Sunshine. There Will Be Blood is a GOOD movie, I mean good in the highest regards, because how many of us can say when a film is just utterly good? Not too often. There Will Be Blood is going to be a good contender this year for the Oscars, but we'll just have to see who'll take the best picture award, because we have some good films that are competing.<br/><br/>10/10"
