"username","rating","helpful","total","date","title","review"
"Slime-3","10","127","154","17 May 1999"," No film is closer to perfect
","Take the story from a master like Kipling, give it to a director of classics like THE AFRICAN QUEEN, add a superb script that crackles with wit and cast two of the greatest modern day screen actors in roles that fit them like gloves. The result comes as near to the perfect action-adventure film as you will ever find. Kipling's rousing tale of two British soldiers in the days of high Empire keeps a tight hold of the viewer throughout. The twists of the tale are fascinating, the characters mesmerizing, the whole concept is so ingenious and full of potential that with such a team it simply cannot miss! Caine & Connery are superb together, oozing charisma and obviously enjoying themselves greatly as the two British NCOs.It's possible that neither has ever produced work to match what you will see here, it's wonderful to watch. Huston's direction is top drawer and the feeling of claustrophobic Indian market places and dusty railways stations is so strong it's a relief when the two heroes of the story make their ways into the wilderness to conquer a territory and ""be kings"". ""Billie Fish"", the stranded Ghurka soldier that the pair encounter high in the mountains produces a fine characterisation by Jaffery . His eye-rolling expressions and comic timing are inch perfect in his performance throughout. Perfect too is Christopher Plummer as Kipling himself. Indeed so convincing is he as this most archetypal Englishman that one is reminded how Huston considered casting to be the most important element of his job - to paraphrase, if you find the right actor for the role, he needs no direction! I can't think of a film that more consistantly proves how right he was!<br/><br/>Through battles, politics, greed and jealousy the two would-be kings gallop untill the final memorable explosive showdown. The last scene is perhaps the most effective and memorable of all. True pathos which tugs strongly at the heartstrings. A fitting end to a marvelous film."
"PJK","10","107","132","27 December 1998"," Unforgettable.
","The greatest ""buddy film"" of all time. What makes this so? First off, casting two real life friends, Sean Connery and Michael Caine. Second, all other ""buddy films"" are simply comedies. And while the Man Who Would Be King has some laughs in it, and Connery and Caine bounce off of each other almost as good as Abbott and Costello, the story itself is a drama. And what a drama it is. Two English soldiers set out to be the rulers of a country, but can anyone who was a grunt one day, and a king the next, become a King without getting an inflated ego? The answer is no and that becomes the ultimate test for these two friends. Terrific performances by Caine, Connery and even Christopher Plummer, who gives a brief, but good performance as Rudyard Kipling, the man who wrote the short story this film was based on. This film features perhaps the greatest ending to a movie ever made. You will never forget it, and you will wish that you had a friendship as strong as these two individuals."
"kcrawford","10","87","107","27 December 2002"," Exactly the kind of movie that they don't make anymore
","Truly, truly brilliant.  It is so rare that I see a film that I wouldn't change, and I honestly can't think of a thing.  Huston's films so often include that quintessential scene -- the one where his characters realize that they've lost everything, and respond with unbridled true character. Those who cry or bemoan the loss are beyond redemption.  But those who can laugh in the face of disaster, who can ask forgiveness for the patently unforgivable -- they are the greatest of Huston's figures, and perhaps the greatest characters of cinema.  Just as Bogart and Hepburn laugh while they lie in the bottom of a boat awaiting death, Michael Caine and Sean Connery face certain death in this film and respond with complete honesty and complete honor.  For all of their lies and arrogant ambitions, they are still a pair of b*****ds you would love to know.<br/><br/>Which brings me to the two incredible performances.  It is nearly impossible for such recognizable actors to fade into the guise of their characters. But Caine and Connery manage it, and with perfect aplomb.  As best friends, they are perfectly inseparable, and their innate connection makes for one of the most affecting male friendships in history.  Surrounded, with no reasonable hope in the world, Danny asks Peachy to forgive him for being ""so bleeding high and so bloody mighty."" And, of course, Peachy forgives him. These are men who sing boldly in the last moments of life.  God bless John Huston."
"cariart","Null","68","85","30 November 2003"," Grand Adventure, Huston-style!
","No director ever personalized a genre the way John Huston could. While some critics have claimed his style was a 'lack' of style, the opposite is actually true; his sense of irony, love of the absurd, respect for personal codes of honor, and twist endings that always remind us that the true value of a journey is not arriving at a destination, but in the 'getting there' all set apart his best work from that of his contemporaries. Even his lesser work has value, and his best films, which certainly includes THE MAN WHO WOULD BE KING, are unforgettable.<br/><br/>The tragicomic tale of two ex-Sergeants turned confidence men with a grand scheme to fleece a near-legendary kingdom had been a 'pet' project of Huston's since the forties, and he'd spent years tinkering with the script, planning to film it with Clark Gable and Humphrey Bogart in the leads. With Bogart's death in 1957, he'd considered various other match-ups (including Richard Burton and Peter O'Toole), until he found the ideal pair, in Sean Connery and Michael Caine. Connery had just finished the spectacular THE WIND AND THE LION (in which Huston played a small, but memorable role), and the Scot had often been compared to Gable with his dark good looks, machismo, and lack of pretense. Michael Caine, a long-time friend of Connery, was one of the industry's busiest actors, and had already proved himself adept at playing both soldiers and con men. Together, Connery and Caine had a camaraderie and chemistry that even Gable and Bogart couldn't have equaled, and Huston was ""quite pleased"".<br/><br/>Christopher Plummer was another inspired piece of casting, as the legendary author Rudyard Kipling. Bookish, with a keen intellect and rich sense of humor, Plummer's Kipling, sharing Masonic ties with the future 'Kings', is the perfect foil for the duo, offering sound advice which they totally disregard, with a wink and a smile. As Dravot (Connery) tells him, ""We are not little men"", and India, bound up in British bureaucracy (as well as becoming too 'hot' for them) could never provide the immensity of riches they dreamed of.<br/><br/>Huston eschewed the 'traditional' approach to adventure films, with cardboard heroes performing near-impossible deeds until the inevitable 'happy ending', and grounded his story in reality, which disappointed any viewers hoping KING would simply be a variation of GUNGA DIN. But in not romanticizing the story, he gives it a sense of immensity and the exotic, a richness of character, and an understanding of human frailties that far surpasses a typical Hollywood product. While Dravot orchestrates the pair's ultimate ruin by taking his 'godhood' too seriously (as he turns 'noble', trying to bring order to his 'kingdom', and decides to start a dynasty by taking a wife), you can understand why Carnehan (Caine), seeing their 'get rich' scheme disintegrate, would be anxious to leave, but also why he would forgive his friend, when they face torture and certain death. Loyalty, to Huston, is not lip service, but a true measure of a man. While Dravot and Carnehan are certainly not role models, their love and respect for each other transcends their faults, even their lives, putting the film's final scene, as a physically crushed Carnehan leaves his 'bundle' for Kipling, into perspective. It is a moment you won't soon forget.<br/><br/>
THE MAN WHO WOULD BE KING proves, yet again, why John Huston, as he once described his friend, Humphrey Bogart, is ""irreplaceable""."
"samsloan","Null","171","240","8 March 2004"," This story is about a real place!
","What most viewers do not realize about The Man Who Would Be King (1975) is that it is not about a legendary place, although Rudyard Kipling may have thought so when he wrote the story, because no white man had ever been there and returned to tell about it.<br/><br/>The place was then known as Kafiristan and is now known as Nuristan. It is in Eastern Afghanistan next to Chitral, which is in Northwest Pakistan.<br/><br/>Place names in the movie, such as Kamdesh and Bashgal, are real places in Nuristan. The explorer Robertson, whom Billy Fish reports has having died, did not die in real life but was rescued by a British military force in 1895, after Kipling wrote his story.<br/><br/>The people of Nuristan are believed to be descendants of Alexander the Great, who came there in 328 BC, just as the movie states. They had a pagan religion as the movie describes until they were forcibly converted to Islam in 1892. There are still some believers of the old religion in the Kalash Valleys of Pakistan.<br/><br/>For more about these people see http://www.samsloan.com/damik.htm<br/><br/>I know about all this because I have been there and I married a woman named Honzagool there. She did not bite me as did the wife of Sean Connery in the movie, however.<br/><br/>Sam Sloan"
"Arangalad","10","89","123","15 January 2002"," Not the recognition it deserves
","For some reason, every time they decide to show this movie on a Swedish TV channel, they do so in the middle of the night, when everyone's asleep. I'm getting angry everytime I see that: because this is a great movie that hasn't really got much recognition (maybe it's like this only here in Sweden). You shouldn't have to miss out a movie this good just because you haven't heard of it.<br/><br/>That said, I will concentrate more on the movie. It's based on a short story by Rudyard Kipling, but this is one of the few occurances where I find the film better. It's an amazing story set in India from when it was under British rule. As the main characters we see Sean Connery and Michael Caine, and they do great roles. I'd always known Sean Connery was a great actor, but I hadn't seen Caine's potential until I saw this movie. Their characters' friendship makes this a warming movie, but at moments it's also quite sad. Besides Connery and Caine, it has many memorable characters, like Christopher Plumming as Kipling.<br/><br/>Stan Huston directs, and I think it shows. The environments for example, really are outstanding; the icy mountains, the crowded market and the Pakistan deserts. When I had finished watching I was overwhelmed, it felt like one of the greatest stories ever told, much like the feeling I had after watching Lawrence of Arabia and Dersu Uzala. There's really nothing that goes against this movie, and needless to say I gave it 10/10."
"jay4stein79-1","Null","55","75","29 November 2004"," Adventure! Excitement! Exotic Locales! You too can experience these in the Queen's Army!
","My friend threw this DVD at my head one night while we were arguing about film. I said all adventure movies left me feeling a little hollow - adventure movies tended to abandon story, really, in favor of plot (important distinction: stories are interesting, plots boring; consequently a film with a story to tell is better than a movie with a plot to move forward). I think he hurled the disc at me out of pure frustration with my point of view. In doing so, he also won the argument.<br/><br/>The Man Who Would Be King is the single greatest adventure film I've ever seen. It's a story - It's a tale - It's not a series of plot developments (to me, to go further with this plot/story dichotomy, a plot is mechanical (and sometimes that machine is well-oiled) while a story is organic and feels less contrived (though the story, as organic matter sometimes is, can be rotten)). It's a very good story at that. The Man Who Would Be King (I believe as a result of its derivation from Kipling) has a depth and development of character that is foreign to most adventure tales. Few films are as rousing as this and few films that are this rousing have nearly as much to say about mankind.<br/><br/>John Huston, of course, is a master of instilling greatness into traditionally tedious genres. He transformed the mystery, the western, the swashbuckler. Why not the adventure story too? As evidenced in The Maltese Falcon and Treasure of the Sierra Madre, Huston can take what might wind up a plot and transform it into a story. He understands that characters - human, conflicted, devious characters - are essential to creating genre pictures that transcend their genre. Without Huston, this film would have undoubtedly faltered; his steady and determined hand guides this film from the hazards of superficiality without sacrificing entertainment and adventure.<br/><br/>He does not create a great film single-handedly though, as Connery and Caine, who both give tremendous performances, bestow upon Peachy and Daniel immense likability despite their scoundrel airs. Caine proves again why he may be the greatest living British actor and Connery reminds us that there's more to him than 007.<br/><br/>As I said, this is one of the greatest adventure tales brought to the screen. Though some may disagree, in particular my friend who threw the DVD at my head, it's better than any of the late 30s swashbucklers and better than most shoot-em-ups made since."
"j_beaudine","10","19","24","6 March 2007"," John Huston: A Man Who Was King
","It took John Huston more than 20 years to bring one of his favorite stories, ""The Man Who Would Be King,"" to the big screen. Originally, he had Humphrey Bogart and Clark Gable in mind for the lead roles. Sean Connery and Michael Caine would end up in the roles. Overall, it was worth the wait.<br/><br/>Based on Rudyard Kipling's short story, ""The Man Who Would Be King"" is a tale set in the 1880s at the height of the British empire's rule in India. Daniel Dravot and Peachy Carnehan (Connery and Caine respectfully) are two soldiers turned con men who decide to conquer Kafiristan, a remote section of Afghanistan. Once there, the two men plan to train the natives into an army, become rulers, and steal the country's treasure left behind by Alexander the Great. However, due to a misunderstanding, Daniel is crowned king and is seen as a possible god and descent of Alexander. Peachy wants to stick with the plan, but Daniel soon becomes consumed by his new power.<br/><br/>In a decade that evolved around the 'New Hollywood,' Huston was one of the very few filmmakers from the Studiio-era to be able to continue his craftsmanship and turn out some fine stories. In a way, ""The Man Who Would Be King"" is a big screen epic presented on a smaller scale. Despite all the breathtaking scenery and fine set pieces, it ultimately is a character driven story about two friends staying together until the end. <br/><br/>The performances of Connery and Caine rank among the best work from their distinguished careers. Christopher Plummer also gives a fine performance as Kipling himself. Huston, who always seemed to adapt other's materials successfully, achieved one of his most personal projects into fine perfection. With beautiful locations and a wonderful musical score by Maurice Jarre, ""The Man Who Would Be King"" is not only one of Huston's best, but is also one of the best films to come out from the 70s that still had a certain feel of stories that had a feel of a time long gone when film audiences were able to enjoy films that had everything. Adventure, comedy, drama, suspense, and so forth. I guess you could say 'They don't make them like they use to' after viewing this film from one of the great film mavericks of all time."
"Nazi_Fighter_David","8","30","41","6 September 2005"," Superb cinematography... Sweeping score... Great acting...
","'The Man Who Would Be King' takes us back to Queen Victoria's India and the ambitions of two former sergeants in Her Majesty's army to set up their own empire... The story begins as a crippled old beggar gets into Kipling's editorial office at the Northern Star in Lahore late one night and unfolds an incredible story...<br/><br/>The pitiful beggar is actually Peachy Carnehan (Michael Caine), or rather, what is left of Peachy, now so disfigured and a little insane...<br/><br/>Rudyard Kipling (Christopher Plummer), after the shock of recognition, recalls their first meeting, when Peachy stole his watch several years earlier on a crowded train station... He introduces his friend Daniel Dravot (Sean Connery) to him and explains their plans to conquer the primitive areas of northern India and set themselves up as rulers...<br/><br/>Later, the two likable Army buddies tell Kipling something of themselves: ""The less said about our professions, the better, for we have been most things in our time. We have been all over India. We know her cities and her jungles, her palaces and her jails."" To which Peachy adds: ""Therefore we're going away to another place where a man isn't crowded and can come into his own. We're not little men and there's nothing we're afraid of.""<br/><br/>'The Man Who Would Be King' is an ambitious fable, with superb cinematography, a sweeping score, an Oscar-nominated script and great acting... <br/><br/>Caine's wife, Shakira, makes her screen debut, playing a beautiful maiden who turns the head of Connery..."
"j_loome","Null","48","69","7 June 2003"," A work of genius
","Outside of the obvious reflections on the immoral and absurdly hypocritical nature of early British colonialism, it's just a damn entertaining movie.<br/><br/>But you have to think that Rudyard Kipling, who grew up under British rule in India, was certainly trying to shake some sensibilities when he first wrote the story as part of an 1890 package called The Man Who Would Be King and Other Stories, nearly a century before it was made into a film and during an era when the British Empire was still very much a reality.<br/><br/>From the perceptive realization that even the staunchly important Masonic Lodge -- which had infilitrated every aspect of Britain's upper classes -- could be easily corrupted; to the arrogance as Sean Connery's character Daniel Dravot, who elevates what he sees as mere social superiority into a god-like status; to the inevitable humbling of both men at the hands of the 'savages' they profess to rule, the film is ultimately about the humility all men should exhude, particularly in the face of the unfamiliar.<br/><br/>Kipling's tale also preached tolerance, though you might not consider that to be the case based on the film's climax:   consider that if Daniel and Peachy had shown an iota of respect for the religion that they instead decided to fleece, how differently the tale might have played out.<br/><br/>The film owes much of its success to the chemistry between Caine and Connery, who regardless of later plaudits, gave the finest performances of their careers. Connery is particularly nuanced, with Daniel Dravot starting the tale as a somewhat lackwitted second fiddle to the scheming Peachy but later seeing his limited vision help him surpass his friend in terms of villainy with an equally heavy price. Caine plays, to some degree or another, the same charming British sheyster/teddy boy he popularized in the Harry Palmer films. But without a backdrop of similarly disaffected cockney bad guys, it's stunningly effective.<br/><br/>John Huston's direction is among the best of his career, and in terms of his ability to use both sprawling vistas and tight, almost claustrophobic photography, owes a nod to his earlier work, including The African Queen, Night of the Iguana and the Treasure of the Sierra Madre. As examples, witness the zenith of Peachy and Daniel's hazardous trek through the mountains played out in full panoramic detail, only to be followed 90 minutes later by the tight shot of Kipling's face, the revulsion fairly etched into every crease as we reach the climax.<br/><br/>But perhaps the true hero of this film was Boaty Boatright, who also cast Connery's classic ""The Wind and The Lion."" He managed to take some of the most strident, forceful personalities in the film industries, threw them together and came up with a film about humility. Magic."
