"username","rating","helpful","total","date","title","review"
"havenferrer","10","79","96","23 February 2019"," Everyone that rated this below a 7 are why can't have nice things.
","Oh my god. This has to be the most misunderstood Pixar film ever created.
I never realized how much hate this movie had gotten until now, but, reading through the reviews, it just isn't justified.
All of these are parents complaining about it being too intense for young children, but, this film isn't for them. I found that it reached out to a completely new audience, one that Pixar hasn't really touched upon recently, and that is pre-teens and teenagers that suffer from depression.
I am now 14 years old, and this film came out at just the right time for me, when things were taking a turn for the worst. I was going through depression and suicidal thoughts for reasons that I don't want to talk about, around the time in which this film was released. I hadn't seen a disney film in quite a long time, and my little sister really wanted to see this one.
Looking at all the generally positive feedback, I decided to go see it with her.
The opening sequence was possibly one of the best Pixar had done since Wall-E. It was beautiful and cinematic, and just adorable. Riley had some pretty gorgeous facial expressions and detailing for an animation standpoint.
As the film moved on, I started to realize how well this film related to my life, and how well riley related to me as a character. Pixar was very subtle with it, but, managed to develop Riley's character so well, with her barely being on screen.
The characters themselves were shockingly complex, especially sadness and joy. (Joy has a brilliant character design, with blue eyes and blue hair which we'll get to later.)
The main plot basically revolves around a pre-teen going into a state of depression after moving to her new home, away from her friends, her hockey team.
Depression, in my experience, isnt what it says it is. To me, it is a complete lack of any feeling whatsoever. When joy and sadness basically lose control of riley for awhile, this perfectly captured the ""what is going on inside their head"" meaning at the beginning of the film. Joy and sadness are the two most important emotions, and riley didnt have them anymore. A complete lack of emotion, a state of depression.
The rest of the film after that was enjoyable, and a certain character whom I was almost sure going to be a twist villain after that monstrosity that was 'Frozen', turned out to be my personal favorite character in the film. Everyone's had some sort of imaginative personality growing up. I had one.
It helped me cope with stress, I talked to it when I was mad about something, and whenever no one seemed to want to talk to me for whatever the reason, she was always there. That's why Bing Bong's death was just so hard to watch, because of how painfully true it is. I guarantee that 99% of the people on earth have completely forgotten about their imaginative friends growing up. The thing is, he didnt die, he was completely forgotten. When you think about it, it seems so much worse than dying. After that, joy seems to have forgotten about him as well. He isnt mentioned ever again in the movie, but, I'm kinda okay with that. If the movie forgets about him, the audience does as well, which creates an illusion.
Now, let's talk about the ending.
When riley returns home to her worried parents, she seems emotionless. Then I realized something, a slow realization that happened throughout the final scene in the film.
True happiness cannot exist without sadness.
This realization is depicted in one of the most brilliant forms ever, mixed emotions. As riley is growing up and maturing, mixed emotions become apart of her and her core memories. This symbolizes maturity and complexity as you grow up.
This film got me to open up to my parents about my depression and anxiety, and I feel like I have matured just like riley did in the film. Pixar did a brilliant job as depicting our emotions, personalities, and maturity. I love this film so much, and it changed my life."
"gloriesalbuainain","9","27","31","14 June 2019"," I cried like a baby..
","I watched the movie long time ago, and I've just rewatched it today.
For kids it will be a funny movie with no meaning maybe!!
But for an adult, its so true!! You lose your childhood personality you change you feel sad, i mean it literally touches my soul
Great movie for both kids and adults."
"james-calver","9","396","666","9 July 2016"," I feel like everybody has missed the point
","I am not normally one to write reviews, but I couldn't help reading several for this film on this site that just did't seem to understand where I think the film was supposed to be coming from.<br/><br/>The majority of the complaints I saw were that the film was 'too depressing for a children's film', but whilst I see where they are coming from in some regards, every child who I have seen watch this film (I work in a cinema) has absolutely loved it, and laughed out loud almost constantly. They are not old enough to realise the message the film is trying to convey: that life isn't all about happiness. I applaud the attempt from Pixar to make a film that is not only hilarious in places, but is also a major comment on what life is like to be a younger teenager, transitioning through one of the most important moments of life. <br/><br/>From a more personal perspective, why should everything we show our children gloss over the reality of life, and try to make them believe everything is rosy 24/7? Again, what this film does brilliantly through the message I took away at the end was that life will never be 100% full of happiness, but that is fine. Why does it have to be? A little bit of sadness is necessary. If a person was never sad, they would be inhumane. <br/><br/>Overall then, I suppose my review is more of a comment on the type of film we exhibit to children, and how the Nanny-state we live in looks to protect them from most of lives inevitabilities. Either way, what can't be ignored is that this film is equal parts sad, and equal parts what I am sure will become a timeless classic in years to come."
"Sweetigal85","10","42","67","28 May 2017"," A brilliant depiction of adolescence
","As an adult, I love animated films but the trailers made this one look like it was really just for kids. I gave it a shot anyway and I didn't expect to love it--but it's depth absolutely shocked me. Not only is it a whimsical, funny film, but the poetry is off the charts.<br/><br/>The creators of this film truly remember what it was like to be a child and continue to express understanding to children's feelings today. Riley is a light hearted little girl on the cusp of adolescence, approaching that turbulent age where everything changes and it seems like there is no one there to help you.<br/><br/>Riley's emotions are portrayed using colorful creatures inside her head. Joy has been the ringleader of the emotions up until now, but Riley's life changes are starting to shake things up and Sadness has begun to take over. Truly amazing how this was depicted! Absolutely brilliant.<br/><br/>As a kid, adults are often dismissing your emotions and never listening to you when you need them most. Often times kids cannot express themselves and turn to anger, panic or disgust, all emotions that will only heighten your problems as Riley comes to learn.<br/><br/>When Joy finally lets Sadness take the reins and Riley opens up to her parents and they actually LISTEN to her...it is breathtaking.<br/><br/>Don't miss out on this movie, definitely a must see! Amazing voice cast, beautiful visuals and a wonderful message to people of all ages."
"acohen090","10","130","234","28 July 2018"," How?
","Wtf people. I was just reading like several one reviews and how do people get a movie so wrong?! It should be pg-13? It's not for children? Are these people out of there freaking mind? For all of you who feel that it's not for children, take a look again. <br/><br/>You severely underestimate of how much emotion a child can handle and you would be suprised. The 1 star reviews are almost laughable about how inaccurate they are. These people should be locked up in a jail for attempting to stop bringing this movie to the world. I absolutely love Inside Out, it was one of my favorite movies of 2015, and I hope you 1 Star people live your lives full of misery."
"Animany94","10","50","85","23 November 2017"," Mandatory watch for children and parents alike.
","I did exactly what I was supposed to when watching this brilliant movie, I felt all the emotions at some point. <br/><br/>Pixar did it again with Inside Out. For a long time I had stubbornly repeated that Toy Story would always be my favourite from Pixar, but I changed my mind shortly after watching this one. <br/><br/>Like Toy Story you were offered a setup every adult can identify. Growing up learning how to control your feelings and learning the importance of every one of them. It is okay to be angry, sad, happy and afraid as long as we are taught how to manage them. <br/><br/>The idea of having this control panel inside a human body has been done before by Osmosis Jones (2001), but let's say with much less success. Inside out takes it to the highest level of perfection. <br/><br/>I loved the way Pixar made this world inside the main character of Riley, it is very creatively done and was in some ways just how I had imagined it. I must admit that I cried a couple of times during the movie, because it has some really touching moments. <br/><br/>You should be feeling all emotions when watching Inside Out. It is a must watch."
"Aang1","10","217","421","10 July 2015"," Amazing movie- Those who bash it because it is not a kid's movie, please stop
","I've noticed a plethora of negative reviews all saying the same thing- their kids did not enjoy/ understand the movie and it was too dark. Yet they also say that the movie was well made and had an excellent concept. My question to these people is this- If you wanted to see a happy meaningless movie with adult toilet humour, why didn't you take your kids to see Minions? Inside out is for those who like quality cinema, to be entertained as well as taught challenging concepts. It is an artistic film. Why do you people always have to assume that all animated films have to be for kids and filled with stupid toilet humour? This is Pixar we are talking about, those who have created Wall-E and Up. Review this movie on its own merits, rather than be biased in your judgement that the film was too dark and confusing for kids. It was never marketed as a film for toddlers and little kids. I went with my brother who is in high school and it was one of the best experiences we had in the cinema in a very long time. Kudos to Pixar; it was truly an amazing, advanced conceptual, artistic film."
"Heinzwill","10","70","129","29 July 2016"," Beyond Words...
","It's been nearly a year since I first saw this film. I would say I had pretty low knowledge in films before I first saw Inside Out (not to say that I'm highly intelligent on films now). I only saw about 200 films prior. I hadn't seen a lot of classic films or even know that film can be an art form just through its camera work among other aspects. So you could say that I can't speak for everyone on my views of this film. And you may be right because opinions are subjective anyway.<br/><br/>This is my favourite film ever.<br/><br/>Like I said above, I didn't see a lot of films that were deemed as masterpieces at that time. While I still have a lot more to see, I can say that I have caught up with many notable ones now. I've seen The Godfather. I've seen 2001: A Space Odyssey. I've seen Casablanca. I've seen The Shawshank Redemption. I've seen Pulp Fiction. I've seen Lawrence of Arabia.<br/><br/>Yet this is still my favourite film of all-time.<br/><br/>80 years from now, this won't change. I felt something extraordinary that will never be felt again. This to me, was a revelation. In honest words I've never experienced something like this before. Only because of Inside Out I was able to kick myself off of a serious depression I had for years, understand the meaning of feeling, feel sympathy to why people act the way they do, be interested in films. In fact, I went and watched the films I mentioned above because of Inside Out.<br/><br/>Ever since that late July of 2015 I had been compulsively obsessed with Inside Out to the point where I checked its Oscar chances, IMDb rating, Rotten Tomatoes rating and box office grosses to the point where I felt like I had to stop myself from doing as when seeing anything negative about it just makes feel let down and quite sad about it. It's still something that I'm trying to quit but obviously it's not going that well (ie. this review after one year of the film's release).<br/><br/>Inside Out taught me more about depression, empathy, importance of sorrow and interpersonal relationships than any books, talk shows, real-life stories or cat posters could ever dream of. It made me want to become a filmmaker because if this much craft and intelligence can be put in a film, then sign me up to the industry because I want to be a part of it. I don't want to talk about the story or the technical aspects of Inside Out because everyone has talked about it already.<br/><br/>In the course of less than ten months, I've see this film six times. That's more than any other film during the same period. It's a true testament to its strength and impact on me that's hardly ever going to fade away. I know this isn't the case for everybody. I keep trying to find anybody else who had the same experience as I did walking out of this film for the first time. I yielded only little results and although it brings me down a little since I don't really have anyone else to relate to, I keep telling myself, that no matter what happens to Inside Out in the future, whether its Rotten Tomatoes score or IMDb rating or its overall stature among the general public, whether it gets worse or better for it, this will always be favourite film of all-time. Nothing will change that and I have to let go of everybody else's opinion whether or not they had similar emotional experiences towards it.<br/><br/>You can vote ""not helpful"" on this review all you want (which seems to be a recurring case for all positive user reviews here.... I wonder why...) but it's not going to matter anyway. This is a beautiful film that will resonate in me always.<br/><br/>I will never forget Inside Out."
"OliverGinger","10","357","736","20 September 2015"," Tears of Joy
","Before I start, I will say this; I'm writing this after coming back from a second viewing of Inside Out. Both viewings were out of choice. That's not a unique thing, but I very rarely watch films more than once at the cinema, mainly because life is short, or rather, life is too quick for me. But there's two main reasons why people watch some films more than once at the cinema, especially where I come from; either the film was interesting, detailed, or multi-layered and needs to be seen again to sink in properly, or, it was really, really good.<br/><br/>In this case, for me, it's the latter. That's not to say that the film isn't interesting, detailed or multi-layered, but the reason that was repeating in my head to see it again was 'it's really, really good.' But is it? Yes, yes of course it is... Speaking with a bunch of friends with whom I saw it the first time, a risky phrase was unanimously agreed upon, which was that we 'trust the Pixar team to do the right thing.' Needless (totally needless) to say that expectations were high, and frankly, they were surpassed.<br/><br/>Even though the film is what we come to expect from Pixar (the universal moral themes, the perfect balance between comedy and sadness, and visually stunning animation and action sequences), I didn't feel that I had seen it all before, and neither was it repetitive nor 'ordinary'. The film hits all the high notes, with perfect intonation, and with discipline and passion. As touched on before, the balance between humour and sadness is strong and impressive; the amount of emotions that the film displays and takes us through is varied and immersive, yet not overwhelming. The film executes such clever ideas with simplicity and ease, leaving us to feel for the characters rather than worry about the 'science' of it all, or even being worried about 'not getting it'.<br/><br/>The animation is constantly eye-drawing and detailed; the characters' glistening skin is particularly wondrous. And what great characters they are. Riley is brilliantly sympathetic throughout, even with her difficult mood swings, and the supporting characters are perfectly entertaining. One might think that the superficial nature of the characters (Anger is angry, Fear is always scared etc.) would become old quickly, however the fun never diminishes, thanks to a witty script, expressive animation, and very strong voice performances from the entire cast.<br/><br/>However, to top all this off, the real gem comes from the character of Joy, surely a strong contender in the list of Pixar's greatest characters. Even though we are inside the head of Riley for the majority of the film, and the events that drive the movie are essentially her reactions to her new world (moving from Minnesota to San Francisco), the story is Joy's. Being probably the most flawed character in the film (paradoxically, maybe), it's her journey we care about the most, and she ends up being the most in-depth character in the film, occasionally questioning her actions in the first half (well, the cynics will be), and becoming the most sympathetic by the end. Amy Poehler's outstanding performance makes Joy simultaneously the strongest and weakest character in the film (emotionally, that is).<br/><br/>After all of this, the freshness of the ideas, the simplified neuroscience, the technical brilliance (saying that, Giacchino's score is probably the most subtle thing in the film, exquisitely putting the finishing touches on the most emotional scenes), fleshed out characters and universal themes, all of this comes together simply to entertain us, to let us escape, and to release us emotionally, which it does by making us laugh and cry in an even and fair manner.<br/><br/>And you will laugh. And you will cry. And it is fun to do so. Thank god we're living in a time when Pixar is making these films."
"crimson_knight_7","9","192","388","24 June 2015"," Absolutely Brilliant!
","For every child, growing up can be exciting, confusing, and difficult. For Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco, Riley is directed by her emotions, Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith) in Headquarters Control Center inside Riley's mind to help her overcome everyday life. However, Riley and her emotions struggle to adjust to Riley's new life in San Francisco and emotional disorder arises. Although Joy, Riley's main and most fundamental emotion, tries to keep things optimistic, the emotions fight on how best to navigate Riley's new world.<br/><br/>After watching ""Inside Out"" with my wife, we both agreed that ""Inside Out"" is the perfect Pixar Animation movie for any family on a night out. It was both imaginative and relatable for both children and adults. I never thought ""Inside Out"" would be this enjoyable, but I was able to experience every emotion of ""Joy"", ""Disgust"", ""Anger"", ""Fear"", and ""Sadness"" for each and every moment of this film. At the end of the night, I was pleasantly unsatisfied because I wanted to watch the movie again and again. Parents, if you're looking for a fun filled movie night with your children, this movie will not only please them, but you as well.<br/><br/>A Definite 9!! Well done Pixar!"
