"username","rating","helpful","total","date","title","review"
"MR_Heraclius","8","60","67","24 February 2020"," Not as good as the first 2
","Definitely not my favorite of the 3 but it's hard when the first 2 were just that good. It still portrays well, from my historical knowledge, much of the struggle of the mob families to legitimize their business dealings and try to enjoy life in the later age of the mafia in America. Al Pacino performs brilliantly and I enjoyed Joe Mantegna in his roll. Definitely worth the watch if you were a fan of the previous 2 films."
"tfrizzell","Null","501","633","13 October 2001"," Outstanding, But Sadly Forgotten and Somewhat Misunderstood by Many
","Many believed that the series was complete in 1974. Even Francis Ford Coppola thought that another installment was unlikely. However in 1990, some 16 years later, ""The Godfather, Part III"" was released with results that few could have perceived. The film was not very successful at the box office and many who did see the movie said ""ho-hum"". The critics were also indifferent to an extent. A Christmas release would create enough steam for the film to achieve a best picture nomination and seven nominations in all from the Academy (it failed to win any though). Of course ""Dances With Wolves"" dominated the night and that film along with ""GoodFellas"" are considered the class acts of that year. Why has ""The Godfather, Part III"" failed to achieve a following like its two predecessors (parts I & II)? I am not sure I can answer that question. Michael Corleone (Al Pacino) is becoming an old man and his health is slowly worsening. He wants the family to become 100% legitimate and even makes a deal to link his finances to the Vatican. However Michael has become a bit naive and everyone double-crosses him. Now it appears that the only answer is to get back to the old ways. Younger sister Connie (Talia Shire) believes that Michael has grown soft and that Santino's (James Caan from the first film) illegitimate son should take control (Andy Garcia, in his Oscar-nominated performanece). He is ambitious and has the short fuse that his late father had and this is going to lead to fireworks for the family. He also starts seeing Michael's teenaged daughter (Sofia Coppola, Francis Ford's real-life daughter) and a romance blossoms. Meanwhile crime bosses Eli Wallach and Joe Mantegna pose threats to the Corleones. Kaye (Diane Keaton) has divorced herself from Michael and their son (Franc D'Ambrosio) has somewhat sided with her. Michael's health takes a turn for the worse as he actually goes into a diabetic coma for a time during the film and when he does recover (not completely though) he starts to reflect on a life of loss. The ordering of Fredo's death (John Cazale) in the second installment and his Sicilian wife's murder in the original haunt Michael and he tries to come to terms with his life, but learns from a Catholic cardinal while in Sicily that he deserves all the suffering he experiences and realizes that his suffering will be even greater in the future. In fact there will be a finale that will be the ""fatal nail in the coffin"" for Michael. ""The Godfather, Part III"" is focused on Michael and that is why it is unique to the series. The first two sported so many rich characters that it was impossible to focus on just one. This film could be best described as ""Reflections of a Life of Loss"". The film is excellent and even though it is likely the weakest of the three when you compare them, it is somewhat unfair to put the three ""Godfather"" movies together because they can all stand on their own. Great movies stand on their own and ""The Godfather, Part III"" does just that. 5 stars out of 5."
"tazamaster","10","441","588","11 December 2004"," It really isn't that bad..
","Having heard the endless amount of critique and insults that the last part of the Godfather saga carries.. I have to disagree. Although people seem to love to hate Sophie Coppola and say she ruined the film, I think her part alone wasn't that frail it'd ruin the entire cinematic experience. Saying that is just humorous. Also, the absence of Tom Hagen played by Robert Duvall is really a loss and even I think this film would've been a lot better if there was him in it.. but he got too greedy and couldn't make it into the movie, and that's that. I'm not going to judge a movie by what it could have been, but what it is and how good it ends up being.<br/><br/>Despite some shortcomings, Godfather Part 3 is a decent ending to the trilogy. While it may have been an attempt to cash off the audience, they still have Coppola bring us his finest directing. I found Al Pacino's performance extremely satisfying and even terrifyingly so. He embodies the mistakes and losses of his life with excellent skill, showing us a don that has lost his health, the loved ones of his life and even the respect for himself. While I never found Diane Keaton's performances in the saga that good, she still fills the spot required, same goes for Talia Shire, whose role in the ending finale of the film really came as a surprise to me - which was a good thing. I didn't find her role in Part 2 too appealing but in this one she has more character, more importance. Sophie Coppola was OK, like I said a lot of people have complained about her acting skills and I gotta admit she was a little ""stiff"" or sorts in some scenes but it's not notable all the time and it didn't spoil any moods for me. Andy Carcia was just excellent, my favorite add to the saga cast, playing the son of his father with excellence.<br/><br/>So, umm.. this film is perfectly fine. The ending finale was tremendously well shot and very climatic, filled with a lot of excitement. I'm telling you this movie is a great ending to the saga even because of that one particular scene so just go see it, despite what a lot of people have said about, badmouthing it for faulty reasons.. it brought a tear into my eye. It did."
"ccthemovieman-1","7","283","382","6 January 2006"," Unjustily Criticized
","I stayed away from this film for a long time, doing a dumb thing: listening to the well-known film critics.<br/><br/>When I finally got around to it, I was very surprised. It was a good film. Not great, not intense as the first two Godfather flicks, but definitely a lot better than advertised.<br/><br/>Many people said this was filled with anti-Roman Catholic propaganda, but I didn't it find that way. Yes, the ""Vatican bank,"" whatever that is, was portrayed as not on the up-and-up, but it was a little confusing to follow, maybe too confusing to get offended! Actually, there were some positive things, religious-wise, with Al Pacino's character, who sought forgiveness for his past sins and made a few very profound statements such as, ""What good is confession if it isn't followed by repentance?""<br/><br/>Anyway, Pacino's acting talents are the main attraction in the lower-key, more cerebral Godfather film. There isn't that much action but when it occurs, it's pretty violent. As with the other two films in the series, it's nicely photographed with a lot of nice brown tints.<br/><br/>Finally, director-writer Francis Ford Coppola took a lot of flak for putting his daughter in such an important role but I thought she (Sofia Coppola) was fine and - like this film - unfairly criticized."
"Nazi_Fighter_David","8","189","255","28 March 2001"," Visually wonderful and of great importance!
","""The Godfather III"" is a beautiful film, visually wonderful, and of great importance, completing the tragic saga of the Corleone family... They are so tempting these Byzantine intrigues: Alliances betrayed with violence; assassins dressing up as priests; knives and poison invading the opera house; someone, in the deepest shadows, always whispering devious means...<br/><br/>Coppola's intention was clearly aimed at offering a story of redemption... Nominated for 7 Academy Awards, the motion picture reflects Coppola's masterful film-making... <br/><br/>Fascinating threads of continuity support this illusion: The bridesmaid (Jeannie Linero) who had a hurried meeting with Sonny in the first film, now makes a significant appearance as the mother of a vibrant new character, a suitable successor of Michael, the Godfather of the future Vincent Mancini (Andy Garcia).<br/><br/>Vincent, strong, focused and loyal, shares his father's hot temper... He is the most suitable heir to the family business... His desire for a life of crime is driven by his greater desire to destroy a vile thug named Joey Zasa beautifully played by Joe Mantegna...<br/><br/>Connie (Talia Shire), tries to push her brother to take Vincent under his tutelage... Eventually Michaela man haunted by the death of Fredo, his separation from his wife, his estrangement from his childrenrealizes that he can never truly leave his life of crime... We feel his frustration when he says, ""Just when I think I'm out, they pull me back in.""<br/><br/>Worried about his children and the fate of his empire, Michael is torn between two characters: his warm-hearted daughter Mary (Sophia Coppola), whom he loves very much, and Vincent, who sees the death of his enemies as the only answer to every question... <br/><br/>There is also Kay (Diana Keaton), still the woman he loves, and the mother of his dear children... Family is crucial to Michael... His children are his reason for living... In his words: ""The only wealth in this word is children... They are my treasure.""<br/><br/>Michael wants Anthony to be a lawyer... Kay defends their son's aspiration to be an opera singer... The best scenes in the movie are between this lovely couple, passionately fastened in a struggle that started a time ago at that wedding party where an innocent officer and a gentleman told his non Italian girlfriend, he was not part of his family business...<br/><br/>The film has a great ensemble of supporting actors: Talia Shire, deliciously evil, and always counseling her nephew on how to get in Michael's good graces; Eli Wallach, the talented peacemaker with a stone in his shoe; Raf Vallone, the wise true priest; Franc D'Ambrosio, the artist, the voice in ""Cavalleria Rusticana;"" Donal Donnelly, the fallen archbishop; George Hamilton, the family attorney; Helmut Berger, the missing God's Banker; Richard Bright who heads to Rome to ""light a candle for the archbishop;"" Franco Citti, the old bodyguard; Mario Donatone, the ""Ace in the hole;"" Bridget Fonda, the sexy reporter; Al Martino, the Hollywood singing idol; and John Savage, the priest with an assignment in Italy...<br/><br/>Brilliant shots and unforgettable sequences:<br/><br/><ul><li>The opening sequence in which the camera travels over the wreckage of the Corleone's vacation house by the lake...</li></ul><br/><br/><ul><li>The helicopter attack upon Michael and a group of old dons through the skylight of a hotel banquet room in Atlantic City, New Jersey..</li></ul><br/><br/><ul><li>The trap and killing of a ""small-time enforcer"" on the streets of 'Little Italy' by a fake cop...</li></ul><br/><br/><ul><li>The beautiful scene in which a kindly cardinal hears the confession of a penitent, desperate for absolution...</li></ul><br/><br/><ul><li>Anthony dedicating a sweet song to his father (""Brucia La Terra""), and while Michael was listening to the melody, he was remembering his first beautiful and wonderful bride...</li></ul><br/><br/><ul><li>The natural scenery of Sicily...</li></ul><br/><br/><ul><li>The spectacular opera house finale that turns Michael's expectations into an inferno of mob violence...</li></ul><br/><br/><ul><li>The cry that lets out that night on the stairway... </li></ul><br/><br/><ul><li>The penalty... The terrible sentence...</li></ul><br/><br/>Coppola's first two Godfather-films are a work of art... More famous for their superb acting and deep character studies, beautiful photography and choreography, authentic recreation of the period, and rich score...<br/><br/>""The Godfather III"" is a mesmerizing film worthy to be taken on its own terms... It lays the seeds for a complex financial scandal involving the Vatican Bank as well as the mysterious death of Pope John Paul I in 1978..."
"BigDog-18","Null","38","48","5 October 1999"," No Comparison
","I recently watched all three Godfather films again in sequence and was surprised at how bad GF III is when closely compared to the other two fims. There are characters in the film whose presence is never made clear (i.e. George Hamilton, Brigette Fonda and Don Novello - Father Guido Sarducci??) The major characters bear little resemblance to themselves from the previous films. Connie Corleone is now a major supporter of Michael even though she knows he had her husband killed? Michael now has a change of heart and tries to go ""legit"" even though he so eagerly immersed himself into the power and control of the Corleone family. And Kay continues to ""hang around"" even though she dreads Michael and all that he stands for. Why?? The movie drags on in parts and never really gains it's true identity untill the end of the film during the opera scene. Not even Winona Ryder who was scheduled to be cast in the part of Mary could have helped. It only serves to give us an appetite for the earlier two films. Both of which I consider masterpieces."
"bob the moo","Null","129","178","25 July 2002"," Not as bad as everyone says  but suffers from the pressure of the first two
","Michael Corleone has sold his illegal business in an attempt to win back his family.  However he must still contend with up and coming mobsters such as Vincent, who wants to work for him and Joey Zasa, who wants to fully take over the Corleone family's territory.  When the Corleone family begin to deal with the Vatican and plan to buy out their share of an multinational corporation he finds that the Vatican is just as corrupt as his illegal operations were.  Despite his best efforts he finds himself sucked back into the world he has tried to leave behind.<br/><br/>Easily one of the most hated films ever made  or at least you'd think it was by the critical mauling it got for a raft of reasons.  However watching it now it isn't that bad and really it only suffers from comparison with the two films before it.  But lets be fair, Coppola has made 3 or 4 of the best films ever made  did we really expect another one from him?<br/><br/>The film has a reasonable plot and brings the trilogy to a logical end.  The plot however does have it's weaknesses  for example it starts well with Michael's attempt to `get out' being hampered by other families on their way up.  But when it starts to get involved with money laundering through the Vatican and the corruption therein, it starts to lose it's way and it's focus on Michael.<br/><br/>The main weakness comes in the characters.  Would Michael really go straight just to get his family back  and how come he managed to do it so easily up till the time of the film?  Worse still is Connie who seems to have become some sort of Mafia widow when that was not part of her character in the previous films  would she really have got that twisted or influential? Little problems like these just bugged me and they also fed into the performances.<br/><br/>For such a great cast the acting was very average.  Pacino is good but I sensed he didn't see Michael turning out this way and he didn't convince occasionally.  Keaton has little to do and again I felt that her approach to Michael was too forgiving, although maybe I'm not allowing for time.  As I Siad before Shire was doing some sort of `Bride of Frankenstein' act as Connie and I didn't buy it for a moment.  Garcia was OK and faces like Wallach, Hamilton and the like helped.  The two worst performances were sadly two of the main ones.  First Joe Mantegna..now it wasn't that it was bad  it was more that I've seen him do so much better.  Here all I could think of when I watched him was how his character and his acting was very like his Simpsons' character of ` Fat Tony'.  Bare in mind Fat Tony is meant to be a spoof of the Mafioso characters and you'll see why I didn't like it.<br/><br/>The worse performance was Sofia Coppola.  Now she was vilified at the time for her role  a bit unfairly and cruelly but she was still bad.  She has this strange scowl on her face for most of the film and she acts like a spoil little girl.  She also has no realism in her voice and speaks in the same constant tone  that Vincent would fall for her was just a leap of faith too far to accept.  The cast does have others who are unused or underused  Fonda being the best example.  Why did she bother with that role!?<br/><br/>Overall, this is miles behind the other two Godfathers and it has plenty of weaknesses.  However at it's heart it's a good try as the concluding part and the story is watchable.  It's not bad, it just is average and it feels like the director and large sections of the cast felt they just had to turn up to make a third classic film."
"Brunokid","10","114","161","4 January 2004"," This movie is greatly misunderstood and it has become popular opinion to say it is bad.
","The Godfather Part three is a great movie but many would contest. This final installment of the greatest trilogy ever made is misunderstood by most because they do not see what this film is really about. G3 is  not about hits and gangland killings, but rather, G3 is about the end of Michael Corleone's legacy of crime in America. This movie shows him stepping out of the gambling and the other rackets because they have hurt him so badly. This movie is a masterpiece because it shows the conclusion to an incredible story. There had to be an end to this trilogy and this thoughtful way to do it exemplified the trilogy as an unbeatable one. Just because it doesn't end with a violent scene like the murder of the heads of the 5 families does not make it a bad movie, but in this case, a beautiful one. Please, don't feel you have to agree with the common view by proxy, but think on your own about what this movie really means and how it concludes and consequences the first two."
"dvkatzprod-74759","8","53","72","16 July 2018"," A Passionate Requiem
","I finally saw it ! As a total devotee of the two previous installments, I avoided seeing the third one, on purpose, people I respect had told me about the disappointment and, quite honestly, I didn't go there. Last night I did and surprise, surprise, it moved me no end. Maybe because I haven't seen the other two in four years. Yes at times is more Ken Russell than Francis Ford Coppola and in my book that's not a bad thing. I was, however, a bit taken aback by the healing in Pacino's Michael as far as Keaton's Kay is concerned. As it nothing had ever happened, while in Diane Keaton the memory of that pain is always present. Talia Shire is a lot of fun as a sort of Madame Sin. Raf Vallone, superb as the doomed Pope John Paul I and then a bit puzzling casting choices that I think they me code for something. George Hamilton, for instance, takes over from where Rubert Duvall left off. Helmut Berger plays the head of the Vatican Bank. Helmut Berger! Just as curious as to find Troy Donahue in The Godfather Part II - All in all, I'm really glad I've seen it and I'm sure I'll see it again."
"revival05","6","56","77","23 December 2011"," It simply doesn't work very well
","Being an optimistic fellow I wanted to enjoy The Godfather Part III the first time I saw it - this was easy, since its a competent piece of film making, generally well paced, acted, it's coherent, Al Pacino's in it, Coppola has made this film from A to Z and on its own terms the film doesn't have any inexcusable flaws. (Not even, I might add, the notorious Sofia Coppola; she's bad, but her performance is benefited by the character she's playing, which is also weak). So for a long time I was one of those guys going ""Hey, Godfather part III isn't as bad as everyone says. Sure, its not as good as the first two but not many movies are!"" Later in life, presumably with heightened standards and a better sense of criticism, I started to suspect that the opposite could be true - that part III was really nowhere near as good as I'd recall - and after seeing all three films pretty much back to back I have to be honest (an approach I think wouldn't hurt the more enthusiastic defenders of this film) and conclude that The Godfather Part III, despite certain qualities, simply doesn't work.<br/><br/>(Excluded passage due to word limit; concerning how Coppola did the film for the money, and that it actually makes the film a little easier to appreciate)<br/><br/>I think the film really, on a whole, is perhaps not 'bad', certainly not horrible, but definitely a failure. The plot is underdeveloped and not engaging - Michael Corleone suffers from guilt. Its not unreasonable to say he did that at the end of Part II already. Where does his search for redemption lead him? Do ""they"" really pull him in again? Does his character do or say anything really memorable? Once or twice. But the script really is a long filler-session. And while everybody seems to just automatically praise Pacino because, well, he's Pacino I don't think his performance in this film is particularly good either, at least not by his merits. He's a great actor, and this is as fine a performance as any other he's made, but when you consider how truly versatile Pacino can be (compare Godfather part II with Scarface, with Serpico, Devil's Advocate, you name it, he's right there in character) its a disappointment that the aged Michael Corleone has turned into... well, Al Pacino. Obviously the character is not the same man that he used to be, but I never once really believed that I was watching Michael Corleone. He looked, and acted, too much like Al Pacino.<br/><br/>Not to mention Andy Garcia being nothing more than Andy Garcia, Joe Pantanglio, Eli Wallach, Talia Shire in a strangely awful performance (she's not a bad actress at all, but whatever happened here?). And of course Sofia Coppola; she isn't the crucial problem, but in the end she does become responsible for a lot of misfiring. The only one still doing a prime job is Diane Keaton as Kay - truly an unsung hero in these films, and to me one of the main reasons the drama work - and the film's best scenes were the one's she shared with Pacino. Why? Because then I felt like I was even watching a Godfather movie.<br/><br/>Much of everything else simply doesn't work. Whereas the original films were subtle and ambiguous, part III filters the story with melodramatic punches that are un-inspired and obvious. Michael's son, played by Franc D'Ambrosio, seems taken from Days of Our Lives and so many of the questions we ask ourselves - what does he remember from his childhood? What does any of the characters feel about Michael's marriage in Sicily? Did Tom Hagen ever move to Las Vegas? etc - are left completely by the road, as if Coppola truly isn't interested in telling this story. There are instead near-insulting reminders to the audience that the other two movies still exist (like the pointless scene where Michael have kept the drawing Anthony left at his pillow when he was nine or so; ""I remember this"" he smiles, though I'm not sure if we are to understand this as ""I also remember they shot up the bedroom that same night""; once again, it seems Coppola simply forgets his own story). There are also awkward attempts at creating dramatic highlights in line with the horse-head scene and that very shooting in the beginning of Part II, involving a shooting during a parade in Little Italy and a stupid and ugly scene involving a helicopter. Making a Godfather sequel formulaic is truly a depressing insult to the originality of the first two films. The attempts Coppola takes on the Vatican are also pretty flat when you think about how Italian cinema has been doing this for half a century.<br/><br/>There's no reason to watch this film have you not seen the first two. And there's really no reason to watch it if you have seen them either. When you think about it, I don't see why the film's few merits are worth talking about. Movie newbies having seen Part I and II will naturally see III too, and I think many of them will come to the same conclusion. It's not all bad, but so what. It simply doesn't work very well."
