"username","rating","helpful","total","date","title","review"
"Reckno64","9","25","29","31 March 2019"," Surprisingly overhated
","While I understand the disappointment, this was NOT a bad film. It isn't as good as the first one, but I think it holds up pretty well! There's lots of fun to be had watching this from the animation to the humor, and there are still some touching scenes that show there is heart put into this film. I recommend seeing CinemaWins ""Everything GREAT about Incredibles 2"" if you want to see why this film is still pretty decent. Only somewhat weak spot in my opinion was the main villain who was somewhat predictable, but man the animation at times truly is ""Incredible"" (pun intended)!<br/><br/>Go see it! It was well worth my time and I enjoyed it, so I'm surprised to see it get all these 1 star reviews. Far from Pixar's best but still a good flick. I know you can't please everyone but I think this movie is terribliy overhated. That's just my opinion at least. 9 stars out of 10!"
"Ajk2386","6","195","270","10 November 2018"," Definitely not as good as the first Incredibles movie
","Good: The animation for this movie was excellent just like most other Pixar movies, it was funny (especially Jack Jack) and I really liked the action sequences throughout the movie. I liked that the movie showed that parenting (when done right) can be heroic.<br/><br/>Bad: I thought this film has quite a few problems, the biggest problem was that the ending was pretty predictable, I could see it coming. Also, there was a feminism theme with Helen which was okay but at times it seemed to shove it in my face and it got to be annoying. There seemed to be a little too much going on in the movie and a few too many characters.<br/><br/>I'm glad I saw the movie, I just don't think I would see it again anytime soon."
"bigal_a","7","7","7","25 April 2019"," Much better than I feared
","When I heard the synopsis of this film, I feared it would be going down the social justice rabbit-hole as so many other popular franchises have done.<br/><br/>My main fear was that Elastigirl was going to shine effortlessly and Bob was going to be totally out of his depth and incompetent. And in truth, there was some of that, and a little bit of feminist by-play between Elastigirl and Evelyn.<br/><br/>But, to be honest, I think even super-mum Helen would have had her hands full with Jack-Jack, who shines in a scene where the baby fights a racoon, emerging untouched and the animal slinking away terrified.<br/><br/>And Bob does get to grips with his enforced home life, getting the ever-enjoyable Edna Mode to look after Jack-Jack (which she seems to enjoy), so he can get a night's sleep and get back on his feet. So he ends up effectively and clearly teaching maths to Dash before an exam, and getting lovelorn Violet back on his side. Even when Jack-Jack returns, Bob seems reinvigorated, almost reveling in his baby son's burgeoning powers.<br/><br/>Not to say too much about the climax of the film, but suffice it to say that all the kids play their parts, as well as some new supers with bizarre powers that the Deavor siblings have gathered from around the world.<br/><br/>And at the end, Mr Incredible, Elastigirl and Frozone end up fighting as a team, together again.<br/><br/>I liked it, and I probably will watch it again some time."
"NarniaIsAwesome","7","64","89","2 October 2018"," Incredibles 2 is... Exciting and Acceptable.
","'Incredibles 2' was probably the most anticipated movie of the year; it's hard to believe it's made 14 years since the first original. So obviously everyone was more than ready for this.<br/><br/>The film does come through when it comes to entertaining action and comedy, with Jack-Jack, Bob, and Edna providing most of the biggest laughs. The plot is interesting, because we've got to know what happened to the Parr family. As far as the supervillain mystery, it's acceptable and somewhat entertaining, but a bit predictable and generic. The final criticism I have is that Edna definitely deserved more screen time.<br/><br/>That being said, it is still an entertaining movie and not at all ""painful"" to watch.<br/><br/>In conclusion, 'Incredibles 2' is funny, exciting, and really worth a viewing."
"randomStuff101","4","230","386","20 November 2018"," Worse than original. Politically correct box-ticking. Bland story details.
","Half way through watching this in the cinema, I thought ""maybe it's me"". Maybe it's my fault I'm not into this movie. But I loved the original, so what's going on.<br/><br/>No. The problem is this movie is a bland attempt to express messages about gender roles and current society issues. It lacks flow, it's just a bunch of scenes one after the other, there's no coherent thread or curious elements tying it together.<br/><br/>Nice visuals goes without saying, but the story is let down by a sense that it's been engineered around a board room table by people referring to their social media feeds for inspiration, rather than dreamt up by talented writers.<br/><br/>Sure, some scenes are fun. But we're not watching a youtube playlist here, this is a movie and it's supposed to work as a whole, not just momentarily.<br/><br/>The script is uninteresting, the action is exciting sometimes, but other times you just want it to end or move on. Very disappointing.<br/><br/>Toy Story 2 was a great sequel, but this is a very poor sequel. Forgettable.<br/><br/>If you love the first, then hold onto that because it doesn't get better. It gets worse."
"sfgebel315","8","41","62","4 July 2018"," Predictable, But Perfect
","I cannot believe it has been 14 years since The Incredibles came out. The gap between sequels seems to be getting longer, but the director, Brad Bird, said he wanted to wait until he had the perfect story. There's even a clip before the film starts where actors, Craig T. Nelson, Samuel L. Jackson, and Holly Hunter tell us it will be ""well worth the wait""--and they were right!<br/><br/>Though 14 years later, the film takes place minutes later. The first film ends with the Parr family having to fight the Miner who pops up out of the school parking lot, just after Violet gets a date with Tony. The sequel starts with that fight and we see how it backfires as the Parr family get arrested for destroying part of the city and because superheroes are still illegal. Enter our new characters, siblings Winston and Evelyn Deaver, who both want to help superheroes step back into the light, but they believe the way to do that is with Elastigirl. Therefore, our sequel twist is that Mr. Incredible becomes a stay-at-home dad having to babysit Jack-Jack and learning of his dozens of powers, teaching Dash ""new math"", and inserting his foot into his mouth when he tries to help Violet with her crush--all while Elastigirl is improving superhero relations. <br/><br/>Personally, I thought the movie was predictable but perfect. I loved it for its simplistic plot that was not hard to figure out. I knew right away who the ""villain"" was and what their motivation was; however, I did not know exactly how the climax would occur, so I was still very much engaged. Not to mention there was enough character development and funny scenes to space out the predictable plot arch. <br/><br/>Often times animated films are more for the adults who are taking the kids, then for the kids themselves. Most kids will not understand half the references, but will still enjoy the overall concept. At the same time, this film comes out when the kids who saw the first are now adults, possibly with kids of their own. Therefore, this film is a great blend of adult and child humor. I found it hilarious, and as a teacher, I particularly loved when Mr. Incredible stays up all night reading Dash's ""new math"" textbook so he can teach him new math, which was what it was called in the 60s (the time period this film alludes to) and is a shout out to our modern common core confusion. <br/><br/>What I really love about this film is that there is even more Frozone and Jack-Jack, which brings me to my all-time favorite scenes--learning of Jack-Jack's powers, particularly when Violet and Dash call Uncle Frozone over because their dad is going insane from sleep-deprivation and trying to keep up with Jack-Jack. I lost track of how many powers he has and all I will say on the matter is that the best scene in the whole film is when Jack-Jack fights the raccoon. <br/><br/>If you want a light-hearted comedy with some fun action sequences then this film is for you. If you loved the first one then you will love the second one. If you have not seen the first one, what's wrong with you?"
"ModishMovies","7","358","655","14 June 2018"," Can't Escape the Incredible Legacy of the Original
","Since I already know you are going to rate this review as ""Not Helpful"" because I didn't rate this 10/10 stars, I figured I might as well start off by telling you how much I love the original Incredibles. The Incredibles (2004) is one of my favorite films of all time and is my second favorite Pixar film (right after Finding Nemo). I got to see Incredibles 2 early because I caught a double feature of the two films in IMAX, just in case you were thinking of complaining that I didn't see it since this review is out early. <br/><br/>What I loved about the original was the authenticity that the story, characters, and animation had to it. It felt more creative, natural, and beautiful. Syndrome was one of the greatest superhero movie villains of all time, not because of the amount of damage he was able to inflict upon the world, but because of the emotional pain he was able to cause Mr. Incredible and his family. The moments in which Mr. Incredible regrets his past mistakes and realizes how his actions affect others, especially his former biggest fan, are what makes the film stand out from any other hero-villain dynamic. Sadly, Incredibles 2 does not have a villain or story as deep or as thoughtful as Syndrome.<br/><br/>Incredibles 2 boldly and intelligently begins right where The Incredibles ended. This smart move on Disney Pixar's part eliminates all confusion and time gaps that may arise after a hiatus of any amount (especially fourteen years) between a sequel and its predecessor. The story that follows is relatively contrived and characters are clumsily introduced in order to expand the universe instead of expanding the emotions of the beloved characters. The action scenes are creative and well-animated, but they aren't memorable enough and take place in bland settings and accomplish nothing for the characters. There were many points during this film where I noticed how hard Brad Bird was trying to replicate the formula of the original film, but it became more and more noticeable to the point that it detracted from the story itself. <br/><br/>The great Pixar films all have excellent, fluid stories. The great Pixar films also have superb plots that deepen our understanding and feelings for the characters. The good Pixar films have entertaining, sensible plots, but they rarely deepen our love of the characters involved in them, such as A Bug's Life, Cars 2 (don't hate me!), Cars 3, and The Good Dinosaur. Incredibles 2, sadly, falls into the latter category that has a fun, creative plot, but a plot that does nothing new for its characters.<br/><br/>Since the villain is introduced in the trailer, I don't think that it's a spoiler to say that it doesn't feel authentic or inspired enough to be considered one of Pixar's best villains. While the motive for the villain is there, it is simply unnecessary, contrived, and unexciting. New heroes are also introduced (as seen in the poster and other promotional material). Many of them are underutilized or unnecessary. The film's weakest parts involve the newly introduced characters because they all lack the liveliness and creative spark of the original characters that are explored slightly more deeply in this film. <br/><br/>But enough of the aspects of the film that let me down. For all of the disappointments, Incredibles 2 also has many surprises and amazing qualities. For one, Jack Jack's new abilities are basically perfect, both in what his powers are and in how they are revealed. At first, I worried that too much of Jack Jack's powers were revealed, but that was hardly the case. Jack Jack is actually one of the best parts of this film. He is easily one of the funniest parts of any Pixar film. I couldn't help but burst out in laughter every time he made a single noise. The humor in this film is slightly more present, or maybe more memorable, than in the original. The film's message also tries to be more important and necessary besides highlighting the importance of family.<br/><br/>Obviously this review won't stop you from seeing this film, nor was it intended to, but I encourage all of you to see this film in theaters, but heavily reduce your expectations and don't think too much about what made The Incredibles nearly perfect, or you are sure to be sorely disappointed."
"admin-16582","2","398","734","23 July 2018"," Forced feminism ruined this movie.
","This movie is not about family like the first one!<br/><br/>Having a strong female lead is great, but emphasizing their superiority over men, over and over, joke after joke, just made this movie unbearable. That is not equality!<br/><br/>The first Incredibles movie brought the entire family together as a whole and was solid, one of my all time favorites. Even though the Incredibles 2 started off good and it was funny (at first) with how Mr Incredible had a hard time with the kids, it never ended. As the movie goes on and on you soon realize what's happening because it's not subtle. The boys can't play because their masculinity is too destructive, so Elastigirl has to go solo to restore their image, but she's really just being tricked by an even smarter female who has an idiot for a brother (he just happens to be the President of a huge telcom company). Violet's character is developed as she matures and is beginning to understand the world as well as her powers. But, Mr Incredible and Dash are just kinda punching bags to make fun of and serve no other purpose. Other than us seeing all the powers Jack Jack has, he really doesn't do anything either other than cause problems. Sure near the end the whole family sort of gets involved, but they're mostly just taking turns running after Jack Jack. The movie really should have been called ""Elastigirl and Friends"".<br/><br/>To sum it up, the story was boring and predictable. They had a certain direction to follow with the feminist agenda and the writers probably did the best they could. But if you think I'm crazy, even the film's producer Nicole Paradis Grindle confirmed that its feminist premise was years in the making. This movie taught my daughters that family only gets in the way, masculinity is dangerous, men are stupid, and women are victims. <br/><br/>It's worth noting that my first review was declined by the IMDb staff using a general ""does not meet guidelines"" reason, which simply means that person doesn't agree with me and chose to censor my review. This is my opinion and view of the movie, and your bias should not be used to censor your opposition to further promote your agenda."
"jonathanc-20759","8","456","848","16 June 2018"," Intense seizure warning!!!!!!!!!!!!
","This movie is fantastic, loved the story and the characters. Where this movie loses points is in three separate continuous sequences of intense flashing. My sister is epileptic, and with no warnings we weren't prepared for any of it. She ended up seizing after the first sequence, and we had to cover her eyes for the their two. If you or any family members are sensitive to this sort of thing, AVOID THIS MOVIE."
"bornhard","8","28","43","23 June 2018"," Predictable and old goods but in Fun New package, family entertainment.
","If you have seen lot of movies and read tons of comic books like myself it would seem predictable plus movie does have certain base plot elements similar to original. But don't run away yet because that is not fun part about the movie or what movie makers were focusing on, it was the family dynamics, role reversals and yes the much anticipated Jack Jack the Big bang in the small pack and all his wonderful powers which wreck havoc and yes make him most powerful member of the team.
 I can't say anything else without dropping spoilers but its a movie about a family that can be enjoyed by all families young and old together."
