"username","rating","helpful","total","date","title","review"
"Danusha_Goska","8","29","30","21 October 2016"," Brilliant Performances: Troubling Account of Bobby Fischer
","For much of its runtime, watching ""Pawn Sacrifice"" is a grueling experience. Young Bobby Fischer is growing up fearing being spied on by government agents. His mother, Regina, (Robin Weigart) is a communist living in Cold War era Brooklyn. Bobby escapes from what looks like a loveless childhood and a chaotic home life by focusing on chess. <br/><br/>Regina takes Bobby to Carmine Nigro (Conrad Pia) a teacher who greets Bobby by telling him that chess is a religion that takes anyone regardless of nation or creed. One hopes that this kindly man will serve as a ray of light in Bobby's life, but Bobby behaves as if he is autistic. He makes little eye contact and focuses only on the board, shutting out his opponent and his mother and sister who must stand and watch as he spends hours on his first chess match with a near master. Once young Bobby loses to Nigro, he refuses to shake hands, cries silently, and icily demands another game. <br/><br/>The real Bobby Fischer was noticeably tall and slim with very striking facial features: piercing eyes, prominent nose, large, curved lips and a sprinkling of facial moles. Tobey Maguire is short and slight, with refined features, darker hair and no moles. Fischer was from Brooklyn and he lacked a formal education. He dropped out of high school. He talked like an uneducated Brooklynite who happens to be a headline-making genius; he had a lot of attitude. Maguire is from California and he never really captures Fischer's unique voice or inflection. <br/><br/>The film picks up with the arrival of three characters played by brilliant actors: Michael Stahlbarg as Paul Marshall, a sort of fixer / hand-holder, Peter Sarsgaard as Father William Lombardy, a chess master, and Liev Schreiber as Boris Spassky. These three actors are superb, and each has a moment on screen that absolutely took my breath away. <br/><br/>Marshall is a long suffering lawyer who prods Fischer to go to Iceland to take on Boris Spassky and become the new world champion. Lombardy is the closest thing Fischer has to a friend. He serves as Fischer's second. <br/><br/>Bobby tears apart hotel rooms seeking hidden microphones; perhaps the Russians, the CIA, or the conspiratorial Jews are spying on him. Bobby runs from journalists' cameras and the fans who want to grab and kiss him. Bobby cracks when he hears spectators cough or when he can smell their breath. He demands more money, special chairs, different rooms, quieter cameras. Though Jewish, he listens to tapes that convince him that Jews are evil people taking over the world. <br/><br/>All this is really hard to watch. It's especially hard to watch for anyone who remembers the Fischer-Spassky match. Bobby Fischer was an incredibly gifted man. He was world famous. After his match, he could have made millions and enjoyed a cushioned retirement. Instead he trusted the wrong people, became a raving lunatic Jewish anti- Semite and a member of a cult he would later denounce, denounced America, cheered 9-11, spat on documents, broke laws, became an exile, and, after refusing necessary medical treatment, died entirely too young and unnecessarily. His ironic, poignant last words, they say, were, ""Nothing is as healing as human touch."" <br/><br/>You can't watch this movie and not wish that somebody had done something to help this man. You can't not wonder, what was wrong with him? Was it the bad relationship with his mother? His lack of a father? His illegitimacy? Was he schizophrenic or autistic? Or is that he was treated like a star and did not receive, from others, the kind of feedback that forms character? A combination of all of these factors? Because Bobby Fischer is a commodity, even in death, we will never know. <br/><br/>In the film, Paul Marshall, the more practical and earthbound of Bobby's advisors, suggests taking him to a psychiatrist. Father Lombardy responds that chess is a rabbit hole. He mentions the hundreds of millions of moves that chess masters must take into consideration. He says that taking Bobby to a psychiatrist would be like pouring concrete down a holy well. The implication is that Bobby's chess genius is inextricably tied to his mental illness. <br/><br/>Lombardy cites Paul Morphy, a chess genius who could not succeed at conventional life. But look at Boris Spassky. He is still alive and no one suggests that he is mentally ill. Maybe a mentally healthy Bobby would have been an even better chess player. <br/><br/>Liev Schreiber, in the commentary, says that chess masters must constantly predict their opponent's attacks, and that doing so contributes to paranoia. Perhaps so. <br/><br/>Although I found the film hard to watch, the performances by the leads were so profoundly rewarding that they lifted me up in awe and made me cry. I don't know how Liev Schreiber did it, but he perfectly channeled a Soviet man from the 70s. I know because I was there in the 70s. Michael Stahlberg utterly inhabits his part, a chain smoking, sweaty palmed, tireless enabler who takes every abuse from Bobby and never stops trying to push him forward. Peter Sarsgaard is just simply superb, in every scene, from praying the rosary on his knees to the moment when dawn breaks on his face as Bobby starts winning. Tobey Maguire has a moment that is so powerful it gave me chills. He is beating Spassky. He is in his element. It is his bliss. See the movie for that moment, one I watched over and over again."
"cosmo_tiger","8","46","53","23 December 2015"," One of the surprise movies of the year that deserves a bigger audience than it will get. I really enjoyed this & recommend it
","""Bobby won't crack, he will explode."" Ever since he was a young boy Bobby Fischer (Maguire) has been obsessed with chess. His dream of becoming the youngest world champion ever has been crushed by the Russian's way of playing and he slowly starts to lose his mind. Wanting to prove to everyone, and himself that is is the best in the world he sets up a series of matches with Boris Spassky (Schreiber), the best player in the world. As the match draws closer Fischer begins to descend further into madness and it starts to affect his ability to play. I knew very little about the real story of Bobby Fischer before watching this so most of this was new to me. For a movie about chess I have to say the movie was actually pretty exciting to watch, and Maguire really surprised me with his acting. I'm not sure how historically accurate this is but watching it the tenseness was there and you really felt uncomfortable for and with Bobby. One of the surprise movies of the year that deserves a bigger audience than it will get. I really enjoyed this and recommend it. Overall, great acting and great drama. More movies like this should be made. I give it an A-."
"Dr_Sagan","Null","47","60","16 December 2015"," Interesting movie with a solid performance from Tobey Maguire
","I think I have seen a few movies about chess and like in all movies concerning competitive sports I know that it could be very interesting and inspiring. So don't assume that this is a boring movie because of its theme.<br/><br/>This is based on the real life of chess legend Bobby Fischer who after he became world champion, he lived a secluded, solitary life possibly because of a mental illness which made him paranoid.<br/><br/>I am not a fan of Tobey Maguire (poor choice for Spiderman IMO) but he gives a convincing performance in this. His tantrums and his stares as he is building irrational thoughts about conspiracies and imaginable dangers are s strong plus to the film.<br/><br/>The pace of the film is also good and the music by the veteran James Newton Howard follows the emotions with grace.<br/><br/>Overall: Recommended"
"nagsaptarshi","9","30","39","19 February 2016"," Don't you think it is too good?
","I was bit skeptic on whether I should watch this movie or not.There has been so much of slamming of this movie.It did not even have a wide release.But thank God, I dared to watch.It is one of most intense movies of recent times.From the beginning,your eyes remain glued to the screen.The historic match between Spassky and Fisher has been depicted so vividly, that at times you forget that you are watching a movie.Tobey Maguire has been criticized a lot for his portrayal of the legendary chess player.But I found him too good.His acting was as intense as this movie.The frowning, the clenching, the swing of mood everything was made so much believable.Liev Shreiber, too has done a commendable job as Spassky.The cinematography is excellent.The close shots deserve to be mentioned in particular.Finally, a good film from a brilliant director like Zwick after a pause.Do not miss this movie."
"areebkhan619","8","58","82","1 January 2015"," A nice tribute to a chess legend.
","Tobey Maguire fits in the role of Bobby Fisher, and this movie is yet another example that the guy can act beautifully. The suspense builds up as if you are watching the match happen live in front of your eyes. What's more is that we see the paranoiac side of Bobby Fischer, a treat to see Maguire portraying. Although there is not much physical resemblance between Maguire and Bobby Fischer, but it is compensated by his award-worthy performance, and once the movie gets a hold of you, just sit back and enjoy. Again, I have to praise the performance of Tobey Maguire. Never seen before as star of biopic, the actor's hard-work paid off, and it's mainly the reason why I'm giving this movie a full rating, although the good acting of supporting characters do not go amiss. Liev Schreiber just won my heart with his performance. Enjoyable and interesting piece of work on the real incidents of the life of an evergreen chess legend. Worth watching, and worth recommending."
"blanche-2","9","17","23","15 February 2016"," brilliant but disturbed
","Well, the reviewer before me absolutely trashed this film for its dramatic license, so now I don't know what to say.<br/><br/>This is the highly fictionalized story of Bobby Fischer, a chess fanatic and genius who rose to the very top of his field. He was part of a Russia vs. U.S. superiority struggle when he played Boris Spassky (Liev Schreiber), the world champion back then, in the '70s. It's unlikely he understood that; he didn't have a broad or worldly focus. The chess was all he cared about, that and money.<br/><br/>Biopics sometimes take a lot of liberties. Characters are made up, time is shortened, incidents are moved around, elements are put in for dramatic emphasis. That's why you can't take a biographical film as factual. It's better if you become interested in the person and read about him, as I did about Fischer, though I remember him.<br/><br/>Toby Maguire does a fantastic job as Fischer. Yes, Fischer was tall and Maguire is short. Frankly I wasn't made aware of Maguire's height while watching the film.<br/><br/>I believe the filmmakers were trying to give us a psychological story -- a complete genius with an IQ of 181 but one who also had mental problems. Lots of so-called geniuses are strange, I suppose, but Fischer was a real study in opposites.<br/><br/>He often made unreasonable, last-minute demands, made anti-Semite remarks, and accused the Russians of colluding against him. In the second game of his world championship against Spassky, he didn't show up. Nevertheless, his achievements in chess were remarkable, and many consider him the greatest chess player who ever lived.<br/><br/>His later life was a mess; he became reclusive; his passport was revoked and finally, Iceland took him in. By then he was off the wall completely.<br/><br/>Edward Zwick directed this film with a lot of zip and made it an intense and absorbing experience, as did the actors. <br/><br/>Look at this as the psychological story of a phenomenal talent whose emotional/mental problems interfered with his life and career. Don't take it as the detailed life of Bobby Fischer, his relationship with his mother, and who taught him what. The most interesting thing about him was his incredible talent."
"asher-luberto","9","23","33","6 October 2015"," Come follow me and I will make you a Fischer of men
","Pawn Sacrifice is an engaging and well made biopic that is a rich work of cinema. <br/><br/>This flick takes place during the cold war, where America legend Bobby Fischer finds himself in the middle of a political crisis between America and the Soviet Empire. The movie starts out by showing Bobby Fischer( played by Tobey Maguire) towards the beginning of his life, and portrays the struggles he endured which affected him later on in his life. The movie later shows him as a rising chess star and before you know it, he is an adult; and one of the best chess players in the world. He soon finds himself as a pawn in Americas Cold War, and has to take on the number one chess player in the world, Boris Spassky. <br/><br/>This movie is brilliantly directed (Edward Zwick), and gives you an emotional feel for Fischer, and the cinematography is excellent. The supporting cast was good, but Tobey Mcguire stole the show,giving one of the best performances of the year. <br/><br/>Pawn Sacrifice is an engaging and well-made biopic with solid performances."
"Ramascreen","9","46","74","14 September 2015"," Intense!
","A well-crafted biopic about one of the greatest matches in history. A career-defining performance by Tobey Maguire. Who knew that a movie about a game of chess could be so suspenseful and riveting. You won't be able to take your eyes off of it.<br/><br/>Director Ed Zwick is the man who gave us ""Glory,"" ""The Last Samurai,"" ""Defiance,"" basically movies that have epic battlefield sequences, so it's interesting that his battlefield has been scaled down to the size of a chessboard but it's just as colossal, this is a story back in the era when the whole world was watching which of the two ideologies, United States or the Soviets would ultimately win, tension was running high but instead of bullets or nuclear weapons which both regions did have, it all came down to between Bobby Fischer (Tobey Maguire) and Boris Spassky (Liev Schreiber) and even if the movie may or may not want to preach about which is the ultimate victor, it did capture the animosity in the air, so sharp it can cut through glass, the hatred against communism at the time.<br/><br/>Written by Steven Knight, who gave us ""Eastern Promises,"" and ""Locke,"" I think Knight gives in to Hollywood's long-held fascination with brilliance and madness, it's a lot like ""A Beautiful Mind,"" where a person is so brilliant that his mind just snaps. Now, I didn't grow up knowing a lot about Bobby Fischer, my dad taught me how to play chess when I was a kid, but I was terrible at it, which is why I turned to soccer. My point is, I don't know how out of touch Fischer really was, and this movie itself is not a straight adaptation, but I think PAWN SACRIFICE accomplishes what it set out to do from the start, this correlation between genius and paranoia or insanity.<br/><br/>Mad props to actors Tobey Maguire and Liev Schreiber who, under the direction of Ed Zwick, successfully manage to dramatize the game of chess. Because chess matches are usually silent, so everything heavily relies on the actors' facial expressions, it's all in the eyes and the body language in order to understand the game's intensity. The movie has to also entertain those who may not play chess and so it does, and it's a testament to the amazing performances by Maguire and Schreiber.The movie also brings up a good point that I think would leave the audiences conflicted. Because we would feel like Bobby Fischer would need medical treatment, but a part of us also don't want to hinder or get in the way of brilliance, out of selfish reasons of course, because we would want that brilliance to work in our favor. We badly want to see the master play but at what cost."
"targa9","5","33","53","5 July 2016"," Watch only if you are completely ignorant of who Bobby Fischer was
","This biopic reminded me of ""Ali""--it ran through all the obvious parts of a famous man's life, parts you could glean from reading a Wikipedia bio, threw in some over-dramatic music and a backstory about ""family"" and viola! --biopic to order.<br/><br/>If you are clueless about who Bobby Fischer was, then you will probably like this film, because you won't roll your eyes at all the chess clichés, you won't get bored at being shown the obvious things about Fischer (such as the details around the 1972 Reykjavik match), and you will probably enjoy the novelty of the whole thing.<br/><br/>But who are we kidding? This event happened 44 years ago. If you don't know about it by now, you are either very young or you live under a rock. The film did not really try and show any INSIGHT into Fischer; it just replayed the same record that anyone who knows ANYTHING about Fischer already knew. But even then, they took liberties that were not only inaccurate, but unnecessary and just distracting.<br/><br/>First of all, Bobby Fischer was a man from BROOKLYN. Everything about the way this guy walked and talked showed he was a city kid, a real NEW YAWKAH. Did you get that sense from Tobey's impression? I didn't. Tobey didn't really sound all that Brooklyn-ish. In the famous Cavett interview, the real Fischer bragged, but he did it in a way that was a bit endearing. Tobey instead made him sound like an ass.<br/><br/>Second, Fischer was tall and lanky, and even gaunt-looking because of that, yet Tobey was short and puffy-faced. Bad casting. Alexander Saarsgaard (not Peter, as in the movie!) would have been a much better casting choice.<br/><br/>Third, Spassky was a consummate gentleman. He never spoke to Fischer like that during a game, or flipped over chairs to inspect them, and I didn't buy the hotel room tantrum, which was really a transparent device to make it appear that even Spassky was sick of the Soviet control.<br/><br/>Fourth, Fischer received a cheap plastic set when he was younger and used to play a lot with his sister, and then IN THE CLOSET. Instead they show him sitting on the bed with a very nice wooden set, and the next thing you know, he's beating strong club players. The entire youth of Bobby Fischer was quickly skimmed over, although I did very much like the part about the Russian mother, although I have a hard time believing they were self-professed Jews, esp. with the rather sloppy behavior of the mother.<br/><br/>Fifth, his second Lombardy, although he was a former priest, did not go around wearing his priest outfit, esp. to Reykjavik. <br/><br/>Sixth, to say game 6 was the ""greatest chess game ever played"" is quite pretentious! I can think of a particular Marshall game which is more exciting and filled with more nuance. <br/><br/>Seventh, I don't buy Fischer losing his virginity to some hottie in the hotel; they could at least have made him more charming if they're going to embellish like that. <br/><br/>Finally, and this is most important--Fischer's mental demise was not really that pronounced at Reykjavik. Yes, he complained and was a prima donna, and suspected the Russians of cheating. But he didn't go full-bore on the Jews and the Zionist conspiracy thing until years later. The film was not ambitious enough to explore possibly WHY Fischer turned into a loon; it was complacent and even eager to just SHOW his looniness.<br/><br/>The acting was decent. And the whole story--framing it as a cold war battle between the US and Soviet Russia, was fitting, but easy--esp. when they simply interspliced a lot of period footage and music between the scenes. <br/><br/>Avoid if you already know about Fischer's story and are a chess player!"
"Morten_5","8","6","7","1 May 2017"," Great acting, interesting story
","Tobey Maguire is a very fine actor. Regrettably, he is not cast very frequently and since the failure of ""Spider-Man 3"" in 2007, his fans have not seen very much of him. With ""Pawn Sacrifice"", however, he once again showed his talent, depicting American chess genius and grandmaster Bobby Fischer from his childhood years up to the famous World Chess Championship in Reykjavík, Iceland in 1972. Co-starring Liev Schreiber, Peter Sarsgaard and Michael Stuhlbarg, the film has no lack of good acting."
